♥3,♠4,♣4,♣7,♠10 | Pair
♥3,♠4,♣4,♥Q,♣K | Pair
♥3,♠4,♣4,♣K,♦A | Pair
♥3,♠4,♣4,♥4,♣K | Three of a Kind
♥3,♠4,♥4,♣6,♣K | Pair
♥3,♠4,♥4,♥Q,♣K | Pair
♥3,♠4,♥4,♣K,♦A | Pair
♥3,♠4,♣4,♣6,♣9 | Pair
♥3,♠4,♣4,♣9,♥Q | Pair
♥3,♠4,♣4,♣9,♦A | Pair
♥3,♠4,♣4,♥4,♣9 | Three of a Kind
♥3,♠4,♥4,♣6,♣9 | Pair
♥3,♠4,♥4,♣9,♥Q | Pair
♥3,♠4,♥4,♣9,♦A | Pair
♥3,♠4,♣4,♣6,♥Q | Pair
♥3,♠4,♣4,♣6,♦A | Pair
♥3,♠4,♣4,♥4,♣6 | Three of a Kind
♥3,♠4,♣4,♥Q,♦A | Pair
♥3,♠4,♣4,♥4,♥Q | Three of a Kind
♥3,♠4,♣4,♥4,♦A | Three of a Kind
♥3,♠4,♥4,♣6,♥Q | Pair
♥3,♠4,♥4,♣6,♦A | Pair
♥3,♠4,♥4,♥Q,♦A | Pair
♠4,♣4,♣6,♣9,♣K | Pair
♠4,♣4,♣9,♥Q,♣K | Pair
♠4,♣4,♣9,♣K,♦A | Pair
♠4,♣4,♥4,♣9,♣K | Three of a Kind
♠4,♥4,♣6,♣9,♣K | Pair
♠4,♥4,♣9,♥Q,♣K | Pair
♠4,♥4,♣9,♣K,♦A | Pair
♠4,♣4,♣6,♥Q,♣K | Pair
♠4,♣4,♣6,♣K,♦A | Pair
♠4,♣4,♥4,♣6,♣K | Three of a Kind
♠4,♣4,♥Q,♣K,♦A | Pair
♠4,♣4,♥4,♥Q,♣K | Three of a Kind
♠4,♣4,♥4,♣K,♦A | Three of a Kind
♠4,♥4,♣6,♥Q,♣K | Pair
♠4,♥4,♣6,♣K,♦A | Pair
♠4,♥4,♥Q,♣K,♦A | Pair
♠4,♣4,♣6,♣9,♥Q | Pair
♠4,♣4,♣6,♣9,♦A | Pair
♠4,♣4,♥4,♣6,♣9 | Three of a Kind
♠4,♣4,♣9,♥Q,♦A | Pair
♠4,♣4,♥4,♣9,♥Q | Three of a Kind
♠4,♣4,♥4,♣9,♦A | Three of a Kind
♠4,♥4,♣6,♣9,♥Q | Pair
♠4,♥4,♣6,♣9,♦A | Pair
♠4,♥4,♣9,♥Q,♦A | Pair
♠4,♣4,♣6,♥Q,♦A | Pair
♠4,♣4,♥4,♣6,♥Q | Three of a Kind
♠4,♣4,♥4,♣6,♦A | Three of a Kind
♠4,♣4,♥4,♥Q,♦A | Three of a Kind
♠4,♥4,♣6,♥Q,♦A | Pair
♥3,♣4,♥4,♠10,♣K | Pair
♥3,♣4,♥4,♣9,♠10 | Pair
♥3,♣4,♥4,♣6,♠10 | Pair
♥3,♣4,♥4,♠10,♥Q | Pair
♥3,♣4,♥4,♠10,♦A | Pair
♣4,♥4,♣9,♠10,♣K | Pair
♣4,♥4,♣6,♠10,♣K | Pair
♣4,♥4,♠10,♥Q,♣K | Pair
♣4,♥4,♠10,♣K,♦A | Pair
♣4,♥4,♣6,♣9,♠10 | Pair
♣4,♥4,♣9,♠10,♥Q | Pair
♣4,♥4,♣9,♠10,♦A | Pair
♣4,♥4,♣6,♠10,♥Q | Pair
♣4,♥4,♣6,♠10,♦A | Pair
♣4,♥4,♠10,♥Q,♦A | Pair
♥3,♣4,♥4,♣9,♣K | Pair
♥3,♣4,♥4,♣6,♣K | Pair
♥3,♣4,♥4,♥Q,♣K | Pair
♥3,♣4,♥4,♣K,♦A | Pair
♥3,♣4,♥4,♣6,♣9 | Pair
♥3,♣4,♥4,♣9,♥Q | Pair
♥3,♣4,♥4,♣9,♦A | Pair
♥3,♣4,♥4,♣6,♥Q | Pair
♥3,♣4,♥4,♣6,♦A | Pair
♥3,♣4,♥4,♥Q,♦A | Pair
♣4,♥4,♣6,♣9,♣K | Pair
♣4,♥4,♣9,♥Q,♣K | Pair
♣4,♥4,♣9,♣K,♦A | Pair
♣4,♥4,♣6,♥Q,♣K | Pair
♣4,♥4,♣6,♣K,♦A | Pair
♣4,♥4,♥Q,♣K,♦A | Pair
♣4,♥4,♣6,♣9,♥Q | Pair
♣4,♥4,♣6,♣9,♦A | Pair
♣4,♥4,♣9,♥Q,♦A | Pair
♣4,♥4,♣6,♥Q,♦A | Pair
