♠2,♦9,♦4,♠T,♣T | Pair
♠2,♠T,♠8,♣Q,♣8 | Pair
♠2,♠T,♠8,♣8,♥4 | Pair
♠2,♠T,♠6,♣T,♥A | Pair
♠2,♠T,♠6,♣T,♣4 | Pair
♠2,♠T,♠6,♣T,♣Q | Pair
♠2,♠T,♠6,♣T,♣8 | Pair
♠2,♠T,♠6,♣T,♥4 | Pair
♠2,♠T,♠6,♣4,♥4 | Pair
♠2,♠T,♣T,♥A,♣4 | Pair
♠2,♠T,♣T,♥A,♣Q | Pair
♠2,♠T,♣T,♥A,♣8 | Pair
♠2,♠T,♣T,♥A,♥4 | Pair
♠2,♠T,♣T,♣4,♣Q | Pair
♠2,♠T,♣T,♣4,♣8 | Pair
♠2,♠T,♣T,♣4,♥4 | Two Pairs
♠2,♠T,♣T,♣Q,♣8 | Pair
♠2,♠T,♣T,♣Q,♥4 | Pair
♠2,♠T,♣T,♣8,♥4 | Pair
♠2,♠T,♥A,♣4,♥4 | Pair
♠2,♠T,♣4,♣Q,♥4 | Pair
♠2,♠T,♣4,♣8,♥4 | Pair
♠2,♠8,♠6,♣T,♣8 | Pair
♠2,♠8,♠6,♥A,♣8 | Pair
♠2,♠8,♠6,♣4,♣8 | Pair
♠2,♠8,♠6,♣4,♥4 | Pair
♠2,♠8,♠6,♣Q,♣8 | Pair
♠2,♠8,♠6,♣8,♥4 | Pair
♠2,♠8,♣T,♥A,♣8 | Pair
♠2,♠8,♣T,♣4,♣8 | Pair
♠2,♠8,♣T,♣4,♥4 | Pair
♠2,♠8,♣T,♣Q,♣8 | Pair
♠2,♠8,♣T,♣8,♥4 | Pair
♠2,♠8,♥A,♣4,♣8 | Pair
♠2,♠8,♥A,♣4,♥4 | Pair
♠2,♠8,♥A,♣Q,♣8 | Pair
♠2,♠8,♥A,♣8,♥4 | Pair
♠2,♠8,♣4,♣Q,♣8 | Pair
♠2,♠8,♣4,♣Q,♥4 | Pair
♠2,♠8,♣4,♣8,♥4 | Two Pairs
♠2,♠8,♣Q,♣8,♥4 | Pair
♠2,♠6,♣T,♣4,♥4 | Pair
♠2,♠6,♥A,♣4,♥4 | Pair
♠2,♠6,♣4,♣Q,♥4 | Pair
♠2,♠6,♣4,♣8,♥4 | Pair
♠2,♣T,♥A,♣4,♥4 | Pair
♠2,♣T,♣4,♣Q,♥4 | Pair
♠2,♣T,♣4,♣8,♥4 | Pair
♠2,♥A,♣4,♣Q,♥4 | Pair
♠2,♥A,♣4,♣8,♥4 | Pair
♠2,♣4,♣Q,♣8,♥4 | Pair
♦9,♦4,♠T,♠8,♣T | Pair
♦9,♦4,♠T,♠8,♣4 | Pair
♦9,♦4,♠T,♠8,♣8 | Pair
♦9,♦4,♠T,♠8,♥4 | Pair
♦9,♦4,♠T,♠6,♣T | Pair
♦9,♦4,♠T,♠6,♣4 | Pair
♦9,♦4,♠T,♠6,♥4 | Pair
♦9,♦4,♠T,♣T,♥A | Pair
♦9,♦4,♠T,♣T,♣4 | Two Pairs
♦9,♦4,♠T,♣T,♣Q | Pair
♦9,♦4,♠T,♣T,♣8 | Pair
♦9,♦4,♠T,♣T,♥4 | Two Pairs
♦9,♦4,♠T,♥A,♣4 | Pair
♦9,♦4,♠T,♥A,♥4 | Pair
♦9,♦4,♠T,♣4,♣Q | Pair
♦9,♦4,♠T,♣4,♣8 | Pair
♦9,♦4,♠T,♣4,♥4 | Full House
♦9,♦4,♠T,♣Q,♥4 | Pair
♦9,♦4,♠T,♣8,♥4 | Pair
♦9,♦4,♠8,♠6,♣4 | Pair
♦9,♦4,♠8,♠6,♣8 | Pair
♦9,♦4,♠8,♠6,♥4 | Pair
♦9,♦4,♠8,♣T,♣4 | Pair
♦9,♦4,♠8,♣T,♣8 | Pair
♦9,♦4,♠8,♣T,♥4 | Pair
♦9,♦4,♠8,♥A,♣4 | Pair
♦9,♦4,♠8,♥A,♣8 | Pair
♦9,♦4,♠8,♥A,♥4 | Pair
♦9,♦4,♠8,♣4,♣Q | Pair
♦9,♦4,♠8,♣4,♣8 | Two Pairs
♦9,♦4,♠8,♣4,♥4 | Full House
♦9,♦4,♠8,♣Q,♣8 | Pair
♦9,♦4,♠8,♣Q,♥4 | Pair
♦9,♦4,♠8,♣8,♥4 | Two Pairs
♦9,♦4,♠6,♣T,♣4 | Pair
♦9,♦4,♠6,♣T,♥4 | Pair
♦9,♦4,♠6,♥A,♣4 | Pair
♦9,♦4,♠6,♥A,♥4 | Pair
♦9,♦4,♠6,♣4,♣Q | Pair
♦9,♦4,♠6,♣4,♣8 | Pair
♦9,♦4,♠6,♣4,♥4 | Full House
♦9,♦4,♠6,♣Q,♥4 | Pair
♦9,♦4,♠6,♣8,♥4 | Pair
♦9,♦4,♣T,♥A,♣4 | Pair
♦9,♦4,♣T,♥A,♥4 | Pair
♦9,♦4,♣T,♣4,♣Q | Pair
♦9,♦4,♣T,♣4,♣8 | Pair
♦9,♦4,♣T,♣4,♥4 | Full House
♦9,♦4,♣T,♣Q,♥4 | Pair
♦9,♦4,♣T,♣8,♥4 | Pair
♦9,♦4,♥A,♣4,♣Q | Pair
♦9,♦4,♥A,♣4,♣8 | Pair
♦9,♦4,♥A,♣4,♥4 | Full House
♦9,♦4,♥A,♣Q,♥4 | Pair
♦9,♦4,♥A,♣8,♥4 | Pair
♦9,♦4,♣4,♣Q,♣8 | Pair
♦9,♦4,♣4,♣Q,♥4 | Full House
♦9,♦4,♣4,♣8,♥4 | Full House
♦9,♦4,♣Q,♣8,♥4 | Pair
♦9,♠T,♠8,♠6,♣T | Pair
♦9,♠T,♠8,♠6,♣8 | Pair
♦9,♠T,♠8,♣T,♥A | Pair
♦9,♠T,♠8,♣T,♣4 | Pair
♦9,♠T,♠8,♣T,♣Q | Pair
♦9,♠T,♠8,♣T,♣8 | Two Pairs
♦9,♠T,♠8,♣T,♥4 | Pair
♦9,♠T,♠8,♥A,♣8 | Pair
♦9,♠T,♠8,♣4,♣8 | Pair
♦9,♠T,♠8,♣4,♥4 | Pair
♦9,♠T,♠8,♣Q,♣8 | Pair
♦9,♠T,♠8,♣8,♥4 | Pair
♦9,♠T,♠6,♣T,♥A | Pair
♦9,♠T,♠6,♣T,♣4 | Pair
♦9,♠T,♠6,♣T,♣Q | Pair
♦9,♠T,♠6,♣T,♣8 | Pair
♦9,♠T,♠6,♣T,♥4 | Pair
♦9,♠T,♠6,♣4,♥4 | Pair
♦9,♠T,♣T,♥A,♣4 | Pair
♦9,♠T,♣T,♥A,♣Q | Pair
♦9,♠T,♣T,♥A,♣8 | Pair
♦9,♠T,♣T,♥A,♥4 | Pair
♦9,♠T,♣T,♣4,♣Q | Pair
♦9,♠T,♣T,♣4,♣8 | Pair
♦9,♠T,♣T,♣4,♥4 | Two Pairs
♦9,♠T,♣T,♣Q,♣8 | Pair
♦9,♠T,♣T,♣Q,♥4 | Pair
♦9,♠T,♣T,♣8,♥4 | Pair
♦9,♠T,♥A,♣4,♥4 | Pair
♦9,♠T,♣4,♣Q,♥4 | Pair
♦9,♠T,♣4,♣8,♥4 | Pair
♦9,♠8,♠6,♣T,♣8 | Pair
♦9,♠8,♠6,♥A,♣8 | Pair
♦9,♠8,♠6,♣4,♣8 | Pair
♦9,♠8,♠6,♣4,♥4 | Pair
♦9,♠8,♠6,♣Q,♣8 | Pair
♦9,♠8,♠6,♣8,♥4 | Pair
♦9,♠8,♣T,♥A,♣8 | Pair
♦9,♠8,♣T,♣4,♣8 | Pair
♦9,♠8,♣T,♣4,♥4 | Pair
♦9,♠8,♣T,♣Q,♣8 | Pair
♦9,♠8,♣T,♣8,♥4 | Pair
♦9,♠8,♥A,♣4,♣8 | Pair
♦9,♠8,♥A,♣4,♥4 | Pair
♦9,♠8,♥A,♣Q,♣8 | Pair
♦9,♠8,♥A,♣8,♥4 | Pair
♦9,♠8,♣4,♣Q,♣8 | Pair
♦9,♠8,♣4,♣Q,♥4 | Pair
♦9,♠8,♣4,♣8,♥4 | Two Pairs
♦9,♠8,♣Q,♣8,♥4 | Pair
♦9,♠6,♣T,♣4,♥4 | Pair
♦9,♠6,♥A,♣4,♥4 | Pair
♦9,♠6,♣4,♣Q,♥4 | Pair
♦9,♠6,♣4,♣8,♥4 | Pair
♦9,♣T,♥A,♣4,♥4 | Pair
♦9,♣T,♣4,♣Q,♥4 | Pair
♦9,♣T,♣4,♣8,♥4 | Pair
♦9,♥A,♣4,♣Q,♥4 | Pair
♦9,♥A,♣4,♣8,♥4 | Pair
♦9,♣4,♣Q,♣8,♥4 | Pair
♦4,♠T,♠8,♠6,♣T | Pair
♦4,♠T,♠8,♠6,♣4 | Pair
♦4,♠T,♠8,♠6,♣8 | Pair
♦4,♠T,♠8,♠6,♥4 | Pair
♦4,♠T,♠8,♣T,♥A | Pair
♦4,♠T,♠8,♣T,♣4 | Two Pairs
♦4,♠T,♠8,♣T,♣Q | Pair
♦4,♠T,♠8,♣T,♣8 | Two Pairs
♦4,♠T,♠8,♣T,♥4 | Two Pairs
♦4,♠T,♠8,♥A,♣4 | Pair
♦4,♠T,♠8,♥A,♣8 | Pair
♦4,♠T,♠8,♥A,♥4 | Pair
♦4,♠T,♠8,♣4,♣Q | Pair
♦4,♠T,♠8,♣4,♣8 | Two Pairs
♦4,♠T,♠8,♣4,♥4 | Full House
♦4,♠T,♠8,♣Q,♣8 | Pair
♦4,♠T,♠8,♣Q,♥4 | Pair
♦4,♠T,♠8,♣8,♥4 | Two Pairs
♦4,♠T,♠6,♣T,♥A | Pair
♦4,♠T,♠6,♣T,♣4 | Two Pairs
♦4,♠T,♠6,♣T,♣Q | Pair
♦4,♠T,♠6,♣T,♣8 | Pair
♦4,♠T,♠6,♣T,♥4 | Two Pairs
♦4,♠T,♠6,♥A,♣4 | Pair
♦4,♠T,♠6,♥A,♥4 | Pair
♦4,♠T,♠6,♣4,♣Q | Pair
♦4,♠T,♠6,♣4,♣8 | Pair
♦4,♠T,♠6,♣4,♥4 | Full House
♦4,♠T,♠6,♣Q,♥4 | Pair
♦4,♠T,♠6,♣8,♥4 | Pair
♦4,♠T,♣T,♥A,♣4 | Two Pairs
♦4,♠T,♣T,♥A,♣Q | Pair
♦4,♠T,♣T,♥A,♣8 | Pair
♦4,♠T,♣T,♥A,♥4 | Two Pairs
♦4,♠T,♣T,♣4,♣Q | Two Pairs
♦4,♠T,♣T,♣4,♣8 | Two Pairs
♦4,♠T,♣T,♣4,♥4 | Full House
♦4,♠T,♣T,♣Q,♣8 | Pair
♦4,♠T,♣T,♣Q,♥4 | Two Pairs
♦4,♠T,♣T,♣8,♥4 | Two Pairs
♦4,♠T,♥A,♣4,♣Q | Pair
♦4,♠T,♥A,♣4,♣8 | Pair
♦4,♠T,♥A,♣4,♥4 | Full House
♦4,♠T,♥A,♣Q,♥4 | Pair
♦4,♠T,♥A,♣8,♥4 | Pair
♦4,♠T,♣4,♣Q,♣8 | Pair
♦4,♠T,♣4,♣Q,♥4 | Full House
♦4,♠T,♣4,♣8,♥4 | Full House
♦4,♠T,♣Q,♣8,♥4 | Pair
♦4,♠8,♠6,♣T,♣4 | Pair
♦4,♠8,♠6,♣T,♣8 | Pair
♦4,♠8,♠6,♣T,♥4 | Pair
♦4,♠8,♠6,♥A,♣4 | Pair
♦4,♠8,♠6,♥A,♣8 | Pair
♦4,♠8,♠6,♥A,♥4 | Pair
♦4,♠8,♠6,♣4,♣Q | Pair
♦4,♠8,♠6,♣4,♣8 | Two Pairs
♦4,♠8,♠6,♣4,♥4 | Full House
♦4,♠8,♠6,♣Q,♣8 | Pair
♦4,♠8,♠6,♣Q,♥4 | Pair
♦4,♠8,♠6,♣8,♥4 | Two Pairs
♦4,♠8,♣T,♥A,♣4 | Pair
♦4,♠8,♣T,♥A,♣8 | Pair
♦4,♠8,♣T,♥A,♥4 | Pair
♦4,♠8,♣T,♣4,♣Q | Pair
♦4,♠8,♣T,♣4,♣8 | Two Pairs
♦4,♠8,♣T,♣4,♥4 | Full House
♦4,♠8,♣T,♣Q,♣8 | Pair
♦4,♠8,♣T,♣Q,♥4 | Pair
♦4,♠8,♣T,♣8,♥4 | Two Pairs
♦4,♠8,♥A,♣4,♣Q | Pair
♦4,♠8,♥A,♣4,♣8 | Two Pairs
♦4,♠8,♥A,♣4,♥4 | Full House
♦4,♠8,♥A,♣Q,♣8 | Pair
♦4,♠8,♥A,♣Q,♥4 | Pair
♦4,♠8,♥A,♣8,♥4 | Two Pairs
♦4,♠8,♣4,♣Q,♣8 | Two Pairs
♦4,♠8,♣4,♣Q,♥4 | Full House
♦4,♠8,♣4,♣8,♥4 | Full House
♦4,♠8,♣Q,♣8,♥4 | Two Pairs
♦4,♠6,♣T,♥A,♣4 | Pair
♦4,♠6,♣T,♥A,♥4 | Pair
♦4,♠6,♣T,♣4,♣Q | Pair
♦4,♠6,♣T,♣4,♣8 | Pair
♦4,♠6,♣T,♣4,♥4 | Full House
♦4,♠6,♣T,♣Q,♥4 | Pair
♦4,♠6,♣T,♣8,♥4 | Pair
♦4,♠6,♥A,♣4,♣Q | Pair
♦4,♠6,♥A,♣4,♣8 | Pair
♦4,♠6,♥A,♣4,♥4 | Full House
♦4,♠6,♥A,♣Q,♥4 | Pair
♦4,♠6,♥A,♣8,♥4 | Pair
♦4,♠6,♣4,♣Q,♣8 | Pair
♦4,♠6,♣4,♣Q,♥4 | Full House
♦4,♠6,♣4,♣8,♥4 | Full House
♦4,♠6,♣Q,♣8,♥4 | Pair
♦4,♣T,♥A,♣4,♣Q | Pair
♦4,♣T,♥A,♣4,♣8 | Pair
♦4,♣T,♥A,♣4,♥4 | Full House
♦4,♣T,♥A,♣Q,♥4 | Pair
♦4,♣T,♥A,♣8,♥4 | Pair
♦4,♣T,♣4,♣Q,♣8 | Pair
♦4,♣T,♣4,♣Q,♥4 | Full House
♦4,♣T,♣4,♣8,♥4 | Full House
♦4,♣T,♣Q,♣8,♥4 | Pair
♦4,♥A,♣4,♣Q,♣8 | Pair
♦4,♥A,♣4,♣Q,♥4 | Full House
♦4,♥A,♣4,♣8,♥4 | Full House
♦4,♥A,♣Q,♣8,♥4 | Pair
♦4,♣4,♣Q,♣8,♥4 | Full House
♠T,♠8,♠6,♣T,♥A | Pair
♠T,♠8,♠6,♣T,♣4 | Pair
♠T,♠8,♠6,♣T,♣Q | Pair
♠T,♠8,♠6,♣T,♣8 | Two Pairs
♠T,♠8,♠6,♣T,♥4 | Pair
♠T,♠8,♠6,♥A,♣8 | Pair
♠T,♠8,♠6,♣4,♣8 | Pair
♠T,♠8,♠6,♣4,♥4 | Pair
♠T,♠8,♠6,♣Q,♣8 | Pair
♠T,♠8,♠6,♣8,♥4 | Pair
♠T,♠8,♣T,♥A,♣4 | Pair
♠T,♠8,♣T,♥A,♣Q | Pair
♠T,♠8,♣T,♥A,♣8 | Two Pairs
♠T,♠8,♣T,♥A,♥4 | Pair
♠T,♠8,♣T,♣4,♣Q | Pair
♠T,♠8,♣T,♣4,♣8 | Two Pairs
♠T,♠8,♣T,♣4,♥4 | Two Pairs
♠T,♠8,♣T,♣Q,♣8 | Two Pairs
♠T,♠8,♣T,♣Q,♥4 | Pair
♠T,♠8,♣T,♣8,♥4 | Two Pairs
♠T,♠8,♥A,♣4,♣8 | Pair
♠T,♠8,♥A,♣4,♥4 | Pair
♠T,♠8,♥A,♣Q,♣8 | Pair
♠T,♠8,♥A,♣8,♥4 | Pair
♠T,♠8,♣4,♣Q,♣8 | Pair
♠T,♠8,♣4,♣Q,♥4 | Pair
♠T,♠8,♣4,♣8,♥4 | Two Pairs
♠T,♠8,♣Q,♣8,♥4 | Pair
♠T,♠6,♣T,♥A,♣4 | Pair
♠T,♠6,♣T,♥A,♣Q | Pair
♠T,♠6,♣T,♥A,♣8 | Pair
♠T,♠6,♣T,♥A,♥4 | Pair
♠T,♠6,♣T,♣4,♣Q | Pair
♠T,♠6,♣T,♣4,♣8 | Pair
♠T,♠6,♣T,♣4,♥4 | Two Pairs
♠T,♠6,♣T,♣Q,♣8 | Pair
♠T,♠6,♣T,♣Q,♥4 | Pair
♠T,♠6,♣T,♣8,♥4 | Pair
♠T,♠6,♥A,♣4,♥4 | Pair
♠T,♠6,♣4,♣Q,♥4 | Pair
♠T,♠6,♣4,♣8,♥4 | Pair
♠T,♣T,♥A,♣4,♣Q | Pair
♠T,♣T,♥A,♣4,♣8 | Pair
♠T,♣T,♥A,♣4,♥4 | Two Pairs
♠T,♣T,♥A,♣Q,♣8 | Pair
♠T,♣T,♥A,♣Q,♥4 | Pair
♠T,♣T,♥A,♣8,♥4 | Pair
♠T,♣T,♣4,♣Q,♣8 | Pair
♠T,♣T,♣4,♣Q,♥4 | Two Pairs
♠T,♣T,♣4,♣8,♥4 | Two Pairs
♠T,♣T,♣Q,♣8,♥4 | Pair
♠T,♥A,♣4,♣Q,♥4 | Pair
♠T,♥A,♣4,♣8,♥4 | Pair
♠T,♣4,♣Q,♣8,♥4 | Pair
♠8,♠6,♣T,♥A,♣8 | Pair
♠8,♠6,♣T,♣4,♣8 | Pair
♠8,♠6,♣T,♣4,♥4 | Pair
♠8,♠6,♣T,♣Q,♣8 | Pair
♠8,♠6,♣T,♣8,♥4 | Pair
♠8,♠6,♥A,♣4,♣8 | Pair
♠8,♠6,♥A,♣4,♥4 | Pair
♠8,♠6,♥A,♣Q,♣8 | Pair
♠8,♠6,♥A,♣8,♥4 | Pair
♠8,♠6,♣4,♣Q,♣8 | Pair
♠8,♠6,♣4,♣Q,♥4 | Pair
♠8,♠6,♣4,♣8,♥4 | Two Pairs
♠8,♠6,♣Q,♣8,♥4 | Pair
♠8,♣T,♥A,♣4,♣8 | Pair
♠8,♣T,♥A,♣4,♥4 | Pair
♠8,♣T,♥A,♣Q,♣8 | Pair
♠8,♣T,♥A,♣8,♥4 | Pair
♠8,♣T,♣4,♣Q,♣8 | Pair
♠8,♣T,♣4,♣Q,♥4 | Pair
♠8,♣T,♣4,♣8,♥4 | Two Pairs
♠8,♣T,♣Q,♣8,♥4 | Pair
♠8,♥A,♣4,♣Q,♣8 | Pair
♠8,♥A,♣4,♣Q,♥4 | Pair
♠8,♥A,♣4,♣8,♥4 | Two Pairs
♠8,♥A,♣Q,♣8,♥4 | Pair
♠8,♣4,♣Q,♣8,♥4 | Two Pairs
♠6,♣T,♥A,♣4,♥4 | Pair
♠6,♣T,♣4,♣Q,♥4 | Pair
♠6,♣T,♣4,♣8,♥4 | Pair
♠6,♥A,♣4,♣Q,♥4 | Pair
♠6,♥A,♣4,♣8,♥4 | Pair
♠6,♣4,♣Q,♣8,♥4 | Pair
♣T,♥A,♣4,♣Q,♥4 | Pair
♣T,♥A,♣4,♣8,♥4 | Pair
♣T,♣4,♣Q,♣8,♥4 | Pair
♥A,♣4,♣Q,♣8,♥4 | Pair
