♦3,♣2,♦2,♦3,♣6 | Pair
♦3,♦2,♦3,♥8,♦3 | Pair
♦3,♦2,♦3,♥8,♦3 | Three Of A Kind
♦3,♦2,♦3,♠A,♥3 | Pair
♦3,♦2,♦3,♠A,♥3 | Three Of A Kind
♦3,♦2,♦3,♠A,♠J | Pair
♦3,♦2,♦3,♠A,♠J | Pair
♦3,♦2,♦3,♠A,♦A | Pair
♦3,♦2,♦3,♠A,♦A | Pair
♦3,♦2,♦3,♠A,♦3 | Pair
♦3,♦2,♦3,♠A,♦3 | Three Of A Kind
♦3,♦2,♦3,♥3,♠J | Pair
♦3,♦2,♦3,♥3,♠J | Three Of A Kind
♦3,♦2,♦3,♥3,♦A | Pair
♦3,♦2,♦3,♥3,♦A | Three Of A Kind
♦3,♦2,♦3,♥3,♦3 | Pair
♦3,♦2,♦3,♥3,♦3 | Three Of A Kind
♦3,♦2,♦3,♥3,♦3 | Four Of A Kind
♦3,♦2,♦3,♠J,♦A | Pair
♦3,♦2,♦3,♠J,♦A | Pair
♦3,♦2,♦3,♠J,♦3 | Pair
♦3,♦2,♦3,♠J,♦3 | Three Of A Kind
♦3,♦2,♦3,♦A,♦3 | Pair
♦3,♦2,♦3,♦A,♦3 | Three Of A Kind
♦3,♦2,♣6,♥8,♥3 | Pair
♦3,♦2,♣6,♥8,♦3 | Pair
♦3,♦2,♣6,♠A,♥3 | Pair
♦3,♦2,♣6,♠A,♠J | Pair
♦3,♦2,♣6,♠A,♦A | Pair
♦3,♦2,♣6,♠A,♦3 | Pair
♦3,♦2,♣6,♥3,♠J | Pair
♦3,♦2,♣6,♥3,♦A | Pair
♦3,♦2,♣6,♥3,♦3 | Pair
♦3,♦2,♣6,♥3,♦3 | Three Of A Kind
♦3,♦2,♣6,♠J,♦A | Pair
♦3,♦2,♣6,♠J,♦3 | Pair
♦3,♦2,♣6,♦A,♦3 | Pair
♦3,♦2,♥8,♠A,♥3 | Pair
♦3,♦2,♥8,♠A,♠J | Pair
♦3,♦2,♥8,♠A,♦A | Pair
♦3,♦2,♥8,♠A,♦3 | Pair
♦3,♦2,♥8,♥3,♠J | Pair
♦3,♦2,♥8,♥3,♦A | Pair
♦3,♦2,♥8,♥3,♦3 | Pair
♦3,♦2,♥8,♥3,♦3 | Three Of A Kind
♦3,♦2,♥8,♠J,♦A | Pair
♦3,♦2,♥8,♠J,♦3 | Pair
♦3,♦2,♥8,♦A,♦3 | Pair
♦3,♦2,♠A,♥3,♠J | Pair
♦3,♦2,♠A,♥3,♠J | Pair
♦3,♦2,♠A,♥3,♦A | Pair
♦3,♦2,♠A,♥3,♦A | Pair
♦3,♦2,♠A,♥3,♦3 | Pair
♦3,♦2,♠A,♥3,♦3 | Three Of A Kind
♦3,♦2,♠A,♠J,♦A | Pair
♦3,♦2,♠A,♠J,♦A | Three Of A Kind
♦3,♦2,♠A,♠J,♦3 | Pair
♦3,♦2,♠A,♠J,♦3 | Pair
♦3,♦2,♠A,♦A,♦3 | Pair
♦3,♦2,♠A,♦A,♦3 | Pair
♦3,♦2,♥3,♠J,♦A | Pair
♦3,♦2,♥3,♠J,♦A | Pair
♦3,♦2,♥3,♠J,♦3 | Pair
♦3,♦2,♥3,♠J,♦3 | Three Of A Kind
♦3,♦2,♥3,♦A,♦3 | Pair
♦3,♦2,♥3,♦A,♦3 | Three Of A Kind
♦3,♦2,♠J,♦A,♦3 | Pair
♦3,♦2,♠J,♦A,♦3 | Pair
♦3,♦3,♣6,♥8,♠A | Pair
♦3,♦3,♣6,♥8,♥3 | Pair
♦3,♦3,♣6,♥8,♥3 | Three Of A Kind
♦3,♦3,♣6,♥8,♠J | Pair
♦3,♦3,♣6,♥8,♦A | Pair
♦3,♦3,♣6,♥8,♦3 | Pair
♦3,♦3,♣6,♥8,♦3 | Three Of A Kind
♦3,♦3,♣6,♠A,♥3 | Pair
♦3,♦3,♣6,♠A,♥3 | Three Of A Kind
♦3,♦3,♣6,♠A,♠J | Pair
♦3,♦3,♣6,♠A,♠J | Pair
♦3,♦3,♣6,♠A,♦A | Pair
♦3,♦3,♣6,♠A,♦A | Pair
♦3,♦3,♣6,♠A,♦3 | Pair
♦3,♦3,♣6,♠A,♦3 | Three Of A Kind
♦3,♦3,♣6,♥3,♠J | Pair
♦3,♦3,♣6,♥3,♠J | Three Of A Kind
♦3,♦3,♣6,♥3,♦A | Pair
♦3,♦3,♣6,♥3,♦A | Three Of A Kind
♦3,♦3,♣6,♥3,♦3 | Pair
♦3,♦3,♣6,♥3,♦3 | Three Of A Kind
♦3,♦3,♣6,♥3,♦3 | Four Of A Kind
♦3,♦3,♣6,♠J,♦A | Pair
♦3,♦3,♣6,♠J,♦A | Pair
♦3,♦3,♣6,♠J,♦3 | Pair
♦3,♦3,♣6,♠J,♦3 | Three Of A Kind
♦3,♦3,♣6,♦A,♦3 | Pair
♦3,♦3,♣6,♦A,♦3 | Three Of A Kind
♦3,♦3,♥8,♠A,♥3 | Pair
♦3,♦3,♥8,♠A,♥3 | Three Of A Kind
♦3,♦3,♥8,♠A,♠J | Pair
♦3,♦3,♥8,♠A,♠J | Pair
♦3,♦3,♥8,♠A,♦A | Pair
♦3,♦3,♥8,♠A,♦A | Pair
♦3,♦3,♥8,♠A,♦3 | Pair
♦3,♦3,♥8,♠A,♦3 | Three Of A Kind
♦3,♦3,♥8,♥3,♠J | Pair
♦3,♦3,♥8,♥3,♠J | Three Of A Kind
♦3,♦3,♥8,♥3,♦A | Pair
♦3,♦3,♥8,♥3,♦A | Three Of A Kind
♦3,♦3,♥8,♥3,♦3 | Pair
♦3,♦3,♥8,♥3,♦3 | Three Of A Kind
♦3,♦3,♥8,♥3,♦3 | Four Of A Kind
♦3,♦3,♥8,♠J,♦A | Pair
♦3,♦3,♥8,♠J,♦A | Pair
♦3,♦3,♥8,♠J,♦3 | Pair
♦3,♦3,♥8,♠J,♦3 | Three Of A Kind
♦3,♦3,♥8,♦A,♦3 | Pair
♦3,♦3,♥8,♦A,♦3 | Three Of A Kind
♦3,♦3,♠A,♥3,♠J | Pair
♦3,♦3,♠A,♥3,♠J | Three Of A Kind
♦3,♦3,♠A,♥3,♠J | Pair
♦3,♦3,♠A,♥3,♦A | Pair
♦3,♦3,♠A,♥3,♦A | Three Of A Kind
♦3,♦3,♠A,♥3,♦A | Pair
♦3,♦3,♠A,♥3,♦3 | Pair
♦3,♦3,♠A,♥3,♦3 | Three Of A Kind
♦3,♦3,♠A,♥3,♦3 | Four Of A Kind
♦3,♦3,♠A,♠J,♦A | Pair
♦3,♦3,♠A,♠J,♦A | Pair
♦3,♦3,♠A,♠J,♦A | Three Of A Kind
♦3,♦3,♠A,♠J,♦3 | Pair
♦3,♦3,♠A,♠J,♦3 | Three Of A Kind
♦3,♦3,♠A,♠J,♦3 | Pair
♦3,♦3,♠A,♦A,♦3 | Pair
♦3,♦3,♠A,♦A,♦3 | Three Of A Kind
♦3,♦3,♠A,♦A,♦3 | Pair
♦3,♦3,♥3,♠J,♦A | Pair
♦3,♦3,♥3,♠J,♦A | Three Of A Kind
♦3,♦3,♥3,♠J,♦A | Pair
♦3,♦3,♥3,♠J,♦3 | Pair
♦3,♦3,♥3,♠J,♦3 | Three Of A Kind
♦3,♦3,♥3,♠J,♦3 | Four Of A Kind
♦3,♦3,♥3,♦A,♦3 | Pair
♦3,♦3,♥3,♦A,♦3 | Three Of A Kind
♦3,♦3,♥3,♦A,♦3 | Four Of A Kind
♦3,♦3,♠J,♦A,♦3 | Pair
♦3,♦3,♠J,♦A,♦3 | Three Of A Kind
♦3,♦3,♠J,♦A,♦3 | Pair
♦3,♣6,♥8,♠A,♥3 | Pair
♦3,♣6,♥8,♠A,♠J | Pair
♦3,♣6,♥8,♠A,♦A | Pair
♦3,♣6,♥8,♠A,♦3 | Pair
♦3,♣6,♥8,♥3,♠J | Pair
♦3,♣6,♥8,♥3,♦A | Pair
♦3,♣6,♥8,♥3,♦3 | Pair
♦3,♣6,♥8,♥3,♦3 | Three Of A Kind
♦3,♣6,♥8,♠J,♦A | Pair
♦3,♣6,♥8,♠J,♦3 | Pair
♦3,♣6,♥8,♦A,♦3 | Pair
♦3,♣6,♠A,♥3,♠J | Pair
♦3,♣6,♠A,♥3,♠J | Pair
♦3,♣6,♠A,♥3,♦A | Pair
♦3,♣6,♠A,♥3,♦A | Pair
♦3,♣6,♠A,♥3,♦3 | Pair
♦3,♣6,♠A,♥3,♦3 | Three Of A Kind
♦3,♣6,♠A,♠J,♦A | Pair
♦3,♣6,♠A,♠J,♦A | Three Of A Kind
♦3,♣6,♠A,♠J,♦3 | Pair
♦3,♣6,♠A,♠J,♦3 | Pair
♦3,♣6,♠A,♦A,♦3 | Pair
♦3,♣6,♠A,♦A,♦3 | Pair
♦3,♣6,♥3,♠J,♦A | Pair
♦3,♣6,♥3,♠J,♦A | Pair
♦3,♣6,♥3,♠J,♦3 | Pair
♦3,♣6,♥3,♠J,♦3 | Three Of A Kind
♦3,♣6,♥3,♦A,♦3 | Pair
♦3,♣6,♥3,♦A,♦3 | Three Of A Kind
♦3,♣6,♠J,♦A,♦3 | Pair
♦3,♣6,♠J,♦A,♦3 | Pair
♦3,♥8,♠A,♥3,♠J | Pair
♦3,♥8,♠A,♥3,♠J | Pair
♦3,♥8,♠A,♥3,♦A | Pair
♦3,♥8,♠A,♥3,♦A | Pair
♦3,♥8,♠A,♥3,♦3 | Pair
♦3,♥8,♠A,♥3,♦3 | Three Of A Kind
♦3,♥8,♠A,♠J,♦A | Pair
♦3,♥8,♠A,♠J,♦A | Three Of A Kind
♦3,♥8,♠A,♠J,♦3 | Pair
♦3,♥8,♠A,♠J,♦3 | Pair
♦3,♥8,♠A,♦A,♦3 | Pair
♦3,♥8,♠A,♦A,♦3 | Pair
♦3,♥8,♥3,♠J,♦A | Pair
♦3,♥8,♥3,♠J,♦A | Pair
♦3,♥8,♥3,♠J,♦3 | Pair
♦3,♥8,♥3,♠J,♦3 | Three Of A Kind
♦3,♥8,♥3,♦A,♦3 | Pair
♦3,♥8,♥3,♦A,♦3 | Three Of A Kind
♦3,♥8,♠J,♦A,♦3 | Pair
♦3,♥8,♠J,♦A,♦3 | Pair
♦3,♠A,♥3,♠J,♦A | Pair
♦3,♠A,♥3,♠J,♦A | Pair
♦3,♠A,♥3,♠J,♦A | Three Of A Kind
♦3,♠A,♥3,♠J,♦3 | Pair
♦3,♠A,♥3,♠J,♦3 | Three Of A Kind
♦3,♠A,♥3,♠J,♦3 | Pair
♦3,♠A,♥3,♦A,♦3 | Pair
♦3,♠A,♥3,♦A,♦3 | Three Of A Kind
♦3,♠A,♥3,♦A,♦3 | Pair
♦3,♠A,♠J,♦A,♦3 | Pair
♦3,♠A,♠J,♦A,♦3 | Pair
♦3,♠A,♠J,♦A,♦3 | Three Of A Kind
♦3,♥3,♠J,♦A,♦3 | Pair
♦3,♥3,♠J,♦A,♦3 | Three Of A Kind
♦3,♥3,♠J,♦A,♦3 | Pair
♣2,♦2,♦3,♣6,♥8 | Pair
♣2,♦2,♦3,♣6,♠A | Pair
♣2,♦2,♦3,♣6,♥3 | Pair
♣2,♦2,♦3,♣6,♥3 | Pair
♣2,♦2,♦3,♣6,♠J | Pair
♣2,♦2,♦3,♣6,♦A | Pair
♣2,♦2,♦3,♣6,♦3 | Pair
♣2,♦2,♦3,♣6,♦3 | Pair
♣2,♦2,♦3,♥8,♠A | Pair
♣2,♦2,♦3,♥8,♥3 | Pair
♣2,♦2,♦3,♥8,♥3 | Pair
♣2,♦2,♦3,♥8,♠J | Pair
♣2,♦2,♦3,♥8,♦A | Pair
♣2,♦2,♦3,♥8,♦3 | Pair
♣2,♦2,♦3,♥8,♦3 | Pair
♣2,♦2,♦3,♠A,♥3 | Pair
♣2,♦2,♦3,♠A,♥3 | Pair
♣2,♦2,♦3,♠A,♠J | Pair
♣2,♦2,♦3,♠A,♠J | Pair
♣2,♦2,♦3,♠A,♦A | Pair
♣2,♦2,♦3,♠A,♦A | Pair
♣2,♦2,♦3,♠A,♦3 | Pair
♣2,♦2,♦3,♠A,♦3 | Pair
♣2,♦2,♦3,♥3,♠J | Pair
♣2,♦2,♦3,♥3,♠J | Pair
♣2,♦2,♦3,♥3,♦A | Pair
♣2,♦2,♦3,♥3,♦A | Pair
♣2,♦2,♦3,♥3,♦3 | Pair
♣2,♦2,♦3,♥3,♦3 | Three Of A Kind
♣2,♦2,♦3,♥3,♦3 | Pair
♣2,♦2,♦3,♠J,♦A | Pair
♣2,♦2,♦3,♠J,♦A | Pair
♣2,♦2,♦3,♠J,♦3 | Pair
♣2,♦2,♦3,♠J,♦3 | Pair
♣2,♦2,♦3,♦A,♦3 | Pair
♣2,♦2,♦3,♦A,♦3 | Pair
♣2,♦2,♣6,♥8,♠A | Pair
♣2,♦2,♣6,♥8,♥3 | Pair
♣2,♦2,♣6,♥8,♠J | Pair
♣2,♦2,♣6,♥8,♦A | Pair
♣2,♦2,♣6,♥8,♦3 | Pair
♣2,♦2,♣6,♠A,♥3 | Pair
♣2,♦2,♣6,♠A,♠J | Pair
♣2,♦2,♣6,♠A,♠J | Pair
♣2,♦2,♣6,♠A,♦A | Pair
♣2,♦2,♣6,♠A,♦A | Pair
♣2,♦2,♣6,♠A,♦3 | Pair
♣2,♦2,♣6,♥3,♠J | Pair
♣2,♦2,♣6,♥3,♦A | Pair
♣2,♦2,♣6,♥3,♦3 | Pair
♣2,♦2,♣6,♥3,♦3 | Pair
♣2,♦2,♣6,♠J,♦A | Pair
♣2,♦2,♣6,♠J,♦A | Pair
♣2,♦2,♣6,♠J,♦3 | Pair
♣2,♦2,♣6,♦A,♦3 | Pair
♣2,♦2,♥8,♠A,♥3 | Pair
♣2,♦2,♥8,♠A,♠J | Pair
♣2,♦2,♥8,♠A,♠J | Pair
♣2,♦2,♥8,♠A,♦A | Pair
♣2,♦2,♥8,♠A,♦A | Pair
♣2,♦2,♥8,♠A,♦3 | Pair
♣2,♦2,♥8,♥3,♠J | Pair
♣2,♦2,♥8,♥3,♦A | Pair
♣2,♦2,♥8,♥3,♦3 | Pair
♣2,♦2,♥8,♥3,♦3 | Pair
♣2,♦2,♥8,♠J,♦A | Pair
♣2,♦2,♥8,♠J,♦A | Pair
♣2,♦2,♥8,♠J,♦3 | Pair
♣2,♦2,♥8,♦A,♦3 | Pair
♣2,♦2,♠A,♥3,♠J | Pair
♣2,♦2,♠A,♥3,♠J | Pair
♣2,♦2,♠A,♥3,♦A | Pair
♣2,♦2,♠A,♥3,♦A | Pair
♣2,♦2,♠A,♥3,♦3 | Pair
♣2,♦2,♠A,♥3,♦3 | Pair
♣2,♦2,♠A,♠J,♦A | Pair
♣2,♦2,♠A,♠J,♦A | Pair
♣2,♦2,♠A,♠J,♦A | Three Of A Kind
♣2,♦2,♠A,♠J,♦3 | Pair
♣2,♦2,♠A,♠J,♦3 | Pair
♣2,♦2,♠A,♦A,♦3 | Pair
♣2,♦2,♠A,♦A,♦3 | Pair
♣2,♦2,♥3,♠J,♦A | Pair
♣2,♦2,♥3,♠J,♦A | Pair
♣2,♦2,♥3,♠J,♦3 | Pair
♣2,♦2,♥3,♠J,♦3 | Pair
♣2,♦2,♥3,♦A,♦3 | Pair
♣2,♦2,♥3,♦A,♦3 | Pair
♣2,♦2,♠J,♦A,♦3 | Pair
♣2,♦2,♠J,♦A,♦3 | Pair
♣2,♦3,♣6,♥8,♥3 | Pair
♣2,♦3,♣6,♥8,♦3 | Pair
♣2,♦3,♣6,♠A,♥3 | Pair
♣2,♦3,♣6,♠A,♠J | Pair
♣2,♦3,♣6,♠A,♦A | Pair
♣2,♦3,♣6,♠A,♦3 | Pair
♣2,♦3,♣6,♥3,♠J | Pair
♣2,♦3,♣6,♥3,♦A | Pair
♣2,♦3,♣6,♥3,♦3 | Pair
♣2,♦3,♣6,♥3,♦3 | Three Of A Kind
♣2,♦3,♣6,♠J,♦A | Pair
♣2,♦3,♣6,♠J,♦3 | Pair
♣2,♦3,♣6,♦A,♦3 | Pair
♣2,♦3,♥8,♠A,♥3 | Pair
♣2,♦3,♥8,♠A,♠J | Pair
♣2,♦3,♥8,♠A,♦A | Pair
♣2,♦3,♥8,♠A,♦3 | Pair
♣2,♦3,♥8,♥3,♠J | Pair
♣2,♦3,♥8,♥3,♦A | Pair
♣2,♦3,♥8,♥3,♦3 | Pair
♣2,♦3,♥8,♥3,♦3 | Three Of A Kind
♣2,♦3,♥8,♠J,♦A | Pair
♣2,♦3,♥8,♠J,♦3 | Pair
♣2,♦3,♥8,♦A,♦3 | Pair
♣2,♦3,♠A,♥3,♠J | Pair
♣2,♦3,♠A,♥3,♠J | Pair
♣2,♦3,♠A,♥3,♦A | Pair
♣2,♦3,♠A,♥3,♦A | Pair
♣2,♦3,♠A,♥3,♦3 | Pair
♣2,♦3,♠A,♥3,♦3 | Three Of A Kind
♣2,♦3,♠A,♠J,♦A | Pair
♣2,♦3,♠A,♠J,♦A | Three Of A Kind
♣2,♦3,♠A,♠J,♦3 | Pair
♣2,♦3,♠A,♠J,♦3 | Pair
♣2,♦3,♠A,♦A,♦3 | Pair
♣2,♦3,♠A,♦A,♦3 | Pair
♣2,♦3,♥3,♠J,♦A | Pair
♣2,♦3,♥3,♠J,♦A | Pair
♣2,♦3,♥3,♠J,♦3 | Pair
♣2,♦3,♥3,♠J,♦3 | Three Of A Kind
♣2,♦3,♥3,♦A,♦3 | Pair
♣2,♦3,♥3,♦A,♦3 | Three Of A Kind
♣2,♦3,♠J,♦A,♦3 | Pair
♣2,♦3,♠J,♦A,♦3 | Pair
♣2,♣6,♥8,♠A,♠J | Pair
♣2,♣6,♥8,♠A,♦A | Pair
♣2,♣6,♥8,♥3,♦3 | Pair
♣2,♣6,♥8,♠J,♦A | Pair
♣2,♣6,♠A,♥3,♠J | Pair
♣2,♣6,♠A,♥3,♦A | Pair
♣2,♣6,♠A,♥3,♦3 | Pair
♣2,♣6,♠A,♠J,♦A | Pair
♣2,♣6,♠A,♠J,♦A | Three Of A Kind
♣2,♣6,♠A,♠J,♦3 | Pair
♣2,♣6,♠A,♦A,♦3 | Pair
♣2,♣6,♥3,♠J,♦A | Pair
♣2,♣6,♥3,♠J,♦3 | Pair
♣2,♣6,♥3,♦A,♦3 | Pair
♣2,♣6,♠J,♦A,♦3 | Pair
♣2,♥8,♠A,♥3,♠J | Pair
♣2,♥8,♠A,♥3,♦A | Pair
♣2,♥8,♠A,♥3,♦3 | Pair
♣2,♥8,♠A,♠J,♦A | Pair
♣2,♥8,♠A,♠J,♦A | Three Of A Kind
♣2,♥8,♠A,♠J,♦3 | Pair
♣2,♥8,♠A,♦A,♦3 | Pair
♣2,♥8,♥3,♠J,♦A | Pair
♣2,♥8,♥3,♠J,♦3 | Pair
♣2,♥8,♥3,♦A,♦3 | Pair
♣2,♥8,♠J,♦A,♦3 | Pair
♣2,♠A,♥3,♠J,♦A | Pair
♣2,♠A,♥3,♠J,♦A | Three Of A Kind
♣2,♠A,♥3,♠J,♦3 | Pair
♣2,♠A,♥3,♠J,♦3 | Pair
♣2,♠A,♥3,♦A,♦3 | Pair
♣2,♠A,♥3,♦A,♦3 | Pair
♣2,♠A,♠J,♦A,♦3 | Pair
♣2,♠A,♠J,♦A,♦3 | Three Of A Kind
♣2,♥3,♠J,♦A,♦3 | Pair
♣2,♥3,♠J,♦A,♦3 | Pair
♦2,♦3,♣6,♥8,♥3 | Pair
♦2,♦3,♣6,♥8,♦3 | Pair
♦2,♦3,♣6,♠A,♥3 | Pair
♦2,♦3,♣6,♠A,♠J | Pair
♦2,♦3,♣6,♠A,♦A | Pair
♦2,♦3,♣6,♠A,♦3 | Pair
♦2,♦3,♣6,♥3,♠J | Pair
♦2,♦3,♣6,♥3,♦A | Pair
♦2,♦3,♣6,♥3,♦3 | Pair
♦2,♦3,♣6,♥3,♦3 | Three Of A Kind
♦2,♦3,♣6,♠J,♦A | Pair
♦2,♦3,♣6,♠J,♦3 | Pair
♦2,♦3,♣6,♦A,♦3 | Pair
♦2,♦3,♥8,♠A,♥3 | Pair
♦2,♦3,♥8,♠A,♠J | Pair
♦2,♦3,♥8,♠A,♦A | Pair
♦2,♦3,♥8,♠A,♦3 | Pair
♦2,♦3,♥8,♥3,♠J | Pair
♦2,♦3,♥8,♥3,♦A | Pair
♦2,♦3,♥8,♥3,♦3 | Pair
♦2,♦3,♥8,♥3,♦3 | Three Of A Kind
