♦K, ♥8, ♥5, ♣7, ♠7 | pair
♦K, ♥5, ♦4, ♠2, ♥2 | pair
♦K, ♥5, ♦4, ♠2, ♦5 | pair
♦K, ♥5, ♦4, ♥2, ♦5 | pair
♦K, ♥5, ♦4, ♠7, ♦5 | pair
♦K, ♥5, ♥10, ♦6, ♦5 | pair
♦K, ♥5, ♥10, ♦9, ♦5 | pair
♦K, ♥5, ♥10, ♠2, ♥2 | pair
♦K, ♥5, ♥10, ♠2, ♦5 | pair
♦K, ♥5, ♥10, ♥2, ♦5 | pair
♦K, ♥5, ♥10, ♠7, ♦5 | pair
♦K, ♥5, ♦6, ♦9, ♦5 | pair
♦K, ♥5, ♦6, ♠2, ♥2 | pair
♦K, ♥5, ♦6, ♠2, ♦5 | pair
♦K, ♥5, ♦6, ♥2, ♦5 | pair
♦K, ♥5, ♦6, ♠7, ♦5 | pair
♦K, ♥5, ♦9, ♠2, ♥2 | pair
♦K, ♥5, ♦9, ♠2, ♦5 | pair
♦K, ♥5, ♦9, ♥2, ♦5 | pair
♦K, ♥5, ♦9, ♠7, ♦5 | pair
♦K, ♥5, ♠2, ♥2, ♠7 | pair
♦K, ♥5, ♠2, ♥2, ♦5 | two pairs
♦K, ♥5, ♠2, ♠7, ♦5 | pair
♦K, ♥5, ♥2, ♠7, ♦5 | pair
♦K, ♣7, ♥4, ♦4, ♥10 | pair
♦K, ♣7, ♥4, ♦4, ♦6 | pair
♦K, ♣7, ♥4, ♦4, ♦9 | pair
♦K, ♣7, ♥4, ♦4, ♠2 | pair
♦K, ♣7, ♥4, ♦4, ♥2 | pair
♦K, ♣7, ♥4, ♦4, ♠7 | two pairs
♦K, ♣7, ♥4, ♦4, ♦5 | pair
♦K, ♣7, ♥4, ♥10, ♠7 | pair
♦K, ♣7, ♥4, ♦6, ♠7 | pair
♦K, ♣7, ♥4, ♦9, ♠7 | pair
♦K, ♣7, ♥4, ♠2, ♥2 | pair
♦K, ♣7, ♥4, ♠2, ♠7 | pair
♦K, ♣7, ♥4, ♥2, ♠7 | pair
♦K, ♣7, ♥4, ♠7, ♦5 | pair
♦K, ♣7, ♦4, ♥10, ♠7 | pair
♦K, ♣7, ♦4, ♦6, ♠7 | pair
♦K, ♣7, ♦4, ♦9, ♠7 | pair
♦K, ♣7, ♦4, ♠2, ♥2 | pair
♦K, ♣7, ♦4, ♠2, ♠7 | pair
♦K, ♣7, ♦4, ♥2, ♠7 | pair
♦K, ♣7, ♦4, ♠7, ♦5 | pair
♦K, ♣7, ♥10, ♦6, ♠7 | pair
♦K, ♣7, ♥10, ♦9, ♠7 | pair
♦K, ♣7, ♥10, ♠2, ♥2 | pair
♦K, ♣7, ♥10, ♠2, ♠7 | pair
♦K, ♣7, ♥10, ♥2, ♠7 | pair
♦K, ♣7, ♥10, ♠7, ♦5 | pair
♦K, ♣7, ♦6, ♦9, ♠7 | pair
♦K, ♣7, ♦6, ♠2, ♥2 | pair
♦K, ♣7, ♦6, ♠2, ♠7 | pair
♦K, ♣7, ♦6, ♥2, ♠7 | pair
♦K, ♣7, ♦6, ♠7, ♦5 | pair
♦K, ♣7, ♦9, ♠2, ♥2 | pair
♦K, ♣7, ♦9, ♠2, ♠7 | pair
♦K, ♣7, ♦9, ♥2, ♠7 | pair
♦K, ♣7, ♦9, ♠7, ♦5 | pair
♦K, ♣7, ♠2, ♥2, ♠7 | two pairs
♦K, ♣7, ♠2, ♥2, ♦5 | pair
♦K, ♣7, ♠2, ♠7, ♦5 | pair
♦K, ♣7, ♥2, ♠7, ♦5 | pair
♦K, ♥4, ♦4, ♥10, ♦6 | pair
♦K, ♥4, ♦4, ♥10, ♦9 | pair
♦K, ♥4, ♦4, ♥10, ♠2 | pair
♦K, ♥4, ♦4, ♥10, ♥2 | pair
♦K, ♥4, ♦4, ♥10, ♠7 | pair
♦K, ♥4, ♦4, ♥10, ♦5 | pair
♦K, ♥4, ♦4, ♦6, ♦9 | pair
♦K, ♥4, ♦4, ♦6, ♠2 | pair
♦K, ♥4, ♦4, ♦6, ♥2 | pair
♦K, ♥4, ♦4, ♦6, ♠7 | pair
♦K, ♥4, ♦4, ♦6, ♦5 | pair
♦K, ♥4, ♦4, ♦9, ♠2 | pair
♦K, ♥4, ♦4, ♦9, ♥2 | pair
♦K, ♥4, ♦4, ♦9, ♠7 | pair
♦K, ♥4, ♦4, ♦9, ♦5 | pair
♦K, ♥4, ♦4, ♠2, ♥2 | two pairs
♦K, ♥4, ♦4, ♠2, ♠7 | pair
♦K, ♥4, ♦4, ♠2, ♦5 | pair
♦K, ♥4, ♦4, ♥2, ♠7 | pair
♦K, ♥4, ♦4, ♥2, ♦5 | pair
♦K, ♥4, ♦4, ♠7, ♦5 | pair
♦K, ♥4, ♥10, ♠2, ♥2 | pair
♦K, ♥4, ♦6, ♠2, ♥2 | pair
♦K, ♥4, ♦9, ♠2, ♥2 | pair
♦K, ♥4, ♠2, ♥2, ♠7 | pair
♦K, ♥4, ♠2, ♥2, ♦5 | pair
♦K, ♦4, ♥10, ♠2, ♥2 | pair
♦K, ♦4, ♦6, ♦9, ♦5 | flush
♦K, ♦4, ♦6, ♠2, ♥2 | pair
♦K, ♦4, ♦9, ♠2, ♥2 | pair
♦K, ♦4, ♠2, ♥2, ♠7 | pair
♦K, ♦4, ♠2, ♥2, ♦5 | pair
♦K, ♥10, ♦6, ♠2, ♥2 | pair
♦K, ♥10, ♦9, ♠2, ♥2 | pair
♦K, ♥10, ♠2, ♥2, ♠7 | pair
♦K, ♥10, ♠2, ♥2, ♦5 | pair
♦K, ♦6, ♦9, ♠2, ♥2 | pair
♦K, ♦6, ♠2, ♥2, ♠7 | pair
♦K, ♦6, ♠2, ♥2, ♦5 | pair
♦K, ♦9, ♠2, ♥2, ♠7 | pair
♦K, ♦9, ♠2, ♥2, ♦5 | pair
♦K, ♠2, ♥2, ♠7, ♦5 | pair
♥8, ♥5, ♣7, ♥4, ♦4 | pair
♥8, ♥5, ♣7, ♥4, ♦6 | straight
♥8, ♥5, ♣7, ♥4, ♠7 | pair
♥8, ♥5, ♣7, ♥4, ♦5 | pair
♥8, ♥5, ♣7, ♦4, ♦6 | straight
♥8, ♥5, ♣7, ♦4, ♠7 | pair
♥8, ♥5, ♣7, ♦4, ♦5 | pair
♥8, ♥5, ♣7, ♥10, ♠7 | pair
♥8, ♥5, ♣7, ♥10, ♦5 | pair
♥8, ♥5, ♣7, ♦6, ♦9 | straight
♥8, ♥5, ♣7, ♦6, ♠7 | pair
♥8, ♥5, ♣7, ♦6, ♦5 | pair
♥8, ♥5, ♣7, ♦9, ♠7 | pair
♥8, ♥5, ♣7, ♦9, ♦5 | pair
♥8, ♥5, ♣7, ♠2, ♥2 | pair
♥8, ♥5, ♣7, ♠2, ♠7 | pair
♥8, ♥5, ♣7, ♠2, ♦5 | pair
♥8, ♥5, ♣7, ♥2, ♠7 | pair
♥8, ♥5, ♣7, ♥2, ♦5 | pair
♥8, ♥5, ♣7, ♠7, ♦5 | two pairs
♥8, ♥5, ♥4, ♦4, ♥10 | pair
♥8, ♥5, ♥4, ♦4, ♦6 | pair
♥8, ♥5, ♥4, ♦4, ♦9 | pair
♥8, ♥5, ♥4, ♦4, ♠2 | pair
♥8, ♥5, ♥4, ♦4, ♥2 | pair
♥8, ♥5, ♥4, ♦4, ♠7 | pair
♥8, ♥5, ♥4, ♦4, ♦5 | two pairs
♥8, ♥5, ♥4, ♥10, ♥2 | flush
♥8, ♥5, ♥4, ♥10, ♦5 | pair
♥8, ♥5, ♥4, ♦6, ♠7 | straight
♥8, ♥5, ♥4, ♦6, ♦5 | pair
♥8, ♥5, ♥4, ♦9, ♦5 | pair
♥8, ♥5, ♥4, ♠2, ♥2 | pair
♥8, ♥5, ♥4, ♠2, ♦5 | pair
♥8, ♥5, ♥4, ♥2, ♦5 | pair
♥8, ♥5, ♥4, ♠7, ♦5 | pair
♥8, ♥5, ♦4, ♥10, ♦5 | pair
♥8, ♥5, ♦4, ♦6, ♠7 | straight
♥8, ♥5, ♦4, ♦6, ♦5 | pair
♥8, ♥5, ♦4, ♦9, ♦5 | pair
♥8, ♥5, ♦4, ♠2, ♥2 | pair
♥8, ♥5, ♦4, ♠2, ♦5 | pair
♥8, ♥5, ♦4, ♥2, ♦5 | pair
♥8, ♥5, ♦4, ♠7, ♦5 | pair
♥8, ♥5, ♥10, ♦6, ♦5 | pair
♥8, ♥5, ♥10, ♦9, ♦5 | pair
♥8, ♥5, ♥10, ♠2, ♥2 | pair
♥8, ♥5, ♥10, ♠2, ♦5 | pair
♥8, ♥5, ♥10, ♥2, ♦5 | pair
♥8, ♥5, ♥10, ♠7, ♦5 | pair
♥8, ♥5, ♦6, ♦9, ♠7 | straight
♥8, ♥5, ♦6, ♦9, ♦5 | pair
♥8, ♥5, ♦6, ♠2, ♥2 | pair
♥8, ♥5, ♦6, ♠2, ♦5 | pair
♥8, ♥5, ♦6, ♥2, ♦5 | pair
♥8, ♥5, ♦6, ♠7, ♦5 | pair
♥8, ♥5, ♦9, ♠2, ♥2 | pair
♥8, ♥5, ♦9, ♠2, ♦5 | pair
♥8, ♥5, ♦9, ♥2, ♦5 | pair
♥8, ♥5, ♦9, ♠7, ♦5 | pair
♥8, ♥5, ♠2, ♥2, ♠7 | pair
♥8, ♥5, ♠2, ♥2, ♦5 | two pairs
♥8, ♥5, ♠2, ♠7, ♦5 | pair
♥8, ♥5, ♥2, ♠7, ♦5 | pair
♥8, ♣7, ♥4, ♦4, ♥10 | pair
♥8, ♣7, ♥4, ♦4, ♦6 | pair
♥8, ♣7, ♥4, ♦4, ♦9 | pair
♥8, ♣7, ♥4, ♦4, ♠2 | pair
♥8, ♣7, ♥4, ♦4, ♥2 | pair
♥8, ♣7, ♥4, ♦4, ♠7 | two pairs
♥8, ♣7, ♥4, ♦4, ♦5 | pair
♥8, ♣7, ♥4, ♥10, ♠7 | pair
♥8, ♣7, ♥4, ♦6, ♠7 | pair
♥8, ♣7, ♥4, ♦6, ♦5 | straight
♥8, ♣7, ♥4, ♦9, ♠7 | pair
♥8, ♣7, ♥4, ♠2, ♥2 | pair
♥8, ♣7, ♥4, ♠2, ♠7 | pair
♥8, ♣7, ♥4, ♥2, ♠7 | pair
♥8, ♣7, ♥4, ♠7, ♦5 | pair
♥8, ♣7, ♦4, ♥10, ♠7 | pair
♥8, ♣7, ♦4, ♦6, ♠7 | pair
♥8, ♣7, ♦4, ♦6, ♦5 | straight
♥8, ♣7, ♦4, ♦9, ♠7 | pair
♥8, ♣7, ♦4, ♠2, ♥2 | pair
♥8, ♣7, ♦4, ♠2, ♠7 | pair
♥8, ♣7, ♦4, ♥2, ♠7 | pair
♥8, ♣7, ♦4, ♠7, ♦5 | pair
♥8, ♣7, ♥10, ♦6, ♦9 | straight
♥8, ♣7, ♥10, ♦6, ♠7 | pair
♥8, ♣7, ♥10, ♦9, ♠7 | pair
♥8, ♣7, ♥10, ♠2, ♥2 | pair
♥8, ♣7, ♥10, ♠2, ♠7 | pair
♥8, ♣7, ♥10, ♥2, ♠7 | pair
♥8, ♣7, ♥10, ♠7, ♦5 | pair
♥8, ♣7, ♦6, ♦9, ♠7 | pair
♥8, ♣7, ♦6, ♦9, ♦5 | straight
♥8, ♣7, ♦6, ♠2, ♥2 | pair
♥8, ♣7, ♦6, ♠2, ♠7 | pair
♥8, ♣7, ♦6, ♥2, ♠7 | pair
♥8, ♣7, ♦6, ♠7, ♦5 | pair
♥8, ♣7, ♦9, ♠2, ♥2 | pair
♥8, ♣7, ♦9, ♠2, ♠7 | pair
♥8, ♣7, ♦9, ♥2, ♠7 | pair
♥8, ♣7, ♦9, ♠7, ♦5 | pair
♥8, ♣7, ♠2, ♥2, ♠7 | two pairs
♥8, ♣7, ♠2, ♥2, ♦5 | pair
♥8, ♣7, ♠2, ♠7, ♦5 | pair
♥8, ♣7, ♥2, ♠7, ♦5 | pair
♥8, ♥4, ♦4, ♥10, ♦6 | pair
♥8, ♥4, ♦4, ♥10, ♦9 | pair
♥8, ♥4, ♦4, ♥10, ♠2 | pair
♥8, ♥4, ♦4, ♥10, ♥2 | pair
♥8, ♥4, ♦4, ♥10, ♠7 | pair
♥8, ♥4, ♦4, ♥10, ♦5 | pair
♥8, ♥4, ♦4, ♦6, ♦9 | pair
♥8, ♥4, ♦4, ♦6, ♠2 | pair
♥8, ♥4, ♦4, ♦6, ♥2 | pair
♥8, ♥4, ♦4, ♦6, ♠7 | pair
♥8, ♥4, ♦4, ♦6, ♦5 | pair
♥8, ♥4, ♦4, ♦9, ♠2 | pair
♥8, ♥4, ♦4, ♦9, ♥2 | pair
♥8, ♥4, ♦4, ♦9, ♠7 | pair
♥8, ♥4, ♦4, ♦9, ♦5 | pair
♥8, ♥4, ♦4, ♠2, ♥2 | two pairs
♥8, ♥4, ♦4, ♠2, ♠7 | pair
♥8, ♥4, ♦4, ♠2, ♦5 | pair
♥8, ♥4, ♦4, ♥2, ♠7 | pair
♥8, ♥4, ♦4, ♥2, ♦5 | pair
♥8, ♥4, ♦4, ♠7, ♦5 | pair
♥8, ♥4, ♥10, ♠2, ♥2 | pair
♥8, ♥4, ♦6, ♠2, ♥2 | pair
♥8, ♥4, ♦6, ♠7, ♦5 | straight
♥8, ♥4, ♦9, ♠2, ♥2 | pair
♥8, ♥4, ♠2, ♥2, ♠7 | pair
♥8, ♥4, ♠2, ♥2, ♦5 | pair
♥8, ♦4, ♥10, ♠2, ♥2 | pair
♥8, ♦4, ♦6, ♠2, ♥2 | pair
♥8, ♦4, ♦6, ♠7, ♦5 | straight
♥8, ♦4, ♦9, ♠2, ♥2 | pair
♥8, ♦4, ♠2, ♥2, ♠7 | pair
♥8, ♦4, ♠2, ♥2, ♦5 | pair
♥8, ♥10, ♦6, ♦9, ♠7 | straight
♥8, ♥10, ♦6, ♠2, ♥2 | pair
♥8, ♥10, ♦9, ♠2, ♥2 | pair
♥8, ♥10, ♠2, ♥2, ♠7 | pair
♥8, ♥10, ♠2, ♥2, ♦5 | pair
♥8, ♦6, ♦9, ♠2, ♥2 | pair
♥8, ♦6, ♦9, ♠7, ♦5 | straight
♥8, ♦6, ♠2, ♥2, ♠7 | pair
♥8, ♦6, ♠2, ♥2, ♦5 | pair
♥8, ♦9, ♠2, ♥2, ♠7 | pair
♥8, ♦9, ♠2, ♥2, ♦5 | pair
♥8, ♠2, ♥2, ♠7, ♦5 | pair
♥5, ♣7, ♥4, ♦4, ♥10 | pair
♥5, ♣7, ♥4, ♦4, ♦6 | pair
♥5, ♣7, ♥4, ♦4, ♦9 | pair
♥5, ♣7, ♥4, ♦4, ♠2 | pair
♥5, ♣7, ♥4, ♦4, ♥2 | pair
♥5, ♣7, ♥4, ♦4, ♠7 | two pairs
♥5, ♣7, ♥4, ♦4, ♦5 | two pairs
♥5, ♣7, ♥4, ♥10, ♠7 | pair
♥5, ♣7, ♥4, ♥10, ♦5 | pair
♥5, ♣7, ♥4, ♦6, ♠7 | pair
♥5, ♣7, ♥4, ♦6, ♦5 | pair
♥5, ♣7, ♥4, ♦9, ♠7 | pair
♥5, ♣7, ♥4, ♦9, ♦5 | pair
♥5, ♣7, ♥4, ♠2, ♥2 | pair
♥5, ♣7, ♥4, ♠2, ♠7 | pair
♥5, ♣7, ♥4, ♠2, ♦5 | pair
♥5, ♣7, ♥4, ♥2, ♠7 | pair
♥5, ♣7, ♥4, ♥2, ♦5 | pair
♥5, ♣7, ♥4, ♠7, ♦5 | two pairs
♥5, ♣7, ♦4, ♥10, ♠7 | pair
♥5, ♣7, ♦4, ♥10, ♦5 | pair
♥5, ♣7, ♦4, ♦6, ♠7 | pair
♥5, ♣7, ♦4, ♦6, ♦5 | pair
♥5, ♣7, ♦4, ♦9, ♠7 | pair
♥5, ♣7, ♦4, ♦9, ♦5 | pair
♥5, ♣7, ♦4, ♠2, ♥2 | pair
♥5, ♣7, ♦4, ♠2, ♠7 | pair
♥5, ♣7, ♦4, ♠2, ♦5 | pair
♥5, ♣7, ♦4, ♥2, ♠7 | pair
♥5, ♣7, ♦4, ♥2, ♦5 | pair
♥5, ♣7, ♦4, ♠7, ♦5 | two pairs
♥5, ♣7, ♥10, ♦6, ♠7 | pair
♥5, ♣7, ♥10, ♦6, ♦5 | pair
♥5, ♣7, ♥10, ♦9, ♠7 | pair
♥5, ♣7, ♥10, ♦9, ♦5 | pair
♥5, ♣7, ♥10, ♠2, ♥2 | pair
♥5, ♣7, ♥10, ♠2, ♠7 | pair
♥5, ♣7, ♥10, ♠2, ♦5 | pair
♥5, ♣7, ♥10, ♥2, ♠7 | pair
♥5, ♣7, ♥10, ♥2, ♦5 | pair
♥5, ♣7, ♥10, ♠7, ♦5 | two pairs
♥5, ♣7, ♦6, ♦9, ♠7 | pair
♥5, ♣7, ♦6, ♦9, ♦5 | pair
♥5, ♣7, ♦6, ♠2, ♥2 | pair
♥5, ♣7, ♦6, ♠2, ♠7 | pair
♥5, ♣7, ♦6, ♠2, ♦5 | pair
♥5, ♣7, ♦6, ♥2, ♠7 | pair
♥5, ♣7, ♦6, ♥2, ♦5 | pair
♥5, ♣7, ♦6, ♠7, ♦5 | two pairs
♥5, ♣7, ♦9, ♠2, ♥2 | pair
♥5, ♣7, ♦9, ♠2, ♠7 | pair
♥5, ♣7, ♦9, ♠2, ♦5 | pair
♥5, ♣7, ♦9, ♥2, ♠7 | pair
♥5, ♣7, ♦9, ♥2, ♦5 | pair
♥5, ♣7, ♦9, ♠7, ♦5 | two pairs
♥5, ♣7, ♠2, ♥2, ♠7 | two pairs
♥5, ♣7, ♠2, ♥2, ♦5 | two pairs
♥5, ♣7, ♠2, ♠7, ♦5 | two pairs
♥5, ♣7, ♥2, ♠7, ♦5 | two pairs
♥5, ♥4, ♦4, ♥10, ♦6 | pair
♥5, ♥4, ♦4, ♥10, ♦9 | pair
♥5, ♥4, ♦4, ♥10, ♠2 | pair
♥5, ♥4, ♦4, ♥10, ♥2 | pair
♥5, ♥4, ♦4, ♥10, ♠7 | pair
♥5, ♥4, ♦4, ♥10, ♦5 | two pairs
♥5, ♥4, ♦4, ♦6, ♦9 | pair
♥5, ♥4, ♦4, ♦6, ♠2 | pair
♥5, ♥4, ♦4, ♦6, ♥2 | pair
♥5, ♥4, ♦4, ♦6, ♠7 | pair
♥5, ♥4, ♦4, ♦6, ♦5 | two pairs
♥5, ♥4, ♦4, ♦9, ♠2 | pair
♥5, ♥4, ♦4, ♦9, ♥2 | pair
♥5, ♥4, ♦4, ♦9, ♠7 | pair
♥5, ♥4, ♦4, ♦9, ♦5 | two pairs
♥5, ♥4, ♦4, ♠2, ♥2 | two pairs
♥5, ♥4, ♦4, ♠2, ♠7 | pair
♥5, ♥4, ♦4, ♠2, ♦5 | two pairs
♥5, ♥4, ♦4, ♥2, ♠7 | pair
♥5, ♥4, ♦4, ♥2, ♦5 | two pairs
♥5, ♥4, ♦4, ♠7, ♦5 | two pairs
♥5, ♥4, ♥10, ♦6, ♦5 | pair
♥5, ♥4, ♥10, ♦9, ♦5 | pair
♥5, ♥4, ♥10, ♠2, ♥2 | pair
♥5, ♥4, ♥10, ♠2, ♦5 | pair
♥5, ♥4, ♥10, ♥2, ♦5 | pair
♥5, ♥4, ♥10, ♠7, ♦5 | pair
♥5, ♥4, ♦6, ♦9, ♦5 | pair
♥5, ♥4, ♦6, ♠2, ♥2 | pair
♥5, ♥4, ♦6, ♠2, ♦5 | pair
♥5, ♥4, ♦6, ♥2, ♦5 | pair
♥5, ♥4, ♦6, ♠7, ♦5 | pair
♥5, ♥4, ♦9, ♠2, ♥2 | pair
♥5, ♥4, ♦9, ♠2, ♦5 | pair
♥5, ♥4, ♦9, ♥2, ♦5 | pair
♥5, ♥4, ♦9, ♠7, ♦5 | pair
♥5, ♥4, ♠2, ♥2, ♠7 | pair
♥5, ♥4, ♠2, ♥2, ♦5 | two pairs
♥5, ♥4, ♠2, ♠7, ♦5 | pair
♥5, ♥4, ♥2, ♠7, ♦5 | pair
♥5, ♦4, ♥10, ♦6, ♦5 | pair
♥5, ♦4, ♥10, ♦9, ♦5 | pair
♥5, ♦4, ♥10, ♠2, ♥2 | pair
♥5, ♦4, ♥10, ♠2, ♦5 | pair
♥5, ♦4, ♥10, ♥2, ♦5 | pair
♥5, ♦4, ♥10, ♠7, ♦5 | pair
♥5, ♦4, ♦6, ♦9, ♦5 | pair
♥5, ♦4, ♦6, ♠2, ♥2 | pair
♥5, ♦4, ♦6, ♠2, ♦5 | pair
♥5, ♦4, ♦6, ♥2, ♦5 | pair
♥5, ♦4, ♦6, ♠7, ♦5 | pair
♥5, ♦4, ♦9, ♠2, ♥2 | pair
♥5, ♦4, ♦9, ♠2, ♦5 | pair
♥5, ♦4, ♦9, ♥2, ♦5 | pair
♥5, ♦4, ♦9, ♠7, ♦5 | pair
♥5, ♦4, ♠2, ♥2, ♠7 | pair
♥5, ♦4, ♠2, ♥2, ♦5 | two pairs
♥5, ♦4, ♠2, ♠7, ♦5 | pair
♥5, ♦4, ♥2, ♠7, ♦5 | pair
♥5, ♥10, ♦6, ♦9, ♦5 | pair
♥5, ♥10, ♦6, ♠2, ♥2 | pair
♥5, ♥10, ♦6, ♠2, ♦5 | pair
♥5, ♥10, ♦6, ♥2, ♦5 | pair
♥5, ♥10, ♦6, ♠7, ♦5 | pair
♥5, ♥10, ♦9, ♠2, ♥2 | pair
♥5, ♥10, ♦9, ♠2, ♦5 | pair
♥5, ♥10, ♦9, ♥2, ♦5 | pair
♥5, ♥10, ♦9, ♠7, ♦5 | pair
♥5, ♥10, ♠2, ♥2, ♠7 | pair
♥5, ♥10, ♠2, ♥2, ♦5 | two pairs
♥5, ♥10, ♠2, ♠7, ♦5 | pair
♥5, ♥10, ♥2, ♠7, ♦5 | pair
♥5, ♦6, ♦9, ♠2, ♥2 | pair
♥5, ♦6, ♦9, ♠2, ♦5 | pair
♥5, ♦6, ♦9, ♥2, ♦5 | pair
♥5, ♦6, ♦9, ♠7, ♦5 | pair
♥5, ♦6, ♠2, ♥2, ♠7 | pair
♥5, ♦6, ♠2, ♥2, ♦5 | two pairs
♥5, ♦6, ♠2, ♠7, ♦5 | pair
♥5, ♦6, ♥2, ♠7, ♦5 | pair
♥5, ♦9, ♠2, ♥2, ♠7 | pair
♥5, ♦9, ♠2, ♥2, ♦5 | two pairs
♥5, ♦9, ♠2, ♠7, ♦5 | pair
♥5, ♦9, ♥2, ♠7, ♦5 | pair
♥5, ♠2, ♥2, ♠7, ♦5 | two pairs
♣7, ♥4, ♦4, ♥10, ♦6 | pair
♣7, ♥4, ♦4, ♥10, ♦9 | pair
♣7, ♥4, ♦4, ♥10, ♠2 | pair
♣7, ♥4, ♦4, ♥10, ♥2 | pair
♣7, ♥4, ♦4, ♥10, ♠7 | two pairs
♣7, ♥4, ♦4, ♥10, ♦5 | pair
♣7, ♥4, ♦4, ♦6, ♦9 | pair
♣7, ♥4, ♦4, ♦6, ♠2 | pair
♣7, ♥4, ♦4, ♦6, ♥2 | pair
♣7, ♥4, ♦4, ♦6, ♠7 | two pairs
♣7, ♥4, ♦4, ♦6, ♦5 | pair
♣7, ♥4, ♦4, ♦9, ♠2 | pair
♣7, ♥4, ♦4, ♦9, ♥2 | pair
♣7, ♥4, ♦4, ♦9, ♠7 | two pairs
♣7, ♥4, ♦4, ♦9, ♦5 | pair
♣7, ♥4, ♦4, ♠2, ♥2 | two pairs
♣7, ♥4, ♦4, ♠2, ♠7 | two pairs
♣7, ♥4, ♦4, ♠2, ♦5 | pair
♣7, ♥4, ♦4, ♥2, ♠7 | two pairs
♣7, ♥4, ♦4, ♥2, ♦5 | pair
♣7, ♥4, ♦4, ♠7, ♦5 | two pairs
♣7, ♥4, ♥10, ♦6, ♠7 | pair
♣7, ♥4, ♥10, ♦9, ♠7 | pair
