♠4,♠2,♥A,♠6,♦6 | Pair
♠4,♣3,♦6,♠9,♣6 | Pair
♠4,♣3,♦6,♣5,♣6 | Pair
♠4,♣3,♦6,♣6,♥8 | Pair
♠4,♦6,♠9,♣5,♣6 | Pair
♠4,♦6,♠9,♣6,♥8 | Pair
♠4,♦6,♣5,♣6,♥8 | Pair
♠2,♥A,♠6,♥T,♦6 | Pair
♠2,♥A,♠6,♥T,♣6 | Pair
♠2,♥A,♠6,♦9,♦6 | Pair
♠2,♥A,♠6,♦9,♠9 | Pair
♠2,♥A,♠6,♦9,♣6 | Pair
♠2,♥A,♠6,♥7,♦6 | Pair
♠2,♥A,♠6,♥7,♣6 | Pair
♠2,♥A,♠6,♣3,♦6 | Pair
♠2,♥A,♠6,♣3,♣6 | Pair
♠2,♥A,♠6,♦6,♠9 | Pair
♠2,♥A,♠6,♦6,♣5 | Pair
♠2,♥A,♠6,♦6,♣6 | Full House
♠2,♥A,♠6,♦6,♥8 | Pair
♠2,♥A,♠6,♠9,♣6 | Pair
♠2,♥A,♠6,♣5,♣6 | Pair
♠2,♥A,♠6,♣6,♥8 | Pair
♠2,♥A,♥T,♦9,♠9 | Pair
♠2,♥A,♥T,♦6,♣6 | Pair
♠2,♥A,♦9,♥7,♠9 | Pair
♠2,♥A,♦9,♣3,♠9 | Pair
♠2,♥A,♦9,♦6,♠9 | Pair
♠2,♥A,♦9,♦6,♣6 | Pair
♠2,♥A,♦9,♠9,♣5 | Pair
♠2,♥A,♦9,♠9,♣6 | Pair
♠2,♥A,♦9,♠9,♥8 | Pair
♠2,♥A,♥7,♦6,♣6 | Pair
♠2,♥A,♣3,♦6,♣6 | Pair
♠2,♥A,♦6,♠9,♣6 | Pair
♠2,♥A,♦6,♣5,♣6 | Pair
♠2,♥A,♦6,♣6,♥8 | Pair
♠2,♠6,♥T,♦9,♦6 | Pair
♠2,♠6,♥T,♦9,♠9 | Pair
♠2,♠6,♥T,♦9,♣6 | Pair
♠2,♠6,♥T,♥7,♦6 | Pair
♠2,♠6,♥T,♥7,♣6 | Pair
♠2,♠6,♥T,♣3,♦6 | Pair
♠2,♠6,♥T,♣3,♣6 | Pair
♠2,♠6,♥T,♦6,♠9 | Pair
♠2,♠6,♥T,♦6,♣5 | Pair
♠2,♠6,♥T,♦6,♣6 | Full House
♠2,♠6,♥T,♦6,♥8 | Pair
♠2,♠6,♥T,♠9,♣6 | Pair
♠2,♠6,♥T,♣5,♣6 | Pair
♠2,♠6,♥T,♣6,♥8 | Pair
♠2,♠6,♦9,♥7,♦6 | Pair
♠2,♠6,♦9,♥7,♠9 | Pair
♠2,♠6,♦9,♥7,♣6 | Pair
♠2,♠6,♦9,♣3,♦6 | Pair
♠2,♠6,♦9,♣3,♠9 | Pair
♠2,♠6,♦9,♣3,♣6 | Pair
♠2,♠6,♦9,♦6,♠9 | Two Pairs
♠2,♠6,♦9,♦6,♣5 | Pair
♠2,♠6,♦9,♦6,♣6 | Full House
♠2,♠6,♦9,♦6,♥8 | Pair
♠2,♠6,♦9,♠9,♣5 | Pair
♠2,♠6,♦9,♠9,♣6 | Two Pairs
♠2,♠6,♦9,♠9,♥8 | Pair
♠2,♠6,♦9,♣5,♣6 | Pair
♠2,♠6,♦9,♣6,♥8 | Pair
♠2,♠6,♥7,♣3,♦6 | Pair
♠2,♠6,♥7,♣3,♣6 | Pair
♠2,♠6,♥7,♦6,♠9 | Pair
♠2,♠6,♥7,♦6,♣5 | Pair
♠2,♠6,♥7,♦6,♣6 | Full House
♠2,♠6,♥7,♦6,♥8 | Pair
♠2,♠6,♥7,♠9,♣6 | Pair
♠2,♠6,♥7,♣5,♣6 | Pair
♠2,♠6,♥7,♣6,♥8 | Pair
♠2,♠6,♣3,♦6,♠9 | Pair
♠2,♠6,♣3,♦6,♣5 | Pair
♠2,♠6,♣3,♦6,♣6 | Full House
♠2,♠6,♣3,♦6,♥8 | Pair
♠2,♠6,♣3,♠9,♣6 | Pair
♠2,♠6,♣3,♣5,♣6 | Pair
♠2,♠6,♣3,♣6,♥8 | Pair
♠2,♠6,♦6,♠9,♣5 | Pair
♠2,♠6,♦6,♠9,♣6 | Full House
♠2,♠6,♦6,♠9,♥8 | Pair
♠2,♠6,♦6,♣5,♣6 | Full House
♠2,♠6,♦6,♣5,♥8 | Pair
♠2,♠6,♦6,♣6,♥8 | Full House
♠2,♠6,♠9,♣5,♣6 | Pair
♠2,♠6,♠9,♣6,♥8 | Pair
♠2,♠6,♣5,♣6,♥8 | Pair
♠2,♥T,♦9,♥7,♠9 | Pair
♠2,♥T,♦9,♣3,♠9 | Pair
♠2,♥T,♦9,♦6,♠9 | Pair
♠2,♥T,♦9,♦6,♣6 | Pair
♠2,♥T,♦9,♠9,♣5 | Pair
♠2,♥T,♦9,♠9,♣6 | Pair
♠2,♥T,♦9,♠9,♥8 | Pair
♠2,♥T,♥7,♦6,♣6 | Pair
♠2,♥T,♣3,♦6,♣6 | Pair
♠2,♥T,♦6,♠9,♣6 | Pair
♠2,♥T,♦6,♣5,♣6 | Pair
♠2,♥T,♦6,♣6,♥8 | Pair
♠2,♦9,♥7,♣3,♠9 | Pair
♠2,♦9,♥7,♦6,♠9 | Pair
♠2,♦9,♥7,♦6,♣6 | Pair
♠2,♦9,♥7,♠9,♣5 | Pair
♠2,♦9,♥7,♠9,♣6 | Pair
♠2,♦9,♥7,♠9,♥8 | Pair
♠2,♦9,♣3,♦6,♠9 | Pair
♠2,♦9,♣3,♦6,♣6 | Pair
♠2,♦9,♣3,♠9,♣5 | Pair
♠2,♦9,♣3,♠9,♣6 | Pair
♠2,♦9,♣3,♠9,♥8 | Pair
♠2,♦9,♦6,♠9,♣5 | Pair
♠2,♦9,♦6,♠9,♣6 | Two Pairs
♠2,♦9,♦6,♠9,♥8 | Pair
♠2,♦9,♦6,♣5,♣6 | Pair
♠2,♦9,♦6,♣6,♥8 | Pair
♠2,♦9,♠9,♣5,♣6 | Pair
♠2,♦9,♠9,♣5,♥8 | Pair
♠2,♦9,♠9,♣6,♥8 | Pair
♠2,♥7,♣3,♦6,♣6 | Pair
♠2,♥7,♦6,♠9,♣6 | Pair
♠2,♥7,♦6,♣5,♣6 | Pair
♠2,♥7,♦6,♣6,♥8 | Pair
♠2,♣3,♦6,♠9,♣6 | Pair
♠2,♣3,♦6,♣5,♣6 | Pair
♠2,♣3,♦6,♣6,♥8 | Pair
♠2,♦6,♠9,♣5,♣6 | Pair
♠2,♦6,♠9,♣6,♥8 | Pair
♠2,♦6,♣5,♣6,♥8 | Pair
♥A,♠6,♥T,♦9,♦6 | Pair
♥A,♠6,♥T,♦9,♠9 | Pair
♥A,♠6,♥T,♦9,♣6 | Pair
♥A,♠6,♥T,♥7,♦6 | Pair
♥A,♠6,♥T,♥7,♣6 | Pair
♥A,♠6,♥T,♣3,♦6 | Pair
♥A,♠6,♥T,♣3,♣6 | Pair
♥A,♠6,♥T,♦6,♠9 | Pair
♥A,♠6,♥T,♦6,♣5 | Pair
♥A,♠6,♥T,♦6,♣6 | Full House
♥A,♠6,♥T,♦6,♥8 | Pair
♥A,♠6,♥T,♠9,♣6 | Pair
♥A,♠6,♥T,♣5,♣6 | Pair
♥A,♠6,♥T,♣6,♥8 | Pair
♥A,♠6,♦9,♥7,♦6 | Pair
♥A,♠6,♦9,♥7,♠9 | Pair
♥A,♠6,♦9,♥7,♣6 | Pair
♥A,♠6,♦9,♣3,♦6 | Pair
♥A,♠6,♦9,♣3,♠9 | Pair
♥A,♠6,♦9,♣3,♣6 | Pair
♥A,♠6,♦9,♦6,♠9 | Two Pairs
♥A,♠6,♦9,♦6,♣5 | Pair
♥A,♠6,♦9,♦6,♣6 | Full House
♥A,♠6,♦9,♦6,♥8 | Pair
♥A,♠6,♦9,♠9,♣5 | Pair
♥A,♠6,♦9,♠9,♣6 | Two Pairs
♥A,♠6,♦9,♠9,♥8 | Pair
♥A,♠6,♦9,♣5,♣6 | Pair
♥A,♠6,♦9,♣6,♥8 | Pair
♥A,♠6,♥7,♣3,♦6 | Pair
♥A,♠6,♥7,♣3,♣6 | Pair
♥A,♠6,♥7,♦6,♠9 | Pair
♥A,♠6,♥7,♦6,♣5 | Pair
♥A,♠6,♥7,♦6,♣6 | Full House
♥A,♠6,♥7,♦6,♥8 | Pair
♥A,♠6,♥7,♠9,♣6 | Pair
♥A,♠6,♥7,♣5,♣6 | Pair
♥A,♠6,♥7,♣6,♥8 | Pair
♥A,♠6,♣3,♦6,♠9 | Pair
♥A,♠6,♣3,♦6,♣5 | Pair
♥A,♠6,♣3,♦6,♣6 | Full House
♥A,♠6,♣3,♦6,♥8 | Pair
♥A,♠6,♣3,♠9,♣6 | Pair
♥A,♠6,♣3,♣5,♣6 | Pair
♥A,♠6,♣3,♣6,♥8 | Pair
♥A,♠6,♦6,♠9,♣5 | Pair
♥A,♠6,♦6,♠9,♣6 | Full House
♥A,♠6,♦6,♠9,♥8 | Pair
♥A,♠6,♦6,♣5,♣6 | Full House
♥A,♠6,♦6,♣5,♥8 | Pair
♥A,♠6,♦6,♣6,♥8 | Full House
♥A,♠6,♠9,♣5,♣6 | Pair
♥A,♠6,♠9,♣6,♥8 | Pair
♥A,♠6,♣5,♣6,♥8 | Pair
♥A,♥T,♦9,♥7,♠9 | Pair
♥A,♥T,♦9,♣3,♠9 | Pair
♥A,♥T,♦9,♦6,♠9 | Pair
♥A,♥T,♦9,♦6,♣6 | Pair
♥A,♥T,♦9,♠9,♣5 | Pair
♥A,♥T,♦9,♠9,♣6 | Pair
♥A,♥T,♦9,♠9,♥8 | Pair
♥A,♥T,♥7,♦6,♣6 | Pair
♥A,♥T,♣3,♦6,♣6 | Pair
♥A,♥T,♦6,♠9,♣6 | Pair
♥A,♥T,♦6,♣5,♣6 | Pair
♥A,♥T,♦6,♣6,♥8 | Pair
♥A,♦9,♥7,♣3,♠9 | Pair
♥A,♦9,♥7,♦6,♠9 | Pair
♥A,♦9,♥7,♦6,♣6 | Pair
♥A,♦9,♥7,♠9,♣5 | Pair
♥A,♦9,♥7,♠9,♣6 | Pair
♥A,♦9,♥7,♠9,♥8 | Pair
♥A,♦9,♣3,♦6,♠9 | Pair
♥A,♦9,♣3,♦6,♣6 | Pair
♥A,♦9,♣3,♠9,♣5 | Pair
♥A,♦9,♣3,♠9,♣6 | Pair
♥A,♦9,♣3,♠9,♥8 | Pair
♥A,♦9,♦6,♠9,♣5 | Pair
♥A,♦9,♦6,♠9,♣6 | Two Pairs
♥A,♦9,♦6,♠9,♥8 | Pair
♥A,♦9,♦6,♣5,♣6 | Pair
♥A,♦9,♦6,♣6,♥8 | Pair
♥A,♦9,♠9,♣5,♣6 | Pair
♥A,♦9,♠9,♣5,♥8 | Pair
♥A,♦9,♠9,♣6,♥8 | Pair
♥A,♥7,♣3,♦6,♣6 | Pair
♥A,♥7,♦6,♠9,♣6 | Pair
♥A,♥7,♦6,♣5,♣6 | Pair
♥A,♥7,♦6,♣6,♥8 | Pair
♥A,♣3,♦6,♠9,♣6 | Pair
♥A,♣3,♦6,♣5,♣6 | Pair
♥A,♣3,♦6,♣6,♥8 | Pair
♥A,♦6,♠9,♣5,♣6 | Pair
♥A,♦6,♠9,♣6,♥8 | Pair
♥A,♦6,♣5,♣6,♥8 | Pair
♠6,♥T,♦9,♥7,♦6 | Pair
♠6,♥T,♦9,♥7,♠9 | Pair
♠6,♥T,♦9,♥7,♣6 | Pair
♠6,♥T,♦9,♣3,♦6 | Pair
♠6,♥T,♦9,♣3,♠9 | Pair
♠6,♥T,♦9,♣3,♣6 | Pair
♠6,♥T,♦9,♦6,♠9 | Two Pairs
♠6,♥T,♦9,♦6,♣5 | Pair
♠6,♥T,♦9,♦6,♣6 | Full House
♠6,♥T,♦9,♦6,♥8 | Pair
♠6,♥T,♦9,♠9,♣5 | Pair
♠6,♥T,♦9,♠9,♣6 | Two Pairs
♠6,♥T,♦9,♠9,♥8 | Pair
♠6,♥T,♦9,♣5,♣6 | Pair
♠6,♥T,♦9,♣6,♥8 | Pair
♠6,♥T,♥7,♣3,♦6 | Pair
♠6,♥T,♥7,♣3,♣6 | Pair
♠6,♥T,♥7,♦6,♠9 | Pair
♠6,♥T,♥7,♦6,♣5 | Pair
♠6,♥T,♥7,♦6,♣6 | Full House
♠6,♥T,♥7,♦6,♥8 | Pair
♠6,♥T,♥7,♠9,♣6 | Pair
♠6,♥T,♥7,♣5,♣6 | Pair
♠6,♥T,♥7,♣6,♥8 | Pair
♠6,♥T,♣3,♦6,♠9 | Pair
♠6,♥T,♣3,♦6,♣5 | Pair
♠6,♥T,♣3,♦6,♣6 | Full House
♠6,♥T,♣3,♦6,♥8 | Pair
♠6,♥T,♣3,♠9,♣6 | Pair
♠6,♥T,♣3,♣5,♣6 | Pair
♠6,♥T,♣3,♣6,♥8 | Pair
♠6,♥T,♦6,♠9,♣5 | Pair
♠6,♥T,♦6,♠9,♣6 | Full House
♠6,♥T,♦6,♠9,♥8 | Pair
♠6,♥T,♦6,♣5,♣6 | Full House
♠6,♥T,♦6,♣5,♥8 | Pair
♠6,♥T,♦6,♣6,♥8 | Full House
♠6,♥T,♠9,♣5,♣6 | Pair
♠6,♥T,♠9,♣6,♥8 | Pair
♠6,♥T,♣5,♣6,♥8 | Pair
♠6,♦9,♥7,♣3,♦6 | Pair
♠6,♦9,♥7,♣3,♠9 | Pair
♠6,♦9,♥7,♣3,♣6 | Pair
♠6,♦9,♥7,♦6,♠9 | Two Pairs
♠6,♦9,♥7,♦6,♣5 | Pair
♠6,♦9,♥7,♦6,♣6 | Full House
♠6,♦9,♥7,♦6,♥8 | Pair
♠6,♦9,♥7,♠9,♣5 | Pair
♠6,♦9,♥7,♠9,♣6 | Two Pairs
♠6,♦9,♥7,♠9,♥8 | Pair
♠6,♦9,♥7,♣5,♣6 | Pair
♠6,♦9,♥7,♣6,♥8 | Pair
♠6,♦9,♣3,♦6,♠9 | Two Pairs
♠6,♦9,♣3,♦6,♣5 | Pair
♠6,♦9,♣3,♦6,♣6 | Full House
♠6,♦9,♣3,♦6,♥8 | Pair
♠6,♦9,♣3,♠9,♣5 | Pair
♠6,♦9,♣3,♠9,♣6 | Two Pairs
♠6,♦9,♣3,♠9,♥8 | Pair
♠6,♦9,♣3,♣5,♣6 | Pair
♠6,♦9,♣3,♣6,♥8 | Pair
♠6,♦9,♦6,♠9,♣5 | Two Pairs
♠6,♦9,♦6,♠9,♣6 | Full House
♠6,♦9,♦6,♠9,♥8 | Two Pairs
♠6,♦9,♦6,♣5,♣6 | Full House
♠6,♦9,♦6,♣5,♥8 | Pair
♠6,♦9,♦6,♣6,♥8 | Full House
♠6,♦9,♠9,♣5,♣6 | Two Pairs
♠6,♦9,♠9,♣5,♥8 | Pair
♠6,♦9,♠9,♣6,♥8 | Two Pairs
♠6,♦9,♣5,♣6,♥8 | Pair
♠6,♥7,♣3,♦6,♠9 | Pair
♠6,♥7,♣3,♦6,♣5 | Pair
♠6,♥7,♣3,♦6,♣6 | Full House
♠6,♥7,♣3,♦6,♥8 | Pair
♠6,♥7,♣3,♠9,♣6 | Pair
♠6,♥7,♣3,♣5,♣6 | Pair
♠6,♥7,♣3,♣6,♥8 | Pair
♠6,♥7,♦6,♠9,♣5 | Pair
♠6,♥7,♦6,♠9,♣6 | Full House
♠6,♥7,♦6,♠9,♥8 | Pair
♠6,♥7,♦6,♣5,♣6 | Full House
♠6,♥7,♦6,♣5,♥8 | Pair
♠6,♥7,♦6,♣6,♥8 | Full House
♠6,♥7,♠9,♣5,♣6 | Pair
♠6,♥7,♠9,♣6,♥8 | Pair
♠6,♥7,♣5,♣6,♥8 | Pair
♠6,♣3,♦6,♠9,♣5 | Pair
♠6,♣3,♦6,♠9,♣6 | Full House
♠6,♣3,♦6,♠9,♥8 | Pair
♠6,♣3,♦6,♣5,♣6 | Full House
♠6,♣3,♦6,♣5,♥8 | Pair
♠6,♣3,♦6,♣6,♥8 | Full House
♠6,♣3,♠9,♣5,♣6 | Pair
♠6,♣3,♠9,♣6,♥8 | Pair
♠6,♣3,♣5,♣6,♥8 | Pair
♠6,♦6,♠9,♣5,♣6 | Full House
♠6,♦6,♠9,♣5,♥8 | Pair
♠6,♦6,♠9,♣6,♥8 | Full House
♠6,♦6,♣5,♣6,♥8 | Full House
♠6,♠9,♣5,♣6,♥8 | Pair
♥T,♦9,♥7,♣3,♠9 | Pair
♥T,♦9,♥7,♦6,♠9 | Pair
♥T,♦9,♥7,♦6,♣6 | Pair
♥T,♦9,♥7,♠9,♣5 | Pair
♥T,♦9,♥7,♠9,♣6 | Pair
♥T,♦9,♥7,♠9,♥8 | Pair
♥T,♦9,♣3,♦6,♠9 | Pair
♥T,♦9,♣3,♦6,♣6 | Pair
♥T,♦9,♣3,♠9,♣5 | Pair
♥T,♦9,♣3,♠9,♣6 | Pair
♥T,♦9,♣3,♠9,♥8 | Pair
♥T,♦9,♦6,♠9,♣5 | Pair
♥T,♦9,♦6,♠9,♣6 | Two Pairs
♥T,♦9,♦6,♠9,♥8 | Pair
♥T,♦9,♦6,♣5,♣6 | Pair
♥T,♦9,♦6,♣6,♥8 | Pair
♥T,♦9,♠9,♣5,♣6 | Pair
♥T,♦9,♠9,♣5,♥8 | Pair
♥T,♦9,♠9,♣6,♥8 | Pair
♥T,♥7,♣3,♦6,♣6 | Pair
♥T,♥7,♦6,♠9,♣6 | Pair
♥T,♥7,♦6,♣5,♣6 | Pair
♥T,♥7,♦6,♣6,♥8 | Pair
♥T,♣3,♦6,♠9,♣6 | Pair
♥T,♣3,♦6,♣5,♣6 | Pair
♥T,♣3,♦6,♣6,♥8 | Pair
♥T,♦6,♠9,♣5,♣6 | Pair
♥T,♦6,♠9,♣6,♥8 | Pair
♥T,♦6,♣5,♣6,♥8 | Pair
♦9,♥7,♣3,♦6,♠9 | Pair
♦9,♥7,♣3,♦6,♣6 | Pair
♦9,♥7,♣3,♠9,♣5 | Pair
♦9,♥7,♣3,♠9,♣6 | Pair
♦9,♥7,♣3,♠9,♥8 | Pair
♦9,♥7,♦6,♠9,♣5 | Pair
♦9,♥7,♦6,♠9,♣6 | Two Pairs
♦9,♥7,♦6,♠9,♥8 | Pair
♦9,♥7,♦6,♣5,♣6 | Pair
♦9,♥7,♦6,♣6,♥8 | Pair
♦9,♥7,♠9,♣5,♣6 | Pair
♦9,♥7,♠9,♣5,♥8 | Pair
♦9,♥7,♠9,♣6,♥8 | Pair
♦9,♣3,♦6,♠9,♣5 | Pair
♦9,♣3,♦6,♠9,♣6 | Two Pairs
♦9,♣3,♦6,♠9,♥8 | Pair
♦9,♣3,♦6,♣5,♣6 | Pair
♦9,♣3,♦6,♣6,♥8 | Pair
♦9,♣3,♠9,♣5,♣6 | Pair
♦9,♣3,♠9,♣5,♥8 | Pair
♦9,♣3,♠9,♣6,♥8 | Pair
♦9,♦6,♠9,♣5,♣6 | Two Pairs
♦9,♦6,♠9,♣5,♥8 | Pair
♦9,♦6,♠9,♣6,♥8 | Two Pairs
♦9,♦6,♣5,♣6,♥8 | Pair
♦9,♠9,♣5,♣6,♥8 | Pair
♥7,♣3,♦6,♠9,♣6 | Pair
♥7,♣3,♦6,♣5,♣6 | Pair
♥7,♣3,♦6,♣6,♥8 | Pair
♥7,♦6,♠9,♣5,♣6 | Pair
♥7,♦6,♠9,♣6,♥8 | Pair
♥7,♦6,♣5,♣6,♥8 | Pair
♣3,♦6,♠9,♣5,♣6 | Pair
♣3,♦6,♠9,♣6,♥8 | Pair
♣3,♦6,♣5,♣6,♥8 | Pair
♦6,♠9,♣5,♣6,♥8 | Pair
