♠7,♣T,♦5,♥A,♠T | Pair
♠7,♣4,♠T,♥8,♦8 | Pair
♠7,♣4,♠T,♥8,♥4 | Pair
♠7,♣4,♠T,♦8,♥4 | Pair
♠7,♣4,♥8,♦8,♥4 | Two Pairs
♠7,♠T,♥8,♦8,♥4 | Pair
♣T,♦5,♥A,♣3,♠T | Pair
♣T,♦5,♥A,♦2,♠T | Pair
♣T,♦5,♥A,♣6,♠T | Pair
♣T,♦5,♥A,♣4,♠T | Pair
♣T,♦5,♥A,♣4,♥4 | Pair
♣T,♦5,♥A,♠T,♥8 | Pair
♣T,♦5,♥A,♠T,♦8 | Pair
♣T,♦5,♥A,♠T,♥4 | Pair
♣T,♦5,♥A,♥8,♦8 | Pair
♣T,♦5,♣3,♦2,♠T | Pair
♣T,♦5,♣3,♣6,♠T | Pair
♣T,♦5,♣3,♣4,♠T | Pair
♣T,♦5,♣3,♣4,♥4 | Pair
♣T,♦5,♣3,♠T,♥8 | Pair
♣T,♦5,♣3,♠T,♦8 | Pair
♣T,♦5,♣3,♠T,♥4 | Pair
♣T,♦5,♣3,♥8,♦8 | Pair
♣T,♦5,♦2,♣6,♠T | Pair
♣T,♦5,♦2,♣4,♠T | Pair
♣T,♦5,♦2,♣4,♥4 | Pair
♣T,♦5,♦2,♠T,♥8 | Pair
♣T,♦5,♦2,♠T,♦8 | Pair
♣T,♦5,♦2,♠T,♥4 | Pair
♣T,♦5,♦2,♥8,♦8 | Pair
♣T,♦5,♣6,♣4,♠T | Pair
♣T,♦5,♣6,♣4,♥4 | Pair
♣T,♦5,♣6,♠T,♥8 | Pair
♣T,♦5,♣6,♠T,♦8 | Pair
♣T,♦5,♣6,♠T,♥4 | Pair
♣T,♦5,♣6,♥8,♦8 | Pair
♣T,♦5,♣4,♠T,♥8 | Pair
♣T,♦5,♣4,♠T,♦8 | Pair
♣T,♦5,♣4,♠T,♥4 | Two Pairs
♣T,♦5,♣4,♥8,♦8 | Pair
♣T,♦5,♣4,♥8,♥4 | Pair
♣T,♦5,♣4,♦8,♥4 | Pair
♣T,♦5,♠T,♥8,♦8 | Two Pairs
♣T,♦5,♠T,♥8,♥4 | Pair
♣T,♦5,♠T,♦8,♥4 | Pair
♣T,♦5,♥8,♦8,♥4 | Pair
♣T,♥A,♣3,♦2,♠T | Pair
♣T,♥A,♣3,♣6,♠T | Pair
♣T,♥A,♣3,♣4,♠T | Pair
♣T,♥A,♣3,♣4,♥4 | Pair
♣T,♥A,♣3,♠T,♥8 | Pair
♣T,♥A,♣3,♠T,♦8 | Pair
♣T,♥A,♣3,♠T,♥4 | Pair
♣T,♥A,♣3,♥8,♦8 | Pair
♣T,♥A,♦2,♣6,♠T | Pair
♣T,♥A,♦2,♣4,♠T | Pair
♣T,♥A,♦2,♣4,♥4 | Pair
♣T,♥A,♦2,♠T,♥8 | Pair
♣T,♥A,♦2,♠T,♦8 | Pair
♣T,♥A,♦2,♠T,♥4 | Pair
♣T,♥A,♦2,♥8,♦8 | Pair
♣T,♥A,♣6,♣4,♠T | Pair
♣T,♥A,♣6,♣4,♥4 | Pair
♣T,♥A,♣6,♠T,♥8 | Pair
♣T,♥A,♣6,♠T,♦8 | Pair
♣T,♥A,♣6,♠T,♥4 | Pair
♣T,♥A,♣6,♥8,♦8 | Pair
♣T,♥A,♣4,♠T,♥8 | Pair
♣T,♥A,♣4,♠T,♦8 | Pair
♣T,♥A,♣4,♠T,♥4 | Two Pairs
♣T,♥A,♣4,♥8,♦8 | Pair
♣T,♥A,♣4,♥8,♥4 | Pair
♣T,♥A,♣4,♦8,♥4 | Pair
♣T,♥A,♠T,♥8,♦8 | Two Pairs
♣T,♥A,♠T,♥8,♥4 | Pair
♣T,♥A,♠T,♦8,♥4 | Pair
♣T,♥A,♥8,♦8,♥4 | Pair
♣T,♣3,♦2,♣6,♠T | Pair
♣T,♣3,♦2,♣4,♠T | Pair
♣T,♣3,♦2,♣4,♥4 | Pair
♣T,♣3,♦2,♠T,♥8 | Pair
♣T,♣3,♦2,♠T,♦8 | Pair
♣T,♣3,♦2,♠T,♥4 | Pair
♣T,♣3,♦2,♥8,♦8 | Pair
♣T,♣3,♣6,♣4,♠T | Pair
♣T,♣3,♣6,♣4,♥4 | Pair
♣T,♣3,♣6,♠T,♥8 | Pair
♣T,♣3,♣6,♠T,♦8 | Pair
♣T,♣3,♣6,♠T,♥4 | Pair
♣T,♣3,♣6,♥8,♦8 | Pair
♣T,♣3,♣4,♠T,♥8 | Pair
♣T,♣3,♣4,♠T,♦8 | Pair
♣T,♣3,♣4,♠T,♥4 | Two Pairs
♣T,♣3,♣4,♥8,♦8 | Pair
♣T,♣3,♣4,♥8,♥4 | Pair
♣T,♣3,♣4,♦8,♥4 | Pair
♣T,♣3,♠T,♥8,♦8 | Two Pairs
♣T,♣3,♠T,♥8,♥4 | Pair
♣T,♣3,♠T,♦8,♥4 | Pair
♣T,♣3,♥8,♦8,♥4 | Pair
♣T,♦2,♣6,♣4,♠T | Pair
♣T,♦2,♣6,♣4,♥4 | Pair
♣T,♦2,♣6,♠T,♥8 | Pair
♣T,♦2,♣6,♠T,♦8 | Pair
♣T,♦2,♣6,♠T,♥4 | Pair
♣T,♦2,♣6,♥8,♦8 | Pair
♣T,♦2,♣4,♠T,♥8 | Pair
♣T,♦2,♣4,♠T,♦8 | Pair
♣T,♦2,♣4,♠T,♥4 | Two Pairs
♣T,♦2,♣4,♥8,♦8 | Pair
♣T,♦2,♣4,♥8,♥4 | Pair
♣T,♦2,♣4,♦8,♥4 | Pair
♣T,♦2,♠T,♥8,♦8 | Two Pairs
♣T,♦2,♠T,♥8,♥4 | Pair
♣T,♦2,♠T,♦8,♥4 | Pair
♣T,♦2,♥8,♦8,♥4 | Pair
♣T,♣6,♣4,♠T,♥8 | Pair
♣T,♣6,♣4,♠T,♦8 | Pair
♣T,♣6,♣4,♠T,♥4 | Two Pairs
♣T,♣6,♣4,♥8,♦8 | Pair
♣T,♣6,♣4,♥8,♥4 | Pair
♣T,♣6,♣4,♦8,♥4 | Pair
♣T,♣6,♠T,♥8,♦8 | Two Pairs
♣T,♣6,♠T,♥8,♥4 | Pair
♣T,♣6,♠T,♦8,♥4 | Pair
♣T,♣6,♥8,♦8,♥4 | Pair
♣T,♣4,♠T,♥8,♦8 | Two Pairs
♣T,♣4,♠T,♥8,♥4 | Two Pairs
♣T,♣4,♠T,♦8,♥4 | Two Pairs
♣T,♣4,♥8,♦8,♥4 | Two Pairs
♣T,♠T,♥8,♦8,♥4 | Two Pairs
♦5,♥A,♣3,♣4,♥4 | Pair
♦5,♥A,♣3,♥8,♦8 | Pair
♦5,♥A,♦2,♣4,♥4 | Pair
♦5,♥A,♦2,♥8,♦8 | Pair
♦5,♥A,♣6,♣4,♥4 | Pair
♦5,♥A,♣6,♥8,♦8 | Pair
♦5,♥A,♣4,♠T,♥4 | Pair
♦5,♥A,♣4,♥8,♦8 | Pair
♦5,♥A,♣4,♥8,♥4 | Pair
♦5,♥A,♣4,♦8,♥4 | Pair
♦5,♥A,♠T,♥8,♦8 | Pair
♦5,♥A,♥8,♦8,♥4 | Pair
♦5,♣3,♦2,♣4,♥4 | Pair
♦5,♣3,♦2,♥8,♦8 | Pair
♦5,♣3,♣6,♣4,♥4 | Pair
♦5,♣3,♣6,♥8,♦8 | Pair
♦5,♣3,♣4,♠T,♥4 | Pair
♦5,♣3,♣4,♥8,♦8 | Pair
♦5,♣3,♣4,♥8,♥4 | Pair
♦5,♣3,♣4,♦8,♥4 | Pair
♦5,♣3,♠T,♥8,♦8 | Pair
♦5,♣3,♥8,♦8,♥4 | Pair
♦5,♦2,♣6,♣4,♥4 | Pair
♦5,♦2,♣6,♥8,♦8 | Pair
♦5,♦2,♣4,♠T,♥4 | Pair
♦5,♦2,♣4,♥8,♦8 | Pair
♦5,♦2,♣4,♥8,♥4 | Pair
♦5,♦2,♣4,♦8,♥4 | Pair
♦5,♦2,♠T,♥8,♦8 | Pair
♦5,♦2,♥8,♦8,♥4 | Pair
♦5,♣6,♣4,♠T,♥4 | Pair
♦5,♣6,♣4,♥8,♦8 | Pair
♦5,♣6,♣4,♥8,♥4 | Pair
♦5,♣6,♣4,♦8,♥4 | Pair
♦5,♣6,♠T,♥8,♦8 | Pair
♦5,♣6,♥8,♦8,♥4 | Pair
♦5,♣4,♠T,♥8,♦8 | Pair
♦5,♣4,♠T,♥8,♥4 | Pair
♦5,♣4,♠T,♦8,♥4 | Pair
♦5,♣4,♥8,♦8,♥4 | Two Pairs
♦5,♠T,♥8,♦8,♥4 | Pair
♥A,♣3,♦2,♣4,♥4 | Pair
♥A,♣3,♦2,♥8,♦8 | Pair
♥A,♣3,♣6,♣4,♥4 | Pair
♥A,♣3,♣6,♥8,♦8 | Pair
♥A,♣3,♣4,♠T,♥4 | Pair
♥A,♣3,♣4,♥8,♦8 | Pair
♥A,♣3,♣4,♥8,♥4 | Pair
♥A,♣3,♣4,♦8,♥4 | Pair
♥A,♣3,♠T,♥8,♦8 | Pair
♥A,♣3,♥8,♦8,♥4 | Pair
♥A,♦2,♣6,♣4,♥4 | Pair
♥A,♦2,♣6,♥8,♦8 | Pair
♥A,♦2,♣4,♠T,♥4 | Pair
♥A,♦2,♣4,♥8,♦8 | Pair
♥A,♦2,♣4,♥8,♥4 | Pair
♥A,♦2,♣4,♦8,♥4 | Pair
♥A,♦2,♠T,♥8,♦8 | Pair
♥A,♦2,♥8,♦8,♥4 | Pair
♥A,♣6,♣4,♠T,♥4 | Pair
♥A,♣6,♣4,♥8,♦8 | Pair
♥A,♣6,♣4,♥8,♥4 | Pair
♥A,♣6,♣4,♦8,♥4 | Pair
♥A,♣6,♠T,♥8,♦8 | Pair
♥A,♣6,♥8,♦8,♥4 | Pair
♥A,♣4,♠T,♥8,♦8 | Pair
♥A,♣4,♠T,♥8,♥4 | Pair
♥A,♣4,♠T,♦8,♥4 | Pair
♥A,♣4,♥8,♦8,♥4 | Two Pairs
♥A,♠T,♥8,♦8,♥4 | Pair
♣3,♦2,♣6,♣4,♥4 | Pair
♣3,♦2,♣6,♥8,♦8 | Pair
♣3,♦2,♣4,♠T,♥4 | Pair
♣3,♦2,♣4,♥8,♦8 | Pair
♣3,♦2,♣4,♥8,♥4 | Pair
♣3,♦2,♣4,♦8,♥4 | Pair
♣3,♦2,♠T,♥8,♦8 | Pair
♣3,♦2,♥8,♦8,♥4 | Pair
♣3,♣6,♣4,♠T,♥4 | Pair
♣3,♣6,♣4,♥8,♦8 | Pair
♣3,♣6,♣4,♥8,♥4 | Pair
♣3,♣6,♣4,♦8,♥4 | Pair
♣3,♣6,♠T,♥8,♦8 | Pair
♣3,♣6,♥8,♦8,♥4 | Pair
♣3,♣4,♠T,♥8,♦8 | Pair
♣3,♣4,♠T,♥8,♥4 | Pair
♣3,♣4,♠T,♦8,♥4 | Pair
♣3,♣4,♥8,♦8,♥4 | Two Pairs
♣3,♠T,♥8,♦8,♥4 | Pair
♦2,♣6,♣4,♠T,♥4 | Pair
♦2,♣6,♣4,♥8,♦8 | Pair
♦2,♣6,♣4,♥8,♥4 | Pair
♦2,♣6,♣4,♦8,♥4 | Pair
♦2,♣6,♠T,♥8,♦8 | Pair
♦2,♣6,♥8,♦8,♥4 | Pair
♦2,♣4,♠T,♥8,♦8 | Pair
♦2,♣4,♠T,♥8,♥4 | Pair
♦2,♣4,♠T,♦8,♥4 | Pair
♦2,♣4,♥8,♦8,♥4 | Two Pairs
♦2,♠T,♥8,♦8,♥4 | Pair
♣6,♣4,♠T,♥8,♦8 | Pair
♣6,♣4,♠T,♥8,♥4 | Pair
♣6,♣4,♠T,♦8,♥4 | Pair
♣6,♣4,♥8,♦8,♥4 | Two Pairs
♣6,♠T,♥8,♦8,♥4 | Pair
♣4,♠T,♥8,♦8,♥4 | Two Pairs
