♠7,♣10,♦5,♥A,♠10 | Pair
♠7,♦5,♥A,♦2,♥A | Pair
♠7,♦5,♥A,♣6,♥A | Pair
♠7,♦5,♥A,♦2,♥A | Pair
♠7,♦5,♥A,♣4,♥A | Pair
♠7,♦5,♥A,♠10,♥A | Pair
♠7,♦5,♥A,♥8,♥A | Pair
♠7,♦5,♥A,♥8,♦8 | Pair
♠7,♦5,♥A,♥A,♦8 | Pair
♠7,♦5,♣3,♦2,♦2 | Pair
♠7,♦5,♣3,♥8,♦8 | Pair
♠7,♦5,♦2,♣6,♦2 | Pair
♠7,♦5,♦2,♦2,♣4 | Pair
♠7,♦5,♦2,♦2,♠10 | Pair
♠7,♦5,♦2,♦2,♥8 | Pair
♠7,♦5,♦2,♦2,♥A | Pair
♠7,♦5,♦2,♦2,♦8 | Pair
♠7,♦5,♦2,♥8,♦8 | Pair
♠7,♦5,♣6,♥8,♦8 | Pair
♠7,♦5,♦2,♥8,♦8 | Pair
♠7,♦5,♣4,♥8,♦8 | Pair
♠7,♦5,♠10,♥8,♦8 | Pair
♠7,♦5,♥8,♥A,♦8 | Pair
♠7,♥A,♣3,♦2,♦2 | Pair
♠7,♥A,♣3,♦2,♥A | Pair
♠7,♥A,♣3,♣6,♥A | Pair
♠7,♥A,♣3,♦2,♥A | Pair
♠7,♥A,♣3,♣4,♥A | Pair
♠7,♥A,♣3,♠10,♥A | Pair
♠7,♥A,♣3,♥8,♥A | Pair
♠7,♥A,♣3,♥8,♦8 | Pair
♠7,♥A,♣3,♥A,♦8 | Pair
♠7,♥A,♦2,♣6,♦2 | Pair
♠7,♥A,♦2,♣6,♥A | Pair
♠7,♥A,♦2,♦2,♣4 | Pair
♠7,♥A,♦2,♦2,♠10 | Pair
♠7,♥A,♦2,♦2,♥8 | Pair
♠7,♥A,♦2,♦2,♥A | Pair
♠7,♥A,♦2,♦2,♥A | Pair
♠7,♥A,♦2,♦2,♦8 | Pair
♠7,♥A,♦2,♣4,♥A | Pair
♠7,♥A,♦2,♠10,♥A | Pair
♠7,♥A,♦2,♥8,♥A | Pair
♠7,♥A,♦2,♥8,♦8 | Pair
♠7,♥A,♦2,♥A,♦8 | Pair
♠7,♥A,♣6,♦2,♥A | Pair
♠7,♥A,♣6,♣4,♥A | Pair
♠7,♥A,♣6,♠10,♥A | Pair
♠7,♥A,♣6,♥8,♥A | Pair
♠7,♥A,♣6,♥8,♦8 | Pair
♠7,♥A,♣6,♥A,♦8 | Pair
♠7,♥A,♦2,♣4,♥A | Pair
♠7,♥A,♦2,♠10,♥A | Pair
♠7,♥A,♦2,♥8,♥A | Pair
♠7,♥A,♦2,♥8,♦8 | Pair
♠7,♥A,♦2,♥A,♦8 | Pair
♠7,♥A,♣4,♠10,♥A | Pair
♠7,♥A,♣4,♥8,♥A | Pair
♠7,♥A,♣4,♥8,♦8 | Pair
♠7,♥A,♣4,♥A,♦8 | Pair
♠7,♥A,♠10,♥8,♥A | Pair
♠7,♥A,♠10,♥8,♦8 | Pair
♠7,♥A,♠10,♥A,♦8 | Pair
♠7,♥A,♥8,♥A,♦8 | Pair
♠7,♥A,♥8,♥A,♦8 | Pair
♠7,♣3,♦2,♣6,♦2 | Pair
♠7,♣3,♦2,♦2,♣4 | Pair
♠7,♣3,♦2,♦2,♠10 | Pair
♠7,♣3,♦2,♦2,♥8 | Pair
♠7,♣3,♦2,♦2,♥A | Pair
♠7,♣3,♦2,♦2,♦8 | Pair
♠7,♣3,♦2,♥8,♦8 | Pair
♠7,♣3,♣6,♥8,♦8 | Pair
♠7,♣3,♦2,♥8,♦8 | Pair
♠7,♣3,♣4,♥8,♦8 | Pair
♠7,♣3,♠10,♥8,♦8 | Pair
♠7,♣3,♥8,♥A,♦8 | Pair
♠7,♦2,♣6,♦2,♣4 | Pair
♠7,♦2,♣6,♦2,♠10 | Pair
♠7,♦2,♣6,♦2,♥8 | Pair
♠7,♦2,♣6,♦2,♥A | Pair
♠7,♦2,♣6,♦2,♦8 | Pair
♠7,♦2,♣6,♥8,♦8 | Pair
♠7,♦2,♦2,♣4,♠10 | Pair
♠7,♦2,♦2,♣4,♥8 | Pair
♠7,♦2,♦2,♣4,♥A | Pair
♠7,♦2,♦2,♣4,♦8 | Pair
♠7,♦2,♦2,♠10,♥8 | Pair
♠7,♦2,♦2,♠10,♥A | Pair
♠7,♦2,♦2,♠10,♦8 | Pair
♠7,♦2,♦2,♥8,♥A | Pair
♠7,♦2,♦2,♥8,♦8 | Pair
♠7,♦2,♦2,♥8,♦8 | Pair
♠7,♦2,♦2,♥A,♦8 | Pair
♠7,♦2,♣4,♥8,♦8 | Pair
♠7,♦2,♠10,♥8,♦8 | Pair
♠7,♦2,♥8,♥A,♦8 | Pair
♠7,♣6,♦2,♥8,♦8 | Pair
♠7,♣6,♣4,♥8,♦8 | Pair
♠7,♣6,♠10,♥8,♦8 | Pair
♠7,♣6,♥8,♥A,♦8 | Pair
♠7,♦2,♣4,♥8,♦8 | Pair
♠7,♦2,♠10,♥8,♦8 | Pair
♠7,♦2,♥8,♥A,♦8 | Pair
♠7,♣4,♠10,♥8,♦8 | Pair
♠7,♣4,♥8,♥A,♦8 | Pair
♠7,♠10,♥8,♥A,♦8 | Pair
♣10,♦5,♥A,♣3,♠10 | Pair
♣10,♦5,♥A,♣3,♥A | Pair
♣10,♦5,♥A,♦2,♦2 | Pair
♣10,♦5,♥A,♦2,♠10 | Pair
♣10,♦5,♥A,♦2,♥A | Pair
♣10,♦5,♥A,♣6,♠10 | Pair
♣10,♦5,♥A,♣6,♥A | Pair
♣10,♦5,♥A,♦2,♠10 | Pair
♣10,♦5,♥A,♦2,♥A | Pair
♣10,♦5,♥A,♣4,♠10 | Pair
♣10,♦5,♥A,♣4,♥A | Pair
♣10,♦5,♥A,♠10,♥8 | Pair
♣10,♦5,♥A,♠10,♥A | Pair
♣10,♦5,♥A,♠10,♥A | Pair
♣10,♦5,♥A,♠10,♦8 | Pair
♣10,♦5,♥A,♥8,♥A | Pair
♣10,♦5,♥A,♥8,♦8 | Pair
♣10,♦5,♥A,♥A,♦8 | Pair
♣10,♦5,♣3,♦2,♦2 | Pair
♣10,♦5,♣3,♦2,♠10 | Pair
♣10,♦5,♣3,♣6,♠10 | Pair
♣10,♦5,♣3,♦2,♠10 | Pair
♣10,♦5,♣3,♣4,♠10 | Pair
♣10,♦5,♣3,♠10,♥8 | Pair
♣10,♦5,♣3,♠10,♥A | Pair
♣10,♦5,♣3,♠10,♦8 | Pair
♣10,♦5,♣3,♥8,♦8 | Pair
♣10,♦5,♦2,♣6,♦2 | Pair
♣10,♦5,♦2,♣6,♠10 | Pair
♣10,♦5,♦2,♦2,♣4 | Pair
♣10,♦5,♦2,♦2,♠10 | Pair
♣10,♦5,♦2,♦2,♠10 | Pair
♣10,♦5,♦2,♦2,♥8 | Pair
♣10,♦5,♦2,♦2,♥A | Pair
♣10,♦5,♦2,♦2,♦8 | Pair
♣10,♦5,♦2,♣4,♠10 | Pair
♣10,♦5,♦2,♠10,♥8 | Pair
♣10,♦5,♦2,♠10,♥A | Pair
♣10,♦5,♦2,♠10,♦8 | Pair
♣10,♦5,♦2,♥8,♦8 | Pair
♣10,♦5,♣6,♦2,♠10 | Pair
♣10,♦5,♣6,♣4,♠10 | Pair
♣10,♦5,♣6,♠10,♥8 | Pair
♣10,♦5,♣6,♠10,♥A | Pair
♣10,♦5,♣6,♠10,♦8 | Pair
♣10,♦5,♣6,♥8,♦8 | Pair
♣10,♦5,♦2,♣4,♠10 | Pair
♣10,♦5,♦2,♠10,♥8 | Pair
♣10,♦5,♦2,♠10,♥A | Pair
♣10,♦5,♦2,♠10,♦8 | Pair
♣10,♦5,♦2,♥8,♦8 | Pair
♣10,♦5,♣4,♠10,♥8 | Pair
♣10,♦5,♣4,♠10,♥A | Pair
♣10,♦5,♣4,♠10,♦8 | Pair
♣10,♦5,♣4,♥8,♦8 | Pair
♣10,♦5,♠10,♥8,♥A | Pair
♣10,♦5,♠10,♥8,♦8 | Pair
♣10,♦5,♠10,♥8,♦8 | Pair
♣10,♦5,♠10,♥A,♦8 | Pair
♣10,♦5,♥8,♥A,♦8 | Pair
♣10,♥A,♣3,♦2,♦2 | Pair
♣10,♥A,♣3,♦2,♠10 | Pair
♣10,♥A,♣3,♦2,♥A | Pair
♣10,♥A,♣3,♣6,♠10 | Pair
♣10,♥A,♣3,♣6,♥A | Pair
♣10,♥A,♣3,♦2,♠10 | Pair
♣10,♥A,♣3,♦2,♥A | Pair
♣10,♥A,♣3,♣4,♠10 | Pair
♣10,♥A,♣3,♣4,♥A | Pair
♣10,♥A,♣3,♠10,♥8 | Pair
♣10,♥A,♣3,♠10,♥A | Pair
♣10,♥A,♣3,♠10,♥A | Pair
♣10,♥A,♣3,♠10,♦8 | Pair
♣10,♥A,♣3,♥8,♥A | Pair
♣10,♥A,♣3,♥8,♦8 | Pair
♣10,♥A,♣3,♥A,♦8 | Pair
♣10,♥A,♦2,♣6,♦2 | Pair
♣10,♥A,♦2,♣6,♠10 | Pair
♣10,♥A,♦2,♣6,♥A | Pair
♣10,♥A,♦2,♦2,♣4 | Pair
♣10,♥A,♦2,♦2,♠10 | Pair
♣10,♥A,♦2,♦2,♠10 | Pair
♣10,♥A,♦2,♦2,♥8 | Pair
♣10,♥A,♦2,♦2,♥A | Pair
♣10,♥A,♦2,♦2,♥A | Pair
♣10,♥A,♦2,♦2,♦8 | Pair
♣10,♥A,♦2,♣4,♠10 | Pair
♣10,♥A,♦2,♣4,♥A | Pair
♣10,♥A,♦2,♠10,♥8 | Pair
♣10,♥A,♦2,♠10,♥A | Pair
♣10,♥A,♦2,♠10,♥A | Pair
♣10,♥A,♦2,♠10,♦8 | Pair
♣10,♥A,♦2,♥8,♥A | Pair
♣10,♥A,♦2,♥8,♦8 | Pair
♣10,♥A,♦2,♥A,♦8 | Pair
♣10,♥A,♣6,♦2,♠10 | Pair
♣10,♥A,♣6,♦2,♥A | Pair
♣10,♥A,♣6,♣4,♠10 | Pair
♣10,♥A,♣6,♣4,♥A | Pair
♣10,♥A,♣6,♠10,♥8 | Pair
♣10,♥A,♣6,♠10,♥A | Pair
♣10,♥A,♣6,♠10,♥A | Pair
♣10,♥A,♣6,♠10,♦8 | Pair
♣10,♥A,♣6,♥8,♥A | Pair
♣10,♥A,♣6,♥8,♦8 | Pair
♣10,♥A,♣6,♥A,♦8 | Pair
♣10,♥A,♦2,♣4,♠10 | Pair
♣10,♥A,♦2,♣4,♥A | Pair
♣10,♥A,♦2,♠10,♥8 | Pair
♣10,♥A,♦2,♠10,♥A | Pair
♣10,♥A,♦2,♠10,♥A | Pair
♣10,♥A,♦2,♠10,♦8 | Pair
♣10,♥A,♦2,♥8,♥A | Pair
♣10,♥A,♦2,♥8,♦8 | Pair
♣10,♥A,♦2,♥A,♦8 | Pair
♣10,♥A,♣4,♠10,♥8 | Pair
♣10,♥A,♣4,♠10,♥A | Pair
♣10,♥A,♣4,♠10,♥A | Pair
♣10,♥A,♣4,♠10,♦8 | Pair
♣10,♥A,♣4,♥8,♥A | Pair
♣10,♥A,♣4,♥8,♦8 | Pair
♣10,♥A,♣4,♥A,♦8 | Pair
♣10,♥A,♠10,♥8,♥A | Pair
♣10,♥A,♠10,♥8,♥A | Pair
♣10,♥A,♠10,♥8,♦8 | Pair
♣10,♥A,♠10,♥8,♦8 | Pair
♣10,♥A,♠10,♥A,♦8 | Pair
♣10,♥A,♠10,♥A,♦8 | Pair
♣10,♥A,♥8,♥A,♦8 | Pair
♣10,♥A,♥8,♥A,♦8 | Pair
♣10,♣3,♦2,♣6,♦2 | Pair
♣10,♣3,♦2,♣6,♠10 | Pair
♣10,♣3,♦2,♦2,♣4 | Pair
♣10,♣3,♦2,♦2,♠10 | Pair
♣10,♣3,♦2,♦2,♠10 | Pair
♣10,♣3,♦2,♦2,♥8 | Pair
♣10,♣3,♦2,♦2,♥A | Pair
♣10,♣3,♦2,♦2,♦8 | Pair
♣10,♣3,♦2,♣4,♠10 | Pair
♣10,♣3,♦2,♠10,♥8 | Pair
♣10,♣3,♦2,♠10,♥A | Pair
♣10,♣3,♦2,♠10,♦8 | Pair
♣10,♣3,♦2,♥8,♦8 | Pair
♣10,♣3,♣6,♦2,♠10 | Pair
♣10,♣3,♣6,♣4,♠10 | Pair
♣10,♣3,♣6,♠10,♥8 | Pair
♣10,♣3,♣6,♠10,♥A | Pair
♣10,♣3,♣6,♠10,♦8 | Pair
♣10,♣3,♣6,♥8,♦8 | Pair
♣10,♣3,♦2,♣4,♠10 | Pair
♣10,♣3,♦2,♠10,♥8 | Pair
♣10,♣3,♦2,♠10,♥A | Pair
♣10,♣3,♦2,♠10,♦8 | Pair
♣10,♣3,♦2,♥8,♦8 | Pair
♣10,♣3,♣4,♠10,♥8 | Pair
♣10,♣3,♣4,♠10,♥A | Pair
♣10,♣3,♣4,♠10,♦8 | Pair
♣10,♣3,♣4,♥8,♦8 | Pair
♣10,♣3,♠10,♥8,♥A | Pair
♣10,♣3,♠10,♥8,♦8 | Pair
♣10,♣3,♠10,♥8,♦8 | Pair
♣10,♣3,♠10,♥A,♦8 | Pair
♣10,♣3,♥8,♥A,♦8 | Pair
♣10,♦2,♣6,♦2,♣4 | Pair
♣10,♦2,♣6,♦2,♠10 | Pair
♣10,♦2,♣6,♦2,♠10 | Pair
♣10,♦2,♣6,♦2,♥8 | Pair
♣10,♦2,♣6,♦2,♥A | Pair
♣10,♦2,♣6,♦2,♦8 | Pair
♣10,♦2,♣6,♣4,♠10 | Pair
♣10,♦2,♣6,♠10,♥8 | Pair
♣10,♦2,♣6,♠10,♥A | Pair
♣10,♦2,♣6,♠10,♦8 | Pair
♣10,♦2,♣6,♥8,♦8 | Pair
♣10,♦2,♦2,♣4,♠10 | Pair
♣10,♦2,♦2,♣4,♠10 | Pair
♣10,♦2,♦2,♣4,♥8 | Pair
♣10,♦2,♦2,♣4,♥A | Pair
♣10,♦2,♦2,♣4,♦8 | Pair
♣10,♦2,♦2,♠10,♥8 | Pair
♣10,♦2,♦2,♠10,♥8 | Pair
♣10,♦2,♦2,♠10,♥A | Pair
♣10,♦2,♦2,♠10,♥A | Pair
♣10,♦2,♦2,♠10,♦8 | Pair
♣10,♦2,♦2,♠10,♦8 | Pair
♣10,♦2,♦2,♥8,♥A | Pair
♣10,♦2,♦2,♥8,♦8 | Pair
♣10,♦2,♦2,♥8,♦8 | Pair
♣10,♦2,♦2,♥A,♦8 | Pair
♣10,♦2,♣4,♠10,♥8 | Pair
♣10,♦2,♣4,♠10,♥A | Pair
♣10,♦2,♣4,♠10,♦8 | Pair
♣10,♦2,♣4,♥8,♦8 | Pair
♣10,♦2,♠10,♥8,♥A | Pair
♣10,♦2,♠10,♥8,♦8 | Pair
♣10,♦2,♠10,♥8,♦8 | Pair
♣10,♦2,♠10,♥A,♦8 | Pair
♣10,♦2,♥8,♥A,♦8 | Pair
♣10,♣6,♦2,♣4,♠10 | Pair
♣10,♣6,♦2,♠10,♥8 | Pair
♣10,♣6,♦2,♠10,♥A | Pair
♣10,♣6,♦2,♠10,♦8 | Pair
♣10,♣6,♦2,♥8,♦8 | Pair
♣10,♣6,♣4,♠10,♥8 | Pair
♣10,♣6,♣4,♠10,♥A | Pair
♣10,♣6,♣4,♠10,♦8 | Pair
♣10,♣6,♣4,♥8,♦8 | Pair
♣10,♣6,♠10,♥8,♥A | Pair
♣10,♣6,♠10,♥8,♦8 | Pair
♣10,♣6,♠10,♥8,♦8 | Pair
♣10,♣6,♠10,♥A,♦8 | Pair
♣10,♣6,♥8,♥A,♦8 | Pair
♣10,♦2,♣4,♠10,♥8 | Pair
♣10,♦2,♣4,♠10,♥A | Pair
♣10,♦2,♣4,♠10,♦8 | Pair
♣10,♦2,♣4,♥8,♦8 | Pair
♣10,♦2,♠10,♥8,♥A | Pair
♣10,♦2,♠10,♥8,♦8 | Pair
♣10,♦2,♠10,♥8,♦8 | Pair
♣10,♦2,♠10,♥A,♦8 | Pair
♣10,♦2,♥8,♥A,♦8 | Pair
♣10,♣4,♠10,♥8,♥A | Pair
♣10,♣4,♠10,♥8,♦8 | Pair
♣10,♣4,♠10,♥8,♦8 | Pair
♣10,♣4,♠10,♥A,♦8 | Pair
♣10,♣4,♥8,♥A,♦8 | Pair
♣10,♠10,♥8,♥A,♦8 | Pair
♣10,♠10,♥8,♥A,♦8 | Pair
♦5,♥A,♣3,♦2,♦2 | Pair
♦5,♥A,♣3,♦2,♥A | Pair
♦5,♥A,♣3,♣6,♥A | Pair
♦5,♥A,♣3,♦2,♥A | Pair
♦5,♥A,♣3,♣4,♥A | Pair
♦5,♥A,♣3,♠10,♥A | Pair
♦5,♥A,♣3,♥8,♥A | Pair
♦5,♥A,♣3,♥8,♦8 | Pair
♦5,♥A,♣3,♥A,♦8 | Pair
♦5,♥A,♦2,♣6,♦2 | Pair
♦5,♥A,♦2,♣6,♥A | Pair
♦5,♥A,♦2,♦2,♣4 | Pair
♦5,♥A,♦2,♦2,♠10 | Pair
♦5,♥A,♦2,♦2,♥8 | Pair
♦5,♥A,♦2,♦2,♥A | Pair
♦5,♥A,♦2,♦2,♥A | Pair
♦5,♥A,♦2,♦2,♦8 | Pair
♦5,♥A,♦2,♣4,♥A | Pair
♦5,♥A,♦2,♠10,♥A | Pair
♦5,♥A,♦2,♥8,♥A | Pair
♦5,♥A,♦2,♥8,♦8 | Pair
♦5,♥A,♦2,♥A,♦8 | Pair
♦5,♥A,♣6,♦2,♥A | Pair
♦5,♥A,♣6,♣4,♥A | Pair
♦5,♥A,♣6,♠10,♥A | Pair
♦5,♥A,♣6,♥8,♥A | Pair
♦5,♥A,♣6,♥8,♦8 | Pair
♦5,♥A,♣6,♥A,♦8 | Pair
♦5,♥A,♦2,♣4,♥A | Pair
♦5,♥A,♦2,♠10,♥A | Pair
♦5,♥A,♦2,♥8,♥A | Pair
♦5,♥A,♦2,♥8,♦8 | Pair
♦5,♥A,♦2,♥A,♦8 | Pair
♦5,♥A,♣4,♠10,♥A | Pair
♦5,♥A,♣4,♥8,♥A | Pair
♦5,♥A,♣4,♥8,♦8 | Pair
♦5,♥A,♣4,♥A,♦8 | Pair
♦5,♥A,♠10,♥8,♥A | Pair
♦5,♥A,♠10,♥8,♦8 | Pair
♦5,♥A,♠10,♥A,♦8 | Pair
♦5,♥A,♥8,♥A,♦8 | Pair
♦5,♥A,♥8,♥A,♦8 | Pair
♦5,♣3,♦2,♣6,♦2 | Pair
♦5,♣3,♦2,♦2,♣4 | Pair
♦5,♣3,♦2,♦2,♠10 | Pair
♦5,♣3,♦2,♦2,♥8 | Pair
♦5,♣3,♦2,♦2,♥A | Pair
♦5,♣3,♦2,♦2,♦8 | Pair
♦5,♣3,♦2,♥8,♦8 | Pair
♦5,♣3,♣6,♥8,♦8 | Pair
♦5,♣3,♦2,♥8,♦8 | Pair
♦5,♣3,♣4,♥8,♦8 | Pair
♦5,♣3,♠10,♥8,♦8 | Pair
♦5,♣3,♥8,♥A,♦8 | Pair
♦5,♦2,♣6,♦2,♣4 | Pair
♦5,♦2,♣6,♦2,♠10 | Pair
♦5,♦2,♣6,♦2,♥8 | Pair
♦5,♦2,♣6,♦2,♥A | Pair
♦5,♦2,♣6,♦2,♦8 | Pair
♦5,♦2,♣6,♥8,♦8 | Pair
♦5,♦2,♦2,♣4,♠10 | Pair
♦5,♦2,♦2,♣4,♥8 | Pair
♦5,♦2,♦2,♣4,♥A | Pair
♦5,♦2,♦2,♣4,♦8 | Pair
♦5,♦2,♦2,♠10,♥8 | Pair
♦5,♦2,♦2,♠10,♥A | Pair
♦5,♦2,♦2,♠10,♦8 | Pair
♦5,♦2,♦2,♥8,♥A | Pair
♦5,♦2,♦2,♥8,♦8 | Pair
♦5,♦2,♦2,♥8,♦8 | Pair
♦5,♦2,♦2,♥A,♦8 | Pair
♦5,♦2,♣4,♥8,♦8 | Pair
♦5,♦2,♠10,♥8,♦8 | Pair
♦5,♦2,♥8,♥A,♦8 | Pair
♦5,♣6,♦2,♥8,♦8 | Pair
♦5,♣6,♣4,♥8,♦8 | Pair
♦5,♣6,♠10,♥8,♦8 | Pair
♦5,♣6,♥8,♥A,♦8 | Pair
♦5,♦2,♣4,♥8,♦8 | Pair
♦5,♦2,♠10,♥8,♦8 | Pair
♦5,♦2,♥8,♥A,♦8 | Pair
♦5,♣4,♠10,♥8,♦8 | Pair
♦5,♣4,♥8,♥A,♦8 | Pair
♦5,♠10,♥8,♥A,♦8 | Pair
♥A,♣3,♦2,♣6,♦2 | Pair
♥A,♣3,♦2,♣6,♥A | Pair
♥A,♣3,♦2,♦2,♣4 | Pair
♥A,♣3,♦2,♦2,♠10 | Pair
♥A,♣3,♦2,♦2,♥8 | Pair
♥A,♣3,♦2,♦2,♥A | Pair
♥A,♣3,♦2,♦2,♥A | Pair
♥A,♣3,♦2,♦2,♦8 | Pair
♥A,♣3,♦2,♣4,♥A | Pair
♥A,♣3,♦2,♠10,♥A | Pair
♥A,♣3,♦2,♥8,♥A | Pair
♥A,♣3,♦2,♥8,♦8 | Pair
♥A,♣3,♦2,♥A,♦8 | Pair
♥A,♣3,♣6,♦2,♥A | Pair
♥A,♣3,♣6,♣4,♥A | Pair
♥A,♣3,♣6,♠10,♥A | Pair
♥A,♣3,♣6,♥8,♥A | Pair
♥A,♣3,♣6,♥8,♦8 | Pair
♥A,♣3,♣6,♥A,♦8 | Pair
♥A,♣3,♦2,♣4,♥A | Pair
♥A,♣3,♦2,♠10,♥A | Pair
♥A,♣3,♦2,♥8,♥A | Pair
♥A,♣3,♦2,♥8,♦8 | Pair
♥A,♣3,♦2,♥A,♦8 | Pair
♥A,♣3,♣4,♠10,♥A | Pair
♥A,♣3,♣4,♥8,♥A | Pair
♥A,♣3,♣4,♥8,♦8 | Pair
♥A,♣3,♣4,♥A,♦8 | Pair
♥A,♣3,♠10,♥8,♥A | Pair
♥A,♣3,♠10,♥8,♦8 | Pair
♥A,♣3,♠10,♥A,♦8 | Pair
♥A,♣3,♥8,♥A,♦8 | Pair
♥A,♣3,♥8,♥A,♦8 | Pair
♥A,♦2,♣6,♦2,♣4 | Pair
♥A,♦2,♣6,♦2,♠10 | Pair
♥A,♦2,♣6,♦2,♥8 | Pair
♥A,♦2,♣6,♦2,♥A | Pair
♥A,♦2,♣6,♦2,♥A | Pair
♥A,♦2,♣6,♦2,♦8 | Pair
♥A,♦2,♣6,♣4,♥A | Pair
♥A,♦2,♣6,♠10,♥A | Pair
♥A,♦2,♣6,♥8,♥A | Pair
♥A,♦2,♣6,♥8,♦8 | Pair
♥A,♦2,♣6,♥A,♦8 | Pair
♥A,♦2,♦2,♣4,♠10 | Pair
♥A,♦2,♦2,♣4,♥8 | Pair
♥A,♦2,♦2,♣4,♥A | Pair
♥A,♦2,♦2,♣4,♥A | Pair
♥A,♦2,♦2,♣4,♦8 | Pair
♥A,♦2,♦2,♠10,♥8 | Pair
♥A,♦2,♦2,♠10,♥A | Pair
♥A,♦2,♦2,♠10,♥A | Pair
♥A,♦2,♦2,♠10,♦8 | Pair
♥A,♦2,♦2,♥8,♥A | Pair
♥A,♦2,♦2,♥8,♥A | Pair
♥A,♦2,♦2,♥8,♦8 | Pair
♥A,♦2,♦2,♥8,♦8 | Pair
♥A,♦2,♦2,♥A,♦8 | Pair
♥A,♦2,♦2,♥A,♦8 | Pair
♥A,♦2,♣4,♠10,♥A | Pair
♥A,♦2,♣4,♥8,♥A | Pair
♥A,♦2,♣4,♥8,♦8 | Pair
♥A,♦2,♣4,♥A,♦8 | Pair
♥A,♦2,♠10,♥8,♥A | Pair
♥A,♦2,♠10,♥8,♦8 | Pair
♥A,♦2,♠10,♥A,♦8 | Pair
♥A,♦2,♥8,♥A,♦8 | Pair
♥A,♦2,♥8,♥A,♦8 | Pair
♥A,♣6,♦2,♣4,♥A | Pair
♥A,♣6,♦2,♠10,♥A | Pair
♥A,♣6,♦2,♥8,♥A | Pair
♥A,♣6,♦2,♥8,♦8 | Pair
♥A,♣6,♦2,♥A,♦8 | Pair
♥A,♣6,♣4,♠10,♥A | Pair
