♣Q,♣4,♥T,♥3,♦3 | Pair
♥T,♥3,♣2,♦J,♦3 | Pair
♥T,♥3,♣2,♣K,♦3 | Pair
♥T,♥3,♣2,♦3,♠5 | Pair
♥T,♥3,♣2,♦3,♥6 | Pair
♥T,♥3,♦J,♣K,♦3 | Pair
♥T,♥3,♦J,♦3,♠5 | Pair
♥T,♥3,♦J,♦3,♥6 | Pair
♥T,♥3,♣K,♦3,♠5 | Pair
♥T,♥3,♣K,♦3,♥6 | Pair
♥T,♥3,♦3,♠5,♥6 | Pair
♥T,♥J,♥9,♣2,♦J | Pair
♥T,♥J,♥9,♦J,♣K | Pair
♥T,♥J,♥9,♦J,♦3 | Pair
♥T,♥J,♥9,♦J,♠5 | Pair
♥T,♥J,♥9,♦J,♥6 | Pair
♥T,♥J,♣2,♦J,♣K | Pair
♥T,♥J,♣2,♦J,♦3 | Pair
♥T,♥J,♣2,♦J,♠5 | Pair
♥T,♥J,♣2,♦J,♥6 | Pair
♥T,♥J,♦J,♣K,♦3 | Pair
♥T,♥J,♦J,♣K,♠5 | Pair
♥T,♥J,♦J,♣K,♥6 | Pair
♥T,♥J,♦J,♦3,♠5 | Pair
♥T,♥J,♦J,♦3,♥6 | Pair
♥T,♥J,♦J,♠5,♥6 | Pair
♥3,♥J,♥9,♣2,♦J | Pair
♥3,♥J,♥9,♣2,♦3 | Pair
♥3,♥J,♥9,♦J,♣K | Pair
♥3,♥J,♥9,♦J,♦3 | Two Pairs
♥3,♥J,♥9,♦J,♠5 | Pair
♥3,♥J,♥9,♦J,♥6 | Pair
♥3,♥J,♥9,♣K,♦3 | Pair
♥3,♥J,♥9,♦3,♠5 | Pair
♥3,♥J,♥9,♦3,♥6 | Pair
♥3,♥J,♣2,♦J,♣K | Pair
♥3,♥J,♣2,♦J,♦3 | Two Pairs
♥3,♥J,♣2,♦J,♠5 | Pair
♥3,♥J,♣2,♦J,♥6 | Pair
♥3,♥J,♣2,♣K,♦3 | Pair
♥3,♥J,♣2,♦3,♠5 | Pair
♥3,♥J,♣2,♦3,♥6 | Pair
♥3,♥J,♦J,♣K,♦3 | Two Pairs
♥3,♥J,♦J,♣K,♠5 | Pair
♥3,♥J,♦J,♣K,♥6 | Pair
♥3,♥J,♦J,♦3,♠5 | Two Pairs
♥3,♥J,♦J,♦3,♥6 | Two Pairs
♥3,♥J,♦J,♠5,♥6 | Pair
♥3,♥J,♣K,♦3,♠5 | Pair
♥3,♥J,♣K,♦3,♥6 | Pair
♥3,♥J,♦3,♠5,♥6 | Pair
♥3,♥9,♣2,♦J,♦3 | Pair
♥3,♥9,♣2,♣K,♦3 | Pair
♥3,♥9,♣2,♦3,♠5 | Pair
♥3,♥9,♣2,♦3,♥6 | Pair
♥3,♥9,♦J,♣K,♦3 | Pair
♥3,♥9,♦J,♦3,♠5 | Pair
♥3,♥9,♦J,♦3,♥6 | Pair
♥3,♥9,♣K,♦3,♠5 | Pair
♥3,♥9,♣K,♦3,♥6 | Pair
♥3,♥9,♦3,♠5,♥6 | Pair
♥3,♣2,♦J,♣K,♦3 | Pair
♥3,♣2,♦J,♦3,♠5 | Pair
♥3,♣2,♦J,♦3,♥6 | Pair
♥3,♣2,♣K,♦3,♠5 | Pair
♥3,♣2,♣K,♦3,♥6 | Pair
♥3,♣2,♦3,♠5,♥6 | Pair
♥3,♦J,♣K,♦3,♠5 | Pair
♥3,♦J,♣K,♦3,♥6 | Pair
♥3,♦J,♦3,♠5,♥6 | Pair
♥3,♣K,♦3,♠5,♥6 | Pair
♥J,♥9,♣2,♦J,♣K | Pair
♥J,♥9,♣2,♦J,♦3 | Pair
♥J,♥9,♣2,♦J,♠5 | Pair
♥J,♥9,♣2,♦J,♥6 | Pair
♥J,♥9,♦J,♣K,♦3 | Pair
♥J,♥9,♦J,♣K,♠5 | Pair
♥J,♥9,♦J,♣K,♥6 | Pair
♥J,♥9,♦J,♦3,♠5 | Pair
♥J,♥9,♦J,♦3,♥6 | Pair
♥J,♥9,♦J,♠5,♥6 | Pair
♥J,♣2,♦J,♣K,♦3 | Pair
♥J,♣2,♦J,♣K,♠5 | Pair
♥J,♣2,♦J,♣K,♥6 | Pair
♥J,♣2,♦J,♦3,♠5 | Pair
♥J,♣2,♦J,♦3,♥6 | Pair
♥J,♣2,♦J,♠5,♥6 | Pair
♥J,♦J,♣K,♦3,♠5 | Pair
♥J,♦J,♣K,♦3,♥6 | Pair
♥J,♦J,♣K,♠5,♥6 | Pair
♥J,♦J,♦3,♠5,♥6 | Pair
