♥K,♥A,♣4,♠K,♦8 | Pair
♥K,♥A,♦8,♦T,♦A | Pair
♥K,♥A,♦8,♦T,♦K | Pair
♥K,♥A,♦8,♦A,♣7 | Pair
♥K,♥A,♦8,♦A,♦K | Two Pairs
♥K,♥A,♦8,♦A,♠7 | Pair
♥K,♥A,♦8,♦A,♦2 | Pair
♥K,♥A,♦8,♣7,♦K | Pair
♥K,♥A,♦8,♣7,♠7 | Pair
♥K,♥A,♦8,♦K,♠7 | Pair
♥K,♥A,♦8,♦K,♦2 | Pair
♥K,♥A,♥7,♦T,♦A | Pair
♥K,♥A,♥7,♦T,♣7 | Pair
♥K,♥A,♥7,♦T,♦K | Pair
♥K,♥A,♥7,♦T,♠7 | Pair
♥K,♥A,♥7,♦A,♣7 | Two Pairs
♥K,♥A,♥7,♦A,♦K | Two Pairs
♥K,♥A,♥7,♦A,♠7 | Two Pairs
♥K,♥A,♥7,♦A,♦2 | Pair
♥K,♥A,♥7,♣7,♦K | Two Pairs
♥K,♥A,♥7,♣7,♠7 | Full House
♥K,♥A,♥7,♣7,♦2 | Pair
♥K,♥A,♥7,♦K,♠7 | Two Pairs
♥K,♥A,♥7,♦K,♦2 | Pair
♥K,♥A,♥7,♠7,♦2 | Pair
♥K,♥A,♦T,♦A,♣7 | Pair
♥K,♥A,♦T,♦A,♦K | Two Pairs
♥K,♥A,♦T,♦A,♠7 | Pair
♥K,♥A,♦T,♦A,♦2 | Pair
♥K,♥A,♦T,♣7,♦K | Pair
♥K,♥A,♦T,♣7,♠7 | Pair
♥K,♥A,♦T,♦K,♠7 | Pair
♥K,♥A,♦T,♦K,♦2 | Pair
♥K,♥A,♦A,♣7,♦K | Two Pairs
♥K,♥A,♦A,♣7,♠7 | Two Pairs
♥K,♥A,♦A,♣7,♦2 | Pair
♥K,♥A,♦A,♦K,♠7 | Two Pairs
♥K,♥A,♦A,♦K,♦2 | Two Pairs
♥K,♥A,♦A,♠7,♦2 | Pair
♥K,♥A,♣7,♦K,♠7 | Two Pairs
♥K,♥A,♣7,♦K,♦2 | Pair
♥K,♥A,♣7,♠7,♦2 | Pair
♥K,♥A,♦K,♠7,♦2 | Pair
♥K,♣4,♠K,♦8,♥7 | Pair
♥K,♣4,♠K,♦8,♦T | Pair
♥K,♣4,♠K,♦8,♦A | Pair
♥K,♣4,♠K,♦8,♣7 | Pair
♥K,♣4,♠K,♦8,♦K | Full House
♥K,♣4,♠K,♦8,♠7 | Pair
♥K,♣4,♠K,♦8,♦2 | Pair
♥K,♣4,♠K,♥7,♦T | Pair
♥K,♣4,♠K,♥7,♦A | Pair
♥K,♣4,♠K,♥7,♣7 | Two Pairs
♥K,♣4,♠K,♥7,♦K | Full House
♥K,♣4,♠K,♥7,♠7 | Two Pairs
♥K,♣4,♠K,♥7,♦2 | Pair
♥K,♣4,♠K,♦T,♦A | Pair
♥K,♣4,♠K,♦T,♣7 | Pair
♥K,♣4,♠K,♦T,♦K | Full House
♥K,♣4,♠K,♦T,♠7 | Pair
♥K,♣4,♠K,♦T,♦2 | Pair
♥K,♣4,♠K,♦A,♣7 | Pair
♥K,♣4,♠K,♦A,♦K | Full House
♥K,♣4,♠K,♦A,♠7 | Pair
♥K,♣4,♠K,♦A,♦2 | Pair
♥K,♣4,♠K,♣7,♦K | Full House
♥K,♣4,♠K,♣7,♠7 | Two Pairs
♥K,♣4,♠K,♣7,♦2 | Pair
♥K,♣4,♠K,♦K,♠7 | Full House
♥K,♣4,♠K,♦K,♦2 | Full House
♥K,♣4,♠K,♠7,♦2 | Pair
♥K,♣4,♦8,♥7,♣7 | Pair
♥K,♣4,♦8,♥7,♦K | Pair
♥K,♣4,♦8,♥7,♠7 | Pair
♥K,♣4,♦8,♦T,♦K | Pair
♥K,♣4,♦8,♦A,♦K | Pair
♥K,♣4,♦8,♣7,♦K | Pair
♥K,♣4,♦8,♣7,♠7 | Pair
♥K,♣4,♦8,♦K,♠7 | Pair
♥K,♣4,♦8,♦K,♦2 | Pair
♥K,♣4,♥7,♦T,♣7 | Pair
♥K,♣4,♥7,♦T,♦K | Pair
♥K,♣4,♥7,♦T,♠7 | Pair
♥K,♣4,♥7,♦A,♣7 | Pair
♥K,♣4,♥7,♦A,♦K | Pair
♥K,♣4,♥7,♦A,♠7 | Pair
♥K,♣4,♥7,♣7,♦K | Two Pairs
♥K,♣4,♥7,♣7,♠7 | Full House
♥K,♣4,♥7,♣7,♦2 | Pair
♥K,♣4,♥7,♦K,♠7 | Two Pairs
♥K,♣4,♥7,♦K,♦2 | Pair
♥K,♣4,♥7,♠7,♦2 | Pair
♥K,♣4,♦T,♦A,♦K | Pair
♥K,♣4,♦T,♣7,♦K | Pair
♥K,♣4,♦T,♣7,♠7 | Pair
♥K,♣4,♦T,♦K,♠7 | Pair
♥K,♣4,♦T,♦K,♦2 | Pair
♥K,♣4,♦A,♣7,♦K | Pair
♥K,♣4,♦A,♣7,♠7 | Pair
♥K,♣4,♦A,♦K,♠7 | Pair
♥K,♣4,♦A,♦K,♦2 | Pair
♥K,♣4,♣7,♦K,♠7 | Two Pairs
♥K,♣4,♣7,♦K,♦2 | Pair
♥K,♣4,♣7,♠7,♦2 | Pair
♥K,♣4,♦K,♠7,♦2 | Pair
♥K,♠K,♦8,♥7,♦T | Pair
♥K,♠K,♦8,♥7,♦A | Pair
♥K,♠K,♦8,♥7,♣7 | Two Pairs
♥K,♠K,♦8,♥7,♦K | Full House
♥K,♠K,♦8,♥7,♠7 | Two Pairs
♥K,♠K,♦8,♥7,♦2 | Pair
♥K,♠K,♦8,♦T,♦A | Pair
♥K,♠K,♦8,♦T,♣7 | Pair
♥K,♠K,♦8,♦T,♦K | Full House
♥K,♠K,♦8,♦T,♠7 | Pair
♥K,♠K,♦8,♦T,♦2 | Pair
♥K,♠K,♦8,♦A,♣7 | Pair
♥K,♠K,♦8,♦A,♦K | Full House
♥K,♠K,♦8,♦A,♠7 | Pair
♥K,♠K,♦8,♦A,♦2 | Pair
♥K,♠K,♦8,♣7,♦K | Full House
♥K,♠K,♦8,♣7,♠7 | Two Pairs
♥K,♠K,♦8,♣7,♦2 | Pair
♥K,♠K,♦8,♦K,♠7 | Full House
♥K,♠K,♦8,♦K,♦2 | Full House
♥K,♠K,♦8,♠7,♦2 | Pair
♥K,♠K,♥7,♦T,♦A | Pair
♥K,♠K,♥7,♦T,♣7 | Two Pairs
♥K,♠K,♥7,♦T,♦K | Full House
♥K,♠K,♥7,♦T,♠7 | Two Pairs
♥K,♠K,♥7,♦T,♦2 | Pair
♥K,♠K,♥7,♦A,♣7 | Two Pairs
♥K,♠K,♥7,♦A,♦K | Full House
♥K,♠K,♥7,♦A,♠7 | Two Pairs
♥K,♠K,♥7,♦A,♦2 | Pair
♥K,♠K,♥7,♣7,♦K | Full House
♥K,♠K,♥7,♣7,♠7 | Full House
♥K,♠K,♥7,♣7,♦2 | Two Pairs
♥K,♠K,♥7,♦K,♠7 | Full House
♥K,♠K,♥7,♦K,♦2 | Full House
♥K,♠K,♥7,♠7,♦2 | Two Pairs
♥K,♠K,♦T,♦A,♣7 | Pair
♥K,♠K,♦T,♦A,♦K | Full House
♥K,♠K,♦T,♦A,♠7 | Pair
♥K,♠K,♦T,♦A,♦2 | Pair
♥K,♠K,♦T,♣7,♦K | Full House
♥K,♠K,♦T,♣7,♠7 | Two Pairs
♥K,♠K,♦T,♣7,♦2 | Pair
♥K,♠K,♦T,♦K,♠7 | Full House
♥K,♠K,♦T,♦K,♦2 | Full House
♥K,♠K,♦T,♠7,♦2 | Pair
♥K,♠K,♦A,♣7,♦K | Full House
♥K,♠K,♦A,♣7,♠7 | Two Pairs
♥K,♠K,♦A,♣7,♦2 | Pair
♥K,♠K,♦A,♦K,♠7 | Full House
♥K,♠K,♦A,♦K,♦2 | Full House
♥K,♠K,♦A,♠7,♦2 | Pair
♥K,♠K,♣7,♦K,♠7 | Full House
♥K,♠K,♣7,♦K,♦2 | Full House
♥K,♠K,♣7,♠7,♦2 | Two Pairs
♥K,♠K,♦K,♠7,♦2 | Full House
♥K,♦8,♥7,♦T,♣7 | Pair
♥K,♦8,♥7,♦T,♦K | Pair
♥K,♦8,♥7,♦T,♠7 | Pair
♥K,♦8,♥7,♦A,♣7 | Pair
♥K,♦8,♥7,♦A,♦K | Pair
♥K,♦8,♥7,♦A,♠7 | Pair
♥K,♦8,♥7,♣7,♦K | Two Pairs
♥K,♦8,♥7,♣7,♠7 | Full House
♥K,♦8,♥7,♣7,♦2 | Pair
♥K,♦8,♥7,♦K,♠7 | Two Pairs
♥K,♦8,♥7,♦K,♦2 | Pair
♥K,♦8,♥7,♠7,♦2 | Pair
♥K,♦8,♦T,♦A,♦K | Pair
♥K,♦8,♦T,♣7,♦K | Pair
♥K,♦8,♦T,♣7,♠7 | Pair
♥K,♦8,♦T,♦K,♠7 | Pair
♥K,♦8,♦T,♦K,♦2 | Pair
♥K,♦8,♦A,♣7,♦K | Pair
♥K,♦8,♦A,♣7,♠7 | Pair
♥K,♦8,♦A,♦K,♠7 | Pair
♥K,♦8,♦A,♦K,♦2 | Pair
♥K,♦8,♣7,♦K,♠7 | Two Pairs
♥K,♦8,♣7,♦K,♦2 | Pair
♥K,♦8,♣7,♠7,♦2 | Pair
♥K,♦8,♦K,♠7,♦2 | Pair
♥K,♥7,♦T,♦A,♣7 | Pair
♥K,♥7,♦T,♦A,♦K | Pair
♥K,♥7,♦T,♦A,♠7 | Pair
♥K,♥7,♦T,♣7,♦K | Two Pairs
♥K,♥7,♦T,♣7,♠7 | Full House
♥K,♥7,♦T,♣7,♦2 | Pair
♥K,♥7,♦T,♦K,♠7 | Two Pairs
♥K,♥7,♦T,♦K,♦2 | Pair
♥K,♥7,♦T,♠7,♦2 | Pair
♥K,♥7,♦A,♣7,♦K | Two Pairs
♥K,♥7,♦A,♣7,♠7 | Full House
♥K,♥7,♦A,♣7,♦2 | Pair
♥K,♥7,♦A,♦K,♠7 | Two Pairs
♥K,♥7,♦A,♦K,♦2 | Pair
♥K,♥7,♦A,♠7,♦2 | Pair
♥K,♥7,♣7,♦K,♠7 | Full House
♥K,♥7,♣7,♦K,♦2 | Two Pairs
♥K,♥7,♣7,♠7,♦2 | Full House
♥K,♥7,♦K,♠7,♦2 | Two Pairs
♥K,♦T,♦A,♣7,♦K | Pair
♥K,♦T,♦A,♣7,♠7 | Pair
♥K,♦T,♦A,♦K,♠7 | Pair
♥K,♦T,♦A,♦K,♦2 | Pair
♥K,♦T,♣7,♦K,♠7 | Two Pairs
♥K,♦T,♣7,♦K,♦2 | Pair
♥K,♦T,♣7,♠7,♦2 | Pair
♥K,♦T,♦K,♠7,♦2 | Pair
♥K,♦A,♣7,♦K,♠7 | Two Pairs
♥K,♦A,♣7,♦K,♦2 | Pair
♥K,♦A,♣7,♠7,♦2 | Pair
♥K,♦A,♦K,♠7,♦2 | Pair
♥K,♣7,♦K,♠7,♦2 | Two Pairs
♥A,♣4,♠K,♦8,♦A | Pair
♥A,♣4,♠K,♦8,♦K | Pair
♥A,♣4,♠K,♥7,♦A | Pair
♥A,♣4,♠K,♥7,♣7 | Pair
♥A,♣4,♠K,♥7,♦K | Pair
♥A,♣4,♠K,♥7,♠7 | Pair
♥A,♣4,♠K,♦T,♦A | Pair
♥A,♣4,♠K,♦T,♦K | Pair
♥A,♣4,♠K,♦A,♣7 | Pair
♥A,♣4,♠K,♦A,♦K | Two Pairs
♥A,♣4,♠K,♦A,♠7 | Pair
♥A,♣4,♠K,♦A,♦2 | Pair
♥A,♣4,♠K,♣7,♦K | Pair
♥A,♣4,♠K,♣7,♠7 | Pair
♥A,♣4,♠K,♦K,♠7 | Pair
♥A,♣4,♠K,♦K,♦2 | Pair
♥A,♣4,♦8,♥7,♦A | Pair
♥A,♣4,♦8,♥7,♣7 | Pair
♥A,♣4,♦8,♥7,♠7 | Pair
♥A,♣4,♦8,♦T,♦A | Pair
♥A,♣4,♦8,♦A,♣7 | Pair
♥A,♣4,♦8,♦A,♦K | Pair
♥A,♣4,♦8,♦A,♠7 | Pair
♥A,♣4,♦8,♦A,♦2 | Pair
♥A,♣4,♦8,♣7,♠7 | Pair
♥A,♣4,♥7,♦T,♦A | Pair
♥A,♣4,♥7,♦T,♣7 | Pair
♥A,♣4,♥7,♦T,♠7 | Pair
♥A,♣4,♥7,♦A,♣7 | Two Pairs
♥A,♣4,♥7,♦A,♦K | Pair
♥A,♣4,♥7,♦A,♠7 | Two Pairs
♥A,♣4,♥7,♦A,♦2 | Pair
♥A,♣4,♥7,♣7,♦K | Pair
♥A,♣4,♥7,♣7,♠7 | Full House
♥A,♣4,♥7,♣7,♦2 | Pair
♥A,♣4,♥7,♦K,♠7 | Pair
♥A,♣4,♥7,♠7,♦2 | Pair
♥A,♣4,♦T,♦A,♣7 | Pair
♥A,♣4,♦T,♦A,♦K | Pair
♥A,♣4,♦T,♦A,♠7 | Pair
♥A,♣4,♦T,♦A,♦2 | Pair
♥A,♣4,♦T,♣7,♠7 | Pair
♥A,♣4,♦A,♣7,♦K | Pair
♥A,♣4,♦A,♣7,♠7 | Two Pairs
♥A,♣4,♦A,♣7,♦2 | Pair
♥A,♣4,♦A,♦K,♠7 | Pair
♥A,♣4,♦A,♦K,♦2 | Pair
♥A,♣4,♦A,♠7,♦2 | Pair
♥A,♣4,♣7,♦K,♠7 | Pair
♥A,♣4,♣7,♠7,♦2 | Pair
♥A,♠K,♦8,♥7,♦A | Pair
♥A,♠K,♦8,♥7,♣7 | Pair
♥A,♠K,♦8,♥7,♦K | Pair
♥A,♠K,♦8,♥7,♠7 | Pair
♥A,♠K,♦8,♦T,♦A | Pair
♥A,♠K,♦8,♦T,♦K | Pair
♥A,♠K,♦8,♦A,♣7 | Pair
♥A,♠K,♦8,♦A,♦K | Two Pairs
♥A,♠K,♦8,♦A,♠7 | Pair
♥A,♠K,♦8,♦A,♦2 | Pair
♥A,♠K,♦8,♣7,♦K | Pair
♥A,♠K,♦8,♣7,♠7 | Pair
♥A,♠K,♦8,♦K,♠7 | Pair
♥A,♠K,♦8,♦K,♦2 | Pair
♥A,♠K,♥7,♦T,♦A | Pair
♥A,♠K,♥7,♦T,♣7 | Pair
♥A,♠K,♥7,♦T,♦K | Pair
♥A,♠K,♥7,♦T,♠7 | Pair
♥A,♠K,♥7,♦A,♣7 | Two Pairs
♥A,♠K,♥7,♦A,♦K | Two Pairs
♥A,♠K,♥7,♦A,♠7 | Two Pairs
♥A,♠K,♥7,♦A,♦2 | Pair
♥A,♠K,♥7,♣7,♦K | Two Pairs
♥A,♠K,♥7,♣7,♠7 | Full House
♥A,♠K,♥7,♣7,♦2 | Pair
♥A,♠K,♥7,♦K,♠7 | Two Pairs
♥A,♠K,♥7,♦K,♦2 | Pair
♥A,♠K,♥7,♠7,♦2 | Pair
♥A,♠K,♦T,♦A,♣7 | Pair
♥A,♠K,♦T,♦A,♦K | Two Pairs
♥A,♠K,♦T,♦A,♠7 | Pair
♥A,♠K,♦T,♦A,♦2 | Pair
♥A,♠K,♦T,♣7,♦K | Pair
♥A,♠K,♦T,♣7,♠7 | Pair
♥A,♠K,♦T,♦K,♠7 | Pair
♥A,♠K,♦T,♦K,♦2 | Pair
♥A,♠K,♦A,♣7,♦K | Two Pairs
♥A,♠K,♦A,♣7,♠7 | Two Pairs
♥A,♠K,♦A,♣7,♦2 | Pair
♥A,♠K,♦A,♦K,♠7 | Two Pairs
♥A,♠K,♦A,♦K,♦2 | Two Pairs
♥A,♠K,♦A,♠7,♦2 | Pair
♥A,♠K,♣7,♦K,♠7 | Two Pairs
♥A,♠K,♣7,♦K,♦2 | Pair
♥A,♠K,♣7,♠7,♦2 | Pair
♥A,♠K,♦K,♠7,♦2 | Pair
♥A,♦8,♥7,♦T,♦A | Pair
♥A,♦8,♥7,♦T,♣7 | Pair
♥A,♦8,♥7,♦T,♠7 | Pair
♥A,♦8,♥7,♦A,♣7 | Two Pairs
♥A,♦8,♥7,♦A,♦K | Pair
♥A,♦8,♥7,♦A,♠7 | Two Pairs
♥A,♦8,♥7,♦A,♦2 | Pair
♥A,♦8,♥7,♣7,♦K | Pair
♥A,♦8,♥7,♣7,♠7 | Full House
♥A,♦8,♥7,♣7,♦2 | Pair
♥A,♦8,♥7,♦K,♠7 | Pair
♥A,♦8,♥7,♠7,♦2 | Pair
♥A,♦8,♦T,♦A,♣7 | Pair
♥A,♦8,♦T,♦A,♦K | Pair
♥A,♦8,♦T,♦A,♠7 | Pair
♥A,♦8,♦T,♦A,♦2 | Pair
♥A,♦8,♦T,♣7,♠7 | Pair
♥A,♦8,♦A,♣7,♦K | Pair
♥A,♦8,♦A,♣7,♠7 | Two Pairs
♥A,♦8,♦A,♣7,♦2 | Pair
♥A,♦8,♦A,♦K,♠7 | Pair
♥A,♦8,♦A,♦K,♦2 | Pair
♥A,♦8,♦A,♠7,♦2 | Pair
♥A,♦8,♣7,♦K,♠7 | Pair
♥A,♦8,♣7,♠7,♦2 | Pair
♥A,♥7,♦T,♦A,♣7 | Two Pairs
♥A,♥7,♦T,♦A,♦K | Pair
♥A,♥7,♦T,♦A,♠7 | Two Pairs
♥A,♥7,♦T,♦A,♦2 | Pair
♥A,♥7,♦T,♣7,♦K | Pair
♥A,♥7,♦T,♣7,♠7 | Full House
♥A,♥7,♦T,♣7,♦2 | Pair
♥A,♥7,♦T,♦K,♠7 | Pair
♥A,♥7,♦T,♠7,♦2 | Pair
♥A,♥7,♦A,♣7,♦K | Two Pairs
♥A,♥7,♦A,♣7,♠7 | Full House
♥A,♥7,♦A,♣7,♦2 | Two Pairs
♥A,♥7,♦A,♦K,♠7 | Two Pairs
♥A,♥7,♦A,♦K,♦2 | Pair
♥A,♥7,♦A,♠7,♦2 | Two Pairs
♥A,♥7,♣7,♦K,♠7 | Full House
♥A,♥7,♣7,♦K,♦2 | Pair
♥A,♥7,♣7,♠7,♦2 | Full House
♥A,♥7,♦K,♠7,♦2 | Pair
♥A,♦T,♦A,♣7,♦K | Pair
♥A,♦T,♦A,♣7,♠7 | Two Pairs
♥A,♦T,♦A,♣7,♦2 | Pair
♥A,♦T,♦A,♦K,♠7 | Pair
♥A,♦T,♦A,♦K,♦2 | Pair
♥A,♦T,♦A,♠7,♦2 | Pair
♥A,♦T,♣7,♦K,♠7 | Pair
♥A,♦T,♣7,♠7,♦2 | Pair
♥A,♦A,♣7,♦K,♠7 | Two Pairs
♥A,♦A,♣7,♦K,♦2 | Pair
♥A,♦A,♣7,♠7,♦2 | Two Pairs
♥A,♦A,♦K,♠7,♦2 | Pair
♥A,♣7,♦K,♠7,♦2 | Pair
♣4,♠K,♦8,♥7,♣7 | Pair
♣4,♠K,♦8,♥7,♦K | Pair
♣4,♠K,♦8,♥7,♠7 | Pair
♣4,♠K,♦8,♦T,♦K | Pair
♣4,♠K,♦8,♦A,♦K | Pair
♣4,♠K,♦8,♣7,♦K | Pair
♣4,♠K,♦8,♣7,♠7 | Pair
♣4,♠K,♦8,♦K,♠7 | Pair
♣4,♠K,♦8,♦K,♦2 | Pair
♣4,♠K,♥7,♦T,♣7 | Pair
♣4,♠K,♥7,♦T,♦K | Pair
♣4,♠K,♥7,♦T,♠7 | Pair
♣4,♠K,♥7,♦A,♣7 | Pair
♣4,♠K,♥7,♦A,♦K | Pair
♣4,♠K,♥7,♦A,♠7 | Pair
♣4,♠K,♥7,♣7,♦K | Two Pairs
♣4,♠K,♥7,♣7,♠7 | Full House
♣4,♠K,♥7,♣7,♦2 | Pair
♣4,♠K,♥7,♦K,♠7 | Two Pairs
♣4,♠K,♥7,♦K,♦2 | Pair
♣4,♠K,♥7,♠7,♦2 | Pair
♣4,♠K,♦T,♦A,♦K | Pair
♣4,♠K,♦T,♣7,♦K | Pair
♣4,♠K,♦T,♣7,♠7 | Pair
♣4,♠K,♦T,♦K,♠7 | Pair
♣4,♠K,♦T,♦K,♦2 | Pair
♣4,♠K,♦A,♣7,♦K | Pair
♣4,♠K,♦A,♣7,♠7 | Pair
♣4,♠K,♦A,♦K,♠7 | Pair
♣4,♠K,♦A,♦K,♦2 | Pair
♣4,♠K,♣7,♦K,♠7 | Two Pairs
♣4,♠K,♣7,♦K,♦2 | Pair
♣4,♠K,♣7,♠7,♦2 | Pair
♣4,♠K,♦K,♠7,♦2 | Pair
♣4,♦8,♥7,♦T,♣7 | Pair
♣4,♦8,♥7,♦T,♠7 | Pair
♣4,♦8,♥7,♦A,♣7 | Pair
♣4,♦8,♥7,♦A,♠7 | Pair
♣4,♦8,♥7,♣7,♦K | Pair
♣4,♦8,♥7,♣7,♠7 | Full House
♣4,♦8,♥7,♣7,♦2 | Pair
♣4,♦8,♥7,♦K,♠7 | Pair
♣4,♦8,♥7,♠7,♦2 | Pair
♣4,♦8,♦T,♣7,♠7 | Pair
♣4,♦8,♦A,♣7,♠7 | Pair
♣4,♦8,♣7,♦K,♠7 | Pair
♣4,♦8,♣7,♠7,♦2 | Pair
♣4,♥7,♦T,♦A,♣7 | Pair
♣4,♥7,♦T,♦A,♠7 | Pair
♣4,♥7,♦T,♣7,♦K | Pair
♣4,♥7,♦T,♣7,♠7 | Full House
♣4,♥7,♦T,♣7,♦2 | Pair
♣4,♥7,♦T,♦K,♠7 | Pair
♣4,♥7,♦T,♠7,♦2 | Pair
♣4,♥7,♦A,♣7,♦K | Pair
♣4,♥7,♦A,♣7,♠7 | Full House
♣4,♥7,♦A,♣7,♦2 | Pair
♣4,♥7,♦A,♦K,♠7 | Pair
♣4,♥7,♦A,♠7,♦2 | Pair
♣4,♥7,♣7,♦K,♠7 | Full House
♣4,♥7,♣7,♦K,♦2 | Pair
♣4,♥7,♣7,♠7,♦2 | Full House
♣4,♥7,♦K,♠7,♦2 | Pair
♣4,♦T,♦A,♣7,♠7 | Pair
♣4,♦T,♣7,♦K,♠7 | Pair
♣4,♦T,♣7,♠7,♦2 | Pair
♣4,♦A,♣7,♦K,♠7 | Pair
♣4,♦A,♣7,♠7,♦2 | Pair
♣4,♣7,♦K,♠7,♦2 | Pair
♠K,♦8,♥7,♦T,♣7 | Pair
♠K,♦8,♥7,♦T,♦K | Pair
♠K,♦8,♥7,♦T,♠7 | Pair
♠K,♦8,♥7,♦A,♣7 | Pair
♠K,♦8,♥7,♦A,♦K | Pair
♠K,♦8,♥7,♦A,♠7 | Pair
♠K,♦8,♥7,♣7,♦K | Two Pairs
♠K,♦8,♥7,♣7,♠7 | Full House
♠K,♦8,♥7,♣7,♦2 | Pair
♠K,♦8,♥7,♦K,♠7 | Two Pairs
♠K,♦8,♥7,♦K,♦2 | Pair
♠K,♦8,♥7,♠7,♦2 | Pair
♠K,♦8,♦T,♦A,♦K | Pair
♠K,♦8,♦T,♣7,♦K | Pair
♠K,♦8,♦T,♣7,♠7 | Pair
♠K,♦8,♦T,♦K,♠7 | Pair
♠K,♦8,♦T,♦K,♦2 | Pair
♠K,♦8,♦A,♣7,♦K | Pair
♠K,♦8,♦A,♣7,♠7 | Pair
♠K,♦8,♦A,♦K,♠7 | Pair
♠K,♦8,♦A,♦K,♦2 | Pair
♠K,♦8,♣7,♦K,♠7 | Two Pairs
♠K,♦8,♣7,♦K,♦2 | Pair
♠K,♦8,♣7,♠7,♦2 | Pair
♠K,♦8,♦K,♠7,♦2 | Pair
♠K,♥7,♦T,♦A,♣7 | Pair
♠K,♥7,♦T,♦A,♦K | Pair
♠K,♥7,♦T,♦A,♠7 | Pair
♠K,♥7,♦T,♣7,♦K | Two Pairs
♠K,♥7,♦T,♣7,♠7 | Full House
♠K,♥7,♦T,♣7,♦2 | Pair
♠K,♥7,♦T,♦K,♠7 | Two Pairs
♠K,♥7,♦T,♦K,♦2 | Pair
♠K,♥7,♦T,♠7,♦2 | Pair
♠K,♥7,♦A,♣7,♦K | Two Pairs
♠K,♥7,♦A,♣7,♠7 | Full House
♠K,♥7,♦A,♣7,♦2 | Pair
♠K,♥7,♦A,♦K,♠7 | Two Pairs
♠K,♥7,♦A,♦K,♦2 | Pair
♠K,♥7,♦A,♠7,♦2 | Pair
♠K,♥7,♣7,♦K,♠7 | Full House
♠K,♥7,♣7,♦K,♦2 | Two Pairs
♠K,♥7,♣7,♠7,♦2 | Full House
♠K,♥7,♦K,♠7,♦2 | Two Pairs
♠K,♦T,♦A,♣7,♦K | Pair
♠K,♦T,♦A,♣7,♠7 | Pair
♠K,♦T,♦A,♦K,♠7 | Pair
♠K,♦T,♦A,♦K,♦2 | Pair
♠K,♦T,♣7,♦K,♠7 | Two Pairs
♠K,♦T,♣7,♦K,♦2 | Pair
♠K,♦T,♣7,♠7,♦2 | Pair
♠K,♦T,♦K,♠7,♦2 | Pair
♠K,♦A,♣7,♦K,♠7 | Two Pairs
♠K,♦A,♣7,♦K,♦2 | Pair
♠K,♦A,♣7,♠7,♦2 | Pair
♠K,♦A,♦K,♠7,♦2 | Pair
♠K,♣7,♦K,♠7,♦2 | Two Pairs
♦8,♥7,♦T,♦A,♣7 | Pair
