♠5,♥K,♣5,♥10,♦2 | Pair
♠5,♥K,♣5,♦4,♣5 | Three Of A Kind
♠5,♥K,♣5,♦4,♦6 | Pair
♠5,♥K,♣5,♦4,♦6 | Pair
♠5,♥K,♣5,♣5,♦6 | Pair
♠5,♥K,♣5,♣5,♦6 | Three Of A Kind
♠5,♥K,♣5,♣5,♦6 | Pair
♠5,♥K,♣5,♣5,♦6 | Three Of A Kind
♠5,♥K,♥10,♦2,♥2 | Pair
♠5,♥K,♥10,♦2,♥2 | Pair
♠5,♥K,♥10,♦2,♣5 | Pair
♠5,♥K,♥10,♦2,♣5 | Pair
♠5,♥K,♥10,♥2,♣5 | Pair
♠5,♥K,♥10,♥2,♣5 | Pair
♠5,♥K,♥10,♣8,♣5 | Pair
♠5,♥K,♥10,♣8,♣5 | Pair
♠5,♥K,♥10,♣7,♣5 | Pair
♠5,♥K,♥10,♣7,♣5 | Pair
♠5,♥K,♥10,♦6,♣5 | Pair
♠5,♥K,♥10,♦6,♣5 | Pair
♠5,♥K,♥10,♦6,♦6 | Pair
♠5,♥K,♥10,♦6,♦6 | Pair
♠5,♥K,♥10,♦4,♣5 | Pair
♠5,♥K,♥10,♦4,♣5 | Pair
♠5,♥K,♥10,♣5,♦6 | Pair
♠5,♥K,♥10,♣5,♦6 | Pair
♠5,♥K,♦2,♥2,♣8 | Pair
♠5,♥K,♦2,♥2,♣8 | Pair
♠5,♥K,♦2,♥2,♣7 | Pair
♠5,♥K,♦2,♥2,♣7 | Pair
♠5,♥K,♦2,♥2,♦6 | Pair
♠5,♥K,♦2,♥2,♦6 | Pair
♠5,♥K,♦2,♥2,♦4 | Pair
♠5,♥K,♦2,♥2,♦4 | Pair
♠5,♥K,♦2,♥2,♣5 | Pair
♠5,♥K,♦2,♥2,♣5 | Pair
♠5,♥K,♦2,♥2,♣5 | Pair
♠5,♥K,♦2,♥2,♣5 | Pair
♠5,♥K,♦2,♥2,♦6 | Pair
♠5,♥K,♦2,♥2,♦6 | Pair
♠5,♥K,♦2,♣8,♣5 | Pair
♠5,♥K,♦2,♣8,♣5 | Pair
♠5,♥K,♦2,♣7,♣5 | Pair
♠5,♥K,♦2,♣7,♣5 | Pair
♠5,♥K,♦2,♦6,♣5 | Pair
♠5,♥K,♦2,♦6,♣5 | Pair
♠5,♥K,♦2,♦6,♦6 | Pair
♠5,♥K,♦2,♦6,♦6 | Pair
♠5,♥K,♦2,♦4,♣5 | Pair
♠5,♥K,♦2,♦4,♣5 | Pair
♠5,♥K,♦2,♣5,♦6 | Pair
♠5,♥K,♦2,♣5,♦6 | Pair
♠5,♥K,♥2,♣8,♣5 | Pair
♠5,♥K,♥2,♣8,♣5 | Pair
♠5,♥K,♥2,♣7,♣5 | Pair
♠5,♥K,♥2,♣7,♣5 | Pair
♠5,♥K,♥2,♦6,♣5 | Pair
♠5,♥K,♥2,♦6,♣5 | Pair
♠5,♥K,♥2,♦6,♦6 | Pair
♠5,♥K,♥2,♦6,♦6 | Pair
♠5,♥K,♥2,♦4,♣5 | Pair
♠5,♥K,♥2,♦4,♣5 | Pair
♠5,♥K,♥2,♣5,♦6 | Pair
♠5,♥K,♥2,♣5,♦6 | Pair
♠5,♥K,♣8,♣7,♣5 | Pair
♠5,♥K,♣8,♣7,♣5 | Pair
♠5,♥K,♣8,♦6,♣5 | Pair
♠5,♥K,♣8,♦6,♣5 | Pair
♠5,♥K,♣8,♦6,♦6 | Pair
♠5,♥K,♣8,♦6,♦6 | Pair
♠5,♥K,♣8,♦4,♣5 | Pair
♠5,♥K,♣8,♦4,♣5 | Pair
♠5,♥K,♣8,♣5,♦6 | Pair
♠5,♥K,♣8,♣5,♦6 | Pair
♠5,♥K,♣7,♦6,♣5 | Pair
♠5,♥K,♣7,♦6,♣5 | Pair
♠5,♥K,♣7,♦6,♦6 | Pair
♠5,♥K,♣7,♦6,♦6 | Pair
♠5,♥K,♣7,♦4,♣5 | Pair
♠5,♥K,♣7,♦4,♣5 | Pair
♠5,♥K,♣7,♣5,♦6 | Pair
♠5,♥K,♣7,♣5,♦6 | Pair
♠5,♥K,♦6,♦4,♣5 | Pair
♠5,♥K,♦6,♦4,♣5 | Pair
♠5,♥K,♦6,♦4,♦6 | Pair
♠5,♥K,♦6,♦4,♦6 | Pair
♠5,♥K,♦6,♣5,♦6 | Pair
♠5,♥K,♦6,♣5,♦6 | Pair
♠5,♥K,♦6,♣5,♦6 | Pair
♠5,♥K,♦6,♣5,♦6 | Pair
♠5,♥K,♦4,♣5,♦6 | Pair
♠5,♥K,♦4,♣5,♦6 | Pair
♠5,♣5,♥10,♦2,♥2 | Pair
♠5,♣5,♥10,♦2,♥2 | Pair
♠5,♣5,♥10,♦2,♥2 | Pair
♠5,♣5,♥10,♦2,♥2 | Pair
♠5,♣5,♥10,♦2,♣8 | Pair
♠5,♣5,♥10,♦2,♣8 | Pair
♠5,♣5,♥10,♦2,♣7 | Pair
♠5,♣5,♥10,♦2,♣7 | Pair
♠5,♣5,♥10,♦2,♦6 | Pair
♠5,♣5,♥10,♦2,♦6 | Pair
♠5,♣5,♥10,♦2,♦4 | Pair
♠5,♣5,♥10,♦2,♦4 | Pair
♠5,♣5,♥10,♦2,♣5 | Pair
♠5,♣5,♥10,♦2,♣5 | Three Of A Kind
♠5,♣5,♥10,♦2,♣5 | Pair
♠5,♣5,♥10,♦2,♣5 | Three Of A Kind
♠5,♣5,♥10,♦2,♦6 | Pair
♠5,♣5,♥10,♦2,♦6 | Pair
♠5,♣5,♥10,♥2,♣8 | Pair
♠5,♣5,♥10,♥2,♣8 | Pair
♠5,♣5,♥10,♥2,♣7 | Pair
♠5,♣5,♥10,♥2,♣7 | Pair
♠5,♣5,♥10,♥2,♦6 | Pair
♠5,♣5,♥10,♥2,♦6 | Pair
♠5,♣5,♥10,♥2,♦4 | Pair
♠5,♣5,♥10,♥2,♦4 | Pair
♠5,♣5,♥10,♥2,♣5 | Pair
♠5,♣5,♥10,♥2,♣5 | Three Of A Kind
♠5,♣5,♥10,♥2,♣5 | Pair
♠5,♣5,♥10,♥2,♣5 | Three Of A Kind
♠5,♣5,♥10,♥2,♦6 | Pair
♠5,♣5,♥10,♥2,♦6 | Pair
♠5,♣5,♥10,♣8,♣7 | Pair
♠5,♣5,♥10,♣8,♣7 | Pair
♠5,♣5,♥10,♣8,♦6 | Pair
♠5,♣5,♥10,♣8,♦6 | Pair
♠5,♣5,♥10,♣8,♦4 | Pair
♠5,♣5,♥10,♣8,♦4 | Pair
♠5,♣5,♥10,♣8,♣5 | Pair
♠5,♣5,♥10,♣8,♣5 | Three Of A Kind
♠5,♣5,♥10,♣8,♣5 | Pair
♠5,♣5,♥10,♣8,♣5 | Three Of A Kind
♠5,♣5,♥10,♣8,♦6 | Pair
♠5,♣5,♥10,♣8,♦6 | Pair
♠5,♣5,♥10,♣7,♦6 | Pair
♠5,♣5,♥10,♣7,♦6 | Pair
♠5,♣5,♥10,♣7,♦4 | Pair
♠5,♣5,♥10,♣7,♦4 | Pair
♠5,♣5,♥10,♣7,♣5 | Pair
♠5,♣5,♥10,♣7,♣5 | Three Of A Kind
♠5,♣5,♥10,♣7,♣5 | Pair
♠5,♣5,♥10,♣7,♣5 | Three Of A Kind
♠5,♣5,♥10,♣7,♦6 | Pair
♠5,♣5,♥10,♣7,♦6 | Pair
♠5,♣5,♥10,♦6,♦4 | Pair
♠5,♣5,♥10,♦6,♦4 | Pair
♠5,♣5,♥10,♦6,♣5 | Pair
♠5,♣5,♥10,♦6,♣5 | Three Of A Kind
♠5,♣5,♥10,♦6,♣5 | Pair
♠5,♣5,♥10,♦6,♣5 | Three Of A Kind
♠5,♣5,♥10,♦6,♦6 | Pair
♠5,♣5,♥10,♦6,♦6 | Pair
♠5,♣5,♥10,♦6,♦6 | Pair
♠5,♣5,♥10,♦6,♦6 | Pair
♠5,♣5,♥10,♦4,♣5 | Pair
♠5,♣5,♥10,♦4,♣5 | Three Of A Kind
♠5,♣5,♥10,♦4,♣5 | Pair
♠5,♣5,♥10,♦4,♣5 | Three Of A Kind
♠5,♣5,♥10,♦4,♦6 | Pair
♠5,♣5,♥10,♦4,♦6 | Pair
♠5,♣5,♥10,♣5,♦6 | Pair
♠5,♣5,♥10,♣5,♦6 | Three Of A Kind
♠5,♣5,♥10,♣5,♦6 | Pair
♠5,♣5,♥10,♣5,♦6 | Three Of A Kind
♠5,♣5,♦2,♥2,♣8 | Pair
♠5,♣5,♦2,♥2,♣8 | Pair
♠5,♣5,♦2,♥2,♣8 | Pair
♠5,♣5,♦2,♥2,♣8 | Pair
♠5,♣5,♦2,♥2,♣7 | Pair
♠5,♣5,♦2,♥2,♣7 | Pair
♠5,♣5,♦2,♥2,♣7 | Pair
♠5,♣5,♦2,♥2,♣7 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦4 | Pair
♠5,♣5,♦2,♥2,♦4 | Pair
♠5,♣5,♦2,♥2,♦4 | Pair
♠5,♣5,♦2,♥2,♦4 | Pair
♠5,♣5,♦2,♥2,♣5 | Pair
♠5,♣5,♦2,♥2,♣5 | Three Of A Kind
♠5,♣5,♦2,♥2,♣5 | Pair
♠5,♣5,♦2,♥2,♣5 | Pair
♠5,♣5,♦2,♥2,♣5 | Three Of A Kind
♠5,♣5,♦2,♥2,♣5 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♥2,♦6 | Pair
♠5,♣5,♦2,♣8,♣7 | Pair
♠5,♣5,♦2,♣8,♣7 | Pair
♠5,♣5,♦2,♣8,♦6 | Pair
♠5,♣5,♦2,♣8,♦6 | Pair
♠5,♣5,♦2,♣8,♦4 | Pair
♠5,♣5,♦2,♣8,♦4 | Pair
♠5,♣5,♦2,♣8,♣5 | Pair
♠5,♣5,♦2,♣8,♣5 | Three Of A Kind
♠5,♣5,♦2,♣8,♣5 | Pair
♠5,♣5,♦2,♣8,♣5 | Three Of A Kind
♠5,♣5,♦2,♣8,♦6 | Pair
♠5,♣5,♦2,♣8,♦6 | Pair
♠5,♣5,♦2,♣7,♦6 | Pair
♠5,♣5,♦2,♣7,♦6 | Pair
♠5,♣5,♦2,♣7,♦4 | Pair
♠5,♣5,♦2,♣7,♦4 | Pair
♠5,♣5,♦2,♣7,♣5 | Pair
♠5,♣5,♦2,♣7,♣5 | Three Of A Kind
♠5,♣5,♦2,♣7,♣5 | Pair
♠5,♣5,♦2,♣7,♣5 | Three Of A Kind
♠5,♣5,♦2,♣7,♦6 | Pair
♠5,♣5,♦2,♣7,♦6 | Pair
♠5,♣5,♦2,♦6,♦4 | Pair
♠5,♣5,♦2,♦6,♦4 | Pair
♠5,♣5,♦2,♦6,♣5 | Pair
♠5,♣5,♦2,♦6,♣5 | Three Of A Kind
♠5,♣5,♦2,♦6,♣5 | Pair
♠5,♣5,♦2,♦6,♣5 | Three Of A Kind
♠5,♣5,♦2,♦6,♦6 | Pair
♠5,♣5,♦2,♦6,♦6 | Pair
♠5,♣5,♦2,♦6,♦6 | Pair
♠5,♣5,♦2,♦6,♦6 | Pair
♠5,♣5,♦2,♦4,♣5 | Pair
♠5,♣5,♦2,♦4,♣5 | Three Of A Kind
♠5,♣5,♦2,♦4,♣5 | Pair
♠5,♣5,♦2,♦4,♣5 | Three Of A Kind
♠5,♣5,♦2,♦4,♦6 | Pair
♠5,♣5,♦2,♦4,♦6 | Pair
♠5,♣5,♦2,♣5,♦6 | Pair
♠5,♣5,♦2,♣5,♦6 | Three Of A Kind
♠5,♣5,♦2,♣5,♦6 | Pair
♠5,♣5,♦2,♣5,♦6 | Three Of A Kind
♠5,♣5,♥2,♣8,♣7 | Pair
♠5,♣5,♥2,♣8,♣7 | Pair
♠5,♣5,♥2,♣8,♦6 | Pair
♠5,♣5,♥2,♣8,♦6 | Pair
♠5,♣5,♥2,♣8,♦4 | Pair
♠5,♣5,♥2,♣8,♦4 | Pair
♠5,♣5,♥2,♣8,♣5 | Pair
♠5,♣5,♥2,♣8,♣5 | Three Of A Kind
♠5,♣5,♥2,♣8,♣5 | Pair
♠5,♣5,♥2,♣8,♣5 | Three Of A Kind
♠5,♣5,♥2,♣8,♦6 | Pair
♠5,♣5,♥2,♣8,♦6 | Pair
♠5,♣5,♥2,♣7,♦6 | Pair
♠5,♣5,♥2,♣7,♦6 | Pair
♠5,♣5,♥2,♣7,♦4 | Pair
♠5,♣5,♥2,♣7,♦4 | Pair
♠5,♣5,♥2,♣7,♣5 | Pair
♠5,♣5,♥2,♣7,♣5 | Three Of A Kind
♠5,♣5,♥2,♣7,♣5 | Pair
♠5,♣5,♥2,♣7,♣5 | Three Of A Kind
♠5,♣5,♥2,♣7,♦6 | Pair
♠5,♣5,♥2,♣7,♦6 | Pair
♠5,♣5,♥2,♦6,♦4 | Pair
♠5,♣5,♥2,♦6,♦4 | Pair
♠5,♣5,♥2,♦6,♣5 | Pair
♠5,♣5,♥2,♦6,♣5 | Three Of A Kind
♠5,♣5,♥2,♦6,♣5 | Pair
♠5,♣5,♥2,♦6,♣5 | Three Of A Kind
♠5,♣5,♥2,♦6,♦6 | Pair
♠5,♣5,♥2,♦6,♦6 | Pair
♠5,♣5,♥2,♦6,♦6 | Pair
♠5,♣5,♥2,♦6,♦6 | Pair
♠5,♣5,♥2,♦4,♣5 | Pair
♠5,♣5,♥2,♦4,♣5 | Three Of A Kind
♠5,♣5,♥2,♦4,♣5 | Pair
♠5,♣5,♥2,♦4,♣5 | Three Of A Kind
♠5,♣5,♥2,♦4,♦6 | Pair
♠5,♣5,♥2,♦4,♦6 | Pair
♠5,♣5,♥2,♣5,♦6 | Pair
♠5,♣5,♥2,♣5,♦6 | Three Of A Kind
♠5,♣5,♥2,♣5,♦6 | Pair
♠5,♣5,♥2,♣5,♦6 | Three Of A Kind
♠5,♣5,♣8,♣7,♦6 | Pair
♠5,♣5,♣8,♣7,♦6 | Pair
♠5,♣5,♣8,♣7,♦4 | Pair
♠5,♣5,♣8,♣7,♦4 | Pair
♠5,♣5,♣8,♣7,♣5 | Pair
♠5,♣5,♣8,♣7,♣5 | Three Of A Kind
♠5,♣5,♣8,♣7,♣5 | Pair
♠5,♣5,♣8,♣7,♣5 | Three Of A Kind
♠5,♣5,♣8,♣7,♦6 | Pair
♠5,♣5,♣8,♣7,♦6 | Pair
♠5,♣5,♣8,♦6,♦4 | Pair
♠5,♣5,♣8,♦6,♦4 | Pair
♠5,♣5,♣8,♦6,♣5 | Pair
♠5,♣5,♣8,♦6,♣5 | Three Of A Kind
♠5,♣5,♣8,♦6,♣5 | Pair
♠5,♣5,♣8,♦6,♣5 | Three Of A Kind
♠5,♣5,♣8,♦6,♦6 | Pair
♠5,♣5,♣8,♦6,♦6 | Pair
♠5,♣5,♣8,♦6,♦6 | Pair
♠5,♣5,♣8,♦6,♦6 | Pair
♠5,♣5,♣8,♦4,♣5 | Pair
♠5,♣5,♣8,♦4,♣5 | Three Of A Kind
♠5,♣5,♣8,♦4,♣5 | Pair
♠5,♣5,♣8,♦4,♣5 | Three Of A Kind
♠5,♣5,♣8,♦4,♦6 | Pair
♠5,♣5,♣8,♦4,♦6 | Pair
♠5,♣5,♣8,♣5,♦6 | Pair
♠5,♣5,♣8,♣5,♦6 | Three Of A Kind
♠5,♣5,♣8,♣5,♦6 | Pair
♠5,♣5,♣8,♣5,♦6 | Three Of A Kind
♠5,♣5,♣7,♦6,♦4 | Pair
♠5,♣5,♣7,♦6,♦4 | Pair
♠5,♣5,♣7,♦6,♣5 | Pair
♠5,♣5,♣7,♦6,♣5 | Three Of A Kind
♠5,♣5,♣7,♦6,♣5 | Pair
♠5,♣5,♣7,♦6,♣5 | Three Of A Kind
♠5,♣5,♣7,♦6,♦6 | Pair
♠5,♣5,♣7,♦6,♦6 | Pair
♠5,♣5,♣7,♦6,♦6 | Pair
♠5,♣5,♣7,♦6,♦6 | Pair
♠5,♣5,♣7,♦4,♣5 | Pair
♠5,♣5,♣7,♦4,♣5 | Three Of A Kind
♠5,♣5,♣7,♦4,♣5 | Pair
♠5,♣5,♣7,♦4,♣5 | Three Of A Kind
♠5,♣5,♣7,♦4,♦6 | Pair
♠5,♣5,♣7,♦4,♦6 | Pair
♠5,♣5,♣7,♣5,♦6 | Pair
♠5,♣5,♣7,♣5,♦6 | Three Of A Kind
♠5,♣5,♣7,♣5,♦6 | Pair
♠5,♣5,♣7,♣5,♦6 | Three Of A Kind
♠5,♣5,♦6,♦4,♣5 | Pair
♠5,♣5,♦6,♦4,♣5 | Three Of A Kind
♠5,♣5,♦6,♦4,♣5 | Pair
♠5,♣5,♦6,♦4,♣5 | Three Of A Kind
♠5,♣5,♦6,♦4,♦6 | Pair
♠5,♣5,♦6,♦4,♦6 | Pair
♠5,♣5,♦6,♦4,♦6 | Pair
♠5,♣5,♦6,♦4,♦6 | Pair
♠5,♣5,♦6,♣5,♦6 | Pair
♠5,♣5,♦6,♣5,♦6 | Three Of A Kind
♠5,♣5,♦6,♣5,♦6 | Pair
♠5,♣5,♦6,♣5,♦6 | Pair
♠5,♣5,♦6,♣5,♦6 | Three Of A Kind
♠5,♣5,♦6,♣5,♦6 | Pair
♠5,♣5,♦4,♣5,♦6 | Pair
♠5,♣5,♦4,♣5,♦6 | Three Of A Kind
♠5,♣5,♦4,♣5,♦6 | Pair
♠5,♣5,♦4,♣5,♦6 | Three Of A Kind
♠5,♥10,♦2,♥2,♣8 | Pair
♠5,♥10,♦2,♥2,♣8 | Pair
♠5,♥10,♦2,♥2,♣7 | Pair
♠5,♥10,♦2,♥2,♣7 | Pair
♠5,♥10,♦2,♥2,♦6 | Pair
♠5,♥10,♦2,♥2,♦6 | Pair
♠5,♥10,♦2,♥2,♦4 | Pair
♠5,♥10,♦2,♥2,♦4 | Pair
♠5,♥10,♦2,♥2,♣5 | Pair
♠5,♥10,♦2,♥2,♣5 | Pair
♠5,♥10,♦2,♥2,♣5 | Pair
♠5,♥10,♦2,♥2,♣5 | Pair
♠5,♥10,♦2,♥2,♦6 | Pair
♠5,♥10,♦2,♥2,♦6 | Pair
♠5,♥10,♦2,♣8,♣5 | Pair
♠5,♥10,♦2,♣8,♣5 | Pair
♠5,♥10,♦2,♣7,♣5 | Pair
♠5,♥10,♦2,♣7,♣5 | Pair
♠5,♥10,♦2,♦6,♣5 | Pair
♠5,♥10,♦2,♦6,♣5 | Pair
♠5,♥10,♦2,♦6,♦6 | Pair
♠5,♥10,♦2,♦6,♦6 | Pair
♠5,♥10,♦2,♦4,♣5 | Pair
♠5,♥10,♦2,♦4,♣5 | Pair
♠5,♥10,♦2,♣5,♦6 | Pair
♠5,♥10,♦2,♣5,♦6 | Pair
♠5,♥10,♥2,♣8,♣5 | Pair
♠5,♥10,♥2,♣8,♣5 | Pair
♠5,♥10,♥2,♣7,♣5 | Pair
♠5,♥10,♥2,♣7,♣5 | Pair
♠5,♥10,♥2,♦6,♣5 | Pair
♠5,♥10,♥2,♦6,♣5 | Pair
♠5,♥10,♥2,♦6,♦6 | Pair
♠5,♥10,♥2,♦6,♦6 | Pair
♠5,♥10,♥2,♦4,♣5 | Pair
♠5,♥10,♥2,♦4,♣5 | Pair
♠5,♥10,♥2,♣5,♦6 | Pair
♠5,♥10,♥2,♣5,♦6 | Pair
♠5,♥10,♣8,♣7,♣5 | Pair
♠5,♥10,♣8,♣7,♣5 | Pair
♠5,♥10,♣8,♦6,♣5 | Pair
♠5,♥10,♣8,♦6,♣5 | Pair
♠5,♥10,♣8,♦6,♦6 | Pair
♠5,♥10,♣8,♦6,♦6 | Pair
♠5,♥10,♣8,♦4,♣5 | Pair
♠5,♥10,♣8,♦4,♣5 | Pair
♠5,♥10,♣8,♣5,♦6 | Pair
♠5,♥10,♣8,♣5,♦6 | Pair
♠5,♥10,♣7,♦6,♣5 | Pair
♠5,♥10,♣7,♦6,♣5 | Pair
♠5,♥10,♣7,♦6,♦6 | Pair
♠5,♥10,♣7,♦6,♦6 | Pair
♠5,♥10,♣7,♦4,♣5 | Pair
♠5,♥10,♣7,♦4,♣5 | Pair
♠5,♥10,♣7,♣5,♦6 | Pair
♠5,♥10,♣7,♣5,♦6 | Pair
♠5,♥10,♦6,♦4,♣5 | Pair
♠5,♥10,♦6,♦4,♣5 | Pair
♠5,♥10,♦6,♦4,♦6 | Pair
♠5,♥10,♦6,♦4,♦6 | Pair
♠5,♥10,♦6,♣5,♦6 | Pair
♠5,♥10,♦6,♣5,♦6 | Pair
♠5,♥10,♦6,♣5,♦6 | Pair
♠5,♥10,♦6,♣5,♦6 | Pair
♠5,♥10,♦4,♣5,♦6 | Pair
♠5,♥10,♦4,♣5,♦6 | Pair
♠5,♦2,♥2,♣8,♣7 | Pair
♠5,♦2,♥2,♣8,♣7 | Pair
♠5,♦2,♥2,♣8,♦6 | Pair
♠5,♦2,♥2,♣8,♦6 | Pair
♠5,♦2,♥2,♣8,♦4 | Pair
♠5,♦2,♥2,♣8,♦4 | Pair
♠5,♦2,♥2,♣8,♣5 | Pair
♠5,♦2,♥2,♣8,♣5 | Pair
♠5,♦2,♥2,♣8,♣5 | Pair
♠5,♦2,♥2,♣8,♣5 | Pair
♠5,♦2,♥2,♣8,♦6 | Pair
♠5,♦2,♥2,♣8,♦6 | Pair
♠5,♦2,♥2,♣7,♦6 | Pair
♠5,♦2,♥2,♣7,♦6 | Pair
♠5,♦2,♥2,♣7,♦4 | Pair
♠5,♦2,♥2,♣7,♦4 | Pair
♠5,♦2,♥2,♣7,♣5 | Pair
♠5,♦2,♥2,♣7,♣5 | Pair
♠5,♦2,♥2,♣7,♣5 | Pair
♠5,♦2,♥2,♣7,♣5 | Pair
♠5,♦2,♥2,♣7,♦6 | Pair
♠5,♦2,♥2,♣7,♦6 | Pair
♠5,♦2,♥2,♦6,♦4 | Pair
♠5,♦2,♥2,♦6,♦4 | Pair
♠5,♦2,♥2,♦6,♣5 | Pair
♠5,♦2,♥2,♦6,♣5 | Pair
♠5,♦2,♥2,♦6,♣5 | Pair
♠5,♦2,♥2,♦6,♣5 | Pair
♠5,♦2,♥2,♦6,♦6 | Pair
♠5,♦2,♥2,♦6,♦6 | Pair
♠5,♦2,♥2,♦6,♦6 | Pair
♠5,♦2,♥2,♦6,♦6 | Pair
♠5,♦2,♥2,♦4,♣5 | Pair
♠5,♦2,♥2,♦4,♣5 | Pair
♠5,♦2,♥2,♦4,♣5 | Pair
♠5,♦2,♥2,♦4,♣5 | Pair
♠5,♦2,♥2,♦4,♦6 | Pair
♠5,♦2,♥2,♦4,♦6 | Pair
♠5,♦2,♥2,♣5,♦6 | Pair
♠5,♦2,♥2,♣5,♦6 | Pair
♠5,♦2,♥2,♣5,♦6 | Pair
♠5,♦2,♥2,♣5,♦6 | Pair
♠5,♦2,♣8,♣7,♣5 | Pair
♠5,♦2,♣8,♣7,♣5 | Pair
♠5,♦2,♣8,♦6,♣5 | Pair
♠5,♦2,♣8,♦6,♣5 | Pair
♠5,♦2,♣8,♦6,♦6 | Pair
♠5,♦2,♣8,♦6,♦6 | Pair
♠5,♦2,♣8,♦4,♣5 | Pair
♠5,♦2,♣8,♦4,♣5 | Pair
