♠4,♦J,♣7,♥T,♥7 | Pair
♠4,♣7,♦5,♥7,♠T | Pair
♠4,♣7,♦5,♥7,♣K | Pair
♠4,♣7,♦5,♣T,♠T | Pair
♠4,♣7,♦6,♥8,♥7 | Pair
♠4,♣7,♦6,♦2,♥7 | Pair
♠4,♣7,♦6,♥7,♣T | Pair
♠4,♣7,♦6,♥7,♠T | Pair
♠4,♣7,♦6,♥7,♣K | Pair
♠4,♣7,♦6,♣T,♠T | Pair
♠4,♣7,♥8,♦2,♥7 | Pair
♠4,♣7,♥8,♥7,♣T | Pair
♠4,♣7,♥8,♥7,♠T | Pair
♠4,♣7,♥8,♥7,♣K | Pair
♠4,♣7,♥8,♣T,♠T | Pair
♠4,♣7,♦2,♥7,♣T | Pair
♠4,♣7,♦2,♥7,♠T | Pair
♠4,♣7,♦2,♥7,♣K | Pair
♠4,♣7,♦2,♣T,♠T | Pair
♠4,♣7,♥7,♣T,♠T | Two Pairs
♠4,♣7,♥7,♣T,♣K | Pair
♠4,♣7,♥7,♠T,♣K | Pair
♠4,♣7,♣T,♠T,♣K | Pair
♠4,♥T,♦5,♦6,♣T | Pair
♠4,♥T,♦5,♦6,♠T | Pair
♠4,♥T,♦5,♥8,♣T | Pair
♠4,♥T,♦5,♥8,♠T | Pair
♠4,♥T,♦5,♦2,♣T | Pair
♠4,♥T,♦5,♦2,♠T | Pair
♠4,♥T,♦5,♥7,♣T | Pair
♠4,♥T,♦5,♥7,♠T | Pair
♠4,♥T,♦5,♣T,♠T | Full House
♠4,♥T,♦5,♣T,♣K | Pair
♠4,♥T,♦5,♠T,♣K | Pair
♠4,♥T,♦6,♥8,♣T | Pair
♠4,♥T,♦6,♥8,♠T | Pair
♠4,♥T,♦6,♦2,♣T | Pair
♠4,♥T,♦6,♦2,♠T | Pair
♠4,♥T,♦6,♥7,♣T | Pair
♠4,♥T,♦6,♥7,♠T | Pair
♠4,♥T,♦6,♣T,♠T | Full House
♠4,♥T,♦6,♣T,♣K | Pair
♠4,♥T,♦6,♠T,♣K | Pair
♠4,♥T,♥8,♦2,♣T | Pair
♠4,♥T,♥8,♦2,♠T | Pair
♠4,♥T,♥8,♥7,♣T | Pair
♠4,♥T,♥8,♥7,♠T | Pair
♠4,♥T,♥8,♣T,♠T | Full House
♠4,♥T,♥8,♣T,♣K | Pair
♠4,♥T,♥8,♠T,♣K | Pair
♠4,♥T,♦2,♥7,♣T | Pair
♠4,♥T,♦2,♥7,♠T | Pair
♠4,♥T,♦2,♣T,♠T | Full House
♠4,♥T,♦2,♣T,♣K | Pair
♠4,♥T,♦2,♠T,♣K | Pair
♠4,♥T,♥7,♣T,♠T | Full House
♠4,♥T,♥7,♣T,♣K | Pair
♠4,♥T,♥7,♠T,♣K | Pair
♠4,♥T,♣T,♠T,♣K | Full House
♠4,♦5,♦6,♣T,♠T | Pair
♠4,♦5,♥8,♣T,♠T | Pair
♠4,♦5,♦2,♣T,♠T | Pair
♠4,♦5,♥7,♣T,♠T | Pair
♠4,♦5,♣T,♠T,♣K | Pair
♠4,♦6,♥8,♣T,♠T | Pair
♠4,♦6,♦2,♣T,♠T | Pair
♠4,♦6,♥7,♣T,♠T | Pair
♠4,♦6,♣T,♠T,♣K | Pair
♠4,♥8,♦2,♣T,♠T | Pair
♠4,♥8,♥7,♣T,♠T | Pair
♠4,♥8,♣T,♠T,♣K | Pair
♠4,♦2,♥7,♣T,♠T | Pair
♠4,♦2,♣T,♠T,♣K | Pair
♠4,♥7,♣T,♠T,♣K | Pair
♦J,♣7,♥T,♦5,♥7 | Pair
♦J,♣7,♥T,♦5,♣T | Pair
♦J,♣7,♥T,♦5,♠T | Pair
♦J,♣7,♥T,♦6,♥7 | Pair
♦J,♣7,♥T,♦6,♣T | Pair
♦J,♣7,♥T,♦6,♠T | Pair
♦J,♣7,♥T,♥8,♥7 | Pair
♦J,♣7,♥T,♥8,♣T | Pair
♦J,♣7,♥T,♥8,♠T | Pair
♦J,♣7,♥T,♦2,♥7 | Pair
♦J,♣7,♥T,♦2,♣T | Pair
♦J,♣7,♥T,♦2,♠T | Pair
♦J,♣7,♥T,♥7,♣T | Two Pairs
♦J,♣7,♥T,♥7,♠T | Two Pairs
♦J,♣7,♥T,♥7,♣K | Pair
♦J,♣7,♥T,♣T,♠T | Full House
♦J,♣7,♥T,♣T,♣K | Pair
♦J,♣7,♥T,♠T,♣K | Pair
♦J,♣7,♦5,♦6,♥7 | Pair
♦J,♣7,♦5,♥8,♥7 | Pair
♦J,♣7,♦5,♦2,♥7 | Pair
♦J,♣7,♦5,♥7,♣T | Pair
♦J,♣7,♦5,♥7,♠T | Pair
♦J,♣7,♦5,♥7,♣K | Pair
♦J,♣7,♦5,♣T,♠T | Pair
♦J,♣7,♦6,♥8,♥7 | Pair
♦J,♣7,♦6,♦2,♥7 | Pair
♦J,♣7,♦6,♥7,♣T | Pair
♦J,♣7,♦6,♥7,♠T | Pair
♦J,♣7,♦6,♥7,♣K | Pair
♦J,♣7,♦6,♣T,♠T | Pair
♦J,♣7,♥8,♦2,♥7 | Pair
♦J,♣7,♥8,♥7,♣T | Pair
♦J,♣7,♥8,♥7,♠T | Pair
♦J,♣7,♥8,♥7,♣K | Pair
♦J,♣7,♥8,♣T,♠T | Pair
♦J,♣7,♦2,♥7,♣T | Pair
♦J,♣7,♦2,♥7,♠T | Pair
♦J,♣7,♦2,♥7,♣K | Pair
♦J,♣7,♦2,♣T,♠T | Pair
♦J,♣7,♥7,♣T,♠T | Two Pairs
♦J,♣7,♥7,♣T,♣K | Pair
♦J,♣7,♥7,♠T,♣K | Pair
♦J,♣7,♣T,♠T,♣K | Pair
♦J,♥T,♦5,♦6,♣T | Pair
♦J,♥T,♦5,♦6,♠T | Pair
♦J,♥T,♦5,♥8,♣T | Pair
♦J,♥T,♦5,♥8,♠T | Pair
♦J,♥T,♦5,♦2,♣T | Pair
♦J,♥T,♦5,♦2,♠T | Pair
♦J,♥T,♦5,♥7,♣T | Pair
♦J,♥T,♦5,♥7,♠T | Pair
♦J,♥T,♦5,♣T,♠T | Full House
♦J,♥T,♦5,♣T,♣K | Pair
♦J,♥T,♦5,♠T,♣K | Pair
♦J,♥T,♦6,♥8,♣T | Pair
♦J,♥T,♦6,♥8,♠T | Pair
♦J,♥T,♦6,♦2,♣T | Pair
♦J,♥T,♦6,♦2,♠T | Pair
♦J,♥T,♦6,♥7,♣T | Pair
♦J,♥T,♦6,♥7,♠T | Pair
♦J,♥T,♦6,♣T,♠T | Full House
♦J,♥T,♦6,♣T,♣K | Pair
♦J,♥T,♦6,♠T,♣K | Pair
♦J,♥T,♥8,♦2,♣T | Pair
♦J,♥T,♥8,♦2,♠T | Pair
♦J,♥T,♥8,♥7,♣T | Pair
♦J,♥T,♥8,♥7,♠T | Pair
♦J,♥T,♥8,♣T,♠T | Full House
♦J,♥T,♥8,♣T,♣K | Pair
♦J,♥T,♥8,♠T,♣K | Pair
♦J,♥T,♦2,♥7,♣T | Pair
♦J,♥T,♦2,♥7,♠T | Pair
♦J,♥T,♦2,♣T,♠T | Full House
♦J,♥T,♦2,♣T,♣K | Pair
♦J,♥T,♦2,♠T,♣K | Pair
♦J,♥T,♥7,♣T,♠T | Full House
♦J,♥T,♥7,♣T,♣K | Pair
♦J,♥T,♥7,♠T,♣K | Pair
♦J,♥T,♣T,♠T,♣K | Full House
♦J,♦5,♦6,♣T,♠T | Pair
♦J,♦5,♥8,♣T,♠T | Pair
♦J,♦5,♦2,♣T,♠T | Pair
♦J,♦5,♥7,♣T,♠T | Pair
♦J,♦5,♣T,♠T,♣K | Pair
♦J,♦6,♥8,♣T,♠T | Pair
♦J,♦6,♦2,♣T,♠T | Pair
♦J,♦6,♥7,♣T,♠T | Pair
♦J,♦6,♣T,♠T,♣K | Pair
♦J,♥8,♦2,♣T,♠T | Pair
♦J,♥8,♥7,♣T,♠T | Pair
♦J,♥8,♣T,♠T,♣K | Pair
♦J,♦2,♥7,♣T,♠T | Pair
♦J,♦2,♣T,♠T,♣K | Pair
♦J,♥7,♣T,♠T,♣K | Pair
♣7,♥T,♦5,♦6,♥7 | Pair
♣7,♥T,♦5,♦6,♣T | Pair
♣7,♥T,♦5,♦6,♠T | Pair
♣7,♥T,♦5,♥8,♥7 | Pair
♣7,♥T,♦5,♥8,♣T | Pair
♣7,♥T,♦5,♥8,♠T | Pair
♣7,♥T,♦5,♦2,♥7 | Pair
♣7,♥T,♦5,♦2,♣T | Pair
♣7,♥T,♦5,♦2,♠T | Pair
♣7,♥T,♦5,♥7,♣T | Two Pairs
♣7,♥T,♦5,♥7,♠T | Two Pairs
♣7,♥T,♦5,♥7,♣K | Pair
♣7,♥T,♦5,♣T,♠T | Full House
♣7,♥T,♦5,♣T,♣K | Pair
♣7,♥T,♦5,♠T,♣K | Pair
♣7,♥T,♦6,♥8,♥7 | Pair
♣7,♥T,♦6,♥8,♣T | Pair
♣7,♥T,♦6,♥8,♠T | Pair
♣7,♥T,♦6,♦2,♥7 | Pair
♣7,♥T,♦6,♦2,♣T | Pair
♣7,♥T,♦6,♦2,♠T | Pair
♣7,♥T,♦6,♥7,♣T | Two Pairs
♣7,♥T,♦6,♥7,♠T | Two Pairs
♣7,♥T,♦6,♥7,♣K | Pair
♣7,♥T,♦6,♣T,♠T | Full House
♣7,♥T,♦6,♣T,♣K | Pair
♣7,♥T,♦6,♠T,♣K | Pair
♣7,♥T,♥8,♦2,♥7 | Pair
♣7,♥T,♥8,♦2,♣T | Pair
♣7,♥T,♥8,♦2,♠T | Pair
♣7,♥T,♥8,♥7,♣T | Two Pairs
♣7,♥T,♥8,♥7,♠T | Two Pairs
♣7,♥T,♥8,♥7,♣K | Pair
♣7,♥T,♥8,♣T,♠T | Full House
♣7,♥T,♥8,♣T,♣K | Pair
♣7,♥T,♥8,♠T,♣K | Pair
♣7,♥T,♦2,♥7,♣T | Two Pairs
♣7,♥T,♦2,♥7,♠T | Two Pairs
♣7,♥T,♦2,♥7,♣K | Pair
♣7,♥T,♦2,♣T,♠T | Full House
♣7,♥T,♦2,♣T,♣K | Pair
♣7,♥T,♦2,♠T,♣K | Pair
♣7,♥T,♥7,♣T,♠T | Full House
♣7,♥T,♥7,♣T,♣K | Two Pairs
♣7,♥T,♥7,♠T,♣K | Two Pairs
♣7,♥T,♣T,♠T,♣K | Full House
♣7,♦5,♦6,♥8,♥7 | Pair
♣7,♦5,♦6,♦2,♥7 | Pair
♣7,♦5,♦6,♥7,♣T | Pair
♣7,♦5,♦6,♥7,♠T | Pair
♣7,♦5,♦6,♥7,♣K | Pair
♣7,♦5,♦6,♣T,♠T | Pair
♣7,♦5,♥8,♦2,♥7 | Pair
♣7,♦5,♥8,♥7,♣T | Pair
♣7,♦5,♥8,♥7,♠T | Pair
♣7,♦5,♥8,♥7,♣K | Pair
♣7,♦5,♥8,♣T,♠T | Pair
♣7,♦5,♦2,♥7,♣T | Pair
♣7,♦5,♦2,♥7,♠T | Pair
♣7,♦5,♦2,♥7,♣K | Pair
♣7,♦5,♦2,♣T,♠T | Pair
♣7,♦5,♥7,♣T,♠T | Two Pairs
♣7,♦5,♥7,♣T,♣K | Pair
♣7,♦5,♥7,♠T,♣K | Pair
♣7,♦5,♣T,♠T,♣K | Pair
♣7,♦6,♥8,♦2,♥7 | Pair
♣7,♦6,♥8,♥7,♣T | Pair
♣7,♦6,♥8,♥7,♠T | Pair
♣7,♦6,♥8,♥7,♣K | Pair
♣7,♦6,♥8,♣T,♠T | Pair
♣7,♦6,♦2,♥7,♣T | Pair
♣7,♦6,♦2,♥7,♠T | Pair
♣7,♦6,♦2,♥7,♣K | Pair
♣7,♦6,♦2,♣T,♠T | Pair
♣7,♦6,♥7,♣T,♠T | Two Pairs
♣7,♦6,♥7,♣T,♣K | Pair
♣7,♦6,♥7,♠T,♣K | Pair
♣7,♦6,♣T,♠T,♣K | Pair
♣7,♥8,♦2,♥7,♣T | Pair
♣7,♥8,♦2,♥7,♠T | Pair
♣7,♥8,♦2,♥7,♣K | Pair
♣7,♥8,♦2,♣T,♠T | Pair
♣7,♥8,♥7,♣T,♠T | Two Pairs
♣7,♥8,♥7,♣T,♣K | Pair
♣7,♥8,♥7,♠T,♣K | Pair
♣7,♥8,♣T,♠T,♣K | Pair
♣7,♦2,♥7,♣T,♠T | Two Pairs
♣7,♦2,♥7,♣T,♣K | Pair
♣7,♦2,♥7,♠T,♣K | Pair
♣7,♦2,♣T,♠T,♣K | Pair
♣7,♥7,♣T,♠T,♣K | Two Pairs
♥T,♦5,♦6,♥8,♣T | Pair
♥T,♦5,♦6,♥8,♠T | Pair
♥T,♦5,♦6,♦2,♣T | Pair
♥T,♦5,♦6,♦2,♠T | Pair
♥T,♦5,♦6,♥7,♣T | Pair
♥T,♦5,♦6,♥7,♠T | Pair
♥T,♦5,♦6,♣T,♠T | Full House
♥T,♦5,♦6,♣T,♣K | Pair
♥T,♦5,♦6,♠T,♣K | Pair
♥T,♦5,♥8,♦2,♣T | Pair
♥T,♦5,♥8,♦2,♠T | Pair
♥T,♦5,♥8,♥7,♣T | Pair
♥T,♦5,♥8,♥7,♠T | Pair
♥T,♦5,♥8,♣T,♠T | Full House
♥T,♦5,♥8,♣T,♣K | Pair
♥T,♦5,♥8,♠T,♣K | Pair
♥T,♦5,♦2,♥7,♣T | Pair
♥T,♦5,♦2,♥7,♠T | Pair
♥T,♦5,♦2,♣T,♠T | Full House
♥T,♦5,♦2,♣T,♣K | Pair
♥T,♦5,♦2,♠T,♣K | Pair
♥T,♦5,♥7,♣T,♠T | Full House
♥T,♦5,♥7,♣T,♣K | Pair
♥T,♦5,♥7,♠T,♣K | Pair
♥T,♦5,♣T,♠T,♣K | Full House
♥T,♦6,♥8,♦2,♣T | Pair
♥T,♦6,♥8,♦2,♠T | Pair
♥T,♦6,♥8,♥7,♣T | Pair
♥T,♦6,♥8,♥7,♠T | Pair
♥T,♦6,♥8,♣T,♠T | Full House
♥T,♦6,♥8,♣T,♣K | Pair
♥T,♦6,♥8,♠T,♣K | Pair
♥T,♦6,♦2,♥7,♣T | Pair
♥T,♦6,♦2,♥7,♠T | Pair
♥T,♦6,♦2,♣T,♠T | Full House
♥T,♦6,♦2,♣T,♣K | Pair
♥T,♦6,♦2,♠T,♣K | Pair
♥T,♦6,♥7,♣T,♠T | Full House
♥T,♦6,♥7,♣T,♣K | Pair
♥T,♦6,♥7,♠T,♣K | Pair
♥T,♦6,♣T,♠T,♣K | Full House
♥T,♥8,♦2,♥7,♣T | Pair
♥T,♥8,♦2,♥7,♠T | Pair
♥T,♥8,♦2,♣T,♠T | Full House
♥T,♥8,♦2,♣T,♣K | Pair
♥T,♥8,♦2,♠T,♣K | Pair
♥T,♥8,♥7,♣T,♠T | Full House
♥T,♥8,♥7,♣T,♣K | Pair
♥T,♥8,♥7,♠T,♣K | Pair
♥T,♥8,♣T,♠T,♣K | Full House
♥T,♦2,♥7,♣T,♠T | Full House
♥T,♦2,♥7,♣T,♣K | Pair
♥T,♦2,♥7,♠T,♣K | Pair
♥T,♦2,♣T,♠T,♣K | Full House
♥T,♥7,♣T,♠T,♣K | Full House
♦5,♦6,♥8,♣T,♠T | Pair
♦5,♦6,♦2,♣T,♠T | Pair
♦5,♦6,♥7,♣T,♠T | Pair
♦5,♦6,♣T,♠T,♣K | Pair
♦5,♥8,♦2,♣T,♠T | Pair
♦5,♥8,♥7,♣T,♠T | Pair
♦5,♥8,♣T,♠T,♣K | Pair
♦5,♦2,♥7,♣T,♠T | Pair
♦5,♦2,♣T,♠T,♣K | Pair
♦5,♥7,♣T,♠T,♣K | Pair
♦6,♥8,♦2,♣T,♠T | Pair
♦6,♥8,♥7,♣T,♠T | Pair
♦6,♥8,♣T,♠T,♣K | Pair
♦6,♦2,♥7,♣T,♠T | Pair
♦6,♦2,♣T,♠T,♣K | Pair
♦6,♥7,♣T,♠T,♣K | Pair
♥8,♦2,♥7,♣T,♠T | Pair
♥8,♦2,♣T,♠T,♣K | Pair
♥8,♥7,♣T,♠T,♣K | Pair
♦2,♥7,♣T,♠T,♣K | Pair
