♠3,♦7,♥5,♠J,♠Q | Pair
♠3,♦7,♠J,♠8,♥Q | Pair
♠3,♦7,♠J,♣2,♦3 | Pair
♠3,♦7,♠J,♣2,♠J | Pair
♠3,♦7,♠J,♣2,♥Q | Pair
♠3,♦7,♠J,♦3,♠J | Pair
♠3,♦7,♠J,♦3,♠J | Pair
♠3,♦7,♠J,♦3,♥Q | Pair
♠3,♦7,♠J,♦3,♥Q | Pair
♠3,♦7,♠J,♦3,♦10 | Pair
♠3,♦7,♠J,♠J,♥Q | Pair
♠3,♦7,♠J,♠J,♥Q | Three Of A Kind
♠3,♦7,♠J,♠J,♦10 | Pair
♠3,♦7,♠J,♥Q,♦10 | Pair
♠3,♦7,♠10,♠Q,♦A | Pair
♠3,♦7,♠10,♠Q,♦3 | Pair
♠3,♦7,♠10,♠Q,♠J | Pair
♠3,♦7,♠10,♠Q,♥Q | Pair
♠3,♦7,♠10,♠Q,♦10 | Pair
♠3,♦7,♠10,♣2,♣2 | Pair
♠3,♦7,♠10,♣2,♦3 | Pair
♠3,♦7,♠10,♣2,♦10 | Pair
♠3,♦7,♠10,♦A,♦3 | Pair
♠3,♦7,♠10,♦A,♠J | Pair
♠3,♦7,♠10,♦A,♥Q | Pair
♠3,♦7,♠10,♦A,♦10 | Pair
♠3,♦7,♠10,♣5,♦3 | Pair
♠3,♦7,♠10,♣5,♦10 | Pair
♠3,♦7,♠10,♠8,♦3 | Pair
♠3,♦7,♠10,♠8,♦10 | Pair
♠3,♦7,♠10,♣2,♦3 | Pair
♠3,♦7,♠10,♣2,♦10 | Pair
♠3,♦7,♠10,♦3,♠J | Pair
♠3,♦7,♠10,♦3,♥Q | Pair
♠3,♦7,♠10,♦3,♦10 | Pair
♠3,♦7,♠10,♦3,♦10 | Pair
♠3,♦7,♠10,♠J,♥Q | Pair
♠3,♦7,♠10,♠J,♦10 | Pair
♠3,♦7,♠10,♥Q,♦10 | Pair
♠3,♦7,♠Q,♣2,♦A | Pair
♠3,♦7,♠Q,♣2,♣2 | Pair
♠3,♦7,♠Q,♣2,♦3 | Pair
♠3,♦7,♠Q,♣2,♠J | Pair
♠3,♦7,♠Q,♣2,♥Q | Pair
♠3,♦7,♠Q,♦A,♣5 | Pair
♠3,♦7,♠Q,♦A,♠8 | Pair
♠3,♦7,♠Q,♦A,♣2 | Pair
♠3,♦7,♠Q,♦A,♦3 | Pair
♠3,♦7,♠Q,♦A,♦3 | Pair
♠3,♦7,♠Q,♦A,♠J | Pair
♠3,♦7,♠Q,♦A,♠J | Three Of A Kind
♠3,♦7,♠Q,♦A,♥Q | Pair
♠3,♦7,♠Q,♦A,♥Q | Three Of A Kind
♠3,♦7,♠Q,♦A,♦10 | Pair
♠3,♦7,♠Q,♣5,♦3 | Pair
♠3,♦7,♠Q,♣5,♠J | Pair
♠3,♦7,♠Q,♣5,♥Q | Pair
♠3,♦7,♠Q,♠8,♦3 | Pair
♠3,♦7,♠Q,♠8,♠J | Pair
♠3,♦7,♠Q,♠8,♥Q | Pair
♠3,♦7,♠Q,♣2,♦3 | Pair
♠3,♦7,♠Q,♣2,♠J | Pair
♠3,♦7,♠Q,♣2,♥Q | Pair
♠3,♦7,♠Q,♦3,♠J | Pair
♠3,♦7,♠Q,♦3,♠J | Pair
♠3,♦7,♠Q,♦3,♥Q | Pair
♠3,♦7,♠Q,♦3,♥Q | Pair
♠3,♦7,♠Q,♦3,♦10 | Pair
♠3,♦7,♠Q,♠J,♥Q | Pair
♠3,♦7,♠Q,♠J,♥Q | Three Of A Kind
♠3,♦7,♠Q,♠J,♦10 | Pair
♠3,♦7,♠Q,♥Q,♦10 | Pair
♠3,♦7,♣2,♦A,♣2 | Pair
♠3,♦7,♣2,♦A,♦3 | Pair
♠3,♦7,♣2,♦A,♠J | Pair
♠3,♦7,♣2,♦A,♥Q | Pair
♠3,♦7,♣2,♣5,♣2 | Pair
♠3,♦7,♣2,♣5,♦3 | Pair
♠3,♦7,♣2,♠8,♣2 | Pair
♠3,♦7,♣2,♠8,♦3 | Pair
♠3,♦7,♣2,♣2,♦3 | Pair
♠3,♦7,♣2,♣2,♦3 | Pair
♠3,♦7,♣2,♣2,♠J | Pair
♠3,♦7,♣2,♣2,♥Q | Pair
♠3,♦7,♣2,♣2,♦10 | Pair
♠3,♦7,♣2,♦3,♠J | Pair
♠3,♦7,♣2,♦3,♥Q | Pair
♠3,♦7,♣2,♦3,♦10 | Pair
♠3,♦7,♣2,♠J,♥Q | Pair
♠3,♦7,♦A,♣5,♦3 | Pair
♠3,♦7,♦A,♣5,♠J | Pair
♠3,♦7,♦A,♣5,♥Q | Pair
♠3,♦7,♦A,♠8,♦3 | Pair
♠3,♦7,♦A,♠8,♠J | Pair
♠3,♦7,♦A,♠8,♥Q | Pair
♠3,♦7,♦A,♣2,♦3 | Pair
♠3,♦7,♦A,♣2,♠J | Pair
♠3,♦7,♦A,♣2,♥Q | Pair
♠3,♦7,♦A,♦3,♠J | Pair
♠3,♦7,♦A,♦3,♠J | Pair
♠3,♦7,♦A,♦3,♥Q | Pair
♠3,♦7,♦A,♦3,♥Q | Pair
♠3,♦7,♦A,♦3,♦10 | Pair
♠3,♦7,♦A,♠J,♥Q | Pair
♠3,♦7,♦A,♠J,♥Q | Three Of A Kind
♠3,♦7,♦A,♠J,♦10 | Pair
♠3,♦7,♦A,♥Q,♦10 | Pair
♠3,♦7,♣5,♠8,♦3 | Pair
♠3,♦7,♣5,♣2,♦3 | Pair
♠3,♦7,♣5,♦3,♠J | Pair
♠3,♦7,♣5,♦3,♥Q | Pair
♠3,♦7,♣5,♦3,♦10 | Pair
♠3,♦7,♣5,♠J,♥Q | Pair
♠3,♦7,♠8,♣2,♦3 | Pair
♠3,♦7,♠8,♦3,♠J | Pair
♠3,♦7,♠8,♦3,♥Q | Pair
♠3,♦7,♠8,♦3,♦10 | Pair
♠3,♦7,♠8,♠J,♥Q | Pair
♠3,♦7,♣2,♦3,♠J | Pair
♠3,♦7,♣2,♦3,♥Q | Pair
♠3,♦7,♣2,♦3,♦10 | Pair
♠3,♦7,♣2,♠J,♥Q | Pair
♠3,♦7,♦3,♠J,♥Q | Pair
♠3,♦7,♦3,♠J,♥Q | Pair
♠3,♦7,♦3,♠J,♦10 | Pair
♠3,♦7,♦3,♥Q,♦10 | Pair
♠3,♦7,♠J,♥Q,♦10 | Pair
♠3,♥5,♠J,♠10,♠Q | Pair
♠3,♥5,♠J,♠10,♦A | Pair
♠3,♥5,♠J,♠10,♣5 | Pair
♠3,♥5,♠J,♠10,♦3 | Pair
♠3,♥5,♠J,♠10,♠J | Pair
♠3,♥5,♠J,♠10,♥Q | Pair
♠3,♥5,♠J,♠10,♦10 | Pair
♠3,♥5,♠J,♠Q,♣2 | Pair
♠3,♥5,♠J,♠Q,♦A | Pair
♠3,♥5,♠J,♠Q,♦A | Three Of A Kind
♠3,♥5,♠J,♠Q,♣5 | Pair
♠3,♥5,♠J,♠Q,♣5 | Pair
♠3,♥5,♠J,♠Q,♠8 | Pair
♠3,♥5,♠J,♠Q,♣2 | Pair
♠3,♥5,♠J,♠Q,♦3 | Pair
♠3,♥5,♠J,♠Q,♦3 | Pair
♠3,♥5,♠J,♠Q,♠J | Pair
♠3,♥5,♠J,♠Q,♠J | Three Of A Kind
♠3,♥5,♠J,♠Q,♥Q | Pair
♠3,♥5,♠J,♠Q,♥Q | Three Of A Kind
♠3,♥5,♠J,♠Q,♦10 | Pair
♠3,♥5,♠J,♣2,♦A | Pair
♠3,♥5,♠J,♣2,♣5 | Pair
♠3,♥5,♠J,♣2,♣2 | Pair
♠3,♥5,♠J,♣2,♦3 | Pair
♠3,♥5,♠J,♣2,♠J | Pair
♠3,♥5,♠J,♣2,♥Q | Pair
♠3,♥5,♠J,♦A,♣5 | Pair
♠3,♥5,♠J,♦A,♣5 | Pair
♠3,♥5,♠J,♦A,♠8 | Pair
♠3,♥5,♠J,♦A,♣2 | Pair
♠3,♥5,♠J,♦A,♦3 | Pair
♠3,♥5,♠J,♦A,♦3 | Pair
♠3,♥5,♠J,♦A,♠J | Pair
♠3,♥5,♠J,♦A,♠J | Three Of A Kind
♠3,♥5,♠J,♦A,♥Q | Pair
♠3,♥5,♠J,♦A,♥Q | Three Of A Kind
♠3,♥5,♠J,♦A,♦10 | Pair
♠3,♥5,♠J,♣5,♠8 | Pair
♠3,♥5,♠J,♣5,♣2 | Pair
♠3,♥5,♠J,♣5,♦3 | Pair
♠3,♥5,♠J,♣5,♦3 | Pair
♠3,♥5,♠J,♣5,♠J | Pair
♠3,♥5,♠J,♣5,♠J | Pair
♠3,♥5,♠J,♣5,♥Q | Pair
♠3,♥5,♠J,♣5,♥Q | Pair
♠3,♥5,♠J,♣5,♦10 | Pair
♠3,♥5,♠J,♠8,♦3 | Pair
♠3,♥5,♠J,♠8,♠J | Pair
♠3,♥5,♠J,♠8,♥Q | Pair
♠3,♥5,♠J,♣2,♦3 | Pair
♠3,♥5,♠J,♣2,♠J | Pair
♠3,♥5,♠J,♣2,♥Q | Pair
♠3,♥5,♠J,♦3,♠J | Pair
♠3,♥5,♠J,♦3,♠J | Pair
♠3,♥5,♠J,♦3,♥Q | Pair
♠3,♥5,♠J,♦3,♥Q | Pair
♠3,♥5,♠J,♦3,♦10 | Pair
♠3,♥5,♠J,♠J,♥Q | Pair
♠3,♥5,♠J,♠J,♥Q | Three Of A Kind
♠3,♥5,♠J,♠J,♦10 | Pair
♠3,♥5,♠J,♥Q,♦10 | Pair
♠3,♥5,♠10,♠Q,♦A | Pair
♠3,♥5,♠10,♠Q,♣5 | Pair
♠3,♥5,♠10,♠Q,♦3 | Pair
♠3,♥5,♠10,♠Q,♠J | Pair
♠3,♥5,♠10,♠Q,♥Q | Pair
♠3,♥5,♠10,♠Q,♦10 | Pair
♠3,♥5,♠10,♣2,♣5 | Pair
♠3,♥5,♠10,♣2,♣2 | Pair
♠3,♥5,♠10,♣2,♦3 | Pair
♠3,♥5,♠10,♣2,♦10 | Pair
♠3,♥5,♠10,♦A,♣5 | Pair
♠3,♥5,♠10,♦A,♦3 | Pair
♠3,♥5,♠10,♦A,♠J | Pair
♠3,♥5,♠10,♦A,♥Q | Pair
♠3,♥5,♠10,♦A,♦10 | Pair
♠3,♥5,♠10,♣5,♠8 | Pair
♠3,♥5,♠10,♣5,♣2 | Pair
♠3,♥5,♠10,♣5,♦3 | Pair
♠3,♥5,♠10,♣5,♦3 | Pair
♠3,♥5,♠10,♣5,♠J | Pair
♠3,♥5,♠10,♣5,♥Q | Pair
♠3,♥5,♠10,♣5,♦10 | Pair
♠3,♥5,♠10,♣5,♦10 | Pair
♠3,♥5,♠10,♠8,♦3 | Pair
♠3,♥5,♠10,♠8,♦10 | Pair
♠3,♥5,♠10,♣2,♦3 | Pair
♠3,♥5,♠10,♣2,♦10 | Pair
♠3,♥5,♠10,♦3,♠J | Pair
♠3,♥5,♠10,♦3,♥Q | Pair
♠3,♥5,♠10,♦3,♦10 | Pair
♠3,♥5,♠10,♦3,♦10 | Pair
♠3,♥5,♠10,♠J,♥Q | Pair
♠3,♥5,♠10,♠J,♦10 | Pair
♠3,♥5,♠10,♥Q,♦10 | Pair
♠3,♥5,♠Q,♣2,♦A | Pair
♠3,♥5,♠Q,♣2,♣5 | Pair
♠3,♥5,♠Q,♣2,♣2 | Pair
♠3,♥5,♠Q,♣2,♦3 | Pair
♠3,♥5,♠Q,♣2,♠J | Pair
♠3,♥5,♠Q,♣2,♥Q | Pair
♠3,♥5,♠Q,♦A,♣5 | Pair
♠3,♥5,♠Q,♦A,♣5 | Pair
♠3,♥5,♠Q,♦A,♠8 | Pair
♠3,♥5,♠Q,♦A,♣2 | Pair
♠3,♥5,♠Q,♦A,♦3 | Pair
♠3,♥5,♠Q,♦A,♦3 | Pair
♠3,♥5,♠Q,♦A,♠J | Pair
♠3,♥5,♠Q,♦A,♠J | Three Of A Kind
♠3,♥5,♠Q,♦A,♥Q | Pair
♠3,♥5,♠Q,♦A,♥Q | Three Of A Kind
♠3,♥5,♠Q,♦A,♦10 | Pair
♠3,♥5,♠Q,♣5,♠8 | Pair
♠3,♥5,♠Q,♣5,♣2 | Pair
♠3,♥5,♠Q,♣5,♦3 | Pair
♠3,♥5,♠Q,♣5,♦3 | Pair
♠3,♥5,♠Q,♣5,♠J | Pair
♠3,♥5,♠Q,♣5,♠J | Pair
♠3,♥5,♠Q,♣5,♥Q | Pair
♠3,♥5,♠Q,♣5,♥Q | Pair
♠3,♥5,♠Q,♣5,♦10 | Pair
♠3,♥5,♠Q,♠8,♦3 | Pair
♠3,♥5,♠Q,♠8,♠J | Pair
♠3,♥5,♠Q,♠8,♥Q | Pair
♠3,♥5,♠Q,♣2,♦3 | Pair
♠3,♥5,♠Q,♣2,♠J | Pair
♠3,♥5,♠Q,♣2,♥Q | Pair
♠3,♥5,♠Q,♦3,♠J | Pair
♠3,♥5,♠Q,♦3,♠J | Pair
♠3,♥5,♠Q,♦3,♥Q | Pair
♠3,♥5,♠Q,♦3,♥Q | Pair
♠3,♥5,♠Q,♦3,♦10 | Pair
♠3,♥5,♠Q,♠J,♥Q | Pair
♠3,♥5,♠Q,♠J,♥Q | Three Of A Kind
♠3,♥5,♠Q,♠J,♦10 | Pair
♠3,♥5,♠Q,♥Q,♦10 | Pair
♠3,♥5,♣2,♦A,♣5 | Pair
♠3,♥5,♣2,♦A,♣2 | Pair
♠3,♥5,♣2,♦A,♦3 | Pair
♠3,♥5,♣2,♦A,♠J | Pair
♠3,♥5,♣2,♦A,♥Q | Pair
♠3,♥5,♣2,♣5,♠8 | Pair
♠3,♥5,♣2,♣5,♣2 | Pair
♠3,♥5,♣2,♣5,♣2 | Pair
♠3,♥5,♣2,♣5,♦3 | Pair
♠3,♥5,♣2,♣5,♦3 | Pair
♠3,♥5,♣2,♣5,♠J | Pair
♠3,♥5,♣2,♣5,♥Q | Pair
♠3,♥5,♣2,♣5,♦10 | Pair
♠3,♥5,♣2,♠8,♣2 | Pair
♠3,♥5,♣2,♠8,♦3 | Pair
♠3,♥5,♣2,♣2,♦3 | Pair
♠3,♥5,♣2,♣2,♦3 | Pair
♠3,♥5,♣2,♣2,♠J | Pair
♠3,♥5,♣2,♣2,♥Q | Pair
♠3,♥5,♣2,♣2,♦10 | Pair
♠3,♥5,♣2,♦3,♠J | Pair
♠3,♥5,♣2,♦3,♥Q | Pair
♠3,♥5,♣2,♦3,♦10 | Pair
♠3,♥5,♣2,♠J,♥Q | Pair
♠3,♥5,♦A,♣5,♠8 | Pair
♠3,♥5,♦A,♣5,♣2 | Pair
♠3,♥5,♦A,♣5,♦3 | Pair
♠3,♥5,♦A,♣5,♦3 | Pair
♠3,♥5,♦A,♣5,♠J | Pair
♠3,♥5,♦A,♣5,♠J | Pair
♠3,♥5,♦A,♣5,♥Q | Pair
♠3,♥5,♦A,♣5,♥Q | Pair
♠3,♥5,♦A,♣5,♦10 | Pair
♠3,♥5,♦A,♠8,♦3 | Pair
♠3,♥5,♦A,♠8,♠J | Pair
♠3,♥5,♦A,♠8,♥Q | Pair
♠3,♥5,♦A,♣2,♦3 | Pair
♠3,♥5,♦A,♣2,♠J | Pair
♠3,♥5,♦A,♣2,♥Q | Pair
♠3,♥5,♦A,♦3,♠J | Pair
♠3,♥5,♦A,♦3,♠J | Pair
♠3,♥5,♦A,♦3,♥Q | Pair
♠3,♥5,♦A,♦3,♥Q | Pair
♠3,♥5,♦A,♦3,♦10 | Pair
♠3,♥5,♦A,♠J,♥Q | Pair
♠3,♥5,♦A,♠J,♥Q | Three Of A Kind
♠3,♥5,♦A,♠J,♦10 | Pair
♠3,♥5,♦A,♥Q,♦10 | Pair
♠3,♥5,♣5,♠8,♣2 | Pair
♠3,♥5,♣5,♠8,♦3 | Pair
♠3,♥5,♣5,♠8,♦3 | Pair
♠3,♥5,♣5,♠8,♠J | Pair
♠3,♥5,♣5,♠8,♥Q | Pair
♠3,♥5,♣5,♠8,♦10 | Pair
♠3,♥5,♣5,♣2,♦3 | Pair
♠3,♥5,♣5,♣2,♦3 | Pair
♠3,♥5,♣5,♣2,♠J | Pair
♠3,♥5,♣5,♣2,♥Q | Pair
♠3,♥5,♣5,♣2,♦10 | Pair
♠3,♥5,♣5,♦3,♠J | Pair
♠3,♥5,♣5,♦3,♠J | Pair
♠3,♥5,♣5,♦3,♥Q | Pair
♠3,♥5,♣5,♦3,♥Q | Pair
♠3,♥5,♣5,♦3,♦10 | Pair
♠3,♥5,♣5,♦3,♦10 | Pair
♠3,♥5,♣5,♠J,♥Q | Pair
♠3,♥5,♣5,♠J,♥Q | Pair
♠3,♥5,♣5,♠J,♦10 | Pair
♠3,♥5,♣5,♥Q,♦10 | Pair
♠3,♥5,♠8,♣2,♦3 | Pair
♠3,♥5,♠8,♦3,♠J | Pair
♠3,♥5,♠8,♦3,♥Q | Pair
♠3,♥5,♠8,♦3,♦10 | Pair
♠3,♥5,♠8,♠J,♥Q | Pair
♠3,♥5,♣2,♦3,♠J | Pair
♠3,♥5,♣2,♦3,♥Q | Pair
♠3,♥5,♣2,♦3,♦10 | Pair
♠3,♥5,♣2,♠J,♥Q | Pair
♠3,♥5,♦3,♠J,♥Q | Pair
♠3,♥5,♦3,♠J,♥Q | Pair
♠3,♥5,♦3,♠J,♦10 | Pair
♠3,♥5,♦3,♥Q,♦10 | Pair
♠3,♥5,♠J,♥Q,♦10 | Pair
♠3,♠J,♠10,♠Q,♣2 | Pair
♠3,♠J,♠10,♠Q,♦A | Pair
♠3,♠J,♠10,♠Q,♦A | Three Of A Kind
♠3,♠J,♠10,♠Q,♣5 | Pair
♠3,♠J,♠10,♠Q,♠8 | Pair
♠3,♠J,♠10,♠Q,♣2 | Pair
♠3,♠J,♠10,♠Q,♦3 | Pair
♠3,♠J,♠10,♠Q,♦3 | Pair
♠3,♠J,♠10,♠Q,♠J | Pair
♠3,♠J,♠10,♠Q,♠J | Three Of A Kind
♠3,♠J,♠10,♠Q,♥Q | Pair
♠3,♠J,♠10,♠Q,♥Q | Three Of A Kind
♠3,♠J,♠10,♠Q,♦10 | Pair
♠3,♠J,♠10,♠Q,♦10 | Pair
♠3,♠J,♠10,♣2,♦A | Pair
♠3,♠J,♠10,♣2,♣2 | Pair
♠3,♠J,♠10,♣2,♦3 | Pair
♠3,♠J,♠10,♣2,♠J | Pair
♠3,♠J,♠10,♣2,♥Q | Pair
♠3,♠J,♠10,♣2,♦10 | Pair
♠3,♠J,♠10,♦A,♣5 | Pair
♠3,♠J,♠10,♦A,♠8 | Pair
♠3,♠J,♠10,♦A,♣2 | Pair
♠3,♠J,♠10,♦A,♦3 | Pair
♠3,♠J,♠10,♦A,♦3 | Pair
♠3,♠J,♠10,♦A,♠J | Pair
♠3,♠J,♠10,♦A,♠J | Three Of A Kind
♠3,♠J,♠10,♦A,♥Q | Pair
♠3,♠J,♠10,♦A,♥Q | Three Of A Kind
♠3,♠J,♠10,♦A,♦10 | Pair
♠3,♠J,♠10,♦A,♦10 | Pair
♠3,♠J,♠10,♣5,♦3 | Pair
♠3,♠J,♠10,♣5,♠J | Pair
♠3,♠J,♠10,♣5,♥Q | Pair
♠3,♠J,♠10,♣5,♦10 | Pair
♠3,♠J,♠10,♠8,♦3 | Pair
♠3,♠J,♠10,♠8,♠J | Pair
♠3,♠J,♠10,♠8,♥Q | Pair
♠3,♠J,♠10,♠8,♦10 | Pair
♠3,♠J,♠10,♣2,♦3 | Pair
♠3,♠J,♠10,♣2,♠J | Pair
♠3,♠J,♠10,♣2,♥Q | Pair
♠3,♠J,♠10,♣2,♦10 | Pair
♠3,♠J,♠10,♦3,♠J | Pair
♠3,♠J,♠10,♦3,♠J | Pair
♠3,♠J,♠10,♦3,♥Q | Pair
♠3,♠J,♠10,♦3,♥Q | Pair
♠3,♠J,♠10,♦3,♦10 | Pair
♠3,♠J,♠10,♦3,♦10 | Pair
♠3,♠J,♠10,♠J,♥Q | Pair
♠3,♠J,♠10,♠J,♥Q | Three Of A Kind
♠3,♠J,♠10,♠J,♦10 | Pair
♠3,♠J,♠10,♠J,♦10 | Pair
♠3,♠J,♠10,♥Q,♦10 | Pair
♠3,♠J,♠10,♥Q,♦10 | Pair
♠3,♠J,♠Q,♣2,♦A | Pair
♠3,♠J,♠Q,♣2,♦A | Three Of A Kind
♠3,♠J,♠Q,♣2,♣5 | Pair
♠3,♠J,♠Q,♣2,♠8 | Pair
♠3,♠J,♠Q,♣2,♣2 | Pair
♠3,♠J,♠Q,♣2,♣2 | Pair
♠3,♠J,♠Q,♣2,♦3 | Pair
♠3,♠J,♠Q,♣2,♦3 | Pair
♠3,♠J,♠Q,♣2,♠J | Pair
♠3,♠J,♠Q,♣2,♠J | Three Of A Kind
♠3,♠J,♠Q,♣2,♥Q | Pair
♠3,♠J,♠Q,♣2,♥Q | Three Of A Kind
♠3,♠J,♠Q,♣2,♦10 | Pair
♠3,♠J,♠Q,♦A,♣5 | Pair
♠3,♠J,♠Q,♦A,♣5 | Three Of A Kind
♠3,♠J,♠Q,♦A,♠8 | Pair
♠3,♠J,♠Q,♦A,♠8 | Three Of A Kind
♠3,♠J,♠Q,♦A,♣2 | Pair
♠3,♠J,♠Q,♦A,♣2 | Three Of A Kind
♠3,♠J,♠Q,♦A,♦3 | Pair
♠3,♠J,♠Q,♦A,♦3 | Pair
♠3,♠J,♠Q,♦A,♦3 | Three Of A Kind
♠3,♠J,♠Q,♦A,♠J | Pair
♠3,♠J,♠Q,♦A,♠J | Three Of A Kind
♠3,♠J,♠Q,♦A,♠J | Four Of A Kind
♠3,♠J,♠Q,♦A,♥Q | Pair
♠3,♠J,♠Q,♦A,♥Q | Three Of A Kind
♠3,♠J,♠Q,♦A,♥Q | Four Of A Kind
♠3,♠J,♠Q,♦A,♦10 | Pair
♠3,♠J,♠Q,♦A,♦10 | Three Of A Kind
♠3,♠J,♠Q,♣5,♠8 | Pair
♠3,♠J,♠Q,♣5,♣2 | Pair
♠3,♠J,♠Q,♣5,♦3 | Pair
♠3,♠J,♠Q,♣5,♦3 | Pair
♠3,♠J,♠Q,♣5,♠J | Pair
♠3,♠J,♠Q,♣5,♠J | Three Of A Kind
♠3,♠J,♠Q,♣5,♥Q | Pair
♠3,♠J,♠Q,♣5,♥Q | Three Of A Kind
♠3,♠J,♠Q,♣5,♦10 | Pair
♠3,♠J,♠Q,♠8,♣2 | Pair
♠3,♠J,♠Q,♠8,♦3 | Pair
♠3,♠J,♠Q,♠8,♦3 | Pair
♠3,♠J,♠Q,♠8,♠J | Pair
♠3,♠J,♠Q,♠8,♠J | Three Of A Kind
♠3,♠J,♠Q,♠8,♥Q | Pair
♠3,♠J,♠Q,♠8,♥Q | Three Of A Kind
♠3,♠J,♠Q,♠8,♦10 | Pair
♠3,♠J,♠Q,♣2,♦3 | Pair
♠3,♠J,♠Q,♣2,♦3 | Pair
♠3,♠J,♠Q,♣2,♠J | Pair
♠3,♠J,♠Q,♣2,♠J | Three Of A Kind
♠3,♠J,♠Q,♣2,♥Q | Pair
♠3,♠J,♠Q,♣2,♥Q | Three Of A Kind
♠3,♠J,♠Q,♣2,♦10 | Pair
♠3,♠J,♠Q,♦3,♠J | Pair
♠3,♠J,♠Q,♦3,♠J | Pair
♠3,♠J,♠Q,♦3,♠J | Three Of A Kind
♠3,♠J,♠Q,♦3,♥Q | Pair
♠3,♠J,♠Q,♦3,♥Q | Pair
♠3,♠J,♠Q,♦3,♥Q | Three Of A Kind
♠3,♠J,♠Q,♦3,♦10 | Pair
♠3,♠J,♠Q,♦3,♦10 | Pair
♠3,♠J,♠Q,♠J,♥Q | Pair
♠3,♠J,♠Q,♠J,♥Q | Three Of A Kind
♠3,♠J,♠Q,♠J,♥Q | Four Of A Kind
♠3,♠J,♠Q,♠J,♦10 | Pair
♠3,♠J,♠Q,♠J,♦10 | Three Of A Kind
♠3,♠J,♠Q,♥Q,♦10 | Pair
♠3,♠J,♠Q,♥Q,♦10 | Three Of A Kind
♠3,♠J,♣2,♦A,♣5 | Pair
♠3,♠J,♣2,♦A,♠8 | Pair
