♣9,♥6,♥3,♠J,♦3 | Pair
♥6,♣T,♦3,♠3,♥A | Pair
♥3,♠J,♦5,♦7,♦3 | Pair
♥3,♠J,♦5,♦7,♠3 | Pair
♥3,♠J,♦5,♣T,♦3 | Pair
♥3,♠J,♦5,♣T,♠3 | Pair
♥3,♠J,♦5,♦3,♠3 | Full House
♥3,♠J,♦5,♦3,♥A | Pair
♥3,♠J,♦5,♠3,♥A | Pair
♥3,♠J,♦7,♣T,♦3 | Pair
♥3,♠J,♦7,♣T,♠3 | Pair
♥3,♠J,♦7,♦3,♠3 | Full House
♥3,♠J,♦7,♦3,♥A | Pair
♥3,♠J,♦7,♠3,♥A | Pair
♥3,♠J,♣T,♦3,♠3 | Full House
♥3,♠J,♣T,♦3,♥A | Pair
♥3,♠J,♣T,♠3,♥A | Pair
♥3,♠J,♦3,♠3,♥A | Full House
♥3,♦5,♦7,♣T,♦3 | Pair
♥3,♦5,♦7,♣T,♠3 | Pair
♥3,♦5,♦7,♦3,♠3 | Full House
♥3,♦5,♦7,♦3,♥A | Pair
♥3,♦5,♦7,♠3,♥A | Pair
♥3,♦5,♣T,♦3,♠3 | Full House
♥3,♦5,♣T,♦3,♥A | Pair
♥3,♦5,♣T,♠3,♥A | Pair
♥3,♦5,♦3,♠3,♥A | Full House
♥3,♦7,♣T,♦3,♠3 | Full House
♥3,♦7,♣T,♦3,♥A | Pair
♥3,♦7,♣T,♠3,♥A | Pair
♥3,♦7,♦3,♠3,♥A | Full House
♥3,♣T,♦3,♠3,♥A | Full House
♠J,♦5,♦7,♦3,♠3 | Pair
♠J,♦5,♣T,♦3,♠3 | Pair
♠J,♦5,♦3,♠3,♥A | Pair
♠J,♦7,♣T,♦3,♠3 | Pair
♠J,♦7,♦3,♠3,♥A | Pair
♠J,♣T,♦3,♠3,♥A | Pair
♦5,♦7,♣T,♦3,♠3 | Pair
♦5,♦7,♦3,♠3,♥A | Pair
♦5,♣T,♦3,♠3,♥A | Pair
♦7,♣T,♦3,♠3,♥A | Pair
