♠Q,♠2,♥2,♣K,♣8 | Pair
♠Q,♠2,♥2,♠6,♥5 | Pair
♠Q,♠2,♥2,♠6,♣6 | Pair
♠Q,♠2,♥2,♠6,♣6 | Pair
♠Q,♠2,♥2,♠6,♦7 | Pair
♠Q,♠2,♥2,♠6,♦7 | Pair
♠Q,♠2,♥2,♠6,♠2 | Pair
♠Q,♠2,♥2,♠6,♠2 | Three Of A Kind
♠Q,♠2,♥2,♦7,♥5 | Pair
♠Q,♠2,♥2,♦7,♣6 | Pair
♠Q,♠2,♥2,♦7,♦7 | Pair
♠Q,♠2,♥2,♦7,♦7 | Pair
♠Q,♠2,♥2,♦7,♦7 | Pair
♠Q,♠2,♥2,♦7,♦7 | Pair
♠Q,♠2,♥2,♦7,♠2 | Pair
♠Q,♠2,♥2,♦7,♠2 | Three Of A Kind
♠Q,♠2,♥2,♥5,♣6 | Pair
♠Q,♠2,♥2,♥5,♦7 | Pair
♠Q,♠2,♥2,♥5,♦7 | Pair
♠Q,♠2,♥2,♥5,♠2 | Pair
♠Q,♠2,♥2,♥5,♠2 | Three Of A Kind
♠Q,♠2,♥2,♣6,♦7 | Pair
♠Q,♠2,♥2,♣6,♦7 | Pair
♠Q,♠2,♥2,♣6,♠2 | Pair
♠Q,♠2,♥2,♣6,♠2 | Three Of A Kind
♠Q,♠2,♥2,♦7,♦7 | Pair
♠Q,♠2,♥2,♦7,♦7 | Pair
♠Q,♠2,♥2,♦7,♠2 | Pair
♠Q,♠2,♥2,♦7,♠2 | Three Of A Kind
♠Q,♠2,♥2,♦7,♠2 | Pair
♠Q,♠2,♥2,♦7,♠2 | Three Of A Kind
♠Q,♠2,♣K,♣8,♥A | Pair
♠Q,♠2,♣K,♣8,♥A | Three Of A Kind
♠Q,♠2,♣K,♣8,♥K | Pair
♠Q,♠2,♣K,♣8,♥K | Three Of A Kind
♠Q,♠2,♣K,♣8,♠6 | Pair
♠Q,♠2,♣K,♣8,♦7 | Pair
♠Q,♠2,♣K,♣8,♥5 | Pair
♠Q,♠2,♣K,♣8,♣6 | Pair
♠Q,♠2,♣K,♣8,♦7 | Pair
♠Q,♠2,♣K,♣8,♦7 | Pair
♠Q,♠2,♣K,♣8,♠2 | Pair
♠Q,♠2,♣K,♣8,♠2 | Pair
♠Q,♠2,♣K,♥A,♥K | Pair
♠Q,♠2,♣K,♥A,♥K | Three Of A Kind
♠Q,♠2,♣K,♥A,♥K | Four Of A Kind
♠Q,♠2,♣K,♥A,♠6 | Pair
♠Q,♠2,♣K,♥A,♠6 | Three Of A Kind
♠Q,♠2,♣K,♥A,♦7 | Pair
♠Q,♠2,♣K,♥A,♦7 | Three Of A Kind
♠Q,♠2,♣K,♥A,♥5 | Pair
♠Q,♠2,♣K,♥A,♥5 | Three Of A Kind
♠Q,♠2,♣K,♥A,♣6 | Pair
♠Q,♠2,♣K,♥A,♣6 | Three Of A Kind
♠Q,♠2,♣K,♥A,♦7 | Pair
♠Q,♠2,♣K,♥A,♦7 | Three Of A Kind
♠Q,♠2,♣K,♥A,♦7 | Pair
♠Q,♠2,♣K,♥A,♦7 | Three Of A Kind
♠Q,♠2,♣K,♥A,♠2 | Pair
♠Q,♠2,♣K,♥A,♠2 | Three Of A Kind
♠Q,♠2,♣K,♥A,♠2 | Pair
♠Q,♠2,♣K,♥K,♠6 | Pair
♠Q,♠2,♣K,♥K,♠6 | Three Of A Kind
♠Q,♠2,♣K,♥K,♦7 | Pair
♠Q,♠2,♣K,♥K,♦7 | Three Of A Kind
♠Q,♠2,♣K,♥K,♥5 | Pair
♠Q,♠2,♣K,♥K,♥5 | Three Of A Kind
♠Q,♠2,♣K,♥K,♣6 | Pair
♠Q,♠2,♣K,♥K,♣6 | Three Of A Kind
♠Q,♠2,♣K,♥K,♦7 | Pair
♠Q,♠2,♣K,♥K,♦7 | Three Of A Kind
♠Q,♠2,♣K,♥K,♦7 | Pair
♠Q,♠2,♣K,♥K,♦7 | Three Of A Kind
♠Q,♠2,♣K,♥K,♠2 | Pair
♠Q,♠2,♣K,♥K,♠2 | Three Of A Kind
♠Q,♠2,♣K,♥K,♠2 | Pair
♠Q,♠2,♣K,♠6,♦7 | Pair
♠Q,♠2,♣K,♠6,♥5 | Pair
♠Q,♠2,♣K,♠6,♣6 | Pair
♠Q,♠2,♣K,♠6,♣6 | Pair
♠Q,♠2,♣K,♠6,♦7 | Pair
♠Q,♠2,♣K,♠6,♦7 | Pair
♠Q,♠2,♣K,♠6,♠2 | Pair
♠Q,♠2,♣K,♠6,♠2 | Pair
♠Q,♠2,♣K,♦7,♥5 | Pair
♠Q,♠2,♣K,♦7,♣6 | Pair
♠Q,♠2,♣K,♦7,♦7 | Pair
♠Q,♠2,♣K,♦7,♦7 | Pair
♠Q,♠2,♣K,♦7,♦7 | Pair
♠Q,♠2,♣K,♦7,♦7 | Pair
♠Q,♠2,♣K,♦7,♠2 | Pair
♠Q,♠2,♣K,♦7,♠2 | Pair
♠Q,♠2,♣K,♥5,♣6 | Pair
♠Q,♠2,♣K,♥5,♦7 | Pair
♠Q,♠2,♣K,♥5,♦7 | Pair
♠Q,♠2,♣K,♥5,♠2 | Pair
♠Q,♠2,♣K,♥5,♠2 | Pair
♠Q,♠2,♣K,♣6,♦7 | Pair
♠Q,♠2,♣K,♣6,♦7 | Pair
♠Q,♠2,♣K,♣6,♠2 | Pair
♠Q,♠2,♣K,♣6,♠2 | Pair
♠Q,♠2,♣K,♦7,♦7 | Pair
♠Q,♠2,♣K,♦7,♦7 | Pair
♠Q,♠2,♣K,♦7,♠2 | Pair
♠Q,♠2,♣K,♦7,♠2 | Pair
♠Q,♠2,♣K,♦7,♠2 | Pair
♠Q,♠2,♣K,♦7,♠2 | Pair
♠Q,♠2,♣8,♥A,♥K | Pair
♠Q,♠2,♣8,♥A,♥K | Three Of A Kind
♠Q,♠2,♣8,♥A,♠6 | Pair
♠Q,♠2,♣8,♥A,♦7 | Pair
♠Q,♠2,♣8,♥A,♥5 | Pair
♠Q,♠2,♣8,♥A,♣6 | Pair
♠Q,♠2,♣8,♥A,♦7 | Pair
♠Q,♠2,♣8,♥A,♦7 | Pair
♠Q,♠2,♣8,♥A,♠2 | Pair
♠Q,♠2,♣8,♥A,♠2 | Pair
♠Q,♠2,♣8,♥K,♠6 | Pair
♠Q,♠2,♣8,♥K,♦7 | Pair
♠Q,♠2,♣8,♥K,♥5 | Pair
♠Q,♠2,♣8,♥K,♣6 | Pair
♠Q,♠2,♣8,♥K,♦7 | Pair
♠Q,♠2,♣8,♥K,♦7 | Pair
♠Q,♠2,♣8,♥K,♠2 | Pair
♠Q,♠2,♣8,♥K,♠2 | Pair
♠Q,♠2,♣8,♠6,♣6 | Pair
♠Q,♠2,♣8,♠6,♠2 | Pair
♠Q,♠2,♣8,♦7,♦7 | Pair
♠Q,♠2,♣8,♦7,♦7 | Pair
♠Q,♠2,♣8,♦7,♠2 | Pair
♠Q,♠2,♣8,♥5,♠2 | Pair
♠Q,♠2,♣8,♣6,♠2 | Pair
♠Q,♠2,♣8,♦7,♦7 | Pair
♠Q,♠2,♣8,♦7,♠2 | Pair
♠Q,♠2,♣8,♦7,♠2 | Pair
♠Q,♠2,♥A,♥K,♠6 | Pair
♠Q,♠2,♥A,♥K,♠6 | Three Of A Kind
♠Q,♠2,♥A,♥K,♦7 | Pair
♠Q,♠2,♥A,♥K,♦7 | Three Of A Kind
♠Q,♠2,♥A,♥K,♥5 | Pair
♠Q,♠2,♥A,♥K,♥5 | Three Of A Kind
♠Q,♠2,♥A,♥K,♣6 | Pair
♠Q,♠2,♥A,♥K,♣6 | Three Of A Kind
♠Q,♠2,♥A,♥K,♦7 | Pair
♠Q,♠2,♥A,♥K,♦7 | Three Of A Kind
♠Q,♠2,♥A,♥K,♦7 | Pair
♠Q,♠2,♥A,♥K,♦7 | Three Of A Kind
♠Q,♠2,♥A,♥K,♠2 | Pair
♠Q,♠2,♥A,♥K,♠2 | Three Of A Kind
♠Q,♠2,♥A,♥K,♠2 | Pair
♠Q,♠2,♥A,♠6,♦7 | Pair
♠Q,♠2,♥A,♠6,♥5 | Pair
♠Q,♠2,♥A,♠6,♣6 | Pair
♠Q,♠2,♥A,♠6,♣6 | Pair
♠Q,♠2,♥A,♠6,♦7 | Pair
♠Q,♠2,♥A,♠6,♦7 | Pair
♠Q,♠2,♥A,♠6,♠2 | Pair
♠Q,♠2,♥A,♠6,♠2 | Pair
♠Q,♠2,♥A,♦7,♥5 | Pair
♠Q,♠2,♥A,♦7,♣6 | Pair
♠Q,♠2,♥A,♦7,♦7 | Pair
♠Q,♠2,♥A,♦7,♦7 | Pair
♠Q,♠2,♥A,♦7,♦7 | Pair
♠Q,♠2,♥A,♦7,♦7 | Pair
♠Q,♠2,♥A,♦7,♠2 | Pair
♠Q,♠2,♥A,♦7,♠2 | Pair
♠Q,♠2,♥A,♥5,♣6 | Pair
♠Q,♠2,♥A,♥5,♦7 | Pair
♠Q,♠2,♥A,♥5,♦7 | Pair
♠Q,♠2,♥A,♥5,♠2 | Pair
♠Q,♠2,♥A,♥5,♠2 | Pair
♠Q,♠2,♥A,♣6,♦7 | Pair
♠Q,♠2,♥A,♣6,♦7 | Pair
♠Q,♠2,♥A,♣6,♠2 | Pair
♠Q,♠2,♥A,♣6,♠2 | Pair
♠Q,♠2,♥A,♦7,♦7 | Pair
♠Q,♠2,♥A,♦7,♦7 | Pair
♠Q,♠2,♥A,♦7,♠2 | Pair
♠Q,♠2,♥A,♦7,♠2 | Pair
♠Q,♠2,♥A,♦7,♠2 | Pair
♠Q,♠2,♥A,♦7,♠2 | Pair
♠Q,♠2,♥K,♠6,♦7 | Pair
♠Q,♠2,♥K,♠6,♥5 | Pair
♠Q,♠2,♥K,♠6,♣6 | Pair
♠Q,♠2,♥K,♠6,♣6 | Pair
♠Q,♠2,♥K,♠6,♦7 | Pair
♠Q,♠2,♥K,♠6,♦7 | Pair
♠Q,♠2,♥K,♠6,♠2 | Pair
♠Q,♠2,♥K,♠6,♠2 | Pair
♠Q,♠2,♥K,♦7,♥5 | Pair
♠Q,♠2,♥K,♦7,♣6 | Pair
♠Q,♠2,♥K,♦7,♦7 | Pair
♠Q,♠2,♥K,♦7,♦7 | Pair
♠Q,♠2,♥K,♦7,♦7 | Pair
♠Q,♠2,♥K,♦7,♦7 | Pair
♠Q,♠2,♥K,♦7,♠2 | Pair
♠Q,♠2,♥K,♦7,♠2 | Pair
♠Q,♠2,♥K,♥5,♣6 | Pair
♠Q,♠2,♥K,♥5,♦7 | Pair
♠Q,♠2,♥K,♥5,♦7 | Pair
♠Q,♠2,♥K,♥5,♠2 | Pair
♠Q,♠2,♥K,♥5,♠2 | Pair
♠Q,♠2,♥K,♣6,♦7 | Pair
♠Q,♠2,♥K,♣6,♦7 | Pair
♠Q,♠2,♥K,♣6,♠2 | Pair
♠Q,♠2,♥K,♣6,♠2 | Pair
♠Q,♠2,♥K,♦7,♦7 | Pair
♠Q,♠2,♥K,♦7,♦7 | Pair
♠Q,♠2,♥K,♦7,♠2 | Pair
♠Q,♠2,♥K,♦7,♠2 | Pair
♠Q,♠2,♥K,♦7,♠2 | Pair
♠Q,♠2,♥K,♦7,♠2 | Pair
♠Q,♠2,♠6,♦7,♣6 | Pair
♠Q,♠2,♠6,♦7,♦7 | Pair
♠Q,♠2,♠6,♦7,♦7 | Pair
♠Q,♠2,♠6,♦7,♠2 | Pair
♠Q,♠2,♠6,♥5,♣6 | Pair
♠Q,♠2,♠6,♥5,♠2 | Pair
♠Q,♠2,♠6,♣6,♦7 | Pair
♠Q,♠2,♠6,♣6,♦7 | Pair
♠Q,♠2,♠6,♣6,♠2 | Pair
♠Q,♠2,♠6,♣6,♠2 | Pair
♠Q,♠2,♠6,♦7,♦7 | Pair
♠Q,♠2,♠6,♦7,♠2 | Pair
♠Q,♠2,♠6,♦7,♠2 | Pair
♠Q,♠2,♦7,♥5,♦7 | Pair
♠Q,♠2,♦7,♥5,♦7 | Pair
♠Q,♠2,♦7,♥5,♠2 | Pair
♠Q,♠2,♦7,♣6,♦7 | Pair
♠Q,♠2,♦7,♣6,♦7 | Pair
♠Q,♠2,♦7,♣6,♠2 | Pair
♠Q,♠2,♦7,♦7,♦7 | Pair
♠Q,♠2,♦7,♦7,♦7 | Three Of A Kind
♠Q,♠2,♦7,♦7,♠2 | Pair
♠Q,♠2,♦7,♦7,♠2 | Pair
♠Q,♠2,♦7,♦7,♠2 | Pair
♠Q,♠2,♦7,♦7,♠2 | Pair
♠Q,♠2,♥5,♣6,♠2 | Pair
♠Q,♠2,♥5,♦7,♦7 | Pair
♠Q,♠2,♥5,♦7,♠2 | Pair
♠Q,♠2,♥5,♦7,♠2 | Pair
♠Q,♠2,♣6,♦7,♦7 | Pair
♠Q,♠2,♣6,♦7,♠2 | Pair
♠Q,♠2,♣6,♦7,♠2 | Pair
♠Q,♠2,♦7,♦7,♠2 | Pair
♠Q,♠2,♦7,♦7,♠2 | Pair
♠Q,♥2,♣K,♣8,♥A | Pair
♠Q,♥2,♣K,♣8,♥A | Three Of A Kind
♠Q,♥2,♣K,♣8,♥K | Pair
♠Q,♥2,♣K,♣8,♥K | Three Of A Kind
♠Q,♥2,♣K,♣8,♠6 | Pair
♠Q,♥2,♣K,♣8,♦7 | Pair
♠Q,♥2,♣K,♣8,♥5 | Pair
♠Q,♥2,♣K,♣8,♣6 | Pair
♠Q,♥2,♣K,♣8,♦7 | Pair
♠Q,♥2,♣K,♣8,♦7 | Pair
♠Q,♥2,♣K,♣8,♠2 | Pair
♠Q,♥2,♣K,♣8,♠2 | Pair
♠Q,♥2,♣K,♥A,♥K | Pair
♠Q,♥2,♣K,♥A,♥K | Three Of A Kind
♠Q,♥2,♣K,♥A,♥K | Four Of A Kind
♠Q,♥2,♣K,♥A,♠6 | Pair
♠Q,♥2,♣K,♥A,♠6 | Three Of A Kind
♠Q,♥2,♣K,♥A,♦7 | Pair
♠Q,♥2,♣K,♥A,♦7 | Three Of A Kind
♠Q,♥2,♣K,♥A,♥5 | Pair
♠Q,♥2,♣K,♥A,♥5 | Three Of A Kind
♠Q,♥2,♣K,♥A,♣6 | Pair
♠Q,♥2,♣K,♥A,♣6 | Three Of A Kind
♠Q,♥2,♣K,♥A,♦7 | Pair
♠Q,♥2,♣K,♥A,♦7 | Three Of A Kind
♠Q,♥2,♣K,♥A,♦7 | Pair
♠Q,♥2,♣K,♥A,♦7 | Three Of A Kind
♠Q,♥2,♣K,♥A,♠2 | Pair
♠Q,♥2,♣K,♥A,♠2 | Three Of A Kind
♠Q,♥2,♣K,♥A,♠2 | Pair
♠Q,♥2,♣K,♥K,♠6 | Pair
♠Q,♥2,♣K,♥K,♠6 | Three Of A Kind
♠Q,♥2,♣K,♥K,♦7 | Pair
♠Q,♥2,♣K,♥K,♦7 | Three Of A Kind
♠Q,♥2,♣K,♥K,♥5 | Pair
♠Q,♥2,♣K,♥K,♥5 | Three Of A Kind
♠Q,♥2,♣K,♥K,♣6 | Pair
♠Q,♥2,♣K,♥K,♣6 | Three Of A Kind
♠Q,♥2,♣K,♥K,♦7 | Pair
♠Q,♥2,♣K,♥K,♦7 | Three Of A Kind
♠Q,♥2,♣K,♥K,♦7 | Pair
♠Q,♥2,♣K,♥K,♦7 | Three Of A Kind
♠Q,♥2,♣K,♥K,♠2 | Pair
♠Q,♥2,♣K,♥K,♠2 | Three Of A Kind
♠Q,♥2,♣K,♥K,♠2 | Pair
♠Q,♥2,♣K,♠6,♦7 | Pair
♠Q,♥2,♣K,♠6,♥5 | Pair
♠Q,♥2,♣K,♠6,♣6 | Pair
♠Q,♥2,♣K,♠6,♣6 | Pair
♠Q,♥2,♣K,♠6,♦7 | Pair
♠Q,♥2,♣K,♠6,♦7 | Pair
♠Q,♥2,♣K,♠6,♠2 | Pair
♠Q,♥2,♣K,♠6,♠2 | Pair
♠Q,♥2,♣K,♦7,♥5 | Pair
♠Q,♥2,♣K,♦7,♣6 | Pair
♠Q,♥2,♣K,♦7,♦7 | Pair
♠Q,♥2,♣K,♦7,♦7 | Pair
♠Q,♥2,♣K,♦7,♦7 | Pair
♠Q,♥2,♣K,♦7,♦7 | Pair
♠Q,♥2,♣K,♦7,♠2 | Pair
♠Q,♥2,♣K,♦7,♠2 | Pair
♠Q,♥2,♣K,♥5,♣6 | Pair
♠Q,♥2,♣K,♥5,♦7 | Pair
♠Q,♥2,♣K,♥5,♦7 | Pair
♠Q,♥2,♣K,♥5,♠2 | Pair
♠Q,♥2,♣K,♥5,♠2 | Pair
♠Q,♥2,♣K,♣6,♦7 | Pair
♠Q,♥2,♣K,♣6,♦7 | Pair
♠Q,♥2,♣K,♣6,♠2 | Pair
♠Q,♥2,♣K,♣6,♠2 | Pair
♠Q,♥2,♣K,♦7,♦7 | Pair
♠Q,♥2,♣K,♦7,♦7 | Pair
♠Q,♥2,♣K,♦7,♠2 | Pair
♠Q,♥2,♣K,♦7,♠2 | Pair
♠Q,♥2,♣K,♦7,♠2 | Pair
♠Q,♥2,♣K,♦7,♠2 | Pair
♠Q,♥2,♣8,♥A,♥K | Pair
♠Q,♥2,♣8,♥A,♥K | Three Of A Kind
♠Q,♥2,♣8,♥A,♠6 | Pair
♠Q,♥2,♣8,♥A,♦7 | Pair
♠Q,♥2,♣8,♥A,♥5 | Pair
♠Q,♥2,♣8,♥A,♣6 | Pair
♠Q,♥2,♣8,♥A,♦7 | Pair
♠Q,♥2,♣8,♥A,♦7 | Pair
♠Q,♥2,♣8,♥A,♠2 | Pair
♠Q,♥2,♣8,♥A,♠2 | Pair
♠Q,♥2,♣8,♥K,♠6 | Pair
♠Q,♥2,♣8,♥K,♦7 | Pair
♠Q,♥2,♣8,♥K,♥5 | Pair
♠Q,♥2,♣8,♥K,♣6 | Pair
♠Q,♥2,♣8,♥K,♦7 | Pair
♠Q,♥2,♣8,♥K,♦7 | Pair
♠Q,♥2,♣8,♥K,♠2 | Pair
♠Q,♥2,♣8,♥K,♠2 | Pair
♠Q,♥2,♣8,♠6,♣6 | Pair
♠Q,♥2,♣8,♠6,♠2 | Pair
♠Q,♥2,♣8,♦7,♦7 | Pair
♠Q,♥2,♣8,♦7,♦7 | Pair
♠Q,♥2,♣8,♦7,♠2 | Pair
♠Q,♥2,♣8,♥5,♠2 | Pair
♠Q,♥2,♣8,♣6,♠2 | Pair
♠Q,♥2,♣8,♦7,♦7 | Pair
♠Q,♥2,♣8,♦7,♠2 | Pair
♠Q,♥2,♣8,♦7,♠2 | Pair
♠Q,♥2,♥A,♥K,♠6 | Pair
♠Q,♥2,♥A,♥K,♠6 | Three Of A Kind
♠Q,♥2,♥A,♥K,♦7 | Pair
♠Q,♥2,♥A,♥K,♦7 | Three Of A Kind
♠Q,♥2,♥A,♥K,♥5 | Pair
♠Q,♥2,♥A,♥K,♥5 | Three Of A Kind
♠Q,♥2,♥A,♥K,♣6 | Pair
♠Q,♥2,♥A,♥K,♣6 | Three Of A Kind
♠Q,♥2,♥A,♥K,♦7 | Pair
♠Q,♥2,♥A,♥K,♦7 | Three Of A Kind
♠Q,♥2,♥A,♥K,♦7 | Pair
♠Q,♥2,♥A,♥K,♦7 | Three Of A Kind
♠Q,♥2,♥A,♥K,♠2 | Pair
♠Q,♥2,♥A,♥K,♠2 | Three Of A Kind
♠Q,♥2,♥A,♥K,♠2 | Pair
♠Q,♥2,♥A,♠6,♦7 | Pair
♠Q,♥2,♥A,♠6,♥5 | Pair
♠Q,♥2,♥A,♠6,♣6 | Pair
♠Q,♥2,♥A,♠6,♣6 | Pair
♠Q,♥2,♥A,♠6,♦7 | Pair
♠Q,♥2,♥A,♠6,♦7 | Pair
♠Q,♥2,♥A,♠6,♠2 | Pair
♠Q,♥2,♥A,♠6,♠2 | Pair
♠Q,♥2,♥A,♦7,♥5 | Pair
♠Q,♥2,♥A,♦7,♣6 | Pair
♠Q,♥2,♥A,♦7,♦7 | Pair
♠Q,♥2,♥A,♦7,♦7 | Pair
♠Q,♥2,♥A,♦7,♦7 | Pair
♠Q,♥2,♥A,♦7,♦7 | Pair
♠Q,♥2,♥A,♦7,♠2 | Pair
♠Q,♥2,♥A,♦7,♠2 | Pair
♠Q,♥2,♥A,♥5,♣6 | Pair
♠Q,♥2,♥A,♥5,♦7 | Pair
♠Q,♥2,♥A,♥5,♦7 | Pair
♠Q,♥2,♥A,♥5,♠2 | Pair
♠Q,♥2,♥A,♥5,♠2 | Pair
♠Q,♥2,♥A,♣6,♦7 | Pair
♠Q,♥2,♥A,♣6,♦7 | Pair
♠Q,♥2,♥A,♣6,♠2 | Pair
♠Q,♥2,♥A,♣6,♠2 | Pair
♠Q,♥2,♥A,♦7,♦7 | Pair
♠Q,♥2,♥A,♦7,♦7 | Pair
♠Q,♥2,♥A,♦7,♠2 | Pair
♠Q,♥2,♥A,♦7,♠2 | Pair
♠Q,♥2,♥A,♦7,♠2 | Pair
♠Q,♥2,♥A,♦7,♠2 | Pair
♠Q,♥2,♥K,♠6,♦7 | Pair
♠Q,♥2,♥K,♠6,♥5 | Pair
♠Q,♥2,♥K,♠6,♣6 | Pair
♠Q,♥2,♥K,♠6,♣6 | Pair
♠Q,♥2,♥K,♠6,♦7 | Pair
♠Q,♥2,♥K,♠6,♦7 | Pair
♠Q,♥2,♥K,♠6,♠2 | Pair
♠Q,♥2,♥K,♠6,♠2 | Pair
♠Q,♥2,♥K,♦7,♥5 | Pair
♠Q,♥2,♥K,♦7,♣6 | Pair
♠Q,♥2,♥K,♦7,♦7 | Pair
♠Q,♥2,♥K,♦7,♦7 | Pair
♠Q,♥2,♥K,♦7,♦7 | Pair
♠Q,♥2,♥K,♦7,♦7 | Pair
♠Q,♥2,♥K,♦7,♠2 | Pair
♠Q,♥2,♥K,♦7,♠2 | Pair
♠Q,♥2,♥K,♥5,♣6 | Pair
♠Q,♥2,♥K,♥5,♦7 | Pair
♠Q,♥2,♥K,♥5,♦7 | Pair
♠Q,♥2,♥K,♥5,♠2 | Pair
♠Q,♥2,♥K,♥5,♠2 | Pair
♠Q,♥2,♥K,♣6,♦7 | Pair
♠Q,♥2,♥K,♣6,♦7 | Pair
♠Q,♥2,♥K,♣6,♠2 | Pair
♠Q,♥2,♥K,♣6,♠2 | Pair
♠Q,♥2,♥K,♦7,♦7 | Pair
♠Q,♥2,♥K,♦7,♦7 | Pair
♠Q,♥2,♥K,♦7,♠2 | Pair
♠Q,♥2,♥K,♦7,♠2 | Pair
♠Q,♥2,♥K,♦7,♠2 | Pair
♠Q,♥2,♥K,♦7,♠2 | Pair
♠Q,♥2,♠6,♦7,♣6 | Pair
♠Q,♥2,♠6,♦7,♦7 | Pair
♠Q,♥2,♠6,♦7,♦7 | Pair
♠Q,♥2,♠6,♦7,♠2 | Pair
♠Q,♥2,♠6,♥5,♣6 | Pair
♠Q,♥2,♠6,♥5,♠2 | Pair
♠Q,♥2,♠6,♣6,♦7 | Pair
♠Q,♥2,♠6,♣6,♦7 | Pair
♠Q,♥2,♠6,♣6,♠2 | Pair
♠Q,♥2,♠6,♣6,♠2 | Pair
♠Q,♥2,♠6,♦7,♦7 | Pair
♠Q,♥2,♠6,♦7,♠2 | Pair
♠Q,♥2,♠6,♦7,♠2 | Pair
♠Q,♥2,♦7,♥5,♦7 | Pair
♠Q,♥2,♦7,♥5,♦7 | Pair
♠Q,♥2,♦7,♥5,♠2 | Pair
♠Q,♥2,♦7,♣6,♦7 | Pair
♠Q,♥2,♦7,♣6,♦7 | Pair
♠Q,♥2,♦7,♣6,♠2 | Pair
♠Q,♥2,♦7,♦7,♦7 | Pair
♠Q,♥2,♦7,♦7,♦7 | Three Of A Kind
♠Q,♥2,♦7,♦7,♠2 | Pair
♠Q,♥2,♦7,♦7,♠2 | Pair
♠Q,♥2,♦7,♦7,♠2 | Pair
♠Q,♥2,♦7,♦7,♠2 | Pair
♠Q,♥2,♥5,♣6,♠2 | Pair
♠Q,♥2,♥5,♦7,♦7 | Pair
♠Q,♥2,♥5,♦7,♠2 | Pair
♠Q,♥2,♥5,♦7,♠2 | Pair
♠Q,♥2,♣6,♦7,♦7 | Pair
