♣2,♠3,♥A,♠10,♠K | Pair
♣2,♠3,♠K,♠Q,♦Q | Pair
♣2,♠3,♠K,♠Q,♦Q | Three Of A Kind
♣2,♠3,♠K,♠Q,♣A | Pair
♣2,♠3,♠K,♠Q,♣A | Three Of A Kind
♣2,♠3,♠K,♠Q,♠8 | Pair
♣2,♠3,♠K,♠K,♦Q | Pair
♣2,♠3,♠K,♠K,♦Q | Three Of A Kind
♣2,♠3,♠K,♠K,♣A | Pair
♣2,♠3,♠K,♠K,♣A | Three Of A Kind
♣2,♠3,♠K,♠K,♠8 | Pair
♣2,♠3,♠K,♦Q,♣A | Pair
♣2,♠3,♠K,♦Q,♣A | Three Of A Kind
♣2,♠3,♠K,♦Q,♠8 | Pair
♣2,♠3,♠K,♣A,♠8 | Pair
♣2,♠3,♦8,♥7,♥3 | Pair
♣2,♠3,♦8,♥7,♠8 | Pair
♣2,♠3,♦8,♥3,♣A | Pair
♣2,♠3,♦8,♥3,♠Q | Pair
♣2,♠3,♦8,♥3,♠K | Pair
♣2,♠3,♦8,♥3,♦Q | Pair
♣2,♠3,♦8,♥3,♣A | Pair
♣2,♠3,♦8,♥3,♠8 | Pair
♣2,♠3,♦8,♥3,♠8 | Pair
♣2,♠3,♦8,♣A,♠Q | Pair
♣2,♠3,♦8,♣A,♠K | Pair
♣2,♠3,♦8,♣A,♦Q | Pair
♣2,♠3,♦8,♣A,♣A | Pair
♣2,♠3,♦8,♣A,♠8 | Pair
♣2,♠3,♦8,♠Q,♠K | Pair
♣2,♠3,♦8,♠Q,♦Q | Pair
♣2,♠3,♦8,♠Q,♣A | Pair
♣2,♠3,♦8,♠Q,♠8 | Pair
♣2,♠3,♦8,♠K,♦Q | Pair
♣2,♠3,♦8,♠K,♣A | Pair
♣2,♠3,♦8,♠K,♠8 | Pair
♣2,♠3,♦8,♦Q,♣A | Pair
♣2,♠3,♦8,♦Q,♠8 | Pair
♣2,♠3,♦8,♣A,♠8 | Pair
♣2,♠3,♥7,♥3,♣A | Pair
♣2,♠3,♥7,♥3,♠Q | Pair
♣2,♠3,♥7,♥3,♠K | Pair
♣2,♠3,♥7,♥3,♦Q | Pair
♣2,♠3,♥7,♥3,♣A | Pair
♣2,♠3,♥7,♥3,♠8 | Pair
♣2,♠3,♥7,♣A,♠Q | Pair
♣2,♠3,♥7,♣A,♠K | Pair
♣2,♠3,♥7,♣A,♦Q | Pair
♣2,♠3,♥7,♣A,♣A | Pair
♣2,♠3,♥7,♠Q,♠K | Pair
♣2,♠3,♥7,♠Q,♦Q | Pair
♣2,♠3,♥7,♠Q,♣A | Pair
♣2,♠3,♥7,♠K,♦Q | Pair
♣2,♠3,♥7,♠K,♣A | Pair
♣2,♠3,♥7,♦Q,♣A | Pair
♣2,♠3,♥3,♣A,♠Q | Pair
♣2,♠3,♥3,♣A,♠Q | Pair
♣2,♠3,♥3,♣A,♠K | Pair
♣2,♠3,♥3,♣A,♠K | Pair
♣2,♠3,♥3,♣A,♦Q | Pair
♣2,♠3,♥3,♣A,♦Q | Pair
♣2,♠3,♥3,♣A,♣A | Pair
♣2,♠3,♥3,♣A,♣A | Pair
♣2,♠3,♥3,♣A,♠8 | Pair
♣2,♠3,♥3,♠Q,♠K | Pair
♣2,♠3,♥3,♠Q,♠K | Pair
♣2,♠3,♥3,♠Q,♦Q | Pair
♣2,♠3,♥3,♠Q,♦Q | Pair
♣2,♠3,♥3,♠Q,♣A | Pair
♣2,♠3,♥3,♠Q,♣A | Pair
♣2,♠3,♥3,♠Q,♠8 | Pair
♣2,♠3,♥3,♠K,♦Q | Pair
♣2,♠3,♥3,♠K,♦Q | Pair
♣2,♠3,♥3,♠K,♣A | Pair
♣2,♠3,♥3,♠K,♣A | Pair
♣2,♠3,♥3,♠K,♠8 | Pair
♣2,♠3,♥3,♦Q,♣A | Pair
♣2,♠3,♥3,♦Q,♣A | Pair
♣2,♠3,♥3,♦Q,♠8 | Pair
♣2,♠3,♥3,♣A,♠8 | Pair
♣2,♠3,♣A,♠Q,♠K | Pair
♣2,♠3,♣A,♠Q,♠K | Three Of A Kind
♣2,♠3,♣A,♠Q,♦Q | Pair
♣2,♠3,♣A,♠Q,♦Q | Three Of A Kind
♣2,♠3,♣A,♠Q,♣A | Pair
♣2,♠3,♣A,♠Q,♣A | Three Of A Kind
♣2,♠3,♣A,♠Q,♠8 | Pair
♣2,♠3,♣A,♠K,♦Q | Pair
♣2,♠3,♣A,♠K,♦Q | Three Of A Kind
♣2,♠3,♣A,♠K,♣A | Pair
♣2,♠3,♣A,♠K,♣A | Three Of A Kind
♣2,♠3,♣A,♠K,♠8 | Pair
♣2,♠3,♣A,♦Q,♣A | Pair
♣2,♠3,♣A,♦Q,♣A | Three Of A Kind
♣2,♠3,♣A,♦Q,♠8 | Pair
♣2,♠3,♣A,♣A,♠8 | Pair
♣2,♠3,♠Q,♠K,♦Q | Pair
♣2,♠3,♠Q,♠K,♦Q | Three Of A Kind
♣2,♠3,♠Q,♠K,♣A | Pair
♣2,♠3,♠Q,♠K,♣A | Three Of A Kind
♣2,♠3,♠Q,♠K,♠8 | Pair
♣2,♠3,♠Q,♦Q,♣A | Pair
♣2,♠3,♠Q,♦Q,♣A | Three Of A Kind
♣2,♠3,♠Q,♦Q,♠8 | Pair
♣2,♠3,♠Q,♣A,♠8 | Pair
♣2,♠3,♠K,♦Q,♣A | Pair
♣2,♠3,♠K,♦Q,♣A | Three Of A Kind
♣2,♠3,♠K,♦Q,♠8 | Pair
♣2,♠3,♠K,♣A,♠8 | Pair
♣2,♠3,♦Q,♣A,♠8 | Pair
♣2,♥A,♠10,♠K,♦8 | Pair
♣2,♥A,♠10,♠K,♥7 | Pair
♣2,♥A,♠10,♠K,♥3 | Pair
♣2,♥A,♠10,♠K,♣A | Pair
♣2,♥A,♠10,♠K,♣A | Three Of A Kind
♣2,♥A,♠10,♠K,♠Q | Pair
♣2,♥A,♠10,♠K,♠Q | Three Of A Kind
♣2,♥A,♠10,♠K,♠K | Pair
♣2,♥A,♠10,♠K,♠K | Three Of A Kind
♣2,♥A,♠10,♠K,♦Q | Pair
♣2,♥A,♠10,♠K,♦Q | Three Of A Kind
♣2,♥A,♠10,♠K,♣A | Pair
♣2,♥A,♠10,♠K,♣A | Three Of A Kind
♣2,♥A,♠10,♠K,♠8 | Pair
♣2,♥A,♠10,♦8,♣A | Pair
♣2,♥A,♠10,♦8,♠Q | Pair
♣2,♥A,♠10,♦8,♠K | Pair
♣2,♥A,♠10,♦8,♦Q | Pair
♣2,♥A,♠10,♦8,♣A | Pair
♣2,♥A,♠10,♦8,♠8 | Pair
♣2,♥A,♠10,♥7,♣A | Pair
♣2,♥A,♠10,♥7,♠Q | Pair
♣2,♥A,♠10,♥7,♠K | Pair
♣2,♥A,♠10,♥7,♦Q | Pair
♣2,♥A,♠10,♥7,♣A | Pair
♣2,♥A,♠10,♥3,♣A | Pair
♣2,♥A,♠10,♥3,♠Q | Pair
♣2,♥A,♠10,♥3,♠K | Pair
♣2,♥A,♠10,♥3,♦Q | Pair
♣2,♥A,♠10,♥3,♣A | Pair
♣2,♥A,♠10,♣A,♠Q | Pair
♣2,♥A,♠10,♣A,♠Q | Three Of A Kind
♣2,♥A,♠10,♣A,♠K | Pair
♣2,♥A,♠10,♣A,♠K | Three Of A Kind
♣2,♥A,♠10,♣A,♦Q | Pair
♣2,♥A,♠10,♣A,♦Q | Three Of A Kind
♣2,♥A,♠10,♣A,♣A | Pair
♣2,♥A,♠10,♣A,♣A | Three Of A Kind
♣2,♥A,♠10,♣A,♠8 | Pair
♣2,♥A,♠10,♠Q,♠K | Pair
♣2,♥A,♠10,♠Q,♠K | Three Of A Kind
♣2,♥A,♠10,♠Q,♦Q | Pair
♣2,♥A,♠10,♠Q,♦Q | Three Of A Kind
♣2,♥A,♠10,♠Q,♣A | Pair
♣2,♥A,♠10,♠Q,♣A | Three Of A Kind
♣2,♥A,♠10,♠Q,♠8 | Pair
♣2,♥A,♠10,♠K,♦Q | Pair
♣2,♥A,♠10,♠K,♦Q | Three Of A Kind
♣2,♥A,♠10,♠K,♣A | Pair
♣2,♥A,♠10,♠K,♣A | Three Of A Kind
♣2,♥A,♠10,♠K,♠8 | Pair
♣2,♥A,♠10,♦Q,♣A | Pair
♣2,♥A,♠10,♦Q,♣A | Three Of A Kind
♣2,♥A,♠10,♦Q,♠8 | Pair
♣2,♥A,♠10,♣A,♠8 | Pair
♣2,♥A,♠K,♦8,♥7 | Pair
♣2,♥A,♠K,♦8,♥3 | Pair
♣2,♥A,♠K,♦8,♣A | Pair
♣2,♥A,♠K,♦8,♣A | Three Of A Kind
♣2,♥A,♠K,♦8,♠Q | Pair
♣2,♥A,♠K,♦8,♠Q | Three Of A Kind
♣2,♥A,♠K,♦8,♠K | Pair
♣2,♥A,♠K,♦8,♠K | Three Of A Kind
♣2,♥A,♠K,♦8,♦Q | Pair
♣2,♥A,♠K,♦8,♦Q | Three Of A Kind
♣2,♥A,♠K,♦8,♣A | Pair
♣2,♥A,♠K,♦8,♣A | Three Of A Kind
♣2,♥A,♠K,♦8,♠8 | Pair
♣2,♥A,♠K,♦8,♠8 | Pair
♣2,♥A,♠K,♥7,♥3 | Pair
♣2,♥A,♠K,♥7,♣A | Pair
♣2,♥A,♠K,♥7,♣A | Three Of A Kind
♣2,♥A,♠K,♥7,♠Q | Pair
♣2,♥A,♠K,♥7,♠Q | Three Of A Kind
♣2,♥A,♠K,♥7,♠K | Pair
♣2,♥A,♠K,♥7,♠K | Three Of A Kind
♣2,♥A,♠K,♥7,♦Q | Pair
♣2,♥A,♠K,♥7,♦Q | Three Of A Kind
♣2,♥A,♠K,♥7,♣A | Pair
♣2,♥A,♠K,♥7,♣A | Three Of A Kind
♣2,♥A,♠K,♥7,♠8 | Pair
♣2,♥A,♠K,♥3,♣A | Pair
♣2,♥A,♠K,♥3,♣A | Three Of A Kind
♣2,♥A,♠K,♥3,♠Q | Pair
♣2,♥A,♠K,♥3,♠Q | Three Of A Kind
♣2,♥A,♠K,♥3,♠K | Pair
♣2,♥A,♠K,♥3,♠K | Three Of A Kind
♣2,♥A,♠K,♥3,♦Q | Pair
♣2,♥A,♠K,♥3,♦Q | Three Of A Kind
♣2,♥A,♠K,♥3,♣A | Pair
♣2,♥A,♠K,♥3,♣A | Three Of A Kind
♣2,♥A,♠K,♥3,♠8 | Pair
♣2,♥A,♠K,♣A,♠Q | Pair
♣2,♥A,♠K,♣A,♠Q | Three Of A Kind
♣2,♥A,♠K,♣A,♠Q | Four Of A Kind
♣2,♥A,♠K,♣A,♠K | Pair
♣2,♥A,♠K,♣A,♠K | Three Of A Kind
♣2,♥A,♠K,♣A,♠K | Four Of A Kind
♣2,♥A,♠K,♣A,♦Q | Pair
♣2,♥A,♠K,♣A,♦Q | Three Of A Kind
♣2,♥A,♠K,♣A,♦Q | Four Of A Kind
♣2,♥A,♠K,♣A,♣A | Pair
♣2,♥A,♠K,♣A,♣A | Three Of A Kind
♣2,♥A,♠K,♣A,♣A | Four Of A Kind
♣2,♥A,♠K,♣A,♠8 | Pair
♣2,♥A,♠K,♣A,♠8 | Three Of A Kind
♣2,♥A,♠K,♠Q,♠K | Pair
♣2,♥A,♠K,♠Q,♠K | Three Of A Kind
♣2,♥A,♠K,♠Q,♠K | Four Of A Kind
♣2,♥A,♠K,♠Q,♦Q | Pair
♣2,♥A,♠K,♠Q,♦Q | Three Of A Kind
♣2,♥A,♠K,♠Q,♦Q | Four Of A Kind
♣2,♥A,♠K,♠Q,♣A | Pair
♣2,♥A,♠K,♠Q,♣A | Three Of A Kind
♣2,♥A,♠K,♠Q,♣A | Four Of A Kind
♣2,♥A,♠K,♠Q,♠8 | Pair
♣2,♥A,♠K,♠Q,♠8 | Three Of A Kind
♣2,♥A,♠K,♠K,♦Q | Pair
♣2,♥A,♠K,♠K,♦Q | Three Of A Kind
♣2,♥A,♠K,♠K,♦Q | Four Of A Kind
♣2,♥A,♠K,♠K,♣A | Pair
♣2,♥A,♠K,♠K,♣A | Three Of A Kind
♣2,♥A,♠K,♠K,♣A | Four Of A Kind
♣2,♥A,♠K,♠K,♠8 | Pair
♣2,♥A,♠K,♠K,♠8 | Three Of A Kind
♣2,♥A,♠K,♦Q,♣A | Pair
♣2,♥A,♠K,♦Q,♣A | Three Of A Kind
♣2,♥A,♠K,♦Q,♣A | Four Of A Kind
♣2,♥A,♠K,♦Q,♠8 | Pair
♣2,♥A,♠K,♦Q,♠8 | Three Of A Kind
♣2,♥A,♠K,♣A,♠8 | Pair
♣2,♥A,♠K,♣A,♠8 | Three Of A Kind
♣2,♥A,♦8,♥7,♣A | Pair
♣2,♥A,♦8,♥7,♠Q | Pair
♣2,♥A,♦8,♥7,♠K | Pair
♣2,♥A,♦8,♥7,♦Q | Pair
♣2,♥A,♦8,♥7,♣A | Pair
♣2,♥A,♦8,♥7,♠8 | Pair
♣2,♥A,♦8,♥3,♣A | Pair
♣2,♥A,♦8,♥3,♠Q | Pair
♣2,♥A,♦8,♥3,♠K | Pair
♣2,♥A,♦8,♥3,♦Q | Pair
♣2,♥A,♦8,♥3,♣A | Pair
♣2,♥A,♦8,♥3,♠8 | Pair
♣2,♥A,♦8,♣A,♠Q | Pair
♣2,♥A,♦8,♣A,♠Q | Three Of A Kind
♣2,♥A,♦8,♣A,♠K | Pair
♣2,♥A,♦8,♣A,♠K | Three Of A Kind
♣2,♥A,♦8,♣A,♦Q | Pair
♣2,♥A,♦8,♣A,♦Q | Three Of A Kind
♣2,♥A,♦8,♣A,♣A | Pair
♣2,♥A,♦8,♣A,♣A | Three Of A Kind
♣2,♥A,♦8,♣A,♠8 | Pair
♣2,♥A,♦8,♣A,♠8 | Pair
♣2,♥A,♦8,♠Q,♠K | Pair
♣2,♥A,♦8,♠Q,♠K | Three Of A Kind
♣2,♥A,♦8,♠Q,♦Q | Pair
♣2,♥A,♦8,♠Q,♦Q | Three Of A Kind
♣2,♥A,♦8,♠Q,♣A | Pair
♣2,♥A,♦8,♠Q,♣A | Three Of A Kind
♣2,♥A,♦8,♠Q,♠8 | Pair
♣2,♥A,♦8,♠Q,♠8 | Pair
♣2,♥A,♦8,♠K,♦Q | Pair
♣2,♥A,♦8,♠K,♦Q | Three Of A Kind
♣2,♥A,♦8,♠K,♣A | Pair
♣2,♥A,♦8,♠K,♣A | Three Of A Kind
♣2,♥A,♦8,♠K,♠8 | Pair
♣2,♥A,♦8,♠K,♠8 | Pair
♣2,♥A,♦8,♦Q,♣A | Pair
♣2,♥A,♦8,♦Q,♣A | Three Of A Kind
♣2,♥A,♦8,♦Q,♠8 | Pair
♣2,♥A,♦8,♦Q,♠8 | Pair
♣2,♥A,♦8,♣A,♠8 | Pair
♣2,♥A,♦8,♣A,♠8 | Pair
♣2,♥A,♥7,♥3,♣A | Pair
♣2,♥A,♥7,♥3,♠Q | Pair
♣2,♥A,♥7,♥3,♠K | Pair
♣2,♥A,♥7,♥3,♦Q | Pair
♣2,♥A,♥7,♥3,♣A | Pair
♣2,♥A,♥7,♣A,♠Q | Pair
♣2,♥A,♥7,♣A,♠Q | Three Of A Kind
♣2,♥A,♥7,♣A,♠K | Pair
♣2,♥A,♥7,♣A,♠K | Three Of A Kind
♣2,♥A,♥7,♣A,♦Q | Pair
♣2,♥A,♥7,♣A,♦Q | Three Of A Kind
♣2,♥A,♥7,♣A,♣A | Pair
♣2,♥A,♥7,♣A,♣A | Three Of A Kind
♣2,♥A,♥7,♣A,♠8 | Pair
♣2,♥A,♥7,♠Q,♠K | Pair
♣2,♥A,♥7,♠Q,♠K | Three Of A Kind
♣2,♥A,♥7,♠Q,♦Q | Pair
♣2,♥A,♥7,♠Q,♦Q | Three Of A Kind
♣2,♥A,♥7,♠Q,♣A | Pair
♣2,♥A,♥7,♠Q,♣A | Three Of A Kind
♣2,♥A,♥7,♠Q,♠8 | Pair
♣2,♥A,♥7,♠K,♦Q | Pair
♣2,♥A,♥7,♠K,♦Q | Three Of A Kind
♣2,♥A,♥7,♠K,♣A | Pair
♣2,♥A,♥7,♠K,♣A | Three Of A Kind
♣2,♥A,♥7,♠K,♠8 | Pair
♣2,♥A,♥7,♦Q,♣A | Pair
♣2,♥A,♥7,♦Q,♣A | Three Of A Kind
♣2,♥A,♥7,♦Q,♠8 | Pair
♣2,♥A,♥7,♣A,♠8 | Pair
♣2,♥A,♥3,♣A,♠Q | Pair
♣2,♥A,♥3,♣A,♠Q | Three Of A Kind
♣2,♥A,♥3,♣A,♠K | Pair
♣2,♥A,♥3,♣A,♠K | Three Of A Kind
♣2,♥A,♥3,♣A,♦Q | Pair
♣2,♥A,♥3,♣A,♦Q | Three Of A Kind
♣2,♥A,♥3,♣A,♣A | Pair
♣2,♥A,♥3,♣A,♣A | Three Of A Kind
♣2,♥A,♥3,♣A,♠8 | Pair
♣2,♥A,♥3,♠Q,♠K | Pair
♣2,♥A,♥3,♠Q,♠K | Three Of A Kind
♣2,♥A,♥3,♠Q,♦Q | Pair
♣2,♥A,♥3,♠Q,♦Q | Three Of A Kind
♣2,♥A,♥3,♠Q,♣A | Pair
♣2,♥A,♥3,♠Q,♣A | Three Of A Kind
♣2,♥A,♥3,♠Q,♠8 | Pair
♣2,♥A,♥3,♠K,♦Q | Pair
♣2,♥A,♥3,♠K,♦Q | Three Of A Kind
♣2,♥A,♥3,♠K,♣A | Pair
♣2,♥A,♥3,♠K,♣A | Three Of A Kind
♣2,♥A,♥3,♠K,♠8 | Pair
♣2,♥A,♥3,♦Q,♣A | Pair
♣2,♥A,♥3,♦Q,♣A | Three Of A Kind
♣2,♥A,♥3,♦Q,♠8 | Pair
♣2,♥A,♥3,♣A,♠8 | Pair
♣2,♥A,♣A,♠Q,♠K | Pair
♣2,♥A,♣A,♠Q,♠K | Three Of A Kind
♣2,♥A,♣A,♠Q,♠K | Four Of A Kind
♣2,♥A,♣A,♠Q,♦Q | Pair
♣2,♥A,♣A,♠Q,♦Q | Three Of A Kind
♣2,♥A,♣A,♠Q,♦Q | Four Of A Kind
♣2,♥A,♣A,♠Q,♣A | Pair
♣2,♥A,♣A,♠Q,♣A | Three Of A Kind
♣2,♥A,♣A,♠Q,♣A | Four Of A Kind
♣2,♥A,♣A,♠Q,♠8 | Pair
♣2,♥A,♣A,♠Q,♠8 | Three Of A Kind
♣2,♥A,♣A,♠K,♦Q | Pair
♣2,♥A,♣A,♠K,♦Q | Three Of A Kind
♣2,♥A,♣A,♠K,♦Q | Four Of A Kind
♣2,♥A,♣A,♠K,♣A | Pair
♣2,♥A,♣A,♠K,♣A | Three Of A Kind
♣2,♥A,♣A,♠K,♣A | Four Of A Kind
♣2,♥A,♣A,♠K,♠8 | Pair
♣2,♥A,♣A,♠K,♠8 | Three Of A Kind
♣2,♥A,♣A,♦Q,♣A | Pair
♣2,♥A,♣A,♦Q,♣A | Three Of A Kind
♣2,♥A,♣A,♦Q,♣A | Four Of A Kind
♣2,♥A,♣A,♦Q,♠8 | Pair
♣2,♥A,♣A,♦Q,♠8 | Three Of A Kind
♣2,♥A,♣A,♣A,♠8 | Pair
♣2,♥A,♣A,♣A,♠8 | Three Of A Kind
♣2,♥A,♠Q,♠K,♦Q | Pair
♣2,♥A,♠Q,♠K,♦Q | Three Of A Kind
♣2,♥A,♠Q,♠K,♦Q | Four Of A Kind
♣2,♥A,♠Q,♠K,♣A | Pair
♣2,♥A,♠Q,♠K,♣A | Three Of A Kind
♣2,♥A,♠Q,♠K,♣A | Four Of A Kind
♣2,♥A,♠Q,♠K,♠8 | Pair
♣2,♥A,♠Q,♠K,♠8 | Three Of A Kind
♣2,♥A,♠Q,♦Q,♣A | Pair
♣2,♥A,♠Q,♦Q,♣A | Three Of A Kind
♣2,♥A,♠Q,♦Q,♣A | Four Of A Kind
♣2,♥A,♠Q,♦Q,♠8 | Pair
♣2,♥A,♠Q,♦Q,♠8 | Three Of A Kind
♣2,♥A,♠Q,♣A,♠8 | Pair
♣2,♥A,♠Q,♣A,♠8 | Three Of A Kind
♣2,♥A,♠K,♦Q,♣A | Pair
♣2,♥A,♠K,♦Q,♣A | Three Of A Kind
♣2,♥A,♠K,♦Q,♣A | Four Of A Kind
♣2,♥A,♠K,♦Q,♠8 | Pair
♣2,♥A,♠K,♦Q,♠8 | Three Of A Kind
♣2,♥A,♠K,♣A,♠8 | Pair
♣2,♥A,♠K,♣A,♠8 | Three Of A Kind
♣2,♥A,♦Q,♣A,♠8 | Pair
♣2,♥A,♦Q,♣A,♠8 | Three Of A Kind
♣2,♠10,♠K,♦8,♣A | Pair
♣2,♠10,♠K,♦8,♠Q | Pair
♣2,♠10,♠K,♦8,♠K | Pair
♣2,♠10,♠K,♦8,♦Q | Pair
♣2,♠10,♠K,♦8,♣A | Pair
♣2,♠10,♠K,♦8,♠8 | Pair
♣2,♠10,♠K,♥7,♣A | Pair
♣2,♠10,♠K,♥7,♠Q | Pair
♣2,♠10,♠K,♥7,♠K | Pair
♣2,♠10,♠K,♥7,♦Q | Pair
♣2,♠10,♠K,♥7,♣A | Pair
♣2,♠10,♠K,♥3,♣A | Pair
♣2,♠10,♠K,♥3,♠Q | Pair
