♥A,♠3,♣3,♥J,♥2 | Pair
♥A,♠3,♥2,♣A,♦A | Full House
♥A,♠3,♠T,♦9,♣A | Pair
♥A,♠3,♠T,♦9,♦A | Pair
♥A,♠3,♠T,♠7,♥7 | Pair
♥A,♠3,♠T,♠7,♣A | Pair
♥A,♠3,♠T,♠7,♦A | Pair
♥A,♠3,♠T,♥7,♣A | Pair
♥A,♠3,♠T,♥7,♦A | Pair
♥A,♠3,♠T,♣A,♦A | Full House
♥A,♠3,♦9,♠7,♥7 | Pair
♥A,♠3,♦9,♠7,♣A | Pair
♥A,♠3,♦9,♠7,♦A | Pair
♥A,♠3,♦9,♥7,♣A | Pair
♥A,♠3,♦9,♥7,♦A | Pair
♥A,♠3,♦9,♣A,♦A | Full House
♥A,♠3,♠7,♥7,♣A | Two Pairs
♥A,♠3,♠7,♥7,♦A | Two Pairs
♥A,♠3,♠7,♣A,♦A | Full House
♥A,♠3,♥7,♣A,♦A | Full House
♥A,♣3,♥J,♥2,♣A | Pair
♥A,♣3,♥J,♥2,♦A | Pair
♥A,♣3,♥J,♠T,♣A | Pair
♥A,♣3,♥J,♠T,♦A | Pair
♥A,♣3,♥J,♦9,♣A | Pair
♥A,♣3,♥J,♦9,♦A | Pair
♥A,♣3,♥J,♠7,♥7 | Pair
♥A,♣3,♥J,♠7,♣A | Pair
♥A,♣3,♥J,♠7,♦A | Pair
♥A,♣3,♥J,♥7,♣A | Pair
♥A,♣3,♥J,♥7,♦A | Pair
♥A,♣3,♥J,♣A,♦A | Full House
♥A,♣3,♥2,♠T,♣A | Pair
♥A,♣3,♥2,♠T,♦A | Pair
♥A,♣3,♥2,♦9,♣A | Pair
♥A,♣3,♥2,♦9,♦A | Pair
♥A,♣3,♥2,♠7,♥7 | Pair
♥A,♣3,♥2,♠7,♣A | Pair
♥A,♣3,♥2,♠7,♦A | Pair
♥A,♣3,♥2,♥7,♣A | Pair
♥A,♣3,♥2,♥7,♦A | Pair
♥A,♣3,♥2,♣A,♦A | Full House
♥A,♣3,♠T,♦9,♣A | Pair
♥A,♣3,♠T,♦9,♦A | Pair
♥A,♣3,♠T,♠7,♥7 | Pair
♥A,♣3,♠T,♠7,♣A | Pair
♥A,♣3,♠T,♠7,♦A | Pair
♥A,♣3,♠T,♥7,♣A | Pair
♥A,♣3,♠T,♥7,♦A | Pair
♥A,♣3,♠T,♣A,♦A | Full House
♥A,♣3,♦9,♠7,♥7 | Pair
♥A,♣3,♦9,♠7,♣A | Pair
♥A,♣3,♦9,♠7,♦A | Pair
♥A,♣3,♦9,♥7,♣A | Pair
♥A,♣3,♦9,♥7,♦A | Pair
♥A,♣3,♦9,♣A,♦A | Full House
♥A,♣3,♠7,♥7,♣A | Two Pairs
♥A,♣3,♠7,♥7,♦A | Two Pairs
♥A,♣3,♠7,♣A,♦A | Full House
♥A,♣3,♥7,♣A,♦A | Full House
♥A,♥J,♥2,♠T,♣A | Pair
♥A,♥J,♥2,♠T,♦A | Pair
♥A,♥J,♥2,♦9,♣A | Pair
♥A,♥J,♥2,♦9,♦A | Pair
♥A,♥J,♥2,♠7,♥7 | Pair
♥A,♥J,♥2,♠7,♣A | Pair
♥A,♥J,♥2,♠7,♦A | Pair
♥A,♥J,♥2,♥7,♣A | Pair
♥A,♥J,♥2,♥7,♦A | Pair
♥A,♥J,♥2,♣A,♦A | Full House
♥A,♥J,♠T,♦9,♣A | Pair
♥A,♥J,♠T,♦9,♦A | Pair
♥A,♥J,♠T,♠7,♥7 | Pair
♥A,♥J,♠T,♠7,♣A | Pair
♥A,♥J,♠T,♠7,♦A | Pair
♥A,♥J,♠T,♥7,♣A | Pair
♥A,♥J,♠T,♥7,♦A | Pair
♥A,♥J,♠T,♣A,♦A | Full House
♥A,♥J,♦9,♠7,♥7 | Pair
♥A,♥J,♦9,♠7,♣A | Pair
♥A,♥J,♦9,♠7,♦A | Pair
♥A,♥J,♦9,♥7,♣A | Pair
♥A,♥J,♦9,♥7,♦A | Pair
♥A,♥J,♦9,♣A,♦A | Full House
♥A,♥J,♠7,♥7,♣A | Two Pairs
♥A,♥J,♠7,♥7,♦A | Two Pairs
♥A,♥J,♠7,♣A,♦A | Full House
♥A,♥J,♥7,♣A,♦A | Full House
♥A,♥2,♠T,♦9,♣A | Pair
♥A,♥2,♠T,♦9,♦A | Pair
♥A,♥2,♠T,♠7,♥7 | Pair
♥A,♥2,♠T,♠7,♣A | Pair
♥A,♥2,♠T,♠7,♦A | Pair
♥A,♥2,♠T,♥7,♣A | Pair
♥A,♥2,♠T,♥7,♦A | Pair
♥A,♥2,♠T,♣A,♦A | Full House
♥A,♥2,♦9,♠7,♥7 | Pair
♥A,♥2,♦9,♠7,♣A | Pair
♥A,♥2,♦9,♠7,♦A | Pair
♥A,♥2,♦9,♥7,♣A | Pair
♥A,♥2,♦9,♥7,♦A | Pair
♥A,♥2,♦9,♣A,♦A | Full House
♥A,♥2,♠7,♥7,♣A | Two Pairs
♥A,♥2,♠7,♥7,♦A | Two Pairs
♥A,♥2,♠7,♣A,♦A | Full House
♥A,♥2,♥7,♣A,♦A | Full House
♥A,♠T,♦9,♠7,♥7 | Pair
♥A,♠T,♦9,♠7,♣A | Pair
♥A,♠T,♦9,♠7,♦A | Pair
♥A,♠T,♦9,♥7,♣A | Pair
♥A,♠T,♦9,♥7,♦A | Pair
♥A,♠T,♦9,♣A,♦A | Full House
♥A,♠T,♠7,♥7,♣A | Two Pairs
♥A,♠T,♠7,♥7,♦A | Two Pairs
♥A,♠T,♠7,♣A,♦A | Full House
♥A,♠T,♥7,♣A,♦A | Full House
♥A,♦9,♠7,♥7,♣A | Two Pairs
♥A,♦9,♠7,♥7,♦A | Two Pairs
♥A,♦9,♠7,♣A,♦A | Full House
♥A,♦9,♥7,♣A,♦A | Full House
♥A,♠7,♥7,♣A,♦A | Full House
♠3,♣3,♥J,♥2,♠T | Pair
♠3,♣3,♥J,♥2,♦9 | Pair
♠3,♣3,♥J,♥2,♠7 | Pair
♠3,♣3,♥J,♥2,♥7 | Pair
♠3,♣3,♥J,♥2,♣A | Pair
♠3,♣3,♥J,♥2,♦A | Pair
♠3,♣3,♥J,♠T,♦9 | Pair
♠3,♣3,♥J,♠T,♠7 | Pair
♠3,♣3,♥J,♠T,♥7 | Pair
♠3,♣3,♥J,♠T,♣A | Pair
♠3,♣3,♥J,♠T,♦A | Pair
♠3,♣3,♥J,♦9,♠7 | Pair
♠3,♣3,♥J,♦9,♥7 | Pair
♠3,♣3,♥J,♦9,♣A | Pair
♠3,♣3,♥J,♦9,♦A | Pair
♠3,♣3,♥J,♠7,♥7 | Two Pairs
♠3,♣3,♥J,♠7,♣A | Pair
♠3,♣3,♥J,♠7,♦A | Pair
♠3,♣3,♥J,♥7,♣A | Pair
♠3,♣3,♥J,♥7,♦A | Pair
♠3,♣3,♥J,♣A,♦A | Two Pairs
♠3,♣3,♥2,♠T,♦9 | Pair
♠3,♣3,♥2,♠T,♠7 | Pair
♠3,♣3,♥2,♠T,♥7 | Pair
♠3,♣3,♥2,♠T,♣A | Pair
♠3,♣3,♥2,♠T,♦A | Pair
♠3,♣3,♥2,♦9,♠7 | Pair
♠3,♣3,♥2,♦9,♥7 | Pair
♠3,♣3,♥2,♦9,♣A | Pair
♠3,♣3,♥2,♦9,♦A | Pair
♠3,♣3,♥2,♠7,♥7 | Two Pairs
♠3,♣3,♥2,♠7,♣A | Pair
♠3,♣3,♥2,♠7,♦A | Pair
♠3,♣3,♥2,♥7,♣A | Pair
♠3,♣3,♥2,♥7,♦A | Pair
♠3,♣3,♥2,♣A,♦A | Two Pairs
♠3,♣3,♠T,♦9,♠7 | Pair
♠3,♣3,♠T,♦9,♥7 | Pair
♠3,♣3,♠T,♦9,♣A | Pair
♠3,♣3,♠T,♦9,♦A | Pair
♠3,♣3,♠T,♠7,♥7 | Two Pairs
♠3,♣3,♠T,♠7,♣A | Pair
♠3,♣3,♠T,♠7,♦A | Pair
♠3,♣3,♠T,♥7,♣A | Pair
♠3,♣3,♠T,♥7,♦A | Pair
♠3,♣3,♠T,♣A,♦A | Two Pairs
♠3,♣3,♦9,♠7,♥7 | Two Pairs
♠3,♣3,♦9,♠7,♣A | Pair
♠3,♣3,♦9,♠7,♦A | Pair
♠3,♣3,♦9,♥7,♣A | Pair
♠3,♣3,♦9,♥7,♦A | Pair
♠3,♣3,♦9,♣A,♦A | Two Pairs
♠3,♣3,♠7,♥7,♣A | Two Pairs
♠3,♣3,♠7,♥7,♦A | Two Pairs
♠3,♣3,♠7,♣A,♦A | Two Pairs
♠3,♣3,♥7,♣A,♦A | Two Pairs
♠3,♥J,♥2,♠7,♥7 | Pair
♠3,♥J,♥2,♣A,♦A | Pair
♠3,♥J,♠T,♠7,♥7 | Pair
♠3,♥J,♠T,♣A,♦A | Pair
♠3,♥J,♦9,♠7,♥7 | Pair
♠3,♥J,♦9,♣A,♦A | Pair
♠3,♥J,♠7,♥7,♣A | Pair
♠3,♥J,♠7,♥7,♦A | Pair
♠3,♥J,♠7,♣A,♦A | Pair
♠3,♥J,♥7,♣A,♦A | Pair
♠3,♥2,♠T,♠7,♥7 | Pair
♠3,♥2,♠T,♣A,♦A | Pair
♠3,♥2,♦9,♠7,♥7 | Pair
♠3,♥2,♦9,♣A,♦A | Pair
♠3,♥2,♠7,♥7,♣A | Pair
♠3,♥2,♠7,♥7,♦A | Pair
♠3,♥2,♠7,♣A,♦A | Pair
♠3,♥2,♥7,♣A,♦A | Pair
♠3,♠T,♦9,♠7,♥7 | Pair
♠3,♠T,♦9,♣A,♦A | Pair
♠3,♠T,♠7,♥7,♣A | Pair
♠3,♠T,♠7,♥7,♦A | Pair
♠3,♠T,♠7,♣A,♦A | Pair
♠3,♠T,♥7,♣A,♦A | Pair
♠3,♦9,♠7,♥7,♣A | Pair
♠3,♦9,♠7,♥7,♦A | Pair
♠3,♦9,♠7,♣A,♦A | Pair
♠3,♦9,♥7,♣A,♦A | Pair
♠3,♠7,♥7,♣A,♦A | Two Pairs
♣3,♥J,♥2,♠7,♥7 | Pair
♣3,♥J,♥2,♣A,♦A | Pair
♣3,♥J,♠T,♠7,♥7 | Pair
♣3,♥J,♠T,♣A,♦A | Pair
♣3,♥J,♦9,♠7,♥7 | Pair
♣3,♥J,♦9,♣A,♦A | Pair
♣3,♥J,♠7,♥7,♣A | Pair
♣3,♥J,♠7,♥7,♦A | Pair
♣3,♥J,♠7,♣A,♦A | Pair
♣3,♥J,♥7,♣A,♦A | Pair
♣3,♥2,♠T,♠7,♥7 | Pair
♣3,♥2,♠T,♣A,♦A | Pair
♣3,♥2,♦9,♠7,♥7 | Pair
♣3,♥2,♦9,♣A,♦A | Pair
♣3,♥2,♠7,♥7,♣A | Pair
♣3,♥2,♠7,♥7,♦A | Pair
♣3,♥2,♠7,♣A,♦A | Pair
♣3,♥2,♥7,♣A,♦A | Pair
♣3,♠T,♦9,♠7,♥7 | Pair
♣3,♠T,♦9,♣A,♦A | Pair
♣3,♠T,♠7,♥7,♣A | Pair
♣3,♠T,♠7,♥7,♦A | Pair
♣3,♠T,♠7,♣A,♦A | Pair
♣3,♠T,♥7,♣A,♦A | Pair
♣3,♦9,♠7,♥7,♣A | Pair
♣3,♦9,♠7,♥7,♦A | Pair
♣3,♦9,♠7,♣A,♦A | Pair
♣3,♦9,♥7,♣A,♦A | Pair
♣3,♠7,♥7,♣A,♦A | Two Pairs
♥J,♥2,♠T,♠7,♥7 | Pair
♥J,♥2,♠T,♣A,♦A | Pair
♥J,♥2,♦9,♠7,♥7 | Pair
♥J,♥2,♦9,♣A,♦A | Pair
♥J,♥2,♠7,♥7,♣A | Pair
♥J,♥2,♠7,♥7,♦A | Pair
♥J,♥2,♠7,♣A,♦A | Pair
♥J,♥2,♥7,♣A,♦A | Pair
♥J,♠T,♦9,♠7,♥7 | Pair
♥J,♠T,♦9,♣A,♦A | Pair
♥J,♠T,♠7,♥7,♣A | Pair
♥J,♠T,♠7,♥7,♦A | Pair
♥J,♠T,♠7,♣A,♦A | Pair
♥J,♠T,♥7,♣A,♦A | Pair
♥J,♦9,♠7,♥7,♣A | Pair
♥J,♦9,♠7,♥7,♦A | Pair
♥J,♦9,♠7,♣A,♦A | Pair
♥J,♦9,♥7,♣A,♦A | Pair
♥J,♠7,♥7,♣A,♦A | Two Pairs
♥2,♠T,♦9,♠7,♥7 | Pair
♥2,♠T,♦9,♣A,♦A | Pair
♥2,♠T,♠7,♥7,♣A | Pair
♥2,♠T,♠7,♥7,♦A | Pair
♥2,♠T,♠7,♣A,♦A | Pair
♥2,♠T,♥7,♣A,♦A | Pair
♥2,♦9,♠7,♥7,♣A | Pair
♥2,♦9,♠7,♥7,♦A | Pair
♥2,♦9,♠7,♣A,♦A | Pair
♥2,♦9,♥7,♣A,♦A | Pair
♥2,♠7,♥7,♣A,♦A | Two Pairs
♠T,♦9,♠7,♥7,♣A | Pair
♠T,♦9,♠7,♥7,♦A | Pair
♠T,♦9,♠7,♣A,♦A | Pair
♠T,♦9,♥7,♣A,♦A | Pair
♠T,♠7,♥7,♣A,♦A | Two Pairs
♦9,♠7,♥7,♣A,♦A | Two Pairs
