♠5, ♣J, ♣2, ♣6, ♦2 | pair
♠5, ♣2, ♥K, ♠10, ♥2 | pair
♠5, ♣2, ♥K, ♠4, ♥2 | pair
♠5, ♣2, ♦2, ♦3, ♣9 | pair
♠5, ♣2, ♦2, ♦3, ♠9 | pair
♠5, ♣2, ♦2, ♦3, ♠K | pair
♠5, ♣2, ♦2, ♦3, ♠10 | pair
♠5, ♣2, ♦2, ♦3, ♠4 | pair
♠5, ♣2, ♦2, ♦3, ♥2 | three of a kind
♠5, ♣2, ♦2, ♣9, ♠9 | two pairs
♠5, ♣2, ♦2, ♣9, ♠K | pair
♠5, ♣2, ♦2, ♣9, ♠10 | pair
♠5, ♣2, ♦2, ♣9, ♠4 | pair
♠5, ♣2, ♦2, ♣9, ♥2 | three of a kind
♠5, ♣2, ♦2, ♠9, ♠K | pair
♠5, ♣2, ♦2, ♠9, ♠10 | pair
♠5, ♣2, ♦2, ♠9, ♠4 | pair
♠5, ♣2, ♦2, ♠9, ♥2 | three of a kind
♠5, ♣2, ♦2, ♠K, ♠10 | pair
♠5, ♣2, ♦2, ♠K, ♠4 | pair
♠5, ♣2, ♦2, ♠K, ♥2 | three of a kind
♠5, ♣2, ♦2, ♠10, ♠4 | pair
♠5, ♣2, ♦2, ♠10, ♥2 | three of a kind
♠5, ♣2, ♦2, ♠4, ♥2 | three of a kind
♠5, ♣2, ♦3, ♣9, ♠9 | pair
♠5, ♣2, ♦3, ♣9, ♥2 | pair
♠5, ♣2, ♦3, ♠9, ♥2 | pair
♠5, ♣2, ♦3, ♠K, ♥2 | pair
♠5, ♣2, ♦3, ♠10, ♥2 | pair
♠5, ♣2, ♦3, ♠4, ♥2 | pair
♠5, ♣2, ♣9, ♠9, ♠K | pair
♠5, ♣2, ♣9, ♠9, ♠10 | pair
♠5, ♣2, ♣9, ♠9, ♠4 | pair
♠5, ♣2, ♣9, ♠9, ♥2 | two pairs
♠5, ♣2, ♣9, ♠K, ♥2 | pair
♠5, ♣2, ♣9, ♠10, ♥2 | pair
♠5, ♣2, ♣9, ♠4, ♥2 | pair
♠5, ♣2, ♠9, ♠K, ♥2 | pair
♠5, ♣2, ♠9, ♠10, ♥2 | pair
♠5, ♣2, ♠9, ♠4, ♥2 | pair
♠5, ♣2, ♠K, ♠10, ♥2 | pair
♠5, ♣2, ♠K, ♠4, ♥2 | pair
♠5, ♣2, ♠10, ♠4, ♥2 | pair
♠5, ♣6, ♥K, ♦2, ♠K | pair
♠5, ♣6, ♥K, ♦2, ♥2 | pair
♠5, ♣6, ♥K, ♦3, ♠K | pair
♠5, ♣6, ♥K, ♣9, ♠9 | pair
♠5, ♣6, ♥K, ♣9, ♠K | pair
♠5, ♣6, ♥K, ♠9, ♠K | pair
♠5, ♣6, ♥K, ♠K, ♠10 | pair
♠5, ♣6, ♥K, ♠K, ♠4 | pair
♠5, ♣6, ♥K, ♠K, ♥2 | pair
♠5, ♣6, ♦2, ♦3, ♠4 | straight
♠5, ♣6, ♦2, ♦3, ♥2 | pair
♠5, ♣6, ♦2, ♣9, ♠9 | pair
♠5, ♣6, ♦2, ♣9, ♥2 | pair
♠5, ♣6, ♦2, ♠9, ♥2 | pair
♠5, ♣6, ♦2, ♠K, ♥2 | pair
♠5, ♣6, ♦2, ♠10, ♥2 | pair
♠5, ♣6, ♦2, ♠4, ♥2 | pair
♠5, ♣6, ♦3, ♣9, ♠9 | pair
♠5, ♣6, ♦3, ♠4, ♥2 | straight
♠5, ♣6, ♣9, ♠9, ♠K | pair
♠5, ♣6, ♣9, ♠9, ♠10 | pair
♠5, ♣6, ♣9, ♠9, ♠4 | pair
♠5, ♣6, ♣9, ♠9, ♥2 | pair
♠5, ♥K, ♦2, ♦3, ♠K | pair
♠5, ♥K, ♦2, ♦3, ♥2 | pair
♠5, ♥K, ♦2, ♣9, ♠9 | pair
♠5, ♥K, ♦2, ♣9, ♠K | pair
♠5, ♥K, ♦2, ♣9, ♥2 | pair
♠5, ♥K, ♦2, ♠9, ♠K | pair
♠5, ♥K, ♦2, ♠9, ♥2 | pair
♠5, ♥K, ♦2, ♠K, ♠10 | pair
♠5, ♥K, ♦2, ♠K, ♠4 | pair
♠5, ♥K, ♦2, ♠K, ♥2 | two pairs
♠5, ♥K, ♦2, ♠10, ♥2 | pair
♠5, ♥K, ♦2, ♠4, ♥2 | pair
♠5, ♥K, ♦3, ♣9, ♠9 | pair
♠5, ♥K, ♦3, ♣9, ♠K | pair
♠5, ♥K, ♦3, ♠9, ♠K | pair
♠5, ♥K, ♦3, ♠K, ♠10 | pair
♠5, ♥K, ♦3, ♠K, ♠4 | pair
♠5, ♥K, ♦3, ♠K, ♥2 | pair
♠5, ♥K, ♣9, ♠9, ♠K | two pairs
♠5, ♥K, ♣9, ♠9, ♠10 | pair
♠5, ♥K, ♣9, ♠9, ♠4 | pair
♠5, ♥K, ♣9, ♠9, ♥2 | pair
♠5, ♥K, ♣9, ♠K, ♠10 | pair
♠5, ♥K, ♣9, ♠K, ♠4 | pair
♠5, ♥K, ♣9, ♠K, ♥2 | pair
♠5, ♥K, ♠9, ♠K, ♠10 | pair
♠5, ♥K, ♠9, ♠K, ♠4 | pair
♠5, ♥K, ♠9, ♠K, ♥2 | pair
♠5, ♥K, ♠K, ♠10, ♠4 | pair
♠5, ♥K, ♠K, ♠10, ♥2 | pair
♠5, ♥K, ♠K, ♠4, ♥2 | pair
♠5, ♦2, ♦3, ♣9, ♠9 | pair
♠5, ♦2, ♦3, ♣9, ♥2 | pair
♠5, ♦2, ♦3, ♠9, ♥2 | pair
♠5, ♦2, ♦3, ♠K, ♥2 | pair
♠5, ♦2, ♦3, ♠10, ♥2 | pair
♠5, ♦2, ♦3, ♠4, ♥2 | pair
♠5, ♦2, ♣9, ♠9, ♠K | pair
♠5, ♦2, ♣9, ♠9, ♠10 | pair
♠5, ♦2, ♣9, ♠9, ♠4 | pair
♠5, ♦2, ♣9, ♠9, ♥2 | two pairs
♠5, ♦2, ♣9, ♠K, ♥2 | pair
♠5, ♦2, ♣9, ♠10, ♥2 | pair
♠5, ♦2, ♣9, ♠4, ♥2 | pair
♠5, ♦2, ♠9, ♠K, ♥2 | pair
♠5, ♦2, ♠9, ♠10, ♥2 | pair
♠5, ♦2, ♠9, ♠4, ♥2 | pair
♠5, ♦2, ♠K, ♠10, ♥2 | pair
♠5, ♦2, ♠K, ♠4, ♥2 | pair
♠5, ♦2, ♠10, ♠4, ♥2 | pair
♠5, ♦3, ♣9, ♠9, ♠K | pair
♠5, ♦3, ♣9, ♠9, ♠10 | pair
♠5, ♦3, ♣9, ♠9, ♠4 | pair
♠5, ♦3, ♣9, ♠9, ♥2 | pair
♠5, ♣9, ♠9, ♠K, ♠10 | pair
♠5, ♣9, ♠9, ♠K, ♠4 | pair
♠5, ♣9, ♠9, ♠K, ♥2 | pair
♠5, ♣9, ♠9, ♠10, ♠4 | pair
♠5, ♣9, ♠9, ♠10, ♥2 | pair
♠5, ♣9, ♠9, ♠4, ♥2 | pair
♠5, ♠9, ♠K, ♠10, ♠4 | flush
♣J, ♣2, ♣6, ♥K, ♦2 | pair
♣J, ♣2, ♣6, ♥K, ♠K | pair
♣J, ♣2, ♣6, ♥K, ♥2 | pair
♣J, ♣2, ♣6, ♦2, ♦3 | pair
♣J, ♣2, ♣6, ♦2, ♣9 | pair
♣J, ♣2, ♣6, ♦2, ♠9 | pair
♣J, ♣2, ♣6, ♦2, ♠K | pair
♣J, ♣2, ♣6, ♦2, ♠10 | pair
♣J, ♣2, ♣6, ♦2, ♠4 | pair
♣J, ♣2, ♣6, ♦2, ♥2 | three of a kind
♣J, ♣2, ♣6, ♦3, ♥2 | pair
♣J, ♣2, ♣6, ♣9, ♠9 | pair
♣J, ♣2, ♣6, ♣9, ♥2 | pair
♣J, ♣2, ♣6, ♠9, ♥2 | pair
♣J, ♣2, ♣6, ♠K, ♥2 | pair
♣J, ♣2, ♣6, ♠10, ♥2 | pair
♣J, ♣2, ♣6, ♠4, ♥2 | pair
♣J, ♣2, ♥K, ♦2, ♦3 | pair
♣J, ♣2, ♥K, ♦2, ♣9 | pair
♣J, ♣2, ♥K, ♦2, ♠9 | pair
♣J, ♣2, ♥K, ♦2, ♠K | two pairs
♣J, ♣2, ♥K, ♦2, ♠10 | pair
♣J, ♣2, ♥K, ♦2, ♠4 | pair
♣J, ♣2, ♥K, ♦2, ♥2 | three of a kind
♣J, ♣2, ♥K, ♦3, ♠K | pair
♣J, ♣2, ♥K, ♦3, ♥2 | pair
♣J, ♣2, ♥K, ♣9, ♠9 | pair
♣J, ♣2, ♥K, ♣9, ♠K | pair
♣J, ♣2, ♥K, ♣9, ♥2 | pair
♣J, ♣2, ♥K, ♠9, ♠K | pair
♣J, ♣2, ♥K, ♠9, ♥2 | pair
♣J, ♣2, ♥K, ♠K, ♠10 | pair
♣J, ♣2, ♥K, ♠K, ♠4 | pair
♣J, ♣2, ♥K, ♠K, ♥2 | two pairs
♣J, ♣2, ♥K, ♠10, ♥2 | pair
♣J, ♣2, ♥K, ♠4, ♥2 | pair
♣J, ♣2, ♦2, ♦3, ♣9 | pair
♣J, ♣2, ♦2, ♦3, ♠9 | pair
♣J, ♣2, ♦2, ♦3, ♠K | pair
♣J, ♣2, ♦2, ♦3, ♠10 | pair
♣J, ♣2, ♦2, ♦3, ♠4 | pair
♣J, ♣2, ♦2, ♦3, ♥2 | three of a kind
♣J, ♣2, ♦2, ♣9, ♠9 | two pairs
♣J, ♣2, ♦2, ♣9, ♠K | pair
♣J, ♣2, ♦2, ♣9, ♠10 | pair
♣J, ♣2, ♦2, ♣9, ♠4 | pair
♣J, ♣2, ♦2, ♣9, ♥2 | three of a kind
♣J, ♣2, ♦2, ♠9, ♠K | pair
♣J, ♣2, ♦2, ♠9, ♠10 | pair
♣J, ♣2, ♦2, ♠9, ♠4 | pair
♣J, ♣2, ♦2, ♠9, ♥2 | three of a kind
♣J, ♣2, ♦2, ♠K, ♠10 | pair
♣J, ♣2, ♦2, ♠K, ♠4 | pair
♣J, ♣2, ♦2, ♠K, ♥2 | three of a kind
♣J, ♣2, ♦2, ♠10, ♠4 | pair
♣J, ♣2, ♦2, ♠10, ♥2 | three of a kind
♣J, ♣2, ♦2, ♠4, ♥2 | three of a kind
♣J, ♣2, ♦3, ♣9, ♠9 | pair
♣J, ♣2, ♦3, ♣9, ♥2 | pair
♣J, ♣2, ♦3, ♠9, ♥2 | pair
♣J, ♣2, ♦3, ♠K, ♥2 | pair
♣J, ♣2, ♦3, ♠10, ♥2 | pair
♣J, ♣2, ♦3, ♠4, ♥2 | pair
♣J, ♣2, ♣9, ♠9, ♠K | pair
♣J, ♣2, ♣9, ♠9, ♠10 | pair
♣J, ♣2, ♣9, ♠9, ♠4 | pair
♣J, ♣2, ♣9, ♠9, ♥2 | two pairs
♣J, ♣2, ♣9, ♠K, ♥2 | pair
♣J, ♣2, ♣9, ♠10, ♥2 | pair
♣J, ♣2, ♣9, ♠4, ♥2 | pair
♣J, ♣2, ♠9, ♠K, ♥2 | pair
♣J, ♣2, ♠9, ♠10, ♥2 | pair
♣J, ♣2, ♠9, ♠4, ♥2 | pair
♣J, ♣2, ♠K, ♠10, ♥2 | pair
♣J, ♣2, ♠K, ♠4, ♥2 | pair
♣J, ♣2, ♠10, ♠4, ♥2 | pair
♣J, ♣6, ♥K, ♦2, ♠K | pair
♣J, ♣6, ♥K, ♦2, ♥2 | pair
♣J, ♣6, ♥K, ♦3, ♠K | pair
♣J, ♣6, ♥K, ♣9, ♠9 | pair
♣J, ♣6, ♥K, ♣9, ♠K | pair
♣J, ♣6, ♥K, ♠9, ♠K | pair
♣J, ♣6, ♥K, ♠K, ♠10 | pair
♣J, ♣6, ♥K, ♠K, ♠4 | pair
♣J, ♣6, ♥K, ♠K, ♥2 | pair
♣J, ♣6, ♦2, ♦3, ♥2 | pair
♣J, ♣6, ♦2, ♣9, ♠9 | pair
♣J, ♣6, ♦2, ♣9, ♥2 | pair
♣J, ♣6, ♦2, ♠9, ♥2 | pair
♣J, ♣6, ♦2, ♠K, ♥2 | pair
♣J, ♣6, ♦2, ♠10, ♥2 | pair
♣J, ♣6, ♦2, ♠4, ♥2 | pair
♣J, ♣6, ♦3, ♣9, ♠9 | pair
♣J, ♣6, ♣9, ♠9, ♠K | pair
♣J, ♣6, ♣9, ♠9, ♠10 | pair
♣J, ♣6, ♣9, ♠9, ♠4 | pair
♣J, ♣6, ♣9, ♠9, ♥2 | pair
♣J, ♥K, ♦2, ♦3, ♠K | pair
♣J, ♥K, ♦2, ♦3, ♥2 | pair
♣J, ♥K, ♦2, ♣9, ♠9 | pair
♣J, ♥K, ♦2, ♣9, ♠K | pair
♣J, ♥K, ♦2, ♣9, ♥2 | pair
♣J, ♥K, ♦2, ♠9, ♠K | pair
♣J, ♥K, ♦2, ♠9, ♥2 | pair
♣J, ♥K, ♦2, ♠K, ♠10 | pair
♣J, ♥K, ♦2, ♠K, ♠4 | pair
♣J, ♥K, ♦2, ♠K, ♥2 | two pairs
♣J, ♥K, ♦2, ♠10, ♥2 | pair
♣J, ♥K, ♦2, ♠4, ♥2 | pair
♣J, ♥K, ♦3, ♣9, ♠9 | pair
♣J, ♥K, ♦3, ♣9, ♠K | pair
♣J, ♥K, ♦3, ♠9, ♠K | pair
♣J, ♥K, ♦3, ♠K, ♠10 | pair
♣J, ♥K, ♦3, ♠K, ♠4 | pair
♣J, ♥K, ♦3, ♠K, ♥2 | pair
♣J, ♥K, ♣9, ♠9, ♠K | two pairs
♣J, ♥K, ♣9, ♠9, ♠10 | pair
♣J, ♥K, ♣9, ♠9, ♠4 | pair
♣J, ♥K, ♣9, ♠9, ♥2 | pair
♣J, ♥K, ♣9, ♠K, ♠10 | pair
♣J, ♥K, ♣9, ♠K, ♠4 | pair
♣J, ♥K, ♣9, ♠K, ♥2 | pair
♣J, ♥K, ♠9, ♠K, ♠10 | pair
♣J, ♥K, ♠9, ♠K, ♠4 | pair
♣J, ♥K, ♠9, ♠K, ♥2 | pair
♣J, ♥K, ♠K, ♠10, ♠4 | pair
♣J, ♥K, ♠K, ♠10, ♥2 | pair
♣J, ♥K, ♠K, ♠4, ♥2 | pair
♣J, ♦2, ♦3, ♣9, ♠9 | pair
♣J, ♦2, ♦3, ♣9, ♥2 | pair
♣J, ♦2, ♦3, ♠9, ♥2 | pair
♣J, ♦2, ♦3, ♠K, ♥2 | pair
♣J, ♦2, ♦3, ♠10, ♥2 | pair
♣J, ♦2, ♦3, ♠4, ♥2 | pair
♣J, ♦2, ♣9, ♠9, ♠K | pair
♣J, ♦2, ♣9, ♠9, ♠10 | pair
♣J, ♦2, ♣9, ♠9, ♠4 | pair
♣J, ♦2, ♣9, ♠9, ♥2 | two pairs
♣J, ♦2, ♣9, ♠K, ♥2 | pair
♣J, ♦2, ♣9, ♠10, ♥2 | pair
♣J, ♦2, ♣9, ♠4, ♥2 | pair
♣J, ♦2, ♠9, ♠K, ♥2 | pair
♣J, ♦2, ♠9, ♠10, ♥2 | pair
♣J, ♦2, ♠9, ♠4, ♥2 | pair
♣J, ♦2, ♠K, ♠10, ♥2 | pair
♣J, ♦2, ♠K, ♠4, ♥2 | pair
♣J, ♦2, ♠10, ♠4, ♥2 | pair
♣J, ♦3, ♣9, ♠9, ♠K | pair
♣J, ♦3, ♣9, ♠9, ♠10 | pair
♣J, ♦3, ♣9, ♠9, ♠4 | pair
♣J, ♦3, ♣9, ♠9, ♥2 | pair
♣J, ♣9, ♠9, ♠K, ♠10 | pair
♣J, ♣9, ♠9, ♠K, ♠4 | pair
♣J, ♣9, ♠9, ♠K, ♥2 | pair
♣J, ♣9, ♠9, ♠10, ♠4 | pair
♣J, ♣9, ♠9, ♠10, ♥2 | pair
♣J, ♣9, ♠9, ♠4, ♥2 | pair
♣2, ♣6, ♥K, ♦2, ♦3 | pair
♣2, ♣6, ♥K, ♦2, ♣9 | pair
♣2, ♣6, ♥K, ♦2, ♠9 | pair
♣2, ♣6, ♥K, ♦2, ♠K | two pairs
♣2, ♣6, ♥K, ♦2, ♠10 | pair
♣2, ♣6, ♥K, ♦2, ♠4 | pair
♣2, ♣6, ♥K, ♦2, ♥2 | three of a kind
♣2, ♣6, ♥K, ♦3, ♠K | pair
♣2, ♣6, ♥K, ♦3, ♥2 | pair
♣2, ♣6, ♥K, ♣9, ♠9 | pair
♣2, ♣6, ♥K, ♣9, ♠K | pair
♣2, ♣6, ♥K, ♣9, ♥2 | pair
♣2, ♣6, ♥K, ♠9, ♠K | pair
♣2, ♣6, ♥K, ♠9, ♥2 | pair
♣2, ♣6, ♥K, ♠K, ♠10 | pair
♣2, ♣6, ♥K, ♠K, ♠4 | pair
♣2, ♣6, ♥K, ♠K, ♥2 | two pairs
♣2, ♣6, ♥K, ♠10, ♥2 | pair
♣2, ♣6, ♥K, ♠4, ♥2 | pair
♣2, ♣6, ♦2, ♦3, ♣9 | pair
♣2, ♣6, ♦2, ♦3, ♠9 | pair
♣2, ♣6, ♦2, ♦3, ♠K | pair
♣2, ♣6, ♦2, ♦3, ♠10 | pair
♣2, ♣6, ♦2, ♦3, ♠4 | pair
♣2, ♣6, ♦2, ♦3, ♥2 | three of a kind
♣2, ♣6, ♦2, ♣9, ♠9 | two pairs
♣2, ♣6, ♦2, ♣9, ♠K | pair
♣2, ♣6, ♦2, ♣9, ♠10 | pair
♣2, ♣6, ♦2, ♣9, ♠4 | pair
♣2, ♣6, ♦2, ♣9, ♥2 | three of a kind
♣2, ♣6, ♦2, ♠9, ♠K | pair
♣2, ♣6, ♦2, ♠9, ♠10 | pair
♣2, ♣6, ♦2, ♠9, ♠4 | pair
♣2, ♣6, ♦2, ♠9, ♥2 | three of a kind
♣2, ♣6, ♦2, ♠K, ♠10 | pair
♣2, ♣6, ♦2, ♠K, ♠4 | pair
♣2, ♣6, ♦2, ♠K, ♥2 | three of a kind
♣2, ♣6, ♦2, ♠10, ♠4 | pair
♣2, ♣6, ♦2, ♠10, ♥2 | three of a kind
♣2, ♣6, ♦2, ♠4, ♥2 | three of a kind
♣2, ♣6, ♦3, ♣9, ♠9 | pair
♣2, ♣6, ♦3, ♣9, ♥2 | pair
♣2, ♣6, ♦3, ♠9, ♥2 | pair
♣2, ♣6, ♦3, ♠K, ♥2 | pair
♣2, ♣6, ♦3, ♠10, ♥2 | pair
♣2, ♣6, ♦3, ♠4, ♥2 | pair
♣2, ♣6, ♣9, ♠9, ♠K | pair
♣2, ♣6, ♣9, ♠9, ♠10 | pair
♣2, ♣6, ♣9, ♠9, ♠4 | pair
♣2, ♣6, ♣9, ♠9, ♥2 | two pairs
♣2, ♣6, ♣9, ♠K, ♥2 | pair
♣2, ♣6, ♣9, ♠10, ♥2 | pair
♣2, ♣6, ♣9, ♠4, ♥2 | pair
♣2, ♣6, ♠9, ♠K, ♥2 | pair
♣2, ♣6, ♠9, ♠10, ♥2 | pair
♣2, ♣6, ♠9, ♠4, ♥2 | pair
♣2, ♣6, ♠K, ♠10, ♥2 | pair
♣2, ♣6, ♠K, ♠4, ♥2 | pair
♣2, ♣6, ♠10, ♠4, ♥2 | pair
♣2, ♥K, ♦2, ♦3, ♣9 | pair
♣2, ♥K, ♦2, ♦3, ♠9 | pair
♣2, ♥K, ♦2, ♦3, ♠K | two pairs
♣2, ♥K, ♦2, ♦3, ♠10 | pair
♣2, ♥K, ♦2, ♦3, ♠4 | pair
♣2, ♥K, ♦2, ♦3, ♥2 | three of a kind
♣2, ♥K, ♦2, ♣9, ♠9 | two pairs
♣2, ♥K, ♦2, ♣9, ♠K | two pairs
♣2, ♥K, ♦2, ♣9, ♠10 | pair
♣2, ♥K, ♦2, ♣9, ♠4 | pair
♣2, ♥K, ♦2, ♣9, ♥2 | three of a kind
♣2, ♥K, ♦2, ♠9, ♠K | two pairs
♣2, ♥K, ♦2, ♠9, ♠10 | pair
♣2, ♥K, ♦2, ♠9, ♠4 | pair
♣2, ♥K, ♦2, ♠9, ♥2 | three of a kind
♣2, ♥K, ♦2, ♠K, ♠10 | two pairs
♣2, ♥K, ♦2, ♠K, ♠4 | two pairs
♣2, ♥K, ♦2, ♠K, ♥2 | fullhouse
♣2, ♥K, ♦2, ♠10, ♠4 | pair
♣2, ♥K, ♦2, ♠10, ♥2 | three of a kind
♣2, ♥K, ♦2, ♠4, ♥2 | three of a kind
♣2, ♥K, ♦3, ♣9, ♠9 | pair
♣2, ♥K, ♦3, ♣9, ♠K | pair
♣2, ♥K, ♦3, ♣9, ♥2 | pair
♣2, ♥K, ♦3, ♠9, ♠K | pair
♣2, ♥K, ♦3, ♠9, ♥2 | pair
♣2, ♥K, ♦3, ♠K, ♠10 | pair
♣2, ♥K, ♦3, ♠K, ♠4 | pair
♣2, ♥K, ♦3, ♠K, ♥2 | two pairs
♣2, ♥K, ♦3, ♠10, ♥2 | pair
♣2, ♥K, ♦3, ♠4, ♥2 | pair
♣2, ♥K, ♣9, ♠9, ♠K | two pairs
♣2, ♥K, ♣9, ♠9, ♠10 | pair
♣2, ♥K, ♣9, ♠9, ♠4 | pair
♣2, ♥K, ♣9, ♠9, ♥2 | two pairs
♣2, ♥K, ♣9, ♠K, ♠10 | pair
♣2, ♥K, ♣9, ♠K, ♠4 | pair
♣2, ♥K, ♣9, ♠K, ♥2 | two pairs
♣2, ♥K, ♣9, ♠10, ♥2 | pair
♣2, ♥K, ♣9, ♠4, ♥2 | pair
♣2, ♥K, ♠9, ♠K, ♠10 | pair
♣2, ♥K, ♠9, ♠K, ♠4 | pair
♣2, ♥K, ♠9, ♠K, ♥2 | two pairs
♣2, ♥K, ♠9, ♠10, ♥2 | pair
♣2, ♥K, ♠9, ♠4, ♥2 | pair
♣2, ♥K, ♠K, ♠10, ♠4 | pair
♣2, ♥K, ♠K, ♠10, ♥2 | two pairs
♣2, ♥K, ♠K, ♠4, ♥2 | two pairs
♣2, ♥K, ♠10, ♠4, ♥2 | pair
♣2, ♦2, ♦3, ♣9, ♠9 | two pairs
♣2, ♦2, ♦3, ♣9, ♠K | pair
♣2, ♦2, ♦3, ♣9, ♠10 | pair
♣2, ♦2, ♦3, ♣9, ♠4 | pair
♣2, ♦2, ♦3, ♣9, ♥2 | three of a kind
♣2, ♦2, ♦3, ♠9, ♠K | pair
♣2, ♦2, ♦3, ♠9, ♠10 | pair
♣2, ♦2, ♦3, ♠9, ♠4 | pair
♣2, ♦2, ♦3, ♠9, ♥2 | three of a kind
♣2, ♦2, ♦3, ♠K, ♠10 | pair
♣2, ♦2, ♦3, ♠K, ♠4 | pair
♣2, ♦2, ♦3, ♠K, ♥2 | three of a kind
♣2, ♦2, ♦3, ♠10, ♠4 | pair
♣2, ♦2, ♦3, ♠10, ♥2 | three of a kind
♣2, ♦2, ♦3, ♠4, ♥2 | three of a kind
♣2, ♦2, ♣9, ♠9, ♠K | two pairs
♣2, ♦2, ♣9, ♠9, ♠10 | two pairs
♣2, ♦2, ♣9, ♠9, ♠4 | two pairs
♣2, ♦2, ♣9, ♠9, ♥2 | fullhouse
♣2, ♦2, ♣9, ♠K, ♠10 | pair
♣2, ♦2, ♣9, ♠K, ♠4 | pair
♣2, ♦2, ♣9, ♠K, ♥2 | three of a kind
♣2, ♦2, ♣9, ♠10, ♠4 | pair
♣2, ♦2, ♣9, ♠10, ♥2 | three of a kind
♣2, ♦2, ♣9, ♠4, ♥2 | three of a kind
