♥2, ♠Q, ♣8, ♠7, ♥8 | pair
♥2, ♠Q, ♦6, ♥6, ♥8 | pair
♥2, ♠Q, ♦6, ♥6, ♣7 | pair
♥2, ♠Q, ♦6, ♥6, ♣Q | two pairs
♥2, ♠Q, ♦6, ♥6, ♦8 | pair
♥2, ♠Q, ♦6, ♠5, ♣Q | pair
♥2, ♠Q, ♦6, ♥8, ♣Q | pair
♥2, ♠Q, ♦6, ♥8, ♦8 | pair
♥2, ♠Q, ♦6, ♣7, ♣Q | pair
♥2, ♠Q, ♦6, ♣Q, ♦8 | pair
♥2, ♠Q, ♥6, ♠5, ♣Q | pair
♥2, ♠Q, ♥6, ♥8, ♣Q | pair
♥2, ♠Q, ♥6, ♥8, ♦8 | pair
♥2, ♠Q, ♥6, ♣7, ♣Q | pair
♥2, ♠Q, ♥6, ♣Q, ♦8 | pair
♥2, ♠Q, ♠5, ♥8, ♣Q | pair
♥2, ♠Q, ♠5, ♥8, ♦8 | pair
♥2, ♠Q, ♠5, ♣7, ♣Q | pair
♥2, ♠Q, ♠5, ♣Q, ♦8 | pair
♥2, ♠Q, ♥8, ♣7, ♣Q | pair
♥2, ♠Q, ♥8, ♣7, ♦8 | pair
♥2, ♠Q, ♥8, ♣Q, ♦8 | two pairs
♥2, ♠Q, ♣7, ♣Q, ♦8 | pair
♥2, ♣8, ♠7, ♦6, ♥6 | pair
♥2, ♣8, ♠7, ♦6, ♥8 | pair
♥2, ♣8, ♠7, ♦6, ♣7 | pair
♥2, ♣8, ♠7, ♦6, ♦8 | pair
♥2, ♣8, ♠7, ♥6, ♥8 | pair
♥2, ♣8, ♠7, ♥6, ♣7 | pair
♥2, ♣8, ♠7, ♥6, ♦8 | pair
♥2, ♣8, ♠7, ♠5, ♥8 | pair
♥2, ♣8, ♠7, ♠5, ♣7 | pair
♥2, ♣8, ♠7, ♠5, ♦8 | pair
♥2, ♣8, ♠7, ♥8, ♣7 | two pairs
♥2, ♣8, ♠7, ♥8, ♣Q | pair
♥2, ♣8, ♠7, ♥8, ♦8 | three of a kind
♥2, ♣8, ♠7, ♣7, ♣Q | pair
♥2, ♣8, ♠7, ♣7, ♦8 | two pairs
♥2, ♣8, ♠7, ♣Q, ♦8 | pair
♥2, ♣8, ♦6, ♥6, ♠5 | pair
♥2, ♣8, ♦6, ♥6, ♥8 | two pairs
♥2, ♣8, ♦6, ♥6, ♣7 | pair
♥2, ♣8, ♦6, ♥6, ♣Q | pair
♥2, ♣8, ♦6, ♥6, ♦8 | two pairs
♥2, ♣8, ♦6, ♠5, ♥8 | pair
♥2, ♣8, ♦6, ♠5, ♦8 | pair
♥2, ♣8, ♦6, ♥8, ♣7 | pair
♥2, ♣8, ♦6, ♥8, ♣Q | pair
♥2, ♣8, ♦6, ♥8, ♦8 | three of a kind
♥2, ♣8, ♦6, ♣7, ♦8 | pair
♥2, ♣8, ♦6, ♣Q, ♦8 | pair
♥2, ♣8, ♥6, ♠5, ♥8 | pair
♥2, ♣8, ♥6, ♠5, ♦8 | pair
♥2, ♣8, ♥6, ♥8, ♣7 | pair
♥2, ♣8, ♥6, ♥8, ♣Q | pair
♥2, ♣8, ♥6, ♥8, ♦8 | three of a kind
♥2, ♣8, ♥6, ♣7, ♦8 | pair
♥2, ♣8, ♥6, ♣Q, ♦8 | pair
♥2, ♣8, ♠5, ♥8, ♣7 | pair
♥2, ♣8, ♠5, ♥8, ♣Q | pair
♥2, ♣8, ♠5, ♥8, ♦8 | three of a kind
♥2, ♣8, ♠5, ♣7, ♦8 | pair
♥2, ♣8, ♠5, ♣Q, ♦8 | pair
♥2, ♣8, ♥8, ♣7, ♣Q | pair
♥2, ♣8, ♥8, ♣7, ♦8 | three of a kind
♥2, ♣8, ♥8, ♣Q, ♦8 | three of a kind
♥2, ♣8, ♣7, ♣Q, ♦8 | pair
♥2, ♠7, ♦6, ♥6, ♠5 | pair
♥2, ♠7, ♦6, ♥6, ♥8 | pair
♥2, ♠7, ♦6, ♥6, ♣7 | two pairs
♥2, ♠7, ♦6, ♥6, ♣Q | pair
♥2, ♠7, ♦6, ♥6, ♦8 | pair
♥2, ♠7, ♦6, ♠5, ♣7 | pair
♥2, ♠7, ♦6, ♥8, ♣7 | pair
♥2, ♠7, ♦6, ♥8, ♦8 | pair
♥2, ♠7, ♦6, ♣7, ♣Q | pair
♥2, ♠7, ♦6, ♣7, ♦8 | pair
♥2, ♠7, ♥6, ♠5, ♣7 | pair
♥2, ♠7, ♥6, ♥8, ♣7 | pair
♥2, ♠7, ♥6, ♥8, ♦8 | pair
♥2, ♠7, ♥6, ♣7, ♣Q | pair
♥2, ♠7, ♥6, ♣7, ♦8 | pair
♥2, ♠7, ♠5, ♥8, ♣7 | pair
♥2, ♠7, ♠5, ♥8, ♦8 | pair
♥2, ♠7, ♠5, ♣7, ♣Q | pair
♥2, ♠7, ♠5, ♣7, ♦8 | pair
♥2, ♠7, ♥8, ♣7, ♣Q | pair
♥2, ♠7, ♥8, ♣7, ♦8 | two pairs
♥2, ♠7, ♥8, ♣Q, ♦8 | pair
♥2, ♠7, ♣7, ♣Q, ♦8 | pair
♥2, ♦6, ♥6, ♠5, ♥8 | pair
♥2, ♦6, ♥6, ♠5, ♣7 | pair
♥2, ♦6, ♥6, ♠5, ♣Q | pair
♥2, ♦6, ♥6, ♠5, ♦8 | pair
♥2, ♦6, ♥6, ♥8, ♣7 | pair
♥2, ♦6, ♥6, ♥8, ♣Q | pair
♥2, ♦6, ♥6, ♥8, ♦8 | two pairs
♥2, ♦6, ♥6, ♣7, ♣Q | pair
♥2, ♦6, ♥6, ♣7, ♦8 | pair
♥2, ♦6, ♥6, ♣Q, ♦8 | pair
♥2, ♦6, ♠5, ♥8, ♦8 | pair
♥2, ♦6, ♥8, ♣7, ♦8 | pair
♥2, ♦6, ♥8, ♣Q, ♦8 | pair
♥2, ♥6, ♠5, ♥8, ♦8 | pair
♥2, ♥6, ♥8, ♣7, ♦8 | pair
♥2, ♥6, ♥8, ♣Q, ♦8 | pair
♥2, ♠5, ♥8, ♣7, ♦8 | pair
♥2, ♠5, ♥8, ♣Q, ♦8 | pair
♥2, ♥8, ♣7, ♣Q, ♦8 | pair
♠Q, ♣8, ♠7, ♦6, ♥6 | pair
♠Q, ♣8, ♠7, ♦6, ♥8 | pair
♠Q, ♣8, ♠7, ♦6, ♣7 | pair
♠Q, ♣8, ♠7, ♦6, ♣Q | pair
♠Q, ♣8, ♠7, ♦6, ♦8 | pair
♠Q, ♣8, ♠7, ♥6, ♥8 | pair
♠Q, ♣8, ♠7, ♥6, ♣7 | pair
♠Q, ♣8, ♠7, ♥6, ♣Q | pair
♠Q, ♣8, ♠7, ♥6, ♦8 | pair
♠Q, ♣8, ♠7, ♠5, ♥8 | pair
♠Q, ♣8, ♠7, ♠5, ♣7 | pair
♠Q, ♣8, ♠7, ♠5, ♣Q | pair
♠Q, ♣8, ♠7, ♠5, ♦8 | pair
♠Q, ♣8, ♠7, ♥8, ♣7 | two pairs
♠Q, ♣8, ♠7, ♥8, ♣Q | two pairs
♠Q, ♣8, ♠7, ♥8, ♦8 | three of a kind
♠Q, ♣8, ♠7, ♣7, ♣Q | two pairs
♠Q, ♣8, ♠7, ♣7, ♦8 | two pairs
♠Q, ♣8, ♠7, ♣Q, ♦8 | two pairs
♠Q, ♣8, ♦6, ♥6, ♠5 | pair
♠Q, ♣8, ♦6, ♥6, ♥8 | two pairs
♠Q, ♣8, ♦6, ♥6, ♣7 | pair
♠Q, ♣8, ♦6, ♥6, ♣Q | two pairs
♠Q, ♣8, ♦6, ♥6, ♦8 | two pairs
♠Q, ♣8, ♦6, ♠5, ♥8 | pair
♠Q, ♣8, ♦6, ♠5, ♣Q | pair
♠Q, ♣8, ♦6, ♠5, ♦8 | pair
♠Q, ♣8, ♦6, ♥8, ♣7 | pair
♠Q, ♣8, ♦6, ♥8, ♣Q | two pairs
♠Q, ♣8, ♦6, ♥8, ♦8 | three of a kind
♠Q, ♣8, ♦6, ♣7, ♣Q | pair
♠Q, ♣8, ♦6, ♣7, ♦8 | pair
♠Q, ♣8, ♦6, ♣Q, ♦8 | two pairs
♠Q, ♣8, ♥6, ♠5, ♥8 | pair
♠Q, ♣8, ♥6, ♠5, ♣Q | pair
♠Q, ♣8, ♥6, ♠5, ♦8 | pair
♠Q, ♣8, ♥6, ♥8, ♣7 | pair
♠Q, ♣8, ♥6, ♥8, ♣Q | two pairs
♠Q, ♣8, ♥6, ♥8, ♦8 | three of a kind
♠Q, ♣8, ♥6, ♣7, ♣Q | pair
♠Q, ♣8, ♥6, ♣7, ♦8 | pair
♠Q, ♣8, ♥6, ♣Q, ♦8 | two pairs
♠Q, ♣8, ♠5, ♥8, ♣7 | pair
♠Q, ♣8, ♠5, ♥8, ♣Q | two pairs
♠Q, ♣8, ♠5, ♥8, ♦8 | three of a kind
♠Q, ♣8, ♠5, ♣7, ♣Q | pair
♠Q, ♣8, ♠5, ♣7, ♦8 | pair
♠Q, ♣8, ♠5, ♣Q, ♦8 | two pairs
♠Q, ♣8, ♥8, ♣7, ♣Q | two pairs
♠Q, ♣8, ♥8, ♣7, ♦8 | three of a kind
♠Q, ♣8, ♥8, ♣Q, ♦8 | fullhouse
♠Q, ♣8, ♣7, ♣Q, ♦8 | two pairs
♠Q, ♠7, ♦6, ♥6, ♠5 | pair
♠Q, ♠7, ♦6, ♥6, ♥8 | pair
♠Q, ♠7, ♦6, ♥6, ♣7 | two pairs
♠Q, ♠7, ♦6, ♥6, ♣Q | two pairs
♠Q, ♠7, ♦6, ♥6, ♦8 | pair
♠Q, ♠7, ♦6, ♠5, ♣7 | pair
♠Q, ♠7, ♦6, ♠5, ♣Q | pair
♠Q, ♠7, ♦6, ♥8, ♣7 | pair
♠Q, ♠7, ♦6, ♥8, ♣Q | pair
♠Q, ♠7, ♦6, ♥8, ♦8 | pair
♠Q, ♠7, ♦6, ♣7, ♣Q | two pairs
♠Q, ♠7, ♦6, ♣7, ♦8 | pair
♠Q, ♠7, ♦6, ♣Q, ♦8 | pair
♠Q, ♠7, ♥6, ♠5, ♣7 | pair
♠Q, ♠7, ♥6, ♠5, ♣Q | pair
♠Q, ♠7, ♥6, ♥8, ♣7 | pair
♠Q, ♠7, ♥6, ♥8, ♣Q | pair
♠Q, ♠7, ♥6, ♥8, ♦8 | pair
♠Q, ♠7, ♥6, ♣7, ♣Q | two pairs
♠Q, ♠7, ♥6, ♣7, ♦8 | pair
♠Q, ♠7, ♥6, ♣Q, ♦8 | pair
♠Q, ♠7, ♠5, ♥8, ♣7 | pair
♠Q, ♠7, ♠5, ♥8, ♣Q | pair
♠Q, ♠7, ♠5, ♥8, ♦8 | pair
♠Q, ♠7, ♠5, ♣7, ♣Q | two pairs
♠Q, ♠7, ♠5, ♣7, ♦8 | pair
♠Q, ♠7, ♠5, ♣Q, ♦8 | pair
♠Q, ♠7, ♥8, ♣7, ♣Q | two pairs
♠Q, ♠7, ♥8, ♣7, ♦8 | two pairs
♠Q, ♠7, ♥8, ♣Q, ♦8 | two pairs
♠Q, ♠7, ♣7, ♣Q, ♦8 | two pairs
♠Q, ♦6, ♥6, ♠5, ♥8 | pair
♠Q, ♦6, ♥6, ♠5, ♣7 | pair
♠Q, ♦6, ♥6, ♠5, ♣Q | two pairs
♠Q, ♦6, ♥6, ♠5, ♦8 | pair
♠Q, ♦6, ♥6, ♥8, ♣7 | pair
♠Q, ♦6, ♥6, ♥8, ♣Q | two pairs
♠Q, ♦6, ♥6, ♥8, ♦8 | two pairs
♠Q, ♦6, ♥6, ♣7, ♣Q | two pairs
♠Q, ♦6, ♥6, ♣7, ♦8 | pair
♠Q, ♦6, ♥6, ♣Q, ♦8 | two pairs
♠Q, ♦6, ♠5, ♥8, ♣Q | pair
♠Q, ♦6, ♠5, ♥8, ♦8 | pair
♠Q, ♦6, ♠5, ♣7, ♣Q | pair
♠Q, ♦6, ♠5, ♣Q, ♦8 | pair
♠Q, ♦6, ♥8, ♣7, ♣Q | pair
♠Q, ♦6, ♥8, ♣7, ♦8 | pair
♠Q, ♦6, ♥8, ♣Q, ♦8 | two pairs
♠Q, ♦6, ♣7, ♣Q, ♦8 | pair
♠Q, ♥6, ♠5, ♥8, ♣Q | pair
♠Q, ♥6, ♠5, ♥8, ♦8 | pair
♠Q, ♥6, ♠5, ♣7, ♣Q | pair
♠Q, ♥6, ♠5, ♣Q, ♦8 | pair
♠Q, ♥6, ♥8, ♣7, ♣Q | pair
♠Q, ♥6, ♥8, ♣7, ♦8 | pair
♠Q, ♥6, ♥8, ♣Q, ♦8 | two pairs
♠Q, ♥6, ♣7, ♣Q, ♦8 | pair
♠Q, ♠5, ♥8, ♣7, ♣Q | pair
♠Q, ♠5, ♥8, ♣7, ♦8 | pair
♠Q, ♠5, ♥8, ♣Q, ♦8 | two pairs
♠Q, ♠5, ♣7, ♣Q, ♦8 | pair
♠Q, ♥8, ♣7, ♣Q, ♦8 | two pairs
♣8, ♠7, ♦6, ♥6, ♠5 | pair
♣8, ♠7, ♦6, ♥6, ♥8 | two pairs
♣8, ♠7, ♦6, ♥6, ♣7 | two pairs
♣8, ♠7, ♦6, ♥6, ♣Q | pair
♣8, ♠7, ♦6, ♥6, ♦8 | two pairs
♣8, ♠7, ♦6, ♠5, ♥8 | pair
♣8, ♠7, ♦6, ♠5, ♣7 | pair
♣8, ♠7, ♦6, ♠5, ♦8 | pair
♣8, ♠7, ♦6, ♥8, ♣7 | two pairs
♣8, ♠7, ♦6, ♥8, ♣Q | pair
♣8, ♠7, ♦6, ♥8, ♦8 | three of a kind
♣8, ♠7, ♦6, ♣7, ♣Q | pair
♣8, ♠7, ♦6, ♣7, ♦8 | two pairs
♣8, ♠7, ♦6, ♣Q, ♦8 | pair
♣8, ♠7, ♥6, ♠5, ♥8 | pair
♣8, ♠7, ♥6, ♠5, ♣7 | pair
♣8, ♠7, ♥6, ♠5, ♦8 | pair
♣8, ♠7, ♥6, ♥8, ♣7 | two pairs
♣8, ♠7, ♥6, ♥8, ♣Q | pair
♣8, ♠7, ♥6, ♥8, ♦8 | three of a kind
♣8, ♠7, ♥6, ♣7, ♣Q | pair
♣8, ♠7, ♥6, ♣7, ♦8 | two pairs
♣8, ♠7, ♥6, ♣Q, ♦8 | pair
♣8, ♠7, ♠5, ♥8, ♣7 | two pairs
♣8, ♠7, ♠5, ♥8, ♣Q | pair
♣8, ♠7, ♠5, ♥8, ♦8 | three of a kind
♣8, ♠7, ♠5, ♣7, ♣Q | pair
♣8, ♠7, ♠5, ♣7, ♦8 | two pairs
♣8, ♠7, ♠5, ♣Q, ♦8 | pair
♣8, ♠7, ♥8, ♣7, ♣Q | two pairs
♣8, ♠7, ♥8, ♣7, ♦8 | fullhouse
♣8, ♠7, ♥8, ♣Q, ♦8 | three of a kind
♣8, ♠7, ♣7, ♣Q, ♦8 | two pairs
♣8, ♦6, ♥6, ♠5, ♥8 | two pairs
♣8, ♦6, ♥6, ♠5, ♣7 | pair
♣8, ♦6, ♥6, ♠5, ♣Q | pair
♣8, ♦6, ♥6, ♠5, ♦8 | two pairs
♣8, ♦6, ♥6, ♥8, ♣7 | two pairs
♣8, ♦6, ♥6, ♥8, ♣Q | two pairs
♣8, ♦6, ♥6, ♥8, ♦8 | fullhouse
♣8, ♦6, ♥6, ♣7, ♣Q | pair
♣8, ♦6, ♥6, ♣7, ♦8 | two pairs
♣8, ♦6, ♥6, ♣Q, ♦8 | two pairs
♣8, ♦6, ♠5, ♥8, ♣7 | pair
♣8, ♦6, ♠5, ♥8, ♣Q | pair
♣8, ♦6, ♠5, ♥8, ♦8 | three of a kind
♣8, ♦6, ♠5, ♣7, ♦8 | pair
♣8, ♦6, ♠5, ♣Q, ♦8 | pair
♣8, ♦6, ♥8, ♣7, ♣Q | pair
♣8, ♦6, ♥8, ♣7, ♦8 | three of a kind
♣8, ♦6, ♥8, ♣Q, ♦8 | three of a kind
♣8, ♦6, ♣7, ♣Q, ♦8 | pair
♣8, ♥6, ♠5, ♥8, ♣7 | pair
♣8, ♥6, ♠5, ♥8, ♣Q | pair
♣8, ♥6, ♠5, ♥8, ♦8 | three of a kind
♣8, ♥6, ♠5, ♣7, ♦8 | pair
♣8, ♥6, ♠5, ♣Q, ♦8 | pair
♣8, ♥6, ♥8, ♣7, ♣Q | pair
♣8, ♥6, ♥8, ♣7, ♦8 | three of a kind
♣8, ♥6, ♥8, ♣Q, ♦8 | three of a kind
♣8, ♥6, ♣7, ♣Q, ♦8 | pair
♣8, ♠5, ♥8, ♣7, ♣Q | pair
♣8, ♠5, ♥8, ♣7, ♦8 | three of a kind
♣8, ♠5, ♥8, ♣Q, ♦8 | three of a kind
♣8, ♠5, ♣7, ♣Q, ♦8 | pair
♣8, ♥8, ♣7, ♣Q, ♦8 | three of a kind
♠7, ♦6, ♥6, ♠5, ♥8 | pair
♠7, ♦6, ♥6, ♠5, ♣7 | two pairs
♠7, ♦6, ♥6, ♠5, ♣Q | pair
♠7, ♦6, ♥6, ♠5, ♦8 | pair
♠7, ♦6, ♥6, ♥8, ♣7 | two pairs
♠7, ♦6, ♥6, ♥8, ♣Q | pair
♠7, ♦6, ♥6, ♥8, ♦8 | two pairs
♠7, ♦6, ♥6, ♣7, ♣Q | two pairs
♠7, ♦6, ♥6, ♣7, ♦8 | two pairs
♠7, ♦6, ♥6, ♣Q, ♦8 | pair
♠7, ♦6, ♠5, ♥8, ♣7 | pair
♠7, ♦6, ♠5, ♥8, ♦8 | pair
♠7, ♦6, ♠5, ♣7, ♣Q | pair
♠7, ♦6, ♠5, ♣7, ♦8 | pair
♠7, ♦6, ♥8, ♣7, ♣Q | pair
♠7, ♦6, ♥8, ♣7, ♦8 | two pairs
♠7, ♦6, ♥8, ♣Q, ♦8 | pair
♠7, ♦6, ♣7, ♣Q, ♦8 | pair
♠7, ♥6, ♠5, ♥8, ♣7 | pair
♠7, ♥6, ♠5, ♥8, ♦8 | pair
♠7, ♥6, ♠5, ♣7, ♣Q | pair
♠7, ♥6, ♠5, ♣7, ♦8 | pair
♠7, ♥6, ♥8, ♣7, ♣Q | pair
♠7, ♥6, ♥8, ♣7, ♦8 | two pairs
♠7, ♥6, ♥8, ♣Q, ♦8 | pair
♠7, ♥6, ♣7, ♣Q, ♦8 | pair
♠7, ♠5, ♥8, ♣7, ♣Q | pair
♠7, ♠5, ♥8, ♣7, ♦8 | two pairs
♠7, ♠5, ♥8, ♣Q, ♦8 | pair
♠7, ♠5, ♣7, ♣Q, ♦8 | pair
♠7, ♥8, ♣7, ♣Q, ♦8 | two pairs
♦6, ♥6, ♠5, ♥8, ♣7 | pair
♦6, ♥6, ♠5, ♥8, ♣Q | pair
♦6, ♥6, ♠5, ♥8, ♦8 | two pairs
♦6, ♥6, ♠5, ♣7, ♣Q | pair
♦6, ♥6, ♠5, ♣7, ♦8 | pair
♦6, ♥6, ♠5, ♣Q, ♦8 | pair
♦6, ♥6, ♥8, ♣7, ♣Q | pair
♦6, ♥6, ♥8, ♣7, ♦8 | two pairs
♦6, ♥6, ♥8, ♣Q, ♦8 | two pairs
♦6, ♥6, ♣7, ♣Q, ♦8 | pair
♦6, ♠5, ♥8, ♣7, ♦8 | pair
♦6, ♠5, ♥8, ♣Q, ♦8 | pair
♦6, ♥8, ♣7, ♣Q, ♦8 | pair
♥6, ♠5, ♥8, ♣7, ♦8 | pair
♥6, ♠5, ♥8, ♣Q, ♦8 | pair
♥6, ♥8, ♣7, ♣Q, ♦8 | pair
♠5, ♥8, ♣7, ♣Q, ♦8 | pair
