♥2, ♥7, ♣9, ♥8, ♠2 | pair
♥2, ♥8, ♣J, ♠2, ♦4 | pair
♥2, ♥8, ♣J, ♠2, ♠4 | pair
♥2, ♥8, ♣J, ♦4, ♠4 | pair
♥2, ♥8, ♥4, ♠2, ♠5 | pair
♥2, ♥8, ♥4, ♠2, ♥10 | pair
♥2, ♥8, ♥4, ♠2, ♣A | pair
♥2, ♥8, ♥4, ♠2, ♠K | pair
♥2, ♥8, ♥4, ♠2, ♦4 | two pairs
♥2, ♥8, ♥4, ♠2, ♠4 | two pairs
♥2, ♥8, ♥4, ♠5, ♦4 | pair
♥2, ♥8, ♥4, ♠5, ♠4 | pair
♥2, ♥8, ♥4, ♥10, ♦4 | pair
♥2, ♥8, ♥4, ♥10, ♠4 | pair
♥2, ♥8, ♥4, ♣A, ♦4 | pair
♥2, ♥8, ♥4, ♣A, ♠4 | pair
♥2, ♥8, ♥4, ♠K, ♦4 | pair
♥2, ♥8, ♥4, ♠K, ♠4 | pair
♥2, ♥8, ♥4, ♦4, ♠4 | three of a kind
♥2, ♥8, ♠2, ♠5, ♥10 | pair
♥2, ♥8, ♠2, ♠5, ♣A | pair
♥2, ♥8, ♠2, ♠5, ♠K | pair
♥2, ♥8, ♠2, ♠5, ♦4 | pair
♥2, ♥8, ♠2, ♠5, ♠4 | pair
♥2, ♥8, ♠2, ♥10, ♣A | pair
♥2, ♥8, ♠2, ♥10, ♠K | pair
♥2, ♥8, ♠2, ♥10, ♦4 | pair
♥2, ♥8, ♠2, ♥10, ♠4 | pair
♥2, ♥8, ♠2, ♣A, ♠K | pair
♥2, ♥8, ♠2, ♣A, ♦4 | pair
♥2, ♥8, ♠2, ♣A, ♠4 | pair
♥2, ♥8, ♠2, ♠K, ♦4 | pair
♥2, ♥8, ♠2, ♠K, ♠4 | pair
♥2, ♥8, ♠2, ♦4, ♠4 | two pairs
♥2, ♥8, ♠5, ♦4, ♠4 | pair
♥2, ♥8, ♥10, ♦4, ♠4 | pair
♥2, ♥8, ♣A, ♦4, ♠4 | pair
♥2, ♥8, ♠K, ♦4, ♠4 | pair
♥2, ♣J, ♥4, ♠2, ♠5 | pair
♥2, ♣J, ♥4, ♠2, ♥10 | pair
♥2, ♣J, ♥4, ♠2, ♣A | pair
♥2, ♣J, ♥4, ♠2, ♠K | pair
♥2, ♣J, ♥4, ♠2, ♦4 | two pairs
♥2, ♣J, ♥4, ♠2, ♠4 | two pairs
♥2, ♣J, ♥4, ♠5, ♦4 | pair
♥2, ♣J, ♥4, ♠5, ♠4 | pair
♥2, ♣J, ♥4, ♥10, ♦4 | pair
♥2, ♣J, ♥4, ♥10, ♠4 | pair
♥2, ♣J, ♥4, ♣A, ♦4 | pair
♥2, ♣J, ♥4, ♣A, ♠4 | pair
♥2, ♣J, ♥4, ♠K, ♦4 | pair
♥2, ♣J, ♥4, ♠K, ♠4 | pair
♥2, ♣J, ♥4, ♦4, ♠4 | three of a kind
♥2, ♣J, ♠2, ♠5, ♥10 | pair
♥2, ♣J, ♠2, ♠5, ♣A | pair
♥2, ♣J, ♠2, ♠5, ♠K | pair
♥2, ♣J, ♠2, ♠5, ♦4 | pair
♥2, ♣J, ♠2, ♠5, ♠4 | pair
♥2, ♣J, ♠2, ♥10, ♣A | pair
♥2, ♣J, ♠2, ♥10, ♠K | pair
♥2, ♣J, ♠2, ♥10, ♦4 | pair
♥2, ♣J, ♠2, ♥10, ♠4 | pair
♥2, ♣J, ♠2, ♣A, ♠K | pair
♥2, ♣J, ♠2, ♣A, ♦4 | pair
♥2, ♣J, ♠2, ♣A, ♠4 | pair
♥2, ♣J, ♠2, ♠K, ♦4 | pair
♥2, ♣J, ♠2, ♠K, ♠4 | pair
♥2, ♣J, ♠2, ♦4, ♠4 | two pairs
♥2, ♣J, ♠5, ♦4, ♠4 | pair
♥2, ♣J, ♥10, ♦4, ♠4 | pair
♥2, ♣J, ♣A, ♦4, ♠4 | pair
♥2, ♣J, ♠K, ♦4, ♠4 | pair
♥2, ♥4, ♠2, ♠5, ♥10 | pair
♥2, ♥4, ♠2, ♠5, ♣A | pair
♥2, ♥4, ♠2, ♠5, ♠K | pair
♥2, ♥4, ♠2, ♠5, ♦4 | two pairs
♥2, ♥4, ♠2, ♠5, ♠4 | two pairs
♥2, ♥4, ♠2, ♥10, ♣A | pair
♥2, ♥4, ♠2, ♥10, ♠K | pair
♥2, ♥4, ♠2, ♥10, ♦4 | two pairs
♥2, ♥4, ♠2, ♥10, ♠4 | two pairs
♥2, ♥4, ♠2, ♣A, ♠K | pair
♥2, ♥4, ♠2, ♣A, ♦4 | two pairs
♥2, ♥4, ♠2, ♣A, ♠4 | two pairs
♥2, ♥4, ♠2, ♠K, ♦4 | two pairs
♥2, ♥4, ♠2, ♠K, ♠4 | two pairs
♥2, ♥4, ♠2, ♦4, ♠4 | fullhouse
♥2, ♥4, ♠5, ♥10, ♦4 | pair
♥2, ♥4, ♠5, ♥10, ♠4 | pair
♥2, ♥4, ♠5, ♣A, ♦4 | pair
♥2, ♥4, ♠5, ♣A, ♠4 | pair
♥2, ♥4, ♠5, ♠K, ♦4 | pair
♥2, ♥4, ♠5, ♠K, ♠4 | pair
♥2, ♥4, ♠5, ♦4, ♠4 | three of a kind
♥2, ♥4, ♥10, ♣A, ♦4 | pair
♥2, ♥4, ♥10, ♣A, ♠4 | pair
♥2, ♥4, ♥10, ♠K, ♦4 | pair
♥2, ♥4, ♥10, ♠K, ♠4 | pair
♥2, ♥4, ♥10, ♦4, ♠4 | three of a kind
♥2, ♥4, ♣A, ♠K, ♦4 | pair
♥2, ♥4, ♣A, ♠K, ♠4 | pair
♥2, ♥4, ♣A, ♦4, ♠4 | three of a kind
♥2, ♥4, ♠K, ♦4, ♠4 | three of a kind
♥2, ♠2, ♠5, ♥10, ♣A | pair
♥2, ♠2, ♠5, ♥10, ♠K | pair
♥2, ♠2, ♠5, ♥10, ♦4 | pair
♥2, ♠2, ♠5, ♥10, ♠4 | pair
♥2, ♠2, ♠5, ♣A, ♠K | pair
♥2, ♠2, ♠5, ♣A, ♦4 | pair
♥2, ♠2, ♠5, ♣A, ♠4 | pair
♥2, ♠2, ♠5, ♠K, ♦4 | pair
♥2, ♠2, ♠5, ♠K, ♠4 | pair
♥2, ♠2, ♠5, ♦4, ♠4 | two pairs
♥2, ♠2, ♥10, ♣A, ♠K | pair
♥2, ♠2, ♥10, ♣A, ♦4 | pair
♥2, ♠2, ♥10, ♣A, ♠4 | pair
♥2, ♠2, ♥10, ♠K, ♦4 | pair
♥2, ♠2, ♥10, ♠K, ♠4 | pair
♥2, ♠2, ♥10, ♦4, ♠4 | two pairs
♥2, ♠2, ♣A, ♠K, ♦4 | pair
♥2, ♠2, ♣A, ♠K, ♠4 | pair
♥2, ♠2, ♣A, ♦4, ♠4 | two pairs
♥2, ♠2, ♠K, ♦4, ♠4 | two pairs
♥2, ♠5, ♥10, ♦4, ♠4 | pair
♥2, ♠5, ♣A, ♦4, ♠4 | pair
♥2, ♠5, ♠K, ♦4, ♠4 | pair
♥2, ♥10, ♣A, ♦4, ♠4 | pair
♥2, ♥10, ♠K, ♦4, ♠4 | pair
♥2, ♣A, ♠K, ♦4, ♠4 | pair
♥7, ♣9, ♥8, ♣J, ♥10 | straight
♥7, ♣9, ♥8, ♥4, ♦4 | pair
♥7, ♣9, ♥8, ♥4, ♠4 | pair
♥7, ♣9, ♥8, ♦4, ♠4 | pair
♥7, ♣9, ♣J, ♥4, ♦4 | pair
♥7, ♣9, ♣J, ♥4, ♠4 | pair
♥7, ♣9, ♣J, ♦4, ♠4 | pair
♥7, ♣9, ♥4, ♠2, ♦4 | pair
♥7, ♣9, ♥4, ♠2, ♠4 | pair
♥7, ♣9, ♥4, ♠5, ♦4 | pair
♥7, ♣9, ♥4, ♠5, ♠4 | pair
♥7, ♣9, ♥4, ♥10, ♦4 | pair
♥7, ♣9, ♥4, ♥10, ♠4 | pair
♥7, ♣9, ♥4, ♣A, ♦4 | pair
♥7, ♣9, ♥4, ♣A, ♠4 | pair
♥7, ♣9, ♥4, ♠K, ♦4 | pair
♥7, ♣9, ♥4, ♠K, ♠4 | pair
♥7, ♣9, ♥4, ♦4, ♠4 | three of a kind
♥7, ♣9, ♠2, ♦4, ♠4 | pair
♥7, ♣9, ♠5, ♦4, ♠4 | pair
♥7, ♣9, ♥10, ♦4, ♠4 | pair
♥7, ♣9, ♣A, ♦4, ♠4 | pair
♥7, ♣9, ♠K, ♦4, ♠4 | pair
♥7, ♥8, ♣J, ♥4, ♦4 | pair
♥7, ♥8, ♣J, ♥4, ♠4 | pair
♥7, ♥8, ♣J, ♦4, ♠4 | pair
♥7, ♥8, ♥4, ♠2, ♦4 | pair
♥7, ♥8, ♥4, ♠2, ♠4 | pair
♥7, ♥8, ♥4, ♠5, ♦4 | pair
♥7, ♥8, ♥4, ♠5, ♠4 | pair
♥7, ♥8, ♥4, ♥10, ♦4 | pair
♥7, ♥8, ♥4, ♥10, ♠4 | pair
♥7, ♥8, ♥4, ♣A, ♦4 | pair
♥7, ♥8, ♥4, ♣A, ♠4 | pair
♥7, ♥8, ♥4, ♠K, ♦4 | pair
♥7, ♥8, ♥4, ♠K, ♠4 | pair
♥7, ♥8, ♥4, ♦4, ♠4 | three of a kind
♥7, ♥8, ♠2, ♦4, ♠4 | pair
♥7, ♥8, ♠5, ♦4, ♠4 | pair
♥7, ♥8, ♥10, ♦4, ♠4 | pair
♥7, ♥8, ♣A, ♦4, ♠4 | pair
♥7, ♥8, ♠K, ♦4, ♠4 | pair
♥7, ♣J, ♥4, ♠2, ♦4 | pair
♥7, ♣J, ♥4, ♠2, ♠4 | pair
♥7, ♣J, ♥4, ♠5, ♦4 | pair
♥7, ♣J, ♥4, ♠5, ♠4 | pair
♥7, ♣J, ♥4, ♥10, ♦4 | pair
♥7, ♣J, ♥4, ♥10, ♠4 | pair
♥7, ♣J, ♥4, ♣A, ♦4 | pair
♥7, ♣J, ♥4, ♣A, ♠4 | pair
♥7, ♣J, ♥4, ♠K, ♦4 | pair
♥7, ♣J, ♥4, ♠K, ♠4 | pair
♥7, ♣J, ♥4, ♦4, ♠4 | three of a kind
♥7, ♣J, ♠2, ♦4, ♠4 | pair
♥7, ♣J, ♠5, ♦4, ♠4 | pair
♥7, ♣J, ♥10, ♦4, ♠4 | pair
♥7, ♣J, ♣A, ♦4, ♠4 | pair
♥7, ♣J, ♠K, ♦4, ♠4 | pair
♥7, ♥4, ♠2, ♠5, ♦4 | pair
♥7, ♥4, ♠2, ♠5, ♠4 | pair
♥7, ♥4, ♠2, ♥10, ♦4 | pair
♥7, ♥4, ♠2, ♥10, ♠4 | pair
♥7, ♥4, ♠2, ♣A, ♦4 | pair
♥7, ♥4, ♠2, ♣A, ♠4 | pair
♥7, ♥4, ♠2, ♠K, ♦4 | pair
♥7, ♥4, ♠2, ♠K, ♠4 | pair
♥7, ♥4, ♠2, ♦4, ♠4 | three of a kind
♥7, ♥4, ♠5, ♥10, ♦4 | pair
♥7, ♥4, ♠5, ♥10, ♠4 | pair
♥7, ♥4, ♠5, ♣A, ♦4 | pair
♥7, ♥4, ♠5, ♣A, ♠4 | pair
♥7, ♥4, ♠5, ♠K, ♦4 | pair
♥7, ♥4, ♠5, ♠K, ♠4 | pair
♥7, ♥4, ♠5, ♦4, ♠4 | three of a kind
♥7, ♥4, ♥10, ♣A, ♦4 | pair
♥7, ♥4, ♥10, ♣A, ♠4 | pair
♥7, ♥4, ♥10, ♠K, ♦4 | pair
♥7, ♥4, ♥10, ♠K, ♠4 | pair
♥7, ♥4, ♥10, ♦4, ♠4 | three of a kind
♥7, ♥4, ♣A, ♠K, ♦4 | pair
♥7, ♥4, ♣A, ♠K, ♠4 | pair
♥7, ♥4, ♣A, ♦4, ♠4 | three of a kind
♥7, ♥4, ♠K, ♦4, ♠4 | three of a kind
♥7, ♠2, ♠5, ♦4, ♠4 | pair
♥7, ♠2, ♥10, ♦4, ♠4 | pair
♥7, ♠2, ♣A, ♦4, ♠4 | pair
♥7, ♠2, ♠K, ♦4, ♠4 | pair
♥7, ♠5, ♥10, ♦4, ♠4 | pair
♥7, ♠5, ♣A, ♦4, ♠4 | pair
♥7, ♠5, ♠K, ♦4, ♠4 | pair
♥7, ♥10, ♣A, ♦4, ♠4 | pair
♥7, ♥10, ♠K, ♦4, ♠4 | pair
♥7, ♣A, ♠K, ♦4, ♠4 | pair
♣9, ♥8, ♣J, ♥4, ♦4 | pair
♣9, ♥8, ♣J, ♥4, ♠4 | pair
♣9, ♥8, ♣J, ♦4, ♠4 | pair
♣9, ♥8, ♥4, ♠2, ♦4 | pair
♣9, ♥8, ♥4, ♠2, ♠4 | pair
♣9, ♥8, ♥4, ♠5, ♦4 | pair
♣9, ♥8, ♥4, ♠5, ♠4 | pair
♣9, ♥8, ♥4, ♥10, ♦4 | pair
♣9, ♥8, ♥4, ♥10, ♠4 | pair
♣9, ♥8, ♥4, ♣A, ♦4 | pair
♣9, ♥8, ♥4, ♣A, ♠4 | pair
♣9, ♥8, ♥4, ♠K, ♦4 | pair
♣9, ♥8, ♥4, ♠K, ♠4 | pair
♣9, ♥8, ♥4, ♦4, ♠4 | three of a kind
♣9, ♥8, ♠2, ♦4, ♠4 | pair
♣9, ♥8, ♠5, ♦4, ♠4 | pair
♣9, ♥8, ♥10, ♦4, ♠4 | pair
♣9, ♥8, ♣A, ♦4, ♠4 | pair
♣9, ♥8, ♠K, ♦4, ♠4 | pair
♣9, ♣J, ♥4, ♠2, ♦4 | pair
♣9, ♣J, ♥4, ♠2, ♠4 | pair
♣9, ♣J, ♥4, ♠5, ♦4 | pair
♣9, ♣J, ♥4, ♠5, ♠4 | pair
♣9, ♣J, ♥4, ♥10, ♦4 | pair
♣9, ♣J, ♥4, ♥10, ♠4 | pair
♣9, ♣J, ♥4, ♣A, ♦4 | pair
♣9, ♣J, ♥4, ♣A, ♠4 | pair
♣9, ♣J, ♥4, ♠K, ♦4 | pair
♣9, ♣J, ♥4, ♠K, ♠4 | pair
♣9, ♣J, ♥4, ♦4, ♠4 | three of a kind
♣9, ♣J, ♠2, ♦4, ♠4 | pair
♣9, ♣J, ♠5, ♦4, ♠4 | pair
♣9, ♣J, ♥10, ♦4, ♠4 | pair
♣9, ♣J, ♣A, ♦4, ♠4 | pair
♣9, ♣J, ♠K, ♦4, ♠4 | pair
♣9, ♥4, ♠2, ♠5, ♦4 | pair
♣9, ♥4, ♠2, ♠5, ♠4 | pair
♣9, ♥4, ♠2, ♥10, ♦4 | pair
♣9, ♥4, ♠2, ♥10, ♠4 | pair
♣9, ♥4, ♠2, ♣A, ♦4 | pair
♣9, ♥4, ♠2, ♣A, ♠4 | pair
♣9, ♥4, ♠2, ♠K, ♦4 | pair
♣9, ♥4, ♠2, ♠K, ♠4 | pair
♣9, ♥4, ♠2, ♦4, ♠4 | three of a kind
♣9, ♥4, ♠5, ♥10, ♦4 | pair
♣9, ♥4, ♠5, ♥10, ♠4 | pair
♣9, ♥4, ♠5, ♣A, ♦4 | pair
♣9, ♥4, ♠5, ♣A, ♠4 | pair
♣9, ♥4, ♠5, ♠K, ♦4 | pair
♣9, ♥4, ♠5, ♠K, ♠4 | pair
♣9, ♥4, ♠5, ♦4, ♠4 | three of a kind
♣9, ♥4, ♥10, ♣A, ♦4 | pair
♣9, ♥4, ♥10, ♣A, ♠4 | pair
♣9, ♥4, ♥10, ♠K, ♦4 | pair
♣9, ♥4, ♥10, ♠K, ♠4 | pair
♣9, ♥4, ♥10, ♦4, ♠4 | three of a kind
♣9, ♥4, ♣A, ♠K, ♦4 | pair
♣9, ♥4, ♣A, ♠K, ♠4 | pair
♣9, ♥4, ♣A, ♦4, ♠4 | three of a kind
♣9, ♥4, ♠K, ♦4, ♠4 | three of a kind
♣9, ♠2, ♠5, ♦4, ♠4 | pair
♣9, ♠2, ♥10, ♦4, ♠4 | pair
♣9, ♠2, ♣A, ♦4, ♠4 | pair
♣9, ♠2, ♠K, ♦4, ♠4 | pair
♣9, ♠5, ♥10, ♦4, ♠4 | pair
♣9, ♠5, ♣A, ♦4, ♠4 | pair
♣9, ♠5, ♠K, ♦4, ♠4 | pair
♣9, ♥10, ♣A, ♦4, ♠4 | pair
♣9, ♥10, ♠K, ♦4, ♠4 | pair
♣9, ♣A, ♠K, ♦4, ♠4 | pair
♥8, ♣J, ♥4, ♠2, ♦4 | pair
♥8, ♣J, ♥4, ♠2, ♠4 | pair
♥8, ♣J, ♥4, ♠5, ♦4 | pair
♥8, ♣J, ♥4, ♠5, ♠4 | pair
♥8, ♣J, ♥4, ♥10, ♦4 | pair
♥8, ♣J, ♥4, ♥10, ♠4 | pair
♥8, ♣J, ♥4, ♣A, ♦4 | pair
♥8, ♣J, ♥4, ♣A, ♠4 | pair
♥8, ♣J, ♥4, ♠K, ♦4 | pair
♥8, ♣J, ♥4, ♠K, ♠4 | pair
♥8, ♣J, ♥4, ♦4, ♠4 | three of a kind
♥8, ♣J, ♠2, ♦4, ♠4 | pair
♥8, ♣J, ♠5, ♦4, ♠4 | pair
♥8, ♣J, ♥10, ♦4, ♠4 | pair
♥8, ♣J, ♣A, ♦4, ♠4 | pair
♥8, ♣J, ♠K, ♦4, ♠4 | pair
♥8, ♥4, ♠2, ♠5, ♦4 | pair
♥8, ♥4, ♠2, ♠5, ♠4 | pair
♥8, ♥4, ♠2, ♥10, ♦4 | pair
♥8, ♥4, ♠2, ♥10, ♠4 | pair
♥8, ♥4, ♠2, ♣A, ♦4 | pair
♥8, ♥4, ♠2, ♣A, ♠4 | pair
♥8, ♥4, ♠2, ♠K, ♦4 | pair
♥8, ♥4, ♠2, ♠K, ♠4 | pair
♥8, ♥4, ♠2, ♦4, ♠4 | three of a kind
♥8, ♥4, ♠5, ♥10, ♦4 | pair
♥8, ♥4, ♠5, ♥10, ♠4 | pair
♥8, ♥4, ♠5, ♣A, ♦4 | pair
♥8, ♥4, ♠5, ♣A, ♠4 | pair
♥8, ♥4, ♠5, ♠K, ♦4 | pair
♥8, ♥4, ♠5, ♠K, ♠4 | pair
♥8, ♥4, ♠5, ♦4, ♠4 | three of a kind
♥8, ♥4, ♥10, ♣A, ♦4 | pair
♥8, ♥4, ♥10, ♣A, ♠4 | pair
♥8, ♥4, ♥10, ♠K, ♦4 | pair
♥8, ♥4, ♥10, ♠K, ♠4 | pair
♥8, ♥4, ♥10, ♦4, ♠4 | three of a kind
♥8, ♥4, ♣A, ♠K, ♦4 | pair
♥8, ♥4, ♣A, ♠K, ♠4 | pair
♥8, ♥4, ♣A, ♦4, ♠4 | three of a kind
♥8, ♥4, ♠K, ♦4, ♠4 | three of a kind
♥8, ♠2, ♠5, ♦4, ♠4 | pair
♥8, ♠2, ♥10, ♦4, ♠4 | pair
♥8, ♠2, ♣A, ♦4, ♠4 | pair
♥8, ♠2, ♠K, ♦4, ♠4 | pair
♥8, ♠5, ♥10, ♦4, ♠4 | pair
♥8, ♠5, ♣A, ♦4, ♠4 | pair
♥8, ♠5, ♠K, ♦4, ♠4 | pair
♥8, ♥10, ♣A, ♦4, ♠4 | pair
♥8, ♥10, ♠K, ♦4, ♠4 | pair
♥8, ♣A, ♠K, ♦4, ♠4 | pair
♣J, ♥4, ♠2, ♠5, ♦4 | pair
♣J, ♥4, ♠2, ♠5, ♠4 | pair
♣J, ♥4, ♠2, ♥10, ♦4 | pair
♣J, ♥4, ♠2, ♥10, ♠4 | pair
♣J, ♥4, ♠2, ♣A, ♦4 | pair
♣J, ♥4, ♠2, ♣A, ♠4 | pair
♣J, ♥4, ♠2, ♠K, ♦4 | pair
♣J, ♥4, ♠2, ♠K, ♠4 | pair
♣J, ♥4, ♠2, ♦4, ♠4 | three of a kind
♣J, ♥4, ♠5, ♥10, ♦4 | pair
♣J, ♥4, ♠5, ♥10, ♠4 | pair
♣J, ♥4, ♠5, ♣A, ♦4 | pair
♣J, ♥4, ♠5, ♣A, ♠4 | pair
♣J, ♥4, ♠5, ♠K, ♦4 | pair
♣J, ♥4, ♠5, ♠K, ♠4 | pair
♣J, ♥4, ♠5, ♦4, ♠4 | three of a kind
♣J, ♥4, ♥10, ♣A, ♦4 | pair
♣J, ♥4, ♥10, ♣A, ♠4 | pair
♣J, ♥4, ♥10, ♠K, ♦4 | pair
♣J, ♥4, ♥10, ♠K, ♠4 | pair
♣J, ♥4, ♥10, ♦4, ♠4 | three of a kind
♣J, ♥4, ♣A, ♠K, ♦4 | pair
♣J, ♥4, ♣A, ♠K, ♠4 | pair
