♠A,♥J,♦5,♦7,♦A | Pair
♠A,♥K,♦9,♦T,♣T | Pair
♠A,♥K,♦T,♥7,♣T | Pair
♠A,♦9,♦T,♥7,♣T | Pair
♥J,♦5,♦7,♦A,♥7 | Pair
♥J,♦5,♦7,♥K,♥7 | Pair
♥J,♦5,♦7,♦9,♥7 | Pair
♥J,♦5,♦7,♦T,♥7 | Pair
♥J,♦5,♦7,♦T,♣T | Pair
♥J,♦5,♦7,♥7,♣T | Pair
♥J,♦5,♦A,♦T,♣T | Pair
♥J,♦5,♥K,♦T,♣T | Pair
♥J,♦5,♦9,♦T,♣T | Pair
♥J,♦5,♦T,♥7,♣T | Pair
♥J,♦7,♦A,♥K,♥7 | Pair
♥J,♦7,♦A,♦9,♥7 | Pair
♥J,♦7,♦A,♦T,♥7 | Pair
♥J,♦7,♦A,♦T,♣T | Pair
♥J,♦7,♦A,♥7,♣T | Pair
♥J,♦7,♥K,♦9,♥7 | Pair
♥J,♦7,♥K,♦T,♥7 | Pair
♥J,♦7,♥K,♦T,♣T | Pair
♥J,♦7,♥K,♥7,♣T | Pair
♥J,♦7,♦9,♦T,♥7 | Pair
♥J,♦7,♦9,♦T,♣T | Pair
♥J,♦7,♦9,♥7,♣T | Pair
♥J,♦7,♦T,♥7,♣T | Two Pairs
♥J,♦A,♥K,♦T,♣T | Pair
♥J,♦A,♦9,♦T,♣T | Pair
♥J,♦A,♦T,♥7,♣T | Pair
♥J,♥K,♦9,♦T,♣T | Pair
♥J,♥K,♦T,♥7,♣T | Pair
♥J,♦9,♦T,♥7,♣T | Pair
♦5,♦7,♦A,♥K,♥7 | Pair
♦5,♦7,♦A,♦9,♦T | Flush
♦5,♦7,♦A,♦9,♥7 | Pair
♦5,♦7,♦A,♦T,♥7 | Pair
♦5,♦7,♦A,♦T,♣T | Pair
♦5,♦7,♦A,♥7,♣T | Pair
♦5,♦7,♥K,♦9,♥7 | Pair
♦5,♦7,♥K,♦T,♥7 | Pair
♦5,♦7,♥K,♦T,♣T | Pair
♦5,♦7,♥K,♥7,♣T | Pair
♦5,♦7,♦9,♦T,♥7 | Pair
♦5,♦7,♦9,♦T,♣T | Pair
♦5,♦7,♦9,♥7,♣T | Pair
♦5,♦7,♦T,♥7,♣T | Two Pairs
♦5,♦A,♥K,♦T,♣T | Pair
♦5,♦A,♦9,♦T,♣T | Pair
♦5,♦A,♦T,♥7,♣T | Pair
♦5,♥K,♦9,♦T,♣T | Pair
♦5,♥K,♦T,♥7,♣T | Pair
♦5,♦9,♦T,♥7,♣T | Pair
♦7,♦A,♥K,♦9,♥7 | Pair
♦7,♦A,♥K,♦T,♥7 | Pair
♦7,♦A,♥K,♦T,♣T | Pair
♦7,♦A,♥K,♥7,♣T | Pair
♦7,♦A,♦9,♦T,♥7 | Pair
♦7,♦A,♦9,♦T,♣T | Pair
♦7,♦A,♦9,♥7,♣T | Pair
♦7,♦A,♦T,♥7,♣T | Two Pairs
♦7,♥K,♦9,♦T,♥7 | Pair
♦7,♥K,♦9,♦T,♣T | Pair
♦7,♥K,♦9,♥7,♣T | Pair
♦7,♥K,♦T,♥7,♣T | Two Pairs
♦7,♦9,♦T,♥7,♣T | Two Pairs
♦A,♥K,♦9,♦T,♣T | Pair
♦A,♥K,♦T,♥7,♣T | Pair
♦A,♦9,♦T,♥7,♣T | Pair
♥K,♦9,♦T,♥7,♣T | Pair
