♠A, ♥J, ♦5, ♦7, ♦A | pair
♠A, ♦A, ♥K, ♦9, ♦10 | pair
♠A, ♦A, ♥K, ♦9, ♥7 | pair
♠A, ♦A, ♥K, ♦9, ♣10 | pair
♠A, ♦A, ♥K, ♦10, ♥7 | pair
♠A, ♦A, ♥K, ♦10, ♣10 | two pairs
♠A, ♦A, ♥K, ♥7, ♣10 | pair
♠A, ♦A, ♦9, ♦10, ♥7 | pair
♠A, ♦A, ♦9, ♦10, ♣10 | two pairs
♠A, ♦A, ♦9, ♥7, ♣10 | pair
♠A, ♦A, ♦10, ♥7, ♣10 | two pairs
♠A, ♥K, ♦9, ♦10, ♣10 | pair
♠A, ♥K, ♦10, ♥7, ♣10 | pair
♠A, ♦9, ♦10, ♥7, ♣10 | pair
♥J, ♦5, ♦7, ♦A, ♥7 | pair
♥J, ♦5, ♦7, ♥K, ♥7 | pair
♥J, ♦5, ♦7, ♦9, ♥7 | pair
♥J, ♦5, ♦7, ♦10, ♥7 | pair
♥J, ♦5, ♦7, ♦10, ♣10 | pair
♥J, ♦5, ♦7, ♥7, ♣10 | pair
♥J, ♦5, ♦A, ♦10, ♣10 | pair
♥J, ♦5, ♥K, ♦10, ♣10 | pair
♥J, ♦5, ♦9, ♦10, ♣10 | pair
♥J, ♦5, ♦10, ♥7, ♣10 | pair
♥J, ♦7, ♦A, ♥K, ♥7 | pair
♥J, ♦7, ♦A, ♦9, ♥7 | pair
♥J, ♦7, ♦A, ♦10, ♥7 | pair
♥J, ♦7, ♦A, ♦10, ♣10 | pair
♥J, ♦7, ♦A, ♥7, ♣10 | pair
♥J, ♦7, ♥K, ♦9, ♥7 | pair
♥J, ♦7, ♥K, ♦10, ♥7 | pair
♥J, ♦7, ♥K, ♦10, ♣10 | pair
♥J, ♦7, ♥K, ♥7, ♣10 | pair
♥J, ♦7, ♦9, ♦10, ♥7 | pair
♥J, ♦7, ♦9, ♦10, ♣10 | pair
♥J, ♦7, ♦9, ♥7, ♣10 | pair
♥J, ♦7, ♦10, ♥7, ♣10 | two pairs
♥J, ♦A, ♥K, ♦10, ♣10 | pair
♥J, ♦A, ♦9, ♦10, ♣10 | pair
♥J, ♦A, ♦10, ♥7, ♣10 | pair
♥J, ♥K, ♦9, ♦10, ♣10 | pair
♥J, ♥K, ♦10, ♥7, ♣10 | pair
♥J, ♦9, ♦10, ♥7, ♣10 | pair
♦5, ♦7, ♦A, ♥K, ♥7 | pair
♦5, ♦7, ♦A, ♦9, ♦10 | flush
♦5, ♦7, ♦A, ♦9, ♥7 | pair
♦5, ♦7, ♦A, ♦10, ♥7 | pair
♦5, ♦7, ♦A, ♦10, ♣10 | pair
♦5, ♦7, ♦A, ♥7, ♣10 | pair
♦5, ♦7, ♥K, ♦9, ♥7 | pair
♦5, ♦7, ♥K, ♦10, ♥7 | pair
♦5, ♦7, ♥K, ♦10, ♣10 | pair
♦5, ♦7, ♥K, ♥7, ♣10 | pair
♦5, ♦7, ♦9, ♦10, ♥7 | pair
♦5, ♦7, ♦9, ♦10, ♣10 | pair
♦5, ♦7, ♦9, ♥7, ♣10 | pair
♦5, ♦7, ♦10, ♥7, ♣10 | two pairs
♦5, ♦A, ♥K, ♦10, ♣10 | pair
♦5, ♦A, ♦9, ♦10, ♣10 | pair
♦5, ♦A, ♦10, ♥7, ♣10 | pair
♦5, ♥K, ♦9, ♦10, ♣10 | pair
♦5, ♥K, ♦10, ♥7, ♣10 | pair
♦5, ♦9, ♦10, ♥7, ♣10 | pair
♦7, ♦A, ♥K, ♦9, ♥7 | pair
♦7, ♦A, ♥K, ♦10, ♥7 | pair
♦7, ♦A, ♥K, ♦10, ♣10 | pair
♦7, ♦A, ♥K, ♥7, ♣10 | pair
♦7, ♦A, ♦9, ♦10, ♥7 | pair
♦7, ♦A, ♦9, ♦10, ♣10 | pair
♦7, ♦A, ♦9, ♥7, ♣10 | pair
♦7, ♦A, ♦10, ♥7, ♣10 | two pairs
♦7, ♥K, ♦9, ♦10, ♥7 | pair
♦7, ♥K, ♦9, ♦10, ♣10 | pair
♦7, ♥K, ♦9, ♥7, ♣10 | pair
♦7, ♥K, ♦10, ♥7, ♣10 | two pairs
♦7, ♦9, ♦10, ♥7, ♣10 | two pairs
♦A, ♥K, ♦9, ♦10, ♣10 | pair
♦A, ♥K, ♦10, ♥7, ♣10 | pair
♦A, ♦9, ♦10, ♥7, ♣10 | pair
♥K, ♦9, ♦10, ♥7, ♣10 | pair
