♥A,♥K,♠K,♠7,♦4 | Pair
♥K,♠K,♦4,♦T,♦7 | Pair
♥K,♠K,♦4,♦T,♥8 | Pair
♥K,♠K,♦4,♦T,♦K | Full House
♥K,♠K,♦4,♦5,♦7 | Pair
♥K,♠K,♦4,♦5,♥8 | Pair
♥K,♠K,♦4,♦5,♦K | Full House
♥K,♠K,♦4,♦7,♥8 | Pair
♥K,♠K,♦4,♦7,♦K | Full House
♥K,♠K,♦4,♥8,♦K | Full House
♥K,♠K,♦T,♦5,♦7 | Pair
♥K,♠K,♦T,♦5,♥8 | Pair
♥K,♠K,♦T,♦5,♦K | Full House
♥K,♠K,♦T,♦7,♥8 | Pair
♥K,♠K,♦T,♦7,♦K | Full House
♥K,♠K,♦T,♥8,♦K | Full House
♥K,♠K,♦5,♦7,♥8 | Pair
♥K,♠K,♦5,♦7,♦K | Full House
♥K,♠K,♦5,♥8,♦K | Full House
♥K,♠K,♦7,♥8,♦K | Full House
♥K,♠7,♦4,♦T,♦7 | Pair
♥K,♠7,♦4,♦T,♦K | Pair
♥K,♠7,♦4,♦5,♦7 | Pair
♥K,♠7,♦4,♦5,♦K | Pair
♥K,♠7,♦4,♦7,♥8 | Pair
♥K,♠7,♦4,♦7,♦K | Two Pairs
♥K,♠7,♦4,♥8,♦K | Pair
♥K,♠7,♦T,♦5,♦7 | Pair
♥K,♠7,♦T,♦5,♦K | Pair
♥K,♠7,♦T,♦7,♥8 | Pair
♥K,♠7,♦T,♦7,♦K | Two Pairs
♥K,♠7,♦T,♥8,♦K | Pair
♥K,♠7,♦5,♦7,♥8 | Pair
♥K,♠7,♦5,♦7,♦K | Two Pairs
♥K,♠7,♦5,♥8,♦K | Pair
♥K,♠7,♦7,♥8,♦K | Two Pairs
♥K,♦4,♦T,♦5,♦K | Pair
♥K,♦4,♦T,♦7,♦K | Pair
♥K,♦4,♦T,♥8,♦K | Pair
♥K,♦4,♦5,♦7,♦K | Pair
♥K,♦4,♦5,♥8,♦K | Pair
♥K,♦4,♦7,♥8,♦K | Pair
♥K,♦T,♦5,♦7,♦K | Pair
♥K,♦T,♦5,♥8,♦K | Pair
♥K,♦T,♦7,♥8,♦K | Pair
♥K,♦5,♦7,♥8,♦K | Pair
♠K,♠7,♦4,♦T,♦7 | Pair
♠K,♠7,♦4,♦T,♦K | Pair
♠K,♠7,♦4,♦5,♦7 | Pair
♠K,♠7,♦4,♦5,♦K | Pair
♠K,♠7,♦4,♦7,♥8 | Pair
♠K,♠7,♦4,♦7,♦K | Two Pairs
♠K,♠7,♦4,♥8,♦K | Pair
♠K,♠7,♦T,♦5,♦7 | Pair
♠K,♠7,♦T,♦5,♦K | Pair
♠K,♠7,♦T,♦7,♥8 | Pair
♠K,♠7,♦T,♦7,♦K | Two Pairs
♠K,♠7,♦T,♥8,♦K | Pair
♠K,♠7,♦5,♦7,♥8 | Pair
♠K,♠7,♦5,♦7,♦K | Two Pairs
♠K,♠7,♦5,♥8,♦K | Pair
♠K,♠7,♦7,♥8,♦K | Two Pairs
♠K,♦4,♦T,♦5,♦K | Pair
♠K,♦4,♦T,♦7,♦K | Pair
♠K,♦4,♦T,♥8,♦K | Pair
♠K,♦4,♦5,♦7,♦K | Pair
♠K,♦4,♦5,♥8,♦K | Pair
♠K,♦4,♦7,♥8,♦K | Pair
♠K,♦T,♦5,♦7,♦K | Pair
♠K,♦T,♦5,♥8,♦K | Pair
♠K,♦T,♦7,♥8,♦K | Pair
♠K,♦5,♦7,♥8,♦K | Pair
♠7,♦4,♦T,♦5,♦7 | Pair
♠7,♦4,♦T,♦7,♥8 | Pair
♠7,♦4,♦T,♦7,♦K | Pair
♠7,♦4,♦5,♦7,♥8 | Pair
♠7,♦4,♦5,♦7,♦K | Pair
♠7,♦4,♦7,♥8,♦K | Pair
♠7,♦T,♦5,♦7,♥8 | Pair
♠7,♦T,♦5,♦7,♦K | Pair
♠7,♦T,♦7,♥8,♦K | Pair
♠7,♦5,♦7,♥8,♦K | Pair
♦4,♦T,♦5,♦7,♦K | Flush
