♦Q,♥Q,♣J,♥T,♥5 | Pair
♥Q,♣J,♥T,♦T,♥4 | Pair
♥Q,♣J,♥T,♣4,♥4 | Pair
♥Q,♣J,♥5,♣4,♥4 | Pair
♥Q,♣J,♦T,♣4,♥4 | Pair
♥Q,♣J,♠A,♣4,♥4 | Pair
♥Q,♣J,♣4,♦3,♥4 | Pair
♥Q,♥T,♥5,♦T,♠A | Pair
♥Q,♥T,♥5,♦T,♣4 | Pair
♥Q,♥T,♥5,♦T,♦3 | Pair
♥Q,♥T,♥5,♦T,♥4 | Pair
♥Q,♥T,♥5,♣4,♥4 | Pair
♥Q,♥T,♦T,♠A,♣4 | Pair
♥Q,♥T,♦T,♠A,♦3 | Pair
♥Q,♥T,♦T,♠A,♥4 | Pair
♥Q,♥T,♦T,♣4,♦3 | Pair
♥Q,♥T,♦T,♣4,♥4 | Two Pairs
♥Q,♥T,♦T,♦3,♥4 | Pair
♥Q,♥T,♠A,♣4,♥4 | Pair
♥Q,♥T,♣4,♦3,♥4 | Pair
♥Q,♥5,♦T,♣4,♥4 | Pair
♥Q,♥5,♠A,♣4,♥4 | Pair
♥Q,♥5,♣4,♦3,♥4 | Pair
♥Q,♦T,♠A,♣4,♥4 | Pair
♥Q,♦T,♣4,♦3,♥4 | Pair
♥Q,♠A,♣4,♦3,♥4 | Pair
♣J,♥T,♥5,♦T,♠A | Pair
♣J,♥T,♥5,♦T,♣4 | Pair
♣J,♥T,♥5,♦T,♦3 | Pair
♣J,♥T,♥5,♦T,♥4 | Pair
♣J,♥T,♥5,♣4,♥4 | Pair
♣J,♥T,♦T,♠A,♣4 | Pair
♣J,♥T,♦T,♠A,♦3 | Pair
♣J,♥T,♦T,♠A,♥4 | Pair
♣J,♥T,♦T,♣4,♦3 | Pair
♣J,♥T,♦T,♣4,♥4 | Two Pairs
♣J,♥T,♦T,♦3,♥4 | Pair
♣J,♥T,♠A,♣4,♥4 | Pair
♣J,♥T,♣4,♦3,♥4 | Pair
♣J,♥5,♦T,♣4,♥4 | Pair
♣J,♥5,♠A,♣4,♥4 | Pair
♣J,♥5,♣4,♦3,♥4 | Pair
♣J,♦T,♠A,♣4,♥4 | Pair
♣J,♦T,♣4,♦3,♥4 | Pair
♣J,♠A,♣4,♦3,♥4 | Pair
♥T,♥5,♦T,♠A,♣4 | Pair
♥T,♥5,♦T,♠A,♦3 | Pair
♥T,♥5,♦T,♠A,♥4 | Pair
♥T,♥5,♦T,♣4,♦3 | Pair
♥T,♥5,♦T,♣4,♥4 | Two Pairs
♥T,♥5,♦T,♦3,♥4 | Pair
♥T,♥5,♠A,♣4,♥4 | Pair
♥T,♥5,♣4,♦3,♥4 | Pair
♥T,♦T,♠A,♣4,♦3 | Pair
♥T,♦T,♠A,♣4,♥4 | Two Pairs
♥T,♦T,♠A,♦3,♥4 | Pair
♥T,♦T,♣4,♦3,♥4 | Two Pairs
♥T,♠A,♣4,♦3,♥4 | Pair
♥5,♦T,♠A,♣4,♥4 | Pair
♥5,♦T,♣4,♦3,♥4 | Pair
♥5,♠A,♣4,♦3,♥4 | Pair
♦T,♠A,♣4,♦3,♥4 | Pair
