♣K,♥10,♠3,♥10,♠4 | Pair
♥10,♥10,♠4,♣4,♠4 | Pair
♥10,♥10,♠4,♣4,♠4 | Pair
♥10,♥10,♠4,♣4,♠4 | Three Of A Kind
♥10,♥10,♠4,♠5,♦5 | Pair
♥10,♥10,♠4,♠5,♦5 | Pair
♥10,♥10,♠4,♠5,♠4 | Pair
♥10,♥10,♠4,♠5,♠4 | Pair
♥10,♥10,♠4,♦5,♠4 | Pair
♥10,♥10,♠4,♦5,♠4 | Pair
♥10,♥10,♠5,♣4,♠5 | Pair
♥10,♥10,♠5,♣4,♠5 | Pair
♥10,♥10,♠5,♣4,♦5 | Pair
♥10,♥10,♠5,♣4,♦5 | Pair
♥10,♥10,♠5,♣4,♠4 | Pair
♥10,♥10,♠5,♣4,♠4 | Pair
♥10,♥10,♠5,♠5,♦5 | Pair
♥10,♥10,♠5,♠5,♦5 | Pair
♥10,♥10,♠5,♠5,♦5 | Three Of A Kind
♥10,♥10,♠5,♠5,♠4 | Pair
♥10,♥10,♠5,♠5,♠4 | Pair
♥10,♥10,♠5,♦5,♠4 | Pair
♥10,♥10,♠5,♦5,♠4 | Pair
♥10,♥10,♣4,♠5,♦5 | Pair
♥10,♥10,♣4,♠5,♦5 | Pair
♥10,♥10,♣4,♠5,♠4 | Pair
♥10,♥10,♣4,♠5,♠4 | Pair
♥10,♥10,♣4,♦5,♠4 | Pair
♥10,♥10,♣4,♦5,♠4 | Pair
♥10,♥10,♠5,♦5,♠4 | Pair
♥10,♥10,♠5,♦5,♠4 | Pair
♥10,♠4,♠5,♣4,♠5 | Pair
♥10,♠4,♠5,♣4,♠5 | Pair
♥10,♠4,♠5,♣4,♦5 | Pair
♥10,♠4,♠5,♣4,♦5 | Pair
♥10,♠4,♠5,♣4,♠4 | Pair
♥10,♠4,♠5,♣4,♠4 | Three Of A Kind
♥10,♠4,♠5,♠5,♦5 | Pair
♥10,♠4,♠5,♠5,♦5 | Three Of A Kind
♥10,♠4,♠5,♠5,♠4 | Pair
♥10,♠4,♠5,♠5,♠4 | Pair
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠4,♣4,♠5,♦5 | Pair
♥10,♠4,♣4,♠5,♦5 | Pair
♥10,♠4,♣4,♠5,♠4 | Pair
♥10,♠4,♣4,♠5,♠4 | Three Of A Kind
♥10,♠4,♣4,♦5,♠4 | Pair
♥10,♠4,♣4,♦5,♠4 | Three Of A Kind
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠5,♣4,♠5,♦5 | Pair
♥10,♠5,♣4,♠5,♦5 | Three Of A Kind
♥10,♠5,♣4,♠5,♠4 | Pair
♥10,♠5,♣4,♠5,♠4 | Pair
♥10,♠5,♣4,♦5,♠4 | Pair
♥10,♠5,♣4,♦5,♠4 | Pair
♥10,♠5,♠5,♦5,♠4 | Pair
♥10,♠5,♠5,♦5,♠4 | Three Of A Kind
♥10,♣4,♠5,♦5,♠4 | Pair
♥10,♣4,♠5,♦5,♠4 | Pair
♠3,♥10,♠4,♠5,♣4 | Pair
♠3,♥10,♠4,♠5,♠5 | Pair
♠3,♥10,♠4,♠5,♦5 | Pair
♠3,♥10,♠4,♠5,♠4 | Pair
♠3,♥10,♠4,♣4,♠5 | Pair
♠3,♥10,♠4,♣4,♦5 | Pair
♠3,♥10,♠4,♣4,♠4 | Pair
♠3,♥10,♠4,♣4,♠4 | Three Of A Kind
♠3,♥10,♠4,♠5,♦5 | Pair
♠3,♥10,♠4,♠5,♠4 | Pair
♠3,♥10,♠4,♦5,♠4 | Pair
♠3,♥10,♠5,♣4,♠5 | Pair
♠3,♥10,♠5,♣4,♦5 | Pair
♠3,♥10,♠5,♣4,♠4 | Pair
♠3,♥10,♠5,♠5,♦5 | Pair
♠3,♥10,♠5,♠5,♦5 | Three Of A Kind
♠3,♥10,♠5,♠5,♠4 | Pair
♠3,♥10,♠5,♦5,♠4 | Pair
♠3,♥10,♣4,♠5,♦5 | Pair
♠3,♥10,♣4,♠5,♠4 | Pair
♠3,♥10,♣4,♦5,♠4 | Pair
♠3,♥10,♠5,♦5,♠4 | Pair
♠3,♠4,♠5,♣4,♠5 | Pair
♠3,♠4,♠5,♣4,♠5 | Pair
♠3,♠4,♠5,♣4,♦5 | Pair
♠3,♠4,♠5,♣4,♦5 | Pair
♠3,♠4,♠5,♣4,♠4 | Pair
♠3,♠4,♠5,♣4,♠4 | Three Of A Kind
♠3,♠4,♠5,♠5,♦5 | Pair
♠3,♠4,♠5,♠5,♦5 | Three Of A Kind
♠3,♠4,♠5,♠5,♠4 | Pair
♠3,♠4,♠5,♠5,♠4 | Pair
♠3,♠4,♠5,♦5,♠4 | Pair
♠3,♠4,♠5,♦5,♠4 | Pair
♠3,♠4,♣4,♠5,♦5 | Pair
♠3,♠4,♣4,♠5,♦5 | Pair
♠3,♠4,♣4,♠5,♠4 | Pair
♠3,♠4,♣4,♠5,♠4 | Three Of A Kind
♠3,♠4,♣4,♦5,♠4 | Pair
♠3,♠4,♣4,♦5,♠4 | Three Of A Kind
♠3,♠4,♠5,♦5,♠4 | Pair
♠3,♠4,♠5,♦5,♠4 | Pair
♠3,♠5,♣4,♠5,♦5 | Pair
♠3,♠5,♣4,♠5,♦5 | Three Of A Kind
♠3,♠5,♣4,♠5,♠4 | Pair
♠3,♠5,♣4,♠5,♠4 | Pair
♠3,♠5,♣4,♦5,♠4 | Pair
♠3,♠5,♣4,♦5,♠4 | Pair
♠3,♠5,♠5,♦5,♠4 | Pair
♠3,♠5,♠5,♦5,♠4 | Three Of A Kind
♠3,♣4,♠5,♦5,♠4 | Pair
♠3,♣4,♠5,♦5,♠4 | Pair
♥10,♠4,♠5,♣4,♠5 | Pair
♥10,♠4,♠5,♣4,♠5 | Pair
♥10,♠4,♠5,♣4,♦5 | Pair
♥10,♠4,♠5,♣4,♦5 | Pair
♥10,♠4,♠5,♣4,♠4 | Pair
♥10,♠4,♠5,♣4,♠4 | Three Of A Kind
♥10,♠4,♠5,♠5,♦5 | Pair
♥10,♠4,♠5,♠5,♦5 | Three Of A Kind
♥10,♠4,♠5,♠5,♠4 | Pair
♥10,♠4,♠5,♠5,♠4 | Pair
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠4,♣4,♠5,♦5 | Pair
♥10,♠4,♣4,♠5,♦5 | Pair
♥10,♠4,♣4,♠5,♠4 | Pair
♥10,♠4,♣4,♠5,♠4 | Three Of A Kind
♥10,♠4,♣4,♦5,♠4 | Pair
♥10,♠4,♣4,♦5,♠4 | Three Of A Kind
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠4,♠5,♦5,♠4 | Pair
♥10,♠5,♣4,♠5,♦5 | Pair
♥10,♠5,♣4,♠5,♦5 | Three Of A Kind
♥10,♠5,♣4,♠5,♠4 | Pair
♥10,♠5,♣4,♠5,♠4 | Pair
♥10,♠5,♣4,♦5,♠4 | Pair
♥10,♠5,♣4,♦5,♠4 | Pair
♥10,♠5,♠5,♦5,♠4 | Pair
♥10,♠5,♠5,♦5,♠4 | Three Of A Kind
♥10,♣4,♠5,♦5,♠4 | Pair
♥10,♣4,♠5,♦5,♠4 | Pair
♠4,♠5,♣4,♠5,♦5 | Pair
♠4,♠5,♣4,♠5,♦5 | Pair
♠4,♠5,♣4,♠5,♦5 | Three Of A Kind
♠4,♠5,♣4,♠5,♠4 | Pair
♠4,♠5,♣4,♠5,♠4 | Three Of A Kind
♠4,♠5,♣4,♠5,♠4 | Pair
♠4,♠5,♣4,♦5,♠4 | Pair
♠4,♠5,♣4,♦5,♠4 | Pair
♠4,♠5,♣4,♦5,♠4 | Three Of A Kind
♠4,♠5,♠5,♦5,♠4 | Pair
♠4,♠5,♠5,♦5,♠4 | Three Of A Kind
♠4,♠5,♠5,♦5,♠4 | Pair
♠4,♣4,♠5,♦5,♠4 | Pair
♠4,♣4,♠5,♦5,♠4 | Three Of A Kind
♠4,♣4,♠5,♦5,♠4 | Pair
♠5,♣4,♠5,♦5,♠4 | Pair
♠5,♣4,♠5,♦5,♠4 | Three Of A Kind
♠5,♣4,♠5,♦5,♠4 | Pair
