♣2,♣6,♦5,♦6,♥A | Pair
♣2,♦5,♥A,♥4,♣2 | Pair
♣2,♦5,♥A,♥4,♠J | Pair
♣2,♦5,♥A,♥4,♣J | Pair
♣2,♦5,♥A,♣2,♠J | Pair
♣2,♦5,♥A,♣2,♠J | Pair
♣2,♦5,♥A,♣2,♣J | Pair
♣2,♦5,♥A,♣2,♣J | Pair
♣2,♦5,♥A,♠J,♣J | Pair
♣2,♦5,♥A,♠J,♣J | Three Of A Kind
♣2,♦5,♣J,♥K,♥4 | Pair
♣2,♦5,♣J,♥K,♣2 | Pair
♣2,♦5,♣J,♥K,♣2 | Pair
♣2,♦5,♣J,♥K,♠J | Pair
♣2,♦5,♣J,♥K,♠J | Three Of A Kind
♣2,♦5,♣J,♥K,♣J | Pair
♣2,♦5,♣J,♥K,♣J | Three Of A Kind
♣2,♦5,♣J,♥4,♣2 | Pair
♣2,♦5,♣J,♥4,♠J | Pair
♣2,♦5,♣J,♥4,♣J | Pair
♣2,♦5,♣J,♣2,♠J | Pair
♣2,♦5,♣J,♣2,♠J | Pair
♣2,♦5,♣J,♣2,♣J | Pair
♣2,♦5,♣J,♣2,♣J | Pair
♣2,♦5,♣J,♠J,♣J | Pair
♣2,♦5,♣J,♠J,♣J | Three Of A Kind
♣2,♦5,♥K,♥4,♣2 | Pair
♣2,♦5,♥K,♥4,♠J | Pair
♣2,♦5,♥K,♥4,♣J | Pair
♣2,♦5,♥K,♣2,♠J | Pair
♣2,♦5,♥K,♣2,♠J | Pair
♣2,♦5,♥K,♣2,♣J | Pair
♣2,♦5,♥K,♣2,♣J | Pair
♣2,♦5,♥K,♠J,♣J | Pair
♣2,♦5,♥K,♠J,♣J | Three Of A Kind
♣2,♦5,♥4,♣2,♠J | Pair
♣2,♦5,♥4,♣2,♣J | Pair
♣2,♦5,♥4,♠J,♣J | Pair
♣2,♦5,♣2,♠J,♣J | Pair
♣2,♦5,♣2,♠J,♣J | Pair
♣2,♦6,♥A,♣J,♥K | Pair
♣2,♦6,♥A,♣J,♥K | Three Of A Kind
♣2,♦6,♥A,♣J,♥4 | Pair
♣2,♦6,♥A,♣J,♣2 | Pair
♣2,♦6,♥A,♣J,♣2 | Pair
♣2,♦6,♥A,♣J,♠J | Pair
♣2,♦6,♥A,♣J,♠J | Three Of A Kind
♣2,♦6,♥A,♣J,♣J | Pair
♣2,♦6,♥A,♣J,♣J | Three Of A Kind
♣2,♦6,♥A,♥K,♥4 | Pair
♣2,♦6,♥A,♥K,♣2 | Pair
♣2,♦6,♥A,♥K,♣2 | Pair
♣2,♦6,♥A,♥K,♠J | Pair
♣2,♦6,♥A,♥K,♠J | Three Of A Kind
♣2,♦6,♥A,♥K,♣J | Pair
♣2,♦6,♥A,♥K,♣J | Three Of A Kind
♣2,♦6,♥A,♥4,♣2 | Pair
♣2,♦6,♥A,♥4,♠J | Pair
♣2,♦6,♥A,♥4,♣J | Pair
♣2,♦6,♥A,♣2,♠J | Pair
♣2,♦6,♥A,♣2,♠J | Pair
♣2,♦6,♥A,♣2,♣J | Pair
♣2,♦6,♥A,♣2,♣J | Pair
♣2,♦6,♥A,♠J,♣J | Pair
♣2,♦6,♥A,♠J,♣J | Three Of A Kind
♣2,♦6,♣J,♥K,♥4 | Pair
♣2,♦6,♣J,♥K,♣2 | Pair
♣2,♦6,♣J,♥K,♣2 | Pair
♣2,♦6,♣J,♥K,♠J | Pair
♣2,♦6,♣J,♥K,♠J | Three Of A Kind
♣2,♦6,♣J,♥K,♣J | Pair
♣2,♦6,♣J,♥K,♣J | Three Of A Kind
♣2,♦6,♣J,♥4,♣2 | Pair
♣2,♦6,♣J,♥4,♠J | Pair
♣2,♦6,♣J,♥4,♣J | Pair
♣2,♦6,♣J,♣2,♠J | Pair
♣2,♦6,♣J,♣2,♠J | Pair
♣2,♦6,♣J,♣2,♣J | Pair
♣2,♦6,♣J,♣2,♣J | Pair
♣2,♦6,♣J,♠J,♣J | Pair
♣2,♦6,♣J,♠J,♣J | Three Of A Kind
♣2,♦6,♥K,♥4,♣2 | Pair
♣2,♦6,♥K,♥4,♠J | Pair
♣2,♦6,♥K,♥4,♣J | Pair
♣2,♦6,♥K,♣2,♠J | Pair
♣2,♦6,♥K,♣2,♠J | Pair
♣2,♦6,♥K,♣2,♣J | Pair
♣2,♦6,♥K,♣2,♣J | Pair
♣2,♦6,♥K,♠J,♣J | Pair
♣2,♦6,♥K,♠J,♣J | Three Of A Kind
♣2,♦6,♥4,♣2,♠J | Pair
♣2,♦6,♥4,♣2,♣J | Pair
♣2,♦6,♥4,♠J,♣J | Pair
♣2,♦6,♣2,♠J,♣J | Pair
♣2,♦6,♣2,♠J,♣J | Pair
♣2,♥A,♣J,♥K,♥4 | Pair
♣2,♥A,♣J,♥K,♥4 | Three Of A Kind
♣2,♥A,♣J,♥K,♣2 | Pair
♣2,♥A,♣J,♥K,♣2 | Pair
♣2,♥A,♣J,♥K,♣2 | Three Of A Kind
♣2,♥A,♣J,♥K,♠J | Pair
♣2,♥A,♣J,♥K,♠J | Three Of A Kind
♣2,♥A,♣J,♥K,♠J | Four Of A Kind
♣2,♥A,♣J,♥K,♣J | Pair
♣2,♥A,♣J,♥K,♣J | Three Of A Kind
♣2,♥A,♣J,♥K,♣J | Four Of A Kind
♣2,♥A,♣J,♥4,♣2 | Pair
♣2,♥A,♣J,♥4,♣2 | Pair
♣2,♥A,♣J,♥4,♠J | Pair
♣2,♥A,♣J,♥4,♠J | Three Of A Kind
♣2,♥A,♣J,♥4,♣J | Pair
♣2,♥A,♣J,♥4,♣J | Three Of A Kind
♣2,♥A,♣J,♣2,♠J | Pair
♣2,♥A,♣J,♣2,♠J | Pair
♣2,♥A,♣J,♣2,♠J | Three Of A Kind
♣2,♥A,♣J,♣2,♣J | Pair
♣2,♥A,♣J,♣2,♣J | Pair
♣2,♥A,♣J,♣2,♣J | Three Of A Kind
♣2,♥A,♣J,♠J,♣J | Pair
♣2,♥A,♣J,♠J,♣J | Three Of A Kind
♣2,♥A,♣J,♠J,♣J | Four Of A Kind
♣2,♥A,♥K,♥4,♣2 | Pair
♣2,♥A,♥K,♥4,♣2 | Pair
♣2,♥A,♥K,♥4,♠J | Pair
♣2,♥A,♥K,♥4,♠J | Three Of A Kind
♣2,♥A,♥K,♥4,♣J | Pair
♣2,♥A,♥K,♥4,♣J | Three Of A Kind
♣2,♥A,♥K,♣2,♠J | Pair
♣2,♥A,♥K,♣2,♠J | Three Of A Kind
♣2,♥A,♥K,♣2,♠J | Pair
♣2,♥A,♥K,♣2,♣J | Pair
♣2,♥A,♥K,♣2,♣J | Pair
♣2,♥A,♥K,♣2,♣J | Three Of A Kind
♣2,♥A,♥K,♠J,♣J | Pair
♣2,♥A,♥K,♠J,♣J | Three Of A Kind
♣2,♥A,♥K,♠J,♣J | Four Of A Kind
♣2,♥A,♥4,♣2,♠J | Pair
♣2,♥A,♥4,♣2,♠J | Pair
♣2,♥A,♥4,♣2,♣J | Pair
♣2,♥A,♥4,♣2,♣J | Pair
♣2,♥A,♥4,♠J,♣J | Pair
♣2,♥A,♥4,♠J,♣J | Three Of A Kind
♣2,♥A,♣2,♠J,♣J | Pair
♣2,♥A,♣2,♠J,♣J | Pair
♣2,♥A,♣2,♠J,♣J | Three Of A Kind
♣2,♣J,♥K,♥4,♣2 | Pair
♣2,♣J,♥K,♥4,♣2 | Pair
♣2,♣J,♥K,♥4,♠J | Pair
♣2,♣J,♥K,♥4,♠J | Three Of A Kind
♣2,♣J,♥K,♥4,♣J | Pair
♣2,♣J,♥K,♥4,♣J | Three Of A Kind
♣2,♣J,♥K,♣2,♠J | Pair
♣2,♣J,♥K,♣2,♠J | Pair
♣2,♣J,♥K,♣2,♠J | Three Of A Kind
♣2,♣J,♥K,♣2,♣J | Pair
♣2,♣J,♥K,♣2,♣J | Pair
♣2,♣J,♥K,♣2,♣J | Three Of A Kind
♣2,♣J,♥K,♠J,♣J | Pair
♣2,♣J,♥K,♠J,♣J | Three Of A Kind
♣2,♣J,♥K,♠J,♣J | Four Of A Kind
♣2,♣J,♥4,♣2,♠J | Pair
♣2,♣J,♥4,♣2,♠J | Pair
♣2,♣J,♥4,♣2,♣J | Pair
♣2,♣J,♥4,♣2,♣J | Pair
♣2,♣J,♥4,♠J,♣J | Pair
♣2,♣J,♥4,♠J,♣J | Three Of A Kind
♣2,♣J,♣2,♠J,♣J | Pair
♣2,♣J,♣2,♠J,♣J | Pair
♣2,♣J,♣2,♠J,♣J | Three Of A Kind
♣2,♥K,♥4,♣2,♠J | Pair
♣2,♥K,♥4,♣2,♠J | Pair
♣2,♥K,♥4,♣2,♣J | Pair
♣2,♥K,♥4,♣2,♣J | Pair
♣2,♥K,♥4,♠J,♣J | Pair
♣2,♥K,♥4,♠J,♣J | Three Of A Kind
♣2,♥K,♣2,♠J,♣J | Pair
♣2,♥K,♣2,♠J,♣J | Pair
♣2,♥K,♣2,♠J,♣J | Three Of A Kind
♣2,♥4,♣2,♠J,♣J | Pair
♣2,♥4,♣2,♠J,♣J | Pair
♣6,♦5,♦6,♥A,♣J | Pair
♣6,♦5,♦6,♥A,♣J | Pair
♣6,♦5,♦6,♥A,♥K | Pair
♣6,♦5,♦6,♥A,♥K | Pair
♣6,♦5,♦6,♥A,♥4 | Pair
♣6,♦5,♦6,♥A,♣2 | Pair
♣6,♦5,♦6,♥A,♠J | Pair
♣6,♦5,♦6,♥A,♠J | Pair
♣6,♦5,♦6,♥A,♣J | Pair
♣6,♦5,♦6,♥A,♣J | Pair
♣6,♦5,♦6,♣J,♥K | Pair
♣6,♦5,♦6,♣J,♥K | Pair
♣6,♦5,♦6,♣J,♥4 | Pair
♣6,♦5,♦6,♣J,♣2 | Pair
♣6,♦5,♦6,♣J,♠J | Pair
♣6,♦5,♦6,♣J,♠J | Pair
♣6,♦5,♦6,♣J,♣J | Pair
♣6,♦5,♦6,♣J,♣J | Pair
♣6,♦5,♦6,♥K,♥4 | Pair
♣6,♦5,♦6,♥K,♣2 | Pair
♣6,♦5,♦6,♥K,♠J | Pair
♣6,♦5,♦6,♥K,♠J | Pair
♣6,♦5,♦6,♥K,♣J | Pair
♣6,♦5,♦6,♥K,♣J | Pair
♣6,♦5,♦6,♥4,♣2 | Pair
♣6,♦5,♦6,♥4,♠J | Pair
♣6,♦5,♦6,♥4,♣J | Pair
♣6,♦5,♦6,♣2,♠J | Pair
♣6,♦5,♦6,♣2,♣J | Pair
♣6,♦5,♦6,♠J,♣J | Pair
♣6,♦5,♦6,♠J,♣J | Pair
♣6,♦5,♥A,♣J,♥K | Pair
♣6,♦5,♥A,♣J,♥K | Three Of A Kind
♣6,♦5,♥A,♣J,♥4 | Pair
♣6,♦5,♥A,♣J,♣2 | Pair
♣6,♦5,♥A,♣J,♠J | Pair
♣6,♦5,♥A,♣J,♠J | Three Of A Kind
♣6,♦5,♥A,♣J,♣J | Pair
♣6,♦5,♥A,♣J,♣J | Three Of A Kind
♣6,♦5,♥A,♥K,♥4 | Pair
♣6,♦5,♥A,♥K,♣2 | Pair
♣6,♦5,♥A,♥K,♠J | Pair
♣6,♦5,♥A,♥K,♠J | Three Of A Kind
♣6,♦5,♥A,♥K,♣J | Pair
♣6,♦5,♥A,♥K,♣J | Three Of A Kind
♣6,♦5,♥A,♥4,♠J | Pair
♣6,♦5,♥A,♥4,♣J | Pair
♣6,♦5,♥A,♣2,♠J | Pair
♣6,♦5,♥A,♣2,♣J | Pair
♣6,♦5,♥A,♠J,♣J | Pair
♣6,♦5,♥A,♠J,♣J | Three Of A Kind
♣6,♦5,♣J,♥K,♥4 | Pair
♣6,♦5,♣J,♥K,♣2 | Pair
♣6,♦5,♣J,♥K,♠J | Pair
♣6,♦5,♣J,♥K,♠J | Three Of A Kind
♣6,♦5,♣J,♥K,♣J | Pair
♣6,♦5,♣J,♥K,♣J | Three Of A Kind
♣6,♦5,♣J,♥4,♠J | Pair
♣6,♦5,♣J,♥4,♣J | Pair
♣6,♦5,♣J,♣2,♠J | Pair
♣6,♦5,♣J,♣2,♣J | Pair
♣6,♦5,♣J,♠J,♣J | Pair
♣6,♦5,♣J,♠J,♣J | Three Of A Kind
♣6,♦5,♥K,♥4,♠J | Pair
♣6,♦5,♥K,♥4,♣J | Pair
♣6,♦5,♥K,♣2,♠J | Pair
♣6,♦5,♥K,♣2,♣J | Pair
♣6,♦5,♥K,♠J,♣J | Pair
♣6,♦5,♥K,♠J,♣J | Three Of A Kind
♣6,♦5,♥4,♠J,♣J | Pair
♣6,♦5,♣2,♠J,♣J | Pair
♣6,♦6,♥A,♣J,♥K | Pair
♣6,♦6,♥A,♣J,♥K | Pair
♣6,♦6,♥A,♣J,♥K | Three Of A Kind
♣6,♦6,♥A,♣J,♥4 | Pair
♣6,♦6,♥A,♣J,♥4 | Pair
♣6,♦6,♥A,♣J,♣2 | Pair
♣6,♦6,♥A,♣J,♣2 | Pair
♣6,♦6,♥A,♣J,♠J | Pair
♣6,♦6,♥A,♣J,♠J | Pair
♣6,♦6,♥A,♣J,♠J | Three Of A Kind
♣6,♦6,♥A,♣J,♣J | Pair
♣6,♦6,♥A,♣J,♣J | Pair
♣6,♦6,♥A,♣J,♣J | Three Of A Kind
♣6,♦6,♥A,♥K,♥4 | Pair
♣6,♦6,♥A,♥K,♥4 | Pair
♣6,♦6,♥A,♥K,♣2 | Pair
♣6,♦6,♥A,♥K,♣2 | Pair
♣6,♦6,♥A,♥K,♠J | Pair
♣6,♦6,♥A,♥K,♠J | Pair
♣6,♦6,♥A,♥K,♠J | Three Of A Kind
♣6,♦6,♥A,♥K,♣J | Pair
♣6,♦6,♥A,♥K,♣J | Pair
♣6,♦6,♥A,♥K,♣J | Three Of A Kind
♣6,♦6,♥A,♥4,♣2 | Pair
♣6,♦6,♥A,♥4,♠J | Pair
♣6,♦6,♥A,♥4,♠J | Pair
♣6,♦6,♥A,♥4,♣J | Pair
♣6,♦6,♥A,♥4,♣J | Pair
♣6,♦6,♥A,♣2,♠J | Pair
♣6,♦6,♥A,♣2,♠J | Pair
♣6,♦6,♥A,♣2,♣J | Pair
♣6,♦6,♥A,♣2,♣J | Pair
♣6,♦6,♥A,♠J,♣J | Pair
♣6,♦6,♥A,♠J,♣J | Pair
♣6,♦6,♥A,♠J,♣J | Three Of A Kind
♣6,♦6,♣J,♥K,♥4 | Pair
♣6,♦6,♣J,♥K,♥4 | Pair
♣6,♦6,♣J,♥K,♣2 | Pair
♣6,♦6,♣J,♥K,♣2 | Pair
♣6,♦6,♣J,♥K,♠J | Pair
♣6,♦6,♣J,♥K,♠J | Pair
♣6,♦6,♣J,♥K,♠J | Three Of A Kind
♣6,♦6,♣J,♥K,♣J | Pair
♣6,♦6,♣J,♥K,♣J | Pair
♣6,♦6,♣J,♥K,♣J | Three Of A Kind
♣6,♦6,♣J,♥4,♣2 | Pair
♣6,♦6,♣J,♥4,♠J | Pair
♣6,♦6,♣J,♥4,♠J | Pair
♣6,♦6,♣J,♥4,♣J | Pair
♣6,♦6,♣J,♥4,♣J | Pair
♣6,♦6,♣J,♣2,♠J | Pair
♣6,♦6,♣J,♣2,♠J | Pair
♣6,♦6,♣J,♣2,♣J | Pair
♣6,♦6,♣J,♣2,♣J | Pair
♣6,♦6,♣J,♠J,♣J | Pair
♣6,♦6,♣J,♠J,♣J | Pair
♣6,♦6,♣J,♠J,♣J | Three Of A Kind
♣6,♦6,♥K,♥4,♣2 | Pair
♣6,♦6,♥K,♥4,♠J | Pair
♣6,♦6,♥K,♥4,♠J | Pair
♣6,♦6,♥K,♥4,♣J | Pair
♣6,♦6,♥K,♥4,♣J | Pair
♣6,♦6,♥K,♣2,♠J | Pair
♣6,♦6,♥K,♣2,♠J | Pair
♣6,♦6,♥K,♣2,♣J | Pair
♣6,♦6,♥K,♣2,♣J | Pair
♣6,♦6,♥K,♠J,♣J | Pair
♣6,♦6,♥K,♠J,♣J | Three Of A Kind
♣6,♦6,♥K,♠J,♣J | Pair
♣6,♦6,♥4,♣2,♠J | Pair
♣6,♦6,♥4,♣2,♣J | Pair
♣6,♦6,♥4,♠J,♣J | Pair
♣6,♦6,♥4,♠J,♣J | Pair
♣6,♦6,♣2,♠J,♣J | Pair
♣6,♦6,♣2,♠J,♣J | Pair
♣6,♥A,♣J,♥K,♥4 | Pair
♣6,♥A,♣J,♥K,♥4 | Three Of A Kind
♣6,♥A,♣J,♥K,♣2 | Pair
♣6,♥A,♣J,♥K,♣2 | Three Of A Kind
♣6,♥A,♣J,♥K,♠J | Pair
♣6,♥A,♣J,♥K,♠J | Three Of A Kind
♣6,♥A,♣J,♥K,♠J | Four Of A Kind
♣6,♥A,♣J,♥K,♣J | Pair
♣6,♥A,♣J,♥K,♣J | Three Of A Kind
♣6,♥A,♣J,♥K,♣J | Four Of A Kind
♣6,♥A,♣J,♥4,♣2 | Pair
♣6,♥A,♣J,♥4,♠J | Pair
♣6,♥A,♣J,♥4,♠J | Three Of A Kind
♣6,♥A,♣J,♥4,♣J | Pair
♣6,♥A,♣J,♥4,♣J | Three Of A Kind
♣6,♥A,♣J,♣2,♠J | Pair
♣6,♥A,♣J,♣2,♠J | Three Of A Kind
♣6,♥A,♣J,♣2,♣J | Pair
♣6,♥A,♣J,♣2,♣J | Three Of A Kind
♣6,♥A,♣J,♠J,♣J | Pair
♣6,♥A,♣J,♠J,♣J | Three Of A Kind
♣6,♥A,♣J,♠J,♣J | Four Of A Kind
♣6,♥A,♥K,♥4,♣2 | Pair
♣6,♥A,♥K,♥4,♠J | Pair
♣6,♥A,♥K,♥4,♠J | Three Of A Kind
♣6,♥A,♥K,♥4,♣J | Pair
♣6,♥A,♥K,♥4,♣J | Three Of A Kind
♣6,♥A,♥K,♣2,♠J | Pair
♣6,♥A,♥K,♣2,♠J | Three Of A Kind
♣6,♥A,♥K,♣2,♣J | Pair
♣6,♥A,♥K,♣2,♣J | Three Of A Kind
♣6,♥A,♥K,♠J,♣J | Pair
♣6,♥A,♥K,♠J,♣J | Three Of A Kind
♣6,♥A,♥K,♠J,♣J | Four Of A Kind
♣6,♥A,♥4,♣2,♠J | Pair
♣6,♥A,♥4,♣2,♣J | Pair
♣6,♥A,♥4,♠J,♣J | Pair
♣6,♥A,♥4,♠J,♣J | Three Of A Kind
♣6,♥A,♣2,♠J,♣J | Pair
♣6,♥A,♣2,♠J,♣J | Three Of A Kind
♣6,♣J,♥K,♥4,♣2 | Pair
♣6,♣J,♥K,♥4,♠J | Pair
♣6,♣J,♥K,♥4,♠J | Three Of A Kind
♣6,♣J,♥K,♥4,♣J | Pair
♣6,♣J,♥K,♥4,♣J | Three Of A Kind
♣6,♣J,♥K,♣2,♠J | Pair
♣6,♣J,♥K,♣2,♠J | Three Of A Kind
♣6,♣J,♥K,♣2,♣J | Pair
♣6,♣J,♥K,♣2,♣J | Three Of A Kind
♣6,♣J,♥K,♠J,♣J | Pair
♣6,♣J,♥K,♠J,♣J | Three Of A Kind
♣6,♣J,♥K,♠J,♣J | Four Of A Kind
♣6,♣J,♥4,♣2,♠J | Pair
♣6,♣J,♥4,♣2,♣J | Pair
♣6,♣J,♥4,♠J,♣J | Pair
♣6,♣J,♥4,♠J,♣J | Three Of A Kind
♣6,♣J,♣2,♠J,♣J | Pair
♣6,♣J,♣2,♠J,♣J | Three Of A Kind
♣6,♥K,♥4,♣2,♠J | Pair
♣6,♥K,♥4,♣2,♣J | Pair
♣6,♥K,♥4,♠J,♣J | Pair
♣6,♥K,♥4,♠J,♣J | Three Of A Kind
♣6,♥K,♣2,♠J,♣J | Pair
♣6,♥K,♣2,♠J,♣J | Three Of A Kind
♣6,♥4,♣2,♠J,♣J | Pair
♦5,♦6,♥A,♣J,♥K | Pair
♦5,♦6,♥A,♣J,♥K | Three Of A Kind
♦5,♦6,♥A,♣J,♥4 | Pair
♦5,♦6,♥A,♣J,♣2 | Pair
♦5,♦6,♥A,♣J,♠J | Pair
♦5,♦6,♥A,♣J,♠J | Three Of A Kind
♦5,♦6,♥A,♣J,♣J | Pair
♦5,♦6,♥A,♣J,♣J | Three Of A Kind
♦5,♦6,♥A,♥K,♥4 | Pair
♦5,♦6,♥A,♥K,♣2 | Pair
♦5,♦6,♥A,♥K,♠J | Pair
♦5,♦6,♥A,♥K,♠J | Three Of A Kind
♦5,♦6,♥A,♥K,♣J | Pair
♦5,♦6,♥A,♥K,♣J | Three Of A Kind
♦5,♦6,♥A,♥4,♠J | Pair
