♦6,♦K,♥A,♦T,♥6 | Pair
♦6,♦K,♥2,♠2,♣A | Pair
♦6,♦K,♥2,♠2,♠6 | Two Pairs
♦6,♦K,♥2,♠3,♥6 | Pair
♦6,♦K,♥2,♠3,♠6 | Pair
♦6,♦K,♥2,♥6,♣A | Pair
♦6,♦K,♥2,♥6,♠6 | Full House
♦6,♦K,♥2,♣A,♠6 | Pair
♦6,♦K,♥7,♣9,♥6 | Pair
♦6,♦K,♥7,♣9,♠6 | Pair
♦6,♦K,♥7,♠2,♥6 | Pair
♦6,♦K,♥7,♠2,♠6 | Pair
♦6,♦K,♥7,♠3,♥6 | Pair
♦6,♦K,♥7,♠3,♠6 | Pair
♦6,♦K,♥7,♥6,♣A | Pair
♦6,♦K,♥7,♥6,♠6 | Full House
♦6,♦K,♥7,♣A,♠6 | Pair
♦6,♦K,♣9,♠2,♥6 | Pair
♦6,♦K,♣9,♠2,♠6 | Pair
♦6,♦K,♣9,♠3,♥6 | Pair
♦6,♦K,♣9,♠3,♠6 | Pair
♦6,♦K,♣9,♥6,♣A | Pair
♦6,♦K,♣9,♥6,♠6 | Full House
♦6,♦K,♣9,♣A,♠6 | Pair
♦6,♦K,♠2,♠3,♥6 | Pair
♦6,♦K,♠2,♠3,♠6 | Pair
♦6,♦K,♠2,♥6,♣A | Pair
♦6,♦K,♠2,♥6,♠6 | Full House
♦6,♦K,♠2,♣A,♠6 | Pair
♦6,♦K,♠3,♥6,♣A | Pair
♦6,♦K,♠3,♥6,♠6 | Full House
♦6,♦K,♠3,♣A,♠6 | Pair
♦6,♦K,♥6,♣A,♠6 | Full House
♦6,♥A,♦T,♥2,♠2 | Pair
♦6,♥A,♦T,♥2,♥6 | Pair
♦6,♥A,♦T,♥2,♣A | Pair
♦6,♥A,♦T,♥2,♠6 | Pair
♦6,♥A,♦T,♥7,♥6 | Pair
♦6,♥A,♦T,♥7,♣A | Pair
♦6,♥A,♦T,♥7,♠6 | Pair
♦6,♥A,♦T,♣9,♥6 | Pair
♦6,♥A,♦T,♣9,♣A | Pair
♦6,♥A,♦T,♣9,♠6 | Pair
♦6,♥A,♦T,♠2,♥6 | Pair
♦6,♥A,♦T,♠2,♣A | Pair
♦6,♥A,♦T,♠2,♠6 | Pair
♦6,♥A,♦T,♠3,♥6 | Pair
♦6,♥A,♦T,♠3,♣A | Pair
♦6,♥A,♦T,♠3,♠6 | Pair
♦6,♥A,♦T,♥6,♣A | Two Pairs
♦6,♥A,♦T,♥6,♠6 | Full House
♦6,♥A,♦T,♣A,♠6 | Two Pairs
♦6,♥A,♥2,♥7,♠2 | Pair
♦6,♥A,♥2,♥7,♥6 | Pair
♦6,♥A,♥2,♥7,♣A | Pair
♦6,♥A,♥2,♥7,♠6 | Pair
♦6,♥A,♥2,♣9,♠2 | Pair
♦6,♥A,♥2,♣9,♥6 | Pair
♦6,♥A,♥2,♣9,♣A | Pair
♦6,♥A,♥2,♣9,♠6 | Pair
♦6,♥A,♥2,♠2,♠3 | Pair
♦6,♥A,♥2,♠2,♥6 | Two Pairs
♦6,♥A,♥2,♠2,♣A | Two Pairs
♦6,♥A,♥2,♠2,♠6 | Two Pairs
♦6,♥A,♥2,♠3,♥6 | Pair
♦6,♥A,♥2,♠3,♣A | Pair
♦6,♥A,♥2,♠3,♠6 | Pair
♦6,♥A,♥2,♥6,♣A | Two Pairs
♦6,♥A,♥2,♥6,♠6 | Full House
♦6,♥A,♥2,♣A,♠6 | Two Pairs
♦6,♥A,♥7,♣9,♥6 | Pair
♦6,♥A,♥7,♣9,♣A | Pair
♦6,♥A,♥7,♣9,♠6 | Pair
♦6,♥A,♥7,♠2,♥6 | Pair
♦6,♥A,♥7,♠2,♣A | Pair
♦6,♥A,♥7,♠2,♠6 | Pair
♦6,♥A,♥7,♠3,♥6 | Pair
♦6,♥A,♥7,♠3,♣A | Pair
♦6,♥A,♥7,♠3,♠6 | Pair
♦6,♥A,♥7,♥6,♣A | Two Pairs
♦6,♥A,♥7,♥6,♠6 | Full House
♦6,♥A,♥7,♣A,♠6 | Two Pairs
♦6,♥A,♣9,♠2,♥6 | Pair
♦6,♥A,♣9,♠2,♣A | Pair
♦6,♥A,♣9,♠2,♠6 | Pair
♦6,♥A,♣9,♠3,♥6 | Pair
♦6,♥A,♣9,♠3,♣A | Pair
♦6,♥A,♣9,♠3,♠6 | Pair
♦6,♥A,♣9,♥6,♣A | Two Pairs
♦6,♥A,♣9,♥6,♠6 | Full House
♦6,♥A,♣9,♣A,♠6 | Two Pairs
♦6,♥A,♠2,♠3,♥6 | Pair
♦6,♥A,♠2,♠3,♣A | Pair
♦6,♥A,♠2,♠3,♠6 | Pair
♦6,♥A,♠2,♥6,♣A | Two Pairs
♦6,♥A,♠2,♥6,♠6 | Full House
♦6,♥A,♠2,♣A,♠6 | Two Pairs
♦6,♥A,♠3,♥6,♣A | Two Pairs
♦6,♥A,♠3,♥6,♠6 | Full House
♦6,♥A,♠3,♣A,♠6 | Two Pairs
♦6,♥A,♥6,♣A,♠6 | Full House
♦6,♦T,♥2,♥7,♠2 | Pair
♦6,♦T,♥2,♥7,♥6 | Pair
♦6,♦T,♥2,♥7,♠6 | Pair
♦6,♦T,♥2,♣9,♠2 | Pair
♦6,♦T,♥2,♣9,♥6 | Pair
♦6,♦T,♥2,♣9,♠6 | Pair
♦6,♦T,♥2,♠2,♠3 | Pair
♦6,♦T,♥2,♠2,♥6 | Two Pairs
♦6,♦T,♥2,♠2,♣A | Pair
♦6,♦T,♥2,♠2,♠6 | Two Pairs
♦6,♦T,♥2,♠3,♥6 | Pair
♦6,♦T,♥2,♠3,♠6 | Pair
♦6,♦T,♥2,♥6,♣A | Pair
♦6,♦T,♥2,♥6,♠6 | Full House
♦6,♦T,♥2,♣A,♠6 | Pair
♦6,♦T,♥7,♣9,♥6 | Pair
♦6,♦T,♥7,♣9,♠6 | Pair
♦6,♦T,♥7,♠2,♥6 | Pair
♦6,♦T,♥7,♠2,♠6 | Pair
♦6,♦T,♥7,♠3,♥6 | Pair
♦6,♦T,♥7,♠3,♠6 | Pair
♦6,♦T,♥7,♥6,♣A | Pair
♦6,♦T,♥7,♥6,♠6 | Full House
♦6,♦T,♥7,♣A,♠6 | Pair
♦6,♦T,♣9,♠2,♥6 | Pair
♦6,♦T,♣9,♠2,♠6 | Pair
♦6,♦T,♣9,♠3,♥6 | Pair
♦6,♦T,♣9,♠3,♠6 | Pair
♦6,♦T,♣9,♥6,♣A | Pair
♦6,♦T,♣9,♥6,♠6 | Full House
♦6,♦T,♣9,♣A,♠6 | Pair
♦6,♦T,♠2,♠3,♥6 | Pair
♦6,♦T,♠2,♠3,♠6 | Pair
♦6,♦T,♠2,♥6,♣A | Pair
♦6,♦T,♠2,♥6,♠6 | Full House
♦6,♦T,♠2,♣A,♠6 | Pair
♦6,♦T,♠3,♥6,♣A | Pair
♦6,♦T,♠3,♥6,♠6 | Full House
♦6,♦T,♠3,♣A,♠6 | Pair
♦6,♦T,♥6,♣A,♠6 | Full House
♦6,♥2,♥7,♣9,♠2 | Pair
♦6,♥2,♥7,♣9,♥6 | Pair
♦6,♥2,♥7,♣9,♠6 | Pair
♦6,♥2,♥7,♠2,♠3 | Pair
♦6,♥2,♥7,♠2,♥6 | Two Pairs
♦6,♥2,♥7,♠2,♣A | Pair
♦6,♥2,♥7,♠2,♠6 | Two Pairs
♦6,♥2,♥7,♠3,♥6 | Pair
♦6,♥2,♥7,♠3,♠6 | Pair
♦6,♥2,♥7,♥6,♣A | Pair
♦6,♥2,♥7,♥6,♠6 | Full House
♦6,♥2,♥7,♣A,♠6 | Pair
♦6,♥2,♣9,♠2,♠3 | Pair
♦6,♥2,♣9,♠2,♥6 | Two Pairs
♦6,♥2,♣9,♠2,♣A | Pair
♦6,♥2,♣9,♠2,♠6 | Two Pairs
♦6,♥2,♣9,♠3,♥6 | Pair
♦6,♥2,♣9,♠3,♠6 | Pair
♦6,♥2,♣9,♥6,♣A | Pair
♦6,♥2,♣9,♥6,♠6 | Full House
♦6,♥2,♣9,♣A,♠6 | Pair
♦6,♥2,♠2,♠3,♥6 | Two Pairs
♦6,♥2,♠2,♠3,♣A | Pair
♦6,♥2,♠2,♠3,♠6 | Two Pairs
♦6,♥2,♠2,♥6,♣A | Two Pairs
♦6,♥2,♠2,♥6,♠6 | Full House
♦6,♥2,♠2,♣A,♠6 | Two Pairs
♦6,♥2,♠3,♥6,♣A | Pair
♦6,♥2,♠3,♥6,♠6 | Full House
♦6,♥2,♠3,♣A,♠6 | Pair
♦6,♥2,♥6,♣A,♠6 | Full House
♦6,♥7,♣9,♠2,♥6 | Pair
♦6,♥7,♣9,♠2,♠6 | Pair
♦6,♥7,♣9,♠3,♥6 | Pair
♦6,♥7,♣9,♠3,♠6 | Pair
♦6,♥7,♣9,♥6,♣A | Pair
♦6,♥7,♣9,♥6,♠6 | Full House
♦6,♥7,♣9,♣A,♠6 | Pair
♦6,♥7,♠2,♠3,♥6 | Pair
♦6,♥7,♠2,♠3,♠6 | Pair
♦6,♥7,♠2,♥6,♣A | Pair
♦6,♥7,♠2,♥6,♠6 | Full House
♦6,♥7,♠2,♣A,♠6 | Pair
♦6,♥7,♠3,♥6,♣A | Pair
♦6,♥7,♠3,♥6,♠6 | Full House
♦6,♥7,♠3,♣A,♠6 | Pair
♦6,♥7,♥6,♣A,♠6 | Full House
♦6,♣9,♠2,♠3,♥6 | Pair
♦6,♣9,♠2,♠3,♠6 | Pair
♦6,♣9,♠2,♥6,♣A | Pair
♦6,♣9,♠2,♥6,♠6 | Full House
♦6,♣9,♠2,♣A,♠6 | Pair
♦6,♣9,♠3,♥6,♣A | Pair
♦6,♣9,♠3,♥6,♠6 | Full House
♦6,♣9,♠3,♣A,♠6 | Pair
♦6,♣9,♥6,♣A,♠6 | Full House
♦6,♠2,♠3,♥6,♣A | Pair
♦6,♠2,♠3,♥6,♠6 | Full House
♦6,♠2,♠3,♣A,♠6 | Pair
♦6,♠2,♥6,♣A,♠6 | Full House
♦6,♠3,♥6,♣A,♠6 | Full House
♦K,♥A,♦T,♥2,♠2 | Pair
♦K,♥A,♦T,♥2,♣A | Pair
♦K,♥A,♦T,♥7,♣A | Pair
♦K,♥A,♦T,♣9,♣A | Pair
♦K,♥A,♦T,♠2,♣A | Pair
♦K,♥A,♦T,♠3,♣A | Pair
♦K,♥A,♦T,♥6,♣A | Pair
♦K,♥A,♦T,♥6,♠6 | Pair
♦K,♥A,♦T,♣A,♠6 | Pair
♦K,♥A,♥2,♥7,♠2 | Pair
♦K,♥A,♥2,♥7,♣A | Pair
♦K,♥A,♥2,♣9,♠2 | Pair
♦K,♥A,♥2,♣9,♣A | Pair
♦K,♥A,♥2,♠2,♠3 | Pair
♦K,♥A,♥2,♠2,♥6 | Pair
♦K,♥A,♥2,♠2,♣A | Two Pairs
♦K,♥A,♥2,♠2,♠6 | Pair
♦K,♥A,♥2,♠3,♣A | Pair
♦K,♥A,♥2,♥6,♣A | Pair
♦K,♥A,♥2,♥6,♠6 | Pair
♦K,♥A,♥2,♣A,♠6 | Pair
♦K,♥A,♥7,♣9,♣A | Pair
♦K,♥A,♥7,♠2,♣A | Pair
♦K,♥A,♥7,♠3,♣A | Pair
♦K,♥A,♥7,♥6,♣A | Pair
♦K,♥A,♥7,♥6,♠6 | Pair
♦K,♥A,♥7,♣A,♠6 | Pair
♦K,♥A,♣9,♠2,♣A | Pair
♦K,♥A,♣9,♠3,♣A | Pair
♦K,♥A,♣9,♥6,♣A | Pair
♦K,♥A,♣9,♥6,♠6 | Pair
♦K,♥A,♣9,♣A,♠6 | Pair
♦K,♥A,♠2,♠3,♣A | Pair
♦K,♥A,♠2,♥6,♣A | Pair
♦K,♥A,♠2,♥6,♠6 | Pair
♦K,♥A,♠2,♣A,♠6 | Pair
♦K,♥A,♠3,♥6,♣A | Pair
♦K,♥A,♠3,♥6,♠6 | Pair
♦K,♥A,♠3,♣A,♠6 | Pair
♦K,♥A,♥6,♣A,♠6 | Two Pairs
♦K,♦T,♥2,♥7,♠2 | Pair
♦K,♦T,♥2,♣9,♠2 | Pair
♦K,♦T,♥2,♠2,♠3 | Pair
♦K,♦T,♥2,♠2,♥6 | Pair
♦K,♦T,♥2,♠2,♣A | Pair
♦K,♦T,♥2,♠2,♠6 | Pair
♦K,♦T,♥2,♥6,♠6 | Pair
♦K,♦T,♥7,♥6,♠6 | Pair
♦K,♦T,♣9,♥6,♠6 | Pair
♦K,♦T,♠2,♥6,♠6 | Pair
♦K,♦T,♠3,♥6,♠6 | Pair
♦K,♦T,♥6,♣A,♠6 | Pair
♦K,♥2,♥7,♣9,♠2 | Pair
♦K,♥2,♥7,♠2,♠3 | Pair
♦K,♥2,♥7,♠2,♥6 | Pair
♦K,♥2,♥7,♠2,♣A | Pair
♦K,♥2,♥7,♠2,♠6 | Pair
♦K,♥2,♥7,♥6,♠6 | Pair
♦K,♥2,♣9,♠2,♠3 | Pair
♦K,♥2,♣9,♠2,♥6 | Pair
♦K,♥2,♣9,♠2,♣A | Pair
♦K,♥2,♣9,♠2,♠6 | Pair
♦K,♥2,♣9,♥6,♠6 | Pair
♦K,♥2,♠2,♠3,♥6 | Pair
♦K,♥2,♠2,♠3,♣A | Pair
♦K,♥2,♠2,♠3,♠6 | Pair
♦K,♥2,♠2,♥6,♣A | Pair
♦K,♥2,♠2,♥6,♠6 | Two Pairs
♦K,♥2,♠2,♣A,♠6 | Pair
♦K,♥2,♠3,♥6,♠6 | Pair
♦K,♥2,♥6,♣A,♠6 | Pair
♦K,♥7,♣9,♥6,♠6 | Pair
♦K,♥7,♠2,♥6,♠6 | Pair
♦K,♥7,♠3,♥6,♠6 | Pair
♦K,♥7,♥6,♣A,♠6 | Pair
♦K,♣9,♠2,♥6,♠6 | Pair
♦K,♣9,♠3,♥6,♠6 | Pair
♦K,♣9,♥6,♣A,♠6 | Pair
♦K,♠2,♠3,♥6,♠6 | Pair
♦K,♠2,♥6,♣A,♠6 | Pair
♦K,♠3,♥6,♣A,♠6 | Pair
♥A,♦T,♥2,♥7,♠2 | Pair
♥A,♦T,♥2,♥7,♣A | Pair
♥A,♦T,♥2,♣9,♠2 | Pair
♥A,♦T,♥2,♣9,♣A | Pair
♥A,♦T,♥2,♠2,♠3 | Pair
♥A,♦T,♥2,♠2,♥6 | Pair
♥A,♦T,♥2,♠2,♣A | Two Pairs
♥A,♦T,♥2,♠2,♠6 | Pair
♥A,♦T,♥2,♠3,♣A | Pair
♥A,♦T,♥2,♥6,♣A | Pair
♥A,♦T,♥2,♥6,♠6 | Pair
♥A,♦T,♥2,♣A,♠6 | Pair
♥A,♦T,♥7,♣9,♣A | Pair
♥A,♦T,♥7,♠2,♣A | Pair
♥A,♦T,♥7,♠3,♣A | Pair
♥A,♦T,♥7,♥6,♣A | Pair
♥A,♦T,♥7,♥6,♠6 | Pair
♥A,♦T,♥7,♣A,♠6 | Pair
♥A,♦T,♣9,♠2,♣A | Pair
♥A,♦T,♣9,♠3,♣A | Pair
♥A,♦T,♣9,♥6,♣A | Pair
♥A,♦T,♣9,♥6,♠6 | Pair
♥A,♦T,♣9,♣A,♠6 | Pair
♥A,♦T,♠2,♠3,♣A | Pair
♥A,♦T,♠2,♥6,♣A | Pair
♥A,♦T,♠2,♥6,♠6 | Pair
♥A,♦T,♠2,♣A,♠6 | Pair
♥A,♦T,♠3,♥6,♣A | Pair
♥A,♦T,♠3,♥6,♠6 | Pair
♥A,♦T,♠3,♣A,♠6 | Pair
♥A,♦T,♥6,♣A,♠6 | Two Pairs
♥A,♥2,♥7,♣9,♠2 | Pair
♥A,♥2,♥7,♣9,♣A | Pair
♥A,♥2,♥7,♠2,♠3 | Pair
♥A,♥2,♥7,♠2,♥6 | Pair
♥A,♥2,♥7,♠2,♣A | Two Pairs
♥A,♥2,♥7,♠2,♠6 | Pair
♥A,♥2,♥7,♠3,♣A | Pair
♥A,♥2,♥7,♥6,♣A | Pair
♥A,♥2,♥7,♥6,♠6 | Pair
♥A,♥2,♥7,♣A,♠6 | Pair
♥A,♥2,♣9,♠2,♠3 | Pair
♥A,♥2,♣9,♠2,♥6 | Pair
♥A,♥2,♣9,♠2,♣A | Two Pairs
♥A,♥2,♣9,♠2,♠6 | Pair
♥A,♥2,♣9,♠3,♣A | Pair
♥A,♥2,♣9,♥6,♣A | Pair
♥A,♥2,♣9,♥6,♠6 | Pair
♥A,♥2,♣9,♣A,♠6 | Pair
♥A,♥2,♠2,♠3,♥6 | Pair
♥A,♥2,♠2,♠3,♣A | Two Pairs
♥A,♥2,♠2,♠3,♠6 | Pair
♥A,♥2,♠2,♥6,♣A | Two Pairs
♥A,♥2,♠2,♥6,♠6 | Two Pairs
♥A,♥2,♠2,♣A,♠6 | Two Pairs
♥A,♥2,♠3,♥6,♣A | Pair
♥A,♥2,♠3,♥6,♠6 | Pair
♥A,♥2,♠3,♣A,♠6 | Pair
♥A,♥2,♥6,♣A,♠6 | Two Pairs
♥A,♥7,♣9,♠2,♣A | Pair
♥A,♥7,♣9,♠3,♣A | Pair
♥A,♥7,♣9,♥6,♣A | Pair
♥A,♥7,♣9,♥6,♠6 | Pair
♥A,♥7,♣9,♣A,♠6 | Pair
♥A,♥7,♠2,♠3,♣A | Pair
♥A,♥7,♠2,♥6,♣A | Pair
♥A,♥7,♠2,♥6,♠6 | Pair
♥A,♥7,♠2,♣A,♠6 | Pair
♥A,♥7,♠3,♥6,♣A | Pair
♥A,♥7,♠3,♥6,♠6 | Pair
♥A,♥7,♠3,♣A,♠6 | Pair
♥A,♥7,♥6,♣A,♠6 | Two Pairs
♥A,♣9,♠2,♠3,♣A | Pair
♥A,♣9,♠2,♥6,♣A | Pair
♥A,♣9,♠2,♥6,♠6 | Pair
♥A,♣9,♠2,♣A,♠6 | Pair
♥A,♣9,♠3,♥6,♣A | Pair
♥A,♣9,♠3,♥6,♠6 | Pair
♥A,♣9,♠3,♣A,♠6 | Pair
♥A,♣9,♥6,♣A,♠6 | Two Pairs
♥A,♠2,♠3,♥6,♣A | Pair
♥A,♠2,♠3,♥6,♠6 | Pair
♥A,♠2,♠3,♣A,♠6 | Pair
♥A,♠2,♥6,♣A,♠6 | Two Pairs
♥A,♠3,♥6,♣A,♠6 | Two Pairs
♦T,♥2,♥7,♣9,♠2 | Pair
♦T,♥2,♥7,♠2,♠3 | Pair
♦T,♥2,♥7,♠2,♥6 | Pair
♦T,♥2,♥7,♠2,♣A | Pair
♦T,♥2,♥7,♠2,♠6 | Pair
♦T,♥2,♥7,♥6,♠6 | Pair
♦T,♥2,♣9,♠2,♠3 | Pair
♦T,♥2,♣9,♠2,♥6 | Pair
♦T,♥2,♣9,♠2,♣A | Pair
♦T,♥2,♣9,♠2,♠6 | Pair
♦T,♥2,♣9,♥6,♠6 | Pair
♦T,♥2,♠2,♠3,♥6 | Pair
♦T,♥2,♠2,♠3,♣A | Pair
♦T,♥2,♠2,♠3,♠6 | Pair
♦T,♥2,♠2,♥6,♣A | Pair
♦T,♥2,♠2,♥6,♠6 | Two Pairs
♦T,♥2,♠2,♣A,♠6 | Pair
♦T,♥2,♠3,♥6,♠6 | Pair
♦T,♥2,♥6,♣A,♠6 | Pair
♦T,♥7,♣9,♥6,♠6 | Pair
♦T,♥7,♠2,♥6,♠6 | Pair
♦T,♥7,♠3,♥6,♠6 | Pair
♦T,♥7,♥6,♣A,♠6 | Pair
♦T,♣9,♠2,♥6,♠6 | Pair
♦T,♣9,♠3,♥6,♠6 | Pair
♦T,♣9,♥6,♣A,♠6 | Pair
♦T,♠2,♠3,♥6,♠6 | Pair
♦T,♠2,♥6,♣A,♠6 | Pair
♦T,♠3,♥6,♣A,♠6 | Pair
♥2,♥7,♣9,♠2,♠3 | Pair
♥2,♥7,♣9,♠2,♥6 | Pair
♥2,♥7,♣9,♠2,♣A | Pair
♥2,♥7,♣9,♠2,♠6 | Pair
♥2,♥7,♣9,♥6,♠6 | Pair
♥2,♥7,♠2,♠3,♥6 | Pair
♥2,♥7,♠2,♠3,♣A | Pair
♥2,♥7,♠2,♠3,♠6 | Pair
♥2,♥7,♠2,♥6,♣A | Pair
♥2,♥7,♠2,♥6,♠6 | Two Pairs
♥2,♥7,♠2,♣A,♠6 | Pair
♥2,♥7,♠3,♥6,♠6 | Pair
♥2,♥7,♥6,♣A,♠6 | Pair
♥2,♣9,♠2,♠3,♥6 | Pair
♥2,♣9,♠2,♠3,♣A | Pair
♥2,♣9,♠2,♠3,♠6 | Pair
♥2,♣9,♠2,♥6,♣A | Pair
♥2,♣9,♠2,♥6,♠6 | Two Pairs
♥2,♣9,♠2,♣A,♠6 | Pair
♥2,♣9,♠3,♥6,♠6 | Pair
♥2,♣9,♥6,♣A,♠6 | Pair
♥2,♠2,♠3,♥6,♣A | Pair
♥2,♠2,♠3,♥6,♠6 | Two Pairs
♥2,♠2,♠3,♣A,♠6 | Pair
♥2,♠2,♥6,♣A,♠6 | Two Pairs
♥2,♠3,♥6,♣A,♠6 | Pair
♥7,♣9,♠2,♥6,♠6 | Pair
♥7,♣9,♠3,♥6,♠6 | Pair
♥7,♣9,♥6,♣A,♠6 | Pair
♥7,♠2,♠3,♥6,♠6 | Pair
♥7,♠2,♥6,♣A,♠6 | Pair
♥7,♠3,♥6,♣A,♠6 | Pair
♣9,♠2,♠3,♥6,♠6 | Pair
♣9,♠2,♥6,♣A,♠6 | Pair
♣9,♠3,♥6,♣A,♠6 | Pair
♠2,♠3,♥6,♣A,♠6 | Pair
