♠8,♣4,♥9,♣J,♠J | Pair
♠8,♥9,♣J,♣3,♠J | Pair
♠8,♥9,♣J,♠J,♣T | Pair
♠8,♥9,♠3,♦T,♣3 | Pair
♠8,♥9,♠3,♦T,♣T | Pair
♠8,♥9,♠3,♣6,♦6 | Pair
♠8,♥9,♠3,♣6,♣3 | Pair
♠8,♥9,♠3,♠Q,♣3 | Pair
♠8,♥9,♠3,♦6,♣3 | Pair
♠8,♥9,♠3,♠5,♣3 | Pair
♠8,♥9,♠3,♣3,♠J | Pair
♠8,♥9,♠3,♣3,♣T | Pair
♠8,♥9,♦T,♣6,♦6 | Pair
♠8,♥9,♦T,♣6,♣T | Pair
♠8,♥9,♦T,♠Q,♣T | Pair
♠8,♥9,♦T,♦6,♣T | Pair
♠8,♥9,♦T,♠5,♣T | Pair
♠8,♥9,♦T,♣3,♣T | Pair
♠8,♥9,♦T,♠J,♣T | Pair
♠8,♥9,♣6,♠Q,♦6 | Pair
♠8,♥9,♣6,♦6,♠5 | Pair
♠8,♥9,♣6,♦6,♣3 | Pair
♠8,♥9,♣6,♦6,♠J | Pair
♠8,♥9,♣6,♦6,♣T | Pair
♠8,♣J,♠3,♦T,♣3 | Pair
♠8,♣J,♠3,♦T,♠J | Pair
♠8,♣J,♠3,♦T,♣T | Pair
♠8,♣J,♠3,♣6,♦6 | Pair
♠8,♣J,♠3,♣6,♣3 | Pair
♠8,♣J,♠3,♣6,♠J | Pair
♠8,♣J,♠3,♠Q,♣3 | Pair
♠8,♣J,♠3,♠Q,♠J | Pair
♠8,♣J,♠3,♦6,♣3 | Pair
♠8,♣J,♠3,♦6,♠J | Pair
♠8,♣J,♠3,♠5,♣3 | Pair
♠8,♣J,♠3,♠5,♠J | Pair
♠8,♣J,♠3,♣3,♠J | Two Pairs
♠8,♣J,♠3,♣3,♣T | Pair
♠8,♣J,♠3,♠J,♣T | Pair
♠8,♣J,♦T,♣6,♦6 | Pair
♠8,♣J,♦T,♣6,♠J | Pair
♠8,♣J,♦T,♣6,♣T | Pair
♠8,♣J,♦T,♠Q,♠J | Pair
♠8,♣J,♦T,♠Q,♣T | Pair
♠8,♣J,♦T,♦6,♠J | Pair
♠8,♣J,♦T,♦6,♣T | Pair
♠8,♣J,♦T,♠5,♠J | Pair
♠8,♣J,♦T,♠5,♣T | Pair
♠8,♣J,♦T,♣3,♠J | Pair
♠8,♣J,♦T,♣3,♣T | Pair
♠8,♣J,♦T,♠J,♣T | Two Pairs
♠8,♣J,♣6,♠Q,♦6 | Pair
♠8,♣J,♣6,♠Q,♠J | Pair
♠8,♣J,♣6,♦6,♠5 | Pair
♠8,♣J,♣6,♦6,♣3 | Pair
♠8,♣J,♣6,♦6,♠J | Two Pairs
♠8,♣J,♣6,♦6,♣T | Pair
♠8,♣J,♣6,♠5,♠J | Pair
♠8,♣J,♣6,♣3,♠J | Pair
♠8,♣J,♣6,♠J,♣T | Pair
♠8,♣J,♠Q,♦6,♠J | Pair
♠8,♣J,♠Q,♠5,♠J | Pair
♠8,♣J,♠Q,♣3,♠J | Pair
♠8,♣J,♠Q,♠J,♣T | Pair
♠8,♣J,♦6,♠5,♠J | Pair
♠8,♣J,♦6,♣3,♠J | Pair
♠8,♣J,♦6,♠J,♣T | Pair
♠8,♣J,♠5,♣3,♠J | Pair
♠8,♣J,♠5,♠J,♣T | Pair
♠8,♣J,♣3,♠J,♣T | Pair
♠8,♠3,♦T,♣6,♦6 | Pair
♠8,♠3,♦T,♣6,♣3 | Pair
♠8,♠3,♦T,♣6,♣T | Pair
♠8,♠3,♦T,♠Q,♣3 | Pair
♠8,♠3,♦T,♠Q,♣T | Pair
♠8,♠3,♦T,♦6,♣3 | Pair
♠8,♠3,♦T,♦6,♣T | Pair
♠8,♠3,♦T,♠5,♣3 | Pair
♠8,♠3,♦T,♠5,♣T | Pair
♠8,♠3,♦T,♣3,♠J | Pair
♠8,♠3,♦T,♣3,♣T | Two Pairs
♠8,♠3,♦T,♠J,♣T | Pair
♠8,♠3,♣6,♠Q,♦6 | Pair
♠8,♠3,♣6,♠Q,♣3 | Pair
♠8,♠3,♣6,♦6,♠5 | Pair
♠8,♠3,♣6,♦6,♣3 | Two Pairs
♠8,♠3,♣6,♦6,♠J | Pair
♠8,♠3,♣6,♦6,♣T | Pair
♠8,♠3,♣6,♠5,♣3 | Pair
♠8,♠3,♣6,♣3,♠J | Pair
♠8,♠3,♣6,♣3,♣T | Pair
♠8,♠3,♠Q,♦6,♣3 | Pair
♠8,♠3,♠Q,♠5,♣3 | Pair
♠8,♠3,♠Q,♠5,♠J | Flush
♠8,♠3,♠Q,♣3,♠J | Pair
♠8,♠3,♠Q,♣3,♣T | Pair
♠8,♠3,♦6,♠5,♣3 | Pair
♠8,♠3,♦6,♣3,♠J | Pair
♠8,♠3,♦6,♣3,♣T | Pair
♠8,♠3,♠5,♣3,♠J | Pair
♠8,♠3,♠5,♣3,♣T | Pair
♠8,♠3,♣3,♠J,♣T | Pair
♠8,♦T,♣6,♠Q,♦6 | Pair
♠8,♦T,♣6,♠Q,♣T | Pair
♠8,♦T,♣6,♦6,♠5 | Pair
♠8,♦T,♣6,♦6,♣3 | Pair
♠8,♦T,♣6,♦6,♠J | Pair
♠8,♦T,♣6,♦6,♣T | Two Pairs
♠8,♦T,♣6,♠5,♣T | Pair
♠8,♦T,♣6,♣3,♣T | Pair
♠8,♦T,♣6,♠J,♣T | Pair
♠8,♦T,♠Q,♦6,♣T | Pair
♠8,♦T,♠Q,♠5,♣T | Pair
♠8,♦T,♠Q,♣3,♣T | Pair
♠8,♦T,♠Q,♠J,♣T | Pair
♠8,♦T,♦6,♠5,♣T | Pair
♠8,♦T,♦6,♣3,♣T | Pair
♠8,♦T,♦6,♠J,♣T | Pair
♠8,♦T,♠5,♣3,♣T | Pair
♠8,♦T,♠5,♠J,♣T | Pair
♠8,♦T,♣3,♠J,♣T | Pair
♠8,♣6,♠Q,♦6,♠5 | Pair
♠8,♣6,♠Q,♦6,♣3 | Pair
♠8,♣6,♠Q,♦6,♠J | Pair
♠8,♣6,♠Q,♦6,♣T | Pair
♠8,♣6,♦6,♠5,♣3 | Pair
♠8,♣6,♦6,♠5,♠J | Pair
♠8,♣6,♦6,♠5,♣T | Pair
♠8,♣6,♦6,♣3,♠J | Pair
♠8,♣6,♦6,♣3,♣T | Pair
♠8,♣6,♦6,♠J,♣T | Pair
♣4,♥9,♣J,♠3,♣3 | Pair
♣4,♥9,♣J,♠3,♠J | Pair
♣4,♥9,♣J,♦T,♠J | Pair
♣4,♥9,♣J,♦T,♣T | Pair
♣4,♥9,♣J,♣6,♦6 | Pair
♣4,♥9,♣J,♣6,♠J | Pair
♣4,♥9,♣J,♠Q,♠J | Pair
♣4,♥9,♣J,♦6,♠J | Pair
♣4,♥9,♣J,♠5,♠J | Pair
♣4,♥9,♣J,♣3,♠J | Pair
♣4,♥9,♣J,♠J,♣T | Pair
♣4,♥9,♠3,♦T,♣3 | Pair
♣4,♥9,♠3,♦T,♣T | Pair
♣4,♥9,♠3,♣6,♦6 | Pair
♣4,♥9,♠3,♣6,♣3 | Pair
♣4,♥9,♠3,♠Q,♣3 | Pair
♣4,♥9,♠3,♦6,♣3 | Pair
♣4,♥9,♠3,♠5,♣3 | Pair
♣4,♥9,♠3,♣3,♠J | Pair
♣4,♥9,♠3,♣3,♣T | Pair
♣4,♥9,♦T,♣6,♦6 | Pair
♣4,♥9,♦T,♣6,♣T | Pair
♣4,♥9,♦T,♠Q,♣T | Pair
♣4,♥9,♦T,♦6,♣T | Pair
♣4,♥9,♦T,♠5,♣T | Pair
♣4,♥9,♦T,♣3,♣T | Pair
♣4,♥9,♦T,♠J,♣T | Pair
♣4,♥9,♣6,♠Q,♦6 | Pair
♣4,♥9,♣6,♦6,♠5 | Pair
♣4,♥9,♣6,♦6,♣3 | Pair
♣4,♥9,♣6,♦6,♠J | Pair
♣4,♥9,♣6,♦6,♣T | Pair
♣4,♣J,♠3,♦T,♣3 | Pair
♣4,♣J,♠3,♦T,♠J | Pair
♣4,♣J,♠3,♦T,♣T | Pair
♣4,♣J,♠3,♣6,♦6 | Pair
♣4,♣J,♠3,♣6,♣3 | Pair
♣4,♣J,♠3,♣6,♠J | Pair
♣4,♣J,♠3,♠Q,♣3 | Pair
♣4,♣J,♠3,♠Q,♠J | Pair
♣4,♣J,♠3,♦6,♣3 | Pair
♣4,♣J,♠3,♦6,♠J | Pair
♣4,♣J,♠3,♠5,♣3 | Pair
♣4,♣J,♠3,♠5,♠J | Pair
♣4,♣J,♠3,♣3,♠J | Two Pairs
♣4,♣J,♠3,♣3,♣T | Pair
♣4,♣J,♠3,♠J,♣T | Pair
♣4,♣J,♦T,♣6,♦6 | Pair
♣4,♣J,♦T,♣6,♠J | Pair
♣4,♣J,♦T,♣6,♣T | Pair
♣4,♣J,♦T,♠Q,♠J | Pair
♣4,♣J,♦T,♠Q,♣T | Pair
♣4,♣J,♦T,♦6,♠J | Pair
♣4,♣J,♦T,♦6,♣T | Pair
♣4,♣J,♦T,♠5,♠J | Pair
♣4,♣J,♦T,♠5,♣T | Pair
♣4,♣J,♦T,♣3,♠J | Pair
♣4,♣J,♦T,♣3,♣T | Pair
♣4,♣J,♦T,♠J,♣T | Two Pairs
♣4,♣J,♣6,♠Q,♦6 | Pair
♣4,♣J,♣6,♠Q,♠J | Pair
♣4,♣J,♣6,♦6,♠5 | Pair
♣4,♣J,♣6,♦6,♣3 | Pair
♣4,♣J,♣6,♦6,♠J | Two Pairs
♣4,♣J,♣6,♦6,♣T | Pair
♣4,♣J,♣6,♠5,♠J | Pair
♣4,♣J,♣6,♣3,♠J | Pair
♣4,♣J,♣6,♣3,♣T | Flush
♣4,♣J,♣6,♠J,♣T | Pair
♣4,♣J,♠Q,♦6,♠J | Pair
♣4,♣J,♠Q,♠5,♠J | Pair
♣4,♣J,♠Q,♣3,♠J | Pair
♣4,♣J,♠Q,♠J,♣T | Pair
♣4,♣J,♦6,♠5,♠J | Pair
♣4,♣J,♦6,♣3,♠J | Pair
♣4,♣J,♦6,♠J,♣T | Pair
♣4,♣J,♠5,♣3,♠J | Pair
♣4,♣J,♠5,♠J,♣T | Pair
♣4,♣J,♣3,♠J,♣T | Pair
♣4,♠3,♦T,♣6,♦6 | Pair
♣4,♠3,♦T,♣6,♣3 | Pair
♣4,♠3,♦T,♣6,♣T | Pair
♣4,♠3,♦T,♠Q,♣3 | Pair
♣4,♠3,♦T,♠Q,♣T | Pair
♣4,♠3,♦T,♦6,♣3 | Pair
♣4,♠3,♦T,♦6,♣T | Pair
♣4,♠3,♦T,♠5,♣3 | Pair
♣4,♠3,♦T,♠5,♣T | Pair
♣4,♠3,♦T,♣3,♠J | Pair
♣4,♠3,♦T,♣3,♣T | Two Pairs
♣4,♠3,♦T,♠J,♣T | Pair
♣4,♠3,♣6,♠Q,♦6 | Pair
♣4,♠3,♣6,♠Q,♣3 | Pair
♣4,♠3,♣6,♦6,♠5 | Pair
♣4,♠3,♣6,♦6,♣3 | Two Pairs
♣4,♠3,♣6,♦6,♠J | Pair
♣4,♠3,♣6,♦6,♣T | Pair
♣4,♠3,♣6,♠5,♣3 | Pair
♣4,♠3,♣6,♣3,♠J | Pair
♣4,♠3,♣6,♣3,♣T | Pair
♣4,♠3,♠Q,♦6,♣3 | Pair
♣4,♠3,♠Q,♠5,♣3 | Pair
♣4,♠3,♠Q,♣3,♠J | Pair
♣4,♠3,♠Q,♣3,♣T | Pair
♣4,♠3,♦6,♠5,♣3 | Pair
♣4,♠3,♦6,♣3,♠J | Pair
♣4,♠3,♦6,♣3,♣T | Pair
♣4,♠3,♠5,♣3,♠J | Pair
♣4,♠3,♠5,♣3,♣T | Pair
♣4,♠3,♣3,♠J,♣T | Pair
♣4,♦T,♣6,♠Q,♦6 | Pair
♣4,♦T,♣6,♠Q,♣T | Pair
♣4,♦T,♣6,♦6,♠5 | Pair
♣4,♦T,♣6,♦6,♣3 | Pair
♣4,♦T,♣6,♦6,♠J | Pair
♣4,♦T,♣6,♦6,♣T | Two Pairs
♣4,♦T,♣6,♠5,♣T | Pair
♣4,♦T,♣6,♣3,♣T | Pair
♣4,♦T,♣6,♠J,♣T | Pair
♣4,♦T,♠Q,♦6,♣T | Pair
♣4,♦T,♠Q,♠5,♣T | Pair
♣4,♦T,♠Q,♣3,♣T | Pair
♣4,♦T,♠Q,♠J,♣T | Pair
♣4,♦T,♦6,♠5,♣T | Pair
♣4,♦T,♦6,♣3,♣T | Pair
♣4,♦T,♦6,♠J,♣T | Pair
♣4,♦T,♠5,♣3,♣T | Pair
♣4,♦T,♠5,♠J,♣T | Pair
♣4,♦T,♣3,♠J,♣T | Pair
♣4,♣6,♠Q,♦6,♠5 | Pair
♣4,♣6,♠Q,♦6,♣3 | Pair
♣4,♣6,♠Q,♦6,♠J | Pair
♣4,♣6,♠Q,♦6,♣T | Pair
♣4,♣6,♦6,♠5,♣3 | Pair
♣4,♣6,♦6,♠5,♠J | Pair
♣4,♣6,♦6,♠5,♣T | Pair
♣4,♣6,♦6,♣3,♠J | Pair
♣4,♣6,♦6,♣3,♣T | Pair
♣4,♣6,♦6,♠J,♣T | Pair
♥9,♣J,♠3,♦T,♣3 | Pair
♥9,♣J,♠3,♦T,♠J | Pair
♥9,♣J,♠3,♦T,♣T | Pair
♥9,♣J,♠3,♣6,♦6 | Pair
♥9,♣J,♠3,♣6,♣3 | Pair
♥9,♣J,♠3,♣6,♠J | Pair
♥9,♣J,♠3,♠Q,♣3 | Pair
♥9,♣J,♠3,♠Q,♠J | Pair
♥9,♣J,♠3,♦6,♣3 | Pair
♥9,♣J,♠3,♦6,♠J | Pair
♥9,♣J,♠3,♠5,♣3 | Pair
♥9,♣J,♠3,♠5,♠J | Pair
♥9,♣J,♠3,♣3,♠J | Two Pairs
♥9,♣J,♠3,♣3,♣T | Pair
♥9,♣J,♠3,♠J,♣T | Pair
♥9,♣J,♦T,♣6,♦6 | Pair
♥9,♣J,♦T,♣6,♠J | Pair
♥9,♣J,♦T,♣6,♣T | Pair
♥9,♣J,♦T,♠Q,♠J | Pair
♥9,♣J,♦T,♠Q,♣T | Pair
♥9,♣J,♦T,♦6,♠J | Pair
♥9,♣J,♦T,♦6,♣T | Pair
♥9,♣J,♦T,♠5,♠J | Pair
♥9,♣J,♦T,♠5,♣T | Pair
♥9,♣J,♦T,♣3,♠J | Pair
♥9,♣J,♦T,♣3,♣T | Pair
♥9,♣J,♦T,♠J,♣T | Two Pairs
♥9,♣J,♣6,♠Q,♦6 | Pair
♥9,♣J,♣6,♠Q,♠J | Pair
♥9,♣J,♣6,♦6,♠5 | Pair
♥9,♣J,♣6,♦6,♣3 | Pair
♥9,♣J,♣6,♦6,♠J | Two Pairs
♥9,♣J,♣6,♦6,♣T | Pair
♥9,♣J,♣6,♠5,♠J | Pair
♥9,♣J,♣6,♣3,♠J | Pair
♥9,♣J,♣6,♠J,♣T | Pair
♥9,♣J,♠Q,♦6,♠J | Pair
♥9,♣J,♠Q,♠5,♠J | Pair
♥9,♣J,♠Q,♣3,♠J | Pair
♥9,♣J,♠Q,♠J,♣T | Pair
♥9,♣J,♦6,♠5,♠J | Pair
♥9,♣J,♦6,♣3,♠J | Pair
♥9,♣J,♦6,♠J,♣T | Pair
♥9,♣J,♠5,♣3,♠J | Pair
♥9,♣J,♠5,♠J,♣T | Pair
♥9,♣J,♣3,♠J,♣T | Pair
♥9,♠3,♦T,♣6,♦6 | Pair
♥9,♠3,♦T,♣6,♣3 | Pair
♥9,♠3,♦T,♣6,♣T | Pair
♥9,♠3,♦T,♠Q,♣3 | Pair
♥9,♠3,♦T,♠Q,♣T | Pair
♥9,♠3,♦T,♦6,♣3 | Pair
♥9,♠3,♦T,♦6,♣T | Pair
♥9,♠3,♦T,♠5,♣3 | Pair
♥9,♠3,♦T,♠5,♣T | Pair
♥9,♠3,♦T,♣3,♠J | Pair
♥9,♠3,♦T,♣3,♣T | Two Pairs
♥9,♠3,♦T,♠J,♣T | Pair
♥9,♠3,♣6,♠Q,♦6 | Pair
♥9,♠3,♣6,♠Q,♣3 | Pair
♥9,♠3,♣6,♦6,♠5 | Pair
♥9,♠3,♣6,♦6,♣3 | Two Pairs
♥9,♠3,♣6,♦6,♠J | Pair
♥9,♠3,♣6,♦6,♣T | Pair
♥9,♠3,♣6,♠5,♣3 | Pair
♥9,♠3,♣6,♣3,♠J | Pair
♥9,♠3,♣6,♣3,♣T | Pair
♥9,♠3,♠Q,♦6,♣3 | Pair
♥9,♠3,♠Q,♠5,♣3 | Pair
♥9,♠3,♠Q,♣3,♠J | Pair
♥9,♠3,♠Q,♣3,♣T | Pair
♥9,♠3,♦6,♠5,♣3 | Pair
♥9,♠3,♦6,♣3,♠J | Pair
♥9,♠3,♦6,♣3,♣T | Pair
♥9,♠3,♠5,♣3,♠J | Pair
♥9,♠3,♠5,♣3,♣T | Pair
♥9,♠3,♣3,♠J,♣T | Pair
♥9,♦T,♣6,♠Q,♦6 | Pair
♥9,♦T,♣6,♠Q,♣T | Pair
♥9,♦T,♣6,♦6,♠5 | Pair
♥9,♦T,♣6,♦6,♣3 | Pair
♥9,♦T,♣6,♦6,♠J | Pair
♥9,♦T,♣6,♦6,♣T | Two Pairs
♥9,♦T,♣6,♠5,♣T | Pair
♥9,♦T,♣6,♣3,♣T | Pair
♥9,♦T,♣6,♠J,♣T | Pair
♥9,♦T,♠Q,♦6,♣T | Pair
♥9,♦T,♠Q,♠5,♣T | Pair
♥9,♦T,♠Q,♣3,♣T | Pair
♥9,♦T,♠Q,♠J,♣T | Pair
♥9,♦T,♦6,♠5,♣T | Pair
♥9,♦T,♦6,♣3,♣T | Pair
♥9,♦T,♦6,♠J,♣T | Pair
♥9,♦T,♠5,♣3,♣T | Pair
♥9,♦T,♠5,♠J,♣T | Pair
♥9,♦T,♣3,♠J,♣T | Pair
♥9,♣6,♠Q,♦6,♠5 | Pair
♥9,♣6,♠Q,♦6,♣3 | Pair
♥9,♣6,♠Q,♦6,♠J | Pair
♥9,♣6,♠Q,♦6,♣T | Pair
♥9,♣6,♦6,♠5,♣3 | Pair
♥9,♣6,♦6,♠5,♠J | Pair
♥9,♣6,♦6,♠5,♣T | Pair
♥9,♣6,♦6,♣3,♠J | Pair
♥9,♣6,♦6,♣3,♣T | Pair
♥9,♣6,♦6,♠J,♣T | Pair
♣J,♠3,♦T,♣6,♦6 | Pair
♣J,♠3,♦T,♣6,♣3 | Pair
♣J,♠3,♦T,♣6,♠J | Pair
♣J,♠3,♦T,♣6,♣T | Pair
♣J,♠3,♦T,♠Q,♣3 | Pair
♣J,♠3,♦T,♠Q,♠J | Pair
♣J,♠3,♦T,♠Q,♣T | Pair
♣J,♠3,♦T,♦6,♣3 | Pair
♣J,♠3,♦T,♦6,♠J | Pair
♣J,♠3,♦T,♦6,♣T | Pair
♣J,♠3,♦T,♠5,♣3 | Pair
♣J,♠3,♦T,♠5,♠J | Pair
♣J,♠3,♦T,♠5,♣T | Pair
♣J,♠3,♦T,♣3,♠J | Two Pairs
♣J,♠3,♦T,♣3,♣T | Two Pairs
♣J,♠3,♦T,♠J,♣T | Two Pairs
♣J,♠3,♣6,♠Q,♦6 | Pair
♣J,♠3,♣6,♠Q,♣3 | Pair
♣J,♠3,♣6,♠Q,♠J | Pair
♣J,♠3,♣6,♦6,♠5 | Pair
♣J,♠3,♣6,♦6,♣3 | Two Pairs
♣J,♠3,♣6,♦6,♠J | Two Pairs
♣J,♠3,♣6,♦6,♣T | Pair
♣J,♠3,♣6,♠5,♣3 | Pair
♣J,♠3,♣6,♠5,♠J | Pair
♣J,♠3,♣6,♣3,♠J | Two Pairs
♣J,♠3,♣6,♣3,♣T | Pair
♣J,♠3,♣6,♠J,♣T | Pair
♣J,♠3,♠Q,♦6,♣3 | Pair
♣J,♠3,♠Q,♦6,♠J | Pair
♣J,♠3,♠Q,♠5,♣3 | Pair
♣J,♠3,♠Q,♠5,♠J | Pair
♣J,♠3,♠Q,♣3,♠J | Two Pairs
♣J,♠3,♠Q,♣3,♣T | Pair
♣J,♠3,♠Q,♠J,♣T | Pair
♣J,♠3,♦6,♠5,♣3 | Pair
♣J,♠3,♦6,♠5,♠J | Pair
♣J,♠3,♦6,♣3,♠J | Two Pairs
♣J,♠3,♦6,♣3,♣T | Pair
♣J,♠3,♦6,♠J,♣T | Pair
♣J,♠3,♠5,♣3,♠J | Two Pairs
♣J,♠3,♠5,♣3,♣T | Pair
♣J,♠3,♠5,♠J,♣T | Pair
♣J,♠3,♣3,♠J,♣T | Two Pairs
♣J,♦T,♣6,♠Q,♦6 | Pair
♣J,♦T,♣6,♠Q,♠J | Pair
♣J,♦T,♣6,♠Q,♣T | Pair
♣J,♦T,♣6,♦6,♠5 | Pair
♣J,♦T,♣6,♦6,♣3 | Pair
♣J,♦T,♣6,♦6,♠J | Two Pairs
♣J,♦T,♣6,♦6,♣T | Two Pairs
♣J,♦T,♣6,♠5,♠J | Pair
♣J,♦T,♣6,♠5,♣T | Pair
♣J,♦T,♣6,♣3,♠J | Pair
♣J,♦T,♣6,♣3,♣T | Pair
♣J,♦T,♣6,♠J,♣T | Two Pairs
♣J,♦T,♠Q,♦6,♠J | Pair
♣J,♦T,♠Q,♦6,♣T | Pair
♣J,♦T,♠Q,♠5,♠J | Pair
♣J,♦T,♠Q,♠5,♣T | Pair
♣J,♦T,♠Q,♣3,♠J | Pair
♣J,♦T,♠Q,♣3,♣T | Pair
♣J,♦T,♠Q,♠J,♣T | Two Pairs
♣J,♦T,♦6,♠5,♠J | Pair
♣J,♦T,♦6,♠5,♣T | Pair
♣J,♦T,♦6,♣3,♠J | Pair
♣J,♦T,♦6,♣3,♣T | Pair
♣J,♦T,♦6,♠J,♣T | Two Pairs
♣J,♦T,♠5,♣3,♠J | Pair
♣J,♦T,♠5,♣3,♣T | Pair
♣J,♦T,♠5,♠J,♣T | Two Pairs
♣J,♦T,♣3,♠J,♣T | Two Pairs
♣J,♣6,♠Q,♦6,♠5 | Pair
♣J,♣6,♠Q,♦6,♣3 | Pair
♣J,♣6,♠Q,♦6,♠J | Two Pairs
♣J,♣6,♠Q,♦6,♣T | Pair
♣J,♣6,♠Q,♠5,♠J | Pair
♣J,♣6,♠Q,♣3,♠J | Pair
♣J,♣6,♠Q,♠J,♣T | Pair
♣J,♣6,♦6,♠5,♣3 | Pair
♣J,♣6,♦6,♠5,♠J | Two Pairs
♣J,♣6,♦6,♠5,♣T | Pair
♣J,♣6,♦6,♣3,♠J | Two Pairs
♣J,♣6,♦6,♣3,♣T | Pair
♣J,♣6,♦6,♠J,♣T | Two Pairs
♣J,♣6,♠5,♣3,♠J | Pair
♣J,♣6,♠5,♠J,♣T | Pair
♣J,♣6,♣3,♠J,♣T | Pair
♣J,♠Q,♦6,♠5,♠J | Pair
♣J,♠Q,♦6,♣3,♠J | Pair
♣J,♠Q,♦6,♠J,♣T | Pair
♣J,♠Q,♠5,♣3,♠J | Pair
♣J,♠Q,♠5,♠J,♣T | Pair
♣J,♠Q,♣3,♠J,♣T | Pair
♣J,♦6,♠5,♣3,♠J | Pair
♣J,♦6,♠5,♠J,♣T | Pair
♣J,♦6,♣3,♠J,♣T | Pair
♣J,♠5,♣3,♠J,♣T | Pair
♠3,♦T,♣6,♠Q,♦6 | Pair
♠3,♦T,♣6,♠Q,♣3 | Pair
♠3,♦T,♣6,♠Q,♣T | Pair
♠3,♦T,♣6,♦6,♠5 | Pair
♠3,♦T,♣6,♦6,♣3 | Two Pairs
♠3,♦T,♣6,♦6,♠J | Pair
♠3,♦T,♣6,♦6,♣T | Two Pairs
♠3,♦T,♣6,♠5,♣3 | Pair
♠3,♦T,♣6,♠5,♣T | Pair
♠3,♦T,♣6,♣3,♠J | Pair
♠3,♦T,♣6,♣3,♣T | Two Pairs
♠3,♦T,♣6,♠J,♣T | Pair
♠3,♦T,♠Q,♦6,♣3 | Pair
♠3,♦T,♠Q,♦6,♣T | Pair
♠3,♦T,♠Q,♠5,♣3 | Pair
♠3,♦T,♠Q,♠5,♣T | Pair
♠3,♦T,♠Q,♣3,♠J | Pair
♠3,♦T,♠Q,♣3,♣T | Two Pairs
♠3,♦T,♠Q,♠J,♣T | Pair
♠3,♦T,♦6,♠5,♣3 | Pair
♠3,♦T,♦6,♠5,♣T | Pair
♠3,♦T,♦6,♣3,♠J | Pair
♠3,♦T,♦6,♣3,♣T | Two Pairs
♠3,♦T,♦6,♠J,♣T | Pair
♠3,♦T,♠5,♣3,♠J | Pair
♠3,♦T,♠5,♣3,♣T | Two Pairs
♠3,♦T,♠5,♠J,♣T | Pair
♠3,♦T,♣3,♠J,♣T | Two Pairs
♠3,♣6,♠Q,♦6,♠5 | Pair
♠3,♣6,♠Q,♦6,♣3 | Two Pairs
♠3,♣6,♠Q,♦6,♠J | Pair
♠3,♣6,♠Q,♦6,♣T | Pair
♠3,♣6,♠Q,♠5,♣3 | Pair
♠3,♣6,♠Q,♣3,♠J | Pair
♠3,♣6,♠Q,♣3,♣T | Pair
♠3,♣6,♦6,♠5,♣3 | Two Pairs
♠3,♣6,♦6,♠5,♠J | Pair
♠3,♣6,♦6,♠5,♣T | Pair
♠3,♣6,♦6,♣3,♠J | Two Pairs
♠3,♣6,♦6,♣3,♣T | Two Pairs
♠3,♣6,♦6,♠J,♣T | Pair
♠3,♣6,♠5,♣3,♠J | Pair
♠3,♣6,♠5,♣3,♣T | Pair
♠3,♣6,♣3,♠J,♣T | Pair
♠3,♠Q,♦6,♠5,♣3 | Pair
