♥2,♥7,♣9,♥8,♠2 | Pair
♥2,♥8,♥4,♠K,♠4 | Pair
♥2,♥8,♥4,♦4,♠4 | Full House
♥2,♥8,♠2,♠5,♥T | Pair
♥2,♥8,♠2,♠5,♣A | Pair
♥2,♥8,♠2,♠5,♠K | Pair
♥2,♥8,♠2,♠5,♦4 | Pair
♥2,♥8,♠2,♠5,♠4 | Pair
♥2,♥8,♠2,♥T,♣A | Pair
♥2,♥8,♠2,♥T,♠K | Pair
♥2,♥8,♠2,♥T,♦4 | Pair
♥2,♥8,♠2,♥T,♠4 | Pair
♥2,♥8,♠2,♣A,♠K | Pair
♥2,♥8,♠2,♣A,♦4 | Pair
♥2,♥8,♠2,♣A,♠4 | Pair
♥2,♥8,♠2,♠K,♦4 | Pair
♥2,♥8,♠2,♠K,♠4 | Pair
♥2,♥8,♠2,♦4,♠4 | Two Pairs
♥2,♥8,♠5,♦4,♠4 | Pair
♥2,♥8,♥T,♦4,♠4 | Pair
♥2,♥8,♣A,♦4,♠4 | Pair
♥2,♥8,♠K,♦4,♠4 | Pair
♥2,♣J,♥4,♠2,♠5 | Pair
♥2,♣J,♥4,♠2,♥T | Pair
♥2,♣J,♥4,♠2,♣A | Pair
♥2,♣J,♥4,♠2,♠K | Pair
♥2,♣J,♥4,♠2,♦4 | Two Pairs
♥2,♣J,♥4,♠2,♠4 | Two Pairs
♥2,♣J,♥4,♠5,♦4 | Pair
♥2,♣J,♥4,♠5,♠4 | Pair
♥2,♣J,♥4,♥T,♦4 | Pair
♥2,♣J,♥4,♥T,♠4 | Pair
♥2,♣J,♥4,♣A,♦4 | Pair
♥2,♣J,♥4,♣A,♠4 | Pair
♥2,♣J,♥4,♠K,♦4 | Pair
♥2,♣J,♥4,♠K,♠4 | Pair
♥2,♣J,♥4,♦4,♠4 | Full House
♥2,♣J,♠2,♠5,♥T | Pair
♥2,♣J,♠2,♠5,♣A | Pair
♥2,♣J,♠2,♠5,♠K | Pair
♥2,♣J,♠2,♠5,♦4 | Pair
♥2,♣J,♠2,♠5,♠4 | Pair
♥2,♣J,♠2,♥T,♣A | Pair
♥2,♣J,♠2,♥T,♠K | Pair
♥2,♣J,♠2,♥T,♦4 | Pair
♥2,♣J,♠2,♥T,♠4 | Pair
♥2,♣J,♠2,♣A,♠K | Pair
♥2,♣J,♠2,♣A,♦4 | Pair
♥2,♣J,♠2,♣A,♠4 | Pair
♥2,♣J,♠2,♠K,♦4 | Pair
♥2,♣J,♠2,♠K,♠4 | Pair
♥2,♣J,♠2,♦4,♠4 | Two Pairs
♥2,♣J,♠5,♦4,♠4 | Pair
♥2,♣J,♥T,♦4,♠4 | Pair
♥2,♣J,♣A,♦4,♠4 | Pair
♥2,♣J,♠K,♦4,♠4 | Pair
♥2,♥4,♠2,♠5,♥T | Pair
♥2,♥4,♠2,♠5,♣A | Pair
♥2,♥4,♠2,♠5,♠K | Pair
♥2,♥4,♠2,♠5,♦4 | Two Pairs
♥2,♥4,♠2,♠5,♠4 | Two Pairs
♥2,♥4,♠2,♥T,♣A | Pair
♥2,♥4,♠2,♥T,♠K | Pair
♥2,♥4,♠2,♥T,♦4 | Two Pairs
♥2,♥4,♠2,♥T,♠4 | Two Pairs
♥2,♥4,♠2,♣A,♠K | Pair
♥2,♥4,♠2,♣A,♦4 | Two Pairs
♥2,♥4,♠2,♣A,♠4 | Two Pairs
♥2,♥4,♠2,♠K,♦4 | Two Pairs
♥2,♥4,♠2,♠K,♠4 | Two Pairs
♥2,♥4,♠2,♦4,♠4 | Full House
♥2,♥4,♠5,♥T,♦4 | Pair
♥2,♥4,♠5,♥T,♠4 | Pair
♥2,♥4,♠5,♣A,♦4 | Pair
♥2,♥4,♠5,♣A,♠4 | Pair
♥2,♥4,♠5,♠K,♦4 | Pair
♥2,♥4,♠5,♠K,♠4 | Pair
♥2,♥4,♠5,♦4,♠4 | Full House
♥2,♥4,♥T,♣A,♦4 | Pair
♥2,♥4,♥T,♣A,♠4 | Pair
♥2,♥4,♥T,♠K,♦4 | Pair
♥2,♥4,♥T,♠K,♠4 | Pair
♥2,♥4,♥T,♦4,♠4 | Full House
♥2,♥4,♣A,♠K,♦4 | Pair
♥2,♥4,♣A,♠K,♠4 | Pair
♥2,♥4,♣A,♦4,♠4 | Full House
♥2,♥4,♠K,♦4,♠4 | Full House
♥2,♠2,♠5,♥T,♣A | Pair
♥2,♠2,♠5,♥T,♠K | Pair
♥2,♠2,♠5,♥T,♦4 | Pair
♥2,♠2,♠5,♥T,♠4 | Pair
♥2,♠2,♠5,♣A,♠K | Pair
♥2,♠2,♠5,♣A,♦4 | Pair
♥2,♠2,♠5,♣A,♠4 | Pair
♥2,♠2,♠5,♠K,♦4 | Pair
♥2,♠2,♠5,♠K,♠4 | Pair
♥2,♠2,♠5,♦4,♠4 | Two Pairs
♥2,♠2,♥T,♣A,♠K | Pair
♥2,♠2,♥T,♣A,♦4 | Pair
♥2,♠2,♥T,♣A,♠4 | Pair
♥2,♠2,♥T,♠K,♦4 | Pair
♥2,♠2,♥T,♠K,♠4 | Pair
♥2,♠2,♥T,♦4,♠4 | Two Pairs
♥2,♠2,♣A,♠K,♦4 | Pair
♥2,♠2,♣A,♠K,♠4 | Pair
♥2,♠2,♣A,♦4,♠4 | Two Pairs
♥2,♠2,♠K,♦4,♠4 | Two Pairs
♥2,♠5,♥T,♦4,♠4 | Pair
♥2,♠5,♣A,♦4,♠4 | Pair
♥2,♠5,♠K,♦4,♠4 | Pair
♥2,♥T,♣A,♦4,♠4 | Pair
♥2,♥T,♠K,♦4,♠4 | Pair
♥2,♣A,♠K,♦4,♠4 | Pair
♥7,♣9,♥8,♥4,♦4 | Pair
♥7,♣9,♥8,♥4,♠4 | Pair
♥7,♣9,♥8,♦4,♠4 | Pair
♥7,♣9,♣J,♥4,♦4 | Pair
♥7,♣9,♣J,♥4,♠4 | Pair
♥7,♣9,♣J,♦4,♠4 | Pair
♥7,♣9,♥4,♠2,♦4 | Pair
♥7,♣9,♥4,♠2,♠4 | Pair
♥7,♣9,♥4,♠5,♦4 | Pair
♥7,♣9,♥4,♠5,♠4 | Pair
♥7,♣9,♥4,♥T,♦4 | Pair
♥7,♣9,♥4,♥T,♠4 | Pair
♥7,♣9,♥4,♣A,♦4 | Pair
♥7,♣9,♥4,♣A,♠4 | Pair
♥7,♣9,♥4,♠K,♦4 | Pair
♥7,♣9,♥4,♠K,♠4 | Pair
♥7,♣9,♥4,♦4,♠4 | Full House
♥7,♣9,♠2,♦4,♠4 | Pair
♥7,♣9,♠5,♦4,♠4 | Pair
♥7,♣9,♥T,♦4,♠4 | Pair
♥7,♣9,♣A,♦4,♠4 | Pair
♥7,♣9,♠K,♦4,♠4 | Pair
♥7,♥8,♣J,♥4,♦4 | Pair
♥7,♥8,♣J,♥4,♠4 | Pair
♥7,♥8,♣J,♦4,♠4 | Pair
♥7,♥8,♥4,♠2,♦4 | Pair
♥7,♥8,♥4,♠2,♠4 | Pair
♥7,♥8,♥4,♠5,♦4 | Pair
♥7,♥8,♥4,♠5,♠4 | Pair
♥7,♥8,♥4,♥T,♦4 | Pair
♥7,♥8,♥4,♥T,♠4 | Pair
♥7,♥8,♥4,♣A,♦4 | Pair
♥7,♥8,♥4,♣A,♠4 | Pair
♥7,♥8,♥4,♠K,♦4 | Pair
♥7,♥8,♥4,♠K,♠4 | Pair
♥7,♥8,♥4,♦4,♠4 | Full House
♥7,♥8,♠2,♦4,♠4 | Pair
♥7,♥8,♠5,♦4,♠4 | Pair
♥7,♥8,♥T,♦4,♠4 | Pair
♥7,♥8,♣A,♦4,♠4 | Pair
♥7,♥8,♠K,♦4,♠4 | Pair
♥7,♣J,♥4,♠2,♦4 | Pair
♥7,♣J,♥4,♠2,♠4 | Pair
♥7,♣J,♥4,♠5,♦4 | Pair
♥7,♣J,♥4,♠5,♠4 | Pair
♥7,♣J,♥4,♥T,♦4 | Pair
♥7,♣J,♥4,♥T,♠4 | Pair
♥7,♣J,♥4,♣A,♦4 | Pair
♥7,♣J,♥4,♣A,♠4 | Pair
♥7,♣J,♥4,♠K,♦4 | Pair
♥7,♣J,♥4,♠K,♠4 | Pair
♥7,♣J,♥4,♦4,♠4 | Full House
♥7,♣J,♠2,♦4,♠4 | Pair
♥7,♣J,♠5,♦4,♠4 | Pair
♥7,♣J,♥T,♦4,♠4 | Pair
♥7,♣J,♣A,♦4,♠4 | Pair
♥7,♣J,♠K,♦4,♠4 | Pair
♥7,♥4,♠2,♠5,♦4 | Pair
♥7,♥4,♠2,♠5,♠4 | Pair
♥7,♥4,♠2,♥T,♦4 | Pair
♥7,♥4,♠2,♥T,♠4 | Pair
♥7,♥4,♠2,♣A,♦4 | Pair
♥7,♥4,♠2,♣A,♠4 | Pair
♥7,♥4,♠2,♠K,♦4 | Pair
♥7,♥4,♠2,♠K,♠4 | Pair
♥7,♥4,♠2,♦4,♠4 | Full House
♥7,♥4,♠5,♥T,♦4 | Pair
♥7,♥4,♠5,♥T,♠4 | Pair
♥7,♥4,♠5,♣A,♦4 | Pair
♥7,♥4,♠5,♣A,♠4 | Pair
♥7,♥4,♠5,♠K,♦4 | Pair
♥7,♥4,♠5,♠K,♠4 | Pair
♥7,♥4,♠5,♦4,♠4 | Full House
♥7,♥4,♥T,♣A,♦4 | Pair
♥7,♥4,♥T,♣A,♠4 | Pair
♥7,♥4,♥T,♠K,♦4 | Pair
♥7,♥4,♥T,♠K,♠4 | Pair
♥7,♥4,♥T,♦4,♠4 | Full House
♥7,♥4,♣A,♠K,♦4 | Pair
♥7,♥4,♣A,♠K,♠4 | Pair
♥7,♥4,♣A,♦4,♠4 | Full House
♥7,♥4,♠K,♦4,♠4 | Full House
♥7,♠2,♠5,♦4,♠4 | Pair
♥7,♠2,♥T,♦4,♠4 | Pair
♥7,♠2,♣A,♦4,♠4 | Pair
♥7,♠2,♠K,♦4,♠4 | Pair
♥7,♠5,♥T,♦4,♠4 | Pair
♥7,♠5,♣A,♦4,♠4 | Pair
♥7,♠5,♠K,♦4,♠4 | Pair
♥7,♥T,♣A,♦4,♠4 | Pair
♥7,♥T,♠K,♦4,♠4 | Pair
♥7,♣A,♠K,♦4,♠4 | Pair
♣9,♥8,♣J,♥4,♦4 | Pair
♣9,♥8,♣J,♥4,♠4 | Pair
♣9,♥8,♣J,♦4,♠4 | Pair
♣9,♥8,♥4,♠2,♦4 | Pair
♣9,♥8,♥4,♠2,♠4 | Pair
♣9,♥8,♥4,♠5,♦4 | Pair
♣9,♥8,♥4,♠5,♠4 | Pair
♣9,♥8,♥4,♥T,♦4 | Pair
♣9,♥8,♥4,♥T,♠4 | Pair
♣9,♥8,♥4,♣A,♦4 | Pair
♣9,♥8,♥4,♣A,♠4 | Pair
♣9,♥8,♥4,♠K,♦4 | Pair
♣9,♥8,♥4,♠K,♠4 | Pair
♣9,♥8,♥4,♦4,♠4 | Full House
♣9,♥8,♠2,♦4,♠4 | Pair
♣9,♥8,♠5,♦4,♠4 | Pair
♣9,♥8,♥T,♦4,♠4 | Pair
♣9,♥8,♣A,♦4,♠4 | Pair
♣9,♥8,♠K,♦4,♠4 | Pair
♣9,♣J,♥4,♠2,♦4 | Pair
♣9,♣J,♥4,♠2,♠4 | Pair
♣9,♣J,♥4,♠5,♦4 | Pair
♣9,♣J,♥4,♠5,♠4 | Pair
♣9,♣J,♥4,♥T,♦4 | Pair
♣9,♣J,♥4,♥T,♠4 | Pair
♣9,♣J,♥4,♣A,♦4 | Pair
♣9,♣J,♥4,♣A,♠4 | Pair
♣9,♣J,♥4,♠K,♦4 | Pair
♣9,♣J,♥4,♠K,♠4 | Pair
♣9,♣J,♥4,♦4,♠4 | Full House
♣9,♣J,♠2,♦4,♠4 | Pair
♣9,♣J,♠5,♦4,♠4 | Pair
♣9,♣J,♥T,♦4,♠4 | Pair
♣9,♣J,♣A,♦4,♠4 | Pair
♣9,♣J,♠K,♦4,♠4 | Pair
♣9,♥4,♠2,♠5,♦4 | Pair
♣9,♥4,♠2,♠5,♠4 | Pair
♣9,♥4,♠2,♥T,♦4 | Pair
♣9,♥4,♠2,♥T,♠4 | Pair
♣9,♥4,♠2,♣A,♦4 | Pair
♣9,♥4,♠2,♣A,♠4 | Pair
♣9,♥4,♠2,♠K,♦4 | Pair
♣9,♥4,♠2,♠K,♠4 | Pair
♣9,♥4,♠2,♦4,♠4 | Full House
♣9,♥4,♠5,♥T,♦4 | Pair
♣9,♥4,♠5,♥T,♠4 | Pair
♣9,♥4,♠5,♣A,♦4 | Pair
♣9,♥4,♠5,♣A,♠4 | Pair
♣9,♥4,♠5,♠K,♦4 | Pair
♣9,♥4,♠5,♠K,♠4 | Pair
♣9,♥4,♠5,♦4,♠4 | Full House
♣9,♥4,♥T,♣A,♦4 | Pair
♣9,♥4,♥T,♣A,♠4 | Pair
♣9,♥4,♥T,♠K,♦4 | Pair
♣9,♥4,♥T,♠K,♠4 | Pair
♣9,♥4,♥T,♦4,♠4 | Full House
♣9,♥4,♣A,♠K,♦4 | Pair
♣9,♥4,♣A,♠K,♠4 | Pair
♣9,♥4,♣A,♦4,♠4 | Full House
♣9,♥4,♠K,♦4,♠4 | Full House
♣9,♠2,♠5,♦4,♠4 | Pair
♣9,♠2,♥T,♦4,♠4 | Pair
♣9,♠2,♣A,♦4,♠4 | Pair
♣9,♠2,♠K,♦4,♠4 | Pair
♣9,♠5,♥T,♦4,♠4 | Pair
♣9,♠5,♣A,♦4,♠4 | Pair
♣9,♠5,♠K,♦4,♠4 | Pair
♣9,♥T,♣A,♦4,♠4 | Pair
♣9,♥T,♠K,♦4,♠4 | Pair
♣9,♣A,♠K,♦4,♠4 | Pair
♥8,♣J,♥4,♠2,♦4 | Pair
♥8,♣J,♥4,♠2,♠4 | Pair
♥8,♣J,♥4,♠5,♦4 | Pair
♥8,♣J,♥4,♠5,♠4 | Pair
♥8,♣J,♥4,♥T,♦4 | Pair
♥8,♣J,♥4,♥T,♠4 | Pair
♥8,♣J,♥4,♣A,♦4 | Pair
♥8,♣J,♥4,♣A,♠4 | Pair
♥8,♣J,♥4,♠K,♦4 | Pair
♥8,♣J,♥4,♠K,♠4 | Pair
♥8,♣J,♥4,♦4,♠4 | Full House
♥8,♣J,♠2,♦4,♠4 | Pair
♥8,♣J,♠5,♦4,♠4 | Pair
♥8,♣J,♥T,♦4,♠4 | Pair
♥8,♣J,♣A,♦4,♠4 | Pair
♥8,♣J,♠K,♦4,♠4 | Pair
♥8,♥4,♠2,♠5,♦4 | Pair
♥8,♥4,♠2,♠5,♠4 | Pair
♥8,♥4,♠2,♥T,♦4 | Pair
♥8,♥4,♠2,♥T,♠4 | Pair
♥8,♥4,♠2,♣A,♦4 | Pair
♥8,♥4,♠2,♣A,♠4 | Pair
♥8,♥4,♠2,♠K,♦4 | Pair
♥8,♥4,♠2,♠K,♠4 | Pair
♥8,♥4,♠2,♦4,♠4 | Full House
♥8,♥4,♠5,♥T,♦4 | Pair
♥8,♥4,♠5,♥T,♠4 | Pair
♥8,♥4,♠5,♣A,♦4 | Pair
♥8,♥4,♠5,♣A,♠4 | Pair
♥8,♥4,♠5,♠K,♦4 | Pair
♥8,♥4,♠5,♠K,♠4 | Pair
♥8,♥4,♠5,♦4,♠4 | Full House
♥8,♥4,♥T,♣A,♦4 | Pair
♥8,♥4,♥T,♣A,♠4 | Pair
♥8,♥4,♥T,♠K,♦4 | Pair
♥8,♥4,♥T,♠K,♠4 | Pair
♥8,♥4,♥T,♦4,♠4 | Full House
♥8,♥4,♣A,♠K,♦4 | Pair
♥8,♥4,♣A,♠K,♠4 | Pair
♥8,♥4,♣A,♦4,♠4 | Full House
♥8,♥4,♠K,♦4,♠4 | Full House
♥8,♠2,♠5,♦4,♠4 | Pair
♥8,♠2,♥T,♦4,♠4 | Pair
♥8,♠2,♣A,♦4,♠4 | Pair
♥8,♠2,♠K,♦4,♠4 | Pair
♥8,♠5,♥T,♦4,♠4 | Pair
♥8,♠5,♣A,♦4,♠4 | Pair
♥8,♠5,♠K,♦4,♠4 | Pair
♥8,♥T,♣A,♦4,♠4 | Pair
♥8,♥T,♠K,♦4,♠4 | Pair
♥8,♣A,♠K,♦4,♠4 | Pair
♣J,♥4,♠2,♠5,♦4 | Pair
♣J,♥4,♠2,♠5,♠4 | Pair
♣J,♥4,♠2,♥T,♦4 | Pair
♣J,♥4,♠2,♥T,♠4 | Pair
♣J,♥4,♠2,♣A,♦4 | Pair
♣J,♥4,♠2,♣A,♠4 | Pair
♣J,♥4,♠2,♠K,♦4 | Pair
♣J,♥4,♠2,♠K,♠4 | Pair
♣J,♥4,♠2,♦4,♠4 | Full House
♣J,♥4,♠5,♥T,♦4 | Pair
♣J,♥4,♠5,♥T,♠4 | Pair
♣J,♥4,♠5,♣A,♦4 | Pair
♣J,♥4,♠5,♣A,♠4 | Pair
♣J,♥4,♠5,♠K,♦4 | Pair
♣J,♥4,♠5,♠K,♠4 | Pair
♣J,♥4,♠5,♦4,♠4 | Full House
♣J,♥4,♥T,♣A,♦4 | Pair
♣J,♥4,♥T,♣A,♠4 | Pair
♣J,♥4,♥T,♠K,♦4 | Pair
♣J,♥4,♥T,♠K,♠4 | Pair
♣J,♥4,♥T,♦4,♠4 | Full House
♣J,♥4,♣A,♠K,♦4 | Pair
♣J,♥4,♣A,♠K,♠4 | Pair
♣J,♥4,♣A,♦4,♠4 | Full House
♣J,♥4,♠K,♦4,♠4 | Full House
♣J,♠2,♠5,♦4,♠4 | Pair
♣J,♠2,♥T,♦4,♠4 | Pair
♣J,♠2,♣A,♦4,♠4 | Pair
♣J,♠2,♠K,♦4,♠4 | Pair
♣J,♠5,♥T,♦4,♠4 | Pair
♣J,♠5,♣A,♦4,♠4 | Pair
♣J,♠5,♠K,♦4,♠4 | Pair
♣J,♥T,♣A,♦4,♠4 | Pair
♣J,♥T,♠K,♦4,♠4 | Pair
♣J,♣A,♠K,♦4,♠4 | Pair
♥4,♠2,♠5,♥T,♦4 | Pair
♥4,♠2,♠5,♥T,♠4 | Pair
♥4,♠2,♠5,♣A,♦4 | Pair
♥4,♠2,♠5,♣A,♠4 | Pair
♥4,♠2,♠5,♠K,♦4 | Pair
♥4,♠2,♠5,♠K,♠4 | Pair
♥4,♠2,♠5,♦4,♠4 | Full House
♥4,♠2,♥T,♣A,♦4 | Pair
♥4,♠2,♥T,♣A,♠4 | Pair
♥4,♠2,♥T,♠K,♦4 | Pair
♥4,♠2,♥T,♠K,♠4 | Pair
♥4,♠2,♥T,♦4,♠4 | Full House
♥4,♠2,♣A,♠K,♦4 | Pair
♥4,♠2,♣A,♠K,♠4 | Pair
♥4,♠2,♣A,♦4,♠4 | Full House
♥4,♠2,♠K,♦4,♠4 | Full House
♥4,♠5,♥T,♣A,♦4 | Pair
♥4,♠5,♥T,♣A,♠4 | Pair
♥4,♠5,♥T,♠K,♦4 | Pair
♥4,♠5,♥T,♠K,♠4 | Pair
♥4,♠5,♥T,♦4,♠4 | Full House
♥4,♠5,♣A,♠K,♦4 | Pair
♥4,♠5,♣A,♠K,♠4 | Pair
♥4,♠5,♣A,♦4,♠4 | Full House
♥4,♠5,♠K,♦4,♠4 | Full House
♥4,♥T,♣A,♠K,♦4 | Pair
♥4,♥T,♣A,♠K,♠4 | Pair
♥4,♥T,♣A,♦4,♠4 | Full House
♥4,♥T,♠K,♦4,♠4 | Full House
♥4,♣A,♠K,♦4,♠4 | Full House
♠2,♠5,♥T,♦4,♠4 | Pair
♠2,♠5,♣A,♦4,♠4 | Pair
♠2,♠5,♠K,♦4,♠4 | Pair
♠2,♥T,♣A,♦4,♠4 | Pair
♠2,♥T,♠K,♦4,♠4 | Pair
♠2,♣A,♠K,♦4,♠4 | Pair
♠5,♥T,♣A,♦4,♠4 | Pair
♠5,♥T,♠K,♦4,♠4 | Pair
♠5,♣A,♠K,♦4,♠4 | Pair
♥T,♣A,♠K,♦4,♠4 | Pair
