♠K, ♠8, ♣9, ♠5, ♥K | pair
♠K, ♠8, ♠5, ♣8, ♦8 | three of a kind
♠K, ♠8, ♠5, ♥7, ♦8 | pair
♠K, ♠8, ♠7, ♣4, ♣7 | pair
♠K, ♠8, ♠7, ♣4, ♥K | pair
♠K, ♠8, ♠7, ♣4, ♣K | pair
♠K, ♠8, ♠7, ♣4, ♣8 | pair
♠K, ♠8, ♠7, ♣4, ♥7 | pair
♠K, ♠8, ♠7, ♣4, ♦8 | pair
♠K, ♠8, ♠7, ♣7, ♥K | two pairs
♠K, ♠8, ♠7, ♣7, ♣K | two pairs
♠K, ♠8, ♠7, ♣7, ♥9 | pair
♠K, ♠8, ♠7, ♣7, ♥6 | pair
♠K, ♠8, ♠7, ♣7, ♣8 | two pairs
♠K, ♠8, ♠7, ♣7, ♥7 | three of a kind
♠K, ♠8, ♠7, ♣7, ♦8 | two pairs
♠K, ♠8, ♠7, ♥K, ♣K | three of a kind
♠K, ♠8, ♠7, ♥K, ♥9 | pair
♠K, ♠8, ♠7, ♥K, ♥6 | pair
♠K, ♠8, ♠7, ♥K, ♣8 | two pairs
♠K, ♠8, ♠7, ♥K, ♥7 | two pairs
♠K, ♠8, ♠7, ♥K, ♦8 | two pairs
♠K, ♠8, ♠7, ♣K, ♥9 | pair
♠K, ♠8, ♠7, ♣K, ♥6 | pair
♠K, ♠8, ♠7, ♣K, ♣8 | two pairs
♠K, ♠8, ♠7, ♣K, ♥7 | two pairs
♠K, ♠8, ♠7, ♣K, ♦8 | two pairs
♠K, ♠8, ♠7, ♥9, ♣8 | pair
♠K, ♠8, ♠7, ♥9, ♥7 | pair
♠K, ♠8, ♠7, ♥9, ♦8 | pair
♠K, ♠8, ♠7, ♥6, ♣8 | pair
♠K, ♠8, ♠7, ♥6, ♥7 | pair
♠K, ♠8, ♠7, ♥6, ♦8 | pair
♠K, ♠8, ♠7, ♣8, ♥7 | two pairs
♠K, ♠8, ♠7, ♣8, ♦8 | three of a kind
♠K, ♠8, ♠7, ♥7, ♦8 | two pairs
♠K, ♠8, ♣4, ♣7, ♥K | pair
♠K, ♠8, ♣4, ♣7, ♣K | pair
♠K, ♠8, ♣4, ♣7, ♣8 | pair
♠K, ♠8, ♣4, ♣7, ♥7 | pair
♠K, ♠8, ♣4, ♣7, ♦8 | pair
♠K, ♠8, ♣4, ♥K, ♣K | three of a kind
♠K, ♠8, ♣4, ♥K, ♥9 | pair
♠K, ♠8, ♣4, ♥K, ♥6 | pair
♠K, ♠8, ♣4, ♥K, ♣8 | two pairs
♠K, ♠8, ♣4, ♥K, ♥7 | pair
♠K, ♠8, ♣4, ♥K, ♦8 | two pairs
♠K, ♠8, ♣4, ♣K, ♥9 | pair
♠K, ♠8, ♣4, ♣K, ♥6 | pair
♠K, ♠8, ♣4, ♣K, ♣8 | two pairs
♠K, ♠8, ♣4, ♣K, ♥7 | pair
♠K, ♠8, ♣4, ♣K, ♦8 | two pairs
♠K, ♠8, ♣4, ♥9, ♣8 | pair
♠K, ♠8, ♣4, ♥9, ♦8 | pair
♠K, ♠8, ♣4, ♥6, ♣8 | pair
♠K, ♠8, ♣4, ♥6, ♦8 | pair
♠K, ♠8, ♣4, ♣8, ♥7 | pair
♠K, ♠8, ♣4, ♣8, ♦8 | three of a kind
♠K, ♠8, ♣4, ♥7, ♦8 | pair
♠K, ♠8, ♣7, ♥K, ♣K | three of a kind
♠K, ♠8, ♣7, ♥K, ♥9 | pair
♠K, ♠8, ♣7, ♥K, ♥6 | pair
♠K, ♠8, ♣7, ♥K, ♣8 | two pairs
♠K, ♠8, ♣7, ♥K, ♥7 | two pairs
♠K, ♠8, ♣7, ♥K, ♦8 | two pairs
♠K, ♠8, ♣7, ♣K, ♥9 | pair
♠K, ♠8, ♣7, ♣K, ♥6 | pair
♠K, ♠8, ♣7, ♣K, ♣8 | two pairs
♠K, ♠8, ♣7, ♣K, ♥7 | two pairs
♠K, ♠8, ♣7, ♣K, ♦8 | two pairs
♠K, ♠8, ♣7, ♥9, ♣8 | pair
♠K, ♠8, ♣7, ♥9, ♥7 | pair
♠K, ♠8, ♣7, ♥9, ♦8 | pair
♠K, ♠8, ♣7, ♥6, ♣8 | pair
♠K, ♠8, ♣7, ♥6, ♥7 | pair
♠K, ♠8, ♣7, ♥6, ♦8 | pair
♠K, ♠8, ♣7, ♣8, ♥7 | two pairs
♠K, ♠8, ♣7, ♣8, ♦8 | three of a kind
♠K, ♠8, ♣7, ♥7, ♦8 | two pairs
♠K, ♠8, ♥K, ♣K, ♥9 | three of a kind
♠K, ♠8, ♥K, ♣K, ♥6 | three of a kind
♠K, ♠8, ♥K, ♣K, ♣8 | fullhouse
♠K, ♠8, ♥K, ♣K, ♥7 | three of a kind
♠K, ♠8, ♥K, ♣K, ♦8 | fullhouse
♠K, ♠8, ♥K, ♥9, ♥6 | pair
♠K, ♠8, ♥K, ♥9, ♣8 | two pairs
♠K, ♠8, ♥K, ♥9, ♥7 | pair
♠K, ♠8, ♥K, ♥9, ♦8 | two pairs
♠K, ♠8, ♥K, ♥6, ♣8 | two pairs
♠K, ♠8, ♥K, ♥6, ♥7 | pair
♠K, ♠8, ♥K, ♥6, ♦8 | two pairs
♠K, ♠8, ♥K, ♣8, ♥7 | two pairs
♠K, ♠8, ♥K, ♣8, ♦8 | fullhouse
♠K, ♠8, ♥K, ♥7, ♦8 | two pairs
♠K, ♠8, ♣K, ♥9, ♥6 | pair
♠K, ♠8, ♣K, ♥9, ♣8 | two pairs
♠K, ♠8, ♣K, ♥9, ♥7 | pair
♠K, ♠8, ♣K, ♥9, ♦8 | two pairs
♠K, ♠8, ♣K, ♥6, ♣8 | two pairs
♠K, ♠8, ♣K, ♥6, ♥7 | pair
♠K, ♠8, ♣K, ♥6, ♦8 | two pairs
♠K, ♠8, ♣K, ♣8, ♥7 | two pairs
♠K, ♠8, ♣K, ♣8, ♦8 | fullhouse
♠K, ♠8, ♣K, ♥7, ♦8 | two pairs
♠K, ♠8, ♥9, ♥6, ♣8 | pair
♠K, ♠8, ♥9, ♥6, ♦8 | pair
♠K, ♠8, ♥9, ♣8, ♥7 | pair
♠K, ♠8, ♥9, ♣8, ♦8 | three of a kind
♠K, ♠8, ♥9, ♥7, ♦8 | pair
♠K, ♠8, ♥6, ♣8, ♥7 | pair
♠K, ♠8, ♥6, ♣8, ♦8 | three of a kind
♠K, ♠8, ♥6, ♥7, ♦8 | pair
♠K, ♠8, ♣8, ♥7, ♦8 | three of a kind
♠K, ♣9, ♠5, ♠7, ♣7 | pair
♠K, ♣9, ♠5, ♠7, ♥K | pair
♠K, ♣9, ♠5, ♠7, ♣K | pair
♠K, ♣9, ♠5, ♠7, ♥9 | pair
♠K, ♣9, ♠5, ♠7, ♥7 | pair
♠K, ♣9, ♠5, ♣4, ♥K | pair
♠K, ♣9, ♠5, ♣4, ♣K | pair
♠K, ♣9, ♠5, ♣4, ♥9 | pair
♠K, ♣9, ♠5, ♣7, ♥K | pair
♠K, ♣9, ♠5, ♣7, ♣K | pair
♠K, ♣9, ♠5, ♣7, ♥9 | pair
♠K, ♣9, ♠5, ♣7, ♥7 | pair
♠K, ♣9, ♠5, ♥K, ♣K | three of a kind
♠K, ♣9, ♠5, ♥K, ♥9 | two pairs
♠K, ♣9, ♠5, ♥K, ♥6 | pair
♠K, ♣9, ♠5, ♥K, ♣8 | pair
♠K, ♣9, ♠5, ♥K, ♥7 | pair
♠K, ♣9, ♠5, ♥K, ♦8 | pair
♠K, ♣9, ♠5, ♣K, ♥9 | two pairs
♠K, ♣9, ♠5, ♣K, ♥6 | pair
♠K, ♣9, ♠5, ♣K, ♣8 | pair
♠K, ♣9, ♠5, ♣K, ♥7 | pair
♠K, ♣9, ♠5, ♣K, ♦8 | pair
♠K, ♣9, ♠5, ♥9, ♥6 | pair
♠K, ♣9, ♠5, ♥9, ♣8 | pair
♠K, ♣9, ♠5, ♥9, ♥7 | pair
♠K, ♣9, ♠5, ♥9, ♦8 | pair
♠K, ♣9, ♠5, ♣8, ♦8 | pair
♠K, ♣9, ♠7, ♣4, ♣7 | pair
♠K, ♣9, ♠7, ♣4, ♥K | pair
♠K, ♣9, ♠7, ♣4, ♣K | pair
♠K, ♣9, ♠7, ♣4, ♥9 | pair
♠K, ♣9, ♠7, ♣4, ♥7 | pair
♠K, ♣9, ♠7, ♣7, ♥K | two pairs
♠K, ♣9, ♠7, ♣7, ♣K | two pairs
♠K, ♣9, ♠7, ♣7, ♥9 | two pairs
♠K, ♣9, ♠7, ♣7, ♥6 | pair
♠K, ♣9, ♠7, ♣7, ♣8 | pair
♠K, ♣9, ♠7, ♣7, ♥7 | three of a kind
♠K, ♣9, ♠7, ♣7, ♦8 | pair
♠K, ♣9, ♠7, ♥K, ♣K | three of a kind
♠K, ♣9, ♠7, ♥K, ♥9 | two pairs
♠K, ♣9, ♠7, ♥K, ♥6 | pair
♠K, ♣9, ♠7, ♥K, ♣8 | pair
♠K, ♣9, ♠7, ♥K, ♥7 | two pairs
♠K, ♣9, ♠7, ♥K, ♦8 | pair
♠K, ♣9, ♠7, ♣K, ♥9 | two pairs
♠K, ♣9, ♠7, ♣K, ♥6 | pair
♠K, ♣9, ♠7, ♣K, ♣8 | pair
♠K, ♣9, ♠7, ♣K, ♥7 | two pairs
♠K, ♣9, ♠7, ♣K, ♦8 | pair
♠K, ♣9, ♠7, ♥9, ♥6 | pair
♠K, ♣9, ♠7, ♥9, ♣8 | pair
♠K, ♣9, ♠7, ♥9, ♥7 | two pairs
♠K, ♣9, ♠7, ♥9, ♦8 | pair
♠K, ♣9, ♠7, ♥6, ♥7 | pair
♠K, ♣9, ♠7, ♣8, ♥7 | pair
♠K, ♣9, ♠7, ♣8, ♦8 | pair
♠K, ♣9, ♠7, ♥7, ♦8 | pair
♠K, ♣9, ♣4, ♣7, ♥K | pair
♠K, ♣9, ♣4, ♣7, ♣K | pair
♠K, ♣9, ♣4, ♣7, ♥9 | pair
♠K, ♣9, ♣4, ♣7, ♥7 | pair
♠K, ♣9, ♣4, ♥K, ♣K | three of a kind
♠K, ♣9, ♣4, ♥K, ♥9 | two pairs
♠K, ♣9, ♣4, ♥K, ♥6 | pair
♠K, ♣9, ♣4, ♥K, ♣8 | pair
♠K, ♣9, ♣4, ♥K, ♥7 | pair
♠K, ♣9, ♣4, ♥K, ♦8 | pair
♠K, ♣9, ♣4, ♣K, ♥9 | two pairs
♠K, ♣9, ♣4, ♣K, ♥6 | pair
♠K, ♣9, ♣4, ♣K, ♣8 | pair
♠K, ♣9, ♣4, ♣K, ♥7 | pair
♠K, ♣9, ♣4, ♣K, ♦8 | pair
♠K, ♣9, ♣4, ♥9, ♥6 | pair
♠K, ♣9, ♣4, ♥9, ♣8 | pair
♠K, ♣9, ♣4, ♥9, ♥7 | pair
♠K, ♣9, ♣4, ♥9, ♦8 | pair
♠K, ♣9, ♣4, ♣8, ♦8 | pair
♠K, ♣9, ♣7, ♥K, ♣K | three of a kind
♠K, ♣9, ♣7, ♥K, ♥9 | two pairs
♠K, ♣9, ♣7, ♥K, ♥6 | pair
♠K, ♣9, ♣7, ♥K, ♣8 | pair
♠K, ♣9, ♣7, ♥K, ♥7 | two pairs
♠K, ♣9, ♣7, ♥K, ♦8 | pair
♠K, ♣9, ♣7, ♣K, ♥9 | two pairs
♠K, ♣9, ♣7, ♣K, ♥6 | pair
♠K, ♣9, ♣7, ♣K, ♣8 | pair
♠K, ♣9, ♣7, ♣K, ♥7 | two pairs
♠K, ♣9, ♣7, ♣K, ♦8 | pair
♠K, ♣9, ♣7, ♥9, ♥6 | pair
♠K, ♣9, ♣7, ♥9, ♣8 | pair
♠K, ♣9, ♣7, ♥9, ♥7 | two pairs
♠K, ♣9, ♣7, ♥9, ♦8 | pair
♠K, ♣9, ♣7, ♥6, ♥7 | pair
♠K, ♣9, ♣7, ♣8, ♥7 | pair
♠K, ♣9, ♣7, ♣8, ♦8 | pair
♠K, ♣9, ♣7, ♥7, ♦8 | pair
♠K, ♣9, ♥K, ♣K, ♥9 | fullhouse
♠K, ♣9, ♥K, ♣K, ♥6 | three of a kind
♠K, ♣9, ♥K, ♣K, ♣8 | three of a kind
♠K, ♣9, ♥K, ♣K, ♥7 | three of a kind
♠K, ♣9, ♥K, ♣K, ♦8 | three of a kind
♠K, ♣9, ♥K, ♥9, ♥6 | two pairs
♠K, ♣9, ♥K, ♥9, ♣8 | two pairs
♠K, ♣9, ♥K, ♥9, ♥7 | two pairs
♠K, ♣9, ♥K, ♥9, ♦8 | two pairs
♠K, ♣9, ♥K, ♥6, ♣8 | pair
♠K, ♣9, ♥K, ♥6, ♥7 | pair
♠K, ♣9, ♥K, ♥6, ♦8 | pair
♠K, ♣9, ♥K, ♣8, ♥7 | pair
♠K, ♣9, ♥K, ♣8, ♦8 | two pairs
♠K, ♣9, ♥K, ♥7, ♦8 | pair
♠K, ♣9, ♣K, ♥9, ♥6 | two pairs
♠K, ♣9, ♣K, ♥9, ♣8 | two pairs
♠K, ♣9, ♣K, ♥9, ♥7 | two pairs
♠K, ♣9, ♣K, ♥9, ♦8 | two pairs
♠K, ♣9, ♣K, ♥6, ♣8 | pair
♠K, ♣9, ♣K, ♥6, ♥7 | pair
♠K, ♣9, ♣K, ♥6, ♦8 | pair
♠K, ♣9, ♣K, ♣8, ♥7 | pair
♠K, ♣9, ♣K, ♣8, ♦8 | two pairs
♠K, ♣9, ♣K, ♥7, ♦8 | pair
♠K, ♣9, ♥9, ♥6, ♣8 | pair
♠K, ♣9, ♥9, ♥6, ♥7 | pair
♠K, ♣9, ♥9, ♥6, ♦8 | pair
♠K, ♣9, ♥9, ♣8, ♥7 | pair
♠K, ♣9, ♥9, ♣8, ♦8 | two pairs
♠K, ♣9, ♥9, ♥7, ♦8 | pair
♠K, ♣9, ♥6, ♣8, ♦8 | pair
♠K, ♣9, ♣8, ♥7, ♦8 | pair
♠K, ♠5, ♠7, ♣4, ♣7 | pair
♠K, ♠5, ♠7, ♣4, ♥K | pair
♠K, ♠5, ♠7, ♣4, ♣K | pair
♠K, ♠5, ♠7, ♣4, ♥7 | pair
♠K, ♠5, ♠7, ♣7, ♥K | two pairs
♠K, ♠5, ♠7, ♣7, ♣K | two pairs
♠K, ♠5, ♠7, ♣7, ♥9 | pair
♠K, ♠5, ♠7, ♣7, ♥6 | pair
♠K, ♠5, ♠7, ♣7, ♣8 | pair
♠K, ♠5, ♠7, ♣7, ♥7 | three of a kind
♠K, ♠5, ♠7, ♣7, ♦8 | pair
♠K, ♠5, ♠7, ♥K, ♣K | three of a kind
♠K, ♠5, ♠7, ♥K, ♥9 | pair
♠K, ♠5, ♠7, ♥K, ♥6 | pair
♠K, ♠5, ♠7, ♥K, ♣8 | pair
♠K, ♠5, ♠7, ♥K, ♥7 | two pairs
♠K, ♠5, ♠7, ♥K, ♦8 | pair
♠K, ♠5, ♠7, ♣K, ♥9 | pair
♠K, ♠5, ♠7, ♣K, ♥6 | pair
♠K, ♠5, ♠7, ♣K, ♣8 | pair
♠K, ♠5, ♠7, ♣K, ♥7 | two pairs
♠K, ♠5, ♠7, ♣K, ♦8 | pair
♠K, ♠5, ♠7, ♥9, ♥7 | pair
♠K, ♠5, ♠7, ♥6, ♥7 | pair
♠K, ♠5, ♠7, ♣8, ♥7 | pair
♠K, ♠5, ♠7, ♣8, ♦8 | pair
♠K, ♠5, ♠7, ♥7, ♦8 | pair
♠K, ♠5, ♣4, ♣7, ♥K | pair
♠K, ♠5, ♣4, ♣7, ♣K | pair
♠K, ♠5, ♣4, ♣7, ♥7 | pair
♠K, ♠5, ♣4, ♥K, ♣K | three of a kind
♠K, ♠5, ♣4, ♥K, ♥9 | pair
♠K, ♠5, ♣4, ♥K, ♥6 | pair
♠K, ♠5, ♣4, ♥K, ♣8 | pair
♠K, ♠5, ♣4, ♥K, ♥7 | pair
♠K, ♠5, ♣4, ♥K, ♦8 | pair
♠K, ♠5, ♣4, ♣K, ♥9 | pair
♠K, ♠5, ♣4, ♣K, ♥6 | pair
♠K, ♠5, ♣4, ♣K, ♣8 | pair
♠K, ♠5, ♣4, ♣K, ♥7 | pair
♠K, ♠5, ♣4, ♣K, ♦8 | pair
♠K, ♠5, ♣4, ♣8, ♦8 | pair
♠K, ♠5, ♣7, ♥K, ♣K | three of a kind
♠K, ♠5, ♣7, ♥K, ♥9 | pair
♠K, ♠5, ♣7, ♥K, ♥6 | pair
♠K, ♠5, ♣7, ♥K, ♣8 | pair
♠K, ♠5, ♣7, ♥K, ♥7 | two pairs
♠K, ♠5, ♣7, ♥K, ♦8 | pair
♠K, ♠5, ♣7, ♣K, ♥9 | pair
♠K, ♠5, ♣7, ♣K, ♥6 | pair
♠K, ♠5, ♣7, ♣K, ♣8 | pair
♠K, ♠5, ♣7, ♣K, ♥7 | two pairs
♠K, ♠5, ♣7, ♣K, ♦8 | pair
♠K, ♠5, ♣7, ♥9, ♥7 | pair
♠K, ♠5, ♣7, ♥6, ♥7 | pair
♠K, ♠5, ♣7, ♣8, ♥7 | pair
♠K, ♠5, ♣7, ♣8, ♦8 | pair
♠K, ♠5, ♣7, ♥7, ♦8 | pair
♠K, ♠5, ♥K, ♣K, ♥9 | three of a kind
♠K, ♠5, ♥K, ♣K, ♥6 | three of a kind
♠K, ♠5, ♥K, ♣K, ♣8 | three of a kind
♠K, ♠5, ♥K, ♣K, ♥7 | three of a kind
♠K, ♠5, ♥K, ♣K, ♦8 | three of a kind
♠K, ♠5, ♥K, ♥9, ♥6 | pair
♠K, ♠5, ♥K, ♥9, ♣8 | pair
♠K, ♠5, ♥K, ♥9, ♥7 | pair
♠K, ♠5, ♥K, ♥9, ♦8 | pair
♠K, ♠5, ♥K, ♥6, ♣8 | pair
♠K, ♠5, ♥K, ♥6, ♥7 | pair
♠K, ♠5, ♥K, ♥6, ♦8 | pair
♠K, ♠5, ♥K, ♣8, ♥7 | pair
♠K, ♠5, ♥K, ♣8, ♦8 | two pairs
♠K, ♠5, ♥K, ♥7, ♦8 | pair
♠K, ♠5, ♣K, ♥9, ♥6 | pair
♠K, ♠5, ♣K, ♥9, ♣8 | pair
♠K, ♠5, ♣K, ♥9, ♥7 | pair
♠K, ♠5, ♣K, ♥9, ♦8 | pair
♠K, ♠5, ♣K, ♥6, ♣8 | pair
♠K, ♠5, ♣K, ♥6, ♥7 | pair
♠K, ♠5, ♣K, ♥6, ♦8 | pair
♠K, ♠5, ♣K, ♣8, ♥7 | pair
♠K, ♠5, ♣K, ♣8, ♦8 | two pairs
♠K, ♠5, ♣K, ♥7, ♦8 | pair
♠K, ♠5, ♥9, ♣8, ♦8 | pair
♠K, ♠5, ♥6, ♣8, ♦8 | pair
♠K, ♠5, ♣8, ♥7, ♦8 | pair
♠K, ♠7, ♣4, ♣7, ♥K | two pairs
♠K, ♠7, ♣4, ♣7, ♣K | two pairs
♠K, ♠7, ♣4, ♣7, ♥9 | pair
♠K, ♠7, ♣4, ♣7, ♥6 | pair
♠K, ♠7, ♣4, ♣7, ♣8 | pair
♠K, ♠7, ♣4, ♣7, ♥7 | three of a kind
♠K, ♠7, ♣4, ♣7, ♦8 | pair
♠K, ♠7, ♣4, ♥K, ♣K | three of a kind
♠K, ♠7, ♣4, ♥K, ♥9 | pair
♠K, ♠7, ♣4, ♥K, ♥6 | pair
♠K, ♠7, ♣4, ♥K, ♣8 | pair
♠K, ♠7, ♣4, ♥K, ♥7 | two pairs
♠K, ♠7, ♣4, ♥K, ♦8 | pair
♠K, ♠7, ♣4, ♣K, ♥9 | pair
♠K, ♠7, ♣4, ♣K, ♥6 | pair
♠K, ♠7, ♣4, ♣K, ♣8 | pair
♠K, ♠7, ♣4, ♣K, ♥7 | two pairs
♠K, ♠7, ♣4, ♣K, ♦8 | pair
♠K, ♠7, ♣4, ♥9, ♥7 | pair
♠K, ♠7, ♣4, ♥6, ♥7 | pair
♠K, ♠7, ♣4, ♣8, ♥7 | pair
♠K, ♠7, ♣4, ♣8, ♦8 | pair
♠K, ♠7, ♣4, ♥7, ♦8 | pair
♠K, ♠7, ♣7, ♥K, ♣K | fullhouse
♠K, ♠7, ♣7, ♥K, ♥9 | two pairs
♠K, ♠7, ♣7, ♥K, ♥6 | two pairs
♠K, ♠7, ♣7, ♥K, ♣8 | two pairs
♠K, ♠7, ♣7, ♥K, ♥7 | fullhouse
♠K, ♠7, ♣7, ♥K, ♦8 | two pairs
♠K, ♠7, ♣7, ♣K, ♥9 | two pairs
♠K, ♠7, ♣7, ♣K, ♥6 | two pairs
♠K, ♠7, ♣7, ♣K, ♣8 | two pairs
♠K, ♠7, ♣7, ♣K, ♥7 | fullhouse
♠K, ♠7, ♣7, ♣K, ♦8 | two pairs
♠K, ♠7, ♣7, ♥9, ♥6 | pair
♠K, ♠7, ♣7, ♥9, ♣8 | pair
♠K, ♠7, ♣7, ♥9, ♥7 | three of a kind
♠K, ♠7, ♣7, ♥9, ♦8 | pair
♠K, ♠7, ♣7, ♥6, ♣8 | pair
♠K, ♠7, ♣7, ♥6, ♥7 | three of a kind
♠K, ♠7, ♣7, ♥6, ♦8 | pair
♠K, ♠7, ♣7, ♣8, ♥7 | three of a kind
♠K, ♠7, ♣7, ♣8, ♦8 | two pairs
♠K, ♠7, ♣7, ♥7, ♦8 | three of a kind
♠K, ♠7, ♥K, ♣K, ♥9 | three of a kind
♠K, ♠7, ♥K, ♣K, ♥6 | three of a kind
♠K, ♠7, ♥K, ♣K, ♣8 | three of a kind
♠K, ♠7, ♥K, ♣K, ♥7 | fullhouse
♠K, ♠7, ♥K, ♣K, ♦8 | three of a kind
♠K, ♠7, ♥K, ♥9, ♥6 | pair
♠K, ♠7, ♥K, ♥9, ♣8 | pair
♠K, ♠7, ♥K, ♥9, ♥7 | two pairs
♠K, ♠7, ♥K, ♥9, ♦8 | pair
♠K, ♠7, ♥K, ♥6, ♣8 | pair
♠K, ♠7, ♥K, ♥6, ♥7 | two pairs
♠K, ♠7, ♥K, ♥6, ♦8 | pair
♠K, ♠7, ♥K, ♣8, ♥7 | two pairs
♠K, ♠7, ♥K, ♣8, ♦8 | two pairs
♠K, ♠7, ♥K, ♥7, ♦8 | two pairs
♠K, ♠7, ♣K, ♥9, ♥6 | pair
♠K, ♠7, ♣K, ♥9, ♣8 | pair
♠K, ♠7, ♣K, ♥9, ♥7 | two pairs
♠K, ♠7, ♣K, ♥9, ♦8 | pair
♠K, ♠7, ♣K, ♥6, ♣8 | pair
♠K, ♠7, ♣K, ♥6, ♥7 | two pairs
♠K, ♠7, ♣K, ♥6, ♦8 | pair
♠K, ♠7, ♣K, ♣8, ♥7 | two pairs
♠K, ♠7, ♣K, ♣8, ♦8 | two pairs
♠K, ♠7, ♣K, ♥7, ♦8 | two pairs
♠K, ♠7, ♥9, ♥6, ♥7 | pair
♠K, ♠7, ♥9, ♣8, ♥7 | pair
♠K, ♠7, ♥9, ♣8, ♦8 | pair
♠K, ♠7, ♥9, ♥7, ♦8 | pair
♠K, ♠7, ♥6, ♣8, ♥7 | pair
♠K, ♠7, ♥6, ♣8, ♦8 | pair
♠K, ♠7, ♥6, ♥7, ♦8 | pair
♠K, ♠7, ♣8, ♥7, ♦8 | two pairs
♠K, ♣4, ♣7, ♥K, ♣K | three of a kind
♠K, ♣4, ♣7, ♥K, ♥9 | pair
♠K, ♣4, ♣7, ♥K, ♥6 | pair
♠K, ♣4, ♣7, ♥K, ♣8 | pair
♠K, ♣4, ♣7, ♥K, ♥7 | two pairs
♠K, ♣4, ♣7, ♥K, ♦8 | pair
♠K, ♣4, ♣7, ♣K, ♥9 | pair
