♥7,♦Q,♥5,♠A,♣A | Pair
♥7,♥5,♠K,♦5,♣5 | Full House
♥7,♥5,♠K,♦5,♠8 | Pair
♥7,♥5,♠K,♣T,♣5 | Pair
♥7,♥5,♠K,♠J,♣5 | Pair
♥7,♥5,♠K,♣3,♣5 | Pair
♥7,♥5,♠K,♣5,♠8 | Pair
♥7,♥5,♦5,♣T,♠J | Pair
♥7,♥5,♦5,♣T,♣3 | Pair
♥7,♥5,♦5,♣T,♣5 | Full House
♥7,♥5,♦5,♣T,♠8 | Pair
♥7,♥5,♦5,♠J,♣3 | Pair
♥7,♥5,♦5,♠J,♣5 | Full House
♥7,♥5,♦5,♠J,♠8 | Pair
♥7,♥5,♦5,♣3,♣5 | Full House
♥7,♥5,♦5,♣3,♠8 | Pair
♥7,♥5,♦5,♣5,♠8 | Full House
♥7,♥5,♣T,♠J,♣5 | Pair
♥7,♥5,♣T,♣3,♣5 | Pair
♥7,♥5,♣T,♣5,♠8 | Pair
♥7,♥5,♠J,♣3,♣5 | Pair
♥7,♥5,♠J,♣5,♠8 | Pair
♥7,♥5,♣3,♣5,♠8 | Pair
♥7,♠A,♣K,♣A,♠K | Two Pairs
♥7,♠A,♣K,♣A,♦5 | Pair
♥7,♠A,♣K,♣A,♣T | Pair
♥7,♠A,♣K,♣A,♠J | Pair
♥7,♠A,♣K,♣A,♣3 | Pair
♥7,♠A,♣K,♣A,♣5 | Pair
♥7,♠A,♣K,♣A,♠8 | Pair
♥7,♠A,♣K,♠K,♦5 | Pair
♥7,♠A,♣K,♠K,♣T | Pair
♥7,♠A,♣K,♠K,♠J | Pair
♥7,♠A,♣K,♠K,♣3 | Pair
♥7,♠A,♣K,♠K,♣5 | Pair
♥7,♠A,♣K,♠K,♠8 | Pair
♥7,♠A,♣K,♦5,♣5 | Pair
♥7,♠A,♣A,♠K,♦5 | Pair
♥7,♠A,♣A,♠K,♣T | Pair
♥7,♠A,♣A,♠K,♠J | Pair
♥7,♠A,♣A,♠K,♣3 | Pair
♥7,♠A,♣A,♠K,♣5 | Pair
♥7,♠A,♣A,♠K,♠8 | Pair
♥7,♠A,♣A,♦5,♣T | Pair
♥7,♠A,♣A,♦5,♠J | Pair
♥7,♠A,♣A,♦5,♣3 | Pair
♥7,♠A,♣A,♦5,♣5 | Two Pairs
♥7,♠A,♣A,♦5,♠8 | Pair
♥7,♠A,♣A,♣T,♠J | Pair
♥7,♠A,♣A,♣T,♣3 | Pair
♥7,♠A,♣A,♣T,♣5 | Pair
♥7,♠A,♣A,♣T,♠8 | Pair
♥7,♠A,♣A,♠J,♣3 | Pair
♥7,♠A,♣A,♠J,♣5 | Pair
♥7,♠A,♣A,♠J,♠8 | Pair
♥7,♠A,♣A,♣3,♣5 | Pair
♥7,♠A,♣A,♣3,♠8 | Pair
♥7,♠A,♣A,♣5,♠8 | Pair
♥7,♠A,♠K,♦5,♣5 | Pair
♥7,♠A,♦5,♣T,♣5 | Pair
♥7,♠A,♦5,♠J,♣5 | Pair
♥7,♠A,♦5,♣3,♣5 | Pair
♥7,♠A,♦5,♣5,♠8 | Pair
♥7,♣K,♣A,♠K,♦5 | Pair
♥7,♣K,♣A,♠K,♣T | Pair
♥7,♣K,♣A,♠K,♠J | Pair
♥7,♣K,♣A,♠K,♣3 | Pair
♥7,♣K,♣A,♠K,♣5 | Pair
♥7,♣K,♣A,♠K,♠8 | Pair
♥7,♣K,♣A,♦5,♣5 | Pair
♥7,♣K,♠K,♦5,♣T | Pair
♥7,♣K,♠K,♦5,♠J | Pair
♥7,♣K,♠K,♦5,♣3 | Pair
♥7,♣K,♠K,♦5,♣5 | Two Pairs
♥7,♣K,♠K,♦5,♠8 | Pair
♥7,♣K,♠K,♣T,♠J | Pair
♥7,♣K,♠K,♣T,♣3 | Pair
♥7,♣K,♠K,♣T,♣5 | Pair
♥7,♣K,♠K,♣T,♠8 | Pair
♥7,♣K,♠K,♠J,♣3 | Pair
♥7,♣K,♠K,♠J,♣5 | Pair
♥7,♣K,♠K,♠J,♠8 | Pair
♥7,♣K,♠K,♣3,♣5 | Pair
♥7,♣K,♠K,♣3,♠8 | Pair
♥7,♣K,♠K,♣5,♠8 | Pair
♥7,♣K,♦5,♣T,♣5 | Pair
♥7,♣K,♦5,♠J,♣5 | Pair
♥7,♣K,♦5,♣3,♣5 | Pair
♥7,♣K,♦5,♣5,♠8 | Pair
♥7,♣A,♠K,♦5,♣5 | Pair
♥7,♣A,♦5,♣T,♣5 | Pair
♥7,♣A,♦5,♠J,♣5 | Pair
♥7,♣A,♦5,♣3,♣5 | Pair
♥7,♣A,♦5,♣5,♠8 | Pair
♥7,♠K,♦5,♣T,♣5 | Pair
♥7,♠K,♦5,♠J,♣5 | Pair
♥7,♠K,♦5,♣3,♣5 | Pair
♥7,♠K,♦5,♣5,♠8 | Pair
♥7,♦5,♣T,♠J,♣5 | Pair
♥7,♦5,♣T,♣3,♣5 | Pair
♥7,♦5,♣T,♣5,♠8 | Pair
♥7,♦5,♠J,♣3,♣5 | Pair
♥7,♦5,♠J,♣5,♠8 | Pair
♥7,♦5,♣3,♣5,♠8 | Pair
♦Q,♥5,♠A,♣K,♣A | Pair
♦Q,♥5,♠A,♣K,♠K | Pair
♦Q,♥5,♠A,♣K,♦5 | Pair
♦Q,♥5,♠A,♣K,♣5 | Pair
♦Q,♥5,♠A,♣A,♠K | Pair
♦Q,♥5,♠A,♣A,♦5 | Two Pairs
♦Q,♥5,♠A,♣A,♣T | Pair
♦Q,♥5,♠A,♣A,♠J | Pair
♦Q,♥5,♠A,♣A,♣3 | Pair
♦Q,♥5,♠A,♣A,♣5 | Two Pairs
♦Q,♥5,♠A,♣A,♠8 | Pair
♦Q,♥5,♠A,♠K,♦5 | Pair
♦Q,♥5,♠A,♠K,♣5 | Pair
♦Q,♥5,♠A,♦5,♣T | Pair
♦Q,♥5,♠A,♦5,♠J | Pair
♦Q,♥5,♠A,♦5,♣3 | Pair
♦Q,♥5,♠A,♦5,♣5 | Full House
♦Q,♥5,♠A,♦5,♠8 | Pair
♦Q,♥5,♠A,♣T,♣5 | Pair
♦Q,♥5,♠A,♠J,♣5 | Pair
♦Q,♥5,♠A,♣3,♣5 | Pair
♦Q,♥5,♠A,♣5,♠8 | Pair
♦Q,♥5,♣K,♣A,♠K | Pair
♦Q,♥5,♣K,♣A,♦5 | Pair
♦Q,♥5,♣K,♣A,♣5 | Pair
♦Q,♥5,♣K,♠K,♦5 | Two Pairs
♦Q,♥5,♣K,♠K,♣T | Pair
♦Q,♥5,♣K,♠K,♠J | Pair
♦Q,♥5,♣K,♠K,♣3 | Pair
♦Q,♥5,♣K,♠K,♣5 | Two Pairs
♦Q,♥5,♣K,♠K,♠8 | Pair
♦Q,♥5,♣K,♦5,♣T | Pair
♦Q,♥5,♣K,♦5,♠J | Pair
♦Q,♥5,♣K,♦5,♣3 | Pair
♦Q,♥5,♣K,♦5,♣5 | Full House
♦Q,♥5,♣K,♦5,♠8 | Pair
♦Q,♥5,♣K,♣T,♣5 | Pair
♦Q,♥5,♣K,♠J,♣5 | Pair
♦Q,♥5,♣K,♣3,♣5 | Pair
♦Q,♥5,♣K,♣5,♠8 | Pair
♦Q,♥5,♣A,♠K,♦5 | Pair
♦Q,♥5,♣A,♠K,♣5 | Pair
♦Q,♥5,♣A,♦5,♣T | Pair
♦Q,♥5,♣A,♦5,♠J | Pair
♦Q,♥5,♣A,♦5,♣3 | Pair
♦Q,♥5,♣A,♦5,♣5 | Full House
♦Q,♥5,♣A,♦5,♠8 | Pair
♦Q,♥5,♣A,♣T,♣5 | Pair
♦Q,♥5,♣A,♠J,♣5 | Pair
♦Q,♥5,♣A,♣3,♣5 | Pair
♦Q,♥5,♣A,♣5,♠8 | Pair
♦Q,♥5,♠K,♦5,♣T | Pair
♦Q,♥5,♠K,♦5,♠J | Pair
♦Q,♥5,♠K,♦5,♣3 | Pair
♦Q,♥5,♠K,♦5,♣5 | Full House
♦Q,♥5,♠K,♦5,♠8 | Pair
♦Q,♥5,♠K,♣T,♣5 | Pair
♦Q,♥5,♠K,♠J,♣5 | Pair
♦Q,♥5,♠K,♣3,♣5 | Pair
♦Q,♥5,♠K,♣5,♠8 | Pair
♦Q,♥5,♦5,♣T,♠J | Pair
♦Q,♥5,♦5,♣T,♣3 | Pair
♦Q,♥5,♦5,♣T,♣5 | Full House
♦Q,♥5,♦5,♣T,♠8 | Pair
♦Q,♥5,♦5,♠J,♣3 | Pair
♦Q,♥5,♦5,♠J,♣5 | Full House
♦Q,♥5,♦5,♠J,♠8 | Pair
♦Q,♥5,♦5,♣3,♣5 | Full House
♦Q,♥5,♦5,♣3,♠8 | Pair
♦Q,♥5,♦5,♣5,♠8 | Full House
♦Q,♥5,♣T,♠J,♣5 | Pair
♦Q,♥5,♣T,♣3,♣5 | Pair
♦Q,♥5,♣T,♣5,♠8 | Pair
♦Q,♥5,♠J,♣3,♣5 | Pair
♦Q,♥5,♠J,♣5,♠8 | Pair
♦Q,♥5,♣3,♣5,♠8 | Pair
♦Q,♠A,♣K,♣A,♠K | Two Pairs
♦Q,♠A,♣K,♣A,♦5 | Pair
♦Q,♠A,♣K,♣A,♣T | Pair
♦Q,♠A,♣K,♣A,♠J | Pair
♦Q,♠A,♣K,♣A,♣3 | Pair
♦Q,♠A,♣K,♣A,♣5 | Pair
♦Q,♠A,♣K,♣A,♠8 | Pair
♦Q,♠A,♣K,♠K,♦5 | Pair
♦Q,♠A,♣K,♠K,♣T | Pair
♦Q,♠A,♣K,♠K,♠J | Pair
♦Q,♠A,♣K,♠K,♣3 | Pair
♦Q,♠A,♣K,♠K,♣5 | Pair
♦Q,♠A,♣K,♠K,♠8 | Pair
♦Q,♠A,♣K,♦5,♣5 | Pair
♦Q,♠A,♣A,♠K,♦5 | Pair
♦Q,♠A,♣A,♠K,♣T | Pair
♦Q,♠A,♣A,♠K,♠J | Pair
♦Q,♠A,♣A,♠K,♣3 | Pair
♦Q,♠A,♣A,♠K,♣5 | Pair
♦Q,♠A,♣A,♠K,♠8 | Pair
♦Q,♠A,♣A,♦5,♣T | Pair
♦Q,♠A,♣A,♦5,♠J | Pair
♦Q,♠A,♣A,♦5,♣3 | Pair
♦Q,♠A,♣A,♦5,♣5 | Two Pairs
♦Q,♠A,♣A,♦5,♠8 | Pair
♦Q,♠A,♣A,♣T,♠J | Pair
♦Q,♠A,♣A,♣T,♣3 | Pair
♦Q,♠A,♣A,♣T,♣5 | Pair
♦Q,♠A,♣A,♣T,♠8 | Pair
♦Q,♠A,♣A,♠J,♣3 | Pair
♦Q,♠A,♣A,♠J,♣5 | Pair
♦Q,♠A,♣A,♠J,♠8 | Pair
♦Q,♠A,♣A,♣3,♣5 | Pair
♦Q,♠A,♣A,♣3,♠8 | Pair
♦Q,♠A,♣A,♣5,♠8 | Pair
♦Q,♠A,♠K,♦5,♣5 | Pair
♦Q,♠A,♦5,♣T,♣5 | Pair
♦Q,♠A,♦5,♠J,♣5 | Pair
♦Q,♠A,♦5,♣3,♣5 | Pair
♦Q,♠A,♦5,♣5,♠8 | Pair
♦Q,♣K,♣A,♠K,♦5 | Pair
♦Q,♣K,♣A,♠K,♣T | Pair
♦Q,♣K,♣A,♠K,♠J | Pair
♦Q,♣K,♣A,♠K,♣3 | Pair
♦Q,♣K,♣A,♠K,♣5 | Pair
♦Q,♣K,♣A,♠K,♠8 | Pair
♦Q,♣K,♣A,♦5,♣5 | Pair
♦Q,♣K,♠K,♦5,♣T | Pair
♦Q,♣K,♠K,♦5,♠J | Pair
♦Q,♣K,♠K,♦5,♣3 | Pair
♦Q,♣K,♠K,♦5,♣5 | Two Pairs
♦Q,♣K,♠K,♦5,♠8 | Pair
♦Q,♣K,♠K,♣T,♠J | Pair
♦Q,♣K,♠K,♣T,♣3 | Pair
♦Q,♣K,♠K,♣T,♣5 | Pair
♦Q,♣K,♠K,♣T,♠8 | Pair
♦Q,♣K,♠K,♠J,♣3 | Pair
♦Q,♣K,♠K,♠J,♣5 | Pair
♦Q,♣K,♠K,♠J,♠8 | Pair
♦Q,♣K,♠K,♣3,♣5 | Pair
♦Q,♣K,♠K,♣3,♠8 | Pair
♦Q,♣K,♠K,♣5,♠8 | Pair
♦Q,♣K,♦5,♣T,♣5 | Pair
♦Q,♣K,♦5,♠J,♣5 | Pair
♦Q,♣K,♦5,♣3,♣5 | Pair
♦Q,♣K,♦5,♣5,♠8 | Pair
♦Q,♣A,♠K,♦5,♣5 | Pair
♦Q,♣A,♦5,♣T,♣5 | Pair
♦Q,♣A,♦5,♠J,♣5 | Pair
♦Q,♣A,♦5,♣3,♣5 | Pair
♦Q,♣A,♦5,♣5,♠8 | Pair
♦Q,♠K,♦5,♣T,♣5 | Pair
♦Q,♠K,♦5,♠J,♣5 | Pair
♦Q,♠K,♦5,♣3,♣5 | Pair
♦Q,♠K,♦5,♣5,♠8 | Pair
♦Q,♦5,♣T,♠J,♣5 | Pair
♦Q,♦5,♣T,♣3,♣5 | Pair
♦Q,♦5,♣T,♣5,♠8 | Pair
♦Q,♦5,♠J,♣3,♣5 | Pair
♦Q,♦5,♠J,♣5,♠8 | Pair
♦Q,♦5,♣3,♣5,♠8 | Pair
♥5,♠A,♣K,♣A,♠K | Two Pairs
♥5,♠A,♣K,♣A,♦5 | Two Pairs
♥5,♠A,♣K,♣A,♣T | Pair
♥5,♠A,♣K,♣A,♠J | Pair
♥5,♠A,♣K,♣A,♣3 | Pair
♥5,♠A,♣K,♣A,♣5 | Two Pairs
♥5,♠A,♣K,♣A,♠8 | Pair
♥5,♠A,♣K,♠K,♦5 | Two Pairs
♥5,♠A,♣K,♠K,♣T | Pair
♥5,♠A,♣K,♠K,♠J | Pair
♥5,♠A,♣K,♠K,♣3 | Pair
♥5,♠A,♣K,♠K,♣5 | Two Pairs
♥5,♠A,♣K,♠K,♠8 | Pair
♥5,♠A,♣K,♦5,♣T | Pair
♥5,♠A,♣K,♦5,♠J | Pair
♥5,♠A,♣K,♦5,♣3 | Pair
♥5,♠A,♣K,♦5,♣5 | Full House
♥5,♠A,♣K,♦5,♠8 | Pair
♥5,♠A,♣K,♣T,♣5 | Pair
♥5,♠A,♣K,♠J,♣5 | Pair
♥5,♠A,♣K,♣3,♣5 | Pair
♥5,♠A,♣K,♣5,♠8 | Pair
♥5,♠A,♣A,♠K,♦5 | Two Pairs
♥5,♠A,♣A,♠K,♣T | Pair
♥5,♠A,♣A,♠K,♠J | Pair
♥5,♠A,♣A,♠K,♣3 | Pair
♥5,♠A,♣A,♠K,♣5 | Two Pairs
♥5,♠A,♣A,♠K,♠8 | Pair
♥5,♠A,♣A,♦5,♣T | Two Pairs
♥5,♠A,♣A,♦5,♠J | Two Pairs
♥5,♠A,♣A,♦5,♣3 | Two Pairs
♥5,♠A,♣A,♦5,♣5 | Full House
♥5,♠A,♣A,♦5,♠8 | Two Pairs
♥5,♠A,♣A,♣T,♠J | Pair
♥5,♠A,♣A,♣T,♣3 | Pair
♥5,♠A,♣A,♣T,♣5 | Two Pairs
♥5,♠A,♣A,♣T,♠8 | Pair
♥5,♠A,♣A,♠J,♣3 | Pair
♥5,♠A,♣A,♠J,♣5 | Two Pairs
♥5,♠A,♣A,♠J,♠8 | Pair
♥5,♠A,♣A,♣3,♣5 | Two Pairs
♥5,♠A,♣A,♣3,♠8 | Pair
♥5,♠A,♣A,♣5,♠8 | Two Pairs
♥5,♠A,♠K,♦5,♣T | Pair
♥5,♠A,♠K,♦5,♠J | Pair
♥5,♠A,♠K,♦5,♣3 | Pair
♥5,♠A,♠K,♦5,♣5 | Full House
♥5,♠A,♠K,♦5,♠8 | Pair
♥5,♠A,♠K,♣T,♣5 | Pair
♥5,♠A,♠K,♠J,♣5 | Pair
♥5,♠A,♠K,♣3,♣5 | Pair
♥5,♠A,♠K,♣5,♠8 | Pair
♥5,♠A,♦5,♣T,♠J | Pair
♥5,♠A,♦5,♣T,♣3 | Pair
♥5,♠A,♦5,♣T,♣5 | Full House
♥5,♠A,♦5,♣T,♠8 | Pair
♥5,♠A,♦5,♠J,♣3 | Pair
♥5,♠A,♦5,♠J,♣5 | Full House
♥5,♠A,♦5,♠J,♠8 | Pair
♥5,♠A,♦5,♣3,♣5 | Full House
♥5,♠A,♦5,♣3,♠8 | Pair
♥5,♠A,♦5,♣5,♠8 | Full House
♥5,♠A,♣T,♠J,♣5 | Pair
♥5,♠A,♣T,♣3,♣5 | Pair
♥5,♠A,♣T,♣5,♠8 | Pair
♥5,♠A,♠J,♣3,♣5 | Pair
♥5,♠A,♠J,♣5,♠8 | Pair
♥5,♠A,♣3,♣5,♠8 | Pair
♥5,♣K,♣A,♠K,♦5 | Two Pairs
♥5,♣K,♣A,♠K,♣T | Pair
♥5,♣K,♣A,♠K,♠J | Pair
♥5,♣K,♣A,♠K,♣3 | Pair
♥5,♣K,♣A,♠K,♣5 | Two Pairs
♥5,♣K,♣A,♠K,♠8 | Pair
♥5,♣K,♣A,♦5,♣T | Pair
♥5,♣K,♣A,♦5,♠J | Pair
♥5,♣K,♣A,♦5,♣3 | Pair
♥5,♣K,♣A,♦5,♣5 | Full House
♥5,♣K,♣A,♦5,♠8 | Pair
♥5,♣K,♣A,♣T,♣5 | Pair
♥5,♣K,♣A,♠J,♣5 | Pair
♥5,♣K,♣A,♣3,♣5 | Pair
♥5,♣K,♣A,♣5,♠8 | Pair
♥5,♣K,♠K,♦5,♣T | Two Pairs
♥5,♣K,♠K,♦5,♠J | Two Pairs
♥5,♣K,♠K,♦5,♣3 | Two Pairs
♥5,♣K,♠K,♦5,♣5 | Full House
♥5,♣K,♠K,♦5,♠8 | Two Pairs
♥5,♣K,♠K,♣T,♠J | Pair
♥5,♣K,♠K,♣T,♣3 | Pair
♥5,♣K,♠K,♣T,♣5 | Two Pairs
♥5,♣K,♠K,♣T,♠8 | Pair
♥5,♣K,♠K,♠J,♣3 | Pair
♥5,♣K,♠K,♠J,♣5 | Two Pairs
♥5,♣K,♠K,♠J,♠8 | Pair
♥5,♣K,♠K,♣3,♣5 | Two Pairs
♥5,♣K,♠K,♣3,♠8 | Pair
♥5,♣K,♠K,♣5,♠8 | Two Pairs
♥5,♣K,♦5,♣T,♠J | Pair
♥5,♣K,♦5,♣T,♣3 | Pair
♥5,♣K,♦5,♣T,♣5 | Full House
♥5,♣K,♦5,♣T,♠8 | Pair
♥5,♣K,♦5,♠J,♣3 | Pair
♥5,♣K,♦5,♠J,♣5 | Full House
♥5,♣K,♦5,♠J,♠8 | Pair
♥5,♣K,♦5,♣3,♣5 | Full House
♥5,♣K,♦5,♣3,♠8 | Pair
♥5,♣K,♦5,♣5,♠8 | Full House
♥5,♣K,♣T,♠J,♣5 | Pair
♥5,♣K,♣T,♣3,♣5 | Pair
♥5,♣K,♣T,♣5,♠8 | Pair
♥5,♣K,♠J,♣3,♣5 | Pair
♥5,♣K,♠J,♣5,♠8 | Pair
♥5,♣K,♣3,♣5,♠8 | Pair
♥5,♣A,♠K,♦5,♣T | Pair
♥5,♣A,♠K,♦5,♠J | Pair
♥5,♣A,♠K,♦5,♣3 | Pair
♥5,♣A,♠K,♦5,♣5 | Full House
♥5,♣A,♠K,♦5,♠8 | Pair
♥5,♣A,♠K,♣T,♣5 | Pair
♥5,♣A,♠K,♠J,♣5 | Pair
♥5,♣A,♠K,♣3,♣5 | Pair
♥5,♣A,♠K,♣5,♠8 | Pair
♥5,♣A,♦5,♣T,♠J | Pair
♥5,♣A,♦5,♣T,♣3 | Pair
♥5,♣A,♦5,♣T,♣5 | Full House
♥5,♣A,♦5,♣T,♠8 | Pair
♥5,♣A,♦5,♠J,♣3 | Pair
♥5,♣A,♦5,♠J,♣5 | Full House
♥5,♣A,♦5,♠J,♠8 | Pair
♥5,♣A,♦5,♣3,♣5 | Full House
♥5,♣A,♦5,♣3,♠8 | Pair
♥5,♣A,♦5,♣5,♠8 | Full House
♥5,♣A,♣T,♠J,♣5 | Pair
♥5,♣A,♣T,♣3,♣5 | Pair
♥5,♣A,♣T,♣5,♠8 | Pair
♥5,♣A,♠J,♣3,♣5 | Pair
♥5,♣A,♠J,♣5,♠8 | Pair
♥5,♣A,♣3,♣5,♠8 | Pair
♥5,♠K,♦5,♣T,♠J | Pair
♥5,♠K,♦5,♣T,♣3 | Pair
♥5,♠K,♦5,♣T,♣5 | Full House
♥5,♠K,♦5,♣T,♠8 | Pair
♥5,♠K,♦5,♠J,♣3 | Pair
♥5,♠K,♦5,♠J,♣5 | Full House
♥5,♠K,♦5,♠J,♠8 | Pair
♥5,♠K,♦5,♣3,♣5 | Full House
♥5,♠K,♦5,♣3,♠8 | Pair
♥5,♠K,♦5,♣5,♠8 | Full House
♥5,♠K,♣T,♠J,♣5 | Pair
♥5,♠K,♣T,♣3,♣5 | Pair
♥5,♠K,♣T,♣5,♠8 | Pair
♥5,♠K,♠J,♣3,♣5 | Pair
♥5,♠K,♠J,♣5,♠8 | Pair
♥5,♠K,♣3,♣5,♠8 | Pair
♥5,♦5,♣T,♠J,♣3 | Pair
♥5,♦5,♣T,♠J,♣5 | Full House
♥5,♦5,♣T,♠J,♠8 | Pair
♥5,♦5,♣T,♣3,♣5 | Full House
♥5,♦5,♣T,♣3,♠8 | Pair
♥5,♦5,♣T,♣5,♠8 | Full House
♥5,♦5,♠J,♣3,♣5 | Full House
♥5,♦5,♠J,♣3,♠8 | Pair
♥5,♦5,♠J,♣5,♠8 | Full House
♥5,♦5,♣3,♣5,♠8 | Full House
♥5,♣T,♠J,♣3,♣5 | Pair
♥5,♣T,♠J,♣5,♠8 | Pair
♥5,♣T,♣3,♣5,♠8 | Pair
♥5,♠J,♣3,♣5,♠8 | Pair
♠A,♣K,♣A,♠K,♦5 | Two Pairs
♠A,♣K,♣A,♠K,♣T | Two Pairs
♠A,♣K,♣A,♠K,♠J | Two Pairs
♠A,♣K,♣A,♠K,♣3 | Two Pairs
♠A,♣K,♣A,♠K,♣5 | Two Pairs
♠A,♣K,♣A,♠K,♠8 | Two Pairs
♠A,♣K,♣A,♦5,♣T | Pair
♠A,♣K,♣A,♦5,♠J | Pair
♠A,♣K,♣A,♦5,♣3 | Pair
♠A,♣K,♣A,♦5,♣5 | Two Pairs
♠A,♣K,♣A,♦5,♠8 | Pair
♠A,♣K,♣A,♣T,♠J | Pair
♠A,♣K,♣A,♣T,♣3 | Pair
♠A,♣K,♣A,♣T,♣5 | Pair
♠A,♣K,♣A,♣T,♠8 | Pair
♠A,♣K,♣A,♠J,♣3 | Pair
♠A,♣K,♣A,♠J,♣5 | Pair
♠A,♣K,♣A,♠J,♠8 | Pair
♠A,♣K,♣A,♣3,♣5 | Pair
♠A,♣K,♣A,♣3,♠8 | Pair
♠A,♣K,♣A,♣5,♠8 | Pair
♠A,♣K,♠K,♦5,♣T | Pair
♠A,♣K,♠K,♦5,♠J | Pair
