♦Q,♣5,♠A,♦8,♠Q | Pair
♦Q,♣5,♣T,♠Q,♥8 | Pair
♦Q,♣5,♣T,♠Q,♥T | Two Pairs
♦Q,♣5,♣T,♠Q,♥9 | Pair
♦Q,♣5,♣T,♣6,♥T | Pair
♦Q,♣5,♣T,♦7,♥T | Pair
♦Q,♣5,♣T,♦3,♥T | Pair
♦Q,♣5,♣T,♥8,♥T | Pair
♦Q,♣5,♣T,♥T,♥9 | Pair
♦Q,♣5,♠Q,♣6,♦7 | Pair
♦Q,♣5,♠Q,♣6,♦3 | Pair
♦Q,♣5,♠Q,♣6,♥8 | Pair
♦Q,♣5,♠Q,♣6,♥T | Pair
♦Q,♣5,♠Q,♣6,♥9 | Pair
♦Q,♣5,♠Q,♦7,♦3 | Pair
♦Q,♣5,♠Q,♦7,♥8 | Pair
♦Q,♣5,♠Q,♦7,♥T | Pair
♦Q,♣5,♠Q,♦7,♥9 | Pair
♦Q,♣5,♠Q,♦3,♥8 | Pair
♦Q,♣5,♠Q,♦3,♥T | Pair
♦Q,♣5,♠Q,♦3,♥9 | Pair
♦Q,♣5,♠Q,♥8,♥T | Pair
♦Q,♣5,♠Q,♥8,♥9 | Pair
♦Q,♣5,♠Q,♥T,♥9 | Pair
♦Q,♠A,♦8,♣K,♠Q | Pair
♦Q,♠A,♦8,♣K,♥8 | Pair
♦Q,♠A,♦8,♣T,♠Q | Pair
♦Q,♠A,♦8,♣T,♥8 | Pair
♦Q,♠A,♦8,♣T,♥T | Pair
♦Q,♠A,♦8,♠Q,♣6 | Pair
♦Q,♠A,♦8,♠Q,♦7 | Pair
♦Q,♠A,♦8,♠Q,♦3 | Pair
♦Q,♠A,♦8,♠Q,♥8 | Two Pairs
♦Q,♠A,♦8,♠Q,♥T | Pair
♦Q,♠A,♦8,♠Q,♥9 | Pair
♦Q,♠A,♦8,♣6,♥8 | Pair
♦Q,♠A,♦8,♦7,♥8 | Pair
♦Q,♠A,♦8,♦3,♥8 | Pair
♦Q,♠A,♦8,♥8,♥T | Pair
♦Q,♠A,♦8,♥8,♥9 | Pair
♦Q,♠A,♣K,♣T,♠Q | Pair
♦Q,♠A,♣K,♣T,♥T | Pair
♦Q,♠A,♣K,♠Q,♣6 | Pair
♦Q,♠A,♣K,♠Q,♦7 | Pair
♦Q,♠A,♣K,♠Q,♦3 | Pair
♦Q,♠A,♣K,♠Q,♥8 | Pair
♦Q,♠A,♣K,♠Q,♥T | Pair
♦Q,♠A,♣K,♠Q,♥9 | Pair
♦Q,♠A,♣T,♠Q,♣6 | Pair
♦Q,♠A,♣T,♠Q,♦7 | Pair
♦Q,♠A,♣T,♠Q,♦3 | Pair
♦Q,♠A,♣T,♠Q,♥8 | Pair
♦Q,♠A,♣T,♠Q,♥T | Two Pairs
♦Q,♠A,♣T,♠Q,♥9 | Pair
♦Q,♠A,♣T,♣6,♥T | Pair
♦Q,♠A,♣T,♦7,♥T | Pair
♦Q,♠A,♣T,♦3,♥T | Pair
♦Q,♠A,♣T,♥8,♥T | Pair
♦Q,♠A,♣T,♥T,♥9 | Pair
♦Q,♠A,♠Q,♣6,♦7 | Pair
♦Q,♠A,♠Q,♣6,♦3 | Pair
♦Q,♠A,♠Q,♣6,♥8 | Pair
♦Q,♠A,♠Q,♣6,♥T | Pair
♦Q,♠A,♠Q,♣6,♥9 | Pair
♦Q,♠A,♠Q,♦7,♦3 | Pair
♦Q,♠A,♠Q,♦7,♥8 | Pair
♦Q,♠A,♠Q,♦7,♥T | Pair
♦Q,♠A,♠Q,♦7,♥9 | Pair
♦Q,♠A,♠Q,♦3,♥8 | Pair
♦Q,♠A,♠Q,♦3,♥T | Pair
♦Q,♠A,♠Q,♦3,♥9 | Pair
♦Q,♠A,♠Q,♥8,♥T | Pair
♦Q,♠A,♠Q,♥8,♥9 | Pair
♦Q,♠A,♠Q,♥T,♥9 | Pair
♦Q,♦8,♣K,♣T,♠Q | Pair
♦Q,♦8,♣K,♣T,♥8 | Pair
♦Q,♦8,♣K,♣T,♥T | Pair
♦Q,♦8,♣K,♠Q,♣6 | Pair
♦Q,♦8,♣K,♠Q,♦7 | Pair
♦Q,♦8,♣K,♠Q,♦3 | Pair
♦Q,♦8,♣K,♠Q,♥8 | Two Pairs
♦Q,♦8,♣K,♠Q,♥T | Pair
♦Q,♦8,♣K,♠Q,♥9 | Pair
♦Q,♦8,♣K,♣6,♥8 | Pair
♦Q,♦8,♣K,♦7,♥8 | Pair
♦Q,♦8,♣K,♦3,♥8 | Pair
♦Q,♦8,♣K,♥8,♥T | Pair
♦Q,♦8,♣K,♥8,♥9 | Pair
♦Q,♦8,♣T,♠Q,♣6 | Pair
♦Q,♦8,♣T,♠Q,♦7 | Pair
♦Q,♦8,♣T,♠Q,♦3 | Pair
♦Q,♦8,♣T,♠Q,♥8 | Two Pairs
♦Q,♦8,♣T,♠Q,♥T | Two Pairs
♦Q,♦8,♣T,♠Q,♥9 | Pair
♦Q,♦8,♣T,♣6,♥8 | Pair
♦Q,♦8,♣T,♣6,♥T | Pair
♦Q,♦8,♣T,♦7,♥8 | Pair
♦Q,♦8,♣T,♦7,♥T | Pair
♦Q,♦8,♣T,♦3,♥8 | Pair
♦Q,♦8,♣T,♦3,♥T | Pair
♦Q,♦8,♣T,♥8,♥T | Two Pairs
♦Q,♦8,♣T,♥8,♥9 | Pair
♦Q,♦8,♣T,♥T,♥9 | Pair
♦Q,♦8,♠Q,♣6,♦7 | Pair
♦Q,♦8,♠Q,♣6,♦3 | Pair
♦Q,♦8,♠Q,♣6,♥8 | Two Pairs
♦Q,♦8,♠Q,♣6,♥T | Pair
♦Q,♦8,♠Q,♣6,♥9 | Pair
♦Q,♦8,♠Q,♦7,♦3 | Pair
♦Q,♦8,♠Q,♦7,♥8 | Two Pairs
♦Q,♦8,♠Q,♦7,♥T | Pair
♦Q,♦8,♠Q,♦7,♥9 | Pair
♦Q,♦8,♠Q,♦3,♥8 | Two Pairs
♦Q,♦8,♠Q,♦3,♥T | Pair
♦Q,♦8,♠Q,♦3,♥9 | Pair
♦Q,♦8,♠Q,♥8,♥T | Two Pairs
♦Q,♦8,♠Q,♥8,♥9 | Two Pairs
♦Q,♦8,♠Q,♥T,♥9 | Pair
♦Q,♦8,♣6,♦7,♥8 | Pair
♦Q,♦8,♣6,♦3,♥8 | Pair
♦Q,♦8,♣6,♥8,♥T | Pair
♦Q,♦8,♣6,♥8,♥9 | Pair
♦Q,♦8,♦7,♦3,♥8 | Pair
♦Q,♦8,♦7,♥8,♥T | Pair
♦Q,♦8,♦7,♥8,♥9 | Pair
♦Q,♦8,♦3,♥8,♥T | Pair
♦Q,♦8,♦3,♥8,♥9 | Pair
♦Q,♦8,♥8,♥T,♥9 | Pair
♦Q,♣K,♣T,♠Q,♣6 | Pair
♦Q,♣K,♣T,♠Q,♦7 | Pair
♦Q,♣K,♣T,♠Q,♦3 | Pair
♦Q,♣K,♣T,♠Q,♥8 | Pair
♦Q,♣K,♣T,♠Q,♥T | Two Pairs
♦Q,♣K,♣T,♠Q,♥9 | Pair
♦Q,♣K,♣T,♣6,♥T | Pair
♦Q,♣K,♣T,♦7,♥T | Pair
♦Q,♣K,♣T,♦3,♥T | Pair
♦Q,♣K,♣T,♥8,♥T | Pair
♦Q,♣K,♣T,♥T,♥9 | Pair
♦Q,♣K,♠Q,♣6,♦7 | Pair
♦Q,♣K,♠Q,♣6,♦3 | Pair
♦Q,♣K,♠Q,♣6,♥8 | Pair
♦Q,♣K,♠Q,♣6,♥T | Pair
♦Q,♣K,♠Q,♣6,♥9 | Pair
♦Q,♣K,♠Q,♦7,♦3 | Pair
♦Q,♣K,♠Q,♦7,♥8 | Pair
♦Q,♣K,♠Q,♦7,♥T | Pair
♦Q,♣K,♠Q,♦7,♥9 | Pair
♦Q,♣K,♠Q,♦3,♥8 | Pair
♦Q,♣K,♠Q,♦3,♥T | Pair
♦Q,♣K,♠Q,♦3,♥9 | Pair
♦Q,♣K,♠Q,♥8,♥T | Pair
♦Q,♣K,♠Q,♥8,♥9 | Pair
♦Q,♣K,♠Q,♥T,♥9 | Pair
♦Q,♣T,♠Q,♣6,♦7 | Pair
♦Q,♣T,♠Q,♣6,♦3 | Pair
♦Q,♣T,♠Q,♣6,♥8 | Pair
♦Q,♣T,♠Q,♣6,♥T | Two Pairs
♦Q,♣T,♠Q,♣6,♥9 | Pair
♦Q,♣T,♠Q,♦7,♦3 | Pair
♦Q,♣T,♠Q,♦7,♥8 | Pair
♦Q,♣T,♠Q,♦7,♥T | Two Pairs
♦Q,♣T,♠Q,♦7,♥9 | Pair
♦Q,♣T,♠Q,♦3,♥8 | Pair
♦Q,♣T,♠Q,♦3,♥T | Two Pairs
♦Q,♣T,♠Q,♦3,♥9 | Pair
♦Q,♣T,♠Q,♥8,♥T | Two Pairs
♦Q,♣T,♠Q,♥8,♥9 | Pair
♦Q,♣T,♠Q,♥T,♥9 | Two Pairs
♦Q,♣T,♣6,♦7,♥T | Pair
♦Q,♣T,♣6,♦3,♥T | Pair
♦Q,♣T,♣6,♥8,♥T | Pair
♦Q,♣T,♣6,♥T,♥9 | Pair
♦Q,♣T,♦7,♦3,♥T | Pair
♦Q,♣T,♦7,♥8,♥T | Pair
♦Q,♣T,♦7,♥T,♥9 | Pair
♦Q,♣T,♦3,♥8,♥T | Pair
♦Q,♣T,♦3,♥T,♥9 | Pair
♦Q,♣T,♥8,♥T,♥9 | Pair
♦Q,♠Q,♣6,♦7,♦3 | Pair
♦Q,♠Q,♣6,♦7,♥8 | Pair
♦Q,♠Q,♣6,♦7,♥T | Pair
♦Q,♠Q,♣6,♦7,♥9 | Pair
♦Q,♠Q,♣6,♦3,♥8 | Pair
♦Q,♠Q,♣6,♦3,♥T | Pair
♦Q,♠Q,♣6,♦3,♥9 | Pair
♦Q,♠Q,♣6,♥8,♥T | Pair
♦Q,♠Q,♣6,♥8,♥9 | Pair
♦Q,♠Q,♣6,♥T,♥9 | Pair
♦Q,♠Q,♦7,♦3,♥8 | Pair
♦Q,♠Q,♦7,♦3,♥T | Pair
♦Q,♠Q,♦7,♦3,♥9 | Pair
♦Q,♠Q,♦7,♥8,♥T | Pair
♦Q,♠Q,♦7,♥8,♥9 | Pair
♦Q,♠Q,♦7,♥T,♥9 | Pair
♦Q,♠Q,♦3,♥8,♥T | Pair
♦Q,♠Q,♦3,♥8,♥9 | Pair
♦Q,♠Q,♦3,♥T,♥9 | Pair
♦Q,♠Q,♥8,♥T,♥9 | Pair
♣5,♠A,♦8,♣K,♥8 | Pair
♣5,♠A,♦8,♣T,♥8 | Pair
♣5,♠A,♦8,♣T,♥T | Pair
♣5,♠A,♦8,♠Q,♥8 | Pair
♣5,♠A,♦8,♣6,♥8 | Pair
♣5,♠A,♦8,♦7,♥8 | Pair
♣5,♠A,♦8,♦3,♥8 | Pair
♣5,♠A,♦8,♥8,♥T | Pair
♣5,♠A,♦8,♥8,♥9 | Pair
♣5,♠A,♣K,♣T,♥T | Pair
♣5,♠A,♣T,♠Q,♥T | Pair
♣5,♠A,♣T,♣6,♥T | Pair
♣5,♠A,♣T,♦7,♥T | Pair
♣5,♠A,♣T,♦3,♥T | Pair
♣5,♠A,♣T,♥8,♥T | Pair
♣5,♠A,♣T,♥T,♥9 | Pair
♣5,♦8,♣K,♣T,♥8 | Pair
♣5,♦8,♣K,♣T,♥T | Pair
♣5,♦8,♣K,♠Q,♥8 | Pair
♣5,♦8,♣K,♣6,♥8 | Pair
♣5,♦8,♣K,♦7,♥8 | Pair
♣5,♦8,♣K,♦3,♥8 | Pair
♣5,♦8,♣K,♥8,♥T | Pair
♣5,♦8,♣K,♥8,♥9 | Pair
♣5,♦8,♣T,♠Q,♥8 | Pair
♣5,♦8,♣T,♠Q,♥T | Pair
♣5,♦8,♣T,♣6,♥8 | Pair
♣5,♦8,♣T,♣6,♥T | Pair
♣5,♦8,♣T,♦7,♥8 | Pair
♣5,♦8,♣T,♦7,♥T | Pair
♣5,♦8,♣T,♦3,♥8 | Pair
♣5,♦8,♣T,♦3,♥T | Pair
♣5,♦8,♣T,♥8,♥T | Two Pairs
♣5,♦8,♣T,♥8,♥9 | Pair
♣5,♦8,♣T,♥T,♥9 | Pair
♣5,♦8,♠Q,♣6,♥8 | Pair
♣5,♦8,♠Q,♦7,♥8 | Pair
♣5,♦8,♠Q,♦3,♥8 | Pair
♣5,♦8,♠Q,♥8,♥T | Pair
♣5,♦8,♠Q,♥8,♥9 | Pair
♣5,♦8,♣6,♦7,♥8 | Pair
♣5,♦8,♣6,♦3,♥8 | Pair
♣5,♦8,♣6,♥8,♥T | Pair
♣5,♦8,♣6,♥8,♥9 | Pair
♣5,♦8,♦7,♦3,♥8 | Pair
♣5,♦8,♦7,♥8,♥T | Pair
♣5,♦8,♦7,♥8,♥9 | Pair
♣5,♦8,♦3,♥8,♥T | Pair
♣5,♦8,♦3,♥8,♥9 | Pair
♣5,♦8,♥8,♥T,♥9 | Pair
♣5,♣K,♣T,♠Q,♥T | Pair
♣5,♣K,♣T,♣6,♥T | Pair
♣5,♣K,♣T,♦7,♥T | Pair
♣5,♣K,♣T,♦3,♥T | Pair
♣5,♣K,♣T,♥8,♥T | Pair
♣5,♣K,♣T,♥T,♥9 | Pair
♣5,♣T,♠Q,♣6,♥T | Pair
♣5,♣T,♠Q,♦7,♥T | Pair
♣5,♣T,♠Q,♦3,♥T | Pair
♣5,♣T,♠Q,♥8,♥T | Pair
♣5,♣T,♠Q,♥T,♥9 | Pair
♣5,♣T,♣6,♦7,♥T | Pair
♣5,♣T,♣6,♦3,♥T | Pair
♣5,♣T,♣6,♥8,♥T | Pair
♣5,♣T,♣6,♥T,♥9 | Pair
♣5,♣T,♦7,♦3,♥T | Pair
♣5,♣T,♦7,♥8,♥T | Pair
♣5,♣T,♦7,♥T,♥9 | Pair
♣5,♣T,♦3,♥8,♥T | Pair
♣5,♣T,♦3,♥T,♥9 | Pair
♣5,♣T,♥8,♥T,♥9 | Pair
♠A,♦8,♣K,♣T,♥8 | Pair
♠A,♦8,♣K,♣T,♥T | Pair
♠A,♦8,♣K,♠Q,♥8 | Pair
♠A,♦8,♣K,♣6,♥8 | Pair
♠A,♦8,♣K,♦7,♥8 | Pair
♠A,♦8,♣K,♦3,♥8 | Pair
♠A,♦8,♣K,♥8,♥T | Pair
♠A,♦8,♣K,♥8,♥9 | Pair
♠A,♦8,♣T,♠Q,♥8 | Pair
♠A,♦8,♣T,♠Q,♥T | Pair
♠A,♦8,♣T,♣6,♥8 | Pair
♠A,♦8,♣T,♣6,♥T | Pair
♠A,♦8,♣T,♦7,♥8 | Pair
♠A,♦8,♣T,♦7,♥T | Pair
♠A,♦8,♣T,♦3,♥8 | Pair
♠A,♦8,♣T,♦3,♥T | Pair
♠A,♦8,♣T,♥8,♥T | Two Pairs
♠A,♦8,♣T,♥8,♥9 | Pair
♠A,♦8,♣T,♥T,♥9 | Pair
♠A,♦8,♠Q,♣6,♥8 | Pair
♠A,♦8,♠Q,♦7,♥8 | Pair
♠A,♦8,♠Q,♦3,♥8 | Pair
♠A,♦8,♠Q,♥8,♥T | Pair
♠A,♦8,♠Q,♥8,♥9 | Pair
♠A,♦8,♣6,♦7,♥8 | Pair
♠A,♦8,♣6,♦3,♥8 | Pair
♠A,♦8,♣6,♥8,♥T | Pair
♠A,♦8,♣6,♥8,♥9 | Pair
♠A,♦8,♦7,♦3,♥8 | Pair
♠A,♦8,♦7,♥8,♥T | Pair
♠A,♦8,♦7,♥8,♥9 | Pair
♠A,♦8,♦3,♥8,♥T | Pair
♠A,♦8,♦3,♥8,♥9 | Pair
♠A,♦8,♥8,♥T,♥9 | Pair
♠A,♣K,♣T,♠Q,♥T | Pair
♠A,♣K,♣T,♣6,♥T | Pair
♠A,♣K,♣T,♦7,♥T | Pair
♠A,♣K,♣T,♦3,♥T | Pair
♠A,♣K,♣T,♥8,♥T | Pair
♠A,♣K,♣T,♥T,♥9 | Pair
♠A,♣T,♠Q,♣6,♥T | Pair
♠A,♣T,♠Q,♦7,♥T | Pair
♠A,♣T,♠Q,♦3,♥T | Pair
♠A,♣T,♠Q,♥8,♥T | Pair
♠A,♣T,♠Q,♥T,♥9 | Pair
♠A,♣T,♣6,♦7,♥T | Pair
♠A,♣T,♣6,♦3,♥T | Pair
♠A,♣T,♣6,♥8,♥T | Pair
♠A,♣T,♣6,♥T,♥9 | Pair
♠A,♣T,♦7,♦3,♥T | Pair
♠A,♣T,♦7,♥8,♥T | Pair
♠A,♣T,♦7,♥T,♥9 | Pair
♠A,♣T,♦3,♥8,♥T | Pair
♠A,♣T,♦3,♥T,♥9 | Pair
♠A,♣T,♥8,♥T,♥9 | Pair
♦8,♣K,♣T,♠Q,♥8 | Pair
♦8,♣K,♣T,♠Q,♥T | Pair
♦8,♣K,♣T,♣6,♥8 | Pair
♦8,♣K,♣T,♣6,♥T | Pair
♦8,♣K,♣T,♦7,♥8 | Pair
♦8,♣K,♣T,♦7,♥T | Pair
♦8,♣K,♣T,♦3,♥8 | Pair
♦8,♣K,♣T,♦3,♥T | Pair
♦8,♣K,♣T,♥8,♥T | Two Pairs
♦8,♣K,♣T,♥8,♥9 | Pair
♦8,♣K,♣T,♥T,♥9 | Pair
♦8,♣K,♠Q,♣6,♥8 | Pair
♦8,♣K,♠Q,♦7,♥8 | Pair
♦8,♣K,♠Q,♦3,♥8 | Pair
♦8,♣K,♠Q,♥8,♥T | Pair
♦8,♣K,♠Q,♥8,♥9 | Pair
♦8,♣K,♣6,♦7,♥8 | Pair
♦8,♣K,♣6,♦3,♥8 | Pair
♦8,♣K,♣6,♥8,♥T | Pair
♦8,♣K,♣6,♥8,♥9 | Pair
♦8,♣K,♦7,♦3,♥8 | Pair
♦8,♣K,♦7,♥8,♥T | Pair
♦8,♣K,♦7,♥8,♥9 | Pair
♦8,♣K,♦3,♥8,♥T | Pair
♦8,♣K,♦3,♥8,♥9 | Pair
♦8,♣K,♥8,♥T,♥9 | Pair
♦8,♣T,♠Q,♣6,♥8 | Pair
♦8,♣T,♠Q,♣6,♥T | Pair
♦8,♣T,♠Q,♦7,♥8 | Pair
♦8,♣T,♠Q,♦7,♥T | Pair
♦8,♣T,♠Q,♦3,♥8 | Pair
♦8,♣T,♠Q,♦3,♥T | Pair
♦8,♣T,♠Q,♥8,♥T | Two Pairs
♦8,♣T,♠Q,♥8,♥9 | Pair
♦8,♣T,♠Q,♥T,♥9 | Pair
♦8,♣T,♣6,♦7,♥8 | Pair
♦8,♣T,♣6,♦7,♥T | Pair
♦8,♣T,♣6,♦3,♥8 | Pair
♦8,♣T,♣6,♦3,♥T | Pair
♦8,♣T,♣6,♥8,♥T | Two Pairs
♦8,♣T,♣6,♥8,♥9 | Pair
♦8,♣T,♣6,♥T,♥9 | Pair
♦8,♣T,♦7,♦3,♥8 | Pair
♦8,♣T,♦7,♦3,♥T | Pair
♦8,♣T,♦7,♥8,♥T | Two Pairs
♦8,♣T,♦7,♥8,♥9 | Pair
♦8,♣T,♦7,♥T,♥9 | Pair
♦8,♣T,♦3,♥8,♥T | Two Pairs
♦8,♣T,♦3,♥8,♥9 | Pair
♦8,♣T,♦3,♥T,♥9 | Pair
♦8,♣T,♥8,♥T,♥9 | Two Pairs
♦8,♠Q,♣6,♦7,♥8 | Pair
♦8,♠Q,♣6,♦3,♥8 | Pair
♦8,♠Q,♣6,♥8,♥T | Pair
♦8,♠Q,♣6,♥8,♥9 | Pair
♦8,♠Q,♦7,♦3,♥8 | Pair
♦8,♠Q,♦7,♥8,♥T | Pair
♦8,♠Q,♦7,♥8,♥9 | Pair
♦8,♠Q,♦3,♥8,♥T | Pair
♦8,♠Q,♦3,♥8,♥9 | Pair
♦8,♠Q,♥8,♥T,♥9 | Pair
♦8,♣6,♦7,♦3,♥8 | Pair
♦8,♣6,♦7,♥8,♥T | Pair
♦8,♣6,♦7,♥8,♥9 | Pair
♦8,♣6,♦3,♥8,♥T | Pair
♦8,♣6,♦3,♥8,♥9 | Pair
♦8,♣6,♥8,♥T,♥9 | Pair
♦8,♦7,♦3,♥8,♥T | Pair
♦8,♦7,♦3,♥8,♥9 | Pair
♦8,♦7,♥8,♥T,♥9 | Pair
♦8,♦3,♥8,♥T,♥9 | Pair
♣K,♣T,♠Q,♣6,♥T | Pair
♣K,♣T,♠Q,♦7,♥T | Pair
♣K,♣T,♠Q,♦3,♥T | Pair
♣K,♣T,♠Q,♥8,♥T | Pair
♣K,♣T,♠Q,♥T,♥9 | Pair
♣K,♣T,♣6,♦7,♥T | Pair
♣K,♣T,♣6,♦3,♥T | Pair
♣K,♣T,♣6,♥8,♥T | Pair
♣K,♣T,♣6,♥T,♥9 | Pair
♣K,♣T,♦7,♦3,♥T | Pair
♣K,♣T,♦7,♥8,♥T | Pair
♣K,♣T,♦7,♥T,♥9 | Pair
♣K,♣T,♦3,♥8,♥T | Pair
♣K,♣T,♦3,♥T,♥9 | Pair
♣K,♣T,♥8,♥T,♥9 | Pair
♣T,♠Q,♣6,♦7,♥T | Pair
♣T,♠Q,♣6,♦3,♥T | Pair
♣T,♠Q,♣6,♥8,♥T | Pair
♣T,♠Q,♣6,♥T,♥9 | Pair
♣T,♠Q,♦7,♦3,♥T | Pair
♣T,♠Q,♦7,♥8,♥T | Pair
♣T,♠Q,♦7,♥T,♥9 | Pair
♣T,♠Q,♦3,♥8,♥T | Pair
♣T,♠Q,♦3,♥T,♥9 | Pair
♣T,♠Q,♥8,♥T,♥9 | Pair
♣T,♣6,♦7,♦3,♥T | Pair
♣T,♣6,♦7,♥8,♥T | Pair
♣T,♣6,♦7,♥T,♥9 | Pair
♣T,♣6,♦3,♥8,♥T | Pair
♣T,♣6,♦3,♥T,♥9 | Pair
♣T,♣6,♥8,♥T,♥9 | Pair
♣T,♦7,♦3,♥8,♥T | Pair
♣T,♦7,♦3,♥T,♥9 | Pair
♣T,♦7,♥8,♥T,♥9 | Pair
♣T,♦3,♥8,♥T,♥9 | Pair
