♦8, ♥4, ♠4, ♦9, ♦7 | pair
♥4, ♦9, ♥7, ♠K, ♥K | pair
♥4, ♦9, ♥7, ♠K, ♦K | pair
♥4, ♦9, ♥7, ♥2, ♠2 | pair
♥4, ♦9, ♥7, ♥K, ♦K | pair
♥4, ♦9, ♣10, ♠K, ♥K | pair
♥4, ♦9, ♣10, ♠K, ♦K | pair
♥4, ♦9, ♣10, ♥2, ♠2 | pair
♥4, ♦9, ♣10, ♥K, ♦K | pair
♥4, ♦9, ♠K, ♥2, ♥K | pair
♥4, ♦9, ♠K, ♥2, ♠2 | pair
♥4, ♦9, ♠K, ♥2, ♦K | pair
♥4, ♦9, ♠K, ♥K, ♠2 | pair
♥4, ♦9, ♠K, ♥K, ♦K | three of a kind
♥4, ♦9, ♠K, ♠2, ♦K | pair
♥4, ♦9, ♥2, ♥K, ♠2 | pair
♥4, ♦9, ♥2, ♥K, ♦K | pair
♥4, ♦9, ♥2, ♠2, ♦K | pair
♥4, ♦9, ♥K, ♠2, ♦K | pair
♥4, ♦7, ♥7, ♣10, ♠K | pair
♥4, ♦7, ♥7, ♣10, ♥2 | pair
♥4, ♦7, ♥7, ♣10, ♥K | pair
♥4, ♦7, ♥7, ♣10, ♠2 | pair
♥4, ♦7, ♥7, ♣10, ♦K | pair
♥4, ♦7, ♥7, ♠K, ♥2 | pair
♥4, ♦7, ♥7, ♠K, ♥K | two pairs
♥4, ♦7, ♥7, ♠K, ♠2 | pair
♥4, ♦7, ♥7, ♠K, ♦K | two pairs
♥4, ♦7, ♥7, ♥2, ♥K | pair
♥4, ♦7, ♥7, ♥2, ♠2 | two pairs
♥4, ♦7, ♥7, ♥2, ♦K | pair
♥4, ♦7, ♥7, ♥K, ♠2 | pair
♥4, ♦7, ♥7, ♥K, ♦K | two pairs
♥4, ♦7, ♥7, ♠2, ♦K | pair
♥4, ♦7, ♣10, ♠K, ♥K | pair
♥4, ♦7, ♣10, ♠K, ♦K | pair
♥4, ♦7, ♣10, ♥2, ♠2 | pair
♥4, ♦7, ♣10, ♥K, ♦K | pair
♥4, ♦7, ♠K, ♥2, ♥K | pair
♥4, ♦7, ♠K, ♥2, ♠2 | pair
♥4, ♦7, ♠K, ♥2, ♦K | pair
♥4, ♦7, ♠K, ♥K, ♠2 | pair
♥4, ♦7, ♠K, ♥K, ♦K | three of a kind
♥4, ♦7, ♠K, ♠2, ♦K | pair
♥4, ♦7, ♥2, ♥K, ♠2 | pair
♥4, ♦7, ♥2, ♥K, ♦K | pair
♥4, ♦7, ♥2, ♠2, ♦K | pair
♥4, ♦7, ♥K, ♠2, ♦K | pair
♥4, ♥7, ♣10, ♠K, ♥K | pair
♥4, ♥7, ♣10, ♠K, ♦K | pair
♥4, ♥7, ♣10, ♥2, ♠2 | pair
♥4, ♥7, ♣10, ♥K, ♦K | pair
♥4, ♥7, ♠K, ♥2, ♥K | pair
♥4, ♥7, ♠K, ♥2, ♠2 | pair
♥4, ♥7, ♠K, ♥2, ♦K | pair
♥4, ♥7, ♠K, ♥K, ♠2 | pair
♥4, ♥7, ♠K, ♥K, ♦K | three of a kind
♥4, ♥7, ♠K, ♠2, ♦K | pair
♥4, ♥7, ♥2, ♥K, ♠2 | pair
♥4, ♥7, ♥2, ♥K, ♦K | pair
♥4, ♥7, ♥2, ♠2, ♦K | pair
♥4, ♥7, ♥K, ♠2, ♦K | pair
♥4, ♣10, ♠K, ♥2, ♥K | pair
♥4, ♣10, ♠K, ♥2, ♠2 | pair
♥4, ♣10, ♠K, ♥2, ♦K | pair
♥4, ♣10, ♠K, ♥K, ♠2 | pair
♥4, ♣10, ♠K, ♥K, ♦K | three of a kind
♥4, ♣10, ♠K, ♠2, ♦K | pair
♥4, ♣10, ♥2, ♥K, ♠2 | pair
♥4, ♣10, ♥2, ♥K, ♦K | pair
♥4, ♣10, ♥2, ♠2, ♦K | pair
♥4, ♣10, ♥K, ♠2, ♦K | pair
♥4, ♠K, ♥2, ♥K, ♠2 | two pairs
♥4, ♠K, ♥2, ♥K, ♦K | three of a kind
♥4, ♠K, ♥2, ♠2, ♦K | two pairs
♥4, ♠K, ♥K, ♠2, ♦K | three of a kind
♥4, ♥2, ♥K, ♠2, ♦K | two pairs
♠4, ♦9, ♦7, ♥7, ♣10 | pair
♠4, ♦9, ♦7, ♥7, ♠K | pair
♠4, ♦9, ♦7, ♥7, ♥2 | pair
♠4, ♦9, ♦7, ♥7, ♥K | pair
♠4, ♦9, ♦7, ♥7, ♠2 | pair
♠4, ♦9, ♦7, ♥7, ♦K | pair
♠4, ♦9, ♦7, ♠K, ♥K | pair
♠4, ♦9, ♦7, ♠K, ♦K | pair
♠4, ♦9, ♦7, ♥2, ♠2 | pair
♠4, ♦9, ♦7, ♥K, ♦K | pair
♠4, ♦9, ♥7, ♠K, ♥K | pair
♠4, ♦9, ♥7, ♠K, ♦K | pair
♠4, ♦9, ♥7, ♥2, ♠2 | pair
♠4, ♦9, ♥7, ♥K, ♦K | pair
♠4, ♦9, ♣10, ♠K, ♥K | pair
♠4, ♦9, ♣10, ♠K, ♦K | pair
♠4, ♦9, ♣10, ♥2, ♠2 | pair
♠4, ♦9, ♣10, ♥K, ♦K | pair
♠4, ♦9, ♠K, ♥2, ♥K | pair
♠4, ♦9, ♠K, ♥2, ♠2 | pair
♠4, ♦9, ♠K, ♥2, ♦K | pair
♠4, ♦9, ♠K, ♥K, ♠2 | pair
♠4, ♦9, ♠K, ♥K, ♦K | three of a kind
♠4, ♦9, ♠K, ♠2, ♦K | pair
♠4, ♦9, ♥2, ♥K, ♠2 | pair
♠4, ♦9, ♥2, ♥K, ♦K | pair
♠4, ♦9, ♥2, ♠2, ♦K | pair
♠4, ♦9, ♥K, ♠2, ♦K | pair
♠4, ♦7, ♥7, ♣10, ♠K | pair
♠4, ♦7, ♥7, ♣10, ♥2 | pair
♠4, ♦7, ♥7, ♣10, ♥K | pair
♠4, ♦7, ♥7, ♣10, ♠2 | pair
♠4, ♦7, ♥7, ♣10, ♦K | pair
♠4, ♦7, ♥7, ♠K, ♥2 | pair
♠4, ♦7, ♥7, ♠K, ♥K | two pairs
♠4, ♦7, ♥7, ♠K, ♠2 | pair
♠4, ♦7, ♥7, ♠K, ♦K | two pairs
♠4, ♦7, ♥7, ♥2, ♥K | pair
♠4, ♦7, ♥7, ♥2, ♠2 | two pairs
♠4, ♦7, ♥7, ♥2, ♦K | pair
♠4, ♦7, ♥7, ♥K, ♠2 | pair
♠4, ♦7, ♥7, ♥K, ♦K | two pairs
♠4, ♦7, ♥7, ♠2, ♦K | pair
♠4, ♦7, ♣10, ♠K, ♥K | pair
♠4, ♦7, ♣10, ♠K, ♦K | pair
♠4, ♦7, ♣10, ♥2, ♠2 | pair
♠4, ♦7, ♣10, ♥K, ♦K | pair
♠4, ♦7, ♠K, ♥2, ♥K | pair
♠4, ♦7, ♠K, ♥2, ♠2 | pair
♠4, ♦7, ♠K, ♥2, ♦K | pair
♠4, ♦7, ♠K, ♥K, ♠2 | pair
♠4, ♦7, ♠K, ♥K, ♦K | three of a kind
♠4, ♦7, ♠K, ♠2, ♦K | pair
♠4, ♦7, ♥2, ♥K, ♠2 | pair
♠4, ♦7, ♥2, ♥K, ♦K | pair
♠4, ♦7, ♥2, ♠2, ♦K | pair
♠4, ♦7, ♥K, ♠2, ♦K | pair
♠4, ♥7, ♣10, ♠K, ♥K | pair
♠4, ♥7, ♣10, ♠K, ♦K | pair
♠4, ♥7, ♣10, ♥2, ♠2 | pair
♠4, ♥7, ♣10, ♥K, ♦K | pair
♠4, ♥7, ♠K, ♥2, ♥K | pair
♠4, ♥7, ♠K, ♥2, ♠2 | pair
♠4, ♥7, ♠K, ♥2, ♦K | pair
♠4, ♥7, ♠K, ♥K, ♠2 | pair
♠4, ♥7, ♠K, ♥K, ♦K | three of a kind
♠4, ♥7, ♠K, ♠2, ♦K | pair
♠4, ♥7, ♥2, ♥K, ♠2 | pair
♠4, ♥7, ♥2, ♥K, ♦K | pair
♠4, ♥7, ♥2, ♠2, ♦K | pair
♠4, ♥7, ♥K, ♠2, ♦K | pair
♠4, ♣10, ♠K, ♥2, ♥K | pair
♠4, ♣10, ♠K, ♥2, ♠2 | pair
♠4, ♣10, ♠K, ♥2, ♦K | pair
♠4, ♣10, ♠K, ♥K, ♠2 | pair
♠4, ♣10, ♠K, ♥K, ♦K | three of a kind
♠4, ♣10, ♠K, ♠2, ♦K | pair
♠4, ♣10, ♥2, ♥K, ♠2 | pair
♠4, ♣10, ♥2, ♥K, ♦K | pair
♠4, ♣10, ♥2, ♠2, ♦K | pair
♠4, ♣10, ♥K, ♠2, ♦K | pair
♠4, ♠K, ♥2, ♥K, ♠2 | two pairs
♠4, ♠K, ♥2, ♥K, ♦K | three of a kind
♠4, ♠K, ♥2, ♠2, ♦K | two pairs
♠4, ♠K, ♥K, ♠2, ♦K | three of a kind
♠4, ♥2, ♥K, ♠2, ♦K | two pairs
♦9, ♦7, ♥7, ♣10, ♠K | pair
♦9, ♦7, ♥7, ♣10, ♥2 | pair
♦9, ♦7, ♥7, ♣10, ♥K | pair
♦9, ♦7, ♥7, ♣10, ♠2 | pair
♦9, ♦7, ♥7, ♣10, ♦K | pair
♦9, ♦7, ♥7, ♠K, ♥2 | pair
♦9, ♦7, ♥7, ♠K, ♥K | two pairs
♦9, ♦7, ♥7, ♠K, ♠2 | pair
♦9, ♦7, ♥7, ♠K, ♦K | two pairs
♦9, ♦7, ♥7, ♥2, ♥K | pair
♦9, ♦7, ♥7, ♥2, ♠2 | two pairs
♦9, ♦7, ♥7, ♥2, ♦K | pair
♦9, ♦7, ♥7, ♥K, ♠2 | pair
♦9, ♦7, ♥7, ♥K, ♦K | two pairs
♦9, ♦7, ♥7, ♠2, ♦K | pair
♦9, ♦7, ♣10, ♠K, ♥K | pair
♦9, ♦7, ♣10, ♠K, ♦K | pair
♦9, ♦7, ♣10, ♥2, ♠2 | pair
♦9, ♦7, ♣10, ♥K, ♦K | pair
♦9, ♦7, ♠K, ♥2, ♥K | pair
♦9, ♦7, ♠K, ♥2, ♠2 | pair
♦9, ♦7, ♠K, ♥2, ♦K | pair
♦9, ♦7, ♠K, ♥K, ♠2 | pair
♦9, ♦7, ♠K, ♥K, ♦K | three of a kind
♦9, ♦7, ♠K, ♠2, ♦K | pair
♦9, ♦7, ♥2, ♥K, ♠2 | pair
♦9, ♦7, ♥2, ♥K, ♦K | pair
♦9, ♦7, ♥2, ♠2, ♦K | pair
♦9, ♦7, ♥K, ♠2, ♦K | pair
♦9, ♥7, ♣10, ♠K, ♥K | pair
♦9, ♥7, ♣10, ♠K, ♦K | pair
♦9, ♥7, ♣10, ♥2, ♠2 | pair
♦9, ♥7, ♣10, ♥K, ♦K | pair
♦9, ♥7, ♠K, ♥2, ♥K | pair
♦9, ♥7, ♠K, ♥2, ♠2 | pair
♦9, ♥7, ♠K, ♥2, ♦K | pair
♦9, ♥7, ♠K, ♥K, ♠2 | pair
♦9, ♥7, ♠K, ♥K, ♦K | three of a kind
♦9, ♥7, ♠K, ♠2, ♦K | pair
♦9, ♥7, ♥2, ♥K, ♠2 | pair
♦9, ♥7, ♥2, ♥K, ♦K | pair
♦9, ♥7, ♥2, ♠2, ♦K | pair
♦9, ♥7, ♥K, ♠2, ♦K | pair
♦9, ♣10, ♠K, ♥2, ♥K | pair
♦9, ♣10, ♠K, ♥2, ♠2 | pair
♦9, ♣10, ♠K, ♥2, ♦K | pair
♦9, ♣10, ♠K, ♥K, ♠2 | pair
♦9, ♣10, ♠K, ♥K, ♦K | three of a kind
♦9, ♣10, ♠K, ♠2, ♦K | pair
♦9, ♣10, ♥2, ♥K, ♠2 | pair
♦9, ♣10, ♥2, ♥K, ♦K | pair
♦9, ♣10, ♥2, ♠2, ♦K | pair
♦9, ♣10, ♥K, ♠2, ♦K | pair
♦9, ♠K, ♥2, ♥K, ♠2 | two pairs
♦9, ♠K, ♥2, ♥K, ♦K | three of a kind
♦9, ♠K, ♥2, ♠2, ♦K | two pairs
♦9, ♠K, ♥K, ♠2, ♦K | three of a kind
♦9, ♥2, ♥K, ♠2, ♦K | two pairs
♦7, ♥7, ♣10, ♠K, ♥2 | pair
