♦A,♠6,♦K,♠Q,♣K | Pair
♦A,♦K,♣K,♥2,♣9 | Pair
♦A,♦K,♣K,♥Q,♣9 | Pair
♦A,♠Q,♣2,♣K,♥2 | Pair
♦A,♠Q,♣2,♣K,♥Q | Pair
♦A,♠Q,♣2,♥T,♥2 | Pair
♦A,♠Q,♣2,♥T,♥Q | Pair
♦A,♠Q,♣2,♣5,♥2 | Pair
♦A,♠Q,♣2,♣5,♥Q | Pair
♦A,♠Q,♣2,♣8,♥2 | Pair
♦A,♠Q,♣2,♣8,♥Q | Pair
♦A,♠Q,♣2,♥2,♥Q | Two Pairs
♦A,♠Q,♣2,♥2,♣9 | Pair
♦A,♠Q,♣2,♥Q,♣9 | Pair
♦A,♠Q,♣K,♥T,♥Q | Pair
♦A,♠Q,♣K,♣5,♥Q | Pair
♦A,♠Q,♣K,♣8,♥Q | Pair
♦A,♠Q,♣K,♥2,♥Q | Pair
♦A,♠Q,♣K,♥Q,♣9 | Pair
♦A,♠Q,♥T,♣5,♥Q | Pair
♦A,♠Q,♥T,♣8,♥Q | Pair
♦A,♠Q,♥T,♥2,♥Q | Pair
♦A,♠Q,♥T,♥Q,♣9 | Pair
♦A,♠Q,♣5,♣8,♥Q | Pair
♦A,♠Q,♣5,♥2,♥Q | Pair
♦A,♠Q,♣5,♥Q,♣9 | Pair
♦A,♠Q,♣8,♥2,♥Q | Pair
♦A,♠Q,♣8,♥Q,♣9 | Pair
♦A,♠Q,♥2,♥Q,♣9 | Pair
♦A,♣2,♣K,♥T,♥2 | Pair
♦A,♣2,♣K,♣5,♥2 | Pair
♦A,♣2,♣K,♣8,♥2 | Pair
♦A,♣2,♣K,♥2,♥Q | Pair
♦A,♣2,♣K,♥2,♣9 | Pair
♦A,♣2,♥T,♣5,♥2 | Pair
♦A,♣2,♥T,♣8,♥2 | Pair
♦A,♣2,♥T,♥2,♥Q | Pair
♦A,♣2,♥T,♥2,♣9 | Pair
♦A,♣2,♣5,♣8,♥2 | Pair
♦A,♣2,♣5,♥2,♥Q | Pair
♦A,♣2,♣5,♥2,♣9 | Pair
♦A,♣2,♣8,♥2,♥Q | Pair
♦A,♣2,♣8,♥2,♣9 | Pair
♦A,♣2,♥2,♥Q,♣9 | Pair
♠6,♦K,♠Q,♣2,♣K | Pair
♠6,♦K,♠Q,♣2,♥2 | Pair
♠6,♦K,♠Q,♣2,♥Q | Pair
♠6,♦K,♠Q,♣K,♥T | Pair
♠6,♦K,♠Q,♣K,♣5 | Pair
♠6,♦K,♠Q,♣K,♣8 | Pair
♠6,♦K,♠Q,♣K,♥2 | Pair
♠6,♦K,♠Q,♣K,♥Q | Two Pairs
♠6,♦K,♠Q,♣K,♣9 | Pair
♠6,♦K,♠Q,♥T,♥Q | Pair
♠6,♦K,♠Q,♣5,♥Q | Pair
♠6,♦K,♠Q,♣8,♥Q | Pair
♠6,♦K,♠Q,♥2,♥Q | Pair
♠6,♦K,♠Q,♥Q,♣9 | Pair
♠6,♦K,♣2,♣K,♥T | Pair
♠6,♦K,♣2,♣K,♣5 | Pair
♠6,♦K,♣2,♣K,♣8 | Pair
♠6,♦K,♣2,♣K,♥2 | Two Pairs
♠6,♦K,♣2,♣K,♥Q | Pair
♠6,♦K,♣2,♣K,♣9 | Pair
♠6,♦K,♣2,♥T,♥2 | Pair
♠6,♦K,♣2,♣5,♥2 | Pair
♠6,♦K,♣2,♣8,♥2 | Pair
♠6,♦K,♣2,♥2,♥Q | Pair
♠6,♦K,♣2,♥2,♣9 | Pair
♠6,♦K,♣K,♥T,♣5 | Pair
♠6,♦K,♣K,♥T,♣8 | Pair
♠6,♦K,♣K,♥T,♥2 | Pair
♠6,♦K,♣K,♥T,♥Q | Pair
♠6,♦K,♣K,♥T,♣9 | Pair
♠6,♦K,♣K,♣5,♣8 | Pair
♠6,♦K,♣K,♣5,♥2 | Pair
♠6,♦K,♣K,♣5,♥Q | Pair
♠6,♦K,♣K,♣5,♣9 | Pair
♠6,♦K,♣K,♣8,♥2 | Pair
♠6,♦K,♣K,♣8,♥Q | Pair
♠6,♦K,♣K,♣8,♣9 | Pair
♠6,♦K,♣K,♥2,♥Q | Pair
♠6,♦K,♣K,♥2,♣9 | Pair
♠6,♦K,♣K,♥Q,♣9 | Pair
♠6,♠Q,♣2,♣K,♥2 | Pair
♠6,♠Q,♣2,♣K,♥Q | Pair
♠6,♠Q,♣2,♥T,♥2 | Pair
♠6,♠Q,♣2,♥T,♥Q | Pair
♠6,♠Q,♣2,♣5,♥2 | Pair
♠6,♠Q,♣2,♣5,♥Q | Pair
♠6,♠Q,♣2,♣8,♥2 | Pair
♠6,♠Q,♣2,♣8,♥Q | Pair
♠6,♠Q,♣2,♥2,♥Q | Two Pairs
♠6,♠Q,♣2,♥2,♣9 | Pair
♠6,♠Q,♣2,♥Q,♣9 | Pair
♠6,♠Q,♣K,♥T,♥Q | Pair
♠6,♠Q,♣K,♣5,♥Q | Pair
♠6,♠Q,♣K,♣8,♥Q | Pair
♠6,♠Q,♣K,♥2,♥Q | Pair
♠6,♠Q,♣K,♥Q,♣9 | Pair
♠6,♠Q,♥T,♣5,♥Q | Pair
♠6,♠Q,♥T,♣8,♥Q | Pair
♠6,♠Q,♥T,♥2,♥Q | Pair
♠6,♠Q,♥T,♥Q,♣9 | Pair
♠6,♠Q,♣5,♣8,♥Q | Pair
♠6,♠Q,♣5,♥2,♥Q | Pair
♠6,♠Q,♣5,♥Q,♣9 | Pair
♠6,♠Q,♣8,♥2,♥Q | Pair
♠6,♠Q,♣8,♥Q,♣9 | Pair
♠6,♠Q,♥2,♥Q,♣9 | Pair
♠6,♣2,♣K,♥T,♥2 | Pair
♠6,♣2,♣K,♣5,♥2 | Pair
♠6,♣2,♣K,♣8,♥2 | Pair
♠6,♣2,♣K,♥2,♥Q | Pair
♠6,♣2,♣K,♥2,♣9 | Pair
♠6,♣2,♥T,♣5,♥2 | Pair
♠6,♣2,♥T,♣8,♥2 | Pair
♠6,♣2,♥T,♥2,♥Q | Pair
♠6,♣2,♥T,♥2,♣9 | Pair
♠6,♣2,♣5,♣8,♥2 | Pair
♠6,♣2,♣5,♥2,♥Q | Pair
♠6,♣2,♣5,♥2,♣9 | Pair
♠6,♣2,♣8,♥2,♥Q | Pair
♠6,♣2,♣8,♥2,♣9 | Pair
♠6,♣2,♥2,♥Q,♣9 | Pair
♦K,♠Q,♣2,♣K,♥T | Pair
♦K,♠Q,♣2,♣K,♣5 | Pair
♦K,♠Q,♣2,♣K,♣8 | Pair
♦K,♠Q,♣2,♣K,♥2 | Two Pairs
♦K,♠Q,♣2,♣K,♥Q | Two Pairs
♦K,♠Q,♣2,♣K,♣9 | Pair
♦K,♠Q,♣2,♥T,♥2 | Pair
♦K,♠Q,♣2,♥T,♥Q | Pair
♦K,♠Q,♣2,♣5,♥2 | Pair
♦K,♠Q,♣2,♣5,♥Q | Pair
♦K,♠Q,♣2,♣8,♥2 | Pair
♦K,♠Q,♣2,♣8,♥Q | Pair
♦K,♠Q,♣2,♥2,♥Q | Two Pairs
♦K,♠Q,♣2,♥2,♣9 | Pair
♦K,♠Q,♣2,♥Q,♣9 | Pair
♦K,♠Q,♣K,♥T,♣5 | Pair
♦K,♠Q,♣K,♥T,♣8 | Pair
♦K,♠Q,♣K,♥T,♥2 | Pair
♦K,♠Q,♣K,♥T,♥Q | Two Pairs
♦K,♠Q,♣K,♥T,♣9 | Pair
♦K,♠Q,♣K,♣5,♣8 | Pair
♦K,♠Q,♣K,♣5,♥2 | Pair
♦K,♠Q,♣K,♣5,♥Q | Two Pairs
♦K,♠Q,♣K,♣5,♣9 | Pair
♦K,♠Q,♣K,♣8,♥2 | Pair
♦K,♠Q,♣K,♣8,♥Q | Two Pairs
♦K,♠Q,♣K,♣8,♣9 | Pair
♦K,♠Q,♣K,♥2,♥Q | Two Pairs
♦K,♠Q,♣K,♥2,♣9 | Pair
♦K,♠Q,♣K,♥Q,♣9 | Two Pairs
♦K,♠Q,♥T,♣5,♥Q | Pair
♦K,♠Q,♥T,♣8,♥Q | Pair
♦K,♠Q,♥T,♥2,♥Q | Pair
♦K,♠Q,♥T,♥Q,♣9 | Pair
♦K,♠Q,♣5,♣8,♥Q | Pair
♦K,♠Q,♣5,♥2,♥Q | Pair
♦K,♠Q,♣5,♥Q,♣9 | Pair
♦K,♠Q,♣8,♥2,♥Q | Pair
♦K,♠Q,♣8,♥Q,♣9 | Pair
♦K,♠Q,♥2,♥Q,♣9 | Pair
♦K,♣2,♣K,♥T,♣5 | Pair
♦K,♣2,♣K,♥T,♣8 | Pair
♦K,♣2,♣K,♥T,♥2 | Two Pairs
♦K,♣2,♣K,♥T,♥Q | Pair
♦K,♣2,♣K,♥T,♣9 | Pair
♦K,♣2,♣K,♣5,♣8 | Pair
♦K,♣2,♣K,♣5,♥2 | Two Pairs
♦K,♣2,♣K,♣5,♥Q | Pair
♦K,♣2,♣K,♣5,♣9 | Pair
♦K,♣2,♣K,♣8,♥2 | Two Pairs
♦K,♣2,♣K,♣8,♥Q | Pair
♦K,♣2,♣K,♣8,♣9 | Pair
♦K,♣2,♣K,♥2,♥Q | Two Pairs
♦K,♣2,♣K,♥2,♣9 | Two Pairs
♦K,♣2,♣K,♥Q,♣9 | Pair
♦K,♣2,♥T,♣5,♥2 | Pair
♦K,♣2,♥T,♣8,♥2 | Pair
♦K,♣2,♥T,♥2,♥Q | Pair
♦K,♣2,♥T,♥2,♣9 | Pair
♦K,♣2,♣5,♣8,♥2 | Pair
♦K,♣2,♣5,♥2,♥Q | Pair
♦K,♣2,♣5,♥2,♣9 | Pair
♦K,♣2,♣8,♥2,♥Q | Pair
♦K,♣2,♣8,♥2,♣9 | Pair
♦K,♣2,♥2,♥Q,♣9 | Pair
♦K,♣K,♥T,♣5,♣8 | Pair
♦K,♣K,♥T,♣5,♥2 | Pair
♦K,♣K,♥T,♣5,♥Q | Pair
♦K,♣K,♥T,♣5,♣9 | Pair
♦K,♣K,♥T,♣8,♥2 | Pair
♦K,♣K,♥T,♣8,♥Q | Pair
♦K,♣K,♥T,♣8,♣9 | Pair
♦K,♣K,♥T,♥2,♥Q | Pair
♦K,♣K,♥T,♥2,♣9 | Pair
♦K,♣K,♥T,♥Q,♣9 | Pair
♦K,♣K,♣5,♣8,♥2 | Pair
♦K,♣K,♣5,♣8,♥Q | Pair
♦K,♣K,♣5,♣8,♣9 | Pair
♦K,♣K,♣5,♥2,♥Q | Pair
♦K,♣K,♣5,♥2,♣9 | Pair
♦K,♣K,♣5,♥Q,♣9 | Pair
♦K,♣K,♣8,♥2,♥Q | Pair
♦K,♣K,♣8,♥2,♣9 | Pair
♦K,♣K,♣8,♥Q,♣9 | Pair
♦K,♣K,♥2,♥Q,♣9 | Pair
♠Q,♣2,♣K,♥T,♥2 | Pair
♠Q,♣2,♣K,♥T,♥Q | Pair
♠Q,♣2,♣K,♣5,♥2 | Pair
♠Q,♣2,♣K,♣5,♥Q | Pair
♠Q,♣2,♣K,♣8,♥2 | Pair
♠Q,♣2,♣K,♣8,♥Q | Pair
♠Q,♣2,♣K,♥2,♥Q | Two Pairs
♠Q,♣2,♣K,♥2,♣9 | Pair
♠Q,♣2,♣K,♥Q,♣9 | Pair
♠Q,♣2,♥T,♣5,♥2 | Pair
♠Q,♣2,♥T,♣5,♥Q | Pair
♠Q,♣2,♥T,♣8,♥2 | Pair
♠Q,♣2,♥T,♣8,♥Q | Pair
♠Q,♣2,♥T,♥2,♥Q | Two Pairs
♠Q,♣2,♥T,♥2,♣9 | Pair
♠Q,♣2,♥T,♥Q,♣9 | Pair
♠Q,♣2,♣5,♣8,♥2 | Pair
♠Q,♣2,♣5,♣8,♥Q | Pair
♠Q,♣2,♣5,♥2,♥Q | Two Pairs
♠Q,♣2,♣5,♥2,♣9 | Pair
♠Q,♣2,♣5,♥Q,♣9 | Pair
♠Q,♣2,♣8,♥2,♥Q | Two Pairs
♠Q,♣2,♣8,♥2,♣9 | Pair
♠Q,♣2,♣8,♥Q,♣9 | Pair
♠Q,♣2,♥2,♥Q,♣9 | Two Pairs
♠Q,♣K,♥T,♣5,♥Q | Pair
♠Q,♣K,♥T,♣8,♥Q | Pair
♠Q,♣K,♥T,♥2,♥Q | Pair
♠Q,♣K,♥T,♥Q,♣9 | Pair
♠Q,♣K,♣5,♣8,♥Q | Pair
♠Q,♣K,♣5,♥2,♥Q | Pair
♠Q,♣K,♣5,♥Q,♣9 | Pair
♠Q,♣K,♣8,♥2,♥Q | Pair
♠Q,♣K,♣8,♥Q,♣9 | Pair
♠Q,♣K,♥2,♥Q,♣9 | Pair
♠Q,♥T,♣5,♣8,♥Q | Pair
♠Q,♥T,♣5,♥2,♥Q | Pair
♠Q,♥T,♣5,♥Q,♣9 | Pair
♠Q,♥T,♣8,♥2,♥Q | Pair
♠Q,♥T,♣8,♥Q,♣9 | Pair
♠Q,♥T,♥2,♥Q,♣9 | Pair
♠Q,♣5,♣8,♥2,♥Q | Pair
♠Q,♣5,♣8,♥Q,♣9 | Pair
♠Q,♣5,♥2,♥Q,♣9 | Pair
♠Q,♣8,♥2,♥Q,♣9 | Pair
♣2,♣K,♥T,♣5,♥2 | Pair
♣2,♣K,♥T,♣8,♥2 | Pair
♣2,♣K,♥T,♥2,♥Q | Pair
♣2,♣K,♥T,♥2,♣9 | Pair
♣2,♣K,♣5,♣8,♥2 | Pair
♣2,♣K,♣5,♣8,♣9 | Flush
♣2,♣K,♣5,♥2,♥Q | Pair
♣2,♣K,♣5,♥2,♣9 | Pair
♣2,♣K,♣8,♥2,♥Q | Pair
♣2,♣K,♣8,♥2,♣9 | Pair
♣2,♣K,♥2,♥Q,♣9 | Pair
♣2,♥T,♣5,♣8,♥2 | Pair
♣2,♥T,♣5,♥2,♥Q | Pair
♣2,♥T,♣5,♥2,♣9 | Pair
♣2,♥T,♣8,♥2,♥Q | Pair
♣2,♥T,♣8,♥2,♣9 | Pair
♣2,♥T,♥2,♥Q,♣9 | Pair
♣2,♣5,♣8,♥2,♥Q | Pair
♣2,♣5,♣8,♥2,♣9 | Pair
♣2,♣5,♥2,♥Q,♣9 | Pair
♣2,♣8,♥2,♥Q,♣9 | Pair
