♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♠K, ♦8, ♣7, ♦K | three of a kind
♥K, ♠K, ♦8, ♣7, ♠7 | two pairs
♥K, ♠K, ♦8, ♣7, ♦2 | pair
♥K, ♠K, ♦8, ♦K, ♠7 | three of a kind
♥K, ♠K, ♦8, ♦K, ♦2 | three of a kind
♥K, ♠K, ♦8, ♠7, ♦2 | pair
♥K, ♠K, ♥7, ♦10, ♦A | pair
♥K, ♠K, ♥7, ♦10, ♣7 | two pairs
♥K, ♠K, ♥7, ♦10, ♦K | three of a kind
♥K, ♠K, ♥7, ♦10, ♠7 | two pairs
♥K, ♠K, ♥7, ♦10, ♦2 | pair
♥K, ♠K, ♥7, ♦A, ♣7 | two pairs
♥K, ♠K, ♥7, ♦A, ♦K | three of a kind
♥K, ♠K, ♥7, ♦A, ♠7 | two pairs
♥K, ♠K, ♥7, ♦A, ♦2 | pair
♥K, ♠K, ♥7, ♣7, ♦K | fullhouse
♥K, ♠K, ♥7, ♣7, ♠7 | fullhouse
♥K, ♠K, ♥7, ♣7, ♦2 | two pairs
♥K, ♠K, ♥7, ♦K, ♠7 | fullhouse
♥K, ♠K, ♥7, ♦K, ♦2 | three of a kind
♥K, ♠K, ♥7, ♠7, ♦2 | two pairs
♥K, ♠K, ♦10, ♦A, ♣7 | pair
♥K, ♠K, ♦10, ♦A, ♦K | three of a kind
♥K, ♠K, ♦10, ♦A, ♠7 | pair
♥K, ♠K, ♦10, ♦A, ♦2 | pair
♥K, ♠K, ♦10, ♣7, ♦K | three of a kind
♥K, ♠K, ♦10, ♣7, ♠7 | two pairs
♥K, ♠K, ♦10, ♣7, ♦2 | pair
♥K, ♠K, ♦10, ♦K, ♠7 | three of a kind
♥K, ♠K, ♦10, ♦K, ♦2 | three of a kind
♥K, ♠K, ♦10, ♠7, ♦2 | pair
♥K, ♠K, ♦A, ♣7, ♦K | three of a kind
♥K, ♠K, ♦A, ♣7, ♠7 | two pairs
♥K, ♠K, ♦A, ♣7, ♦2 | pair
♥K, ♠K, ♦A, ♦K, ♠7 | three of a kind
♥K, ♠K, ♦A, ♦K, ♦2 | three of a kind
♥K, ♠K, ♦A, ♠7, ♦2 | pair
♥K, ♠K, ♣7, ♦K, ♠7 | fullhouse
♥K, ♠K, ♣7, ♦K, ♦2 | three of a kind
♥K, ♠K, ♣7, ♠7, ♦2 | two pairs
♥K, ♠K, ♦K, ♠7, ♦2 | three of a kind
♥K, ♦8, ♥7, ♦10, ♣7 | pair
♥K, ♦8, ♥7, ♦10, ♦K | pair
♥K, ♦8, ♥7, ♦10, ♠7 | pair
♥K, ♦8, ♥7, ♦A, ♣7 | pair
♥K, ♦8, ♥7, ♦A, ♦K | pair
♥K, ♦8, ♥7, ♦A, ♠7 | pair
♥K, ♦8, ♥7, ♣7, ♦K | two pairs
♥K, ♦8, ♥7, ♣7, ♠7 | three of a kind
♥K, ♦8, ♥7, ♣7, ♦2 | pair
♥K, ♦8, ♥7, ♦K, ♠7 | two pairs
♥K, ♦8, ♥7, ♦K, ♦2 | pair
♥K, ♦8, ♥7, ♠7, ♦2 | pair
♥K, ♦8, ♦10, ♦A, ♦K | pair
♥K, ♦8, ♦10, ♣7, ♦K | pair
♥K, ♦8, ♦10, ♣7, ♠7 | pair
♥K, ♦8, ♦10, ♦K, ♠7 | pair
♥K, ♦8, ♦10, ♦K, ♦2 | pair
♥K, ♦8, ♦A, ♣7, ♦K | pair
♥K, ♦8, ♦A, ♣7, ♠7 | pair
♥K, ♦8, ♦A, ♦K, ♠7 | pair
♥K, ♦8, ♦A, ♦K, ♦2 | pair
♥K, ♦8, ♣7, ♦K, ♠7 | two pairs
♥K, ♦8, ♣7, ♦K, ♦2 | pair
♥K, ♦8, ♣7, ♠7, ♦2 | pair
♥K, ♦8, ♦K, ♠7, ♦2 | pair
♥K, ♥7, ♦10, ♦A, ♣7 | pair
♥K, ♥7, ♦10, ♦A, ♦K | pair
♥K, ♥7, ♦10, ♦A, ♠7 | pair
♥K, ♥7, ♦10, ♣7, ♦K | two pairs
♥K, ♥7, ♦10, ♣7, ♠7 | three of a kind
♥K, ♥7, ♦10, ♣7, ♦2 | pair
♥K, ♥7, ♦10, ♦K, ♠7 | two pairs
♥K, ♥7, ♦10, ♦K, ♦2 | pair
♥K, ♥7, ♦10, ♠7, ♦2 | pair
♥K, ♥7, ♦A, ♣7, ♦K | two pairs
♥K, ♥7, ♦A, ♣7, ♠7 | three of a kind
♥K, ♥7, ♦A, ♣7, ♦2 | pair
♥K, ♥7, ♦A, ♦K, ♠7 | two pairs
♥K, ♥7, ♦A, ♦K, ♦2 | pair
♥K, ♥7, ♦A, ♠7, ♦2 | pair
♥K, ♥7, ♣7, ♦K, ♠7 | fullhouse
♥K, ♥7, ♣7, ♦K, ♦2 | two pairs
♥K, ♥7, ♣7, ♠7, ♦2 | three of a kind
♥K, ♥7, ♦K, ♠7, ♦2 | two pairs
♥K, ♦10, ♦A, ♣7, ♦K | pair
♥K, ♦10, ♦A, ♣7, ♠7 | pair
♥K, ♦10, ♦A, ♦K, ♠7 | pair
♥K, ♦10, ♦A, ♦K, ♦2 | pair
♥K, ♦10, ♣7, ♦K, ♠7 | two pairs
♥K, ♦10, ♣7, ♦K, ♦2 | pair
♥K, ♦10, ♣7, ♠7, ♦2 | pair
♥K, ♦10, ♦K, ♠7, ♦2 | pair
♥K, ♦A, ♣7, ♦K, ♠7 | two pairs
♥K, ♦A, ♣7, ♦K, ♦2 | pair
♥K, ♦A, ♣7, ♠7, ♦2 | pair
♥K, ♦A, ♦K, ♠7, ♦2 | pair
♥K, ♣7, ♦K, ♠7, ♦2 | two pairs
♥A, ♣4, ♠K, ♦8, ♦A | pair
♥A, ♣4, ♠K, ♦8, ♦K | pair
♥A, ♣4, ♠K, ♥7, ♦A | pair
♥A, ♣4, ♠K, ♥7, ♣7 | pair
♥A, ♣4, ♠K, ♥7, ♦K | pair
♥A, ♣4, ♠K, ♥7, ♠7 | pair
♥A, ♣4, ♠K, ♦10, ♦A | pair
♥A, ♣4, ♠K, ♦10, ♦K | pair
♥A, ♣4, ♠K, ♦A, ♣7 | pair
♥A, ♣4, ♠K, ♦A, ♦K | two pairs
♥A, ♣4, ♠K, ♦A, ♠7 | pair
♥A, ♣4, ♠K, ♦A, ♦2 | pair
♥A, ♣4, ♠K, ♣7, ♦K | pair
♥A, ♣4, ♠K, ♣7, ♠7 | pair
♥A, ♣4, ♠K, ♦K, ♠7 | pair
♥A, ♣4, ♠K, ♦K, ♦2 | pair
♥A, ♣4, ♦8, ♥7, ♦A | pair
♥A, ♣4, ♦8, ♥7, ♣7 | pair
♥A, ♣4, ♦8, ♥7, ♠7 | pair
♥A, ♣4, ♦8, ♦10, ♦A | pair
♥A, ♣4, ♦8, ♦A, ♣7 | pair
♥A, ♣4, ♦8, ♦A, ♦K | pair
♥A, ♣4, ♦8, ♦A, ♠7 | pair
♥A, ♣4, ♦8, ♦A, ♦2 | pair
♥A, ♣4, ♦8, ♣7, ♠7 | pair
♥A, ♣4, ♥7, ♦10, ♦A | pair
♥A, ♣4, ♥7, ♦10, ♣7 | pair
♥A, ♣4, ♥7, ♦10, ♠7 | pair
♥A, ♣4, ♥7, ♦A, ♣7 | two pairs
♥A, ♣4, ♥7, ♦A, ♦K | pair
♥A, ♣4, ♥7, ♦A, ♠7 | two pairs
♥A, ♣4, ♥7, ♦A, ♦2 | pair
♥A, ♣4, ♥7, ♣7, ♦K | pair
♥A, ♣4, ♥7, ♣7, ♠7 | three of a kind
♥A, ♣4, ♥7, ♣7, ♦2 | pair
♥A, ♣4, ♥7, ♦K, ♠7 | pair
♥A, ♣4, ♥7, ♠7, ♦2 | pair
♥A, ♣4, ♦10, ♦A, ♣7 | pair
♥A, ♣4, ♦10, ♦A, ♦K | pair
♥A, ♣4, ♦10, ♦A, ♠7 | pair
♥A, ♣4, ♦10, ♦A, ♦2 | pair
♥A, ♣4, ♦10, ♣7, ♠7 | pair
♥A, ♣4, ♦A, ♣7, ♦K | pair
♥A, ♣4, ♦A, ♣7, ♠7 | two pairs
♥A, ♣4, ♦A, ♣7, ♦2 | pair
♥A, ♣4, ♦A, ♦K, ♠7 | pair
♥A, ♣4, ♦A, ♦K, ♦2 | pair
♥A, ♣4, ♦A, ♠7, ♦2 | pair
♥A, ♣4, ♣7, ♦K, ♠7 | pair
♥A, ♣4, ♣7, ♠7, ♦2 | pair
♥A, ♠K, ♦8, ♥7, ♦A | pair
♥A, ♠K, ♦8, ♥7, ♣7 | pair
♥A, ♠K, ♦8, ♥7, ♦K | pair
♥A, ♠K, ♦8, ♥7, ♠7 | pair
♥A, ♠K, ♦8, ♦10, ♦A | pair
♥A, ♠K, ♦8, ♦10, ♦K | pair
♥A, ♠K, ♦8, ♦A, ♣7 | pair
♥A, ♠K, ♦8, ♦A, ♦K | two pairs
♥A, ♠K, ♦8, ♦A, ♠7 | pair
♥A, ♠K, ♦8, ♦A, ♦2 | pair
♥A, ♠K, ♦8, ♣7, ♦K | pair
♥A, ♠K, ♦8, ♣7, ♠7 | pair
♥A, ♠K, ♦8, ♦K, ♠7 | pair
♥A, ♠K, ♦8, ♦K, ♦2 | pair
♥A, ♠K, ♥7, ♦10, ♦A | pair
♥A, ♠K, ♥7, ♦10, ♣7 | pair
♥A, ♠K, ♥7, ♦10, ♦K | pair
♥A, ♠K, ♥7, ♦10, ♠7 | pair
♥A, ♠K, ♥7, ♦A, ♣7 | two pairs
♥A, ♠K, ♥7, ♦A, ♦K | two pairs
♥A, ♠K, ♥7, ♦A, ♠7 | two pairs
♥A, ♠K, ♥7, ♦A, ♦2 | pair
♥A, ♠K, ♥7, ♣7, ♦K | two pairs
♥A, ♠K, ♥7, ♣7, ♠7 | three of a kind
♥A, ♠K, ♥7, ♣7, ♦2 | pair
♥A, ♠K, ♥7, ♦K, ♠7 | two pairs
♥A, ♠K, ♥7, ♦K, ♦2 | pair
♥A, ♠K, ♥7, ♠7, ♦2 | pair
♥A, ♠K, ♦10, ♦A, ♣7 | pair
♥A, ♠K, ♦10, ♦A, ♦K | two pairs
♥A, ♠K, ♦10, ♦A, ♠7 | pair
♥A, ♠K, ♦10, ♦A, ♦2 | pair
♥A, ♠K, ♦10, ♣7, ♦K | pair
♥A, ♠K, ♦10, ♣7, ♠7 | pair
♥A, ♠K, ♦10, ♦K, ♠7 | pair
♥A, ♠K, ♦10, ♦K, ♦2 | pair
♥A, ♠K, ♦A, ♣7, ♦K | two pairs
♥A, ♠K, ♦A, ♣7, ♠7 | two pairs
♥A, ♠K, ♦A, ♣7, ♦2 | pair
♥A, ♠K, ♦A, ♦K, ♠7 | two pairs
♥A, ♠K, ♦A, ♦K, ♦2 | two pairs
♥A, ♠K, ♦A, ♠7, ♦2 | pair
♥A, ♠K, ♣7, ♦K, ♠7 | two pairs
♥A, ♠K, ♣7, ♦K, ♦2 | pair
♥A, ♠K, ♣7, ♠7, ♦2 | pair
♥A, ♠K, ♦K, ♠7, ♦2 | pair
♥A, ♦8, ♥7, ♦10, ♦A | pair
♥A, ♦8, ♥7, ♦10, ♣7 | pair
♥A, ♦8, ♥7, ♦10, ♠7 | pair
♥A, ♦8, ♥7, ♦A, ♣7 | two pairs
♥A, ♦8, ♥7, ♦A, ♦K | pair
♥A, ♦8, ♥7, ♦A, ♠7 | two pairs
♥A, ♦8, ♥7, ♦A, ♦2 | pair
♥A, ♦8, ♥7, ♣7, ♦K | pair
♥A, ♦8, ♥7, ♣7, ♠7 | three of a kind
♥A, ♦8, ♥7, ♣7, ♦2 | pair
♥A, ♦8, ♥7, ♦K, ♠7 | pair
♥A, ♦8, ♥7, ♠7, ♦2 | pair
♥A, ♦8, ♦10, ♦A, ♣7 | pair
♥A, ♦8, ♦10, ♦A, ♦K | pair
♥A, ♦8, ♦10, ♦A, ♠7 | pair
♥A, ♦8, ♦10, ♦A, ♦2 | pair
♥A, ♦8, ♦10, ♣7, ♠7 | pair
♥A, ♦8, ♦A, ♣7, ♦K | pair
♥A, ♦8, ♦A, ♣7, ♠7 | two pairs
♥A, ♦8, ♦A, ♣7, ♦2 | pair
♥A, ♦8, ♦A, ♦K, ♠7 | pair
♥A, ♦8, ♦A, ♦K, ♦2 | pair
♥A, ♦8, ♦A, ♠7, ♦2 | pair
♥A, ♦8, ♣7, ♦K, ♠7 | pair
♥A, ♦8, ♣7, ♠7, ♦2 | pair
♥A, ♥7, ♦10, ♦A, ♣7 | two pairs
♥A, ♥7, ♦10, ♦A, ♦K | pair
♥A, ♥7, ♦10, ♦A, ♠7 | two pairs
♥A, ♥7, ♦10, ♦A, ♦2 | pair
♥A, ♥7, ♦10, ♣7, ♦K | pair
♥A, ♥7, ♦10, ♣7, ♠7 | three of a kind
♥A, ♥7, ♦10, ♣7, ♦2 | pair
♥A, ♥7, ♦10, ♦K, ♠7 | pair
♥A, ♥7, ♦10, ♠7, ♦2 | pair
♥A, ♥7, ♦A, ♣7, ♦K | two pairs
♥A, ♥7, ♦A, ♣7, ♠7 | fullhouse
♥A, ♥7, ♦A, ♣7, ♦2 | two pairs
♥A, ♥7, ♦A, ♦K, ♠7 | two pairs
♥A, ♥7, ♦A, ♦K, ♦2 | pair
♥A, ♥7, ♦A, ♠7, ♦2 | two pairs
♥A, ♥7, ♣7, ♦K, ♠7 | three of a kind
♥A, ♥7, ♣7, ♦K, ♦2 | pair
♥A, ♥7, ♣7, ♠7, ♦2 | three of a kind
♥A, ♥7, ♦K, ♠7, ♦2 | pair
♥A, ♦10, ♦A, ♣7, ♦K | pair
♥A, ♦10, ♦A, ♣7, ♠7 | two pairs
♥A, ♦10, ♦A, ♣7, ♦2 | pair
♥A, ♦10, ♦A, ♦K, ♠7 | pair
♥A, ♦10, ♦A, ♦K, ♦2 | pair
♥A, ♦10, ♦A, ♠7, ♦2 | pair
♥A, ♦10, ♣7, ♦K, ♠7 | pair
♥A, ♦10, ♣7, ♠7, ♦2 | pair
♥A, ♦A, ♣7, ♦K, ♠7 | two pairs
♥A, ♦A, ♣7, ♦K, ♦2 | pair
♥A, ♦A, ♣7, ♠7, ♦2 | two pairs
♥A, ♦A, ♦K, ♠7, ♦2 | pair
♥A, ♣7, ♦K, ♠7, ♦2 | pair
♣4, ♠K, ♦8, ♥7, ♣7 | pair
♣4, ♠K, ♦8, ♥7, ♦K | pair
♣4, ♠K, ♦8, ♥7, ♠7 | pair
♣4, ♠K, ♦8, ♦10, ♦K | pair
♣4, ♠K, ♦8, ♦A, ♦K | pair
♣4, ♠K, ♦8, ♣7, ♦K | pair
♣4, ♠K, ♦8, ♣7, ♠7 | pair
♣4, ♠K, ♦8, ♦K, ♠7 | pair
♣4, ♠K, ♦8, ♦K, ♦2 | pair
♣4, ♠K, ♥7, ♦10, ♣7 | pair
♣4, ♠K, ♥7, ♦10, ♦K | pair
♣4, ♠K, ♥7, ♦10, ♠7 | pair
♣4, ♠K, ♥7, ♦A, ♣7 | pair
♣4, ♠K, ♥7, ♦A, ♦K | pair
♣4, ♠K, ♥7, ♦A, ♠7 | pair
♣4, ♠K, ♥7, ♣7, ♦K | two pairs
♣4, ♠K, ♥7, ♣7, ♠7 | three of a kind
♣4, ♠K, ♥7, ♣7, ♦2 | pair
♣4, ♠K, ♥7, ♦K, ♠7 | two pairs
♣4, ♠K, ♥7, ♦K, ♦2 | pair
♣4, ♠K, ♥7, ♠7, ♦2 | pair
♣4, ♠K, ♦10, ♦A, ♦K | pair
♣4, ♠K, ♦10, ♣7, ♦K | pair
♣4, ♠K, ♦10, ♣7, ♠7 | pair
♣4, ♠K, ♦10, ♦K, ♠7 | pair
♣4, ♠K, ♦10, ♦K, ♦2 | pair
♣4, ♠K, ♦A, ♣7, ♦K | pair
♣4, ♠K, ♦A, ♣7, ♠7 | pair
♣4, ♠K, ♦A, ♦K, ♠7 | pair
♣4, ♠K, ♦A, ♦K, ♦2 | pair
♣4, ♠K, ♣7, ♦K, ♠7 | two pairs
♣4, ♠K, ♣7, ♦K, ♦2 | pair
♣4, ♠K, ♣7, ♠7, ♦2 | pair
♣4, ♠K, ♦K, ♠7, ♦2 | pair
♣4, ♦8, ♥7, ♦10, ♣7 | pair
♣4, ♦8, ♥7, ♦10, ♠7 | pair
♣4, ♦8, ♥7, ♦A, ♣7 | pair
♣4, ♦8, ♥7, ♦A, ♠7 | pair
♣4, ♦8, ♥7, ♣7, ♦K | pair
♣4, ♦8, ♥7, ♣7, ♠7 | three of a kind
♣4, ♦8, ♥7, ♣7, ♦2 | pair
♣4, ♦8, ♥7, ♦K, ♠7 | pair
♣4, ♦8, ♥7, ♠7, ♦2 | pair
♣4, ♦8, ♦10, ♣7, ♠7 | pair
♣4, ♦8, ♦A, ♣7, ♠7 | pair
♣4, ♦8, ♣7, ♦K, ♠7 | pair
♣4, ♦8, ♣7, ♠7, ♦2 | pair
♣4, ♥7, ♦10, ♦A, ♣7 | pair
♣4, ♥7, ♦10, ♦A, ♠7 | pair
♣4, ♥7, ♦10, ♣7, ♦K | pair
♣4, ♥7, ♦10, ♣7, ♠7 | three of a kind
♣4, ♥7, ♦10, ♣7, ♦2 | pair
♣4, ♥7, ♦10, ♦K, ♠7 | pair
♣4, ♥7, ♦10, ♠7, ♦2 | pair
♣4, ♥7, ♦A, ♣7, ♦K | pair
♣4, ♥7, ♦A, ♣7, ♠7 | three of a kind
♣4, ♥7, ♦A, ♣7, ♦2 | pair
♣4, ♥7, ♦A, ♦K, ♠7 | pair
♣4, ♥7, ♦A, ♠7, ♦2 | pair
♣4, ♥7, ♣7, ♦K, ♠7 | three of a kind
♣4, ♥7, ♣7, ♦K, ♦2 | pair
♣4, ♥7, ♣7, ♠7, ♦2 | three of a kind
♣4, ♥7, ♦K, ♠7, ♦2 | pair
♣4, ♦10, ♦A, ♣7, ♠7 | pair
♣4, ♦10, ♣7, ♦K, ♠7 | pair
