♥4,♠4,♣7,♥6,♣3 | Pair
♥4,♠4,♣7,♠2,♣2 | Two Pairs
♥4,♠4,♣7,♠2,♥Q | Pair
♥4,♠4,♣7,♦T,♣2 | Pair
♥4,♠4,♣7,♦T,♥Q | Pair
♥4,♠4,♣7,♣2,♥Q | Pair
♥4,♠4,♥6,♣3,♠3 | Two Pairs
♥4,♠4,♥6,♣3,♦8 | Pair
♥4,♠4,♥6,♣3,♦2 | Pair
♥4,♠4,♥6,♣3,♠8 | Pair
♥4,♠4,♥6,♣3,♥J | Pair
♥4,♠4,♥6,♣3,♠2 | Pair
♥4,♠4,♥6,♣3,♦T | Pair
♥4,♠4,♥6,♣3,♣2 | Pair
♥4,♠4,♥6,♣3,♥Q | Pair
♥4,♠4,♥6,♠3,♦8 | Pair
♥4,♠4,♥6,♠3,♦2 | Pair
♥4,♠4,♥6,♠3,♠8 | Pair
♥4,♠4,♥6,♠3,♥J | Pair
♥4,♠4,♥6,♠3,♠2 | Pair
♥4,♠4,♥6,♠3,♦T | Pair
♥4,♠4,♥6,♠3,♣2 | Pair
♥4,♠4,♥6,♠3,♥Q | Pair
♥4,♠4,♥6,♦8,♦2 | Pair
♥4,♠4,♥6,♦8,♠8 | Two Pairs
♥4,♠4,♥6,♦8,♥J | Pair
♥4,♠4,♥6,♦8,♠2 | Pair
♥4,♠4,♥6,♦8,♦T | Pair
♥4,♠4,♥6,♦8,♣2 | Pair
♥4,♠4,♥6,♦8,♥Q | Pair
♥4,♠4,♥6,♦2,♠8 | Pair
♥4,♠4,♥6,♦2,♥J | Pair
♥4,♠4,♥6,♦2,♠2 | Two Pairs
♥4,♠4,♥6,♦2,♦T | Pair
♥4,♠4,♥6,♦2,♣2 | Two Pairs
♥4,♠4,♥6,♦2,♥Q | Pair
♥4,♠4,♥6,♠8,♥J | Pair
♥4,♠4,♥6,♠8,♠2 | Pair
♥4,♠4,♥6,♠8,♦T | Pair
♥4,♠4,♥6,♠8,♣2 | Pair
♥4,♠4,♥6,♠8,♥Q | Pair
♥4,♠4,♥6,♥J,♠2 | Pair
♥4,♠4,♥6,♥J,♦T | Pair
♥4,♠4,♥6,♥J,♣2 | Pair
♥4,♠4,♥6,♥J,♥Q | Pair
♥4,♠4,♥6,♠2,♦T | Pair
♥4,♠4,♥6,♠2,♣2 | Two Pairs
♥4,♠4,♥6,♠2,♥Q | Pair
♥4,♠4,♥6,♦T,♣2 | Pair
♥4,♠4,♥6,♦T,♥Q | Pair
♥4,♠4,♥6,♣2,♥Q | Pair
♥4,♠4,♣3,♠3,♦8 | Two Pairs
♥4,♠4,♣3,♠3,♦2 | Two Pairs
♥4,♠4,♣3,♠3,♠8 | Two Pairs
♥4,♠4,♣3,♠3,♥J | Two Pairs
♥4,♠4,♣3,♠3,♠2 | Two Pairs
♥4,♠4,♣3,♠3,♦T | Two Pairs
♥4,♠4,♣3,♠3,♣2 | Two Pairs
♥4,♠4,♣3,♠3,♥Q | Two Pairs
♥4,♠4,♣3,♦8,♦2 | Pair
♥4,♠4,♣3,♦8,♠8 | Two Pairs
♥4,♠4,♣3,♦8,♥J | Pair
♥4,♠4,♣3,♦8,♠2 | Pair
♥4,♠4,♣3,♦8,♦T | Pair
♥4,♠4,♣3,♦8,♣2 | Pair
♥4,♠4,♣3,♦8,♥Q | Pair
♥4,♠4,♣3,♦2,♠8 | Pair
♥4,♠4,♣3,♦2,♥J | Pair
♥4,♠4,♣3,♦2,♠2 | Two Pairs
♥4,♠4,♣3,♦2,♦T | Pair
♥4,♠4,♣3,♦2,♣2 | Two Pairs
♥4,♠4,♣3,♦2,♥Q | Pair
♥4,♠4,♣3,♠8,♥J | Pair
♥4,♠4,♣3,♠8,♠2 | Pair
♥4,♠4,♣3,♠8,♦T | Pair
♥4,♠4,♣3,♠8,♣2 | Pair
♥4,♠4,♣3,♠8,♥Q | Pair
♥4,♠4,♣3,♥J,♠2 | Pair
♥4,♠4,♣3,♥J,♦T | Pair
♥4,♠4,♣3,♥J,♣2 | Pair
♥4,♠4,♣3,♥J,♥Q | Pair
♥4,♠4,♣3,♠2,♦T | Pair
♥4,♠4,♣3,♠2,♣2 | Two Pairs
♥4,♠4,♣3,♠2,♥Q | Pair
♥4,♠4,♣3,♦T,♣2 | Pair
♥4,♠4,♣3,♦T,♥Q | Pair
♥4,♠4,♣3,♣2,♥Q | Pair
♥4,♠4,♠3,♦8,♦2 | Pair
♥4,♠4,♠3,♦8,♠8 | Two Pairs
♥4,♠4,♠3,♦8,♥J | Pair
♥4,♠4,♠3,♦8,♠2 | Pair
♥4,♠4,♠3,♦8,♦T | Pair
♥4,♠4,♠3,♦8,♣2 | Pair
♥4,♠4,♠3,♦8,♥Q | Pair
♥4,♠4,♠3,♦2,♠8 | Pair
♥4,♠4,♠3,♦2,♥J | Pair
♥4,♠4,♠3,♦2,♠2 | Two Pairs
♥4,♠4,♠3,♦2,♦T | Pair
♥4,♠4,♠3,♦2,♣2 | Two Pairs
♥4,♠4,♠3,♦2,♥Q | Pair
♥4,♠4,♠3,♠8,♥J | Pair
♥4,♠4,♠3,♠8,♠2 | Pair
♥4,♠4,♠3,♠8,♦T | Pair
♥4,♠4,♠3,♠8,♣2 | Pair
♥4,♠4,♠3,♠8,♥Q | Pair
♥4,♠4,♠3,♥J,♠2 | Pair
♥4,♠4,♠3,♥J,♦T | Pair
♥4,♠4,♠3,♥J,♣2 | Pair
♥4,♠4,♠3,♥J,♥Q | Pair
♥4,♠4,♠3,♠2,♦T | Pair
♥4,♠4,♠3,♠2,♣2 | Two Pairs
♥4,♠4,♠3,♠2,♥Q | Pair
♥4,♠4,♠3,♦T,♣2 | Pair
♥4,♠4,♠3,♦T,♥Q | Pair
♥4,♠4,♠3,♣2,♥Q | Pair
♥4,♠4,♦8,♦2,♠8 | Two Pairs
♥4,♠4,♦8,♦2,♥J | Pair
♥4,♠4,♦8,♦2,♠2 | Two Pairs
♥4,♠4,♦8,♦2,♦T | Pair
♥4,♠4,♦8,♦2,♣2 | Two Pairs
♥4,♠4,♦8,♦2,♥Q | Pair
♥4,♠4,♦8,♠8,♥J | Two Pairs
♥4,♠4,♦8,♠8,♠2 | Two Pairs
♥4,♠4,♦8,♠8,♦T | Two Pairs
♥4,♠4,♦8,♠8,♣2 | Two Pairs
♥4,♠4,♦8,♠8,♥Q | Two Pairs
♥4,♠4,♦8,♥J,♠2 | Pair
♥4,♠4,♦8,♥J,♦T | Pair
♥4,♠4,♦8,♥J,♣2 | Pair
♥4,♠4,♦8,♥J,♥Q | Pair
♥4,♠4,♦8,♠2,♦T | Pair
♥4,♠4,♦8,♠2,♣2 | Two Pairs
♥4,♠4,♦8,♠2,♥Q | Pair
♥4,♠4,♦8,♦T,♣2 | Pair
♥4,♠4,♦8,♦T,♥Q | Pair
♥4,♠4,♦8,♣2,♥Q | Pair
♥4,♠4,♦2,♠8,♥J | Pair
♥4,♠4,♦2,♠8,♠2 | Two Pairs
♥4,♠4,♦2,♠8,♦T | Pair
♥4,♠4,♦2,♠8,♣2 | Two Pairs
♥4,♠4,♦2,♠8,♥Q | Pair
♥4,♠4,♦2,♥J,♠2 | Two Pairs
♥4,♠4,♦2,♥J,♦T | Pair
♥4,♠4,♦2,♥J,♣2 | Two Pairs
♥4,♠4,♦2,♥J,♥Q | Pair
♥4,♠4,♦2,♠2,♦T | Two Pairs
♥4,♠4,♦2,♠2,♣2 | Full House
♥4,♠4,♦2,♠2,♥Q | Two Pairs
♥4,♠4,♦2,♦T,♣2 | Two Pairs
♥4,♠4,♦2,♦T,♥Q | Pair
♥4,♠4,♦2,♣2,♥Q | Two Pairs
♥4,♠4,♠8,♥J,♠2 | Pair
♥4,♠4,♠8,♥J,♦T | Pair
♥4,♠4,♠8,♥J,♣2 | Pair
♥4,♠4,♠8,♥J,♥Q | Pair
♥4,♠4,♠8,♠2,♦T | Pair
♥4,♠4,♠8,♠2,♣2 | Two Pairs
♥4,♠4,♠8,♠2,♥Q | Pair
♥4,♠4,♠8,♦T,♣2 | Pair
♥4,♠4,♠8,♦T,♥Q | Pair
♥4,♠4,♠8,♣2,♥Q | Pair
♥4,♠4,♥J,♠2,♦T | Pair
♥4,♠4,♥J,♠2,♣2 | Two Pairs
♥4,♠4,♥J,♠2,♥Q | Pair
♥4,♠4,♥J,♦T,♣2 | Pair
♥4,♠4,♥J,♦T,♥Q | Pair
♥4,♠4,♥J,♣2,♥Q | Pair
♥4,♠4,♠2,♦T,♣2 | Two Pairs
♥4,♠4,♠2,♦T,♥Q | Pair
♥4,♠4,♠2,♣2,♥Q | Two Pairs
♥4,♠4,♦T,♣2,♥Q | Pair
♥4,♣7,♥6,♣3,♠3 | Pair
♥4,♣7,♥6,♦8,♠8 | Pair
♥4,♣7,♥6,♦2,♠2 | Pair
♥4,♣7,♥6,♦2,♣2 | Pair
♥4,♣7,♥6,♠2,♣2 | Pair
♥4,♣7,♣3,♠3,♦8 | Pair
♥4,♣7,♣3,♠3,♦2 | Pair
♥4,♣7,♣3,♠3,♠8 | Pair
♥4,♣7,♣3,♠3,♥J | Pair
♥4,♣7,♣3,♠3,♠2 | Pair
♥4,♣7,♣3,♠3,♦T | Pair
♥4,♣7,♣3,♠3,♣2 | Pair
♥4,♣7,♣3,♠3,♥Q | Pair
♥4,♣7,♣3,♦8,♠8 | Pair
♥4,♣7,♣3,♦2,♠2 | Pair
♥4,♣7,♣3,♦2,♣2 | Pair
♥4,♣7,♣3,♠2,♣2 | Pair
♥4,♣7,♠3,♦8,♠8 | Pair
♥4,♣7,♠3,♦2,♠2 | Pair
♥4,♣7,♠3,♦2,♣2 | Pair
♥4,♣7,♠3,♠2,♣2 | Pair
♥4,♣7,♦8,♦2,♠8 | Pair
♥4,♣7,♦8,♦2,♠2 | Pair
♥4,♣7,♦8,♦2,♣2 | Pair
♥4,♣7,♦8,♠8,♥J | Pair
♥4,♣7,♦8,♠8,♠2 | Pair
♥4,♣7,♦8,♠8,♦T | Pair
♥4,♣7,♦8,♠8,♣2 | Pair
♥4,♣7,♦8,♠8,♥Q | Pair
♥4,♣7,♦8,♠2,♣2 | Pair
♥4,♣7,♦2,♠8,♠2 | Pair
♥4,♣7,♦2,♠8,♣2 | Pair
♥4,♣7,♦2,♥J,♠2 | Pair
♥4,♣7,♦2,♥J,♣2 | Pair
♥4,♣7,♦2,♠2,♦T | Pair
♥4,♣7,♦2,♠2,♣2 | Full House
♥4,♣7,♦2,♠2,♥Q | Pair
♥4,♣7,♦2,♦T,♣2 | Pair
♥4,♣7,♦2,♣2,♥Q | Pair
♥4,♣7,♠8,♠2,♣2 | Pair
♥4,♣7,♥J,♠2,♣2 | Pair
♥4,♣7,♠2,♦T,♣2 | Pair
♥4,♣7,♠2,♣2,♥Q | Pair
♥4,♥6,♣3,♠3,♦8 | Pair
♥4,♥6,♣3,♠3,♦2 | Pair
♥4,♥6,♣3,♠3,♠8 | Pair
♥4,♥6,♣3,♠3,♥J | Pair
♥4,♥6,♣3,♠3,♠2 | Pair
♥4,♥6,♣3,♠3,♦T | Pair
♥4,♥6,♣3,♠3,♣2 | Pair
♥4,♥6,♣3,♠3,♥Q | Pair
♥4,♥6,♣3,♦8,♠8 | Pair
♥4,♥6,♣3,♦2,♠2 | Pair
♥4,♥6,♣3,♦2,♣2 | Pair
♥4,♥6,♣3,♠2,♣2 | Pair
♥4,♥6,♠3,♦8,♠8 | Pair
♥4,♥6,♠3,♦2,♠2 | Pair
♥4,♥6,♠3,♦2,♣2 | Pair
♥4,♥6,♠3,♠2,♣2 | Pair
♥4,♥6,♦8,♦2,♠8 | Pair
♥4,♥6,♦8,♦2,♠2 | Pair
♥4,♥6,♦8,♦2,♣2 | Pair
♥4,♥6,♦8,♠8,♥J | Pair
♥4,♥6,♦8,♠8,♠2 | Pair
♥4,♥6,♦8,♠8,♦T | Pair
♥4,♥6,♦8,♠8,♣2 | Pair
♥4,♥6,♦8,♠8,♥Q | Pair
♥4,♥6,♦8,♠2,♣2 | Pair
♥4,♥6,♦2,♠8,♠2 | Pair
♥4,♥6,♦2,♠8,♣2 | Pair
♥4,♥6,♦2,♥J,♠2 | Pair
♥4,♥6,♦2,♥J,♣2 | Pair
♥4,♥6,♦2,♠2,♦T | Pair
♥4,♥6,♦2,♠2,♣2 | Full House
♥4,♥6,♦2,♠2,♥Q | Pair
♥4,♥6,♦2,♦T,♣2 | Pair
♥4,♥6,♦2,♣2,♥Q | Pair
♥4,♥6,♠8,♠2,♣2 | Pair
♥4,♥6,♥J,♠2,♣2 | Pair
♥4,♥6,♠2,♦T,♣2 | Pair
♥4,♥6,♠2,♣2,♥Q | Pair
♥4,♣3,♠3,♦8,♦2 | Pair
♥4,♣3,♠3,♦8,♠8 | Two Pairs
♥4,♣3,♠3,♦8,♥J | Pair
♥4,♣3,♠3,♦8,♠2 | Pair
♥4,♣3,♠3,♦8,♦T | Pair
♥4,♣3,♠3,♦8,♣2 | Pair
♥4,♣3,♠3,♦8,♥Q | Pair
♥4,♣3,♠3,♦2,♠8 | Pair
♥4,♣3,♠3,♦2,♥J | Pair
♥4,♣3,♠3,♦2,♠2 | Two Pairs
♥4,♣3,♠3,♦2,♦T | Pair
♥4,♣3,♠3,♦2,♣2 | Two Pairs
♥4,♣3,♠3,♦2,♥Q | Pair
♥4,♣3,♠3,♠8,♥J | Pair
♥4,♣3,♠3,♠8,♠2 | Pair
♥4,♣3,♠3,♠8,♦T | Pair
♥4,♣3,♠3,♠8,♣2 | Pair
♥4,♣3,♠3,♠8,♥Q | Pair
♥4,♣3,♠3,♥J,♠2 | Pair
♥4,♣3,♠3,♥J,♦T | Pair
♥4,♣3,♠3,♥J,♣2 | Pair
♥4,♣3,♠3,♥J,♥Q | Pair
♥4,♣3,♠3,♠2,♦T | Pair
♥4,♣3,♠3,♠2,♣2 | Two Pairs
♥4,♣3,♠3,♠2,♥Q | Pair
♥4,♣3,♠3,♦T,♣2 | Pair
♥4,♣3,♠3,♦T,♥Q | Pair
♥4,♣3,♠3,♣2,♥Q | Pair
♥4,♣3,♦8,♦2,♠8 | Pair
♥4,♣3,♦8,♦2,♠2 | Pair
♥4,♣3,♦8,♦2,♣2 | Pair
♥4,♣3,♦8,♠8,♥J | Pair
♥4,♣3,♦8,♠8,♠2 | Pair
♥4,♣3,♦8,♠8,♦T | Pair
♥4,♣3,♦8,♠8,♣2 | Pair
♥4,♣3,♦8,♠8,♥Q | Pair
♥4,♣3,♦8,♠2,♣2 | Pair
♥4,♣3,♦2,♠8,♠2 | Pair
♥4,♣3,♦2,♠8,♣2 | Pair
♥4,♣3,♦2,♥J,♠2 | Pair
♥4,♣3,♦2,♥J,♣2 | Pair
♥4,♣3,♦2,♠2,♦T | Pair
♥4,♣3,♦2,♠2,♣2 | Full House
♥4,♣3,♦2,♠2,♥Q | Pair
♥4,♣3,♦2,♦T,♣2 | Pair
♥4,♣3,♦2,♣2,♥Q | Pair
♥4,♣3,♠8,♠2,♣2 | Pair
♥4,♣3,♥J,♠2,♣2 | Pair
♥4,♣3,♠2,♦T,♣2 | Pair
♥4,♣3,♠2,♣2,♥Q | Pair
♥4,♠3,♦8,♦2,♠8 | Pair
♥4,♠3,♦8,♦2,♠2 | Pair
♥4,♠3,♦8,♦2,♣2 | Pair
♥4,♠3,♦8,♠8,♥J | Pair
♥4,♠3,♦8,♠8,♠2 | Pair
♥4,♠3,♦8,♠8,♦T | Pair
♥4,♠3,♦8,♠8,♣2 | Pair
♥4,♠3,♦8,♠8,♥Q | Pair
♥4,♠3,♦8,♠2,♣2 | Pair
♥4,♠3,♦2,♠8,♠2 | Pair
♥4,♠3,♦2,♠8,♣2 | Pair
♥4,♠3,♦2,♥J,♠2 | Pair
♥4,♠3,♦2,♥J,♣2 | Pair
♥4,♠3,♦2,♠2,♦T | Pair
♥4,♠3,♦2,♠2,♣2 | Full House
♥4,♠3,♦2,♠2,♥Q | Pair
♥4,♠3,♦2,♦T,♣2 | Pair
♥4,♠3,♦2,♣2,♥Q | Pair
♥4,♠3,♠8,♠2,♣2 | Pair
♥4,♠3,♥J,♠2,♣2 | Pair
♥4,♠3,♠2,♦T,♣2 | Pair
♥4,♠3,♠2,♣2,♥Q | Pair
♥4,♦8,♦2,♠8,♥J | Pair
♥4,♦8,♦2,♠8,♠2 | Two Pairs
♥4,♦8,♦2,♠8,♦T | Pair
♥4,♦8,♦2,♠8,♣2 | Two Pairs
♥4,♦8,♦2,♠8,♥Q | Pair
♥4,♦8,♦2,♥J,♠2 | Pair
♥4,♦8,♦2,♥J,♣2 | Pair
♥4,♦8,♦2,♠2,♦T | Pair
♥4,♦8,♦2,♠2,♣2 | Full House
♥4,♦8,♦2,♠2,♥Q | Pair
♥4,♦8,♦2,♦T,♣2 | Pair
♥4,♦8,♦2,♣2,♥Q | Pair
♥4,♦8,♠8,♥J,♠2 | Pair
♥4,♦8,♠8,♥J,♦T | Pair
♥4,♦8,♠8,♥J,♣2 | Pair
♥4,♦8,♠8,♥J,♥Q | Pair
♥4,♦8,♠8,♠2,♦T | Pair
♥4,♦8,♠8,♠2,♣2 | Two Pairs
♥4,♦8,♠8,♠2,♥Q | Pair
♥4,♦8,♠8,♦T,♣2 | Pair
♥4,♦8,♠8,♦T,♥Q | Pair
♥4,♦8,♠8,♣2,♥Q | Pair
♥4,♦8,♥J,♠2,♣2 | Pair
♥4,♦8,♠2,♦T,♣2 | Pair
♥4,♦8,♠2,♣2,♥Q | Pair
♥4,♦2,♠8,♥J,♠2 | Pair
♥4,♦2,♠8,♥J,♣2 | Pair
♥4,♦2,♠8,♠2,♦T | Pair
♥4,♦2,♠8,♠2,♣2 | Full House
♥4,♦2,♠8,♠2,♥Q | Pair
♥4,♦2,♠8,♦T,♣2 | Pair
♥4,♦2,♠8,♣2,♥Q | Pair
♥4,♦2,♥J,♠2,♦T | Pair
♥4,♦2,♥J,♠2,♣2 | Full House
♥4,♦2,♥J,♠2,♥Q | Pair
♥4,♦2,♥J,♦T,♣2 | Pair
♥4,♦2,♥J,♣2,♥Q | Pair
♥4,♦2,♠2,♦T,♣2 | Full House
♥4,♦2,♠2,♦T,♥Q | Pair
♥4,♦2,♠2,♣2,♥Q | Full House
♥4,♦2,♦T,♣2,♥Q | Pair
♥4,♠8,♥J,♠2,♣2 | Pair
♥4,♠8,♠2,♦T,♣2 | Pair
♥4,♠8,♠2,♣2,♥Q | Pair
♥4,♥J,♠2,♦T,♣2 | Pair
♥4,♥J,♠2,♣2,♥Q | Pair
♥4,♠2,♦T,♣2,♥Q | Pair
♠4,♣7,♥6,♣3,♠3 | Pair
♠4,♣7,♥6,♦8,♠8 | Pair
♠4,♣7,♥6,♦2,♠2 | Pair
♠4,♣7,♥6,♦2,♣2 | Pair
♠4,♣7,♥6,♠2,♣2 | Pair
♠4,♣7,♣3,♠3,♦8 | Pair
♠4,♣7,♣3,♠3,♦2 | Pair
♠4,♣7,♣3,♠3,♠8 | Pair
♠4,♣7,♣3,♠3,♥J | Pair
♠4,♣7,♣3,♠3,♠2 | Pair
♠4,♣7,♣3,♠3,♦T | Pair
♠4,♣7,♣3,♠3,♣2 | Pair
♠4,♣7,♣3,♠3,♥Q | Pair
♠4,♣7,♣3,♦8,♠8 | Pair
♠4,♣7,♣3,♦2,♠2 | Pair
♠4,♣7,♣3,♦2,♣2 | Pair
♠4,♣7,♣3,♠2,♣2 | Pair
♠4,♣7,♠3,♦8,♠8 | Pair
♠4,♣7,♠3,♦2,♠2 | Pair
♠4,♣7,♠3,♦2,♣2 | Pair
♠4,♣7,♠3,♠2,♣2 | Pair
♠4,♣7,♦8,♦2,♠8 | Pair
♠4,♣7,♦8,♦2,♠2 | Pair
♠4,♣7,♦8,♦2,♣2 | Pair
♠4,♣7,♦8,♠8,♥J | Pair
♠4,♣7,♦8,♠8,♠2 | Pair
♠4,♣7,♦8,♠8,♦T | Pair
♠4,♣7,♦8,♠8,♣2 | Pair
♠4,♣7,♦8,♠8,♥Q | Pair
♠4,♣7,♦8,♠2,♣2 | Pair
♠4,♣7,♦2,♠8,♠2 | Pair
♠4,♣7,♦2,♠8,♣2 | Pair
♠4,♣7,♦2,♥J,♠2 | Pair
♠4,♣7,♦2,♥J,♣2 | Pair
♠4,♣7,♦2,♠2,♦T | Pair
♠4,♣7,♦2,♠2,♣2 | Full House
♠4,♣7,♦2,♠2,♥Q | Pair
♠4,♣7,♦2,♦T,♣2 | Pair
♠4,♣7,♦2,♣2,♥Q | Pair
♠4,♣7,♠8,♠2,♣2 | Pair
♠4,♣7,♥J,♠2,♣2 | Pair
♠4,♣7,♠2,♦T,♣2 | Pair
♠4,♣7,♠2,♣2,♥Q | Pair
♠4,♥6,♣3,♠3,♦8 | Pair
♠4,♥6,♣3,♠3,♦2 | Pair
♠4,♥6,♣3,♠3,♠8 | Pair
♠4,♥6,♣3,♠3,♥J | Pair
♠4,♥6,♣3,♠3,♠2 | Pair
♠4,♥6,♣3,♠3,♦T | Pair
♠4,♥6,♣3,♠3,♣2 | Pair
♠4,♥6,♣3,♠3,♥Q | Pair
♠4,♥6,♣3,♦8,♠8 | Pair
♠4,♥6,♣3,♦2,♠2 | Pair
♠4,♥6,♣3,♦2,♣2 | Pair
♠4,♥6,♣3,♠2,♣2 | Pair
♠4,♥6,♠3,♦8,♠8 | Pair
♠4,♥6,♠3,♦2,♠2 | Pair
♠4,♥6,♠3,♦2,♣2 | Pair
♠4,♥6,♠3,♠2,♣2 | Pair
♠4,♥6,♦8,♦2,♠8 | Pair
♠4,♥6,♦8,♦2,♠2 | Pair
♠4,♥6,♦8,♦2,♣2 | Pair
♠4,♥6,♦8,♠8,♥J | Pair
♠4,♥6,♦8,♠8,♠2 | Pair
♠4,♥6,♦8,♠8,♦T | Pair
♠4,♥6,♦8,♠8,♣2 | Pair
♠4,♥6,♦8,♠8,♥Q | Pair
♠4,♥6,♦8,♠2,♣2 | Pair
♠4,♥6,♦2,♠8,♠2 | Pair
♠4,♥6,♦2,♠8,♣2 | Pair
♠4,♥6,♦2,♥J,♠2 | Pair
♠4,♥6,♦2,♥J,♣2 | Pair
♠4,♥6,♦2,♠2,♦T | Pair
♠4,♥6,♦2,♠2,♣2 | Full House
♠4,♥6,♦2,♠2,♥Q | Pair
♠4,♥6,♦2,♦T,♣2 | Pair
♠4,♥6,♦2,♣2,♥Q | Pair
♠4,♥6,♠8,♠2,♣2 | Pair
♠4,♥6,♥J,♠2,♣2 | Pair
♠4,♥6,♠2,♦T,♣2 | Pair
♠4,♥6,♠2,♣2,♥Q | Pair
♠4,♣3,♠3,♦8,♦2 | Pair
♠4,♣3,♠3,♦8,♠8 | Two Pairs
♠4,♣3,♠3,♦8,♥J | Pair
♠4,♣3,♠3,♦8,♠2 | Pair
♠4,♣3,♠3,♦8,♦T | Pair
♠4,♣3,♠3,♦8,♣2 | Pair
♠4,♣3,♠3,♦8,♥Q | Pair
♠4,♣3,♠3,♦2,♠8 | Pair
♠4,♣3,♠3,♦2,♥J | Pair
♠4,♣3,♠3,♦2,♠2 | Two Pairs
♠4,♣3,♠3,♦2,♦T | Pair
♠4,♣3,♠3,♦2,♣2 | Two Pairs
♠4,♣3,♠3,♦2,♥Q | Pair
♠4,♣3,♠3,♠8,♥J | Pair
♠4,♣3,♠3,♠8,♠2 | Pair
♠4,♣3,♠3,♠8,♦T | Pair
♠4,♣3,♠3,♠8,♣2 | Pair
♠4,♣3,♠3,♠8,♥Q | Pair
♠4,♣3,♠3,♥J,♠2 | Pair
♠4,♣3,♠3,♥J,♦T | Pair
♠4,♣3,♠3,♥J,♣2 | Pair
♠4,♣3,♠3,♥J,♥Q | Pair
♠4,♣3,♠3,♠2,♦T | Pair
♠4,♣3,♠3,♠2,♣2 | Two Pairs
♠4,♣3,♠3,♠2,♥Q | Pair
♠4,♣3,♠3,♦T,♣2 | Pair
♠4,♣3,♠3,♦T,♥Q | Pair
♠4,♣3,♠3,♣2,♥Q | Pair
♠4,♣3,♦8,♦2,♠8 | Pair
♠4,♣3,♦8,♦2,♠2 | Pair
♠4,♣3,♦8,♦2,♣2 | Pair
♠4,♣3,♦8,♠8,♥J | Pair
♠4,♣3,♦8,♠8,♠2 | Pair
♠4,♣3,♦8,♠8,♦T | Pair
♠4,♣3,♦8,♠8,♣2 | Pair
♠4,♣3,♦8,♠8,♥Q | Pair
♠4,♣3,♦8,♠2,♣2 | Pair
♠4,♣3,♦2,♠8,♠2 | Pair
♠4,♣3,♦2,♠8,♣2 | Pair
♠4,♣3,♦2,♥J,♠2 | Pair
♠4,♣3,♦2,♥J,♣2 | Pair
♠4,♣3,♦2,♠2,♦T | Pair
♠4,♣3,♦2,♠2,♣2 | Full House
♠4,♣3,♦2,♠2,♥Q | Pair
♠4,♣3,♦2,♦T,♣2 | Pair
♠4,♣3,♦2,♣2,♥Q | Pair
♠4,♣3,♠8,♠2,♣2 | Pair
♠4,♣3,♥J,♠2,♣2 | Pair
♠4,♣3,♠2,♦T,♣2 | Pair
♠4,♣3,♠2,♣2,♥Q | Pair
♠4,♠3,♦8,♦2,♠8 | Pair
♠4,♠3,♦8,♦2,♠2 | Pair
♠4,♠3,♦8,♦2,♣2 | Pair
♠4,♠3,♦8,♠8,♥J | Pair
♠4,♠3,♦8,♠8,♠2 | Pair
