♥Q,♣J,♦7,♥8,♣Q | Pair
♥Q,♥8,♠9,♣Q,♣9 | Two Pairs
♥Q,♥8,♠9,♣Q,♠Q | Full House
♥Q,♥8,♠9,♥T,♣9 | Pair
♥Q,♥8,♠9,♥T,♠Q | Pair
♥Q,♥8,♠9,♥2,♣9 | Pair
♥Q,♥8,♠9,♥2,♠Q | Pair
♥Q,♥8,♠9,♣9,♠Q | Two Pairs
♥Q,♥8,♣Q,♥T,♥2 | Pair
♥Q,♥8,♣Q,♥T,♣9 | Pair
♥Q,♥8,♣Q,♥T,♠Q | Full House
♥Q,♥8,♣Q,♥2,♣9 | Pair
♥Q,♥8,♣Q,♥2,♠Q | Full House
♥Q,♥8,♣Q,♣9,♠Q | Full House
♥Q,♥8,♥T,♥2,♠Q | Pair
♥Q,♥8,♥T,♣9,♠Q | Pair
♥Q,♥8,♥2,♣9,♠Q | Pair
♥Q,♠9,♣Q,♥T,♥2 | Pair
♥Q,♠9,♣Q,♥T,♣9 | Two Pairs
♥Q,♠9,♣Q,♥T,♠Q | Full House
♥Q,♠9,♣Q,♥2,♣9 | Two Pairs
♥Q,♠9,♣Q,♥2,♠Q | Full House
♥Q,♠9,♣Q,♣9,♠Q | Full House
♥Q,♠9,♥T,♥2,♣9 | Pair
♥Q,♠9,♥T,♥2,♠Q | Pair
♥Q,♠9,♥T,♣9,♠Q | Two Pairs
♥Q,♠9,♥2,♣9,♠Q | Two Pairs
♥Q,♣Q,♥T,♥2,♣9 | Pair
♥Q,♣Q,♥T,♥2,♠Q | Full House
♥Q,♣Q,♥T,♣9,♠Q | Full House
♥Q,♣Q,♥2,♣9,♠Q | Full House
♥Q,♥T,♥2,♣9,♠Q | Pair
♣J,♦7,♥8,♠9,♣9 | Pair
♣J,♦7,♥8,♣Q,♠Q | Pair
♣J,♦7,♠9,♣Q,♣9 | Pair
♣J,♦7,♠9,♣Q,♠Q | Pair
♣J,♦7,♠9,♥T,♣9 | Pair
♣J,♦7,♠9,♥2,♣9 | Pair
♣J,♦7,♠9,♣9,♠Q | Pair
♣J,♦7,♣Q,♥T,♠Q | Pair
♣J,♦7,♣Q,♥2,♠Q | Pair
♣J,♦7,♣Q,♣9,♠Q | Pair
♣J,♥8,♠9,♣Q,♣9 | Pair
♣J,♥8,♠9,♣Q,♠Q | Pair
♣J,♥8,♠9,♥T,♣9 | Pair
♣J,♥8,♠9,♥2,♣9 | Pair
♣J,♥8,♠9,♣9,♠Q | Pair
♣J,♥8,♣Q,♥T,♠Q | Pair
♣J,♥8,♣Q,♥2,♠Q | Pair
♣J,♥8,♣Q,♣9,♠Q | Pair
♣J,♠9,♣Q,♥T,♣9 | Pair
♣J,♠9,♣Q,♥T,♠Q | Pair
♣J,♠9,♣Q,♥2,♣9 | Pair
♣J,♠9,♣Q,♥2,♠Q | Pair
♣J,♠9,♣Q,♣9,♠Q | Two Pairs
♣J,♠9,♥T,♥2,♣9 | Pair
♣J,♠9,♥T,♣9,♠Q | Pair
♣J,♠9,♥2,♣9,♠Q | Pair
♣J,♣Q,♥T,♥2,♠Q | Pair
♣J,♣Q,♥T,♣9,♠Q | Pair
♣J,♣Q,♥2,♣9,♠Q | Pair
♦7,♥8,♠9,♣Q,♣9 | Pair
♦7,♥8,♠9,♣Q,♠Q | Pair
♦7,♥8,♠9,♥T,♣9 | Pair
♦7,♥8,♠9,♥2,♣9 | Pair
♦7,♥8,♠9,♣9,♠Q | Pair
♦7,♥8,♣Q,♥T,♠Q | Pair
♦7,♥8,♣Q,♥2,♠Q | Pair
♦7,♥8,♣Q,♣9,♠Q | Pair
♦7,♠9,♣Q,♥T,♣9 | Pair
♦7,♠9,♣Q,♥T,♠Q | Pair
♦7,♠9,♣Q,♥2,♣9 | Pair
♦7,♠9,♣Q,♥2,♠Q | Pair
♦7,♠9,♣Q,♣9,♠Q | Two Pairs
♦7,♠9,♥T,♥2,♣9 | Pair
♦7,♠9,♥T,♣9,♠Q | Pair
♦7,♠9,♥2,♣9,♠Q | Pair
♦7,♣Q,♥T,♥2,♠Q | Pair
♦7,♣Q,♥T,♣9,♠Q | Pair
♦7,♣Q,♥2,♣9,♠Q | Pair
♥8,♠9,♣Q,♥T,♣9 | Pair
♥8,♠9,♣Q,♥T,♠Q | Pair
♥8,♠9,♣Q,♥2,♣9 | Pair
♥8,♠9,♣Q,♥2,♠Q | Pair
♥8,♠9,♣Q,♣9,♠Q | Two Pairs
♥8,♠9,♥T,♥2,♣9 | Pair
♥8,♠9,♥T,♣9,♠Q | Pair
♥8,♠9,♥2,♣9,♠Q | Pair
♥8,♣Q,♥T,♥2,♠Q | Pair
♥8,♣Q,♥T,♣9,♠Q | Pair
♥8,♣Q,♥2,♣9,♠Q | Pair
♠9,♣Q,♥T,♥2,♣9 | Pair
♠9,♣Q,♥T,♥2,♠Q | Pair
♠9,♣Q,♥T,♣9,♠Q | Two Pairs
♠9,♣Q,♥2,♣9,♠Q | Two Pairs
♠9,♥T,♥2,♣9,♠Q | Pair
♣Q,♥T,♥2,♣9,♠Q | Pair
