♣Q,♥4,♣4,♠J,♥T | Pair
♣Q,♠J,♥T,♣J,♥2 | Pair
♣Q,♠J,♥T,♦T,♥2 | Pair
♣Q,♠J,♠8,♣K,♦8 | Pair
♣Q,♠J,♠8,♣K,♣J | Pair
♣Q,♠J,♠8,♥6,♠6 | Pair
♣Q,♠J,♠8,♥6,♦8 | Pair
♣Q,♠J,♠8,♥6,♣J | Pair
♣Q,♠J,♠8,♠6,♦8 | Pair
♣Q,♠J,♠8,♠6,♣J | Pair
♣Q,♠J,♠8,♦8,♣J | Two Pairs
♣Q,♠J,♠8,♦8,♦T | Pair
♣Q,♠J,♠8,♦8,♥2 | Pair
♣Q,♠J,♠8,♣J,♦T | Pair
♣Q,♠J,♠8,♣J,♥2 | Pair
♣Q,♠J,♣K,♥6,♠6 | Pair
♣Q,♠J,♣K,♥6,♣J | Pair
♣Q,♠J,♣K,♠6,♣J | Pair
♣Q,♠J,♣K,♦8,♣J | Pair
♣Q,♠J,♣K,♣J,♦T | Pair
♣Q,♠J,♣K,♣J,♥2 | Pair
♣Q,♠J,♥6,♠6,♦8 | Pair
♣Q,♠J,♥6,♠6,♣J | Two Pairs
♣Q,♠J,♥6,♠6,♦T | Pair
♣Q,♠J,♥6,♠6,♥2 | Pair
♣Q,♠J,♥6,♦8,♣J | Pair
♣Q,♠J,♥6,♣J,♦T | Pair
♣Q,♠J,♥6,♣J,♥2 | Pair
♣Q,♠J,♠6,♦8,♣J | Pair
♣Q,♠J,♠6,♣J,♦T | Pair
♣Q,♠J,♠6,♣J,♥2 | Pair
♣Q,♠J,♦8,♣J,♦T | Pair
♣Q,♠J,♦8,♣J,♥2 | Pair
♣Q,♠J,♣J,♦T,♥2 | Pair
♣Q,♥T,♠8,♣K,♦8 | Pair
♣Q,♥T,♠8,♣K,♦T | Pair
♣Q,♥T,♠8,♥6,♠6 | Pair
♣Q,♥T,♠8,♥6,♦8 | Pair
♣Q,♥T,♠8,♥6,♦T | Pair
♣Q,♥T,♠8,♠6,♦8 | Pair
♣Q,♥T,♠8,♠6,♦T | Pair
♣Q,♥T,♠8,♦8,♣J | Pair
♣Q,♥T,♠8,♦8,♦T | Two Pairs
♣Q,♥T,♠8,♦8,♥2 | Pair
♣Q,♥T,♠8,♣J,♦T | Pair
♣Q,♥T,♠8,♦T,♥2 | Pair
♣Q,♥T,♣K,♥6,♠6 | Pair
♣Q,♥T,♣K,♥6,♦T | Pair
♣Q,♥T,♣K,♠6,♦T | Pair
♣Q,♥T,♣K,♦8,♦T | Pair
♣Q,♥T,♣K,♣J,♦T | Pair
♣Q,♥T,♣K,♦T,♥2 | Pair
♣Q,♥T,♥6,♠6,♦8 | Pair
♣Q,♥T,♥6,♠6,♣J | Pair
♣Q,♥T,♥6,♠6,♦T | Two Pairs
♣Q,♥T,♥6,♠6,♥2 | Pair
♣Q,♥T,♥6,♦8,♦T | Pair
♣Q,♥T,♥6,♣J,♦T | Pair
♣Q,♥T,♥6,♦T,♥2 | Pair
♣Q,♥T,♠6,♦8,♦T | Pair
♣Q,♥T,♠6,♣J,♦T | Pair
♣Q,♥T,♠6,♦T,♥2 | Pair
♣Q,♥T,♦8,♣J,♦T | Pair
♣Q,♥T,♦8,♦T,♥2 | Pair
♣Q,♥T,♣J,♦T,♥2 | Pair
♣Q,♠8,♣K,♥6,♠6 | Pair
♣Q,♠8,♣K,♥6,♦8 | Pair
♣Q,♠8,♣K,♠6,♦8 | Pair
♣Q,♠8,♣K,♦8,♣J | Pair
♣Q,♠8,♣K,♦8,♦T | Pair
♣Q,♠8,♣K,♦8,♥2 | Pair
♣Q,♠8,♥6,♠6,♦8 | Two Pairs
♣Q,♠8,♥6,♠6,♣J | Pair
♣Q,♠8,♥6,♠6,♦T | Pair
♣Q,♠8,♥6,♠6,♥2 | Pair
♣Q,♠8,♥6,♦8,♣J | Pair
♣Q,♠8,♥6,♦8,♦T | Pair
♣Q,♠8,♥6,♦8,♥2 | Pair
♣Q,♠8,♠6,♦8,♣J | Pair
♣Q,♠8,♠6,♦8,♦T | Pair
♣Q,♠8,♠6,♦8,♥2 | Pair
♣Q,♠8,♦8,♣J,♦T | Pair
♣Q,♠8,♦8,♣J,♥2 | Pair
♣Q,♠8,♦8,♦T,♥2 | Pair
♣Q,♣K,♥6,♠6,♦8 | Pair
♣Q,♣K,♥6,♠6,♣J | Pair
♣Q,♣K,♥6,♠6,♦T | Pair
♣Q,♣K,♥6,♠6,♥2 | Pair
♣Q,♥6,♠6,♦8,♣J | Pair
♣Q,♥6,♠6,♦8,♦T | Pair
♣Q,♥6,♠6,♦8,♥2 | Pair
♣Q,♥6,♠6,♣J,♦T | Pair
♣Q,♥6,♠6,♣J,♥2 | Pair
♣Q,♥6,♠6,♦T,♥2 | Pair
♥4,♣4,♠J,♥T,♠8 | Pair
♥4,♣4,♠J,♥T,♣K | Pair
♥4,♣4,♠J,♥T,♥6 | Pair
♥4,♣4,♠J,♥T,♠6 | Pair
♥4,♣4,♠J,♥T,♦8 | Pair
♥4,♣4,♠J,♥T,♣J | Two Pairs
♥4,♣4,♠J,♥T,♦T | Two Pairs
♥4,♣4,♠J,♥T,♥2 | Pair
♥4,♣4,♠J,♠8,♣K | Pair
♥4,♣4,♠J,♠8,♥6 | Pair
♥4,♣4,♠J,♠8,♠6 | Pair
♥4,♣4,♠J,♠8,♦8 | Two Pairs
♥4,♣4,♠J,♠8,♣J | Two Pairs
♥4,♣4,♠J,♠8,♦T | Pair
♥4,♣4,♠J,♠8,♥2 | Pair
♥4,♣4,♠J,♣K,♥6 | Pair
♥4,♣4,♠J,♣K,♠6 | Pair
♥4,♣4,♠J,♣K,♦8 | Pair
♥4,♣4,♠J,♣K,♣J | Two Pairs
♥4,♣4,♠J,♣K,♦T | Pair
♥4,♣4,♠J,♣K,♥2 | Pair
♥4,♣4,♠J,♥6,♠6 | Two Pairs
♥4,♣4,♠J,♥6,♦8 | Pair
♥4,♣4,♠J,♥6,♣J | Two Pairs
♥4,♣4,♠J,♥6,♦T | Pair
♥4,♣4,♠J,♥6,♥2 | Pair
♥4,♣4,♠J,♠6,♦8 | Pair
♥4,♣4,♠J,♠6,♣J | Two Pairs
♥4,♣4,♠J,♠6,♦T | Pair
♥4,♣4,♠J,♠6,♥2 | Pair
♥4,♣4,♠J,♦8,♣J | Two Pairs
♥4,♣4,♠J,♦8,♦T | Pair
♥4,♣4,♠J,♦8,♥2 | Pair
♥4,♣4,♠J,♣J,♦T | Two Pairs
♥4,♣4,♠J,♣J,♥2 | Two Pairs
♥4,♣4,♠J,♦T,♥2 | Pair
♥4,♣4,♥T,♠8,♣K | Pair
♥4,♣4,♥T,♠8,♥6 | Pair
♥4,♣4,♥T,♠8,♠6 | Pair
♥4,♣4,♥T,♠8,♦8 | Two Pairs
♥4,♣4,♥T,♠8,♣J | Pair
♥4,♣4,♥T,♠8,♦T | Two Pairs
♥4,♣4,♥T,♠8,♥2 | Pair
♥4,♣4,♥T,♣K,♥6 | Pair
♥4,♣4,♥T,♣K,♠6 | Pair
♥4,♣4,♥T,♣K,♦8 | Pair
♥4,♣4,♥T,♣K,♣J | Pair
♥4,♣4,♥T,♣K,♦T | Two Pairs
♥4,♣4,♥T,♣K,♥2 | Pair
♥4,♣4,♥T,♥6,♠6 | Two Pairs
♥4,♣4,♥T,♥6,♦8 | Pair
♥4,♣4,♥T,♥6,♣J | Pair
♥4,♣4,♥T,♥6,♦T | Two Pairs
♥4,♣4,♥T,♥6,♥2 | Pair
♥4,♣4,♥T,♠6,♦8 | Pair
♥4,♣4,♥T,♠6,♣J | Pair
♥4,♣4,♥T,♠6,♦T | Two Pairs
♥4,♣4,♥T,♠6,♥2 | Pair
♥4,♣4,♥T,♦8,♣J | Pair
♥4,♣4,♥T,♦8,♦T | Two Pairs
♥4,♣4,♥T,♦8,♥2 | Pair
♥4,♣4,♥T,♣J,♦T | Two Pairs
♥4,♣4,♥T,♣J,♥2 | Pair
♥4,♣4,♥T,♦T,♥2 | Two Pairs
♥4,♣4,♠8,♣K,♥6 | Pair
♥4,♣4,♠8,♣K,♠6 | Pair
♥4,♣4,♠8,♣K,♦8 | Two Pairs
♥4,♣4,♠8,♣K,♣J | Pair
♥4,♣4,♠8,♣K,♦T | Pair
♥4,♣4,♠8,♣K,♥2 | Pair
♥4,♣4,♠8,♥6,♠6 | Two Pairs
♥4,♣4,♠8,♥6,♦8 | Two Pairs
♥4,♣4,♠8,♥6,♣J | Pair
♥4,♣4,♠8,♥6,♦T | Pair
♥4,♣4,♠8,♥6,♥2 | Pair
♥4,♣4,♠8,♠6,♦8 | Two Pairs
♥4,♣4,♠8,♠6,♣J | Pair
♥4,♣4,♠8,♠6,♦T | Pair
♥4,♣4,♠8,♠6,♥2 | Pair
♥4,♣4,♠8,♦8,♣J | Two Pairs
♥4,♣4,♠8,♦8,♦T | Two Pairs
♥4,♣4,♠8,♦8,♥2 | Two Pairs
♥4,♣4,♠8,♣J,♦T | Pair
♥4,♣4,♠8,♣J,♥2 | Pair
♥4,♣4,♠8,♦T,♥2 | Pair
♥4,♣4,♣K,♥6,♠6 | Two Pairs
♥4,♣4,♣K,♥6,♦8 | Pair
♥4,♣4,♣K,♥6,♣J | Pair
♥4,♣4,♣K,♥6,♦T | Pair
♥4,♣4,♣K,♥6,♥2 | Pair
♥4,♣4,♣K,♠6,♦8 | Pair
♥4,♣4,♣K,♠6,♣J | Pair
♥4,♣4,♣K,♠6,♦T | Pair
♥4,♣4,♣K,♠6,♥2 | Pair
♥4,♣4,♣K,♦8,♣J | Pair
♥4,♣4,♣K,♦8,♦T | Pair
♥4,♣4,♣K,♦8,♥2 | Pair
♥4,♣4,♣K,♣J,♦T | Pair
♥4,♣4,♣K,♣J,♥2 | Pair
♥4,♣4,♣K,♦T,♥2 | Pair
♥4,♣4,♥6,♠6,♦8 | Two Pairs
♥4,♣4,♥6,♠6,♣J | Two Pairs
♥4,♣4,♥6,♠6,♦T | Two Pairs
♥4,♣4,♥6,♠6,♥2 | Two Pairs
♥4,♣4,♥6,♦8,♣J | Pair
♥4,♣4,♥6,♦8,♦T | Pair
♥4,♣4,♥6,♦8,♥2 | Pair
♥4,♣4,♥6,♣J,♦T | Pair
♥4,♣4,♥6,♣J,♥2 | Pair
♥4,♣4,♥6,♦T,♥2 | Pair
♥4,♣4,♠6,♦8,♣J | Pair
♥4,♣4,♠6,♦8,♦T | Pair
♥4,♣4,♠6,♦8,♥2 | Pair
♥4,♣4,♠6,♣J,♦T | Pair
♥4,♣4,♠6,♣J,♥2 | Pair
♥4,♣4,♠6,♦T,♥2 | Pair
♥4,♣4,♦8,♣J,♦T | Pair
♥4,♣4,♦8,♣J,♥2 | Pair
♥4,♣4,♦8,♦T,♥2 | Pair
♥4,♣4,♣J,♦T,♥2 | Pair
♥4,♠J,♥T,♠8,♦8 | Pair
♥4,♠J,♥T,♠8,♣J | Pair
♥4,♠J,♥T,♠8,♦T | Pair
♥4,♠J,♥T,♣K,♣J | Pair
♥4,♠J,♥T,♣K,♦T | Pair
♥4,♠J,♥T,♥6,♠6 | Pair
♥4,♠J,♥T,♥6,♣J | Pair
♥4,♠J,♥T,♥6,♦T | Pair
♥4,♠J,♥T,♠6,♣J | Pair
♥4,♠J,♥T,♠6,♦T | Pair
♥4,♠J,♥T,♦8,♣J | Pair
♥4,♠J,♥T,♦8,♦T | Pair
♥4,♠J,♥T,♣J,♦T | Two Pairs
♥4,♠J,♥T,♣J,♥2 | Pair
♥4,♠J,♥T,♦T,♥2 | Pair
♥4,♠J,♠8,♣K,♦8 | Pair
♥4,♠J,♠8,♣K,♣J | Pair
♥4,♠J,♠8,♥6,♠6 | Pair
♥4,♠J,♠8,♥6,♦8 | Pair
♥4,♠J,♠8,♥6,♣J | Pair
♥4,♠J,♠8,♠6,♦8 | Pair
♥4,♠J,♠8,♠6,♣J | Pair
♥4,♠J,♠8,♦8,♣J | Two Pairs
♥4,♠J,♠8,♦8,♦T | Pair
♥4,♠J,♠8,♦8,♥2 | Pair
♥4,♠J,♠8,♣J,♦T | Pair
♥4,♠J,♠8,♣J,♥2 | Pair
♥4,♠J,♣K,♥6,♠6 | Pair
♥4,♠J,♣K,♥6,♣J | Pair
♥4,♠J,♣K,♠6,♣J | Pair
♥4,♠J,♣K,♦8,♣J | Pair
♥4,♠J,♣K,♣J,♦T | Pair
♥4,♠J,♣K,♣J,♥2 | Pair
♥4,♠J,♥6,♠6,♦8 | Pair
♥4,♠J,♥6,♠6,♣J | Two Pairs
♥4,♠J,♥6,♠6,♦T | Pair
♥4,♠J,♥6,♠6,♥2 | Pair
♥4,♠J,♥6,♦8,♣J | Pair
♥4,♠J,♥6,♣J,♦T | Pair
♥4,♠J,♥6,♣J,♥2 | Pair
♥4,♠J,♠6,♦8,♣J | Pair
♥4,♠J,♠6,♣J,♦T | Pair
♥4,♠J,♠6,♣J,♥2 | Pair
♥4,♠J,♦8,♣J,♦T | Pair
♥4,♠J,♦8,♣J,♥2 | Pair
♥4,♠J,♣J,♦T,♥2 | Pair
♥4,♥T,♠8,♣K,♦8 | Pair
♥4,♥T,♠8,♣K,♦T | Pair
♥4,♥T,♠8,♥6,♠6 | Pair
♥4,♥T,♠8,♥6,♦8 | Pair
♥4,♥T,♠8,♥6,♦T | Pair
♥4,♥T,♠8,♠6,♦8 | Pair
♥4,♥T,♠8,♠6,♦T | Pair
♥4,♥T,♠8,♦8,♣J | Pair
♥4,♥T,♠8,♦8,♦T | Two Pairs
♥4,♥T,♠8,♦8,♥2 | Pair
♥4,♥T,♠8,♣J,♦T | Pair
♥4,♥T,♠8,♦T,♥2 | Pair
♥4,♥T,♣K,♥6,♠6 | Pair
♥4,♥T,♣K,♥6,♦T | Pair
♥4,♥T,♣K,♠6,♦T | Pair
♥4,♥T,♣K,♦8,♦T | Pair
♥4,♥T,♣K,♣J,♦T | Pair
♥4,♥T,♣K,♦T,♥2 | Pair
♥4,♥T,♥6,♠6,♦8 | Pair
♥4,♥T,♥6,♠6,♣J | Pair
♥4,♥T,♥6,♠6,♦T | Two Pairs
♥4,♥T,♥6,♠6,♥2 | Pair
♥4,♥T,♥6,♦8,♦T | Pair
♥4,♥T,♥6,♣J,♦T | Pair
♥4,♥T,♥6,♦T,♥2 | Pair
♥4,♥T,♠6,♦8,♦T | Pair
♥4,♥T,♠6,♣J,♦T | Pair
♥4,♥T,♠6,♦T,♥2 | Pair
♥4,♥T,♦8,♣J,♦T | Pair
♥4,♥T,♦8,♦T,♥2 | Pair
♥4,♥T,♣J,♦T,♥2 | Pair
♥4,♠8,♣K,♥6,♠6 | Pair
♥4,♠8,♣K,♥6,♦8 | Pair
♥4,♠8,♣K,♠6,♦8 | Pair
♥4,♠8,♣K,♦8,♣J | Pair
♥4,♠8,♣K,♦8,♦T | Pair
♥4,♠8,♣K,♦8,♥2 | Pair
♥4,♠8,♥6,♠6,♦8 | Two Pairs
♥4,♠8,♥6,♠6,♣J | Pair
♥4,♠8,♥6,♠6,♦T | Pair
♥4,♠8,♥6,♠6,♥2 | Pair
♥4,♠8,♥6,♦8,♣J | Pair
♥4,♠8,♥6,♦8,♦T | Pair
♥4,♠8,♥6,♦8,♥2 | Pair
♥4,♠8,♠6,♦8,♣J | Pair
♥4,♠8,♠6,♦8,♦T | Pair
♥4,♠8,♠6,♦8,♥2 | Pair
♥4,♠8,♦8,♣J,♦T | Pair
♥4,♠8,♦8,♣J,♥2 | Pair
♥4,♠8,♦8,♦T,♥2 | Pair
♥4,♣K,♥6,♠6,♦8 | Pair
♥4,♣K,♥6,♠6,♣J | Pair
♥4,♣K,♥6,♠6,♦T | Pair
♥4,♣K,♥6,♠6,♥2 | Pair
♥4,♥6,♠6,♦8,♣J | Pair
♥4,♥6,♠6,♦8,♦T | Pair
♥4,♥6,♠6,♦8,♥2 | Pair
♥4,♥6,♠6,♣J,♦T | Pair
♥4,♥6,♠6,♣J,♥2 | Pair
♥4,♥6,♠6,♦T,♥2 | Pair
♣4,♠J,♥T,♠8,♦8 | Pair
♣4,♠J,♥T,♠8,♣J | Pair
♣4,♠J,♥T,♠8,♦T | Pair
♣4,♠J,♥T,♣K,♣J | Pair
♣4,♠J,♥T,♣K,♦T | Pair
♣4,♠J,♥T,♥6,♠6 | Pair
♣4,♠J,♥T,♥6,♣J | Pair
♣4,♠J,♥T,♥6,♦T | Pair
♣4,♠J,♥T,♠6,♣J | Pair
♣4,♠J,♥T,♠6,♦T | Pair
♣4,♠J,♥T,♦8,♣J | Pair
♣4,♠J,♥T,♦8,♦T | Pair
♣4,♠J,♥T,♣J,♦T | Two Pairs
♣4,♠J,♥T,♣J,♥2 | Pair
♣4,♠J,♥T,♦T,♥2 | Pair
♣4,♠J,♠8,♣K,♦8 | Pair
♣4,♠J,♠8,♣K,♣J | Pair
♣4,♠J,♠8,♥6,♠6 | Pair
♣4,♠J,♠8,♥6,♦8 | Pair
♣4,♠J,♠8,♥6,♣J | Pair
♣4,♠J,♠8,♠6,♦8 | Pair
♣4,♠J,♠8,♠6,♣J | Pair
♣4,♠J,♠8,♦8,♣J | Two Pairs
♣4,♠J,♠8,♦8,♦T | Pair
♣4,♠J,♠8,♦8,♥2 | Pair
♣4,♠J,♠8,♣J,♦T | Pair
♣4,♠J,♠8,♣J,♥2 | Pair
♣4,♠J,♣K,♥6,♠6 | Pair
♣4,♠J,♣K,♥6,♣J | Pair
♣4,♠J,♣K,♠6,♣J | Pair
♣4,♠J,♣K,♦8,♣J | Pair
♣4,♠J,♣K,♣J,♦T | Pair
♣4,♠J,♣K,♣J,♥2 | Pair
♣4,♠J,♥6,♠6,♦8 | Pair
♣4,♠J,♥6,♠6,♣J | Two Pairs
♣4,♠J,♥6,♠6,♦T | Pair
♣4,♠J,♥6,♠6,♥2 | Pair
♣4,♠J,♥6,♦8,♣J | Pair
♣4,♠J,♥6,♣J,♦T | Pair
♣4,♠J,♥6,♣J,♥2 | Pair
♣4,♠J,♠6,♦8,♣J | Pair
♣4,♠J,♠6,♣J,♦T | Pair
♣4,♠J,♠6,♣J,♥2 | Pair
♣4,♠J,♦8,♣J,♦T | Pair
♣4,♠J,♦8,♣J,♥2 | Pair
♣4,♠J,♣J,♦T,♥2 | Pair
♣4,♥T,♠8,♣K,♦8 | Pair
♣4,♥T,♠8,♣K,♦T | Pair
♣4,♥T,♠8,♥6,♠6 | Pair
♣4,♥T,♠8,♥6,♦8 | Pair
♣4,♥T,♠8,♥6,♦T | Pair
♣4,♥T,♠8,♠6,♦8 | Pair
♣4,♥T,♠8,♠6,♦T | Pair
♣4,♥T,♠8,♦8,♣J | Pair
♣4,♥T,♠8,♦8,♦T | Two Pairs
♣4,♥T,♠8,♦8,♥2 | Pair
♣4,♥T,♠8,♣J,♦T | Pair
♣4,♥T,♠8,♦T,♥2 | Pair
♣4,♥T,♣K,♥6,♠6 | Pair
♣4,♥T,♣K,♥6,♦T | Pair
♣4,♥T,♣K,♠6,♦T | Pair
♣4,♥T,♣K,♦8,♦T | Pair
♣4,♥T,♣K,♣J,♦T | Pair
♣4,♥T,♣K,♦T,♥2 | Pair
♣4,♥T,♥6,♠6,♦8 | Pair
♣4,♥T,♥6,♠6,♣J | Pair
♣4,♥T,♥6,♠6,♦T | Two Pairs
♣4,♥T,♥6,♠6,♥2 | Pair
♣4,♥T,♥6,♦8,♦T | Pair
♣4,♥T,♥6,♣J,♦T | Pair
♣4,♥T,♥6,♦T,♥2 | Pair
♣4,♥T,♠6,♦8,♦T | Pair
♣4,♥T,♠6,♣J,♦T | Pair
♣4,♥T,♠6,♦T,♥2 | Pair
♣4,♥T,♦8,♣J,♦T | Pair
♣4,♥T,♦8,♦T,♥2 | Pair
♣4,♥T,♣J,♦T,♥2 | Pair
♣4,♠8,♣K,♥6,♠6 | Pair
♣4,♠8,♣K,♥6,♦8 | Pair
♣4,♠8,♣K,♠6,♦8 | Pair
♣4,♠8,♣K,♦8,♣J | Pair
♣4,♠8,♣K,♦8,♦T | Pair
♣4,♠8,♣K,♦8,♥2 | Pair
♣4,♠8,♥6,♠6,♦8 | Two Pairs
♣4,♠8,♥6,♠6,♣J | Pair
♣4,♠8,♥6,♠6,♦T | Pair
♣4,♠8,♥6,♠6,♥2 | Pair
♣4,♠8,♥6,♦8,♣J | Pair
♣4,♠8,♥6,♦8,♦T | Pair
♣4,♠8,♥6,♦8,♥2 | Pair
♣4,♠8,♠6,♦8,♣J | Pair
♣4,♠8,♠6,♦8,♦T | Pair
♣4,♠8,♠6,♦8,♥2 | Pair
♣4,♠8,♦8,♣J,♦T | Pair
♣4,♠8,♦8,♣J,♥2 | Pair
♣4,♠8,♦8,♦T,♥2 | Pair
♣4,♣K,♥6,♠6,♦8 | Pair
♣4,♣K,♥6,♠6,♣J | Pair
♣4,♣K,♥6,♠6,♦T | Pair
♣4,♣K,♥6,♠6,♥2 | Pair
♣4,♥6,♠6,♦8,♣J | Pair
♣4,♥6,♠6,♦8,♦T | Pair
♣4,♥6,♠6,♦8,♥2 | Pair
♣4,♥6,♠6,♣J,♦T | Pair
♣4,♥6,♠6,♣J,♥2 | Pair
♣4,♥6,♠6,♦T,♥2 | Pair
♠J,♥T,♠8,♣K,♦8 | Pair
♠J,♥T,♠8,♣K,♣J | Pair
♠J,♥T,♠8,♣K,♦T | Pair
♠J,♥T,♠8,♥6,♠6 | Pair
♠J,♥T,♠8,♥6,♦8 | Pair
♠J,♥T,♠8,♥6,♣J | Pair
♠J,♥T,♠8,♥6,♦T | Pair
♠J,♥T,♠8,♠6,♦8 | Pair
