♦7,♠T,♥K,♣3,♥3 | Pair
♦7,♠T,♥3,♠7,♣A | Pair
♦7,♠T,♥3,♠7,♥4 | Pair
♦7,♠T,♥3,♠7,♣2 | Pair
♦7,♠T,♥3,♠7,♦Q | Pair
♦7,♠T,♥3,♠7,♣T | Two Pairs
♦7,♠T,♥3,♠7,♠A | Pair
♦7,♠T,♥3,♣A,♣T | Pair
♦7,♠T,♥3,♣A,♠A | Pair
♦7,♠T,♥3,♥4,♣T | Pair
♦7,♠T,♥3,♣2,♣T | Pair
♦7,♠T,♥3,♦Q,♣T | Pair
♦7,♠T,♥3,♣T,♠A | Pair
♦7,♠T,♠7,♣A,♥4 | Pair
♦7,♠T,♠7,♣A,♣2 | Pair
♦7,♠T,♠7,♣A,♦Q | Pair
♦7,♠T,♠7,♣A,♣T | Two Pairs
♦7,♠T,♠7,♣A,♠A | Two Pairs
♦7,♠T,♠7,♥4,♣2 | Pair
♦7,♠T,♠7,♥4,♦Q | Pair
♦7,♠T,♠7,♥4,♣T | Two Pairs
♦7,♠T,♠7,♥4,♠A | Pair
♦7,♠T,♠7,♣2,♦Q | Pair
♦7,♠T,♠7,♣2,♣T | Two Pairs
♦7,♠T,♠7,♣2,♠A | Pair
♦7,♠T,♠7,♦Q,♣T | Two Pairs
♦7,♠T,♠7,♦Q,♠A | Pair
♦7,♠T,♠7,♣T,♠A | Two Pairs
♦7,♠T,♣A,♥4,♣T | Pair
♦7,♠T,♣A,♥4,♠A | Pair
♦7,♠T,♣A,♣2,♣T | Pair
♦7,♠T,♣A,♣2,♠A | Pair
♦7,♠T,♣A,♦Q,♣T | Pair
♦7,♠T,♣A,♦Q,♠A | Pair
♦7,♠T,♣A,♣T,♠A | Two Pairs
♦7,♠T,♥4,♣2,♣T | Pair
♦7,♠T,♥4,♦Q,♣T | Pair
♦7,♠T,♥4,♣T,♠A | Pair
♦7,♠T,♣2,♦Q,♣T | Pair
♦7,♠T,♣2,♣T,♠A | Pair
♦7,♠T,♦Q,♣T,♠A | Pair
♦7,♥K,♣3,♠9,♥3 | Pair
♦7,♥K,♣3,♠9,♠7 | Pair
♦7,♥K,♣3,♥3,♠7 | Two Pairs
♦7,♥K,♣3,♥3,♣A | Pair
♦7,♥K,♣3,♥3,♥4 | Pair
♦7,♥K,♣3,♥3,♣2 | Pair
♦7,♥K,♣3,♥3,♦Q | Pair
♦7,♥K,♣3,♥3,♣T | Pair
♦7,♥K,♣3,♥3,♠A | Pair
♦7,♥K,♣3,♠7,♣A | Pair
♦7,♥K,♣3,♠7,♥4 | Pair
♦7,♥K,♣3,♠7,♣2 | Pair
♦7,♥K,♣3,♠7,♦Q | Pair
♦7,♥K,♣3,♠7,♣T | Pair
♦7,♥K,♣3,♠7,♠A | Pair
♦7,♥K,♣3,♣A,♠A | Pair
♦7,♥K,♠9,♥3,♠7 | Pair
♦7,♥K,♠9,♠7,♣A | Pair
♦7,♥K,♠9,♠7,♥4 | Pair
♦7,♥K,♠9,♠7,♣2 | Pair
♦7,♥K,♠9,♠7,♦Q | Pair
♦7,♥K,♠9,♠7,♣T | Pair
♦7,♥K,♠9,♠7,♠A | Pair
♦7,♥K,♠9,♣A,♠A | Pair
♦7,♥K,♥3,♠7,♣A | Pair
♦7,♥K,♥3,♠7,♥4 | Pair
♦7,♥K,♥3,♠7,♣2 | Pair
♦7,♥K,♥3,♠7,♦Q | Pair
♦7,♥K,♥3,♠7,♣T | Pair
♦7,♥K,♥3,♠7,♠A | Pair
♦7,♥K,♥3,♣A,♠A | Pair
♦7,♥K,♠7,♣A,♥4 | Pair
♦7,♥K,♠7,♣A,♣2 | Pair
♦7,♥K,♠7,♣A,♦Q | Pair
♦7,♥K,♠7,♣A,♣T | Pair
♦7,♥K,♠7,♣A,♠A | Two Pairs
♦7,♥K,♠7,♥4,♣2 | Pair
♦7,♥K,♠7,♥4,♦Q | Pair
♦7,♥K,♠7,♥4,♣T | Pair
♦7,♥K,♠7,♥4,♠A | Pair
♦7,♥K,♠7,♣2,♦Q | Pair
♦7,♥K,♠7,♣2,♣T | Pair
♦7,♥K,♠7,♣2,♠A | Pair
♦7,♥K,♠7,♦Q,♣T | Pair
♦7,♥K,♠7,♦Q,♠A | Pair
♦7,♥K,♠7,♣T,♠A | Pair
♦7,♥K,♣A,♥4,♠A | Pair
♦7,♥K,♣A,♣2,♠A | Pair
♦7,♥K,♣A,♦Q,♠A | Pair
♦7,♥K,♣A,♣T,♠A | Pair
♦7,♣3,♠9,♥3,♠7 | Two Pairs
♦7,♣3,♠9,♥3,♣A | Pair
♦7,♣3,♠9,♥3,♥4 | Pair
♦7,♣3,♠9,♥3,♣2 | Pair
♦7,♣3,♠9,♥3,♦Q | Pair
♦7,♣3,♠9,♥3,♣T | Pair
♦7,♣3,♠9,♥3,♠A | Pair
♦7,♣3,♠9,♠7,♣A | Pair
♦7,♣3,♠9,♠7,♥4 | Pair
♦7,♣3,♠9,♠7,♣2 | Pair
♦7,♣3,♠9,♠7,♦Q | Pair
♦7,♣3,♠9,♠7,♣T | Pair
♦7,♣3,♠9,♠7,♠A | Pair
♦7,♣3,♠9,♣A,♠A | Pair
♦7,♣3,♥3,♠7,♣A | Two Pairs
♦7,♣3,♥3,♠7,♥4 | Two Pairs
♦7,♣3,♥3,♠7,♣2 | Two Pairs
♦7,♣3,♥3,♠7,♦Q | Two Pairs
♦7,♣3,♥3,♠7,♣T | Two Pairs
♦7,♣3,♥3,♠7,♠A | Two Pairs
♦7,♣3,♥3,♣A,♥4 | Pair
♦7,♣3,♥3,♣A,♣2 | Pair
♦7,♣3,♥3,♣A,♦Q | Pair
♦7,♣3,♥3,♣A,♣T | Pair
♦7,♣3,♥3,♣A,♠A | Two Pairs
♦7,♣3,♥3,♥4,♣2 | Pair
♦7,♣3,♥3,♥4,♦Q | Pair
♦7,♣3,♥3,♥4,♣T | Pair
♦7,♣3,♥3,♥4,♠A | Pair
♦7,♣3,♥3,♣2,♦Q | Pair
♦7,♣3,♥3,♣2,♣T | Pair
♦7,♣3,♥3,♣2,♠A | Pair
♦7,♣3,♥3,♦Q,♣T | Pair
♦7,♣3,♥3,♦Q,♠A | Pair
♦7,♣3,♥3,♣T,♠A | Pair
♦7,♣3,♠7,♣A,♥4 | Pair
♦7,♣3,♠7,♣A,♣2 | Pair
♦7,♣3,♠7,♣A,♦Q | Pair
♦7,♣3,♠7,♣A,♣T | Pair
♦7,♣3,♠7,♣A,♠A | Two Pairs
♦7,♣3,♠7,♥4,♣2 | Pair
♦7,♣3,♠7,♥4,♦Q | Pair
♦7,♣3,♠7,♥4,♣T | Pair
♦7,♣3,♠7,♥4,♠A | Pair
♦7,♣3,♠7,♣2,♦Q | Pair
♦7,♣3,♠7,♣2,♣T | Pair
♦7,♣3,♠7,♣2,♠A | Pair
♦7,♣3,♠7,♦Q,♣T | Pair
♦7,♣3,♠7,♦Q,♠A | Pair
♦7,♣3,♠7,♣T,♠A | Pair
♦7,♣3,♣A,♥4,♠A | Pair
♦7,♣3,♣A,♣2,♠A | Pair
♦7,♣3,♣A,♦Q,♠A | Pair
♦7,♣3,♣A,♣T,♠A | Pair
♦7,♠9,♥3,♠7,♣A | Pair
♦7,♠9,♥3,♠7,♥4 | Pair
♦7,♠9,♥3,♠7,♣2 | Pair
♦7,♠9,♥3,♠7,♦Q | Pair
♦7,♠9,♥3,♠7,♣T | Pair
♦7,♠9,♥3,♠7,♠A | Pair
♦7,♠9,♥3,♣A,♠A | Pair
♦7,♠9,♠7,♣A,♥4 | Pair
♦7,♠9,♠7,♣A,♣2 | Pair
♦7,♠9,♠7,♣A,♦Q | Pair
♦7,♠9,♠7,♣A,♣T | Pair
♦7,♠9,♠7,♣A,♠A | Two Pairs
♦7,♠9,♠7,♥4,♣2 | Pair
♦7,♠9,♠7,♥4,♦Q | Pair
♦7,♠9,♠7,♥4,♣T | Pair
♦7,♠9,♠7,♥4,♠A | Pair
♦7,♠9,♠7,♣2,♦Q | Pair
♦7,♠9,♠7,♣2,♣T | Pair
♦7,♠9,♠7,♣2,♠A | Pair
♦7,♠9,♠7,♦Q,♣T | Pair
♦7,♠9,♠7,♦Q,♠A | Pair
♦7,♠9,♠7,♣T,♠A | Pair
♦7,♠9,♣A,♥4,♠A | Pair
♦7,♠9,♣A,♣2,♠A | Pair
♦7,♠9,♣A,♦Q,♠A | Pair
♦7,♠9,♣A,♣T,♠A | Pair
♦7,♥3,♠7,♣A,♥4 | Pair
♦7,♥3,♠7,♣A,♣2 | Pair
♦7,♥3,♠7,♣A,♦Q | Pair
♦7,♥3,♠7,♣A,♣T | Pair
♦7,♥3,♠7,♣A,♠A | Two Pairs
♦7,♥3,♠7,♥4,♣2 | Pair
♦7,♥3,♠7,♥4,♦Q | Pair
♦7,♥3,♠7,♥4,♣T | Pair
♦7,♥3,♠7,♥4,♠A | Pair
♦7,♥3,♠7,♣2,♦Q | Pair
♦7,♥3,♠7,♣2,♣T | Pair
♦7,♥3,♠7,♣2,♠A | Pair
♦7,♥3,♠7,♦Q,♣T | Pair
♦7,♥3,♠7,♦Q,♠A | Pair
♦7,♥3,♠7,♣T,♠A | Pair
♦7,♥3,♣A,♥4,♠A | Pair
♦7,♥3,♣A,♣2,♠A | Pair
♦7,♥3,♣A,♦Q,♠A | Pair
♦7,♥3,♣A,♣T,♠A | Pair
♦7,♠7,♣A,♥4,♣2 | Pair
♦7,♠7,♣A,♥4,♦Q | Pair
♦7,♠7,♣A,♥4,♣T | Pair
♦7,♠7,♣A,♥4,♠A | Two Pairs
♦7,♠7,♣A,♣2,♦Q | Pair
♦7,♠7,♣A,♣2,♣T | Pair
♦7,♠7,♣A,♣2,♠A | Two Pairs
♦7,♠7,♣A,♦Q,♣T | Pair
♦7,♠7,♣A,♦Q,♠A | Two Pairs
♦7,♠7,♣A,♣T,♠A | Two Pairs
♦7,♠7,♥4,♣2,♦Q | Pair
♦7,♠7,♥4,♣2,♣T | Pair
♦7,♠7,♥4,♣2,♠A | Pair
♦7,♠7,♥4,♦Q,♣T | Pair
♦7,♠7,♥4,♦Q,♠A | Pair
♦7,♠7,♥4,♣T,♠A | Pair
♦7,♠7,♣2,♦Q,♣T | Pair
♦7,♠7,♣2,♦Q,♠A | Pair
♦7,♠7,♣2,♣T,♠A | Pair
♦7,♠7,♦Q,♣T,♠A | Pair
♦7,♣A,♥4,♣2,♠A | Pair
♦7,♣A,♥4,♦Q,♠A | Pair
♦7,♣A,♥4,♣T,♠A | Pair
♦7,♣A,♣2,♦Q,♠A | Pair
♦7,♣A,♣2,♣T,♠A | Pair
♦7,♣A,♦Q,♣T,♠A | Pair
♠T,♥K,♣3,♠9,♥3 | Pair
♠T,♥K,♣3,♠9,♣T | Pair
♠T,♥K,♣3,♥3,♠7 | Pair
♠T,♥K,♣3,♥3,♣A | Pair
♠T,♥K,♣3,♥3,♥4 | Pair
♠T,♥K,♣3,♥3,♣2 | Pair
♠T,♥K,♣3,♥3,♦Q | Pair
♠T,♥K,♣3,♥3,♣T | Two Pairs
♠T,♥K,♣3,♥3,♠A | Pair
♠T,♥K,♣3,♠7,♣T | Pair
♠T,♥K,♣3,♣A,♣T | Pair
♠T,♥K,♣3,♣A,♠A | Pair
♠T,♥K,♣3,♥4,♣T | Pair
♠T,♥K,♣3,♣2,♣T | Pair
♠T,♥K,♣3,♦Q,♣T | Pair
♠T,♥K,♣3,♣T,♠A | Pair
♠T,♥K,♠9,♥3,♣T | Pair
♠T,♥K,♠9,♠7,♣T | Pair
♠T,♥K,♠9,♣A,♣T | Pair
♠T,♥K,♠9,♣A,♠A | Pair
♠T,♥K,♠9,♥4,♣T | Pair
♠T,♥K,♠9,♣2,♣T | Pair
♠T,♥K,♠9,♦Q,♣T | Pair
♠T,♥K,♠9,♣T,♠A | Pair
♠T,♥K,♥3,♠7,♣T | Pair
♠T,♥K,♥3,♣A,♣T | Pair
♠T,♥K,♥3,♣A,♠A | Pair
♠T,♥K,♥3,♥4,♣T | Pair
♠T,♥K,♥3,♣2,♣T | Pair
♠T,♥K,♥3,♦Q,♣T | Pair
♠T,♥K,♥3,♣T,♠A | Pair
♠T,♥K,♠7,♣A,♣T | Pair
♠T,♥K,♠7,♣A,♠A | Pair
♠T,♥K,♠7,♥4,♣T | Pair
♠T,♥K,♠7,♣2,♣T | Pair
♠T,♥K,♠7,♦Q,♣T | Pair
♠T,♥K,♠7,♣T,♠A | Pair
♠T,♥K,♣A,♥4,♣T | Pair
♠T,♥K,♣A,♥4,♠A | Pair
♠T,♥K,♣A,♣2,♣T | Pair
♠T,♥K,♣A,♣2,♠A | Pair
♠T,♥K,♣A,♦Q,♣T | Pair
♠T,♥K,♣A,♦Q,♠A | Pair
♠T,♥K,♣A,♣T,♠A | Two Pairs
♠T,♥K,♥4,♣2,♣T | Pair
♠T,♥K,♥4,♦Q,♣T | Pair
♠T,♥K,♥4,♣T,♠A | Pair
♠T,♥K,♣2,♦Q,♣T | Pair
♠T,♥K,♣2,♣T,♠A | Pair
♠T,♥K,♦Q,♣T,♠A | Pair
♠T,♣3,♠9,♥3,♠7 | Pair
♠T,♣3,♠9,♥3,♣A | Pair
♠T,♣3,♠9,♥3,♥4 | Pair
♠T,♣3,♠9,♥3,♣2 | Pair
♠T,♣3,♠9,♥3,♦Q | Pair
♠T,♣3,♠9,♥3,♣T | Two Pairs
♠T,♣3,♠9,♥3,♠A | Pair
♠T,♣3,♠9,♠7,♣T | Pair
♠T,♣3,♠9,♣A,♣T | Pair
♠T,♣3,♠9,♣A,♠A | Pair
♠T,♣3,♠9,♥4,♣T | Pair
♠T,♣3,♠9,♣2,♣T | Pair
♠T,♣3,♠9,♦Q,♣T | Pair
♠T,♣3,♠9,♣T,♠A | Pair
♠T,♣3,♥3,♠7,♣A | Pair
♠T,♣3,♥3,♠7,♥4 | Pair
♠T,♣3,♥3,♠7,♣2 | Pair
♠T,♣3,♥3,♠7,♦Q | Pair
♠T,♣3,♥3,♠7,♣T | Two Pairs
♠T,♣3,♥3,♠7,♠A | Pair
♠T,♣3,♥3,♣A,♥4 | Pair
♠T,♣3,♥3,♣A,♣2 | Pair
♠T,♣3,♥3,♣A,♦Q | Pair
♠T,♣3,♥3,♣A,♣T | Two Pairs
♠T,♣3,♥3,♣A,♠A | Two Pairs
♠T,♣3,♥3,♥4,♣2 | Pair
♠T,♣3,♥3,♥4,♦Q | Pair
♠T,♣3,♥3,♥4,♣T | Two Pairs
♠T,♣3,♥3,♥4,♠A | Pair
♠T,♣3,♥3,♣2,♦Q | Pair
♠T,♣3,♥3,♣2,♣T | Two Pairs
♠T,♣3,♥3,♣2,♠A | Pair
♠T,♣3,♥3,♦Q,♣T | Two Pairs
♠T,♣3,♥3,♦Q,♠A | Pair
♠T,♣3,♥3,♣T,♠A | Two Pairs
♠T,♣3,♠7,♣A,♣T | Pair
♠T,♣3,♠7,♣A,♠A | Pair
♠T,♣3,♠7,♥4,♣T | Pair
♠T,♣3,♠7,♣2,♣T | Pair
♠T,♣3,♠7,♦Q,♣T | Pair
♠T,♣3,♠7,♣T,♠A | Pair
♠T,♣3,♣A,♥4,♣T | Pair
♠T,♣3,♣A,♥4,♠A | Pair
♠T,♣3,♣A,♣2,♣T | Pair
♠T,♣3,♣A,♣2,♠A | Pair
♠T,♣3,♣A,♦Q,♣T | Pair
♠T,♣3,♣A,♦Q,♠A | Pair
♠T,♣3,♣A,♣T,♠A | Two Pairs
♠T,♣3,♥4,♣2,♣T | Pair
♠T,♣3,♥4,♦Q,♣T | Pair
♠T,♣3,♥4,♣T,♠A | Pair
♠T,♣3,♣2,♦Q,♣T | Pair
♠T,♣3,♣2,♣T,♠A | Pair
♠T,♣3,♦Q,♣T,♠A | Pair
♠T,♠9,♥3,♠7,♣T | Pair
♠T,♠9,♥3,♣A,♣T | Pair
♠T,♠9,♥3,♣A,♠A | Pair
♠T,♠9,♥3,♥4,♣T | Pair
♠T,♠9,♥3,♣2,♣T | Pair
♠T,♠9,♥3,♦Q,♣T | Pair
♠T,♠9,♥3,♣T,♠A | Pair
♠T,♠9,♠7,♣A,♣T | Pair
♠T,♠9,♠7,♣A,♠A | Pair
♠T,♠9,♠7,♥4,♣T | Pair
♠T,♠9,♠7,♣2,♣T | Pair
♠T,♠9,♠7,♦Q,♣T | Pair
♠T,♠9,♠7,♣T,♠A | Pair
♠T,♠9,♣A,♥4,♣T | Pair
♠T,♠9,♣A,♥4,♠A | Pair
♠T,♠9,♣A,♣2,♣T | Pair
♠T,♠9,♣A,♣2,♠A | Pair
♠T,♠9,♣A,♦Q,♣T | Pair
♠T,♠9,♣A,♦Q,♠A | Pair
♠T,♠9,♣A,♣T,♠A | Two Pairs
♠T,♠9,♥4,♣2,♣T | Pair
♠T,♠9,♥4,♦Q,♣T | Pair
♠T,♠9,♥4,♣T,♠A | Pair
♠T,♠9,♣2,♦Q,♣T | Pair
♠T,♠9,♣2,♣T,♠A | Pair
♠T,♠9,♦Q,♣T,♠A | Pair
♠T,♥3,♠7,♣A,♣T | Pair
♠T,♥3,♠7,♣A,♠A | Pair
♠T,♥3,♠7,♥4,♣T | Pair
♠T,♥3,♠7,♣2,♣T | Pair
♠T,♥3,♠7,♦Q,♣T | Pair
♠T,♥3,♠7,♣T,♠A | Pair
♠T,♥3,♣A,♥4,♣T | Pair
♠T,♥3,♣A,♥4,♠A | Pair
♠T,♥3,♣A,♣2,♣T | Pair
♠T,♥3,♣A,♣2,♠A | Pair
♠T,♥3,♣A,♦Q,♣T | Pair
♠T,♥3,♣A,♦Q,♠A | Pair
♠T,♥3,♣A,♣T,♠A | Two Pairs
♠T,♥3,♥4,♣2,♣T | Pair
♠T,♥3,♥4,♦Q,♣T | Pair
♠T,♥3,♥4,♣T,♠A | Pair
♠T,♥3,♣2,♦Q,♣T | Pair
♠T,♥3,♣2,♣T,♠A | Pair
♠T,♥3,♦Q,♣T,♠A | Pair
♠T,♠7,♣A,♥4,♣T | Pair
♠T,♠7,♣A,♥4,♠A | Pair
♠T,♠7,♣A,♣2,♣T | Pair
♠T,♠7,♣A,♣2,♠A | Pair
♠T,♠7,♣A,♦Q,♣T | Pair
♠T,♠7,♣A,♦Q,♠A | Pair
♠T,♠7,♣A,♣T,♠A | Two Pairs
♠T,♠7,♥4,♣2,♣T | Pair
♠T,♠7,♥4,♦Q,♣T | Pair
♠T,♠7,♥4,♣T,♠A | Pair
♠T,♠7,♣2,♦Q,♣T | Pair
♠T,♠7,♣2,♣T,♠A | Pair
♠T,♠7,♦Q,♣T,♠A | Pair
♠T,♣A,♥4,♣2,♣T | Pair
♠T,♣A,♥4,♣2,♠A | Pair
♠T,♣A,♥4,♦Q,♣T | Pair
♠T,♣A,♥4,♦Q,♠A | Pair
♠T,♣A,♥4,♣T,♠A | Two Pairs
♠T,♣A,♣2,♦Q,♣T | Pair
♠T,♣A,♣2,♦Q,♠A | Pair
♠T,♣A,♣2,♣T,♠A | Two Pairs
♠T,♣A,♦Q,♣T,♠A | Two Pairs
♠T,♥4,♣2,♦Q,♣T | Pair
♠T,♥4,♣2,♣T,♠A | Pair
♠T,♥4,♦Q,♣T,♠A | Pair
♠T,♣2,♦Q,♣T,♠A | Pair
♥K,♣3,♠9,♥3,♠7 | Pair
♥K,♣3,♠9,♥3,♣A | Pair
♥K,♣3,♠9,♥3,♥4 | Pair
♥K,♣3,♠9,♥3,♣2 | Pair
♥K,♣3,♠9,♥3,♦Q | Pair
♥K,♣3,♠9,♥3,♣T | Pair
♥K,♣3,♠9,♥3,♠A | Pair
♥K,♣3,♠9,♣A,♠A | Pair
♥K,♣3,♥3,♠7,♣A | Pair
♥K,♣3,♥3,♠7,♥4 | Pair
♥K,♣3,♥3,♠7,♣2 | Pair
♥K,♣3,♥3,♠7,♦Q | Pair
♥K,♣3,♥3,♠7,♣T | Pair
♥K,♣3,♥3,♠7,♠A | Pair
♥K,♣3,♥3,♣A,♥4 | Pair
♥K,♣3,♥3,♣A,♣2 | Pair
♥K,♣3,♥3,♣A,♦Q | Pair
♥K,♣3,♥3,♣A,♣T | Pair
♥K,♣3,♥3,♣A,♠A | Two Pairs
♥K,♣3,♥3,♥4,♣2 | Pair
♥K,♣3,♥3,♥4,♦Q | Pair
♥K,♣3,♥3,♥4,♣T | Pair
♥K,♣3,♥3,♥4,♠A | Pair
♥K,♣3,♥3,♣2,♦Q | Pair
♥K,♣3,♥3,♣2,♣T | Pair
♥K,♣3,♥3,♣2,♠A | Pair
♥K,♣3,♥3,♦Q,♣T | Pair
♥K,♣3,♥3,♦Q,♠A | Pair
♥K,♣3,♥3,♣T,♠A | Pair
♥K,♣3,♠7,♣A,♠A | Pair
♥K,♣3,♣A,♥4,♠A | Pair
♥K,♣3,♣A,♣2,♠A | Pair
♥K,♣3,♣A,♦Q,♠A | Pair
♥K,♣3,♣A,♣T,♠A | Pair
♥K,♠9,♥3,♣A,♠A | Pair
♥K,♠9,♠7,♣A,♠A | Pair
♥K,♠9,♣A,♥4,♠A | Pair
♥K,♠9,♣A,♣2,♠A | Pair
♥K,♠9,♣A,♦Q,♠A | Pair
♥K,♠9,♣A,♣T,♠A | Pair
♥K,♥3,♠7,♣A,♠A | Pair
♥K,♥3,♣A,♥4,♠A | Pair
♥K,♥3,♣A,♣2,♠A | Pair
♥K,♥3,♣A,♦Q,♠A | Pair
♥K,♥3,♣A,♣T,♠A | Pair
♥K,♠7,♣A,♥4,♠A | Pair
♥K,♠7,♣A,♣2,♠A | Pair
♥K,♠7,♣A,♦Q,♠A | Pair
♥K,♠7,♣A,♣T,♠A | Pair
♥K,♣A,♥4,♣2,♠A | Pair
♥K,♣A,♥4,♦Q,♠A | Pair
♥K,♣A,♥4,♣T,♠A | Pair
♥K,♣A,♣2,♦Q,♠A | Pair
♥K,♣A,♣2,♣T,♠A | Pair
♥K,♣A,♦Q,♣T,♠A | Pair
♣3,♠9,♥3,♠7,♣A | Pair
♣3,♠9,♥3,♠7,♥4 | Pair
♣3,♠9,♥3,♠7,♣2 | Pair
♣3,♠9,♥3,♠7,♦Q | Pair
♣3,♠9,♥3,♠7,♣T | Pair
♣3,♠9,♥3,♠7,♠A | Pair
♣3,♠9,♥3,♣A,♥4 | Pair
♣3,♠9,♥3,♣A,♣2 | Pair
♣3,♠9,♥3,♣A,♦Q | Pair
♣3,♠9,♥3,♣A,♣T | Pair
♣3,♠9,♥3,♣A,♠A | Two Pairs
♣3,♠9,♥3,♥4,♣2 | Pair
♣3,♠9,♥3,♥4,♦Q | Pair
♣3,♠9,♥3,♥4,♣T | Pair
♣3,♠9,♥3,♥4,♠A | Pair
♣3,♠9,♥3,♣2,♦Q | Pair
♣3,♠9,♥3,♣2,♣T | Pair
♣3,♠9,♥3,♣2,♠A | Pair
♣3,♠9,♥3,♦Q,♣T | Pair
♣3,♠9,♥3,♦Q,♠A | Pair
♣3,♠9,♥3,♣T,♠A | Pair
♣3,♠9,♠7,♣A,♠A | Pair
♣3,♠9,♣A,♥4,♠A | Pair
♣3,♠9,♣A,♣2,♠A | Pair
♣3,♠9,♣A,♦Q,♠A | Pair
♣3,♠9,♣A,♣T,♠A | Pair
♣3,♥3,♠7,♣A,♥4 | Pair
♣3,♥3,♠7,♣A,♣2 | Pair
♣3,♥3,♠7,♣A,♦Q | Pair
♣3,♥3,♠7,♣A,♣T | Pair
♣3,♥3,♠7,♣A,♠A | Two Pairs
♣3,♥3,♠7,♥4,♣2 | Pair
♣3,♥3,♠7,♥4,♦Q | Pair
♣3,♥3,♠7,♥4,♣T | Pair
♣3,♥3,♠7,♥4,♠A | Pair
♣3,♥3,♠7,♣2,♦Q | Pair
♣3,♥3,♠7,♣2,♣T | Pair
♣3,♥3,♠7,♣2,♠A | Pair
♣3,♥3,♠7,♦Q,♣T | Pair
♣3,♥3,♠7,♦Q,♠A | Pair
♣3,♥3,♠7,♣T,♠A | Pair
♣3,♥3,♣A,♥4,♣2 | Pair
♣3,♥3,♣A,♥4,♦Q | Pair
♣3,♥3,♣A,♥4,♣T | Pair
♣3,♥3,♣A,♥4,♠A | Two Pairs
♣3,♥3,♣A,♣2,♦Q | Pair
♣3,♥3,♣A,♣2,♣T | Pair
♣3,♥3,♣A,♣2,♠A | Two Pairs
♣3,♥3,♣A,♦Q,♣T | Pair
♣3,♥3,♣A,♦Q,♠A | Two Pairs
♣3,♥3,♣A,♣T,♠A | Two Pairs
♣3,♥3,♥4,♣2,♦Q | Pair
♣3,♥3,♥4,♣2,♣T | Pair
♣3,♥3,♥4,♣2,♠A | Pair
♣3,♥3,♥4,♦Q,♣T | Pair
♣3,♥3,♥4,♦Q,♠A | Pair
♣3,♥3,♥4,♣T,♠A | Pair
♣3,♥3,♣2,♦Q,♣T | Pair
♣3,♥3,♣2,♦Q,♠A | Pair
♣3,♥3,♣2,♣T,♠A | Pair
♣3,♥3,♦Q,♣T,♠A | Pair
♣3,♠7,♣A,♥4,♠A | Pair
♣3,♠7,♣A,♣2,♠A | Pair
♣3,♠7,♣A,♦Q,♠A | Pair
♣3,♠7,♣A,♣T,♠A | Pair
