♣Q, ♥4, ♣4, ♠J, ♥10 | pair
♣Q, ♠J, ♥10, ♠8, ♦8 | pair
♣Q, ♠J, ♥10, ♠8, ♣J | pair
♣Q, ♠J, ♥10, ♠8, ♦10 | pair
♣Q, ♠J, ♥10, ♣K, ♣J | pair
♣Q, ♠J, ♥10, ♣K, ♦10 | pair
♣Q, ♠J, ♥10, ♥6, ♠6 | pair
♣Q, ♠J, ♥10, ♥6, ♣J | pair
♣Q, ♠J, ♥10, ♥6, ♦10 | pair
♣Q, ♠J, ♥10, ♠6, ♣J | pair
♣Q, ♠J, ♥10, ♠6, ♦10 | pair
♣Q, ♠J, ♥10, ♦8, ♣J | pair
♣Q, ♠J, ♥10, ♦8, ♦10 | pair
♣Q, ♠J, ♥10, ♣J, ♦10 | two pairs
♣Q, ♠J, ♥10, ♣J, ♥2 | pair
♣Q, ♠J, ♥10, ♦10, ♥2 | pair
♣Q, ♠J, ♠8, ♣K, ♦8 | pair
♣Q, ♠J, ♠8, ♣K, ♣J | pair
♣Q, ♠J, ♠8, ♥6, ♠6 | pair
♣Q, ♠J, ♠8, ♥6, ♦8 | pair
♣Q, ♠J, ♠8, ♥6, ♣J | pair
♣Q, ♠J, ♠8, ♠6, ♦8 | pair
♣Q, ♠J, ♠8, ♠6, ♣J | pair
♣Q, ♠J, ♠8, ♦8, ♣J | two pairs
♣Q, ♠J, ♠8, ♦8, ♦10 | pair
♣Q, ♠J, ♠8, ♦8, ♥2 | pair
♣Q, ♠J, ♠8, ♣J, ♦10 | pair
♣Q, ♠J, ♠8, ♣J, ♥2 | pair
♣Q, ♠J, ♣K, ♥6, ♠6 | pair
♣Q, ♠J, ♣K, ♥6, ♣J | pair
♣Q, ♠J, ♣K, ♠6, ♣J | pair
♣Q, ♠J, ♣K, ♦8, ♣J | pair
♣Q, ♠J, ♣K, ♣J, ♦10 | pair
♣Q, ♠J, ♣K, ♣J, ♥2 | pair
♣Q, ♠J, ♥6, ♠6, ♦8 | pair
♣Q, ♠J, ♥6, ♠6, ♣J | two pairs
♣Q, ♠J, ♥6, ♠6, ♦10 | pair
♣Q, ♠J, ♥6, ♠6, ♥2 | pair
♣Q, ♠J, ♥6, ♦8, ♣J | pair
♣Q, ♠J, ♥6, ♣J, ♦10 | pair
♣Q, ♠J, ♥6, ♣J, ♥2 | pair
♣Q, ♠J, ♠6, ♦8, ♣J | pair
♣Q, ♠J, ♠6, ♣J, ♦10 | pair
♣Q, ♠J, ♠6, ♣J, ♥2 | pair
♣Q, ♠J, ♦8, ♣J, ♦10 | pair
♣Q, ♠J, ♦8, ♣J, ♥2 | pair
♣Q, ♠J, ♣J, ♦10, ♥2 | pair
♣Q, ♥10, ♠8, ♣K, ♦8 | pair
♣Q, ♥10, ♠8, ♣K, ♦10 | pair
♣Q, ♥10, ♠8, ♥6, ♠6 | pair
♣Q, ♥10, ♠8, ♥6, ♦8 | pair
♣Q, ♥10, ♠8, ♥6, ♦10 | pair
♣Q, ♥10, ♠8, ♠6, ♦8 | pair
♣Q, ♥10, ♠8, ♠6, ♦10 | pair
♣Q, ♥10, ♠8, ♦8, ♣J | pair
♣Q, ♥10, ♠8, ♦8, ♦10 | two pairs
♣Q, ♥10, ♠8, ♦8, ♥2 | pair
♣Q, ♥10, ♠8, ♣J, ♦10 | pair
♣Q, ♥10, ♠8, ♦10, ♥2 | pair
♣Q, ♥10, ♣K, ♥6, ♠6 | pair
♣Q, ♥10, ♣K, ♥6, ♦10 | pair
♣Q, ♥10, ♣K, ♠6, ♦10 | pair
♣Q, ♥10, ♣K, ♦8, ♦10 | pair
♣Q, ♥10, ♣K, ♣J, ♦10 | pair
♣Q, ♥10, ♣K, ♦10, ♥2 | pair
♣Q, ♥10, ♥6, ♠6, ♦8 | pair
♣Q, ♥10, ♥6, ♠6, ♣J | pair
♣Q, ♥10, ♥6, ♠6, ♦10 | two pairs
♣Q, ♥10, ♥6, ♠6, ♥2 | pair
♣Q, ♥10, ♥6, ♦8, ♦10 | pair
♣Q, ♥10, ♥6, ♣J, ♦10 | pair
♣Q, ♥10, ♥6, ♦10, ♥2 | pair
♣Q, ♥10, ♠6, ♦8, ♦10 | pair
♣Q, ♥10, ♠6, ♣J, ♦10 | pair
♣Q, ♥10, ♠6, ♦10, ♥2 | pair
♣Q, ♥10, ♦8, ♣J, ♦10 | pair
♣Q, ♥10, ♦8, ♦10, ♥2 | pair
♣Q, ♥10, ♣J, ♦10, ♥2 | pair
♣Q, ♠8, ♣K, ♥6, ♠6 | pair
♣Q, ♠8, ♣K, ♥6, ♦8 | pair
♣Q, ♠8, ♣K, ♠6, ♦8 | pair
♣Q, ♠8, ♣K, ♦8, ♣J | pair
♣Q, ♠8, ♣K, ♦8, ♦10 | pair
♣Q, ♠8, ♣K, ♦8, ♥2 | pair
♣Q, ♠8, ♥6, ♠6, ♦8 | two pairs
♣Q, ♠8, ♥6, ♠6, ♣J | pair
♣Q, ♠8, ♥6, ♠6, ♦10 | pair
♣Q, ♠8, ♥6, ♠6, ♥2 | pair
♣Q, ♠8, ♥6, ♦8, ♣J | pair
♣Q, ♠8, ♥6, ♦8, ♦10 | pair
♣Q, ♠8, ♥6, ♦8, ♥2 | pair
♣Q, ♠8, ♠6, ♦8, ♣J | pair
♣Q, ♠8, ♠6, ♦8, ♦10 | pair
♣Q, ♠8, ♠6, ♦8, ♥2 | pair
♣Q, ♠8, ♦8, ♣J, ♦10 | pair
♣Q, ♠8, ♦8, ♣J, ♥2 | pair
♣Q, ♠8, ♦8, ♦10, ♥2 | pair
♣Q, ♣K, ♥6, ♠6, ♦8 | pair
♣Q, ♣K, ♥6, ♠6, ♣J | pair
♣Q, ♣K, ♥6, ♠6, ♦10 | pair
♣Q, ♣K, ♥6, ♠6, ♥2 | pair
♣Q, ♥6, ♠6, ♦8, ♣J | pair
♣Q, ♥6, ♠6, ♦8, ♦10 | pair
♣Q, ♥6, ♠6, ♦8, ♥2 | pair
♣Q, ♥6, ♠6, ♣J, ♦10 | pair
♣Q, ♥6, ♠6, ♣J, ♥2 | pair
♣Q, ♥6, ♠6, ♦10, ♥2 | pair
♥4, ♣4, ♠J, ♥10, ♠8 | pair
♥4, ♣4, ♠J, ♥10, ♣K | pair
♥4, ♣4, ♠J, ♥10, ♥6 | pair
♥4, ♣4, ♠J, ♥10, ♠6 | pair
♥4, ♣4, ♠J, ♥10, ♦8 | pair
♥4, ♣4, ♠J, ♥10, ♣J | two pairs
♥4, ♣4, ♠J, ♥10, ♦10 | two pairs
♥4, ♣4, ♠J, ♥10, ♥2 | pair
♥4, ♣4, ♠J, ♠8, ♣K | pair
♥4, ♣4, ♠J, ♠8, ♥6 | pair
♥4, ♣4, ♠J, ♠8, ♠6 | pair
♥4, ♣4, ♠J, ♠8, ♦8 | two pairs
♥4, ♣4, ♠J, ♠8, ♣J | two pairs
♥4, ♣4, ♠J, ♠8, ♦10 | pair
♥4, ♣4, ♠J, ♠8, ♥2 | pair
♥4, ♣4, ♠J, ♣K, ♥6 | pair
♥4, ♣4, ♠J, ♣K, ♠6 | pair
♥4, ♣4, ♠J, ♣K, ♦8 | pair
♥4, ♣4, ♠J, ♣K, ♣J | two pairs
♥4, ♣4, ♠J, ♣K, ♦10 | pair
♥4, ♣4, ♠J, ♣K, ♥2 | pair
♥4, ♣4, ♠J, ♥6, ♠6 | two pairs
♥4, ♣4, ♠J, ♥6, ♦8 | pair
♥4, ♣4, ♠J, ♥6, ♣J | two pairs
♥4, ♣4, ♠J, ♥6, ♦10 | pair
♥4, ♣4, ♠J, ♥6, ♥2 | pair
♥4, ♣4, ♠J, ♠6, ♦8 | pair
♥4, ♣4, ♠J, ♠6, ♣J | two pairs
♥4, ♣4, ♠J, ♠6, ♦10 | pair
♥4, ♣4, ♠J, ♠6, ♥2 | pair
♥4, ♣4, ♠J, ♦8, ♣J | two pairs
♥4, ♣4, ♠J, ♦8, ♦10 | pair
♥4, ♣4, ♠J, ♦8, ♥2 | pair
♥4, ♣4, ♠J, ♣J, ♦10 | two pairs
♥4, ♣4, ♠J, ♣J, ♥2 | two pairs
♥4, ♣4, ♠J, ♦10, ♥2 | pair
♥4, ♣4, ♥10, ♠8, ♣K | pair
♥4, ♣4, ♥10, ♠8, ♥6 | pair
♥4, ♣4, ♥10, ♠8, ♠6 | pair
♥4, ♣4, ♥10, ♠8, ♦8 | two pairs
♥4, ♣4, ♥10, ♠8, ♣J | pair
♥4, ♣4, ♥10, ♠8, ♦10 | two pairs
♥4, ♣4, ♥10, ♠8, ♥2 | pair
♥4, ♣4, ♥10, ♣K, ♥6 | pair
♥4, ♣4, ♥10, ♣K, ♠6 | pair
♥4, ♣4, ♥10, ♣K, ♦8 | pair
♥4, ♣4, ♥10, ♣K, ♣J | pair
♥4, ♣4, ♥10, ♣K, ♦10 | two pairs
♥4, ♣4, ♥10, ♣K, ♥2 | pair
♥4, ♣4, ♥10, ♥6, ♠6 | two pairs
♥4, ♣4, ♥10, ♥6, ♦8 | pair
♥4, ♣4, ♥10, ♥6, ♣J | pair
♥4, ♣4, ♥10, ♥6, ♦10 | two pairs
♥4, ♣4, ♥10, ♥6, ♥2 | pair
♥4, ♣4, ♥10, ♠6, ♦8 | pair
♥4, ♣4, ♥10, ♠6, ♣J | pair
♥4, ♣4, ♥10, ♠6, ♦10 | two pairs
♥4, ♣4, ♥10, ♠6, ♥2 | pair
♥4, ♣4, ♥10, ♦8, ♣J | pair
♥4, ♣4, ♥10, ♦8, ♦10 | two pairs
♥4, ♣4, ♥10, ♦8, ♥2 | pair
♥4, ♣4, ♥10, ♣J, ♦10 | two pairs
♥4, ♣4, ♥10, ♣J, ♥2 | pair
♥4, ♣4, ♥10, ♦10, ♥2 | two pairs
♥4, ♣4, ♠8, ♣K, ♥6 | pair
♥4, ♣4, ♠8, ♣K, ♠6 | pair
♥4, ♣4, ♠8, ♣K, ♦8 | two pairs
♥4, ♣4, ♠8, ♣K, ♣J | pair
♥4, ♣4, ♠8, ♣K, ♦10 | pair
♥4, ♣4, ♠8, ♣K, ♥2 | pair
♥4, ♣4, ♠8, ♥6, ♠6 | two pairs
♥4, ♣4, ♠8, ♥6, ♦8 | two pairs
♥4, ♣4, ♠8, ♥6, ♣J | pair
♥4, ♣4, ♠8, ♥6, ♦10 | pair
♥4, ♣4, ♠8, ♥6, ♥2 | pair
♥4, ♣4, ♠8, ♠6, ♦8 | two pairs
♥4, ♣4, ♠8, ♠6, ♣J | pair
♥4, ♣4, ♠8, ♠6, ♦10 | pair
♥4, ♣4, ♠8, ♠6, ♥2 | pair
♥4, ♣4, ♠8, ♦8, ♣J | two pairs
♥4, ♣4, ♠8, ♦8, ♦10 | two pairs
♥4, ♣4, ♠8, ♦8, ♥2 | two pairs
♥4, ♣4, ♠8, ♣J, ♦10 | pair
♥4, ♣4, ♠8, ♣J, ♥2 | pair
♥4, ♣4, ♠8, ♦10, ♥2 | pair
♥4, ♣4, ♣K, ♥6, ♠6 | two pairs
♥4, ♣4, ♣K, ♥6, ♦8 | pair
♥4, ♣4, ♣K, ♥6, ♣J | pair
♥4, ♣4, ♣K, ♥6, ♦10 | pair
♥4, ♣4, ♣K, ♥6, ♥2 | pair
♥4, ♣4, ♣K, ♠6, ♦8 | pair
♥4, ♣4, ♣K, ♠6, ♣J | pair
♥4, ♣4, ♣K, ♠6, ♦10 | pair
♥4, ♣4, ♣K, ♠6, ♥2 | pair
♥4, ♣4, ♣K, ♦8, ♣J | pair
♥4, ♣4, ♣K, ♦8, ♦10 | pair
♥4, ♣4, ♣K, ♦8, ♥2 | pair
♥4, ♣4, ♣K, ♣J, ♦10 | pair
♥4, ♣4, ♣K, ♣J, ♥2 | pair
♥4, ♣4, ♣K, ♦10, ♥2 | pair
♥4, ♣4, ♥6, ♠6, ♦8 | two pairs
♥4, ♣4, ♥6, ♠6, ♣J | two pairs
♥4, ♣4, ♥6, ♠6, ♦10 | two pairs
♥4, ♣4, ♥6, ♠6, ♥2 | two pairs
♥4, ♣4, ♥6, ♦8, ♣J | pair
♥4, ♣4, ♥6, ♦8, ♦10 | pair
♥4, ♣4, ♥6, ♦8, ♥2 | pair
♥4, ♣4, ♥6, ♣J, ♦10 | pair
♥4, ♣4, ♥6, ♣J, ♥2 | pair
♥4, ♣4, ♥6, ♦10, ♥2 | pair
♥4, ♣4, ♠6, ♦8, ♣J | pair
♥4, ♣4, ♠6, ♦8, ♦10 | pair
♥4, ♣4, ♠6, ♦8, ♥2 | pair
♥4, ♣4, ♠6, ♣J, ♦10 | pair
♥4, ♣4, ♠6, ♣J, ♥2 | pair
♥4, ♣4, ♠6, ♦10, ♥2 | pair
♥4, ♣4, ♦8, ♣J, ♦10 | pair
♥4, ♣4, ♦8, ♣J, ♥2 | pair
♥4, ♣4, ♦8, ♦10, ♥2 | pair
♥4, ♣4, ♣J, ♦10, ♥2 | pair
♥4, ♠J, ♥10, ♠8, ♦8 | pair
♥4, ♠J, ♥10, ♠8, ♣J | pair
♥4, ♠J, ♥10, ♠8, ♦10 | pair
♥4, ♠J, ♥10, ♣K, ♣J | pair
♥4, ♠J, ♥10, ♣K, ♦10 | pair
♥4, ♠J, ♥10, ♥6, ♠6 | pair
♥4, ♠J, ♥10, ♥6, ♣J | pair
♥4, ♠J, ♥10, ♥6, ♦10 | pair
♥4, ♠J, ♥10, ♠6, ♣J | pair
♥4, ♠J, ♥10, ♠6, ♦10 | pair
♥4, ♠J, ♥10, ♦8, ♣J | pair
♥4, ♠J, ♥10, ♦8, ♦10 | pair
♥4, ♠J, ♥10, ♣J, ♦10 | two pairs
♥4, ♠J, ♥10, ♣J, ♥2 | pair
♥4, ♠J, ♥10, ♦10, ♥2 | pair
♥4, ♠J, ♠8, ♣K, ♦8 | pair
♥4, ♠J, ♠8, ♣K, ♣J | pair
♥4, ♠J, ♠8, ♥6, ♠6 | pair
♥4, ♠J, ♠8, ♥6, ♦8 | pair
♥4, ♠J, ♠8, ♥6, ♣J | pair
♥4, ♠J, ♠8, ♠6, ♦8 | pair
♥4, ♠J, ♠8, ♠6, ♣J | pair
♥4, ♠J, ♠8, ♦8, ♣J | two pairs
♥4, ♠J, ♠8, ♦8, ♦10 | pair
♥4, ♠J, ♠8, ♦8, ♥2 | pair
♥4, ♠J, ♠8, ♣J, ♦10 | pair
♥4, ♠J, ♠8, ♣J, ♥2 | pair
♥4, ♠J, ♣K, ♥6, ♠6 | pair
♥4, ♠J, ♣K, ♥6, ♣J | pair
♥4, ♠J, ♣K, ♠6, ♣J | pair
♥4, ♠J, ♣K, ♦8, ♣J | pair
♥4, ♠J, ♣K, ♣J, ♦10 | pair
♥4, ♠J, ♣K, ♣J, ♥2 | pair
♥4, ♠J, ♥6, ♠6, ♦8 | pair
♥4, ♠J, ♥6, ♠6, ♣J | two pairs
♥4, ♠J, ♥6, ♠6, ♦10 | pair
♥4, ♠J, ♥6, ♠6, ♥2 | pair
♥4, ♠J, ♥6, ♦8, ♣J | pair
♥4, ♠J, ♥6, ♣J, ♦10 | pair
♥4, ♠J, ♥6, ♣J, ♥2 | pair
♥4, ♠J, ♠6, ♦8, ♣J | pair
♥4, ♠J, ♠6, ♣J, ♦10 | pair
♥4, ♠J, ♠6, ♣J, ♥2 | pair
♥4, ♠J, ♦8, ♣J, ♦10 | pair
♥4, ♠J, ♦8, ♣J, ♥2 | pair
♥4, ♠J, ♣J, ♦10, ♥2 | pair
♥4, ♥10, ♠8, ♣K, ♦8 | pair
♥4, ♥10, ♠8, ♣K, ♦10 | pair
♥4, ♥10, ♠8, ♥6, ♠6 | pair
♥4, ♥10, ♠8, ♥6, ♦8 | pair
♥4, ♥10, ♠8, ♥6, ♦10 | pair
♥4, ♥10, ♠8, ♠6, ♦8 | pair
♥4, ♥10, ♠8, ♠6, ♦10 | pair
♥4, ♥10, ♠8, ♦8, ♣J | pair
♥4, ♥10, ♠8, ♦8, ♦10 | two pairs
♥4, ♥10, ♠8, ♦8, ♥2 | pair
♥4, ♥10, ♠8, ♣J, ♦10 | pair
♥4, ♥10, ♠8, ♦10, ♥2 | pair
♥4, ♥10, ♣K, ♥6, ♠6 | pair
♥4, ♥10, ♣K, ♥6, ♦10 | pair
♥4, ♥10, ♣K, ♠6, ♦10 | pair
♥4, ♥10, ♣K, ♦8, ♦10 | pair
♥4, ♥10, ♣K, ♣J, ♦10 | pair
♥4, ♥10, ♣K, ♦10, ♥2 | pair
♥4, ♥10, ♥6, ♠6, ♦8 | pair
♥4, ♥10, ♥6, ♠6, ♣J | pair
♥4, ♥10, ♥6, ♠6, ♦10 | two pairs
♥4, ♥10, ♥6, ♠6, ♥2 | pair
♥4, ♥10, ♥6, ♦8, ♦10 | pair
♥4, ♥10, ♥6, ♣J, ♦10 | pair
♥4, ♥10, ♥6, ♦10, ♥2 | pair
♥4, ♥10, ♠6, ♦8, ♦10 | pair
♥4, ♥10, ♠6, ♣J, ♦10 | pair
♥4, ♥10, ♠6, ♦10, ♥2 | pair
♥4, ♥10, ♦8, ♣J, ♦10 | pair
♥4, ♥10, ♦8, ♦10, ♥2 | pair
♥4, ♥10, ♣J, ♦10, ♥2 | pair
♥4, ♠8, ♣K, ♥6, ♠6 | pair
♥4, ♠8, ♣K, ♥6, ♦8 | pair
♥4, ♠8, ♣K, ♠6, ♦8 | pair
♥4, ♠8, ♣K, ♦8, ♣J | pair
♥4, ♠8, ♣K, ♦8, ♦10 | pair
♥4, ♠8, ♣K, ♦8, ♥2 | pair
♥4, ♠8, ♥6, ♠6, ♦8 | two pairs
♥4, ♠8, ♥6, ♠6, ♣J | pair
♥4, ♠8, ♥6, ♠6, ♦10 | pair
♥4, ♠8, ♥6, ♠6, ♥2 | pair
♥4, ♠8, ♥6, ♦8, ♣J | pair
♥4, ♠8, ♥6, ♦8, ♦10 | pair
♥4, ♠8, ♥6, ♦8, ♥2 | pair
♥4, ♠8, ♠6, ♦8, ♣J | pair
♥4, ♠8, ♠6, ♦8, ♦10 | pair
♥4, ♠8, ♠6, ♦8, ♥2 | pair
♥4, ♠8, ♦8, ♣J, ♦10 | pair
♥4, ♠8, ♦8, ♣J, ♥2 | pair
♥4, ♠8, ♦8, ♦10, ♥2 | pair
♥4, ♣K, ♥6, ♠6, ♦8 | pair
♥4, ♣K, ♥6, ♠6, ♣J | pair
♥4, ♣K, ♥6, ♠6, ♦10 | pair
♥4, ♣K, ♥6, ♠6, ♥2 | pair
♥4, ♥6, ♠6, ♦8, ♣J | pair
♥4, ♥6, ♠6, ♦8, ♦10 | pair
♥4, ♥6, ♠6, ♦8, ♥2 | pair
♥4, ♥6, ♠6, ♣J, ♦10 | pair
♥4, ♥6, ♠6, ♣J, ♥2 | pair
♥4, ♥6, ♠6, ♦10, ♥2 | pair
♣4, ♠J, ♥10, ♠8, ♦8 | pair
♣4, ♠J, ♥10, ♠8, ♣J | pair
♣4, ♠J, ♥10, ♠8, ♦10 | pair
♣4, ♠J, ♥10, ♣K, ♣J | pair
♣4, ♠J, ♥10, ♣K, ♦10 | pair
♣4, ♠J, ♥10, ♥6, ♠6 | pair
♣4, ♠J, ♥10, ♥6, ♣J | pair
♣4, ♠J, ♥10, ♥6, ♦10 | pair
♣4, ♠J, ♥10, ♠6, ♣J | pair
♣4, ♠J, ♥10, ♠6, ♦10 | pair
♣4, ♠J, ♥10, ♦8, ♣J | pair
♣4, ♠J, ♥10, ♦8, ♦10 | pair
♣4, ♠J, ♥10, ♣J, ♦10 | two pairs
♣4, ♠J, ♥10, ♣J, ♥2 | pair
♣4, ♠J, ♥10, ♦10, ♥2 | pair
♣4, ♠J, ♠8, ♣K, ♦8 | pair
♣4, ♠J, ♠8, ♣K, ♣J | pair
♣4, ♠J, ♠8, ♥6, ♠6 | pair
♣4, ♠J, ♠8, ♥6, ♦8 | pair
♣4, ♠J, ♠8, ♥6, ♣J | pair
♣4, ♠J, ♠8, ♠6, ♦8 | pair
♣4, ♠J, ♠8, ♠6, ♣J | pair
♣4, ♠J, ♠8, ♦8, ♣J | two pairs
♣4, ♠J, ♠8, ♦8, ♦10 | pair
♣4, ♠J, ♠8, ♦8, ♥2 | pair
♣4, ♠J, ♠8, ♣J, ♦10 | pair
♣4, ♠J, ♠8, ♣J, ♥2 | pair
♣4, ♠J, ♣K, ♥6, ♠6 | pair
♣4, ♠J, ♣K, ♥6, ♣J | pair
♣4, ♠J, ♣K, ♠6, ♣J | pair
♣4, ♠J, ♣K, ♦8, ♣J | pair
♣4, ♠J, ♣K, ♣J, ♦10 | pair
♣4, ♠J, ♣K, ♣J, ♥2 | pair
♣4, ♠J, ♥6, ♠6, ♦8 | pair
♣4, ♠J, ♥6, ♠6, ♣J | two pairs
♣4, ♠J, ♥6, ♠6, ♦10 | pair
♣4, ♠J, ♥6, ♠6, ♥2 | pair
♣4, ♠J, ♥6, ♦8, ♣J | pair
♣4, ♠J, ♥6, ♣J, ♦10 | pair
♣4, ♠J, ♥6, ♣J, ♥2 | pair
♣4, ♠J, ♠6, ♦8, ♣J | pair
♣4, ♠J, ♠6, ♣J, ♦10 | pair
♣4, ♠J, ♠6, ♣J, ♥2 | pair
♣4, ♠J, ♦8, ♣J, ♦10 | pair
♣4, ♠J, ♦8, ♣J, ♥2 | pair
♣4, ♠J, ♣J, ♦10, ♥2 | pair
♣4, ♥10, ♠8, ♣K, ♦8 | pair
♣4, ♥10, ♠8, ♣K, ♦10 | pair
♣4, ♥10, ♠8, ♥6, ♠6 | pair
♣4, ♥10, ♠8, ♥6, ♦8 | pair
