♠J, ♥4, ♣4, ♣3, ♣10 | pair
♠J, ♥4, ♥A, ♠4, ♣A | two pairs
♠J, ♥4, ♥A, ♦8, ♣A | pair
♠J, ♥4, ♥A, ♥6, ♣A | pair
♠J, ♥4, ♥A, ♣2, ♣A | pair
♠J, ♥4, ♥A, ♠7, ♣A | pair
♠J, ♥4, ♣9, ♠4, ♦8 | pair
♠J, ♥4, ♣9, ♠4, ♥6 | pair
♠J, ♥4, ♣9, ♠4, ♣2 | pair
♠J, ♥4, ♣9, ♠4, ♠7 | pair
♠J, ♥4, ♣9, ♠4, ♣A | pair
♠J, ♥4, ♠4, ♦8, ♥6 | pair
♠J, ♥4, ♠4, ♦8, ♣2 | pair
♠J, ♥4, ♠4, ♦8, ♠7 | pair
♠J, ♥4, ♠4, ♦8, ♣A | pair
♠J, ♥4, ♠4, ♥6, ♣2 | pair
♠J, ♥4, ♠4, ♥6, ♠7 | pair
♠J, ♥4, ♠4, ♥6, ♣A | pair
♠J, ♥4, ♠4, ♣2, ♠7 | pair
♠J, ♥4, ♠4, ♣2, ♣A | pair
♠J, ♥4, ♠4, ♠7, ♣A | pair
♠J, ♣4, ♣3, ♣10, ♠4 | pair
♠J, ♣4, ♣3, ♥A, ♠4 | pair
♠J, ♣4, ♣3, ♥A, ♣A | pair
♠J, ♣4, ♣3, ♣9, ♠4 | pair
♠J, ♣4, ♣3, ♠4, ♦8 | pair
♠J, ♣4, ♣3, ♠4, ♥6 | pair
♠J, ♣4, ♣3, ♠4, ♣2 | pair
♠J, ♣4, ♣3, ♠4, ♠7 | pair
♠J, ♣4, ♣3, ♠4, ♣A | pair
♠J, ♣4, ♣10, ♥A, ♠4 | pair
♠J, ♣4, ♣10, ♥A, ♣A | pair
♠J, ♣4, ♣10, ♣9, ♠4 | pair
♠J, ♣4, ♣10, ♠4, ♦8 | pair
♠J, ♣4, ♣10, ♠4, ♥6 | pair
♠J, ♣4, ♣10, ♠4, ♣2 | pair
♠J, ♣4, ♣10, ♠4, ♠7 | pair
♠J, ♣4, ♣10, ♠4, ♣A | pair
♠J, ♣4, ♥A, ♣9, ♠4 | pair
♠J, ♣4, ♥A, ♣9, ♣A | pair
♠J, ♣4, ♥A, ♠4, ♦8 | pair
♠J, ♣4, ♥A, ♠4, ♥6 | pair
♠J, ♣4, ♥A, ♠4, ♣2 | pair
♠J, ♣4, ♥A, ♠4, ♠7 | pair
♠J, ♣4, ♥A, ♠4, ♣A | two pairs
♠J, ♣4, ♥A, ♦8, ♣A | pair
♠J, ♣4, ♥A, ♥6, ♣A | pair
♠J, ♣4, ♥A, ♣2, ♣A | pair
♠J, ♣4, ♥A, ♠7, ♣A | pair
♠J, ♣4, ♣9, ♠4, ♦8 | pair
♠J, ♣4, ♣9, ♠4, ♥6 | pair
♠J, ♣4, ♣9, ♠4, ♣2 | pair
♠J, ♣4, ♣9, ♠4, ♠7 | pair
♠J, ♣4, ♣9, ♠4, ♣A | pair
♠J, ♣4, ♠4, ♦8, ♥6 | pair
♠J, ♣4, ♠4, ♦8, ♣2 | pair
♠J, ♣4, ♠4, ♦8, ♠7 | pair
♠J, ♣4, ♠4, ♦8, ♣A | pair
♠J, ♣4, ♠4, ♥6, ♣2 | pair
♠J, ♣4, ♠4, ♥6, ♠7 | pair
♠J, ♣4, ♠4, ♥6, ♣A | pair
♠J, ♣4, ♠4, ♣2, ♠7 | pair
♠J, ♣4, ♠4, ♣2, ♣A | pair
♠J, ♣4, ♠4, ♠7, ♣A | pair
♠J, ♣3, ♣10, ♥A, ♣A | pair
♠J, ♣3, ♥A, ♣9, ♣A | pair
♠J, ♣3, ♥A, ♠4, ♣A | pair
♠J, ♣3, ♥A, ♦8, ♣A | pair
♠J, ♣3, ♥A, ♥6, ♣A | pair
♠J, ♣3, ♥A, ♣2, ♣A | pair
♠J, ♣3, ♥A, ♠7, ♣A | pair
♠J, ♣10, ♥A, ♣9, ♣A | pair
♠J, ♣10, ♥A, ♠4, ♣A | pair
♠J, ♣10, ♥A, ♦8, ♣A | pair
♠J, ♣10, ♥A, ♥6, ♣A | pair
♠J, ♣10, ♥A, ♣2, ♣A | pair
♠J, ♣10, ♥A, ♠7, ♣A | pair
♠J, ♣10, ♣9, ♦8, ♠7 | straight
♠J, ♥A, ♣9, ♠4, ♣A | pair
♠J, ♥A, ♣9, ♦8, ♣A | pair
♠J, ♥A, ♣9, ♥6, ♣A | pair
♠J, ♥A, ♣9, ♣2, ♣A | pair
♠J, ♥A, ♣9, ♠7, ♣A | pair
♠J, ♥A, ♠4, ♦8, ♣A | pair
♠J, ♥A, ♠4, ♥6, ♣A | pair
♠J, ♥A, ♠4, ♣2, ♣A | pair
♠J, ♥A, ♠4, ♠7, ♣A | pair
♠J, ♥A, ♦8, ♥6, ♣A | pair
♠J, ♥A, ♦8, ♣2, ♣A | pair
♠J, ♥A, ♦8, ♠7, ♣A | pair
♠J, ♥A, ♥6, ♣2, ♣A | pair
♠J, ♥A, ♥6, ♠7, ♣A | pair
♠J, ♥A, ♣2, ♠7, ♣A | pair
♥4, ♣4, ♣3, ♣10, ♥A | pair
♥4, ♣4, ♣3, ♣10, ♣9 | pair
♥4, ♣4, ♣3, ♣10, ♠4 | three of a kind
♥4, ♣4, ♣3, ♣10, ♦8 | pair
♥4, ♣4, ♣3, ♣10, ♥6 | pair
♥4, ♣4, ♣3, ♣10, ♣2 | pair
♥4, ♣4, ♣3, ♣10, ♠7 | pair
♥4, ♣4, ♣3, ♣10, ♣A | pair
♥4, ♣4, ♣3, ♥A, ♣9 | pair
♥4, ♣4, ♣3, ♥A, ♠4 | three of a kind
♥4, ♣4, ♣3, ♥A, ♦8 | pair
♥4, ♣4, ♣3, ♥A, ♥6 | pair
♥4, ♣4, ♣3, ♥A, ♣2 | pair
♥4, ♣4, ♣3, ♥A, ♠7 | pair
♥4, ♣4, ♣3, ♥A, ♣A | two pairs
♥4, ♣4, ♣3, ♣9, ♠4 | three of a kind
♥4, ♣4, ♣3, ♣9, ♦8 | pair
♥4, ♣4, ♣3, ♣9, ♥6 | pair
♥4, ♣4, ♣3, ♣9, ♣2 | pair
♥4, ♣4, ♣3, ♣9, ♠7 | pair
♥4, ♣4, ♣3, ♣9, ♣A | pair
♥4, ♣4, ♣3, ♠4, ♦8 | three of a kind
♥4, ♣4, ♣3, ♠4, ♥6 | three of a kind
♥4, ♣4, ♣3, ♠4, ♣2 | three of a kind
♥4, ♣4, ♣3, ♠4, ♠7 | three of a kind
♥4, ♣4, ♣3, ♠4, ♣A | three of a kind
♥4, ♣4, ♣3, ♦8, ♥6 | pair
♥4, ♣4, ♣3, ♦8, ♣2 | pair
♥4, ♣4, ♣3, ♦8, ♠7 | pair
♥4, ♣4, ♣3, ♦8, ♣A | pair
♥4, ♣4, ♣3, ♥6, ♣2 | pair
♥4, ♣4, ♣3, ♥6, ♠7 | pair
♥4, ♣4, ♣3, ♥6, ♣A | pair
♥4, ♣4, ♣3, ♣2, ♠7 | pair
♥4, ♣4, ♣3, ♣2, ♣A | pair
♥4, ♣4, ♣3, ♠7, ♣A | pair
♥4, ♣4, ♣10, ♥A, ♣9 | pair
♥4, ♣4, ♣10, ♥A, ♠4 | three of a kind
♥4, ♣4, ♣10, ♥A, ♦8 | pair
♥4, ♣4, ♣10, ♥A, ♥6 | pair
♥4, ♣4, ♣10, ♥A, ♣2 | pair
♥4, ♣4, ♣10, ♥A, ♠7 | pair
♥4, ♣4, ♣10, ♥A, ♣A | two pairs
♥4, ♣4, ♣10, ♣9, ♠4 | three of a kind
♥4, ♣4, ♣10, ♣9, ♦8 | pair
♥4, ♣4, ♣10, ♣9, ♥6 | pair
♥4, ♣4, ♣10, ♣9, ♣2 | pair
♥4, ♣4, ♣10, ♣9, ♠7 | pair
♥4, ♣4, ♣10, ♣9, ♣A | pair
♥4, ♣4, ♣10, ♠4, ♦8 | three of a kind
♥4, ♣4, ♣10, ♠4, ♥6 | three of a kind
♥4, ♣4, ♣10, ♠4, ♣2 | three of a kind
♥4, ♣4, ♣10, ♠4, ♠7 | three of a kind
♥4, ♣4, ♣10, ♠4, ♣A | three of a kind
♥4, ♣4, ♣10, ♦8, ♥6 | pair
♥4, ♣4, ♣10, ♦8, ♣2 | pair
♥4, ♣4, ♣10, ♦8, ♠7 | pair
♥4, ♣4, ♣10, ♦8, ♣A | pair
♥4, ♣4, ♣10, ♥6, ♣2 | pair
♥4, ♣4, ♣10, ♥6, ♠7 | pair
♥4, ♣4, ♣10, ♥6, ♣A | pair
♥4, ♣4, ♣10, ♣2, ♠7 | pair
♥4, ♣4, ♣10, ♣2, ♣A | pair
♥4, ♣4, ♣10, ♠7, ♣A | pair
♥4, ♣4, ♥A, ♣9, ♠4 | three of a kind
♥4, ♣4, ♥A, ♣9, ♦8 | pair
♥4, ♣4, ♥A, ♣9, ♥6 | pair
♥4, ♣4, ♥A, ♣9, ♣2 | pair
♥4, ♣4, ♥A, ♣9, ♠7 | pair
♥4, ♣4, ♥A, ♣9, ♣A | two pairs
♥4, ♣4, ♥A, ♠4, ♦8 | three of a kind
♥4, ♣4, ♥A, ♠4, ♥6 | three of a kind
♥4, ♣4, ♥A, ♠4, ♣2 | three of a kind
♥4, ♣4, ♥A, ♠4, ♠7 | three of a kind
♥4, ♣4, ♥A, ♠4, ♣A | fullhouse
♥4, ♣4, ♥A, ♦8, ♥6 | pair
♥4, ♣4, ♥A, ♦8, ♣2 | pair
♥4, ♣4, ♥A, ♦8, ♠7 | pair
♥4, ♣4, ♥A, ♦8, ♣A | two pairs
♥4, ♣4, ♥A, ♥6, ♣2 | pair
♥4, ♣4, ♥A, ♥6, ♠7 | pair
♥4, ♣4, ♥A, ♥6, ♣A | two pairs
♥4, ♣4, ♥A, ♣2, ♠7 | pair
♥4, ♣4, ♥A, ♣2, ♣A | two pairs
♥4, ♣4, ♥A, ♠7, ♣A | two pairs
♥4, ♣4, ♣9, ♠4, ♦8 | three of a kind
♥4, ♣4, ♣9, ♠4, ♥6 | three of a kind
♥4, ♣4, ♣9, ♠4, ♣2 | three of a kind
♥4, ♣4, ♣9, ♠4, ♠7 | three of a kind
♥4, ♣4, ♣9, ♠4, ♣A | three of a kind
♥4, ♣4, ♣9, ♦8, ♥6 | pair
♥4, ♣4, ♣9, ♦8, ♣2 | pair
♥4, ♣4, ♣9, ♦8, ♠7 | pair
♥4, ♣4, ♣9, ♦8, ♣A | pair
♥4, ♣4, ♣9, ♥6, ♣2 | pair
♥4, ♣4, ♣9, ♥6, ♠7 | pair
♥4, ♣4, ♣9, ♥6, ♣A | pair
♥4, ♣4, ♣9, ♣2, ♠7 | pair
♥4, ♣4, ♣9, ♣2, ♣A | pair
♥4, ♣4, ♣9, ♠7, ♣A | pair
♥4, ♣4, ♠4, ♦8, ♥6 | three of a kind
♥4, ♣4, ♠4, ♦8, ♣2 | three of a kind
♥4, ♣4, ♠4, ♦8, ♠7 | three of a kind
♥4, ♣4, ♠4, ♦8, ♣A | three of a kind
♥4, ♣4, ♠4, ♥6, ♣2 | three of a kind
♥4, ♣4, ♠4, ♥6, ♠7 | three of a kind
♥4, ♣4, ♠4, ♥6, ♣A | three of a kind
♥4, ♣4, ♠4, ♣2, ♠7 | three of a kind
♥4, ♣4, ♠4, ♣2, ♣A | three of a kind
♥4, ♣4, ♠4, ♠7, ♣A | three of a kind
♥4, ♣4, ♦8, ♥6, ♣2 | pair
♥4, ♣4, ♦8, ♥6, ♠7 | pair
♥4, ♣4, ♦8, ♥6, ♣A | pair
♥4, ♣4, ♦8, ♣2, ♠7 | pair
♥4, ♣4, ♦8, ♣2, ♣A | pair
♥4, ♣4, ♦8, ♠7, ♣A | pair
♥4, ♣4, ♥6, ♣2, ♠7 | pair
♥4, ♣4, ♥6, ♣2, ♣A | pair
♥4, ♣4, ♥6, ♠7, ♣A | pair
♥4, ♣4, ♣2, ♠7, ♣A | pair
♥4, ♣3, ♣10, ♥A, ♠4 | pair
♥4, ♣3, ♣10, ♥A, ♣A | pair
♥4, ♣3, ♣10, ♣9, ♠4 | pair
♥4, ♣3, ♣10, ♠4, ♦8 | pair
♥4, ♣3, ♣10, ♠4, ♥6 | pair
♥4, ♣3, ♣10, ♠4, ♣2 | pair
♥4, ♣3, ♣10, ♠4, ♠7 | pair
♥4, ♣3, ♣10, ♠4, ♣A | pair
♥4, ♣3, ♥A, ♣9, ♠4 | pair
♥4, ♣3, ♥A, ♣9, ♣A | pair
♥4, ♣3, ♥A, ♠4, ♦8 | pair
♥4, ♣3, ♥A, ♠4, ♥6 | pair
♥4, ♣3, ♥A, ♠4, ♣2 | pair
♥4, ♣3, ♥A, ♠4, ♠7 | pair
♥4, ♣3, ♥A, ♠4, ♣A | two pairs
♥4, ♣3, ♥A, ♦8, ♣A | pair
♥4, ♣3, ♥A, ♥6, ♣A | pair
♥4, ♣3, ♥A, ♣2, ♣A | pair
♥4, ♣3, ♥A, ♠7, ♣A | pair
♥4, ♣3, ♣9, ♠4, ♦8 | pair
♥4, ♣3, ♣9, ♠4, ♥6 | pair
♥4, ♣3, ♣9, ♠4, ♣2 | pair
♥4, ♣3, ♣9, ♠4, ♠7 | pair
♥4, ♣3, ♣9, ♠4, ♣A | pair
♥4, ♣3, ♠4, ♦8, ♥6 | pair
♥4, ♣3, ♠4, ♦8, ♣2 | pair
♥4, ♣3, ♠4, ♦8, ♠7 | pair
♥4, ♣3, ♠4, ♦8, ♣A | pair
♥4, ♣3, ♠4, ♥6, ♣2 | pair
♥4, ♣3, ♠4, ♥6, ♠7 | pair
♥4, ♣3, ♠4, ♥6, ♣A | pair
♥4, ♣3, ♠4, ♣2, ♠7 | pair
♥4, ♣3, ♠4, ♣2, ♣A | pair
♥4, ♣3, ♠4, ♠7, ♣A | pair
♥4, ♣10, ♥A, ♣9, ♠4 | pair
♥4, ♣10, ♥A, ♣9, ♣A | pair
♥4, ♣10, ♥A, ♠4, ♦8 | pair
♥4, ♣10, ♥A, ♠4, ♥6 | pair
♥4, ♣10, ♥A, ♠4, ♣2 | pair
♥4, ♣10, ♥A, ♠4, ♠7 | pair
♥4, ♣10, ♥A, ♠4, ♣A | two pairs
♥4, ♣10, ♥A, ♦8, ♣A | pair
♥4, ♣10, ♥A, ♥6, ♣A | pair
♥4, ♣10, ♥A, ♣2, ♣A | pair
♥4, ♣10, ♥A, ♠7, ♣A | pair
♥4, ♣10, ♣9, ♠4, ♦8 | pair
♥4, ♣10, ♣9, ♠4, ♥6 | pair
♥4, ♣10, ♣9, ♠4, ♣2 | pair
♥4, ♣10, ♣9, ♠4, ♠7 | pair
♥4, ♣10, ♣9, ♠4, ♣A | pair
♥4, ♣10, ♠4, ♦8, ♥6 | pair
♥4, ♣10, ♠4, ♦8, ♣2 | pair
♥4, ♣10, ♠4, ♦8, ♠7 | pair
♥4, ♣10, ♠4, ♦8, ♣A | pair
♥4, ♣10, ♠4, ♥6, ♣2 | pair
♥4, ♣10, ♠4, ♥6, ♠7 | pair
♥4, ♣10, ♠4, ♥6, ♣A | pair
♥4, ♣10, ♠4, ♣2, ♠7 | pair
♥4, ♣10, ♠4, ♣2, ♣A | pair
♥4, ♣10, ♠4, ♠7, ♣A | pair
♥4, ♥A, ♣9, ♠4, ♦8 | pair
♥4, ♥A, ♣9, ♠4, ♥6 | pair
♥4, ♥A, ♣9, ♠4, ♣2 | pair
♥4, ♥A, ♣9, ♠4, ♠7 | pair
♥4, ♥A, ♣9, ♠4, ♣A | two pairs
♥4, ♥A, ♣9, ♦8, ♣A | pair
♥4, ♥A, ♣9, ♥6, ♣A | pair
♥4, ♥A, ♣9, ♣2, ♣A | pair
♥4, ♥A, ♣9, ♠7, ♣A | pair
♥4, ♥A, ♠4, ♦8, ♥6 | pair
♥4, ♥A, ♠4, ♦8, ♣2 | pair
♥4, ♥A, ♠4, ♦8, ♠7 | pair
♥4, ♥A, ♠4, ♦8, ♣A | two pairs
♥4, ♥A, ♠4, ♥6, ♣2 | pair
♥4, ♥A, ♠4, ♥6, ♠7 | pair
♥4, ♥A, ♠4, ♥6, ♣A | two pairs
♥4, ♥A, ♠4, ♣2, ♠7 | pair
♥4, ♥A, ♠4, ♣2, ♣A | two pairs
♥4, ♥A, ♠4, ♠7, ♣A | two pairs
♥4, ♥A, ♦8, ♥6, ♣A | pair
♥4, ♥A, ♦8, ♣2, ♣A | pair
♥4, ♥A, ♦8, ♠7, ♣A | pair
♥4, ♥A, ♥6, ♣2, ♣A | pair
♥4, ♥A, ♥6, ♠7, ♣A | pair
♥4, ♥A, ♣2, ♠7, ♣A | pair
♥4, ♣9, ♠4, ♦8, ♥6 | pair
♥4, ♣9, ♠4, ♦8, ♣2 | pair
♥4, ♣9, ♠4, ♦8, ♠7 | pair
♥4, ♣9, ♠4, ♦8, ♣A | pair
♥4, ♣9, ♠4, ♥6, ♣2 | pair
♥4, ♣9, ♠4, ♥6, ♠7 | pair
♥4, ♣9, ♠4, ♥6, ♣A | pair
♥4, ♣9, ♠4, ♣2, ♠7 | pair
♥4, ♣9, ♠4, ♣2, ♣A | pair
♥4, ♣9, ♠4, ♠7, ♣A | pair
♥4, ♠4, ♦8, ♥6, ♣2 | pair
♥4, ♠4, ♦8, ♥6, ♠7 | pair
♥4, ♠4, ♦8, ♥6, ♣A | pair
♥4, ♠4, ♦8, ♣2, ♠7 | pair
♥4, ♠4, ♦8, ♣2, ♣A | pair
♥4, ♠4, ♦8, ♠7, ♣A | pair
♥4, ♠4, ♥6, ♣2, ♠7 | pair
♥4, ♠4, ♥6, ♣2, ♣A | pair
♥4, ♠4, ♥6, ♠7, ♣A | pair
♥4, ♠4, ♣2, ♠7, ♣A | pair
♣4, ♣3, ♣10, ♥A, ♠4 | pair
♣4, ♣3, ♣10, ♥A, ♣A | pair
♣4, ♣3, ♣10, ♣9, ♠4 | pair
♣4, ♣3, ♣10, ♣9, ♣2 | flush
♣4, ♣3, ♣10, ♣9, ♣A | flush
♣4, ♣3, ♣10, ♠4, ♦8 | pair
♣4, ♣3, ♣10, ♠4, ♥6 | pair
♣4, ♣3, ♣10, ♠4, ♣2 | pair
♣4, ♣3, ♣10, ♠4, ♠7 | pair
♣4, ♣3, ♣10, ♠4, ♣A | pair
♣4, ♣3, ♣10, ♣2, ♣A | flush
♣4, ♣3, ♥A, ♣9, ♠4 | pair
♣4, ♣3, ♥A, ♣9, ♣A | pair
♣4, ♣3, ♥A, ♠4, ♦8 | pair
♣4, ♣3, ♥A, ♠4, ♥6 | pair
♣4, ♣3, ♥A, ♠4, ♣2 | pair
♣4, ♣3, ♥A, ♠4, ♠7 | pair
♣4, ♣3, ♥A, ♠4, ♣A | two pairs
♣4, ♣3, ♥A, ♦8, ♣A | pair
♣4, ♣3, ♥A, ♥6, ♣A | pair
♣4, ♣3, ♥A, ♣2, ♣A | pair
♣4, ♣3, ♥A, ♠7, ♣A | pair
♣4, ♣3, ♣9, ♠4, ♦8 | pair
♣4, ♣3, ♣9, ♠4, ♥6 | pair
♣4, ♣3, ♣9, ♠4, ♣2 | pair
♣4, ♣3, ♣9, ♠4, ♠7 | pair
♣4, ♣3, ♣9, ♠4, ♣A | pair
♣4, ♣3, ♣9, ♣2, ♣A | flush
♣4, ♣3, ♠4, ♦8, ♥6 | pair
♣4, ♣3, ♠4, ♦8, ♣2 | pair
♣4, ♣3, ♠4, ♦8, ♠7 | pair
♣4, ♣3, ♠4, ♦8, ♣A | pair
♣4, ♣3, ♠4, ♥6, ♣2 | pair
♣4, ♣3, ♠4, ♥6, ♠7 | pair
♣4, ♣3, ♠4, ♥6, ♣A | pair
♣4, ♣3, ♠4, ♣2, ♠7 | pair
♣4, ♣3, ♠4, ♣2, ♣A | pair
♣4, ♣3, ♠4, ♠7, ♣A | pair
♣4, ♣10, ♥A, ♣9, ♠4 | pair
♣4, ♣10, ♥A, ♣9, ♣A | pair
♣4, ♣10, ♥A, ♠4, ♦8 | pair
♣4, ♣10, ♥A, ♠4, ♥6 | pair
♣4, ♣10, ♥A, ♠4, ♣2 | pair
♣4, ♣10, ♥A, ♠4, ♠7 | pair
♣4, ♣10, ♥A, ♠4, ♣A | two pairs
♣4, ♣10, ♥A, ♦8, ♣A | pair
♣4, ♣10, ♥A, ♥6, ♣A | pair
♣4, ♣10, ♥A, ♣2, ♣A | pair
♣4, ♣10, ♥A, ♠7, ♣A | pair
♣4, ♣10, ♣9, ♠4, ♦8 | pair
♣4, ♣10, ♣9, ♠4, ♥6 | pair
♣4, ♣10, ♣9, ♠4, ♣2 | pair
♣4, ♣10, ♣9, ♠4, ♠7 | pair
♣4, ♣10, ♣9, ♠4, ♣A | pair
♣4, ♣10, ♣9, ♣2, ♣A | flush
♣4, ♣10, ♠4, ♦8, ♥6 | pair
♣4, ♣10, ♠4, ♦8, ♣2 | pair
♣4, ♣10, ♠4, ♦8, ♠7 | pair
♣4, ♣10, ♠4, ♦8, ♣A | pair
♣4, ♣10, ♠4, ♥6, ♣2 | pair
♣4, ♣10, ♠4, ♥6, ♠7 | pair
♣4, ♣10, ♠4, ♥6, ♣A | pair
♣4, ♣10, ♠4, ♣2, ♠7 | pair
♣4, ♣10, ♠4, ♣2, ♣A | pair
♣4, ♣10, ♠4, ♠7, ♣A | pair
♣4, ♥A, ♣9, ♠4, ♦8 | pair
♣4, ♥A, ♣9, ♠4, ♥6 | pair
♣4, ♥A, ♣9, ♠4, ♣2 | pair
♣4, ♥A, ♣9, ♠4, ♠7 | pair
♣4, ♥A, ♣9, ♠4, ♣A | two pairs
♣4, ♥A, ♣9, ♦8, ♣A | pair
♣4, ♥A, ♣9, ♥6, ♣A | pair
♣4, ♥A, ♣9, ♣2, ♣A | pair
♣4, ♥A, ♣9, ♠7, ♣A | pair
♣4, ♥A, ♠4, ♦8, ♥6 | pair
♣4, ♥A, ♠4, ♦8, ♣2 | pair
♣4, ♥A, ♠4, ♦8, ♠7 | pair
♣4, ♥A, ♠4, ♦8, ♣A | two pairs
♣4, ♥A, ♠4, ♥6, ♣2 | pair
♣4, ♥A, ♠4, ♥6, ♠7 | pair
♣4, ♥A, ♠4, ♥6, ♣A | two pairs
♣4, ♥A, ♠4, ♣2, ♠7 | pair
♣4, ♥A, ♠4, ♣2, ♣A | two pairs
♣4, ♥A, ♠4, ♠7, ♣A | two pairs
♣4, ♥A, ♦8, ♥6, ♣A | pair
♣4, ♥A, ♦8, ♣2, ♣A | pair
♣4, ♥A, ♦8, ♠7, ♣A | pair
♣4, ♥A, ♥6, ♣2, ♣A | pair
♣4, ♥A, ♥6, ♠7, ♣A | pair
♣4, ♥A, ♣2, ♠7, ♣A | pair
♣4, ♣9, ♠4, ♦8, ♥6 | pair
♣4, ♣9, ♠4, ♦8, ♣2 | pair
♣4, ♣9, ♠4, ♦8, ♠7 | pair
♣4, ♣9, ♠4, ♦8, ♣A | pair
♣4, ♣9, ♠4, ♥6, ♣2 | pair
♣4, ♣9, ♠4, ♥6, ♠7 | pair
♣4, ♣9, ♠4, ♥6, ♣A | pair
♣4, ♣9, ♠4, ♣2, ♠7 | pair
♣4, ♣9, ♠4, ♣2, ♣A | pair
♣4, ♣9, ♠4, ♠7, ♣A | pair
♣4, ♠4, ♦8, ♥6, ♣2 | pair
♣4, ♠4, ♦8, ♥6, ♠7 | pair
♣4, ♠4, ♦8, ♥6, ♣A | pair
♣4, ♠4, ♦8, ♣2, ♠7 | pair
♣4, ♠4, ♦8, ♣2, ♣A | pair
♣4, ♠4, ♦8, ♠7, ♣A | pair
♣4, ♠4, ♥6, ♣2, ♠7 | pair
♣4, ♠4, ♥6, ♣2, ♣A | pair
♣4, ♠4, ♥6, ♠7, ♣A | pair
♣4, ♠4, ♣2, ♠7, ♣A | pair
♣3, ♣10, ♥A, ♣9, ♣A | pair
♣3, ♣10, ♥A, ♠4, ♣A | pair
♣3, ♣10, ♥A, ♦8, ♣A | pair
♣3, ♣10, ♥A, ♥6, ♣A | pair
♣3, ♣10, ♥A, ♣2, ♣A | pair
