♥6,♥A,♠T,♣J,♦A | Pair
♠T,♥8,♥5,♣5,♠5 | Full House
♠T,♥8,♥5,♦8,♦A | Pair
♠T,♥8,♥5,♦8,♠5 | Two Pairs
♠T,♥8,♥5,♦A,♠5 | Pair
♠T,♥8,♣4,♣5,♦8 | Pair
♠T,♥8,♣4,♣5,♠5 | Pair
♠T,♥8,♣4,♦8,♦A | Pair
♠T,♥8,♣4,♦8,♠5 | Pair
♠T,♥8,♣5,♦8,♦A | Pair
♠T,♥8,♣5,♦8,♠5 | Two Pairs
♠T,♥8,♣5,♦A,♠5 | Pair
♠T,♥8,♦8,♦A,♠5 | Pair
♠T,♥5,♣4,♣5,♦8 | Pair
♠T,♥5,♣4,♣5,♦A | Pair
♠T,♥5,♣4,♣5,♠5 | Full House
♠T,♥5,♣4,♦8,♠5 | Pair
♠T,♥5,♣4,♦A,♠5 | Pair
♠T,♥5,♣5,♦8,♦A | Pair
♠T,♥5,♣5,♦8,♠5 | Full House
♠T,♥5,♣5,♦A,♠5 | Full House
♠T,♥5,♦8,♦A,♠5 | Pair
♠T,♣4,♣5,♦8,♠5 | Pair
♠T,♣4,♣5,♦A,♠5 | Pair
♠T,♣5,♦8,♦A,♠5 | Pair
♣J,♥8,♥5,♣4,♣5 | Pair
♣J,♥8,♥5,♣4,♦8 | Pair
♣J,♥8,♥5,♣4,♠5 | Pair
♣J,♥8,♥5,♣5,♦8 | Two Pairs
♣J,♥8,♥5,♣5,♦A | Pair
♣J,♥8,♥5,♣5,♠5 | Full House
♣J,♥8,♥5,♦8,♦A | Pair
♣J,♥8,♥5,♦8,♠5 | Two Pairs
♣J,♥8,♥5,♦A,♠5 | Pair
♣J,♥8,♣4,♣5,♦8 | Pair
♣J,♥8,♣4,♣5,♠5 | Pair
♣J,♥8,♣4,♦8,♦A | Pair
♣J,♥8,♣4,♦8,♠5 | Pair
♣J,♥8,♣5,♦8,♦A | Pair
♣J,♥8,♣5,♦8,♠5 | Two Pairs
♣J,♥8,♣5,♦A,♠5 | Pair
♣J,♥8,♦8,♦A,♠5 | Pair
♣J,♥5,♣4,♣5,♦8 | Pair
♣J,♥5,♣4,♣5,♦A | Pair
♣J,♥5,♣4,♣5,♠5 | Full House
♣J,♥5,♣4,♦8,♠5 | Pair
♣J,♥5,♣4,♦A,♠5 | Pair
♣J,♥5,♣5,♦8,♦A | Pair
♣J,♥5,♣5,♦8,♠5 | Full House
♣J,♥5,♣5,♦A,♠5 | Full House
♣J,♥5,♦8,♦A,♠5 | Pair
♣J,♣4,♣5,♦8,♠5 | Pair
♣J,♣4,♣5,♦A,♠5 | Pair
♣J,♣5,♦8,♦A,♠5 | Pair
♥8,♥5,♣4,♣5,♦8 | Two Pairs
♥8,♥5,♣4,♣5,♦A | Pair
♥8,♥5,♣4,♣5,♠5 | Full House
♥8,♥5,♣4,♦8,♦A | Pair
♥8,♥5,♣4,♦8,♠5 | Two Pairs
♥8,♥5,♣4,♦A,♠5 | Pair
♥8,♥5,♣5,♦8,♦A | Two Pairs
♥8,♥5,♣5,♦8,♠5 | Full House
♥8,♥5,♣5,♦A,♠5 | Full House
♥8,♥5,♦8,♦A,♠5 | Two Pairs
♥8,♣4,♣5,♦8,♦A | Pair
♥8,♣4,♣5,♦8,♠5 | Two Pairs
♥8,♣4,♣5,♦A,♠5 | Pair
♥8,♣4,♦8,♦A,♠5 | Pair
♥8,♣5,♦8,♦A,♠5 | Two Pairs
♥5,♣4,♣5,♦8,♦A | Pair
♥5,♣4,♣5,♦8,♠5 | Full House
♥5,♣4,♣5,♦A,♠5 | Full House
♥5,♣4,♦8,♦A,♠5 | Pair
♥5,♣5,♦8,♦A,♠5 | Full House
♣4,♣5,♦8,♦A,♠5 | Pair
