♦7, ♠10, ♥K, ♣3, ♥3 | pair
♦7, ♣3, ♠9, ♥3, ♦Q | pair
♦7, ♣3, ♠9, ♥3, ♣10 | pair
♦7, ♣3, ♠9, ♥3, ♠A | pair
♦7, ♣3, ♠9, ♠7, ♣A | pair
♦7, ♣3, ♠9, ♠7, ♥4 | pair
♦7, ♣3, ♠9, ♠7, ♣2 | pair
♦7, ♣3, ♠9, ♠7, ♦Q | pair
♦7, ♣3, ♠9, ♠7, ♣10 | pair
♦7, ♣3, ♠9, ♠7, ♠A | pair
♦7, ♣3, ♠9, ♣A, ♠A | pair
♦7, ♣3, ♥3, ♠7, ♣A | two pairs
♦7, ♣3, ♥3, ♠7, ♥4 | two pairs
♦7, ♣3, ♥3, ♠7, ♣2 | two pairs
♦7, ♣3, ♥3, ♠7, ♦Q | two pairs
♦7, ♣3, ♥3, ♠7, ♣10 | two pairs
♦7, ♣3, ♥3, ♠7, ♠A | two pairs
♦7, ♣3, ♥3, ♣A, ♥4 | pair
♦7, ♣3, ♥3, ♣A, ♣2 | pair
♦7, ♣3, ♥3, ♣A, ♦Q | pair
♦7, ♣3, ♥3, ♣A, ♣10 | pair
♦7, ♣3, ♥3, ♣A, ♠A | two pairs
♦7, ♣3, ♥3, ♥4, ♣2 | pair
♦7, ♣3, ♥3, ♥4, ♦Q | pair
♦7, ♣3, ♥3, ♥4, ♣10 | pair
♦7, ♣3, ♥3, ♥4, ♠A | pair
♦7, ♣3, ♥3, ♣2, ♦Q | pair
♦7, ♣3, ♥3, ♣2, ♣10 | pair
♦7, ♣3, ♥3, ♣2, ♠A | pair
♦7, ♣3, ♥3, ♦Q, ♣10 | pair
♦7, ♣3, ♥3, ♦Q, ♠A | pair
♦7, ♣3, ♥3, ♣10, ♠A | pair
♦7, ♣3, ♠7, ♣A, ♥4 | pair
♦7, ♣3, ♠7, ♣A, ♣2 | pair
♦7, ♣3, ♠7, ♣A, ♦Q | pair
♦7, ♣3, ♠7, ♣A, ♣10 | pair
♦7, ♣3, ♠7, ♣A, ♠A | two pairs
♦7, ♣3, ♠7, ♥4, ♣2 | pair
♦7, ♣3, ♠7, ♥4, ♦Q | pair
♦7, ♣3, ♠7, ♥4, ♣10 | pair
♦7, ♣3, ♠7, ♥4, ♠A | pair
♦7, ♣3, ♠7, ♣2, ♦Q | pair
♦7, ♣3, ♠7, ♣2, ♣10 | pair
♦7, ♣3, ♠7, ♣2, ♠A | pair
♦7, ♣3, ♠7, ♦Q, ♣10 | pair
♦7, ♣3, ♠7, ♦Q, ♠A | pair
♦7, ♣3, ♠7, ♣10, ♠A | pair
♦7, ♣3, ♣A, ♥4, ♠A | pair
♦7, ♣3, ♣A, ♣2, ♠A | pair
♦7, ♣3, ♣A, ♦Q, ♠A | pair
♦7, ♣3, ♣A, ♣10, ♠A | pair
♦7, ♠9, ♥3, ♠7, ♣A | pair
♦7, ♠9, ♥3, ♠7, ♥4 | pair
♦7, ♠9, ♥3, ♠7, ♣2 | pair
♦7, ♠9, ♥3, ♠7, ♦Q | pair
♦7, ♠9, ♥3, ♠7, ♣10 | pair
♦7, ♠9, ♥3, ♠7, ♠A | pair
♦7, ♠9, ♥3, ♣A, ♠A | pair
♦7, ♠9, ♠7, ♣A, ♥4 | pair
♦7, ♠9, ♠7, ♣A, ♣2 | pair
♦7, ♠9, ♠7, ♣A, ♦Q | pair
♦7, ♠9, ♠7, ♣A, ♣10 | pair
♦7, ♠9, ♠7, ♣A, ♠A | two pairs
♦7, ♠9, ♠7, ♥4, ♣2 | pair
♦7, ♠9, ♠7, ♥4, ♦Q | pair
♦7, ♠9, ♠7, ♥4, ♣10 | pair
♦7, ♠9, ♠7, ♥4, ♠A | pair
♦7, ♠9, ♠7, ♣2, ♦Q | pair
♦7, ♠9, ♠7, ♣2, ♣10 | pair
♦7, ♠9, ♠7, ♣2, ♠A | pair
♦7, ♠9, ♠7, ♦Q, ♣10 | pair
♦7, ♠9, ♠7, ♦Q, ♠A | pair
♦7, ♠9, ♠7, ♣10, ♠A | pair
♦7, ♠9, ♣A, ♥4, ♠A | pair
♦7, ♠9, ♣A, ♣2, ♠A | pair
♦7, ♠9, ♣A, ♦Q, ♠A | pair
♦7, ♠9, ♣A, ♣10, ♠A | pair
♦7, ♥3, ♠7, ♣A, ♥4 | pair
♦7, ♥3, ♠7, ♣A, ♣2 | pair
♦7, ♥3, ♠7, ♣A, ♦Q | pair
♦7, ♥3, ♠7, ♣A, ♣10 | pair
♦7, ♥3, ♠7, ♣A, ♠A | two pairs
♦7, ♥3, ♠7, ♥4, ♣2 | pair
♦7, ♥3, ♠7, ♥4, ♦Q | pair
♦7, ♥3, ♠7, ♥4, ♣10 | pair
♦7, ♥3, ♠7, ♥4, ♠A | pair
♦7, ♥3, ♠7, ♣2, ♦Q | pair
♦7, ♥3, ♠7, ♣2, ♣10 | pair
♦7, ♥3, ♠7, ♣2, ♠A | pair
♦7, ♥3, ♠7, ♦Q, ♣10 | pair
♦7, ♥3, ♠7, ♦Q, ♠A | pair
♦7, ♥3, ♠7, ♣10, ♠A | pair
♦7, ♥3, ♣A, ♥4, ♠A | pair
♦7, ♥3, ♣A, ♣2, ♠A | pair
♦7, ♥3, ♣A, ♦Q, ♠A | pair
♦7, ♥3, ♣A, ♣10, ♠A | pair
♦7, ♠7, ♣A, ♥4, ♣2 | pair
♦7, ♠7, ♣A, ♥4, ♦Q | pair
♦7, ♠7, ♣A, ♥4, ♣10 | pair
♦7, ♠7, ♣A, ♥4, ♠A | two pairs
♦7, ♠7, ♣A, ♣2, ♦Q | pair
♦7, ♠7, ♣A, ♣2, ♣10 | pair
♦7, ♠7, ♣A, ♣2, ♠A | two pairs
♦7, ♠7, ♣A, ♦Q, ♣10 | pair
♦7, ♠7, ♣A, ♦Q, ♠A | two pairs
♦7, ♠7, ♣A, ♣10, ♠A | two pairs
♦7, ♠7, ♥4, ♣2, ♦Q | pair
♦7, ♠7, ♥4, ♣2, ♣10 | pair
♦7, ♠7, ♥4, ♣2, ♠A | pair
♦7, ♠7, ♥4, ♦Q, ♣10 | pair
♦7, ♠7, ♥4, ♦Q, ♠A | pair
♦7, ♠7, ♥4, ♣10, ♠A | pair
♦7, ♠7, ♣2, ♦Q, ♣10 | pair
♦7, ♠7, ♣2, ♦Q, ♠A | pair
♦7, ♠7, ♣2, ♣10, ♠A | pair
♦7, ♠7, ♦Q, ♣10, ♠A | pair
♦7, ♣A, ♥4, ♣2, ♠A | pair
♦7, ♣A, ♥4, ♦Q, ♠A | pair
♦7, ♣A, ♥4, ♣10, ♠A | pair
♦7, ♣A, ♣2, ♦Q, ♠A | pair
♦7, ♣A, ♣2, ♣10, ♠A | pair
♦7, ♣A, ♦Q, ♣10, ♠A | pair
♠10, ♥K, ♣3, ♠9, ♥3 | pair
♠10, ♥K, ♣3, ♠9, ♣10 | pair
♠10, ♥K, ♣3, ♥3, ♠7 | pair
♠10, ♥K, ♣3, ♥3, ♣A | pair
♠10, ♥K, ♣3, ♥3, ♥4 | pair
♠10, ♥K, ♣3, ♥3, ♣2 | pair
♠10, ♥K, ♣3, ♥3, ♦Q | pair
♠10, ♥K, ♣3, ♥3, ♣10 | two pairs
♠10, ♥K, ♣3, ♥3, ♠A | pair
♠10, ♥K, ♣3, ♠7, ♣10 | pair
♠10, ♥K, ♣3, ♣A, ♣10 | pair
♠10, ♥K, ♣3, ♣A, ♠A | pair
♠10, ♥K, ♣3, ♥4, ♣10 | pair
♠10, ♥K, ♣3, ♣2, ♣10 | pair
♠10, ♥K, ♣3, ♦Q, ♣10 | pair
♠10, ♥K, ♣3, ♣10, ♠A | pair
♠10, ♥K, ♠9, ♥3, ♣10 | pair
♠10, ♥K, ♠9, ♠7, ♣10 | pair
♠10, ♥K, ♠9, ♣A, ♣10 | pair
♠10, ♥K, ♠9, ♣A, ♠A | pair
♠10, ♥K, ♠9, ♥4, ♣10 | pair
♠10, ♥K, ♠9, ♣2, ♣10 | pair
♠10, ♥K, ♠9, ♦Q, ♣10 | pair
♠10, ♥K, ♠9, ♣10, ♠A | pair
♠10, ♥K, ♥3, ♠7, ♣10 | pair
♠10, ♥K, ♥3, ♣A, ♣10 | pair
♠10, ♥K, ♥3, ♣A, ♠A | pair
♠10, ♥K, ♥3, ♥4, ♣10 | pair
♠10, ♥K, ♥3, ♣2, ♣10 | pair
♠10, ♥K, ♥3, ♦Q, ♣10 | pair
♠10, ♥K, ♥3, ♣10, ♠A | pair
♠10, ♥K, ♠7, ♣A, ♣10 | pair
♠10, ♥K, ♠7, ♣A, ♠A | pair
♠10, ♥K, ♠7, ♥4, ♣10 | pair
♠10, ♥K, ♠7, ♣2, ♣10 | pair
♠10, ♥K, ♠7, ♦Q, ♣10 | pair
♠10, ♥K, ♠7, ♣10, ♠A | pair
♠10, ♥K, ♣A, ♥4, ♣10 | pair
♠10, ♥K, ♣A, ♥4, ♠A | pair
♠10, ♥K, ♣A, ♣2, ♣10 | pair
♠10, ♥K, ♣A, ♣2, ♠A | pair
♠10, ♥K, ♣A, ♦Q, ♣10 | pair
♠10, ♥K, ♣A, ♦Q, ♠A | pair
♠10, ♥K, ♣A, ♣10, ♠A | two pairs
♠10, ♥K, ♥4, ♣2, ♣10 | pair
♠10, ♥K, ♥4, ♦Q, ♣10 | pair
♠10, ♥K, ♥4, ♣10, ♠A | pair
♠10, ♥K, ♣2, ♦Q, ♣10 | pair
♠10, ♥K, ♣2, ♣10, ♠A | pair
♠10, ♥K, ♦Q, ♣10, ♠A | pair
♠10, ♣3, ♠9, ♥3, ♠7 | pair
♠10, ♣3, ♠9, ♥3, ♣A | pair
♠10, ♣3, ♠9, ♥3, ♥4 | pair
♠10, ♣3, ♠9, ♥3, ♣2 | pair
♠10, ♣3, ♠9, ♥3, ♦Q | pair
♠10, ♣3, ♠9, ♥3, ♣10 | two pairs
♠10, ♣3, ♠9, ♥3, ♠A | pair
♠10, ♣3, ♠9, ♠7, ♣10 | pair
♠10, ♣3, ♠9, ♣A, ♣10 | pair
♠10, ♣3, ♠9, ♣A, ♠A | pair
♠10, ♣3, ♠9, ♥4, ♣10 | pair
♠10, ♣3, ♠9, ♣2, ♣10 | pair
♠10, ♣3, ♠9, ♦Q, ♣10 | pair
♠10, ♣3, ♠9, ♣10, ♠A | pair
♠10, ♣3, ♥3, ♠7, ♣A | pair
♠10, ♣3, ♥3, ♠7, ♥4 | pair
♠10, ♣3, ♥3, ♠7, ♣2 | pair
♠10, ♣3, ♥3, ♠7, ♦Q | pair
♠10, ♣3, ♥3, ♠7, ♣10 | two pairs
♠10, ♣3, ♥3, ♠7, ♠A | pair
♠10, ♣3, ♥3, ♣A, ♥4 | pair
♠10, ♣3, ♥3, ♣A, ♣2 | pair
♠10, ♣3, ♥3, ♣A, ♦Q | pair
♠10, ♣3, ♥3, ♣A, ♣10 | two pairs
♠10, ♣3, ♥3, ♣A, ♠A | two pairs
♠10, ♣3, ♥3, ♥4, ♣2 | pair
♠10, ♣3, ♥3, ♥4, ♦Q | pair
♠10, ♣3, ♥3, ♥4, ♣10 | two pairs
♠10, ♣3, ♥3, ♥4, ♠A | pair
♠10, ♣3, ♥3, ♣2, ♦Q | pair
♠10, ♣3, ♥3, ♣2, ♣10 | two pairs
♠10, ♣3, ♥3, ♣2, ♠A | pair
♠10, ♣3, ♥3, ♦Q, ♣10 | two pairs
♠10, ♣3, ♥3, ♦Q, ♠A | pair
♠10, ♣3, ♥3, ♣10, ♠A | two pairs
♠10, ♣3, ♠7, ♣A, ♣10 | pair
♠10, ♣3, ♠7, ♣A, ♠A | pair
♠10, ♣3, ♠7, ♥4, ♣10 | pair
♠10, ♣3, ♠7, ♣2, ♣10 | pair
♠10, ♣3, ♠7, ♦Q, ♣10 | pair
♠10, ♣3, ♠7, ♣10, ♠A | pair
♠10, ♣3, ♣A, ♥4, ♣10 | pair
♠10, ♣3, ♣A, ♥4, ♠A | pair
♠10, ♣3, ♣A, ♣2, ♣10 | pair
♠10, ♣3, ♣A, ♣2, ♠A | pair
♠10, ♣3, ♣A, ♦Q, ♣10 | pair
♠10, ♣3, ♣A, ♦Q, ♠A | pair
♠10, ♣3, ♣A, ♣10, ♠A | two pairs
♠10, ♣3, ♥4, ♣2, ♣10 | pair
♠10, ♣3, ♥4, ♦Q, ♣10 | pair
♠10, ♣3, ♥4, ♣10, ♠A | pair
♠10, ♣3, ♣2, ♦Q, ♣10 | pair
♠10, ♣3, ♣2, ♣10, ♠A | pair
♠10, ♣3, ♦Q, ♣10, ♠A | pair
♠10, ♠9, ♥3, ♠7, ♣10 | pair
♠10, ♠9, ♥3, ♣A, ♣10 | pair
♠10, ♠9, ♥3, ♣A, ♠A | pair
♠10, ♠9, ♥3, ♥4, ♣10 | pair
♠10, ♠9, ♥3, ♣2, ♣10 | pair
♠10, ♠9, ♥3, ♦Q, ♣10 | pair
♠10, ♠9, ♥3, ♣10, ♠A | pair
♠10, ♠9, ♠7, ♣A, ♣10 | pair
♠10, ♠9, ♠7, ♣A, ♠A | pair
♠10, ♠9, ♠7, ♥4, ♣10 | pair
♠10, ♠9, ♠7, ♣2, ♣10 | pair
♠10, ♠9, ♠7, ♦Q, ♣10 | pair
♠10, ♠9, ♠7, ♣10, ♠A | pair
♠10, ♠9, ♣A, ♥4, ♣10 | pair
♠10, ♠9, ♣A, ♥4, ♠A | pair
♠10, ♠9, ♣A, ♣2, ♣10 | pair
♠10, ♠9, ♣A, ♣2, ♠A | pair
♠10, ♠9, ♣A, ♦Q, ♣10 | pair
♠10, ♠9, ♣A, ♦Q, ♠A | pair
♠10, ♠9, ♣A, ♣10, ♠A | two pairs
♠10, ♠9, ♥4, ♣2, ♣10 | pair
♠10, ♠9, ♥4, ♦Q, ♣10 | pair
♠10, ♠9, ♥4, ♣10, ♠A | pair
♠10, ♠9, ♣2, ♦Q, ♣10 | pair
♠10, ♠9, ♣2, ♣10, ♠A | pair
♠10, ♠9, ♦Q, ♣10, ♠A | pair
♠10, ♥3, ♠7, ♣A, ♣10 | pair
♠10, ♥3, ♠7, ♣A, ♠A | pair
♠10, ♥3, ♠7, ♥4, ♣10 | pair
♠10, ♥3, ♠7, ♣2, ♣10 | pair
♠10, ♥3, ♠7, ♦Q, ♣10 | pair
♠10, ♥3, ♠7, ♣10, ♠A | pair
♠10, ♥3, ♣A, ♥4, ♣10 | pair
♠10, ♥3, ♣A, ♥4, ♠A | pair
♠10, ♥3, ♣A, ♣2, ♣10 | pair
♠10, ♥3, ♣A, ♣2, ♠A | pair
♠10, ♥3, ♣A, ♦Q, ♣10 | pair
♠10, ♥3, ♣A, ♦Q, ♠A | pair
♠10, ♥3, ♣A, ♣10, ♠A | two pairs
♠10, ♥3, ♥4, ♣2, ♣10 | pair
♠10, ♥3, ♥4, ♦Q, ♣10 | pair
♠10, ♥3, ♥4, ♣10, ♠A | pair
♠10, ♥3, ♣2, ♦Q, ♣10 | pair
♠10, ♥3, ♣2, ♣10, ♠A | pair
♠10, ♥3, ♦Q, ♣10, ♠A | pair
♠10, ♠7, ♣A, ♥4, ♣10 | pair
♠10, ♠7, ♣A, ♥4, ♠A | pair
♠10, ♠7, ♣A, ♣2, ♣10 | pair
♠10, ♠7, ♣A, ♣2, ♠A | pair
♠10, ♠7, ♣A, ♦Q, ♣10 | pair
♠10, ♠7, ♣A, ♦Q, ♠A | pair
♠10, ♠7, ♣A, ♣10, ♠A | two pairs
♠10, ♠7, ♥4, ♣2, ♣10 | pair
♠10, ♠7, ♥4, ♦Q, ♣10 | pair
♠10, ♠7, ♥4, ♣10, ♠A | pair
♠10, ♠7, ♣2, ♦Q, ♣10 | pair
♠10, ♠7, ♣2, ♣10, ♠A | pair
♠10, ♠7, ♦Q, ♣10, ♠A | pair
♠10, ♣A, ♥4, ♣2, ♣10 | pair
♠10, ♣A, ♥4, ♣2, ♠A | pair
♠10, ♣A, ♥4, ♦Q, ♣10 | pair
♠10, ♣A, ♥4, ♦Q, ♠A | pair
♠10, ♣A, ♥4, ♣10, ♠A | two pairs
♠10, ♣A, ♣2, ♦Q, ♣10 | pair
♠10, ♣A, ♣2, ♦Q, ♠A | pair
♠10, ♣A, ♣2, ♣10, ♠A | two pairs
♠10, ♣A, ♦Q, ♣10, ♠A | two pairs
♠10, ♥4, ♣2, ♦Q, ♣10 | pair
♠10, ♥4, ♣2, ♣10, ♠A | pair
♠10, ♥4, ♦Q, ♣10, ♠A | pair
♠10, ♣2, ♦Q, ♣10, ♠A | pair
♥K, ♣3, ♠9, ♥3, ♠7 | pair
♥K, ♣3, ♠9, ♥3, ♣A | pair
♥K, ♣3, ♠9, ♥3, ♥4 | pair
♥K, ♣3, ♠9, ♥3, ♣2 | pair
♥K, ♣3, ♠9, ♥3, ♦Q | pair
♥K, ♣3, ♠9, ♥3, ♣10 | pair
♥K, ♣3, ♠9, ♥3, ♠A | pair
♥K, ♣3, ♠9, ♣A, ♠A | pair
♥K, ♣3, ♥3, ♠7, ♣A | pair
♥K, ♣3, ♥3, ♠7, ♥4 | pair
♥K, ♣3, ♥3, ♠7, ♣2 | pair
♥K, ♣3, ♥3, ♠7, ♦Q | pair
♥K, ♣3, ♥3, ♠7, ♣10 | pair
♥K, ♣3, ♥3, ♠7, ♠A | pair
♥K, ♣3, ♥3, ♣A, ♥4 | pair
♥K, ♣3, ♥3, ♣A, ♣2 | pair
♥K, ♣3, ♥3, ♣A, ♦Q | pair
♥K, ♣3, ♥3, ♣A, ♣10 | pair
♥K, ♣3, ♥3, ♣A, ♠A | two pairs
♥K, ♣3, ♥3, ♥4, ♣2 | pair
♥K, ♣3, ♥3, ♥4, ♦Q | pair
♥K, ♣3, ♥3, ♥4, ♣10 | pair
♥K, ♣3, ♥3, ♥4, ♠A | pair
♥K, ♣3, ♥3, ♣2, ♦Q | pair
♥K, ♣3, ♥3, ♣2, ♣10 | pair
♥K, ♣3, ♥3, ♣2, ♠A | pair
♥K, ♣3, ♥3, ♦Q, ♣10 | pair
♥K, ♣3, ♥3, ♦Q, ♠A | pair
♥K, ♣3, ♥3, ♣10, ♠A | pair
♥K, ♣3, ♠7, ♣A, ♠A | pair
♥K, ♣3, ♣A, ♥4, ♠A | pair
♥K, ♣3, ♣A, ♣2, ♠A | pair
♥K, ♣3, ♣A, ♦Q, ♠A | pair
♥K, ♣3, ♣A, ♣10, ♠A | pair
♥K, ♠9, ♥3, ♣A, ♠A | pair
♥K, ♠9, ♠7, ♣A, ♠A | pair
♥K, ♠9, ♣A, ♥4, ♠A | pair
♥K, ♠9, ♣A, ♣2, ♠A | pair
♥K, ♠9, ♣A, ♦Q, ♠A | pair
♥K, ♠9, ♣A, ♣10, ♠A | pair
♥K, ♥3, ♠7, ♣A, ♠A | pair
♥K, ♥3, ♣A, ♥4, ♠A | pair
♥K, ♥3, ♣A, ♣2, ♠A | pair
♥K, ♥3, ♣A, ♦Q, ♠A | pair
♥K, ♥3, ♣A, ♣10, ♠A | pair
♥K, ♠7, ♣A, ♥4, ♠A | pair
♥K, ♠7, ♣A, ♣2, ♠A | pair
♥K, ♠7, ♣A, ♦Q, ♠A | pair
♥K, ♠7, ♣A, ♣10, ♠A | pair
♥K, ♣A, ♥4, ♣2, ♠A | pair
♥K, ♣A, ♥4, ♦Q, ♠A | pair
♥K, ♣A, ♥4, ♣10, ♠A | pair
♥K, ♣A, ♣2, ♦Q, ♠A | pair
♥K, ♣A, ♣2, ♣10, ♠A | pair
♥K, ♣A, ♦Q, ♣10, ♠A | pair
