♥A, ♠7, ♦J, ♣5, ♣7 | pair
♥A, ♣Q, ♣6, ♣J, ♠6 | pair
♥A, ♣7, ♣6, ♠4, ♠6 | pair
♥A, ♣7, ♣6, ♠K, ♠6 | pair
♥A, ♣7, ♣6, ♣J, ♠6 | pair
♥A, ♣6, ♠4, ♠K, ♠6 | pair
♥A, ♣6, ♠4, ♣J, ♠6 | pair
♥A, ♣6, ♠K, ♣J, ♠6 | pair
♠7, ♦J, ♣5, ♥3, ♣7 | pair
♠7, ♦J, ♣5, ♥3, ♣J | pair
♠7, ♦J, ♣5, ♦9, ♣7 | pair
♠7, ♦J, ♣5, ♦9, ♣J | pair
♠7, ♦J, ♣5, ♣8, ♣7 | pair
♠7, ♦J, ♣5, ♣8, ♣J | pair
♠7, ♦J, ♣5, ♣Q, ♣7 | pair
♠7, ♦J, ♣5, ♣Q, ♣J | pair
♠7, ♦J, ♣5, ♣7, ♣6 | pair
♠7, ♦J, ♣5, ♣7, ♠4 | pair
♠7, ♦J, ♣5, ♣7, ♠K | pair
♠7, ♦J, ♣5, ♣7, ♣J | two pairs
♠7, ♦J, ♣5, ♣7, ♠6 | pair
♠7, ♦J, ♣5, ♣6, ♣J | pair
♠7, ♦J, ♣5, ♣6, ♠6 | pair
♠7, ♦J, ♣5, ♠4, ♣J | pair
♠7, ♦J, ♣5, ♠K, ♣J | pair
♠7, ♦J, ♣5, ♣J, ♠6 | pair
♠7, ♦J, ♥3, ♦9, ♣7 | pair
♠7, ♦J, ♥3, ♦9, ♣J | pair
♠7, ♦J, ♥3, ♣8, ♣7 | pair
♠7, ♦J, ♥3, ♣8, ♣J | pair
♠7, ♦J, ♥3, ♣Q, ♣7 | pair
♠7, ♦J, ♥3, ♣Q, ♣J | pair
♠7, ♦J, ♥3, ♣7, ♣6 | pair
♠7, ♦J, ♥3, ♣7, ♠4 | pair
♠7, ♦J, ♥3, ♣7, ♠K | pair
♠7, ♦J, ♥3, ♣7, ♣J | two pairs
♠7, ♦J, ♥3, ♣7, ♠6 | pair
♠7, ♦J, ♥3, ♣6, ♣J | pair
♠7, ♦J, ♥3, ♣6, ♠6 | pair
♠7, ♦J, ♥3, ♠4, ♣J | pair
♠7, ♦J, ♥3, ♠K, ♣J | pair
♠7, ♦J, ♥3, ♣J, ♠6 | pair
♠7, ♦J, ♦9, ♣8, ♣7 | pair
♠7, ♦J, ♦9, ♣8, ♣J | pair
♠7, ♦J, ♦9, ♣Q, ♣7 | pair
♠7, ♦J, ♦9, ♣Q, ♣J | pair
♠7, ♦J, ♦9, ♣7, ♣6 | pair
♠7, ♦J, ♦9, ♣7, ♠4 | pair
♠7, ♦J, ♦9, ♣7, ♠K | pair
♠7, ♦J, ♦9, ♣7, ♣J | two pairs
♠7, ♦J, ♦9, ♣7, ♠6 | pair
♠7, ♦J, ♦9, ♣6, ♣J | pair
♠7, ♦J, ♦9, ♣6, ♠6 | pair
♠7, ♦J, ♦9, ♠4, ♣J | pair
♠7, ♦J, ♦9, ♠K, ♣J | pair
♠7, ♦J, ♦9, ♣J, ♠6 | pair
♠7, ♦J, ♣8, ♣Q, ♣7 | pair
♠7, ♦J, ♣8, ♣Q, ♣J | pair
♠7, ♦J, ♣8, ♣7, ♣6 | pair
♠7, ♦J, ♣8, ♣7, ♠4 | pair
♠7, ♦J, ♣8, ♣7, ♠K | pair
♠7, ♦J, ♣8, ♣7, ♣J | two pairs
♠7, ♦J, ♣8, ♣7, ♠6 | pair
♠7, ♦J, ♣8, ♣6, ♣J | pair
♠7, ♦J, ♣8, ♣6, ♠6 | pair
♠7, ♦J, ♣8, ♠4, ♣J | pair
♠7, ♦J, ♣8, ♠K, ♣J | pair
♠7, ♦J, ♣8, ♣J, ♠6 | pair
♠7, ♦J, ♣Q, ♣7, ♣6 | pair
♠7, ♦J, ♣Q, ♣7, ♠4 | pair
♠7, ♦J, ♣Q, ♣7, ♠K | pair
♠7, ♦J, ♣Q, ♣7, ♣J | two pairs
♠7, ♦J, ♣Q, ♣7, ♠6 | pair
♠7, ♦J, ♣Q, ♣6, ♣J | pair
♠7, ♦J, ♣Q, ♣6, ♠6 | pair
♠7, ♦J, ♣Q, ♠4, ♣J | pair
♠7, ♦J, ♣Q, ♠K, ♣J | pair
♠7, ♦J, ♣Q, ♣J, ♠6 | pair
♠7, ♦J, ♣7, ♣6, ♠4 | pair
♠7, ♦J, ♣7, ♣6, ♠K | pair
♠7, ♦J, ♣7, ♣6, ♣J | two pairs
♠7, ♦J, ♣7, ♣6, ♠6 | two pairs
♠7, ♦J, ♣7, ♠4, ♠K | pair
♠7, ♦J, ♣7, ♠4, ♣J | two pairs
♠7, ♦J, ♣7, ♠4, ♠6 | pair
♠7, ♦J, ♣7, ♠K, ♣J | two pairs
♠7, ♦J, ♣7, ♠K, ♠6 | pair
♠7, ♦J, ♣7, ♣J, ♠6 | two pairs
♠7, ♦J, ♣6, ♠4, ♣J | pair
♠7, ♦J, ♣6, ♠4, ♠6 | pair
♠7, ♦J, ♣6, ♠K, ♣J | pair
♠7, ♦J, ♣6, ♠K, ♠6 | pair
♠7, ♦J, ♣6, ♣J, ♠6 | two pairs
♠7, ♦J, ♠4, ♠K, ♣J | pair
♠7, ♦J, ♠4, ♣J, ♠6 | pair
♠7, ♦J, ♠K, ♣J, ♠6 | pair
♠7, ♣5, ♥3, ♦9, ♣7 | pair
♠7, ♣5, ♥3, ♣8, ♣7 | pair
♠7, ♣5, ♥3, ♣Q, ♣7 | pair
♠7, ♣5, ♥3, ♣7, ♣6 | pair
♠7, ♣5, ♥3, ♣7, ♠4 | pair
♠7, ♣5, ♥3, ♣7, ♠K | pair
♠7, ♣5, ♥3, ♣7, ♣J | pair
♠7, ♣5, ♥3, ♣7, ♠6 | pair
♠7, ♣5, ♥3, ♣6, ♠4 | straight
♠7, ♣5, ♥3, ♣6, ♠6 | pair
♠7, ♣5, ♥3, ♠4, ♠6 | straight
♠7, ♣5, ♦9, ♣8, ♣7 | pair
♠7, ♣5, ♦9, ♣8, ♣6 | straight
♠7, ♣5, ♦9, ♣8, ♠6 | straight
♠7, ♣5, ♦9, ♣Q, ♣7 | pair
♠7, ♣5, ♦9, ♣7, ♣6 | pair
♠7, ♣5, ♦9, ♣7, ♠4 | pair
♠7, ♣5, ♦9, ♣7, ♠K | pair
♠7, ♣5, ♦9, ♣7, ♣J | pair
♠7, ♣5, ♦9, ♣7, ♠6 | pair
♠7, ♣5, ♦9, ♣6, ♠6 | pair
♠7, ♣5, ♣8, ♣Q, ♣7 | pair
♠7, ♣5, ♣8, ♣7, ♣6 | pair
♠7, ♣5, ♣8, ♣7, ♠4 | pair
♠7, ♣5, ♣8, ♣7, ♠K | pair
♠7, ♣5, ♣8, ♣7, ♣J | pair
♠7, ♣5, ♣8, ♣7, ♠6 | pair
♠7, ♣5, ♣8, ♣6, ♠4 | straight
♠7, ♣5, ♣8, ♣6, ♠6 | pair
♠7, ♣5, ♣8, ♠4, ♠6 | straight
♠7, ♣5, ♣Q, ♣7, ♣6 | pair
♠7, ♣5, ♣Q, ♣7, ♠4 | pair
♠7, ♣5, ♣Q, ♣7, ♠K | pair
♠7, ♣5, ♣Q, ♣7, ♣J | pair
♠7, ♣5, ♣Q, ♣7, ♠6 | pair
♠7, ♣5, ♣Q, ♣6, ♠6 | pair
♠7, ♣5, ♣7, ♣6, ♠4 | pair
♠7, ♣5, ♣7, ♣6, ♠K | pair
♠7, ♣5, ♣7, ♣6, ♣J | pair
♠7, ♣5, ♣7, ♣6, ♠6 | two pairs
♠7, ♣5, ♣7, ♠4, ♠K | pair
♠7, ♣5, ♣7, ♠4, ♣J | pair
♠7, ♣5, ♣7, ♠4, ♠6 | pair
♠7, ♣5, ♣7, ♠K, ♣J | pair
♠7, ♣5, ♣7, ♠K, ♠6 | pair
♠7, ♣5, ♣7, ♣J, ♠6 | pair
♠7, ♣5, ♣6, ♠4, ♠6 | pair
♠7, ♣5, ♣6, ♠K, ♠6 | pair
♠7, ♣5, ♣6, ♣J, ♠6 | pair
♠7, ♥3, ♦9, ♣8, ♣7 | pair
♠7, ♥3, ♦9, ♣Q, ♣7 | pair
♠7, ♥3, ♦9, ♣7, ♣6 | pair
♠7, ♥3, ♦9, ♣7, ♠4 | pair
♠7, ♥3, ♦9, ♣7, ♠K | pair
♠7, ♥3, ♦9, ♣7, ♣J | pair
♠7, ♥3, ♦9, ♣7, ♠6 | pair
♠7, ♥3, ♦9, ♣6, ♠6 | pair
♠7, ♥3, ♣8, ♣Q, ♣7 | pair
♠7, ♥3, ♣8, ♣7, ♣6 | pair
♠7, ♥3, ♣8, ♣7, ♠4 | pair
♠7, ♥3, ♣8, ♣7, ♠K | pair
♠7, ♥3, ♣8, ♣7, ♣J | pair
♠7, ♥3, ♣8, ♣7, ♠6 | pair
♠7, ♥3, ♣8, ♣6, ♠6 | pair
♠7, ♥3, ♣Q, ♣7, ♣6 | pair
♠7, ♥3, ♣Q, ♣7, ♠4 | pair
♠7, ♥3, ♣Q, ♣7, ♠K | pair
♠7, ♥3, ♣Q, ♣7, ♣J | pair
♠7, ♥3, ♣Q, ♣7, ♠6 | pair
♠7, ♥3, ♣Q, ♣6, ♠6 | pair
♠7, ♥3, ♣7, ♣6, ♠4 | pair
♠7, ♥3, ♣7, ♣6, ♠K | pair
♠7, ♥3, ♣7, ♣6, ♣J | pair
♠7, ♥3, ♣7, ♣6, ♠6 | two pairs
♠7, ♥3, ♣7, ♠4, ♠K | pair
♠7, ♥3, ♣7, ♠4, ♣J | pair
♠7, ♥3, ♣7, ♠4, ♠6 | pair
♠7, ♥3, ♣7, ♠K, ♣J | pair
♠7, ♥3, ♣7, ♠K, ♠6 | pair
♠7, ♥3, ♣7, ♣J, ♠6 | pair
♠7, ♥3, ♣6, ♠4, ♠6 | pair
♠7, ♥3, ♣6, ♠K, ♠6 | pair
♠7, ♥3, ♣6, ♣J, ♠6 | pair
♠7, ♦9, ♣8, ♣Q, ♣7 | pair
♠7, ♦9, ♣8, ♣7, ♣6 | pair
♠7, ♦9, ♣8, ♣7, ♠4 | pair
♠7, ♦9, ♣8, ♣7, ♠K | pair
♠7, ♦9, ♣8, ♣7, ♣J | pair
♠7, ♦9, ♣8, ♣7, ♠6 | pair
♠7, ♦9, ♣8, ♣6, ♠6 | pair
♠7, ♦9, ♣Q, ♣7, ♣6 | pair
♠7, ♦9, ♣Q, ♣7, ♠4 | pair
♠7, ♦9, ♣Q, ♣7, ♠K | pair
♠7, ♦9, ♣Q, ♣7, ♣J | pair
♠7, ♦9, ♣Q, ♣7, ♠6 | pair
♠7, ♦9, ♣Q, ♣6, ♠6 | pair
♠7, ♦9, ♣7, ♣6, ♠4 | pair
♠7, ♦9, ♣7, ♣6, ♠K | pair
♠7, ♦9, ♣7, ♣6, ♣J | pair
♠7, ♦9, ♣7, ♣6, ♠6 | two pairs
♠7, ♦9, ♣7, ♠4, ♠K | pair
♠7, ♦9, ♣7, ♠4, ♣J | pair
♠7, ♦9, ♣7, ♠4, ♠6 | pair
♠7, ♦9, ♣7, ♠K, ♣J | pair
♠7, ♦9, ♣7, ♠K, ♠6 | pair
♠7, ♦9, ♣7, ♣J, ♠6 | pair
♠7, ♦9, ♣6, ♠4, ♠6 | pair
♠7, ♦9, ♣6, ♠K, ♠6 | pair
♠7, ♦9, ♣6, ♣J, ♠6 | pair
♠7, ♣8, ♣Q, ♣7, ♣6 | pair
♠7, ♣8, ♣Q, ♣7, ♠4 | pair
♠7, ♣8, ♣Q, ♣7, ♠K | pair
♠7, ♣8, ♣Q, ♣7, ♣J | pair
♠7, ♣8, ♣Q, ♣7, ♠6 | pair
♠7, ♣8, ♣Q, ♣6, ♠6 | pair
♠7, ♣8, ♣7, ♣6, ♠4 | pair
♠7, ♣8, ♣7, ♣6, ♠K | pair
♠7, ♣8, ♣7, ♣6, ♣J | pair
♠7, ♣8, ♣7, ♣6, ♠6 | two pairs
♠7, ♣8, ♣7, ♠4, ♠K | pair
♠7, ♣8, ♣7, ♠4, ♣J | pair
♠7, ♣8, ♣7, ♠4, ♠6 | pair
♠7, ♣8, ♣7, ♠K, ♣J | pair
♠7, ♣8, ♣7, ♠K, ♠6 | pair
♠7, ♣8, ♣7, ♣J, ♠6 | pair
♠7, ♣8, ♣6, ♠4, ♠6 | pair
♠7, ♣8, ♣6, ♠K, ♠6 | pair
♠7, ♣8, ♣6, ♣J, ♠6 | pair
♠7, ♣Q, ♣7, ♣6, ♠4 | pair
♠7, ♣Q, ♣7, ♣6, ♠K | pair
♠7, ♣Q, ♣7, ♣6, ♣J | pair
♠7, ♣Q, ♣7, ♣6, ♠6 | two pairs
♠7, ♣Q, ♣7, ♠4, ♠K | pair
♠7, ♣Q, ♣7, ♠4, ♣J | pair
♠7, ♣Q, ♣7, ♠4, ♠6 | pair
♠7, ♣Q, ♣7, ♠K, ♣J | pair
♠7, ♣Q, ♣7, ♠K, ♠6 | pair
♠7, ♣Q, ♣7, ♣J, ♠6 | pair
♠7, ♣Q, ♣6, ♠4, ♠6 | pair
♠7, ♣Q, ♣6, ♠K, ♠6 | pair
♠7, ♣Q, ♣6, ♣J, ♠6 | pair
♠7, ♣7, ♣6, ♠4, ♠K | pair
♠7, ♣7, ♣6, ♠4, ♣J | pair
♠7, ♣7, ♣6, ♠4, ♠6 | two pairs
♠7, ♣7, ♣6, ♠K, ♣J | pair
♠7, ♣7, ♣6, ♠K, ♠6 | two pairs
♠7, ♣7, ♣6, ♣J, ♠6 | two pairs
♠7, ♣7, ♠4, ♠K, ♣J | pair
♠7, ♣7, ♠4, ♠K, ♠6 | pair
♠7, ♣7, ♠4, ♣J, ♠6 | pair
♠7, ♣7, ♠K, ♣J, ♠6 | pair
♠7, ♣6, ♠4, ♠K, ♠6 | pair
♠7, ♣6, ♠4, ♣J, ♠6 | pair
♠7, ♣6, ♠K, ♣J, ♠6 | pair
♦J, ♣5, ♥3, ♦9, ♣J | pair
♦J, ♣5, ♥3, ♣8, ♣J | pair
♦J, ♣5, ♥3, ♣Q, ♣J | pair
♦J, ♣5, ♥3, ♣7, ♣J | pair
♦J, ♣5, ♥3, ♣6, ♣J | pair
♦J, ♣5, ♥3, ♣6, ♠6 | pair
♦J, ♣5, ♥3, ♠4, ♣J | pair
♦J, ♣5, ♥3, ♠K, ♣J | pair
♦J, ♣5, ♥3, ♣J, ♠6 | pair
♦J, ♣5, ♦9, ♣8, ♣J | pair
♦J, ♣5, ♦9, ♣Q, ♣J | pair
♦J, ♣5, ♦9, ♣7, ♣J | pair
♦J, ♣5, ♦9, ♣6, ♣J | pair
♦J, ♣5, ♦9, ♣6, ♠6 | pair
♦J, ♣5, ♦9, ♠4, ♣J | pair
♦J, ♣5, ♦9, ♠K, ♣J | pair
♦J, ♣5, ♦9, ♣J, ♠6 | pair
♦J, ♣5, ♣8, ♣Q, ♣J | pair
♦J, ♣5, ♣8, ♣7, ♣J | pair
♦J, ♣5, ♣8, ♣6, ♣J | pair
♦J, ♣5, ♣8, ♣6, ♠6 | pair
♦J, ♣5, ♣8, ♠4, ♣J | pair
♦J, ♣5, ♣8, ♠K, ♣J | pair
♦J, ♣5, ♣8, ♣J, ♠6 | pair
♦J, ♣5, ♣Q, ♣7, ♣J | pair
♦J, ♣5, ♣Q, ♣6, ♣J | pair
♦J, ♣5, ♣Q, ♣6, ♠6 | pair
♦J, ♣5, ♣Q, ♠4, ♣J | pair
♦J, ♣5, ♣Q, ♠K, ♣J | pair
♦J, ♣5, ♣Q, ♣J, ♠6 | pair
♦J, ♣5, ♣7, ♣6, ♣J | pair
♦J, ♣5, ♣7, ♣6, ♠6 | pair
♦J, ♣5, ♣7, ♠4, ♣J | pair
♦J, ♣5, ♣7, ♠K, ♣J | pair
♦J, ♣5, ♣7, ♣J, ♠6 | pair
♦J, ♣5, ♣6, ♠4, ♣J | pair
♦J, ♣5, ♣6, ♠4, ♠6 | pair
♦J, ♣5, ♣6, ♠K, ♣J | pair
♦J, ♣5, ♣6, ♠K, ♠6 | pair
♦J, ♣5, ♣6, ♣J, ♠6 | two pairs
♦J, ♣5, ♠4, ♠K, ♣J | pair
♦J, ♣5, ♠4, ♣J, ♠6 | pair
♦J, ♣5, ♠K, ♣J, ♠6 | pair
♦J, ♥3, ♦9, ♣8, ♣J | pair
♦J, ♥3, ♦9, ♣Q, ♣J | pair
♦J, ♥3, ♦9, ♣7, ♣J | pair
♦J, ♥3, ♦9, ♣6, ♣J | pair
♦J, ♥3, ♦9, ♣6, ♠6 | pair
♦J, ♥3, ♦9, ♠4, ♣J | pair
♦J, ♥3, ♦9, ♠K, ♣J | pair
♦J, ♥3, ♦9, ♣J, ♠6 | pair
♦J, ♥3, ♣8, ♣Q, ♣J | pair
♦J, ♥3, ♣8, ♣7, ♣J | pair
♦J, ♥3, ♣8, ♣6, ♣J | pair
♦J, ♥3, ♣8, ♣6, ♠6 | pair
♦J, ♥3, ♣8, ♠4, ♣J | pair
♦J, ♥3, ♣8, ♠K, ♣J | pair
♦J, ♥3, ♣8, ♣J, ♠6 | pair
♦J, ♥3, ♣Q, ♣7, ♣J | pair
♦J, ♥3, ♣Q, ♣6, ♣J | pair
♦J, ♥3, ♣Q, ♣6, ♠6 | pair
♦J, ♥3, ♣Q, ♠4, ♣J | pair
♦J, ♥3, ♣Q, ♠K, ♣J | pair
♦J, ♥3, ♣Q, ♣J, ♠6 | pair
♦J, ♥3, ♣7, ♣6, ♣J | pair
♦J, ♥3, ♣7, ♣6, ♠6 | pair
♦J, ♥3, ♣7, ♠4, ♣J | pair
♦J, ♥3, ♣7, ♠K, ♣J | pair
♦J, ♥3, ♣7, ♣J, ♠6 | pair
♦J, ♥3, ♣6, ♠4, ♣J | pair
♦J, ♥3, ♣6, ♠4, ♠6 | pair
♦J, ♥3, ♣6, ♠K, ♣J | pair
♦J, ♥3, ♣6, ♠K, ♠6 | pair
♦J, ♥3, ♣6, ♣J, ♠6 | two pairs
♦J, ♥3, ♠4, ♠K, ♣J | pair
♦J, ♥3, ♠4, ♣J, ♠6 | pair
♦J, ♥3, ♠K, ♣J, ♠6 | pair
♦J, ♦9, ♣8, ♣Q, ♣J | pair
♦J, ♦9, ♣8, ♣7, ♣J | pair
♦J, ♦9, ♣8, ♣6, ♣J | pair
♦J, ♦9, ♣8, ♣6, ♠6 | pair
♦J, ♦9, ♣8, ♠4, ♣J | pair
♦J, ♦9, ♣8, ♠K, ♣J | pair
♦J, ♦9, ♣8, ♣J, ♠6 | pair
♦J, ♦9, ♣Q, ♣7, ♣J | pair
♦J, ♦9, ♣Q, ♣6, ♣J | pair
♦J, ♦9, ♣Q, ♣6, ♠6 | pair
♦J, ♦9, ♣Q, ♠4, ♣J | pair
♦J, ♦9, ♣Q, ♠K, ♣J | pair
♦J, ♦9, ♣Q, ♣J, ♠6 | pair
♦J, ♦9, ♣7, ♣6, ♣J | pair
♦J, ♦9, ♣7, ♣6, ♠6 | pair
♦J, ♦9, ♣7, ♠4, ♣J | pair
♦J, ♦9, ♣7, ♠K, ♣J | pair
♦J, ♦9, ♣7, ♣J, ♠6 | pair
♦J, ♦9, ♣6, ♠4, ♣J | pair
