♠7,♦7,♦3,♥8,♣2 | Pair
♠7,♦7,♣2,♠Q,♥4 | Pair
♠7,♦7,♣2,♠Q,♣5 | Pair
♠7,♦7,♣2,♠Q,♣J | Pair
♠7,♦7,♣2,♣3,♦Q | Pair
♠7,♦7,♣2,♣3,♠2 | Two Pairs
♠7,♦7,♣2,♣3,♦T | Pair
♠7,♦7,♣2,♣3,♥4 | Pair
♠7,♦7,♣2,♣3,♣5 | Pair
♠7,♦7,♣2,♣3,♣J | Pair
♠7,♦7,♣2,♦Q,♠2 | Two Pairs
♠7,♦7,♣2,♦Q,♦T | Pair
♠7,♦7,♣2,♦Q,♥4 | Pair
♠7,♦7,♣2,♦Q,♣5 | Pair
♠7,♦7,♣2,♦Q,♣J | Pair
♠7,♦7,♣2,♠2,♦T | Two Pairs
♠7,♦7,♣2,♠2,♥4 | Two Pairs
♠7,♦7,♣2,♠2,♣5 | Two Pairs
♠7,♦7,♣2,♠2,♣J | Two Pairs
♠7,♦7,♣2,♦T,♥4 | Pair
♠7,♦7,♣2,♦T,♣5 | Pair
♠7,♦7,♣2,♦T,♣J | Pair
♠7,♦7,♣2,♥4,♣5 | Pair
♠7,♦7,♣2,♥4,♣J | Pair
♠7,♦7,♣2,♣5,♣J | Pair
♠7,♦7,♣7,♦J,♠Q | Full House
♠7,♦7,♣7,♦J,♣3 | Full House
♠7,♦7,♣7,♦J,♦Q | Full House
♠7,♦7,♣7,♦J,♠2 | Full House
♠7,♦7,♣7,♦J,♦T | Full House
♠7,♦7,♣7,♦J,♥4 | Full House
♠7,♦7,♣7,♦J,♣5 | Full House
♠7,♦7,♣7,♦J,♣J | Full House
♠7,♦7,♣7,♠Q,♣3 | Full House
♠7,♦7,♣7,♠Q,♦Q | Full House
♠7,♦7,♣7,♠Q,♠2 | Full House
♠7,♦7,♣7,♠Q,♦T | Full House
♠7,♦7,♣7,♠Q,♥4 | Full House
♠7,♦7,♣7,♠Q,♣5 | Full House
♠7,♦7,♣7,♠Q,♣J | Full House
♠7,♦7,♣7,♣3,♦Q | Full House
♠7,♦7,♣7,♣3,♠2 | Full House
♠7,♦7,♣7,♣3,♦T | Full House
♠7,♦7,♣7,♣3,♥4 | Full House
♠7,♦7,♣7,♣3,♣5 | Full House
♠7,♦7,♣7,♣3,♣J | Full House
♠7,♦7,♣7,♦Q,♠2 | Full House
♠7,♦7,♣7,♦Q,♦T | Full House
♠7,♦7,♣7,♦Q,♥4 | Full House
♠7,♦7,♣7,♦Q,♣5 | Full House
♠7,♦7,♣7,♦Q,♣J | Full House
♠7,♦7,♣7,♠2,♦T | Full House
♠7,♦7,♣7,♠2,♥4 | Full House
♠7,♦7,♣7,♠2,♣5 | Full House
♠7,♦7,♣7,♠2,♣J | Full House
♠7,♦7,♣7,♦T,♥4 | Full House
♠7,♦7,♣7,♦T,♣5 | Full House
♠7,♦7,♣7,♦T,♣J | Full House
♠7,♦7,♣7,♥4,♣5 | Full House
♠7,♦7,♣7,♥4,♣J | Full House
♠7,♦7,♣7,♣5,♣J | Full House
♠7,♦7,♦J,♠Q,♣3 | Pair
♠7,♦7,♦J,♠Q,♦Q | Two Pairs
♠7,♦7,♦J,♠Q,♠2 | Pair
♠7,♦7,♦J,♠Q,♦T | Pair
♠7,♦7,♦J,♠Q,♥4 | Pair
♠7,♦7,♦J,♠Q,♣5 | Pair
♠7,♦7,♦J,♠Q,♣J | Two Pairs
♠7,♦7,♦J,♣3,♦Q | Pair
♠7,♦7,♦J,♣3,♠2 | Pair
♠7,♦7,♦J,♣3,♦T | Pair
♠7,♦7,♦J,♣3,♥4 | Pair
♠7,♦7,♦J,♣3,♣5 | Pair
♠7,♦7,♦J,♣3,♣J | Two Pairs
♠7,♦7,♦J,♦Q,♠2 | Pair
♠7,♦7,♦J,♦Q,♦T | Pair
♠7,♦7,♦J,♦Q,♥4 | Pair
♠7,♦7,♦J,♦Q,♣5 | Pair
♠7,♦7,♦J,♦Q,♣J | Two Pairs
♠7,♦7,♦J,♠2,♦T | Pair
♠7,♦7,♦J,♠2,♥4 | Pair
♠7,♦7,♦J,♠2,♣5 | Pair
♠7,♦7,♦J,♠2,♣J | Two Pairs
♠7,♦7,♦J,♦T,♥4 | Pair
♠7,♦7,♦J,♦T,♣5 | Pair
♠7,♦7,♦J,♦T,♣J | Two Pairs
♠7,♦7,♦J,♥4,♣5 | Pair
♠7,♦7,♦J,♥4,♣J | Two Pairs
♠7,♦7,♦J,♣5,♣J | Two Pairs
♠7,♦7,♠Q,♣3,♦Q | Two Pairs
♠7,♦7,♠Q,♣3,♠2 | Pair
♠7,♦7,♠Q,♣3,♦T | Pair
♠7,♦7,♠Q,♣3,♥4 | Pair
♠7,♦7,♠Q,♣3,♣5 | Pair
♠7,♦7,♠Q,♣3,♣J | Pair
♠7,♦7,♠Q,♦Q,♠2 | Two Pairs
♠7,♦7,♠Q,♦Q,♦T | Two Pairs
♠7,♦7,♠Q,♦Q,♥4 | Two Pairs
♠7,♦7,♠Q,♦Q,♣5 | Two Pairs
♠7,♦7,♠Q,♦Q,♣J | Two Pairs
♠7,♦7,♠Q,♠2,♦T | Pair
♠7,♦7,♠Q,♠2,♥4 | Pair
♠7,♦7,♠Q,♠2,♣5 | Pair
♠7,♦7,♠Q,♠2,♣J | Pair
♠7,♦7,♠Q,♦T,♥4 | Pair
♠7,♦7,♠Q,♦T,♣5 | Pair
♠7,♦7,♠Q,♦T,♣J | Pair
♠7,♦7,♠Q,♥4,♣5 | Pair
♠7,♦7,♠Q,♥4,♣J | Pair
♠7,♦7,♠Q,♣5,♣J | Pair
♠7,♦7,♣3,♦Q,♠2 | Pair
♠7,♦7,♣3,♦Q,♦T | Pair
♠7,♦7,♣3,♦Q,♥4 | Pair
♠7,♦7,♣3,♦Q,♣5 | Pair
♠7,♦7,♣3,♦Q,♣J | Pair
♠7,♦7,♣3,♠2,♦T | Pair
♠7,♦7,♣3,♠2,♥4 | Pair
♠7,♦7,♣3,♠2,♣5 | Pair
♠7,♦7,♣3,♠2,♣J | Pair
♠7,♦7,♣3,♦T,♥4 | Pair
♠7,♦7,♣3,♦T,♣5 | Pair
♠7,♦7,♣3,♦T,♣J | Pair
♠7,♦7,♣3,♥4,♣5 | Pair
♠7,♦7,♣3,♥4,♣J | Pair
♠7,♦7,♣3,♣5,♣J | Pair
♠7,♦7,♦Q,♠2,♦T | Pair
♠7,♦7,♦Q,♠2,♥4 | Pair
♠7,♦7,♦Q,♠2,♣5 | Pair
♠7,♦7,♦Q,♠2,♣J | Pair
♠7,♦7,♦Q,♦T,♥4 | Pair
♠7,♦7,♦Q,♦T,♣5 | Pair
♠7,♦7,♦Q,♦T,♣J | Pair
♠7,♦7,♦Q,♥4,♣5 | Pair
♠7,♦7,♦Q,♥4,♣J | Pair
♠7,♦7,♦Q,♣5,♣J | Pair
♠7,♦7,♠2,♦T,♥4 | Pair
♠7,♦7,♠2,♦T,♣5 | Pair
♠7,♦7,♠2,♦T,♣J | Pair
♠7,♦7,♠2,♥4,♣5 | Pair
♠7,♦7,♠2,♥4,♣J | Pair
♠7,♦7,♠2,♣5,♣J | Pair
♠7,♦7,♦T,♥4,♣5 | Pair
♠7,♦7,♦T,♥4,♣J | Pair
♠7,♦7,♦T,♣5,♣J | Pair
♠7,♦7,♥4,♣5,♣J | Pair
♠7,♦3,♥8,♣2,♣7 | Pair
♠7,♦3,♥8,♣2,♣3 | Pair
♠7,♦3,♥8,♣2,♠2 | Pair
♠7,♦3,♥8,♣7,♦J | Pair
♠7,♦3,♥8,♣7,♠Q | Pair
♠7,♦3,♥8,♣7,♣3 | Two Pairs
♠7,♦3,♥8,♣7,♦Q | Pair
♠7,♦3,♥8,♣7,♠2 | Pair
♠7,♦3,♥8,♣7,♦T | Pair
♠7,♦3,♥8,♣7,♥4 | Pair
♠7,♦3,♥8,♣7,♣5 | Pair
♠7,♦3,♥8,♣7,♣J | Pair
♠7,♦3,♥8,♦J,♣3 | Pair
♠7,♦3,♥8,♦J,♣J | Pair
♠7,♦3,♥8,♠Q,♣3 | Pair
♠7,♦3,♥8,♠Q,♦Q | Pair
♠7,♦3,♥8,♣3,♦Q | Pair
♠7,♦3,♥8,♣3,♠2 | Pair
♠7,♦3,♥8,♣3,♦T | Pair
♠7,♦3,♥8,♣3,♥4 | Pair
♠7,♦3,♥8,♣3,♣5 | Pair
♠7,♦3,♥8,♣3,♣J | Pair
♠7,♦3,♣2,♣7,♦J | Pair
♠7,♦3,♣2,♣7,♠Q | Pair
♠7,♦3,♣2,♣7,♣3 | Two Pairs
♠7,♦3,♣2,♣7,♦Q | Pair
♠7,♦3,♣2,♣7,♠2 | Two Pairs
♠7,♦3,♣2,♣7,♦T | Pair
♠7,♦3,♣2,♣7,♥4 | Pair
♠7,♦3,♣2,♣7,♣5 | Pair
♠7,♦3,♣2,♣7,♣J | Pair
♠7,♦3,♣2,♦J,♣3 | Pair
♠7,♦3,♣2,♦J,♠2 | Pair
♠7,♦3,♣2,♦J,♣J | Pair
♠7,♦3,♣2,♠Q,♣3 | Pair
♠7,♦3,♣2,♠Q,♦Q | Pair
♠7,♦3,♣2,♠Q,♠2 | Pair
♠7,♦3,♣2,♣3,♦Q | Pair
♠7,♦3,♣2,♣3,♠2 | Two Pairs
♠7,♦3,♣2,♣3,♦T | Pair
♠7,♦3,♣2,♣3,♥4 | Pair
♠7,♦3,♣2,♣3,♣5 | Pair
♠7,♦3,♣2,♣3,♣J | Pair
♠7,♦3,♣2,♦Q,♠2 | Pair
♠7,♦3,♣2,♠2,♦T | Pair
♠7,♦3,♣2,♠2,♥4 | Pair
♠7,♦3,♣2,♠2,♣5 | Pair
♠7,♦3,♣2,♠2,♣J | Pair
♠7,♦3,♣7,♦J,♠Q | Pair
♠7,♦3,♣7,♦J,♣3 | Two Pairs
♠7,♦3,♣7,♦J,♦Q | Pair
♠7,♦3,♣7,♦J,♠2 | Pair
♠7,♦3,♣7,♦J,♦T | Pair
♠7,♦3,♣7,♦J,♥4 | Pair
♠7,♦3,♣7,♦J,♣5 | Pair
♠7,♦3,♣7,♦J,♣J | Two Pairs
♠7,♦3,♣7,♠Q,♣3 | Two Pairs
♠7,♦3,♣7,♠Q,♦Q | Two Pairs
♠7,♦3,♣7,♠Q,♠2 | Pair
♠7,♦3,♣7,♠Q,♦T | Pair
♠7,♦3,♣7,♠Q,♥4 | Pair
♠7,♦3,♣7,♠Q,♣5 | Pair
♠7,♦3,♣7,♠Q,♣J | Pair
♠7,♦3,♣7,♣3,♦Q | Two Pairs
♠7,♦3,♣7,♣3,♠2 | Two Pairs
♠7,♦3,♣7,♣3,♦T | Two Pairs
♠7,♦3,♣7,♣3,♥4 | Two Pairs
♠7,♦3,♣7,♣3,♣5 | Two Pairs
♠7,♦3,♣7,♣3,♣J | Two Pairs
♠7,♦3,♣7,♦Q,♠2 | Pair
♠7,♦3,♣7,♦Q,♦T | Pair
♠7,♦3,♣7,♦Q,♥4 | Pair
♠7,♦3,♣7,♦Q,♣5 | Pair
♠7,♦3,♣7,♦Q,♣J | Pair
♠7,♦3,♣7,♠2,♦T | Pair
♠7,♦3,♣7,♠2,♥4 | Pair
♠7,♦3,♣7,♠2,♣5 | Pair
♠7,♦3,♣7,♠2,♣J | Pair
♠7,♦3,♣7,♦T,♥4 | Pair
♠7,♦3,♣7,♦T,♣5 | Pair
♠7,♦3,♣7,♦T,♣J | Pair
♠7,♦3,♣7,♥4,♣5 | Pair
♠7,♦3,♣7,♥4,♣J | Pair
♠7,♦3,♣7,♣5,♣J | Pair
♠7,♦3,♦J,♠Q,♣3 | Pair
♠7,♦3,♦J,♠Q,♦Q | Pair
♠7,♦3,♦J,♠Q,♣J | Pair
♠7,♦3,♦J,♣3,♦Q | Pair
♠7,♦3,♦J,♣3,♠2 | Pair
♠7,♦3,♦J,♣3,♦T | Pair
♠7,♦3,♦J,♣3,♥4 | Pair
♠7,♦3,♦J,♣3,♣5 | Pair
♠7,♦3,♦J,♣3,♣J | Two Pairs
♠7,♦3,♦J,♦Q,♣J | Pair
♠7,♦3,♦J,♠2,♣J | Pair
♠7,♦3,♦J,♦T,♣J | Pair
♠7,♦3,♦J,♥4,♣J | Pair
♠7,♦3,♦J,♣5,♣J | Pair
♠7,♦3,♠Q,♣3,♦Q | Two Pairs
♠7,♦3,♠Q,♣3,♠2 | Pair
♠7,♦3,♠Q,♣3,♦T | Pair
♠7,♦3,♠Q,♣3,♥4 | Pair
♠7,♦3,♠Q,♣3,♣5 | Pair
♠7,♦3,♠Q,♣3,♣J | Pair
♠7,♦3,♠Q,♦Q,♠2 | Pair
♠7,♦3,♠Q,♦Q,♦T | Pair
♠7,♦3,♠Q,♦Q,♥4 | Pair
♠7,♦3,♠Q,♦Q,♣5 | Pair
♠7,♦3,♠Q,♦Q,♣J | Pair
♠7,♦3,♣3,♦Q,♠2 | Pair
♠7,♦3,♣3,♦Q,♦T | Pair
♠7,♦3,♣3,♦Q,♥4 | Pair
♠7,♦3,♣3,♦Q,♣5 | Pair
♠7,♦3,♣3,♦Q,♣J | Pair
♠7,♦3,♣3,♠2,♦T | Pair
♠7,♦3,♣3,♠2,♥4 | Pair
♠7,♦3,♣3,♠2,♣5 | Pair
♠7,♦3,♣3,♠2,♣J | Pair
♠7,♦3,♣3,♦T,♥4 | Pair
♠7,♦3,♣3,♦T,♣5 | Pair
♠7,♦3,♣3,♦T,♣J | Pair
♠7,♦3,♣3,♥4,♣5 | Pair
♠7,♦3,♣3,♥4,♣J | Pair
♠7,♦3,♣3,♣5,♣J | Pair
♠7,♥8,♣2,♣7,♦J | Pair
♠7,♥8,♣2,♣7,♠Q | Pair
♠7,♥8,♣2,♣7,♣3 | Pair
♠7,♥8,♣2,♣7,♦Q | Pair
♠7,♥8,♣2,♣7,♠2 | Two Pairs
♠7,♥8,♣2,♣7,♦T | Pair
♠7,♥8,♣2,♣7,♥4 | Pair
♠7,♥8,♣2,♣7,♣5 | Pair
♠7,♥8,♣2,♣7,♣J | Pair
♠7,♥8,♣2,♦J,♠2 | Pair
♠7,♥8,♣2,♦J,♣J | Pair
♠7,♥8,♣2,♠Q,♦Q | Pair
♠7,♥8,♣2,♠Q,♠2 | Pair
♠7,♥8,♣2,♣3,♠2 | Pair
♠7,♥8,♣2,♦Q,♠2 | Pair
♠7,♥8,♣2,♠2,♦T | Pair
♠7,♥8,♣2,♠2,♥4 | Pair
♠7,♥8,♣2,♠2,♣5 | Pair
♠7,♥8,♣2,♠2,♣J | Pair
♠7,♥8,♣7,♦J,♠Q | Pair
♠7,♥8,♣7,♦J,♣3 | Pair
♠7,♥8,♣7,♦J,♦Q | Pair
♠7,♥8,♣7,♦J,♠2 | Pair
♠7,♥8,♣7,♦J,♦T | Pair
♠7,♥8,♣7,♦J,♥4 | Pair
♠7,♥8,♣7,♦J,♣5 | Pair
♠7,♥8,♣7,♦J,♣J | Two Pairs
♠7,♥8,♣7,♠Q,♣3 | Pair
♠7,♥8,♣7,♠Q,♦Q | Two Pairs
♠7,♥8,♣7,♠Q,♠2 | Pair
♠7,♥8,♣7,♠Q,♦T | Pair
♠7,♥8,♣7,♠Q,♥4 | Pair
♠7,♥8,♣7,♠Q,♣5 | Pair
♠7,♥8,♣7,♠Q,♣J | Pair
♠7,♥8,♣7,♣3,♦Q | Pair
♠7,♥8,♣7,♣3,♠2 | Pair
♠7,♥8,♣7,♣3,♦T | Pair
♠7,♥8,♣7,♣3,♥4 | Pair
♠7,♥8,♣7,♣3,♣5 | Pair
♠7,♥8,♣7,♣3,♣J | Pair
♠7,♥8,♣7,♦Q,♠2 | Pair
♠7,♥8,♣7,♦Q,♦T | Pair
♠7,♥8,♣7,♦Q,♥4 | Pair
♠7,♥8,♣7,♦Q,♣5 | Pair
♠7,♥8,♣7,♦Q,♣J | Pair
♠7,♥8,♣7,♠2,♦T | Pair
♠7,♥8,♣7,♠2,♥4 | Pair
♠7,♥8,♣7,♠2,♣5 | Pair
♠7,♥8,♣7,♠2,♣J | Pair
♠7,♥8,♣7,♦T,♥4 | Pair
♠7,♥8,♣7,♦T,♣5 | Pair
♠7,♥8,♣7,♦T,♣J | Pair
♠7,♥8,♣7,♥4,♣5 | Pair
♠7,♥8,♣7,♥4,♣J | Pair
♠7,♥8,♣7,♣5,♣J | Pair
♠7,♥8,♦J,♠Q,♦Q | Pair
♠7,♥8,♦J,♠Q,♣J | Pair
♠7,♥8,♦J,♣3,♣J | Pair
♠7,♥8,♦J,♦Q,♣J | Pair
♠7,♥8,♦J,♠2,♣J | Pair
♠7,♥8,♦J,♦T,♣J | Pair
♠7,♥8,♦J,♥4,♣J | Pair
♠7,♥8,♦J,♣5,♣J | Pair
♠7,♥8,♠Q,♣3,♦Q | Pair
♠7,♥8,♠Q,♦Q,♠2 | Pair
♠7,♥8,♠Q,♦Q,♦T | Pair
♠7,♥8,♠Q,♦Q,♥4 | Pair
♠7,♥8,♠Q,♦Q,♣5 | Pair
♠7,♥8,♠Q,♦Q,♣J | Pair
♠7,♣2,♣7,♦J,♠Q | Pair
♠7,♣2,♣7,♦J,♣3 | Pair
♠7,♣2,♣7,♦J,♦Q | Pair
♠7,♣2,♣7,♦J,♠2 | Two Pairs
♠7,♣2,♣7,♦J,♦T | Pair
♠7,♣2,♣7,♦J,♥4 | Pair
♠7,♣2,♣7,♦J,♣5 | Pair
♠7,♣2,♣7,♦J,♣J | Two Pairs
♠7,♣2,♣7,♠Q,♣3 | Pair
♠7,♣2,♣7,♠Q,♦Q | Two Pairs
♠7,♣2,♣7,♠Q,♠2 | Two Pairs
♠7,♣2,♣7,♠Q,♦T | Pair
♠7,♣2,♣7,♠Q,♥4 | Pair
♠7,♣2,♣7,♠Q,♣5 | Pair
♠7,♣2,♣7,♠Q,♣J | Pair
♠7,♣2,♣7,♣3,♦Q | Pair
♠7,♣2,♣7,♣3,♠2 | Two Pairs
♠7,♣2,♣7,♣3,♦T | Pair
♠7,♣2,♣7,♣3,♥4 | Pair
♠7,♣2,♣7,♣3,♣5 | Pair
♠7,♣2,♣7,♣3,♣J | Pair
♠7,♣2,♣7,♦Q,♠2 | Two Pairs
♠7,♣2,♣7,♦Q,♦T | Pair
♠7,♣2,♣7,♦Q,♥4 | Pair
♠7,♣2,♣7,♦Q,♣5 | Pair
♠7,♣2,♣7,♦Q,♣J | Pair
♠7,♣2,♣7,♠2,♦T | Two Pairs
♠7,♣2,♣7,♠2,♥4 | Two Pairs
♠7,♣2,♣7,♠2,♣5 | Two Pairs
♠7,♣2,♣7,♠2,♣J | Two Pairs
♠7,♣2,♣7,♦T,♥4 | Pair
♠7,♣2,♣7,♦T,♣5 | Pair
♠7,♣2,♣7,♦T,♣J | Pair
♠7,♣2,♣7,♥4,♣5 | Pair
♠7,♣2,♣7,♥4,♣J | Pair
♠7,♣2,♣7,♣5,♣J | Pair
♠7,♣2,♦J,♠Q,♦Q | Pair
♠7,♣2,♦J,♠Q,♠2 | Pair
♠7,♣2,♦J,♠Q,♣J | Pair
♠7,♣2,♦J,♣3,♠2 | Pair
♠7,♣2,♦J,♣3,♣J | Pair
♠7,♣2,♦J,♦Q,♠2 | Pair
♠7,♣2,♦J,♦Q,♣J | Pair
♠7,♣2,♦J,♠2,♦T | Pair
♠7,♣2,♦J,♠2,♥4 | Pair
♠7,♣2,♦J,♠2,♣5 | Pair
♠7,♣2,♦J,♠2,♣J | Two Pairs
♠7,♣2,♦J,♦T,♣J | Pair
♠7,♣2,♦J,♥4,♣J | Pair
♠7,♣2,♦J,♣5,♣J | Pair
♠7,♣2,♠Q,♣3,♦Q | Pair
♠7,♣2,♠Q,♣3,♠2 | Pair
♠7,♣2,♠Q,♦Q,♠2 | Two Pairs
♠7,♣2,♠Q,♦Q,♦T | Pair
♠7,♣2,♠Q,♦Q,♥4 | Pair
♠7,♣2,♠Q,♦Q,♣5 | Pair
♠7,♣2,♠Q,♦Q,♣J | Pair
♠7,♣2,♠Q,♠2,♦T | Pair
♠7,♣2,♠Q,♠2,♥4 | Pair
♠7,♣2,♠Q,♠2,♣5 | Pair
♠7,♣2,♠Q,♠2,♣J | Pair
♠7,♣2,♣3,♦Q,♠2 | Pair
♠7,♣2,♣3,♠2,♦T | Pair
♠7,♣2,♣3,♠2,♥4 | Pair
♠7,♣2,♣3,♠2,♣5 | Pair
♠7,♣2,♣3,♠2,♣J | Pair
♠7,♣2,♦Q,♠2,♦T | Pair
♠7,♣2,♦Q,♠2,♥4 | Pair
♠7,♣2,♦Q,♠2,♣5 | Pair
♠7,♣2,♦Q,♠2,♣J | Pair
♠7,♣2,♠2,♦T,♥4 | Pair
