♣J,♣3,♦A,♣4,♠10 | Pair
♣J,♣3,♦A,♣Q,♣6 | Three Of A Kind
♣J,♣3,♦A,♣Q,♣6 | Pair
♣J,♣3,♦A,♣Q,♣6 | Three Of A Kind
♣J,♣3,♦A,♣Q,♦Q | Pair
♣J,♣3,♦A,♣Q,♦Q | Three Of A Kind
♣J,♣3,♦A,♣Q,♦Q | Four Of A Kind
♣J,♣3,♦A,♣Q,♦Q | Pair
♣J,♣3,♦A,♣Q,♦Q | Three Of A Kind
♣J,♣3,♦A,♣Q,♦Q | Four Of A Kind
♣J,♣3,♦A,♣Q,♠9 | Pair
♣J,♣3,♦A,♣Q,♠9 | Three Of A Kind
♣J,♣3,♦A,♣Q,♠9 | Pair
♣J,♣3,♦A,♣Q,♠9 | Three Of A Kind
♣J,♣3,♦A,♣Q,♦K | Pair
♣J,♣3,♦A,♣Q,♦K | Three Of A Kind
♣J,♣3,♦A,♣Q,♦K | Four Of A Kind
♣J,♣3,♦A,♣Q,♦K | Pair
♣J,♣3,♦A,♣Q,♦K | Three Of A Kind
♣J,♣3,♦A,♣Q,♦K | Four Of A Kind
♣J,♣3,♦A,♣7,♣6 | Pair
♣J,♣3,♦A,♣7,♣6 | Pair
♣J,♣3,♦A,♣7,♦Q | Pair
♣J,♣3,♦A,♣7,♦Q | Three Of A Kind
♣J,♣3,♦A,♣7,♦Q | Pair
♣J,♣3,♦A,♣7,♦Q | Three Of A Kind
♣J,♣3,♦A,♣7,♠9 | Pair
♣J,♣3,♦A,♣7,♠9 | Pair
♣J,♣3,♦A,♣7,♦K | Pair
♣J,♣3,♦A,♣7,♦K | Three Of A Kind
♣J,♣3,♦A,♣7,♦K | Pair
♣J,♣3,♦A,♣7,♦K | Three Of A Kind
♣J,♣3,♦A,♣6,♦Q | Pair
♣J,♣3,♦A,♣6,♦Q | Three Of A Kind
♣J,♣3,♦A,♣6,♦Q | Pair
♣J,♣3,♦A,♣6,♦Q | Three Of A Kind
♣J,♣3,♦A,♣6,♠9 | Pair
♣J,♣3,♦A,♣6,♠9 | Pair
♣J,♣3,♦A,♣6,♦K | Pair
♣J,♣3,♦A,♣6,♦K | Three Of A Kind
♣J,♣3,♦A,♣6,♦K | Pair
♣J,♣3,♦A,♣6,♦K | Three Of A Kind
♣J,♣3,♦A,♦Q,♠9 | Pair
♣J,♣3,♦A,♦Q,♠9 | Three Of A Kind
♣J,♣3,♦A,♦Q,♠9 | Pair
♣J,♣3,♦A,♦Q,♠9 | Three Of A Kind
♣J,♣3,♦A,♦Q,♦K | Pair
♣J,♣3,♦A,♦Q,♦K | Three Of A Kind
♣J,♣3,♦A,♦Q,♦K | Four Of A Kind
♣J,♣3,♦A,♦Q,♦K | Pair
♣J,♣3,♦A,♦Q,♦K | Three Of A Kind
♣J,♣3,♦A,♦Q,♦K | Four Of A Kind
♣J,♣3,♦A,♠9,♦K | Pair
♣J,♣3,♦A,♠9,♦K | Three Of A Kind
♣J,♣3,♦A,♠9,♦K | Pair
♣J,♣3,♦A,♠9,♦K | Three Of A Kind
♣J,♣3,♣4,♠10,♦Q | Pair
♣J,♣3,♣4,♠10,♦Q | Pair
♣J,♣3,♣4,♠10,♣Q | Pair
♣J,♣3,♣4,♠10,♣Q | Pair
♣J,♣3,♣4,♠10,♦Q | Pair
♣J,♣3,♣4,♠10,♦Q | Pair
♣J,♣3,♣4,♠10,♦K | Pair
♣J,♣3,♣4,♠10,♦K | Pair
♣J,♣3,♣4,♦6,♦Q | Pair
♣J,♣3,♣4,♦6,♦Q | Pair
♣J,♣3,♣4,♦6,♣Q | Pair
♣J,♣3,♣4,♦6,♣Q | Pair
♣J,♣3,♣4,♦6,♣6 | Pair
♣J,♣3,♣4,♦6,♣6 | Pair
♣J,♣3,♣4,♦6,♦Q | Pair
♣J,♣3,♣4,♦6,♦Q | Pair
♣J,♣3,♣4,♦6,♦K | Pair
♣J,♣3,♣4,♦6,♦K | Pair
♣J,♣3,♣4,♦Q,♣8 | Pair
♣J,♣3,♣4,♦Q,♣8 | Pair
♣J,♣3,♣4,♦Q,♣Q | Pair
♣J,♣3,♣4,♦Q,♣Q | Three Of A Kind
♣J,♣3,♣4,♦Q,♣Q | Pair
♣J,♣3,♣4,♦Q,♣Q | Three Of A Kind
♣J,♣3,♣4,♦Q,♣7 | Pair
♣J,♣3,♣4,♦Q,♣7 | Pair
♣J,♣3,♣4,♦Q,♣6 | Pair
♣J,♣3,♣4,♦Q,♣6 | Pair
♣J,♣3,♣4,♦Q,♦Q | Pair
♣J,♣3,♣4,♦Q,♦Q | Three Of A Kind
♣J,♣3,♣4,♦Q,♦Q | Pair
♣J,♣3,♣4,♦Q,♦Q | Three Of A Kind
♣J,♣3,♣4,♦Q,♠9 | Pair
♣J,♣3,♣4,♦Q,♠9 | Pair
♣J,♣3,♣4,♦Q,♦K | Pair
♣J,♣3,♣4,♦Q,♦K | Three Of A Kind
♣J,♣3,♣4,♦Q,♦K | Pair
♣J,♣3,♣4,♦Q,♦K | Three Of A Kind
♣J,♣3,♣4,♣8,♣Q | Pair
♣J,♣3,♣4,♣8,♣Q | Pair
♣J,♣3,♣4,♣8,♦Q | Pair
♣J,♣3,♣4,♣8,♦Q | Pair
♣J,♣3,♣4,♣8,♦K | Pair
♣J,♣3,♣4,♣8,♦K | Pair
♣J,♣3,♣4,♣Q,♣7 | Pair
♣J,♣3,♣4,♣Q,♣7 | Pair
♣J,♣3,♣4,♣Q,♣6 | Pair
♣J,♣3,♣4,♣Q,♣6 | Pair
♣J,♣3,♣4,♣Q,♦Q | Pair
♣J,♣3,♣4,♣Q,♦Q | Three Of A Kind
♣J,♣3,♣4,♣Q,♦Q | Pair
♣J,♣3,♣4,♣Q,♦Q | Three Of A Kind
♣J,♣3,♣4,♣Q,♠9 | Pair
♣J,♣3,♣4,♣Q,♠9 | Pair
♣J,♣3,♣4,♣Q,♦K | Pair
♣J,♣3,♣4,♣Q,♦K | Three Of A Kind
♣J,♣3,♣4,♣Q,♦K | Pair
♣J,♣3,♣4,♣Q,♦K | Three Of A Kind
♣J,♣3,♣4,♣7,♦Q | Pair
♣J,♣3,♣4,♣7,♦Q | Pair
♣J,♣3,♣4,♣7,♦K | Pair
♣J,♣3,♣4,♣7,♦K | Pair
♣J,♣3,♣4,♣6,♦Q | Pair
♣J,♣3,♣4,♣6,♦Q | Pair
♣J,♣3,♣4,♣6,♦K | Pair
♣J,♣3,♣4,♣6,♦K | Pair
♣J,♣3,♣4,♦Q,♠9 | Pair
♣J,♣3,♣4,♦Q,♠9 | Pair
♣J,♣3,♣4,♦Q,♦K | Pair
♣J,♣3,♣4,♦Q,♦K | Three Of A Kind
♣J,♣3,♣4,♦Q,♦K | Pair
♣J,♣3,♣4,♦Q,♦K | Three Of A Kind
♣J,♣3,♣4,♠9,♦K | Pair
♣J,♣3,♣4,♠9,♦K | Pair
♣J,♣3,♠10,♦6,♦Q | Pair
♣J,♣3,♠10,♦6,♦Q | Pair
♣J,♣3,♠10,♦6,♣Q | Pair
♣J,♣3,♠10,♦6,♣Q | Pair
♣J,♣3,♠10,♦6,♣6 | Pair
♣J,♣3,♠10,♦6,♣6 | Pair
♣J,♣3,♠10,♦6,♦Q | Pair
♣J,♣3,♠10,♦6,♦Q | Pair
♣J,♣3,♠10,♦6,♦K | Pair
♣J,♣3,♠10,♦6,♦K | Pair
♣J,♣3,♠10,♦Q,♣8 | Pair
♣J,♣3,♠10,♦Q,♣8 | Pair
♣J,♣3,♠10,♦Q,♣Q | Pair
♣J,♣3,♠10,♦Q,♣Q | Three Of A Kind
♣J,♣3,♠10,♦Q,♣Q | Pair
♣J,♣3,♠10,♦Q,♣Q | Three Of A Kind
♣J,♣3,♠10,♦Q,♣7 | Pair
♣J,♣3,♠10,♦Q,♣7 | Pair
♣J,♣3,♠10,♦Q,♣6 | Pair
♣J,♣3,♠10,♦Q,♣6 | Pair
♣J,♣3,♠10,♦Q,♦Q | Pair
♣J,♣3,♠10,♦Q,♦Q | Three Of A Kind
♣J,♣3,♠10,♦Q,♦Q | Pair
♣J,♣3,♠10,♦Q,♦Q | Three Of A Kind
♣J,♣3,♠10,♦Q,♠9 | Pair
♣J,♣3,♠10,♦Q,♠9 | Pair
♣J,♣3,♠10,♦Q,♦K | Pair
♣J,♣3,♠10,♦Q,♦K | Three Of A Kind
♣J,♣3,♠10,♦Q,♦K | Pair
♣J,♣3,♠10,♦Q,♦K | Three Of A Kind
♣J,♣3,♠10,♣8,♣Q | Pair
♣J,♣3,♠10,♣8,♣Q | Pair
♣J,♣3,♠10,♣8,♦Q | Pair
♣J,♣3,♠10,♣8,♦Q | Pair
♣J,♣3,♠10,♣8,♦K | Pair
♣J,♣3,♠10,♣8,♦K | Pair
♣J,♣3,♠10,♣Q,♣7 | Pair
♣J,♣3,♠10,♣Q,♣7 | Pair
♣J,♣3,♠10,♣Q,♣6 | Pair
♣J,♣3,♠10,♣Q,♣6 | Pair
♣J,♣3,♠10,♣Q,♦Q | Pair
♣J,♣3,♠10,♣Q,♦Q | Three Of A Kind
♣J,♣3,♠10,♣Q,♦Q | Pair
♣J,♣3,♠10,♣Q,♦Q | Three Of A Kind
♣J,♣3,♠10,♣Q,♠9 | Pair
♣J,♣3,♠10,♣Q,♠9 | Pair
♣J,♣3,♠10,♣Q,♦K | Pair
♣J,♣3,♠10,♣Q,♦K | Three Of A Kind
♣J,♣3,♠10,♣Q,♦K | Pair
♣J,♣3,♠10,♣Q,♦K | Three Of A Kind
♣J,♣3,♠10,♣7,♦Q | Pair
♣J,♣3,♠10,♣7,♦Q | Pair
♣J,♣3,♠10,♣7,♦K | Pair
♣J,♣3,♠10,♣7,♦K | Pair
♣J,♣3,♠10,♣6,♦Q | Pair
♣J,♣3,♠10,♣6,♦Q | Pair
♣J,♣3,♠10,♣6,♦K | Pair
♣J,♣3,♠10,♣6,♦K | Pair
♣J,♣3,♠10,♦Q,♠9 | Pair
♣J,♣3,♠10,♦Q,♠9 | Pair
♣J,♣3,♠10,♦Q,♦K | Pair
♣J,♣3,♠10,♦Q,♦K | Three Of A Kind
♣J,♣3,♠10,♦Q,♦K | Pair
♣J,♣3,♠10,♦Q,♦K | Three Of A Kind
♣J,♣3,♠10,♠9,♦K | Pair
♣J,♣3,♠10,♠9,♦K | Pair
♣J,♣3,♦6,♦Q,♣8 | Pair
♣J,♣3,♦6,♦Q,♣8 | Pair
♣J,♣3,♦6,♦Q,♣Q | Pair
♣J,♣3,♦6,♦Q,♣Q | Three Of A Kind
♣J,♣3,♦6,♦Q,♣Q | Pair
♣J,♣3,♦6,♦Q,♣Q | Three Of A Kind
♣J,♣3,♦6,♦Q,♣7 | Pair
♣J,♣3,♦6,♦Q,♣7 | Pair
♣J,♣3,♦6,♦Q,♣6 | Pair
♣J,♣3,♦6,♦Q,♣6 | Pair
♣J,♣3,♦6,♦Q,♣6 | Pair
♣J,♣3,♦6,♦Q,♣6 | Pair
♣J,♣3,♦6,♦Q,♦Q | Pair
♣J,♣3,♦6,♦Q,♦Q | Three Of A Kind
♣J,♣3,♦6,♦Q,♦Q | Pair
♣J,♣3,♦6,♦Q,♦Q | Three Of A Kind
♣J,♣3,♦6,♦Q,♠9 | Pair
♣J,♣3,♦6,♦Q,♠9 | Pair
♣J,♣3,♦6,♦Q,♦K | Pair
♣J,♣3,♦6,♦Q,♦K | Three Of A Kind
♣J,♣3,♦6,♦Q,♦K | Pair
♣J,♣3,♦6,♦Q,♦K | Three Of A Kind
♣J,♣3,♦6,♣8,♣Q | Pair
♣J,♣3,♦6,♣8,♣Q | Pair
♣J,♣3,♦6,♣8,♣6 | Pair
♣J,♣3,♦6,♣8,♣6 | Pair
♣J,♣3,♦6,♣8,♦Q | Pair
♣J,♣3,♦6,♣8,♦Q | Pair
♣J,♣3,♦6,♣8,♦K | Pair
♣J,♣3,♦6,♣8,♦K | Pair
♣J,♣3,♦6,♣Q,♣7 | Pair
♣J,♣3,♦6,♣Q,♣7 | Pair
♣J,♣3,♦6,♣Q,♣6 | Pair
♣J,♣3,♦6,♣Q,♣6 | Pair
♣J,♣3,♦6,♣Q,♣6 | Pair
♣J,♣3,♦6,♣Q,♣6 | Pair
♣J,♣3,♦6,♣Q,♦Q | Pair
♣J,♣3,♦6,♣Q,♦Q | Three Of A Kind
♣J,♣3,♦6,♣Q,♦Q | Pair
♣J,♣3,♦6,♣Q,♦Q | Three Of A Kind
♣J,♣3,♦6,♣Q,♠9 | Pair
♣J,♣3,♦6,♣Q,♠9 | Pair
♣J,♣3,♦6,♣Q,♦K | Pair
♣J,♣3,♦6,♣Q,♦K | Three Of A Kind
♣J,♣3,♦6,♣Q,♦K | Pair
♣J,♣3,♦6,♣Q,♦K | Three Of A Kind
♣J,♣3,♦6,♣7,♣6 | Pair
♣J,♣3,♦6,♣7,♣6 | Pair
♣J,♣3,♦6,♣7,♦Q | Pair
♣J,♣3,♦6,♣7,♦Q | Pair
♣J,♣3,♦6,♣7,♦K | Pair
♣J,♣3,♦6,♣7,♦K | Pair
♣J,♣3,♦6,♣6,♦Q | Pair
♣J,♣3,♦6,♣6,♦Q | Pair
♣J,♣3,♦6,♣6,♦Q | Pair
♣J,♣3,♦6,♣6,♦Q | Pair
♣J,♣3,♦6,♣6,♠9 | Pair
♣J,♣3,♦6,♣6,♠9 | Pair
♣J,♣3,♦6,♣6,♦K | Pair
♣J,♣3,♦6,♣6,♦K | Pair
♣J,♣3,♦6,♣6,♦K | Pair
♣J,♣3,♦6,♣6,♦K | Pair
♣J,♣3,♦6,♦Q,♠9 | Pair
♣J,♣3,♦6,♦Q,♠9 | Pair
♣J,♣3,♦6,♦Q,♦K | Pair
♣J,♣3,♦6,♦Q,♦K | Three Of A Kind
♣J,♣3,♦6,♦Q,♦K | Pair
♣J,♣3,♦6,♦Q,♦K | Three Of A Kind
♣J,♣3,♦6,♠9,♦K | Pair
♣J,♣3,♦6,♠9,♦K | Pair
♣J,♣3,♦Q,♣8,♣Q | Pair
♣J,♣3,♦Q,♣8,♣Q | Three Of A Kind
♣J,♣3,♦Q,♣8,♣Q | Pair
♣J,♣3,♦Q,♣8,♣Q | Three Of A Kind
♣J,♣3,♦Q,♣8,♣7 | Pair
♣J,♣3,♦Q,♣8,♣7 | Pair
♣J,♣3,♦Q,♣8,♣6 | Pair
♣J,♣3,♦Q,♣8,♣6 | Pair
♣J,♣3,♦Q,♣8,♦Q | Pair
♣J,♣3,♦Q,♣8,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣8,♦Q | Pair
♣J,♣3,♦Q,♣8,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣8,♠9 | Pair
♣J,♣3,♦Q,♣8,♠9 | Pair
♣J,♣3,♦Q,♣8,♦K | Pair
♣J,♣3,♦Q,♣8,♦K | Three Of A Kind
♣J,♣3,♦Q,♣8,♦K | Pair
♣J,♣3,♦Q,♣8,♦K | Three Of A Kind
♣J,♣3,♦Q,♣Q,♣7 | Pair
♣J,♣3,♦Q,♣Q,♣7 | Three Of A Kind
♣J,♣3,♦Q,♣Q,♣7 | Pair
♣J,♣3,♦Q,♣Q,♣7 | Three Of A Kind
♣J,♣3,♦Q,♣Q,♣6 | Pair
♣J,♣3,♦Q,♣Q,♣6 | Three Of A Kind
♣J,♣3,♦Q,♣Q,♣6 | Pair
♣J,♣3,♦Q,♣Q,♣6 | Three Of A Kind
♣J,♣3,♦Q,♣Q,♦Q | Pair
♣J,♣3,♦Q,♣Q,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣Q,♦Q | Four Of A Kind
♣J,♣3,♦Q,♣Q,♦Q | Pair
♣J,♣3,♦Q,♣Q,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣Q,♦Q | Four Of A Kind
♣J,♣3,♦Q,♣Q,♠9 | Pair
♣J,♣3,♦Q,♣Q,♠9 | Three Of A Kind
♣J,♣3,♦Q,♣Q,♠9 | Pair
♣J,♣3,♦Q,♣Q,♠9 | Three Of A Kind
♣J,♣3,♦Q,♣Q,♦K | Pair
♣J,♣3,♦Q,♣Q,♦K | Three Of A Kind
♣J,♣3,♦Q,♣Q,♦K | Four Of A Kind
♣J,♣3,♦Q,♣Q,♦K | Pair
♣J,♣3,♦Q,♣Q,♦K | Three Of A Kind
♣J,♣3,♦Q,♣Q,♦K | Four Of A Kind
♣J,♣3,♦Q,♣7,♣6 | Pair
♣J,♣3,♦Q,♣7,♣6 | Pair
♣J,♣3,♦Q,♣7,♦Q | Pair
♣J,♣3,♦Q,♣7,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣7,♦Q | Pair
♣J,♣3,♦Q,♣7,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣7,♠9 | Pair
♣J,♣3,♦Q,♣7,♠9 | Pair
♣J,♣3,♦Q,♣7,♦K | Pair
♣J,♣3,♦Q,♣7,♦K | Three Of A Kind
♣J,♣3,♦Q,♣7,♦K | Pair
♣J,♣3,♦Q,♣7,♦K | Three Of A Kind
♣J,♣3,♦Q,♣6,♦Q | Pair
♣J,♣3,♦Q,♣6,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣6,♦Q | Pair
♣J,♣3,♦Q,♣6,♦Q | Three Of A Kind
♣J,♣3,♦Q,♣6,♠9 | Pair
♣J,♣3,♦Q,♣6,♠9 | Pair
♣J,♣3,♦Q,♣6,♦K | Pair
♣J,♣3,♦Q,♣6,♦K | Three Of A Kind
♣J,♣3,♦Q,♣6,♦K | Pair
♣J,♣3,♦Q,♣6,♦K | Three Of A Kind
♣J,♣3,♦Q,♦Q,♠9 | Pair
♣J,♣3,♦Q,♦Q,♠9 | Three Of A Kind
♣J,♣3,♦Q,♦Q,♠9 | Pair
♣J,♣3,♦Q,♦Q,♠9 | Three Of A Kind
♣J,♣3,♦Q,♦Q,♦K | Pair
♣J,♣3,♦Q,♦Q,♦K | Three Of A Kind
♣J,♣3,♦Q,♦Q,♦K | Four Of A Kind
♣J,♣3,♦Q,♦Q,♦K | Pair
♣J,♣3,♦Q,♦Q,♦K | Three Of A Kind
♣J,♣3,♦Q,♦Q,♦K | Four Of A Kind
♣J,♣3,♦Q,♠9,♦K | Pair
♣J,♣3,♦Q,♠9,♦K | Three Of A Kind
♣J,♣3,♦Q,♠9,♦K | Pair
♣J,♣3,♦Q,♠9,♦K | Three Of A Kind
♣J,♣3,♣8,♣Q,♣7 | Pair
♣J,♣3,♣8,♣Q,♣7 | Pair
♣J,♣3,♣8,♣Q,♣6 | Pair
♣J,♣3,♣8,♣Q,♣6 | Pair
♣J,♣3,♣8,♣Q,♦Q | Pair
♣J,♣3,♣8,♣Q,♦Q | Three Of A Kind
♣J,♣3,♣8,♣Q,♦Q | Pair
♣J,♣3,♣8,♣Q,♦Q | Three Of A Kind
♣J,♣3,♣8,♣Q,♠9 | Pair
♣J,♣3,♣8,♣Q,♠9 | Pair
♣J,♣3,♣8,♣Q,♦K | Pair
♣J,♣3,♣8,♣Q,♦K | Three Of A Kind
♣J,♣3,♣8,♣Q,♦K | Pair
♣J,♣3,♣8,♣Q,♦K | Three Of A Kind
♣J,♣3,♣8,♣7,♦Q | Pair
♣J,♣3,♣8,♣7,♦Q | Pair
♣J,♣3,♣8,♣7,♦K | Pair
♣J,♣3,♣8,♣7,♦K | Pair
♣J,♣3,♣8,♣6,♦Q | Pair
♣J,♣3,♣8,♣6,♦Q | Pair
♣J,♣3,♣8,♣6,♦K | Pair
♣J,♣3,♣8,♣6,♦K | Pair
♣J,♣3,♣8,♦Q,♠9 | Pair
♣J,♣3,♣8,♦Q,♠9 | Pair
♣J,♣3,♣8,♦Q,♦K | Pair
♣J,♣3,♣8,♦Q,♦K | Three Of A Kind
♣J,♣3,♣8,♦Q,♦K | Pair
♣J,♣3,♣8,♦Q,♦K | Three Of A Kind
♣J,♣3,♣8,♠9,♦K | Pair
♣J,♣3,♣8,♠9,♦K | Pair
♣J,♣3,♣Q,♣7,♣6 | Pair
♣J,♣3,♣Q,♣7,♣6 | Pair
♣J,♣3,♣Q,♣7,♦Q | Pair
♣J,♣3,♣Q,♣7,♦Q | Three Of A Kind
♣J,♣3,♣Q,♣7,♦Q | Pair
♣J,♣3,♣Q,♣7,♦Q | Three Of A Kind
♣J,♣3,♣Q,♣7,♠9 | Pair
♣J,♣3,♣Q,♣7,♠9 | Pair
♣J,♣3,♣Q,♣7,♦K | Pair
