♠10,♠7,♠7,♠8,♣8 | Pair
♠7,♠7,♠8,♥6,♣8 | Pair
♠7,♠7,♠8,♥6,♥4 | Pair
♠7,♠7,♠8,♥6,♦5 | Pair
♠7,♠7,♠8,♥6,♦6 | Pair
♠7,♠7,♠8,♥6,♦6 | Pair
♠7,♠7,♠8,♥6,♣5 | Pair
♠7,♠7,♠8,♣8,♥4 | Pair
♠7,♠7,♠8,♣8,♥4 | Pair
♠7,♠7,♠8,♣8,♦5 | Pair
♠7,♠7,♠8,♣8,♦5 | Pair
♠7,♠7,♠8,♣8,♦6 | Pair
♠7,♠7,♠8,♣8,♦6 | Pair
♠7,♠7,♠8,♣8,♣5 | Pair
♠7,♠7,♠8,♣8,♣5 | Pair
♠7,♠7,♠8,♥4,♦5 | Pair
♠7,♠7,♠8,♥4,♦6 | Pair
♠7,♠7,♠8,♥4,♣5 | Pair
♠7,♠7,♠8,♦5,♦6 | Pair
♠7,♠7,♠8,♦5,♣5 | Pair
♠7,♠7,♠8,♦5,♣5 | Pair
♠7,♠7,♠8,♦6,♣5 | Pair
♠7,♠7,♣8,♥6,♣8 | Pair
♠7,♠7,♣8,♥6,♣8 | Pair
♠7,♠7,♣8,♥6,♥4 | Pair
♠7,♠7,♣8,♥6,♦5 | Pair
♠7,♠7,♣8,♥6,♦6 | Pair
♠7,♠7,♣8,♥6,♦6 | Pair
♠7,♠7,♣8,♥6,♣5 | Pair
♠7,♠7,♣8,♣8,♥4 | Pair
♠7,♠7,♣8,♣8,♥4 | Pair
♠7,♠7,♣8,♣8,♦5 | Pair
♠7,♠7,♣8,♣8,♦5 | Pair
♠7,♠7,♣8,♣8,♦6 | Pair
♠7,♠7,♣8,♣8,♦6 | Pair
♠7,♠7,♣8,♣8,♣5 | Pair
♠7,♠7,♣8,♣8,♣5 | Pair
♠7,♠7,♣8,♥4,♦5 | Pair
♠7,♠7,♣8,♥4,♦6 | Pair
♠7,♠7,♣8,♥4,♣5 | Pair
♠7,♠7,♣8,♦5,♦6 | Pair
♠7,♠7,♣8,♦5,♣5 | Pair
♠7,♠7,♣8,♦5,♣5 | Pair
♠7,♠7,♣8,♦6,♣5 | Pair
♠7,♠7,♥6,♣8,♥4 | Pair
♠7,♠7,♥6,♣8,♦5 | Pair
♠7,♠7,♥6,♣8,♦6 | Pair
♠7,♠7,♥6,♣8,♦6 | Pair
♠7,♠7,♥6,♣8,♣5 | Pair
♠7,♠7,♥6,♥4,♦5 | Pair
♠7,♠7,♥6,♥4,♦6 | Pair
♠7,♠7,♥6,♥4,♦6 | Pair
♠7,♠7,♥6,♥4,♣5 | Pair
♠7,♠7,♥6,♦5,♦6 | Pair
♠7,♠7,♥6,♦5,♦6 | Pair
♠7,♠7,♥6,♦5,♣5 | Pair
♠7,♠7,♥6,♦5,♣5 | Pair
♠7,♠7,♥6,♦6,♣5 | Pair
♠7,♠7,♥6,♦6,♣5 | Pair
♠7,♠7,♣8,♥4,♦5 | Pair
♠7,♠7,♣8,♥4,♦6 | Pair
♠7,♠7,♣8,♥4,♣5 | Pair
♠7,♠7,♣8,♦5,♦6 | Pair
♠7,♠7,♣8,♦5,♣5 | Pair
♠7,♠7,♣8,♦5,♣5 | Pair
♠7,♠7,♣8,♦6,♣5 | Pair
♠7,♠7,♥4,♦5,♦6 | Pair
♠7,♠7,♥4,♦5,♣5 | Pair
♠7,♠7,♥4,♦5,♣5 | Pair
♠7,♠7,♥4,♦6,♣5 | Pair
♠7,♠7,♦5,♦6,♣5 | Pair
♠7,♠7,♦5,♦6,♣5 | Pair
♠7,♠8,♣8,♥6,♣8 | Pair
♠7,♠8,♣8,♥6,♣8 | Three Of A Kind
♠7,♠8,♣8,♥6,♥4 | Pair
♠7,♠8,♣8,♥6,♦5 | Pair
♠7,♠8,♣8,♥6,♦6 | Pair
♠7,♠8,♣8,♥6,♦6 | Pair
♠7,♠8,♣8,♥6,♣5 | Pair
♠7,♠8,♣8,♣8,♥4 | Pair
♠7,♠8,♣8,♣8,♥4 | Three Of A Kind
♠7,♠8,♣8,♣8,♦5 | Pair
♠7,♠8,♣8,♣8,♦5 | Three Of A Kind
♠7,♠8,♣8,♣8,♦6 | Pair
♠7,♠8,♣8,♣8,♦6 | Three Of A Kind
♠7,♠8,♣8,♣8,♣5 | Pair
♠7,♠8,♣8,♣8,♣5 | Three Of A Kind
♠7,♠8,♣8,♥4,♦5 | Pair
♠7,♠8,♣8,♥4,♦6 | Pair
♠7,♠8,♣8,♥4,♣5 | Pair
♠7,♠8,♣8,♦5,♦6 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦6,♣5 | Pair
♠7,♠8,♥6,♣8,♥4 | Pair
♠7,♠8,♥6,♣8,♦5 | Pair
♠7,♠8,♥6,♣8,♦6 | Pair
♠7,♠8,♥6,♣8,♦6 | Pair
♠7,♠8,♥6,♣8,♣5 | Pair
♠7,♠8,♥6,♥4,♦6 | Pair
♠7,♠8,♥6,♦5,♦6 | Pair
♠7,♠8,♥6,♦5,♣5 | Pair
♠7,♠8,♥6,♦6,♣5 | Pair
♠7,♠8,♣8,♥4,♦5 | Pair
♠7,♠8,♣8,♥4,♦6 | Pair
♠7,♠8,♣8,♥4,♣5 | Pair
♠7,♠8,♣8,♦5,♦6 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦6,♣5 | Pair
♠7,♠8,♥4,♦5,♣5 | Pair
♠7,♠8,♦5,♦6,♣5 | Pair
♠7,♣8,♥6,♣8,♥4 | Pair
♠7,♣8,♥6,♣8,♦5 | Pair
♠7,♣8,♥6,♣8,♦6 | Pair
♠7,♣8,♥6,♣8,♦6 | Pair
♠7,♣8,♥6,♣8,♣5 | Pair
♠7,♣8,♥6,♥4,♦6 | Pair
♠7,♣8,♥6,♦5,♦6 | Pair
♠7,♣8,♥6,♦5,♣5 | Pair
♠7,♣8,♥6,♦6,♣5 | Pair
♠7,♣8,♣8,♥4,♦5 | Pair
♠7,♣8,♣8,♥4,♦6 | Pair
♠7,♣8,♣8,♥4,♣5 | Pair
♠7,♣8,♣8,♦5,♦6 | Pair
♠7,♣8,♣8,♦5,♣5 | Pair
♠7,♣8,♣8,♦5,♣5 | Pair
♠7,♣8,♣8,♦6,♣5 | Pair
♠7,♣8,♥4,♦5,♣5 | Pair
♠7,♣8,♦5,♦6,♣5 | Pair
♠7,♥6,♣8,♥4,♦6 | Pair
♠7,♥6,♣8,♦5,♦6 | Pair
♠7,♥6,♣8,♦5,♣5 | Pair
♠7,♥6,♣8,♦6,♣5 | Pair
♠7,♥6,♥4,♦5,♦6 | Pair
♠7,♥6,♥4,♦5,♣5 | Pair
♠7,♥6,♥4,♦6,♣5 | Pair
♠7,♥6,♦5,♦6,♣5 | Pair
♠7,♥6,♦5,♦6,♣5 | Pair
♠7,♣8,♥4,♦5,♣5 | Pair
♠7,♣8,♦5,♦6,♣5 | Pair
♠7,♥4,♦5,♦6,♣5 | Pair
♠7,♠8,♣8,♥6,♣8 | Pair
♠7,♠8,♣8,♥6,♣8 | Three Of A Kind
♠7,♠8,♣8,♥6,♥4 | Pair
♠7,♠8,♣8,♥6,♦5 | Pair
♠7,♠8,♣8,♥6,♦6 | Pair
♠7,♠8,♣8,♥6,♦6 | Pair
♠7,♠8,♣8,♥6,♣5 | Pair
♠7,♠8,♣8,♣8,♥4 | Pair
♠7,♠8,♣8,♣8,♥4 | Three Of A Kind
♠7,♠8,♣8,♣8,♦5 | Pair
♠7,♠8,♣8,♣8,♦5 | Three Of A Kind
♠7,♠8,♣8,♣8,♦6 | Pair
♠7,♠8,♣8,♣8,♦6 | Three Of A Kind
♠7,♠8,♣8,♣8,♣5 | Pair
♠7,♠8,♣8,♣8,♣5 | Three Of A Kind
♠7,♠8,♣8,♥4,♦5 | Pair
♠7,♠8,♣8,♥4,♦6 | Pair
♠7,♠8,♣8,♥4,♣5 | Pair
♠7,♠8,♣8,♦5,♦6 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦6,♣5 | Pair
♠7,♠8,♥6,♣8,♥4 | Pair
♠7,♠8,♥6,♣8,♦5 | Pair
♠7,♠8,♥6,♣8,♦6 | Pair
♠7,♠8,♥6,♣8,♦6 | Pair
♠7,♠8,♥6,♣8,♣5 | Pair
♠7,♠8,♥6,♥4,♦6 | Pair
♠7,♠8,♥6,♦5,♦6 | Pair
♠7,♠8,♥6,♦5,♣5 | Pair
♠7,♠8,♥6,♦6,♣5 | Pair
♠7,♠8,♣8,♥4,♦5 | Pair
♠7,♠8,♣8,♥4,♦6 | Pair
♠7,♠8,♣8,♥4,♣5 | Pair
♠7,♠8,♣8,♦5,♦6 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦5,♣5 | Pair
♠7,♠8,♣8,♦6,♣5 | Pair
♠7,♠8,♥4,♦5,♣5 | Pair
♠7,♠8,♦5,♦6,♣5 | Pair
♠7,♣8,♥6,♣8,♥4 | Pair
♠7,♣8,♥6,♣8,♦5 | Pair
♠7,♣8,♥6,♣8,♦6 | Pair
♠7,♣8,♥6,♣8,♦6 | Pair
♠7,♣8,♥6,♣8,♣5 | Pair
♠7,♣8,♥6,♥4,♦6 | Pair
♠7,♣8,♥6,♦5,♦6 | Pair
♠7,♣8,♥6,♦5,♣5 | Pair
♠7,♣8,♥6,♦6,♣5 | Pair
♠7,♣8,♣8,♥4,♦5 | Pair
♠7,♣8,♣8,♥4,♦6 | Pair
♠7,♣8,♣8,♥4,♣5 | Pair
♠7,♣8,♣8,♦5,♦6 | Pair
♠7,♣8,♣8,♦5,♣5 | Pair
♠7,♣8,♣8,♦5,♣5 | Pair
♠7,♣8,♣8,♦6,♣5 | Pair
♠7,♣8,♥4,♦5,♣5 | Pair
♠7,♣8,♦5,♦6,♣5 | Pair
♠7,♥6,♣8,♥4,♦6 | Pair
♠7,♥6,♣8,♦5,♦6 | Pair
♠7,♥6,♣8,♦5,♣5 | Pair
♠7,♥6,♣8,♦6,♣5 | Pair
♠7,♥6,♥4,♦5,♦6 | Pair
♠7,♥6,♥4,♦5,♣5 | Pair
♠7,♥6,♥4,♦6,♣5 | Pair
♠7,♥6,♦5,♦6,♣5 | Pair
♠7,♥6,♦5,♦6,♣5 | Pair
♠7,♣8,♥4,♦5,♣5 | Pair
♠7,♣8,♦5,♦6,♣5 | Pair
♠7,♥4,♦5,♦6,♣5 | Pair
♠8,♣8,♥6,♣8,♥4 | Pair
♠8,♣8,♥6,♣8,♥4 | Three Of A Kind
♠8,♣8,♥6,♣8,♦5 | Pair
♠8,♣8,♥6,♣8,♦5 | Three Of A Kind
♠8,♣8,♥6,♣8,♦6 | Pair
♠8,♣8,♥6,♣8,♦6 | Three Of A Kind
♠8,♣8,♥6,♣8,♦6 | Pair
♠8,♣8,♥6,♣8,♣5 | Pair
♠8,♣8,♥6,♣8,♣5 | Three Of A Kind
♠8,♣8,♥6,♥4,♦5 | Pair
♠8,♣8,♥6,♥4,♦6 | Pair
♠8,♣8,♥6,♥4,♦6 | Pair
♠8,♣8,♥6,♥4,♣5 | Pair
♠8,♣8,♥6,♦5,♦6 | Pair
♠8,♣8,♥6,♦5,♦6 | Pair
♠8,♣8,♥6,♦5,♣5 | Pair
♠8,♣8,♥6,♦5,♣5 | Pair
♠8,♣8,♥6,♦6,♣5 | Pair
♠8,♣8,♥6,♦6,♣5 | Pair
♠8,♣8,♣8,♥4,♦5 | Pair
♠8,♣8,♣8,♥4,♦5 | Three Of A Kind
♠8,♣8,♣8,♥4,♦6 | Pair
♠8,♣8,♣8,♥4,♦6 | Three Of A Kind
♠8,♣8,♣8,♥4,♣5 | Pair
♠8,♣8,♣8,♥4,♣5 | Three Of A Kind
♠8,♣8,♣8,♦5,♦6 | Pair
♠8,♣8,♣8,♦5,♦6 | Three Of A Kind
♠8,♣8,♣8,♦5,♣5 | Pair
♠8,♣8,♣8,♦5,♣5 | Three Of A Kind
♠8,♣8,♣8,♦5,♣5 | Pair
♠8,♣8,♣8,♦6,♣5 | Pair
♠8,♣8,♣8,♦6,♣5 | Three Of A Kind
♠8,♣8,♥4,♦5,♦6 | Pair
♠8,♣8,♥4,♦5,♣5 | Pair
♠8,♣8,♥4,♦5,♣5 | Pair
♠8,♣8,♥4,♦6,♣5 | Pair
♠8,♣8,♦5,♦6,♣5 | Pair
♠8,♣8,♦5,♦6,♣5 | Pair
♠8,♥6,♣8,♥4,♦5 | Pair
♠8,♥6,♣8,♥4,♦6 | Pair
♠8,♥6,♣8,♥4,♦6 | Pair
♠8,♥6,♣8,♥4,♣5 | Pair
♠8,♥6,♣8,♦5,♦6 | Pair
♠8,♥6,♣8,♦5,♦6 | Pair
♠8,♥6,♣8,♦5,♣5 | Pair
♠8,♥6,♣8,♦5,♣5 | Pair
♠8,♥6,♣8,♦6,♣5 | Pair
♠8,♥6,♣8,♦6,♣5 | Pair
♠8,♥6,♥4,♦5,♦6 | Pair
♠8,♥6,♥4,♦5,♣5 | Pair
♠8,♥6,♥4,♦6,♣5 | Pair
♠8,♥6,♦5,♦6,♣5 | Pair
♠8,♥6,♦5,♦6,♣5 | Pair
♠8,♣8,♥4,♦5,♦6 | Pair
♠8,♣8,♥4,♦5,♣5 | Pair
♠8,♣8,♥4,♦5,♣5 | Pair
♠8,♣8,♥4,♦6,♣5 | Pair
♠8,♣8,♦5,♦6,♣5 | Pair
♠8,♣8,♦5,♦6,♣5 | Pair
♠8,♥4,♦5,♦6,♣5 | Pair
♣8,♥6,♣8,♥4,♦5 | Pair
♣8,♥6,♣8,♥4,♦6 | Pair
♣8,♥6,♣8,♥4,♦6 | Pair
♣8,♥6,♣8,♥4,♣5 | Pair
♣8,♥6,♣8,♦5,♦6 | Pair
♣8,♥6,♣8,♦5,♦6 | Pair
♣8,♥6,♣8,♦5,♣5 | Pair
♣8,♥6,♣8,♦5,♣5 | Pair
♣8,♥6,♣8,♦6,♣5 | Pair
♣8,♥6,♣8,♦6,♣5 | Pair
♣8,♥6,♥4,♦5,♦6 | Pair
♣8,♥6,♥4,♦5,♣5 | Pair
♣8,♥6,♥4,♦6,♣5 | Pair
♣8,♥6,♦5,♦6,♣5 | Pair
♣8,♥6,♦5,♦6,♣5 | Pair
♣8,♣8,♥4,♦5,♦6 | Pair
♣8,♣8,♥4,♦5,♣5 | Pair
♣8,♣8,♥4,♦5,♣5 | Pair
♣8,♣8,♥4,♦6,♣5 | Pair
♣8,♣8,♦5,♦6,♣5 | Pair
♣8,♣8,♦5,♦6,♣5 | Pair
♣8,♥4,♦5,♦6,♣5 | Pair
♥6,♣8,♥4,♦5,♦6 | Pair
♥6,♣8,♥4,♦5,♣5 | Pair
♥6,♣8,♥4,♦6,♣5 | Pair
♥6,♣8,♦5,♦6,♣5 | Pair
♥6,♣8,♦5,♦6,♣5 | Pair
♥6,♥4,♦5,♦6,♣5 | Pair
♥6,♥4,♦5,♦6,♣5 | Pair
♣8,♥4,♦5,♦6,♣5 | Pair
