♥7,♣7,♥3,♣8,♣5 | Pair
♥7,♣7,♥6,♠K,♣J | Pair
♥7,♣7,♠J,♥K,♣T | Pair
♥7,♣7,♠J,♥K,♦K | Two Pairs
♥7,♣7,♠J,♥K,♦Q | Pair
♥7,♣7,♠J,♥K,♠K | Two Pairs
♥7,♣7,♠J,♥K,♣J | Two Pairs
♥7,♣7,♠J,♣T,♦K | Pair
♥7,♣7,♠J,♣T,♦Q | Pair
♥7,♣7,♠J,♣T,♠K | Pair
♥7,♣7,♠J,♣T,♣J | Two Pairs
♥7,♣7,♠J,♦K,♦Q | Pair
♥7,♣7,♠J,♦K,♠K | Two Pairs
♥7,♣7,♠J,♦K,♣J | Two Pairs
♥7,♣7,♠J,♦Q,♠K | Pair
♥7,♣7,♠J,♦Q,♣J | Two Pairs
♥7,♣7,♠J,♠K,♣J | Two Pairs
♥7,♣7,♥K,♣T,♦K | Two Pairs
♥7,♣7,♥K,♣T,♦Q | Pair
♥7,♣7,♥K,♣T,♠K | Two Pairs
♥7,♣7,♥K,♣T,♣J | Pair
♥7,♣7,♥K,♦K,♦Q | Two Pairs
♥7,♣7,♥K,♦K,♠K | Full House
♥7,♣7,♥K,♦K,♣J | Two Pairs
♥7,♣7,♥K,♦Q,♠K | Two Pairs
♥7,♣7,♥K,♦Q,♣J | Pair
♥7,♣7,♥K,♠K,♣J | Two Pairs
♥7,♣7,♣T,♦K,♦Q | Pair
♥7,♣7,♣T,♦K,♠K | Two Pairs
♥7,♣7,♣T,♦K,♣J | Pair
♥7,♣7,♣T,♦Q,♠K | Pair
♥7,♣7,♣T,♦Q,♣J | Pair
♥7,♣7,♣T,♠K,♣J | Pair
♥7,♣7,♦K,♦Q,♠K | Two Pairs
♥7,♣7,♦K,♦Q,♣J | Pair
♥7,♣7,♦K,♠K,♣J | Two Pairs
♥7,♣7,♦Q,♠K,♣J | Pair
♥7,♥3,♣8,♠J,♣J | Pair
♥7,♥3,♣8,♥K,♦K | Pair
♥7,♥3,♣8,♥K,♠K | Pair
♥7,♥3,♣8,♦K,♠K | Pair
♥7,♥3,♣5,♠J,♣J | Pair
♥7,♥3,♣5,♥K,♦K | Pair
♥7,♥3,♣5,♥K,♠K | Pair
♥7,♥3,♣5,♦K,♠K | Pair
♥7,♥3,♥6,♠J,♣J | Pair
♥7,♥3,♥6,♥K,♦K | Pair
♥7,♥3,♥6,♥K,♠K | Pair
♥7,♥3,♥6,♦K,♠K | Pair
♥7,♥3,♠J,♥K,♦K | Pair
♥7,♥3,♠J,♥K,♠K | Pair
♥7,♥3,♠J,♥K,♣J | Pair
♥7,♥3,♠J,♣T,♣J | Pair
♥7,♥3,♠J,♦K,♠K | Pair
♥7,♥3,♠J,♦K,♣J | Pair
♥7,♥3,♠J,♦Q,♣J | Pair
♥7,♥3,♠J,♠K,♣J | Pair
♥7,♥3,♥K,♣T,♦K | Pair
♥7,♥3,♥K,♣T,♠K | Pair
♥7,♥3,♥K,♦K,♦Q | Pair
♥7,♥3,♥K,♦K,♠K | Full House
♥7,♥3,♥K,♦K,♣J | Pair
♥7,♥3,♥K,♦Q,♠K | Pair
♥7,♥3,♥K,♠K,♣J | Pair
♥7,♥3,♣T,♦K,♠K | Pair
♥7,♥3,♦K,♦Q,♠K | Pair
♥7,♥3,♦K,♠K,♣J | Pair
♥7,♣8,♣5,♠J,♣J | Pair
♥7,♣8,♣5,♥K,♦K | Pair
♥7,♣8,♣5,♥K,♠K | Pair
♥7,♣8,♣5,♦K,♠K | Pair
♥7,♣8,♥6,♠J,♣J | Pair
♥7,♣8,♥6,♥K,♦K | Pair
♥7,♣8,♥6,♥K,♠K | Pair
♥7,♣8,♥6,♦K,♠K | Pair
♥7,♣8,♠J,♥K,♦K | Pair
♥7,♣8,♠J,♥K,♠K | Pair
♥7,♣8,♠J,♥K,♣J | Pair
♥7,♣8,♠J,♣T,♣J | Pair
♥7,♣8,♠J,♦K,♠K | Pair
♥7,♣8,♠J,♦K,♣J | Pair
♥7,♣8,♠J,♦Q,♣J | Pair
♥7,♣8,♠J,♠K,♣J | Pair
♥7,♣8,♥K,♣T,♦K | Pair
♥7,♣8,♥K,♣T,♠K | Pair
♥7,♣8,♥K,♦K,♦Q | Pair
♥7,♣8,♥K,♦K,♠K | Full House
♥7,♣8,♥K,♦K,♣J | Pair
♥7,♣8,♥K,♦Q,♠K | Pair
♥7,♣8,♥K,♠K,♣J | Pair
♥7,♣8,♣T,♦K,♠K | Pair
♥7,♣8,♦K,♦Q,♠K | Pair
♥7,♣8,♦K,♠K,♣J | Pair
♥7,♣5,♥6,♠J,♣J | Pair
♥7,♣5,♥6,♥K,♦K | Pair
♥7,♣5,♥6,♥K,♠K | Pair
♥7,♣5,♥6,♦K,♠K | Pair
♥7,♣5,♠J,♥K,♦K | Pair
♥7,♣5,♠J,♥K,♠K | Pair
♥7,♣5,♠J,♥K,♣J | Pair
♥7,♣5,♠J,♣T,♣J | Pair
♥7,♣5,♠J,♦K,♠K | Pair
♥7,♣5,♠J,♦K,♣J | Pair
♥7,♣5,♠J,♦Q,♣J | Pair
♥7,♣5,♠J,♠K,♣J | Pair
♥7,♣5,♥K,♣T,♦K | Pair
♥7,♣5,♥K,♣T,♠K | Pair
♥7,♣5,♥K,♦K,♦Q | Pair
♥7,♣5,♥K,♦K,♠K | Full House
♥7,♣5,♥K,♦K,♣J | Pair
♥7,♣5,♥K,♦Q,♠K | Pair
♥7,♣5,♥K,♠K,♣J | Pair
♥7,♣5,♣T,♦K,♠K | Pair
♥7,♣5,♦K,♦Q,♠K | Pair
♥7,♣5,♦K,♠K,♣J | Pair
♥7,♥6,♠J,♥K,♦K | Pair
♥7,♥6,♠J,♥K,♠K | Pair
♥7,♥6,♠J,♥K,♣J | Pair
♥7,♥6,♠J,♣T,♣J | Pair
♥7,♥6,♠J,♦K,♠K | Pair
♥7,♥6,♠J,♦K,♣J | Pair
♥7,♥6,♠J,♦Q,♣J | Pair
♥7,♥6,♠J,♠K,♣J | Pair
♥7,♥6,♥K,♣T,♦K | Pair
♥7,♥6,♥K,♣T,♠K | Pair
♥7,♥6,♥K,♦K,♦Q | Pair
♥7,♥6,♥K,♦K,♠K | Full House
♥7,♥6,♥K,♦K,♣J | Pair
♥7,♥6,♥K,♦Q,♠K | Pair
♥7,♥6,♥K,♠K,♣J | Pair
♥7,♥6,♣T,♦K,♠K | Pair
♥7,♥6,♦K,♦Q,♠K | Pair
♥7,♥6,♦K,♠K,♣J | Pair
♥7,♠J,♥K,♣T,♦K | Pair
♥7,♠J,♥K,♣T,♠K | Pair
♥7,♠J,♥K,♣T,♣J | Pair
♥7,♠J,♥K,♦K,♦Q | Pair
♥7,♠J,♥K,♦K,♠K | Full House
♥7,♠J,♥K,♦K,♣J | Two Pairs
♥7,♠J,♥K,♦Q,♠K | Pair
♥7,♠J,♥K,♦Q,♣J | Pair
♥7,♠J,♥K,♠K,♣J | Two Pairs
♥7,♠J,♣T,♦K,♠K | Pair
♥7,♠J,♣T,♦K,♣J | Pair
♥7,♠J,♣T,♦Q,♣J | Pair
♥7,♠J,♣T,♠K,♣J | Pair
♥7,♠J,♦K,♦Q,♠K | Pair
♥7,♠J,♦K,♦Q,♣J | Pair
♥7,♠J,♦K,♠K,♣J | Two Pairs
♥7,♠J,♦Q,♠K,♣J | Pair
♥7,♥K,♣T,♦K,♦Q | Pair
♥7,♥K,♣T,♦K,♠K | Full House
♥7,♥K,♣T,♦K,♣J | Pair
♥7,♥K,♣T,♦Q,♠K | Pair
♥7,♥K,♣T,♠K,♣J | Pair
♥7,♥K,♦K,♦Q,♠K | Full House
♥7,♥K,♦K,♦Q,♣J | Pair
♥7,♥K,♦K,♠K,♣J | Full House
♥7,♥K,♦Q,♠K,♣J | Pair
♥7,♣T,♦K,♦Q,♠K | Pair
♥7,♣T,♦K,♠K,♣J | Pair
♥7,♦K,♦Q,♠K,♣J | Pair
♣7,♥3,♣8,♠J,♣J | Pair
♣7,♥3,♣8,♥K,♦K | Pair
♣7,♥3,♣8,♥K,♠K | Pair
♣7,♥3,♣8,♦K,♠K | Pair
♣7,♥3,♣5,♠J,♣J | Pair
♣7,♥3,♣5,♥K,♦K | Pair
♣7,♥3,♣5,♥K,♠K | Pair
♣7,♥3,♣5,♦K,♠K | Pair
♣7,♥3,♥6,♠J,♣J | Pair
♣7,♥3,♥6,♥K,♦K | Pair
♣7,♥3,♥6,♥K,♠K | Pair
♣7,♥3,♥6,♦K,♠K | Pair
♣7,♥3,♠J,♥K,♦K | Pair
♣7,♥3,♠J,♥K,♠K | Pair
♣7,♥3,♠J,♥K,♣J | Pair
♣7,♥3,♠J,♣T,♣J | Pair
♣7,♥3,♠J,♦K,♠K | Pair
♣7,♥3,♠J,♦K,♣J | Pair
♣7,♥3,♠J,♦Q,♣J | Pair
♣7,♥3,♠J,♠K,♣J | Pair
♣7,♥3,♥K,♣T,♦K | Pair
♣7,♥3,♥K,♣T,♠K | Pair
♣7,♥3,♥K,♦K,♦Q | Pair
♣7,♥3,♥K,♦K,♠K | Full House
♣7,♥3,♥K,♦K,♣J | Pair
♣7,♥3,♥K,♦Q,♠K | Pair
♣7,♥3,♥K,♠K,♣J | Pair
♣7,♥3,♣T,♦K,♠K | Pair
♣7,♥3,♦K,♦Q,♠K | Pair
♣7,♥3,♦K,♠K,♣J | Pair
♣7,♣8,♣5,♠J,♣J | Pair
♣7,♣8,♣5,♥K,♦K | Pair
♣7,♣8,♣5,♥K,♠K | Pair
♣7,♣8,♣5,♣T,♣J | Flush
♣7,♣8,♣5,♦K,♠K | Pair
♣7,♣8,♥6,♠J,♣J | Pair
♣7,♣8,♥6,♥K,♦K | Pair
♣7,♣8,♥6,♥K,♠K | Pair
♣7,♣8,♥6,♦K,♠K | Pair
♣7,♣8,♠J,♥K,♦K | Pair
♣7,♣8,♠J,♥K,♠K | Pair
♣7,♣8,♠J,♥K,♣J | Pair
♣7,♣8,♠J,♣T,♣J | Pair
♣7,♣8,♠J,♦K,♠K | Pair
♣7,♣8,♠J,♦K,♣J | Pair
♣7,♣8,♠J,♦Q,♣J | Pair
♣7,♣8,♠J,♠K,♣J | Pair
♣7,♣8,♥K,♣T,♦K | Pair
♣7,♣8,♥K,♣T,♠K | Pair
♣7,♣8,♥K,♦K,♦Q | Pair
♣7,♣8,♥K,♦K,♠K | Full House
♣7,♣8,♥K,♦K,♣J | Pair
♣7,♣8,♥K,♦Q,♠K | Pair
♣7,♣8,♥K,♠K,♣J | Pair
♣7,♣8,♣T,♦K,♠K | Pair
♣7,♣8,♦K,♦Q,♠K | Pair
♣7,♣8,♦K,♠K,♣J | Pair
♣7,♣5,♥6,♠J,♣J | Pair
♣7,♣5,♥6,♥K,♦K | Pair
♣7,♣5,♥6,♥K,♠K | Pair
♣7,♣5,♥6,♦K,♠K | Pair
♣7,♣5,♠J,♥K,♦K | Pair
♣7,♣5,♠J,♥K,♠K | Pair
♣7,♣5,♠J,♥K,♣J | Pair
♣7,♣5,♠J,♣T,♣J | Pair
♣7,♣5,♠J,♦K,♠K | Pair
♣7,♣5,♠J,♦K,♣J | Pair
♣7,♣5,♠J,♦Q,♣J | Pair
♣7,♣5,♠J,♠K,♣J | Pair
♣7,♣5,♥K,♣T,♦K | Pair
♣7,♣5,♥K,♣T,♠K | Pair
♣7,♣5,♥K,♦K,♦Q | Pair
♣7,♣5,♥K,♦K,♠K | Full House
♣7,♣5,♥K,♦K,♣J | Pair
♣7,♣5,♥K,♦Q,♠K | Pair
♣7,♣5,♥K,♠K,♣J | Pair
♣7,♣5,♣T,♦K,♠K | Pair
♣7,♣5,♦K,♦Q,♠K | Pair
♣7,♣5,♦K,♠K,♣J | Pair
♣7,♥6,♠J,♥K,♦K | Pair
♣7,♥6,♠J,♥K,♠K | Pair
♣7,♥6,♠J,♥K,♣J | Pair
♣7,♥6,♠J,♣T,♣J | Pair
♣7,♥6,♠J,♦K,♠K | Pair
♣7,♥6,♠J,♦K,♣J | Pair
♣7,♥6,♠J,♦Q,♣J | Pair
♣7,♥6,♠J,♠K,♣J | Pair
♣7,♥6,♥K,♣T,♦K | Pair
♣7,♥6,♥K,♣T,♠K | Pair
♣7,♥6,♥K,♦K,♦Q | Pair
♣7,♥6,♥K,♦K,♠K | Full House
♣7,♥6,♥K,♦K,♣J | Pair
♣7,♥6,♥K,♦Q,♠K | Pair
♣7,♥6,♥K,♠K,♣J | Pair
♣7,♥6,♣T,♦K,♠K | Pair
♣7,♥6,♦K,♦Q,♠K | Pair
♣7,♥6,♦K,♠K,♣J | Pair
♣7,♠J,♥K,♣T,♦K | Pair
♣7,♠J,♥K,♣T,♠K | Pair
♣7,♠J,♥K,♣T,♣J | Pair
♣7,♠J,♥K,♦K,♦Q | Pair
♣7,♠J,♥K,♦K,♠K | Full House
♣7,♠J,♥K,♦K,♣J | Two Pairs
♣7,♠J,♥K,♦Q,♠K | Pair
♣7,♠J,♥K,♦Q,♣J | Pair
♣7,♠J,♥K,♠K,♣J | Two Pairs
♣7,♠J,♣T,♦K,♠K | Pair
♣7,♠J,♣T,♦K,♣J | Pair
♣7,♠J,♣T,♦Q,♣J | Pair
♣7,♠J,♣T,♠K,♣J | Pair
♣7,♠J,♦K,♦Q,♠K | Pair
♣7,♠J,♦K,♦Q,♣J | Pair
♣7,♠J,♦K,♠K,♣J | Two Pairs
♣7,♠J,♦Q,♠K,♣J | Pair
♣7,♥K,♣T,♦K,♦Q | Pair
♣7,♥K,♣T,♦K,♠K | Full House
♣7,♥K,♣T,♦K,♣J | Pair
♣7,♥K,♣T,♦Q,♠K | Pair
♣7,♥K,♣T,♠K,♣J | Pair
♣7,♥K,♦K,♦Q,♠K | Full House
♣7,♥K,♦K,♦Q,♣J | Pair
♣7,♥K,♦K,♠K,♣J | Full House
♣7,♥K,♦Q,♠K,♣J | Pair
♣7,♣T,♦K,♦Q,♠K | Pair
♣7,♣T,♦K,♠K,♣J | Pair
♣7,♦K,♦Q,♠K,♣J | Pair
♥3,♣8,♣5,♠J,♣J | Pair
♥3,♣8,♣5,♥K,♦K | Pair
♥3,♣8,♣5,♥K,♠K | Pair
♥3,♣8,♣5,♦K,♠K | Pair
♥3,♣8,♥6,♠J,♣J | Pair
♥3,♣8,♥6,♥K,♦K | Pair
♥3,♣8,♥6,♥K,♠K | Pair
♥3,♣8,♥6,♦K,♠K | Pair
♥3,♣8,♠J,♥K,♦K | Pair
♥3,♣8,♠J,♥K,♠K | Pair
♥3,♣8,♠J,♥K,♣J | Pair
♥3,♣8,♠J,♣T,♣J | Pair
♥3,♣8,♠J,♦K,♠K | Pair
♥3,♣8,♠J,♦K,♣J | Pair
♥3,♣8,♠J,♦Q,♣J | Pair
♥3,♣8,♠J,♠K,♣J | Pair
♥3,♣8,♥K,♣T,♦K | Pair
♥3,♣8,♥K,♣T,♠K | Pair
♥3,♣8,♥K,♦K,♦Q | Pair
♥3,♣8,♥K,♦K,♠K | Full House
♥3,♣8,♥K,♦K,♣J | Pair
♥3,♣8,♥K,♦Q,♠K | Pair
♥3,♣8,♥K,♠K,♣J | Pair
♥3,♣8,♣T,♦K,♠K | Pair
♥3,♣8,♦K,♦Q,♠K | Pair
♥3,♣8,♦K,♠K,♣J | Pair
♥3,♣5,♥6,♠J,♣J | Pair
♥3,♣5,♥6,♥K,♦K | Pair
♥3,♣5,♥6,♥K,♠K | Pair
♥3,♣5,♥6,♦K,♠K | Pair
♥3,♣5,♠J,♥K,♦K | Pair
♥3,♣5,♠J,♥K,♠K | Pair
♥3,♣5,♠J,♥K,♣J | Pair
♥3,♣5,♠J,♣T,♣J | Pair
♥3,♣5,♠J,♦K,♠K | Pair
♥3,♣5,♠J,♦K,♣J | Pair
♥3,♣5,♠J,♦Q,♣J | Pair
♥3,♣5,♠J,♠K,♣J | Pair
♥3,♣5,♥K,♣T,♦K | Pair
♥3,♣5,♥K,♣T,♠K | Pair
♥3,♣5,♥K,♦K,♦Q | Pair
♥3,♣5,♥K,♦K,♠K | Full House
♥3,♣5,♥K,♦K,♣J | Pair
♥3,♣5,♥K,♦Q,♠K | Pair
♥3,♣5,♥K,♠K,♣J | Pair
♥3,♣5,♣T,♦K,♠K | Pair
♥3,♣5,♦K,♦Q,♠K | Pair
♥3,♣5,♦K,♠K,♣J | Pair
♥3,♥6,♠J,♥K,♦K | Pair
♥3,♥6,♠J,♥K,♠K | Pair
♥3,♥6,♠J,♥K,♣J | Pair
♥3,♥6,♠J,♣T,♣J | Pair
♥3,♥6,♠J,♦K,♠K | Pair
♥3,♥6,♠J,♦K,♣J | Pair
♥3,♥6,♠J,♦Q,♣J | Pair
♥3,♥6,♠J,♠K,♣J | Pair
♥3,♥6,♥K,♣T,♦K | Pair
♥3,♥6,♥K,♣T,♠K | Pair
♥3,♥6,♥K,♦K,♦Q | Pair
♥3,♥6,♥K,♦K,♠K | Full House
♥3,♥6,♥K,♦K,♣J | Pair
♥3,♥6,♥K,♦Q,♠K | Pair
♥3,♥6,♥K,♠K,♣J | Pair
♥3,♥6,♣T,♦K,♠K | Pair
♥3,♥6,♦K,♦Q,♠K | Pair
♥3,♥6,♦K,♠K,♣J | Pair
♥3,♠J,♥K,♣T,♦K | Pair
♥3,♠J,♥K,♣T,♠K | Pair
♥3,♠J,♥K,♣T,♣J | Pair
♥3,♠J,♥K,♦K,♦Q | Pair
♥3,♠J,♥K,♦K,♠K | Full House
♥3,♠J,♥K,♦K,♣J | Two Pairs
♥3,♠J,♥K,♦Q,♠K | Pair
♥3,♠J,♥K,♦Q,♣J | Pair
♥3,♠J,♥K,♠K,♣J | Two Pairs
♥3,♠J,♣T,♦K,♠K | Pair
♥3,♠J,♣T,♦K,♣J | Pair
♥3,♠J,♣T,♦Q,♣J | Pair
♥3,♠J,♣T,♠K,♣J | Pair
♥3,♠J,♦K,♦Q,♠K | Pair
♥3,♠J,♦K,♦Q,♣J | Pair
♥3,♠J,♦K,♠K,♣J | Two Pairs
♥3,♠J,♦Q,♠K,♣J | Pair
♥3,♥K,♣T,♦K,♦Q | Pair
♥3,♥K,♣T,♦K,♠K | Full House
♥3,♥K,♣T,♦K,♣J | Pair
♥3,♥K,♣T,♦Q,♠K | Pair
♥3,♥K,♣T,♠K,♣J | Pair
♥3,♥K,♦K,♦Q,♠K | Full House
♥3,♥K,♦K,♦Q,♣J | Pair
♥3,♥K,♦K,♠K,♣J | Full House
♥3,♥K,♦Q,♠K,♣J | Pair
♥3,♣T,♦K,♦Q,♠K | Pair
♥3,♣T,♦K,♠K,♣J | Pair
♥3,♦K,♦Q,♠K,♣J | Pair
♣8,♣5,♥6,♠J,♣J | Pair
♣8,♣5,♥6,♥K,♦K | Pair
♣8,♣5,♥6,♥K,♠K | Pair
♣8,♣5,♥6,♦K,♠K | Pair
♣8,♣5,♠J,♥K,♦K | Pair
♣8,♣5,♠J,♥K,♠K | Pair
♣8,♣5,♠J,♥K,♣J | Pair
♣8,♣5,♠J,♣T,♣J | Pair
♣8,♣5,♠J,♦K,♠K | Pair
♣8,♣5,♠J,♦K,♣J | Pair
♣8,♣5,♠J,♦Q,♣J | Pair
♣8,♣5,♠J,♠K,♣J | Pair
♣8,♣5,♥K,♣T,♦K | Pair
♣8,♣5,♥K,♣T,♠K | Pair
♣8,♣5,♥K,♦K,♦Q | Pair
♣8,♣5,♥K,♦K,♠K | Full House
♣8,♣5,♥K,♦K,♣J | Pair
♣8,♣5,♥K,♦Q,♠K | Pair
♣8,♣5,♥K,♠K,♣J | Pair
♣8,♣5,♣T,♦K,♠K | Pair
♣8,♣5,♦K,♦Q,♠K | Pair
♣8,♣5,♦K,♠K,♣J | Pair
♣8,♥6,♠J,♥K,♦K | Pair
♣8,♥6,♠J,♥K,♠K | Pair
♣8,♥6,♠J,♥K,♣J | Pair
♣8,♥6,♠J,♣T,♣J | Pair
♣8,♥6,♠J,♦K,♠K | Pair
♣8,♥6,♠J,♦K,♣J | Pair
♣8,♥6,♠J,♦Q,♣J | Pair
♣8,♥6,♠J,♠K,♣J | Pair
♣8,♥6,♥K,♣T,♦K | Pair
♣8,♥6,♥K,♣T,♠K | Pair
♣8,♥6,♥K,♦K,♦Q | Pair
♣8,♥6,♥K,♦K,♠K | Full House
♣8,♥6,♥K,♦K,♣J | Pair
♣8,♥6,♥K,♦Q,♠K | Pair
♣8,♥6,♥K,♠K,♣J | Pair
♣8,♥6,♣T,♦K,♠K | Pair
♣8,♥6,♦K,♦Q,♠K | Pair
♣8,♥6,♦K,♠K,♣J | Pair
♣8,♠J,♥K,♣T,♦K | Pair
♣8,♠J,♥K,♣T,♠K | Pair
♣8,♠J,♥K,♣T,♣J | Pair
♣8,♠J,♥K,♦K,♦Q | Pair
♣8,♠J,♥K,♦K,♠K | Full House
♣8,♠J,♥K,♦K,♣J | Two Pairs
♣8,♠J,♥K,♦Q,♠K | Pair
♣8,♠J,♥K,♦Q,♣J | Pair
♣8,♠J,♥K,♠K,♣J | Two Pairs
♣8,♠J,♣T,♦K,♠K | Pair
♣8,♠J,♣T,♦K,♣J | Pair
♣8,♠J,♣T,♦Q,♣J | Pair
♣8,♠J,♣T,♠K,♣J | Pair
♣8,♠J,♦K,♦Q,♠K | Pair
♣8,♠J,♦K,♦Q,♣J | Pair
♣8,♠J,♦K,♠K,♣J | Two Pairs
♣8,♠J,♦Q,♠K,♣J | Pair
♣8,♥K,♣T,♦K,♦Q | Pair
♣8,♥K,♣T,♦K,♠K | Full House
