♦6,♥J,♣T,♠2,♥6 | Pair
♦6,♣T,♠8,♥6,♥8 | Two Pairs
♦6,♣T,♠8,♥Q,♥T | Pair
♦6,♣T,♠8,♥Q,♥8 | Pair
♦6,♣T,♠8,♥7,♥T | Pair
♦6,♣T,♠8,♥7,♣7 | Pair
♦6,♣T,♠8,♥7,♥8 | Pair
♦6,♣T,♠8,♥T,♦5 | Pair
♦6,♣T,♠8,♥T,♣7 | Pair
♦6,♣T,♠8,♥T,♦2 | Pair
♦6,♣T,♠8,♥T,♥8 | Two Pairs
♦6,♣T,♠8,♦5,♥8 | Pair
♦6,♣T,♠8,♣7,♥8 | Pair
♦6,♣T,♠8,♦2,♥8 | Pair
♦6,♣T,♥K,♦A,♥6 | Pair
♦6,♣T,♥K,♦A,♥T | Pair
♦6,♣T,♥K,♥6,♥Q | Pair
♦6,♣T,♥K,♥6,♥7 | Pair
♦6,♣T,♥K,♥6,♥T | Two Pairs
♦6,♣T,♥K,♥6,♦5 | Pair
♦6,♣T,♥K,♥6,♣7 | Pair
♦6,♣T,♥K,♥6,♦2 | Pair
♦6,♣T,♥K,♥6,♥8 | Pair
♦6,♣T,♥K,♥Q,♥T | Pair
♦6,♣T,♥K,♥7,♥T | Pair
♦6,♣T,♥K,♥7,♣7 | Pair
♦6,♣T,♥K,♥T,♦5 | Pair
♦6,♣T,♥K,♥T,♣7 | Pair
♦6,♣T,♥K,♥T,♦2 | Pair
♦6,♣T,♥K,♥T,♥8 | Pair
♦6,♣T,♦A,♥6,♥Q | Pair
♦6,♣T,♦A,♥6,♥7 | Pair
♦6,♣T,♦A,♥6,♥T | Two Pairs
♦6,♣T,♦A,♥6,♦5 | Pair
♦6,♣T,♦A,♥6,♣7 | Pair
♦6,♣T,♦A,♥6,♦2 | Pair
♦6,♣T,♦A,♥6,♥8 | Pair
♦6,♣T,♦A,♥Q,♥T | Pair
♦6,♣T,♦A,♥7,♥T | Pair
♦6,♣T,♦A,♥7,♣7 | Pair
♦6,♣T,♦A,♥T,♦5 | Pair
♦6,♣T,♦A,♥T,♣7 | Pair
♦6,♣T,♦A,♥T,♦2 | Pair
♦6,♣T,♦A,♥T,♥8 | Pair
♦6,♣T,♥6,♥Q,♥7 | Pair
♦6,♣T,♥6,♥Q,♥T | Two Pairs
♦6,♣T,♥6,♥Q,♦5 | Pair
♦6,♣T,♥6,♥Q,♣7 | Pair
♦6,♣T,♥6,♥Q,♦2 | Pair
♦6,♣T,♥6,♥Q,♥8 | Pair
♦6,♣T,♥6,♥7,♥T | Two Pairs
♦6,♣T,♥6,♥7,♦5 | Pair
♦6,♣T,♥6,♥7,♣7 | Two Pairs
♦6,♣T,♥6,♥7,♦2 | Pair
♦6,♣T,♥6,♥7,♥8 | Pair
♦6,♣T,♥6,♥T,♦5 | Two Pairs
♦6,♣T,♥6,♥T,♣7 | Two Pairs
♦6,♣T,♥6,♥T,♦2 | Two Pairs
♦6,♣T,♥6,♥T,♥8 | Two Pairs
♦6,♣T,♥6,♦5,♣7 | Pair
♦6,♣T,♥6,♦5,♦2 | Pair
♦6,♣T,♥6,♦5,♥8 | Pair
♦6,♣T,♥6,♣7,♦2 | Pair
♦6,♣T,♥6,♣7,♥8 | Pair
♦6,♣T,♥6,♦2,♥8 | Pair
♦6,♣T,♥Q,♥7,♥T | Pair
♦6,♣T,♥Q,♥7,♣7 | Pair
♦6,♣T,♥Q,♥T,♦5 | Pair
♦6,♣T,♥Q,♥T,♣7 | Pair
♦6,♣T,♥Q,♥T,♦2 | Pair
♦6,♣T,♥Q,♥T,♥8 | Pair
♦6,♣T,♥7,♥T,♦5 | Pair
♦6,♣T,♥7,♥T,♣7 | Two Pairs
♦6,♣T,♥7,♥T,♦2 | Pair
♦6,♣T,♥7,♥T,♥8 | Pair
♦6,♣T,♥7,♦5,♣7 | Pair
♦6,♣T,♥7,♣7,♦2 | Pair
♦6,♣T,♥7,♣7,♥8 | Pair
♦6,♣T,♥T,♦5,♣7 | Pair
♦6,♣T,♥T,♦5,♦2 | Pair
♦6,♣T,♥T,♦5,♥8 | Pair
♦6,♣T,♥T,♣7,♦2 | Pair
♦6,♣T,♥T,♣7,♥8 | Pair
♦6,♣T,♥T,♦2,♥8 | Pair
♦6,♠2,♠8,♥K,♥6 | Pair
♦6,♠2,♠8,♥K,♦2 | Pair
♦6,♠2,♠8,♥K,♥8 | Pair
♦6,♠2,♠8,♦A,♥6 | Pair
♦6,♠2,♠8,♦A,♦2 | Pair
♦6,♠2,♠8,♦A,♥8 | Pair
♦6,♠2,♠8,♥6,♥Q | Pair
♦6,♠2,♠8,♥6,♥7 | Pair
♦6,♠2,♠8,♥6,♥T | Pair
♦6,♠2,♠8,♥6,♦5 | Pair
♦6,♠2,♠8,♥6,♣7 | Pair
♦6,♠2,♠8,♥6,♦2 | Two Pairs
♦6,♠2,♠8,♥6,♥8 | Two Pairs
♦6,♠2,♠8,♥Q,♦2 | Pair
♦6,♠2,♠8,♥Q,♥8 | Pair
♦6,♠2,♠8,♥7,♣7 | Pair
♦6,♠2,♠8,♥7,♦2 | Pair
♦6,♠2,♠8,♥7,♥8 | Pair
♦6,♠2,♠8,♥T,♦2 | Pair
♦6,♠2,♠8,♥T,♥8 | Pair
♦6,♠2,♠8,♦5,♦2 | Pair
♦6,♠2,♠8,♦5,♥8 | Pair
♦6,♠2,♠8,♣7,♦2 | Pair
♦6,♠2,♠8,♣7,♥8 | Pair
♦6,♠2,♠8,♦2,♥8 | Two Pairs
♦6,♠2,♥K,♦A,♥6 | Pair
♦6,♠2,♥K,♦A,♦2 | Pair
♦6,♠2,♥K,♥6,♥Q | Pair
♦6,♠2,♥K,♥6,♥7 | Pair
♦6,♠2,♥K,♥6,♥T | Pair
♦6,♠2,♥K,♥6,♦5 | Pair
♦6,♠2,♥K,♥6,♣7 | Pair
♦6,♠2,♥K,♥6,♦2 | Two Pairs
♦6,♠2,♥K,♥6,♥8 | Pair
♦6,♠2,♥K,♥Q,♦2 | Pair
♦6,♠2,♥K,♥7,♣7 | Pair
♦6,♠2,♥K,♥7,♦2 | Pair
♦6,♠2,♥K,♥T,♦2 | Pair
♦6,♠2,♥K,♦5,♦2 | Pair
♦6,♠2,♥K,♣7,♦2 | Pair
♦6,♠2,♥K,♦2,♥8 | Pair
♦6,♠2,♦A,♥6,♥Q | Pair
♦6,♠2,♦A,♥6,♥7 | Pair
♦6,♠2,♦A,♥6,♥T | Pair
♦6,♠2,♦A,♥6,♦5 | Pair
♦6,♠2,♦A,♥6,♣7 | Pair
♦6,♠2,♦A,♥6,♦2 | Two Pairs
♦6,♠2,♦A,♥6,♥8 | Pair
♦6,♠2,♦A,♥Q,♦2 | Pair
♦6,♠2,♦A,♥7,♣7 | Pair
♦6,♠2,♦A,♥7,♦2 | Pair
♦6,♠2,♦A,♥T,♦2 | Pair
♦6,♠2,♦A,♦5,♦2 | Pair
♦6,♠2,♦A,♣7,♦2 | Pair
♦6,♠2,♦A,♦2,♥8 | Pair
♦6,♠2,♥6,♥Q,♥7 | Pair
♦6,♠2,♥6,♥Q,♥T | Pair
♦6,♠2,♥6,♥Q,♦5 | Pair
♦6,♠2,♥6,♥Q,♣7 | Pair
♦6,♠2,♥6,♥Q,♦2 | Two Pairs
♦6,♠2,♥6,♥Q,♥8 | Pair
♦6,♠2,♥6,♥7,♥T | Pair
♦6,♠2,♥6,♥7,♦5 | Pair
♦6,♠2,♥6,♥7,♣7 | Two Pairs
♦6,♠2,♥6,♥7,♦2 | Two Pairs
♦6,♠2,♥6,♥7,♥8 | Pair
♦6,♠2,♥6,♥T,♦5 | Pair
♦6,♠2,♥6,♥T,♣7 | Pair
♦6,♠2,♥6,♥T,♦2 | Two Pairs
♦6,♠2,♥6,♥T,♥8 | Pair
♦6,♠2,♥6,♦5,♣7 | Pair
♦6,♠2,♥6,♦5,♦2 | Two Pairs
♦6,♠2,♥6,♦5,♥8 | Pair
♦6,♠2,♥6,♣7,♦2 | Two Pairs
♦6,♠2,♥6,♣7,♥8 | Pair
♦6,♠2,♥6,♦2,♥8 | Two Pairs
♦6,♠2,♥Q,♥7,♣7 | Pair
♦6,♠2,♥Q,♥7,♦2 | Pair
♦6,♠2,♥Q,♥T,♦2 | Pair
♦6,♠2,♥Q,♦5,♦2 | Pair
♦6,♠2,♥Q,♣7,♦2 | Pair
♦6,♠2,♥Q,♦2,♥8 | Pair
♦6,♠2,♥7,♥T,♣7 | Pair
♦6,♠2,♥7,♥T,♦2 | Pair
♦6,♠2,♥7,♦5,♣7 | Pair
♦6,♠2,♥7,♦5,♦2 | Pair
♦6,♠2,♥7,♣7,♦2 | Two Pairs
♦6,♠2,♥7,♣7,♥8 | Pair
♦6,♠2,♥7,♦2,♥8 | Pair
♦6,♠2,♥T,♦5,♦2 | Pair
♦6,♠2,♥T,♣7,♦2 | Pair
♦6,♠2,♥T,♦2,♥8 | Pair
♦6,♠2,♦5,♣7,♦2 | Pair
♦6,♠2,♦5,♦2,♥8 | Pair
♦6,♠2,♣7,♦2,♥8 | Pair
♦6,♠8,♥K,♦A,♥6 | Pair
♦6,♠8,♥K,♦A,♥8 | Pair
♦6,♠8,♥K,♥6,♥Q | Pair
♦6,♠8,♥K,♥6,♥7 | Pair
♦6,♠8,♥K,♥6,♥T | Pair
♦6,♠8,♥K,♥6,♦5 | Pair
♦6,♠8,♥K,♥6,♣7 | Pair
♦6,♠8,♥K,♥6,♦2 | Pair
♦6,♠8,♥K,♥6,♥8 | Two Pairs
♦6,♠8,♥K,♥Q,♥8 | Pair
♦6,♠8,♥K,♥7,♣7 | Pair
♦6,♠8,♥K,♥7,♥8 | Pair
♦6,♠8,♥K,♥T,♥8 | Pair
♦6,♠8,♥K,♦5,♥8 | Pair
♦6,♠8,♥K,♣7,♥8 | Pair
♦6,♠8,♥K,♦2,♥8 | Pair
♦6,♠8,♦A,♥6,♥Q | Pair
♦6,♠8,♦A,♥6,♥7 | Pair
♦6,♠8,♦A,♥6,♥T | Pair
♦6,♠8,♦A,♥6,♦5 | Pair
♦6,♠8,♦A,♥6,♣7 | Pair
♦6,♠8,♦A,♥6,♦2 | Pair
♦6,♠8,♦A,♥6,♥8 | Two Pairs
♦6,♠8,♦A,♥Q,♥8 | Pair
♦6,♠8,♦A,♥7,♣7 | Pair
♦6,♠8,♦A,♥7,♥8 | Pair
♦6,♠8,♦A,♥T,♥8 | Pair
♦6,♠8,♦A,♦5,♥8 | Pair
♦6,♠8,♦A,♣7,♥8 | Pair
♦6,♠8,♦A,♦2,♥8 | Pair
♦6,♠8,♥6,♥Q,♥7 | Pair
♦6,♠8,♥6,♥Q,♥T | Pair
♦6,♠8,♥6,♥Q,♦5 | Pair
♦6,♠8,♥6,♥Q,♣7 | Pair
♦6,♠8,♥6,♥Q,♦2 | Pair
♦6,♠8,♥6,♥Q,♥8 | Two Pairs
♦6,♠8,♥6,♥7,♥T | Pair
♦6,♠8,♥6,♥7,♦5 | Pair
♦6,♠8,♥6,♥7,♣7 | Two Pairs
♦6,♠8,♥6,♥7,♦2 | Pair
♦6,♠8,♥6,♥7,♥8 | Two Pairs
♦6,♠8,♥6,♥T,♦5 | Pair
♦6,♠8,♥6,♥T,♣7 | Pair
♦6,♠8,♥6,♥T,♦2 | Pair
♦6,♠8,♥6,♥T,♥8 | Two Pairs
♦6,♠8,♥6,♦5,♣7 | Pair
♦6,♠8,♥6,♦5,♦2 | Pair
♦6,♠8,♥6,♦5,♥8 | Two Pairs
♦6,♠8,♥6,♣7,♦2 | Pair
♦6,♠8,♥6,♣7,♥8 | Two Pairs
♦6,♠8,♥6,♦2,♥8 | Two Pairs
♦6,♠8,♥Q,♥7,♣7 | Pair
♦6,♠8,♥Q,♥7,♥8 | Pair
♦6,♠8,♥Q,♥T,♥8 | Pair
♦6,♠8,♥Q,♦5,♥8 | Pair
♦6,♠8,♥Q,♣7,♥8 | Pair
♦6,♠8,♥Q,♦2,♥8 | Pair
♦6,♠8,♥7,♥T,♣7 | Pair
♦6,♠8,♥7,♥T,♥8 | Pair
♦6,♠8,♥7,♦5,♣7 | Pair
♦6,♠8,♥7,♦5,♥8 | Pair
♦6,♠8,♥7,♣7,♦2 | Pair
♦6,♠8,♥7,♣7,♥8 | Two Pairs
♦6,♠8,♥7,♦2,♥8 | Pair
♦6,♠8,♥T,♦5,♥8 | Pair
♦6,♠8,♥T,♣7,♥8 | Pair
♦6,♠8,♥T,♦2,♥8 | Pair
♦6,♠8,♦5,♣7,♥8 | Pair
♦6,♠8,♦5,♦2,♥8 | Pair
♦6,♠8,♣7,♦2,♥8 | Pair
♦6,♥K,♦A,♥6,♥Q | Pair
♦6,♥K,♦A,♥6,♥7 | Pair
♦6,♥K,♦A,♥6,♥T | Pair
♦6,♥K,♦A,♥6,♦5 | Pair
♦6,♥K,♦A,♥6,♣7 | Pair
♦6,♥K,♦A,♥6,♦2 | Pair
♦6,♥K,♦A,♥6,♥8 | Pair
♦6,♥K,♦A,♥7,♣7 | Pair
♦6,♥K,♥6,♥Q,♥7 | Pair
♦6,♥K,♥6,♥Q,♥T | Pair
♦6,♥K,♥6,♥Q,♦5 | Pair
♦6,♥K,♥6,♥Q,♣7 | Pair
♦6,♥K,♥6,♥Q,♦2 | Pair
♦6,♥K,♥6,♥Q,♥8 | Pair
♦6,♥K,♥6,♥7,♥T | Pair
♦6,♥K,♥6,♥7,♦5 | Pair
♦6,♥K,♥6,♥7,♣7 | Two Pairs
♦6,♥K,♥6,♥7,♦2 | Pair
♦6,♥K,♥6,♥7,♥8 | Pair
♦6,♥K,♥6,♥T,♦5 | Pair
♦6,♥K,♥6,♥T,♣7 | Pair
♦6,♥K,♥6,♥T,♦2 | Pair
♦6,♥K,♥6,♥T,♥8 | Pair
♦6,♥K,♥6,♦5,♣7 | Pair
♦6,♥K,♥6,♦5,♦2 | Pair
♦6,♥K,♥6,♦5,♥8 | Pair
♦6,♥K,♥6,♣7,♦2 | Pair
♦6,♥K,♥6,♣7,♥8 | Pair
♦6,♥K,♥6,♦2,♥8 | Pair
♦6,♥K,♥Q,♥7,♣7 | Pair
♦6,♥K,♥7,♥T,♣7 | Pair
♦6,♥K,♥7,♦5,♣7 | Pair
♦6,♥K,♥7,♣7,♦2 | Pair
♦6,♥K,♥7,♣7,♥8 | Pair
♦6,♦A,♥6,♥Q,♥7 | Pair
♦6,♦A,♥6,♥Q,♥T | Pair
♦6,♦A,♥6,♥Q,♦5 | Pair
♦6,♦A,♥6,♥Q,♣7 | Pair
♦6,♦A,♥6,♥Q,♦2 | Pair
♦6,♦A,♥6,♥Q,♥8 | Pair
♦6,♦A,♥6,♥7,♥T | Pair
♦6,♦A,♥6,♥7,♦5 | Pair
♦6,♦A,♥6,♥7,♣7 | Two Pairs
♦6,♦A,♥6,♥7,♦2 | Pair
♦6,♦A,♥6,♥7,♥8 | Pair
♦6,♦A,♥6,♥T,♦5 | Pair
♦6,♦A,♥6,♥T,♣7 | Pair
♦6,♦A,♥6,♥T,♦2 | Pair
♦6,♦A,♥6,♥T,♥8 | Pair
♦6,♦A,♥6,♦5,♣7 | Pair
♦6,♦A,♥6,♦5,♦2 | Pair
♦6,♦A,♥6,♦5,♥8 | Pair
♦6,♦A,♥6,♣7,♦2 | Pair
♦6,♦A,♥6,♣7,♥8 | Pair
♦6,♦A,♥6,♦2,♥8 | Pair
♦6,♦A,♥Q,♥7,♣7 | Pair
♦6,♦A,♥7,♥T,♣7 | Pair
♦6,♦A,♥7,♦5,♣7 | Pair
♦6,♦A,♥7,♣7,♦2 | Pair
♦6,♦A,♥7,♣7,♥8 | Pair
♦6,♥6,♥Q,♥7,♥T | Pair
♦6,♥6,♥Q,♥7,♦5 | Pair
♦6,♥6,♥Q,♥7,♣7 | Two Pairs
♦6,♥6,♥Q,♥7,♦2 | Pair
♦6,♥6,♥Q,♥7,♥8 | Pair
♦6,♥6,♥Q,♥T,♦5 | Pair
♦6,♥6,♥Q,♥T,♣7 | Pair
♦6,♥6,♥Q,♥T,♦2 | Pair
♦6,♥6,♥Q,♥T,♥8 | Pair
♦6,♥6,♥Q,♦5,♣7 | Pair
♦6,♥6,♥Q,♦5,♦2 | Pair
♦6,♥6,♥Q,♦5,♥8 | Pair
♦6,♥6,♥Q,♣7,♦2 | Pair
♦6,♥6,♥Q,♣7,♥8 | Pair
♦6,♥6,♥Q,♦2,♥8 | Pair
♦6,♥6,♥7,♥T,♦5 | Pair
♦6,♥6,♥7,♥T,♣7 | Two Pairs
♦6,♥6,♥7,♥T,♦2 | Pair
♦6,♥6,♥7,♥T,♥8 | Pair
♦6,♥6,♥7,♦5,♣7 | Two Pairs
♦6,♥6,♥7,♦5,♦2 | Pair
♦6,♥6,♥7,♦5,♥8 | Pair
♦6,♥6,♥7,♣7,♦2 | Two Pairs
♦6,♥6,♥7,♣7,♥8 | Two Pairs
♦6,♥6,♥7,♦2,♥8 | Pair
♦6,♥6,♥T,♦5,♣7 | Pair
♦6,♥6,♥T,♦5,♦2 | Pair
♦6,♥6,♥T,♦5,♥8 | Pair
♦6,♥6,♥T,♣7,♦2 | Pair
♦6,♥6,♥T,♣7,♥8 | Pair
♦6,♥6,♥T,♦2,♥8 | Pair
♦6,♥6,♦5,♣7,♦2 | Pair
♦6,♥6,♦5,♣7,♥8 | Pair
♦6,♥6,♦5,♦2,♥8 | Pair
♦6,♥6,♣7,♦2,♥8 | Pair
♦6,♥Q,♥7,♥T,♣7 | Pair
♦6,♥Q,♥7,♦5,♣7 | Pair
♦6,♥Q,♥7,♣7,♦2 | Pair
♦6,♥Q,♥7,♣7,♥8 | Pair
♦6,♥7,♥T,♦5,♣7 | Pair
♦6,♥7,♥T,♣7,♦2 | Pair
♦6,♥7,♥T,♣7,♥8 | Pair
♦6,♥7,♦5,♣7,♦2 | Pair
♦6,♥7,♦5,♣7,♥8 | Pair
♦6,♥7,♣7,♦2,♥8 | Pair
♥J,♣T,♠2,♠8,♥T | Pair
♥J,♣T,♠2,♠8,♦2 | Pair
♥J,♣T,♠2,♠8,♥8 | Pair
♥J,♣T,♠2,♥K,♥T | Pair
♥J,♣T,♠2,♥K,♦2 | Pair
♥J,♣T,♠2,♦A,♥T | Pair
♥J,♣T,♠2,♦A,♦2 | Pair
♥J,♣T,♠2,♥6,♥T | Pair
♥J,♣T,♠2,♥6,♦2 | Pair
♥J,♣T,♠2,♥Q,♥T | Pair
♥J,♣T,♠2,♥Q,♦2 | Pair
♥J,♣T,♠2,♥7,♥T | Pair
♥J,♣T,♠2,♥7,♣7 | Pair
♥J,♣T,♠2,♥7,♦2 | Pair
♥J,♣T,♠2,♥T,♦5 | Pair
♥J,♣T,♠2,♥T,♣7 | Pair
♥J,♣T,♠2,♥T,♦2 | Two Pairs
♥J,♣T,♠2,♥T,♥8 | Pair
♥J,♣T,♠2,♦5,♦2 | Pair
♥J,♣T,♠2,♣7,♦2 | Pair
♥J,♣T,♠2,♦2,♥8 | Pair
♥J,♣T,♠8,♥K,♥T | Pair
♥J,♣T,♠8,♥K,♥8 | Pair
♥J,♣T,♠8,♦A,♥T | Pair
♥J,♣T,♠8,♦A,♥8 | Pair
♥J,♣T,♠8,♥6,♥T | Pair
♥J,♣T,♠8,♥6,♥8 | Pair
♥J,♣T,♠8,♥Q,♥T | Pair
♥J,♣T,♠8,♥Q,♥8 | Pair
♥J,♣T,♠8,♥7,♥T | Pair
♥J,♣T,♠8,♥7,♣7 | Pair
♥J,♣T,♠8,♥7,♥8 | Pair
♥J,♣T,♠8,♥T,♦5 | Pair
♥J,♣T,♠8,♥T,♣7 | Pair
♥J,♣T,♠8,♥T,♦2 | Pair
♥J,♣T,♠8,♥T,♥8 | Two Pairs
♥J,♣T,♠8,♦5,♥8 | Pair
♥J,♣T,♠8,♣7,♥8 | Pair
♥J,♣T,♠8,♦2,♥8 | Pair
♥J,♣T,♥K,♦A,♥T | Pair
♥J,♣T,♥K,♥6,♥T | Pair
♥J,♣T,♥K,♥Q,♥T | Pair
♥J,♣T,♥K,♥7,♥T | Pair
♥J,♣T,♥K,♥7,♣7 | Pair
♥J,♣T,♥K,♥T,♦5 | Pair
♥J,♣T,♥K,♥T,♣7 | Pair
♥J,♣T,♥K,♥T,♦2 | Pair
♥J,♣T,♥K,♥T,♥8 | Pair
♥J,♣T,♦A,♥6,♥T | Pair
♥J,♣T,♦A,♥Q,♥T | Pair
♥J,♣T,♦A,♥7,♥T | Pair
