♠6, ♥8, ♦J, ♥10, ♦6 | pair
♠6, ♥8, ♣7, ♦7, ♣5 | pair
♠6, ♥8, ♣7, ♣2, ♦6 | pair
♠6, ♥8, ♣7, ♣2, ♠7 | pair
♠6, ♥8, ♣7, ♦6, ♠7 | two pairs
♠6, ♥8, ♣7, ♦6, ♠5 | pair
♠6, ♥8, ♣7, ♦6, ♣Q | pair
♠6, ♥8, ♣7, ♦6, ♣9 | pair
♠6, ♥8, ♣7, ♦6, ♣5 | pair
♠6, ♥8, ♣7, ♠7, ♠5 | pair
♠6, ♥8, ♣7, ♠7, ♣Q | pair
♠6, ♥8, ♣7, ♠7, ♣9 | pair
♠6, ♥8, ♣7, ♠7, ♣5 | pair
♠6, ♥8, ♣7, ♠5, ♣9 | straight
♠6, ♥8, ♣7, ♠5, ♣5 | pair
♠6, ♥8, ♣7, ♣9, ♣5 | straight
♠6, ♥8, ♦Q, ♣K, ♦6 | pair
♠6, ♥8, ♦Q, ♣K, ♣Q | pair
♠6, ♥8, ♦Q, ♦7, ♦6 | pair
♠6, ♥8, ♦Q, ♦7, ♠7 | pair
♠6, ♥8, ♦Q, ♦7, ♣Q | pair
♠6, ♥8, ♦Q, ♣2, ♦6 | pair
♠6, ♥8, ♦Q, ♣2, ♣Q | pair
♠6, ♥8, ♦Q, ♦6, ♠7 | pair
♠6, ♥8, ♦Q, ♦6, ♠5 | pair
♠6, ♥8, ♦Q, ♦6, ♣Q | two pairs
♠6, ♥8, ♦Q, ♦6, ♣9 | pair
♠6, ♥8, ♦Q, ♦6, ♣5 | pair
♠6, ♥8, ♦Q, ♠7, ♣Q | pair
♠6, ♥8, ♦Q, ♠5, ♣Q | pair
♠6, ♥8, ♦Q, ♠5, ♣5 | pair
♠6, ♥8, ♦Q, ♣Q, ♣9 | pair
♠6, ♥8, ♦Q, ♣Q, ♣5 | pair
♠6, ♥8, ♣K, ♦7, ♦6 | pair
♠6, ♥8, ♣K, ♦7, ♠7 | pair
♠6, ♥8, ♣K, ♣2, ♦6 | pair
♠6, ♥8, ♣K, ♦6, ♠7 | pair
♠6, ♥8, ♣K, ♦6, ♠5 | pair
♠6, ♥8, ♣K, ♦6, ♣Q | pair
♠6, ♥8, ♣K, ♦6, ♣9 | pair
♠6, ♥8, ♣K, ♦6, ♣5 | pair
♠6, ♥8, ♣K, ♠5, ♣5 | pair
♠6, ♥8, ♦7, ♣2, ♦6 | pair
♠6, ♥8, ♦7, ♣2, ♠7 | pair
♠6, ♥8, ♦7, ♦6, ♠7 | two pairs
♠6, ♥8, ♦7, ♦6, ♠5 | pair
♠6, ♥8, ♦7, ♦6, ♣Q | pair
♠6, ♥8, ♦7, ♦6, ♣9 | pair
♠6, ♥8, ♦7, ♦6, ♣5 | pair
♠6, ♥8, ♦7, ♠7, ♠5 | pair
♠6, ♥8, ♦7, ♠7, ♣Q | pair
♠6, ♥8, ♦7, ♠7, ♣9 | pair
♠6, ♥8, ♦7, ♠7, ♣5 | pair
♠6, ♥8, ♦7, ♠5, ♣9 | straight
♠6, ♥8, ♦7, ♠5, ♣5 | pair
♠6, ♥8, ♦7, ♣9, ♣5 | straight
♠6, ♥8, ♣2, ♦6, ♠7 | pair
♠6, ♥8, ♣2, ♦6, ♠5 | pair
♠6, ♥8, ♣2, ♦6, ♣Q | pair
♠6, ♥8, ♣2, ♦6, ♣9 | pair
♠6, ♥8, ♣2, ♦6, ♣5 | pair
♠6, ♥8, ♣2, ♠5, ♣5 | pair
♠6, ♥8, ♦6, ♠7, ♠5 | pair
♠6, ♥8, ♦6, ♠7, ♣Q | pair
♠6, ♥8, ♦6, ♠7, ♣9 | pair
♠6, ♥8, ♦6, ♠7, ♣5 | pair
♠6, ♥8, ♦6, ♠5, ♣Q | pair
♠6, ♥8, ♦6, ♠5, ♣9 | pair
♠6, ♥8, ♦6, ♠5, ♣5 | two pairs
♠6, ♥8, ♦6, ♣Q, ♣9 | pair
♠6, ♥8, ♦6, ♣Q, ♣5 | pair
♠6, ♥8, ♦6, ♣9, ♣5 | pair
♠6, ♥8, ♠7, ♠5, ♣9 | straight
♠6, ♥8, ♠7, ♠5, ♣5 | pair
♠6, ♥8, ♠7, ♣9, ♣5 | straight
♠6, ♥8, ♠5, ♣Q, ♣5 | pair
♠6, ♥8, ♠5, ♣9, ♣5 | pair
♠6, ♦J, ♥10, ♣7, ♦7 | pair
♠6, ♦J, ♥10, ♣7, ♦6 | pair
♠6, ♦J, ♥10, ♣7, ♠7 | pair
♠6, ♦J, ♥10, ♦Q, ♦6 | pair
♠6, ♦J, ♥10, ♦Q, ♣Q | pair
♠6, ♦J, ♥10, ♣K, ♦6 | pair
♠6, ♦J, ♥10, ♦7, ♦6 | pair
♠6, ♦J, ♥10, ♦7, ♠7 | pair
♠6, ♦J, ♥10, ♣2, ♦6 | pair
♠6, ♦J, ♥10, ♦6, ♠7 | pair
♠6, ♦J, ♥10, ♦6, ♠5 | pair
♠6, ♦J, ♥10, ♦6, ♣Q | pair
♠6, ♦J, ♥10, ♦6, ♣9 | pair
♠6, ♦J, ♥10, ♦6, ♣5 | pair
♠6, ♦J, ♥10, ♠5, ♣5 | pair
♠6, ♦J, ♣7, ♦Q, ♦7 | pair
♠6, ♦J, ♣7, ♦Q, ♦6 | pair
♠6, ♦J, ♣7, ♦Q, ♠7 | pair
♠6, ♦J, ♣7, ♦Q, ♣Q | pair
♠6, ♦J, ♣7, ♣K, ♦7 | pair
♠6, ♦J, ♣7, ♣K, ♦6 | pair
♠6, ♦J, ♣7, ♣K, ♠7 | pair
♠6, ♦J, ♣7, ♦7, ♣2 | pair
♠6, ♦J, ♣7, ♦7, ♦6 | two pairs
♠6, ♦J, ♣7, ♦7, ♠7 | three of a kind
♠6, ♦J, ♣7, ♦7, ♠5 | pair
♠6, ♦J, ♣7, ♦7, ♣Q | pair
♠6, ♦J, ♣7, ♦7, ♣9 | pair
♠6, ♦J, ♣7, ♦7, ♣5 | pair
♠6, ♦J, ♣7, ♣2, ♦6 | pair
♠6, ♦J, ♣7, ♣2, ♠7 | pair
♠6, ♦J, ♣7, ♦6, ♠7 | two pairs
♠6, ♦J, ♣7, ♦6, ♠5 | pair
♠6, ♦J, ♣7, ♦6, ♣Q | pair
♠6, ♦J, ♣7, ♦6, ♣9 | pair
♠6, ♦J, ♣7, ♦6, ♣5 | pair
♠6, ♦J, ♣7, ♠7, ♠5 | pair
♠6, ♦J, ♣7, ♠7, ♣Q | pair
♠6, ♦J, ♣7, ♠7, ♣9 | pair
♠6, ♦J, ♣7, ♠7, ♣5 | pair
♠6, ♦J, ♣7, ♠5, ♣5 | pair
♠6, ♦J, ♦Q, ♣K, ♦6 | pair
♠6, ♦J, ♦Q, ♣K, ♣Q | pair
♠6, ♦J, ♦Q, ♦7, ♦6 | pair
♠6, ♦J, ♦Q, ♦7, ♠7 | pair
♠6, ♦J, ♦Q, ♦7, ♣Q | pair
♠6, ♦J, ♦Q, ♣2, ♦6 | pair
♠6, ♦J, ♦Q, ♣2, ♣Q | pair
♠6, ♦J, ♦Q, ♦6, ♠7 | pair
♠6, ♦J, ♦Q, ♦6, ♠5 | pair
♠6, ♦J, ♦Q, ♦6, ♣Q | two pairs
♠6, ♦J, ♦Q, ♦6, ♣9 | pair
♠6, ♦J, ♦Q, ♦6, ♣5 | pair
♠6, ♦J, ♦Q, ♠7, ♣Q | pair
♠6, ♦J, ♦Q, ♠5, ♣Q | pair
♠6, ♦J, ♦Q, ♠5, ♣5 | pair
♠6, ♦J, ♦Q, ♣Q, ♣9 | pair
♠6, ♦J, ♦Q, ♣Q, ♣5 | pair
♠6, ♦J, ♣K, ♦7, ♦6 | pair
♠6, ♦J, ♣K, ♦7, ♠7 | pair
♠6, ♦J, ♣K, ♣2, ♦6 | pair
♠6, ♦J, ♣K, ♦6, ♠7 | pair
♠6, ♦J, ♣K, ♦6, ♠5 | pair
♠6, ♦J, ♣K, ♦6, ♣Q | pair
♠6, ♦J, ♣K, ♦6, ♣9 | pair
♠6, ♦J, ♣K, ♦6, ♣5 | pair
♠6, ♦J, ♣K, ♠5, ♣5 | pair
♠6, ♦J, ♦7, ♣2, ♦6 | pair
♠6, ♦J, ♦7, ♣2, ♠7 | pair
♠6, ♦J, ♦7, ♦6, ♠7 | two pairs
♠6, ♦J, ♦7, ♦6, ♠5 | pair
♠6, ♦J, ♦7, ♦6, ♣Q | pair
♠6, ♦J, ♦7, ♦6, ♣9 | pair
♠6, ♦J, ♦7, ♦6, ♣5 | pair
♠6, ♦J, ♦7, ♠7, ♠5 | pair
♠6, ♦J, ♦7, ♠7, ♣Q | pair
♠6, ♦J, ♦7, ♠7, ♣9 | pair
♠6, ♦J, ♦7, ♠7, ♣5 | pair
♠6, ♦J, ♦7, ♠5, ♣5 | pair
♠6, ♦J, ♣2, ♦6, ♠7 | pair
♠6, ♦J, ♣2, ♦6, ♠5 | pair
♠6, ♦J, ♣2, ♦6, ♣Q | pair
♠6, ♦J, ♣2, ♦6, ♣9 | pair
♠6, ♦J, ♣2, ♦6, ♣5 | pair
♠6, ♦J, ♣2, ♠5, ♣5 | pair
♠6, ♦J, ♦6, ♠7, ♠5 | pair
♠6, ♦J, ♦6, ♠7, ♣Q | pair
♠6, ♦J, ♦6, ♠7, ♣9 | pair
♠6, ♦J, ♦6, ♠7, ♣5 | pair
♠6, ♦J, ♦6, ♠5, ♣Q | pair
♠6, ♦J, ♦6, ♠5, ♣9 | pair
♠6, ♦J, ♦6, ♠5, ♣5 | two pairs
♠6, ♦J, ♦6, ♣Q, ♣9 | pair
♠6, ♦J, ♦6, ♣Q, ♣5 | pair
♠6, ♦J, ♦6, ♣9, ♣5 | pair
♠6, ♦J, ♠7, ♠5, ♣5 | pair
♠6, ♦J, ♠5, ♣Q, ♣5 | pair
♠6, ♦J, ♠5, ♣9, ♣5 | pair
♠6, ♥10, ♣7, ♦Q, ♦7 | pair
♠6, ♥10, ♣7, ♦Q, ♦6 | pair
♠6, ♥10, ♣7, ♦Q, ♠7 | pair
♠6, ♥10, ♣7, ♦Q, ♣Q | pair
♠6, ♥10, ♣7, ♣K, ♦7 | pair
♠6, ♥10, ♣7, ♣K, ♦6 | pair
♠6, ♥10, ♣7, ♣K, ♠7 | pair
♠6, ♥10, ♣7, ♦7, ♣2 | pair
♠6, ♥10, ♣7, ♦7, ♦6 | two pairs
♠6, ♥10, ♣7, ♦7, ♠7 | three of a kind
♠6, ♥10, ♣7, ♦7, ♠5 | pair
♠6, ♥10, ♣7, ♦7, ♣Q | pair
♠6, ♥10, ♣7, ♦7, ♣9 | pair
♠6, ♥10, ♣7, ♦7, ♣5 | pair
♠6, ♥10, ♣7, ♣2, ♦6 | pair
♠6, ♥10, ♣7, ♣2, ♠7 | pair
♠6, ♥10, ♣7, ♦6, ♠7 | two pairs
♠6, ♥10, ♣7, ♦6, ♠5 | pair
♠6, ♥10, ♣7, ♦6, ♣Q | pair
♠6, ♥10, ♣7, ♦6, ♣9 | pair
♠6, ♥10, ♣7, ♦6, ♣5 | pair
♠6, ♥10, ♣7, ♠7, ♠5 | pair
♠6, ♥10, ♣7, ♠7, ♣Q | pair
♠6, ♥10, ♣7, ♠7, ♣9 | pair
♠6, ♥10, ♣7, ♠7, ♣5 | pair
♠6, ♥10, ♣7, ♠5, ♣5 | pair
♠6, ♥10, ♦Q, ♣K, ♦6 | pair
♠6, ♥10, ♦Q, ♣K, ♣Q | pair
♠6, ♥10, ♦Q, ♦7, ♦6 | pair
♠6, ♥10, ♦Q, ♦7, ♠7 | pair
♠6, ♥10, ♦Q, ♦7, ♣Q | pair
♠6, ♥10, ♦Q, ♣2, ♦6 | pair
♠6, ♥10, ♦Q, ♣2, ♣Q | pair
♠6, ♥10, ♦Q, ♦6, ♠7 | pair
♠6, ♥10, ♦Q, ♦6, ♠5 | pair
♠6, ♥10, ♦Q, ♦6, ♣Q | two pairs
♠6, ♥10, ♦Q, ♦6, ♣9 | pair
♠6, ♥10, ♦Q, ♦6, ♣5 | pair
♠6, ♥10, ♦Q, ♠7, ♣Q | pair
♠6, ♥10, ♦Q, ♠5, ♣Q | pair
♠6, ♥10, ♦Q, ♠5, ♣5 | pair
♠6, ♥10, ♦Q, ♣Q, ♣9 | pair
♠6, ♥10, ♦Q, ♣Q, ♣5 | pair
♠6, ♥10, ♣K, ♦7, ♦6 | pair
♠6, ♥10, ♣K, ♦7, ♠7 | pair
♠6, ♥10, ♣K, ♣2, ♦6 | pair
♠6, ♥10, ♣K, ♦6, ♠7 | pair
♠6, ♥10, ♣K, ♦6, ♠5 | pair
♠6, ♥10, ♣K, ♦6, ♣Q | pair
♠6, ♥10, ♣K, ♦6, ♣9 | pair
♠6, ♥10, ♣K, ♦6, ♣5 | pair
♠6, ♥10, ♣K, ♠5, ♣5 | pair
♠6, ♥10, ♦7, ♣2, ♦6 | pair
♠6, ♥10, ♦7, ♣2, ♠7 | pair
♠6, ♥10, ♦7, ♦6, ♠7 | two pairs
♠6, ♥10, ♦7, ♦6, ♠5 | pair
♠6, ♥10, ♦7, ♦6, ♣Q | pair
♠6, ♥10, ♦7, ♦6, ♣9 | pair
♠6, ♥10, ♦7, ♦6, ♣5 | pair
♠6, ♥10, ♦7, ♠7, ♠5 | pair
♠6, ♥10, ♦7, ♠7, ♣Q | pair
♠6, ♥10, ♦7, ♠7, ♣9 | pair
♠6, ♥10, ♦7, ♠7, ♣5 | pair
♠6, ♥10, ♦7, ♠5, ♣5 | pair
♠6, ♥10, ♣2, ♦6, ♠7 | pair
♠6, ♥10, ♣2, ♦6, ♠5 | pair
♠6, ♥10, ♣2, ♦6, ♣Q | pair
♠6, ♥10, ♣2, ♦6, ♣9 | pair
♠6, ♥10, ♣2, ♦6, ♣5 | pair
♠6, ♥10, ♣2, ♠5, ♣5 | pair
♠6, ♥10, ♦6, ♠7, ♠5 | pair
♠6, ♥10, ♦6, ♠7, ♣Q | pair
♠6, ♥10, ♦6, ♠7, ♣9 | pair
♠6, ♥10, ♦6, ♠7, ♣5 | pair
♠6, ♥10, ♦6, ♠5, ♣Q | pair
♠6, ♥10, ♦6, ♠5, ♣9 | pair
♠6, ♥10, ♦6, ♠5, ♣5 | two pairs
♠6, ♥10, ♦6, ♣Q, ♣9 | pair
♠6, ♥10, ♦6, ♣Q, ♣5 | pair
♠6, ♥10, ♦6, ♣9, ♣5 | pair
♠6, ♥10, ♠7, ♠5, ♣5 | pair
♠6, ♥10, ♠5, ♣Q, ♣5 | pair
♠6, ♥10, ♠5, ♣9, ♣5 | pair
♠6, ♣7, ♦Q, ♣K, ♦7 | pair
♠6, ♣7, ♦Q, ♣K, ♦6 | pair
♠6, ♣7, ♦Q, ♣K, ♠7 | pair
♠6, ♣7, ♦Q, ♣K, ♣Q | pair
♠6, ♣7, ♦Q, ♦7, ♣2 | pair
♠6, ♣7, ♦Q, ♦7, ♦6 | two pairs
♠6, ♣7, ♦Q, ♦7, ♠7 | three of a kind
♠6, ♣7, ♦Q, ♦7, ♠5 | pair
♠6, ♣7, ♦Q, ♦7, ♣Q | two pairs
♠6, ♣7, ♦Q, ♦7, ♣9 | pair
♠6, ♣7, ♦Q, ♦7, ♣5 | pair
♠6, ♣7, ♦Q, ♣2, ♦6 | pair
♠6, ♣7, ♦Q, ♣2, ♠7 | pair
♠6, ♣7, ♦Q, ♣2, ♣Q | pair
♠6, ♣7, ♦Q, ♦6, ♠7 | two pairs
♠6, ♣7, ♦Q, ♦6, ♠5 | pair
♠6, ♣7, ♦Q, ♦6, ♣Q | two pairs
♠6, ♣7, ♦Q, ♦6, ♣9 | pair
♠6, ♣7, ♦Q, ♦6, ♣5 | pair
♠6, ♣7, ♦Q, ♠7, ♠5 | pair
♠6, ♣7, ♦Q, ♠7, ♣Q | two pairs
♠6, ♣7, ♦Q, ♠7, ♣9 | pair
♠6, ♣7, ♦Q, ♠7, ♣5 | pair
♠6, ♣7, ♦Q, ♠5, ♣Q | pair
♠6, ♣7, ♦Q, ♠5, ♣5 | pair
♠6, ♣7, ♦Q, ♣Q, ♣9 | pair
♠6, ♣7, ♦Q, ♣Q, ♣5 | pair
♠6, ♣7, ♣K, ♦7, ♣2 | pair
♠6, ♣7, ♣K, ♦7, ♦6 | two pairs
♠6, ♣7, ♣K, ♦7, ♠7 | three of a kind
♠6, ♣7, ♣K, ♦7, ♠5 | pair
♠6, ♣7, ♣K, ♦7, ♣Q | pair
♠6, ♣7, ♣K, ♦7, ♣9 | pair
♠6, ♣7, ♣K, ♦7, ♣5 | pair
♠6, ♣7, ♣K, ♣2, ♦6 | pair
♠6, ♣7, ♣K, ♣2, ♠7 | pair
♠6, ♣7, ♣K, ♦6, ♠7 | two pairs
♠6, ♣7, ♣K, ♦6, ♠5 | pair
♠6, ♣7, ♣K, ♦6, ♣Q | pair
♠6, ♣7, ♣K, ♦6, ♣9 | pair
♠6, ♣7, ♣K, ♦6, ♣5 | pair
♠6, ♣7, ♣K, ♠7, ♠5 | pair
♠6, ♣7, ♣K, ♠7, ♣Q | pair
♠6, ♣7, ♣K, ♠7, ♣9 | pair
♠6, ♣7, ♣K, ♠7, ♣5 | pair
♠6, ♣7, ♣K, ♠5, ♣5 | pair
♠6, ♣7, ♦7, ♣2, ♦6 | two pairs
♠6, ♣7, ♦7, ♣2, ♠7 | three of a kind
♠6, ♣7, ♦7, ♣2, ♠5 | pair
♠6, ♣7, ♦7, ♣2, ♣Q | pair
♠6, ♣7, ♦7, ♣2, ♣9 | pair
♠6, ♣7, ♦7, ♣2, ♣5 | pair
♠6, ♣7, ♦7, ♦6, ♠7 | fullhouse
♠6, ♣7, ♦7, ♦6, ♠5 | two pairs
♠6, ♣7, ♦7, ♦6, ♣Q | two pairs
♠6, ♣7, ♦7, ♦6, ♣9 | two pairs
♠6, ♣7, ♦7, ♦6, ♣5 | two pairs
♠6, ♣7, ♦7, ♠7, ♠5 | three of a kind
♠6, ♣7, ♦7, ♠7, ♣Q | three of a kind
♠6, ♣7, ♦7, ♠7, ♣9 | three of a kind
♠6, ♣7, ♦7, ♠7, ♣5 | three of a kind
♠6, ♣7, ♦7, ♠5, ♣Q | pair
♠6, ♣7, ♦7, ♠5, ♣9 | pair
♠6, ♣7, ♦7, ♠5, ♣5 | two pairs
♠6, ♣7, ♦7, ♣Q, ♣9 | pair
♠6, ♣7, ♦7, ♣Q, ♣5 | pair
♠6, ♣7, ♦7, ♣9, ♣5 | pair
♠6, ♣7, ♣2, ♦6, ♠7 | two pairs
♠6, ♣7, ♣2, ♦6, ♠5 | pair
♠6, ♣7, ♣2, ♦6, ♣Q | pair
♠6, ♣7, ♣2, ♦6, ♣9 | pair
♠6, ♣7, ♣2, ♦6, ♣5 | pair
♠6, ♣7, ♣2, ♠7, ♠5 | pair
♠6, ♣7, ♣2, ♠7, ♣Q | pair
♠6, ♣7, ♣2, ♠7, ♣9 | pair
♠6, ♣7, ♣2, ♠7, ♣5 | pair
♠6, ♣7, ♣2, ♠5, ♣5 | pair
♠6, ♣7, ♦6, ♠7, ♠5 | two pairs
♠6, ♣7, ♦6, ♠7, ♣Q | two pairs
♠6, ♣7, ♦6, ♠7, ♣9 | two pairs
♠6, ♣7, ♦6, ♠7, ♣5 | two pairs
♠6, ♣7, ♦6, ♠5, ♣Q | pair
♠6, ♣7, ♦6, ♠5, ♣9 | pair
♠6, ♣7, ♦6, ♠5, ♣5 | two pairs
♠6, ♣7, ♦6, ♣Q, ♣9 | pair
♠6, ♣7, ♦6, ♣Q, ♣5 | pair
♠6, ♣7, ♦6, ♣9, ♣5 | pair
♠6, ♣7, ♠7, ♠5, ♣Q | pair
♠6, ♣7, ♠7, ♠5, ♣9 | pair
♠6, ♣7, ♠7, ♠5, ♣5 | two pairs
♠6, ♣7, ♠7, ♣Q, ♣9 | pair
♠6, ♣7, ♠7, ♣Q, ♣5 | pair
♠6, ♣7, ♠7, ♣9, ♣5 | pair
♠6, ♣7, ♠5, ♣Q, ♣5 | pair
♠6, ♣7, ♠5, ♣9, ♣5 | pair
♠6, ♦Q, ♣K, ♦7, ♦6 | pair
♠6, ♦Q, ♣K, ♦7, ♠7 | pair
♠6, ♦Q, ♣K, ♦7, ♣Q | pair
♠6, ♦Q, ♣K, ♣2, ♦6 | pair
♠6, ♦Q, ♣K, ♣2, ♣Q | pair
♠6, ♦Q, ♣K, ♦6, ♠7 | pair
♠6, ♦Q, ♣K, ♦6, ♠5 | pair
♠6, ♦Q, ♣K, ♦6, ♣Q | two pairs
♠6, ♦Q, ♣K, ♦6, ♣9 | pair
♠6, ♦Q, ♣K, ♦6, ♣5 | pair
♠6, ♦Q, ♣K, ♠7, ♣Q | pair
♠6, ♦Q, ♣K, ♠5, ♣Q | pair
♠6, ♦Q, ♣K, ♠5, ♣5 | pair
♠6, ♦Q, ♣K, ♣Q, ♣9 | pair
♠6, ♦Q, ♣K, ♣Q, ♣5 | pair
♠6, ♦Q, ♦7, ♣2, ♦6 | pair
♠6, ♦Q, ♦7, ♣2, ♠7 | pair
♠6, ♦Q, ♦7, ♣2, ♣Q | pair
♠6, ♦Q, ♦7, ♦6, ♠7 | two pairs
♠6, ♦Q, ♦7, ♦6, ♠5 | pair
♠6, ♦Q, ♦7, ♦6, ♣Q | two pairs
♠6, ♦Q, ♦7, ♦6, ♣9 | pair
♠6, ♦Q, ♦7, ♦6, ♣5 | pair
♠6, ♦Q, ♦7, ♠7, ♠5 | pair
♠6, ♦Q, ♦7, ♠7, ♣Q | two pairs
♠6, ♦Q, ♦7, ♠7, ♣9 | pair
♠6, ♦Q, ♦7, ♠7, ♣5 | pair
♠6, ♦Q, ♦7, ♠5, ♣Q | pair
♠6, ♦Q, ♦7, ♠5, ♣5 | pair
♠6, ♦Q, ♦7, ♣Q, ♣9 | pair
♠6, ♦Q, ♦7, ♣Q, ♣5 | pair
♠6, ♦Q, ♣2, ♦6, ♠7 | pair
♠6, ♦Q, ♣2, ♦6, ♠5 | pair
♠6, ♦Q, ♣2, ♦6, ♣Q | two pairs
♠6, ♦Q, ♣2, ♦6, ♣9 | pair
♠6, ♦Q, ♣2, ♦6, ♣5 | pair
♠6, ♦Q, ♣2, ♠7, ♣Q | pair
♠6, ♦Q, ♣2, ♠5, ♣Q | pair
♠6, ♦Q, ♣2, ♠5, ♣5 | pair
♠6, ♦Q, ♣2, ♣Q, ♣9 | pair
♠6, ♦Q, ♣2, ♣Q, ♣5 | pair
♠6, ♦Q, ♦6, ♠7, ♠5 | pair
♠6, ♦Q, ♦6, ♠7, ♣Q | two pairs
♠6, ♦Q, ♦6, ♠7, ♣9 | pair
♠6, ♦Q, ♦6, ♠7, ♣5 | pair
♠6, ♦Q, ♦6, ♠5, ♣Q | two pairs
♠6, ♦Q, ♦6, ♠5, ♣9 | pair
♠6, ♦Q, ♦6, ♠5, ♣5 | two pairs
♠6, ♦Q, ♦6, ♣Q, ♣9 | two pairs
♠6, ♦Q, ♦6, ♣Q, ♣5 | two pairs
♠6, ♦Q, ♦6, ♣9, ♣5 | pair
♠6, ♦Q, ♠7, ♠5, ♣Q | pair
♠6, ♦Q, ♠7, ♠5, ♣5 | pair
♠6, ♦Q, ♠7, ♣Q, ♣9 | pair
♠6, ♦Q, ♠7, ♣Q, ♣5 | pair
♠6, ♦Q, ♠5, ♣Q, ♣9 | pair
♠6, ♦Q, ♠5, ♣Q, ♣5 | two pairs
♠6, ♦Q, ♠5, ♣9, ♣5 | pair
♠6, ♦Q, ♣Q, ♣9, ♣5 | pair
♠6, ♣K, ♦7, ♣2, ♦6 | pair
♠6, ♣K, ♦7, ♣2, ♠7 | pair
♠6, ♣K, ♦7, ♦6, ♠7 | two pairs
♠6, ♣K, ♦7, ♦6, ♠5 | pair
♠6, ♣K, ♦7, ♦6, ♣Q | pair
♠6, ♣K, ♦7, ♦6, ♣9 | pair
♠6, ♣K, ♦7, ♦6, ♣5 | pair
♠6, ♣K, ♦7, ♠7, ♠5 | pair
♠6, ♣K, ♦7, ♠7, ♣Q | pair
♠6, ♣K, ♦7, ♠7, ♣9 | pair
♠6, ♣K, ♦7, ♠7, ♣5 | pair
♠6, ♣K, ♦7, ♠5, ♣5 | pair
♠6, ♣K, ♣2, ♦6, ♠7 | pair
♠6, ♣K, ♣2, ♦6, ♠5 | pair
♠6, ♣K, ♣2, ♦6, ♣Q | pair
♠6, ♣K, ♣2, ♦6, ♣9 | pair
♠6, ♣K, ♣2, ♦6, ♣5 | pair
♠6, ♣K, ♣2, ♠5, ♣5 | pair
♠6, ♣K, ♦6, ♠7, ♠5 | pair
♠6, ♣K, ♦6, ♠7, ♣Q | pair
♠6, ♣K, ♦6, ♠7, ♣9 | pair
♠6, ♣K, ♦6, ♠7, ♣5 | pair
♠6, ♣K, ♦6, ♠5, ♣Q | pair
♠6, ♣K, ♦6, ♠5, ♣9 | pair
♠6, ♣K, ♦6, ♠5, ♣5 | two pairs
♠6, ♣K, ♦6, ♣Q, ♣9 | pair
♠6, ♣K, ♦6, ♣Q, ♣5 | pair
♠6, ♣K, ♦6, ♣9, ♣5 | pair
♠6, ♣K, ♠7, ♠5, ♣5 | pair
