♥8,♦T,♥T,♠6,♥9 | Pair
♥8,♦T,♠6,♣6,♠3 | Pair
♥8,♦T,♠6,♥K,♣T | Pair
♥8,♦T,♠6,♥K,♣K | Pair
♥8,♦T,♠6,♣T,♣2 | Pair
♥8,♦T,♠6,♣T,♦A | Pair
♥8,♦T,♠6,♣T,♣K | Pair
♥8,♦T,♠6,♣T,♠3 | Pair
♥8,♦T,♥9,♣J,♣T | Pair
♥8,♦T,♥9,♣6,♣T | Pair
♥8,♦T,♥9,♥K,♣T | Pair
♥8,♦T,♥9,♥K,♣K | Pair
♥8,♦T,♥9,♣T,♣2 | Pair
♥8,♦T,♥9,♣T,♦A | Pair
♥8,♦T,♥9,♣T,♣K | Pair
♥8,♦T,♥9,♣T,♠3 | Pair
♥8,♦T,♣J,♣6,♣T | Pair
♥8,♦T,♣J,♥K,♣T | Pair
♥8,♦T,♣J,♥K,♣K | Pair
♥8,♦T,♣J,♣T,♣2 | Pair
♥8,♦T,♣J,♣T,♦A | Pair
♥8,♦T,♣J,♣T,♣K | Pair
♥8,♦T,♣J,♣T,♠3 | Pair
♥8,♦T,♣6,♥K,♣T | Pair
♥8,♦T,♣6,♥K,♣K | Pair
♥8,♦T,♣6,♣T,♣2 | Pair
♥8,♦T,♣6,♣T,♦A | Pair
♥8,♦T,♣6,♣T,♣K | Pair
♥8,♦T,♣6,♣T,♠3 | Pair
♥8,♦T,♥K,♣T,♣2 | Pair
♥8,♦T,♥K,♣T,♦A | Pair
♥8,♦T,♥K,♣T,♣K | Two Pairs
♥8,♦T,♥K,♣T,♠3 | Pair
♥8,♦T,♥K,♣2,♣K | Pair
♥8,♦T,♥K,♦A,♣K | Pair
♥8,♦T,♥K,♣K,♠3 | Pair
♥8,♦T,♣T,♣2,♦A | Pair
♥8,♦T,♣T,♣2,♣K | Pair
♥8,♦T,♣T,♣2,♠3 | Pair
♥8,♦T,♣T,♦A,♣K | Pair
♥8,♦T,♣T,♦A,♠3 | Pair
♥8,♦T,♣T,♣K,♠3 | Pair
♥8,♥T,♠6,♥9,♣6 | Pair
♥8,♥T,♠6,♥9,♣T | Pair
♥8,♥T,♠6,♣J,♣6 | Pair
♥8,♥T,♠6,♣J,♣T | Pair
♥8,♥T,♠6,♣6,♥K | Pair
♥8,♥T,♠6,♣6,♣T | Two Pairs
♥8,♥T,♠6,♣6,♣2 | Pair
♥8,♥T,♠6,♣6,♦A | Pair
♥8,♥T,♠6,♣6,♣K | Pair
♥8,♥T,♠6,♣6,♠3 | Pair
♥8,♥T,♠6,♥K,♣T | Pair
♥8,♥T,♠6,♥K,♣K | Pair
♥8,♥T,♠6,♣T,♣2 | Pair
♥8,♥T,♠6,♣T,♦A | Pair
♥8,♥T,♠6,♣T,♣K | Pair
♥8,♥T,♠6,♣T,♠3 | Pair
♥8,♥T,♥9,♣J,♣T | Pair
♥8,♥T,♥9,♣6,♣T | Pair
♥8,♥T,♥9,♥K,♣T | Pair
♥8,♥T,♥9,♥K,♣K | Pair
♥8,♥T,♥9,♣T,♣2 | Pair
♥8,♥T,♥9,♣T,♦A | Pair
♥8,♥T,♥9,♣T,♣K | Pair
♥8,♥T,♥9,♣T,♠3 | Pair
♥8,♥T,♣J,♣6,♣T | Pair
♥8,♥T,♣J,♥K,♣T | Pair
♥8,♥T,♣J,♥K,♣K | Pair
♥8,♥T,♣J,♣T,♣2 | Pair
♥8,♥T,♣J,♣T,♦A | Pair
♥8,♥T,♣J,♣T,♣K | Pair
♥8,♥T,♣J,♣T,♠3 | Pair
♥8,♥T,♣6,♥K,♣T | Pair
♥8,♥T,♣6,♥K,♣K | Pair
♥8,♥T,♣6,♣T,♣2 | Pair
♥8,♥T,♣6,♣T,♦A | Pair
♥8,♥T,♣6,♣T,♣K | Pair
♥8,♥T,♣6,♣T,♠3 | Pair
♥8,♥T,♥K,♣T,♣2 | Pair
♥8,♥T,♥K,♣T,♦A | Pair
♥8,♥T,♥K,♣T,♣K | Two Pairs
♥8,♥T,♥K,♣T,♠3 | Pair
♥8,♥T,♥K,♣2,♣K | Pair
♥8,♥T,♥K,♦A,♣K | Pair
♥8,♥T,♥K,♣K,♠3 | Pair
♥8,♥T,♣T,♣2,♦A | Pair
♥8,♥T,♣T,♣2,♣K | Pair
♥8,♥T,♣T,♣2,♠3 | Pair
♥8,♥T,♣T,♦A,♣K | Pair
♥8,♥T,♣T,♦A,♠3 | Pair
♥8,♥T,♣T,♣K,♠3 | Pair
♥8,♠6,♥9,♣J,♣6 | Pair
♥8,♠6,♥9,♣6,♥K | Pair
♥8,♠6,♥9,♣6,♣T | Pair
♥8,♠6,♥9,♣6,♣2 | Pair
♥8,♠6,♥9,♣6,♦A | Pair
♥8,♠6,♥9,♣6,♣K | Pair
♥8,♠6,♥9,♣6,♠3 | Pair
♥8,♠6,♥9,♥K,♣K | Pair
♥8,♠6,♣J,♣6,♥K | Pair
♥8,♠6,♣J,♣6,♣T | Pair
♥8,♠6,♣J,♣6,♣2 | Pair
♥8,♠6,♣J,♣6,♦A | Pair
♥8,♠6,♣J,♣6,♣K | Pair
♥8,♠6,♣J,♣6,♠3 | Pair
♥8,♠6,♣J,♥K,♣K | Pair
♥8,♠6,♣6,♥K,♣T | Pair
♥8,♠6,♣6,♥K,♣2 | Pair
♥8,♠6,♣6,♥K,♦A | Pair
♥8,♠6,♣6,♥K,♣K | Two Pairs
♥8,♠6,♣6,♥K,♠3 | Pair
♥8,♠6,♣6,♣T,♣2 | Pair
♥8,♠6,♣6,♣T,♦A | Pair
♥8,♠6,♣6,♣T,♣K | Pair
♥8,♠6,♣6,♣T,♠3 | Pair
♥8,♠6,♣6,♣2,♦A | Pair
♥8,♠6,♣6,♣2,♣K | Pair
♥8,♠6,♣6,♣2,♠3 | Pair
♥8,♠6,♣6,♦A,♣K | Pair
♥8,♠6,♣6,♦A,♠3 | Pair
♥8,♠6,♣6,♣K,♠3 | Pair
♥8,♠6,♥K,♣T,♣K | Pair
♥8,♠6,♥K,♣2,♣K | Pair
♥8,♠6,♥K,♦A,♣K | Pair
♥8,♠6,♥K,♣K,♠3 | Pair
♥8,♥9,♣J,♥K,♣K | Pair
♥8,♥9,♣6,♥K,♣K | Pair
♥8,♥9,♥K,♣T,♣K | Pair
♥8,♥9,♥K,♣2,♣K | Pair
♥8,♥9,♥K,♦A,♣K | Pair
♥8,♥9,♥K,♣K,♠3 | Pair
♥8,♣J,♣6,♥K,♣K | Pair
♥8,♣J,♥K,♣T,♣K | Pair
♥8,♣J,♥K,♣2,♣K | Pair
♥8,♣J,♥K,♦A,♣K | Pair
♥8,♣J,♥K,♣K,♠3 | Pair
♥8,♣6,♥K,♣T,♣K | Pair
♥8,♣6,♥K,♣2,♣K | Pair
♥8,♣6,♥K,♦A,♣K | Pair
♥8,♣6,♥K,♣K,♠3 | Pair
♥8,♥K,♣T,♣2,♣K | Pair
♥8,♥K,♣T,♦A,♣K | Pair
♥8,♥K,♣T,♣K,♠3 | Pair
♥8,♥K,♣2,♦A,♣K | Pair
♥8,♥K,♣2,♣K,♠3 | Pair
♥8,♥K,♦A,♣K,♠3 | Pair
♦T,♥T,♠6,♥9,♣J | Pair
♦T,♥T,♠6,♥9,♣6 | Two Pairs
♦T,♥T,♠6,♥9,♥K | Pair
♦T,♥T,♠6,♥9,♣T | Full House
♦T,♥T,♠6,♥9,♣2 | Pair
♦T,♥T,♠6,♥9,♦A | Pair
♦T,♥T,♠6,♥9,♣K | Pair
♦T,♥T,♠6,♥9,♠3 | Pair
♦T,♥T,♠6,♣J,♣6 | Two Pairs
♦T,♥T,♠6,♣J,♥K | Pair
♦T,♥T,♠6,♣J,♣T | Full House
♦T,♥T,♠6,♣J,♣2 | Pair
♦T,♥T,♠6,♣J,♦A | Pair
♦T,♥T,♠6,♣J,♣K | Pair
♦T,♥T,♠6,♣J,♠3 | Pair
♦T,♥T,♠6,♣6,♥K | Two Pairs
♦T,♥T,♠6,♣6,♣T | Full House
♦T,♥T,♠6,♣6,♣2 | Two Pairs
♦T,♥T,♠6,♣6,♦A | Two Pairs
♦T,♥T,♠6,♣6,♣K | Two Pairs
♦T,♥T,♠6,♣6,♠3 | Two Pairs
♦T,♥T,♠6,♥K,♣T | Full House
♦T,♥T,♠6,♥K,♣2 | Pair
♦T,♥T,♠6,♥K,♦A | Pair
♦T,♥T,♠6,♥K,♣K | Two Pairs
♦T,♥T,♠6,♥K,♠3 | Pair
♦T,♥T,♠6,♣T,♣2 | Full House
♦T,♥T,♠6,♣T,♦A | Full House
♦T,♥T,♠6,♣T,♣K | Full House
♦T,♥T,♠6,♣T,♠3 | Full House
♦T,♥T,♠6,♣2,♦A | Pair
♦T,♥T,♠6,♣2,♣K | Pair
♦T,♥T,♠6,♣2,♠3 | Pair
♦T,♥T,♠6,♦A,♣K | Pair
♦T,♥T,♠6,♦A,♠3 | Pair
♦T,♥T,♠6,♣K,♠3 | Pair
♦T,♥T,♥9,♣J,♣6 | Pair
♦T,♥T,♥9,♣J,♥K | Pair
♦T,♥T,♥9,♣J,♣T | Full House
♦T,♥T,♥9,♣J,♣2 | Pair
♦T,♥T,♥9,♣J,♦A | Pair
♦T,♥T,♥9,♣J,♣K | Pair
♦T,♥T,♥9,♣J,♠3 | Pair
♦T,♥T,♥9,♣6,♥K | Pair
♦T,♥T,♥9,♣6,♣T | Full House
♦T,♥T,♥9,♣6,♣2 | Pair
♦T,♥T,♥9,♣6,♦A | Pair
♦T,♥T,♥9,♣6,♣K | Pair
♦T,♥T,♥9,♣6,♠3 | Pair
♦T,♥T,♥9,♥K,♣T | Full House
♦T,♥T,♥9,♥K,♣2 | Pair
♦T,♥T,♥9,♥K,♦A | Pair
♦T,♥T,♥9,♥K,♣K | Two Pairs
♦T,♥T,♥9,♥K,♠3 | Pair
♦T,♥T,♥9,♣T,♣2 | Full House
♦T,♥T,♥9,♣T,♦A | Full House
♦T,♥T,♥9,♣T,♣K | Full House
♦T,♥T,♥9,♣T,♠3 | Full House
♦T,♥T,♥9,♣2,♦A | Pair
♦T,♥T,♥9,♣2,♣K | Pair
♦T,♥T,♥9,♣2,♠3 | Pair
♦T,♥T,♥9,♦A,♣K | Pair
♦T,♥T,♥9,♦A,♠3 | Pair
♦T,♥T,♥9,♣K,♠3 | Pair
♦T,♥T,♣J,♣6,♥K | Pair
♦T,♥T,♣J,♣6,♣T | Full House
♦T,♥T,♣J,♣6,♣2 | Pair
♦T,♥T,♣J,♣6,♦A | Pair
♦T,♥T,♣J,♣6,♣K | Pair
♦T,♥T,♣J,♣6,♠3 | Pair
♦T,♥T,♣J,♥K,♣T | Full House
♦T,♥T,♣J,♥K,♣2 | Pair
♦T,♥T,♣J,♥K,♦A | Pair
♦T,♥T,♣J,♥K,♣K | Two Pairs
♦T,♥T,♣J,♥K,♠3 | Pair
♦T,♥T,♣J,♣T,♣2 | Full House
♦T,♥T,♣J,♣T,♦A | Full House
♦T,♥T,♣J,♣T,♣K | Full House
♦T,♥T,♣J,♣T,♠3 | Full House
♦T,♥T,♣J,♣2,♦A | Pair
♦T,♥T,♣J,♣2,♣K | Pair
♦T,♥T,♣J,♣2,♠3 | Pair
♦T,♥T,♣J,♦A,♣K | Pair
♦T,♥T,♣J,♦A,♠3 | Pair
♦T,♥T,♣J,♣K,♠3 | Pair
♦T,♥T,♣6,♥K,♣T | Full House
♦T,♥T,♣6,♥K,♣2 | Pair
♦T,♥T,♣6,♥K,♦A | Pair
♦T,♥T,♣6,♥K,♣K | Two Pairs
♦T,♥T,♣6,♥K,♠3 | Pair
♦T,♥T,♣6,♣T,♣2 | Full House
♦T,♥T,♣6,♣T,♦A | Full House
♦T,♥T,♣6,♣T,♣K | Full House
♦T,♥T,♣6,♣T,♠3 | Full House
♦T,♥T,♣6,♣2,♦A | Pair
♦T,♥T,♣6,♣2,♣K | Pair
♦T,♥T,♣6,♣2,♠3 | Pair
♦T,♥T,♣6,♦A,♣K | Pair
♦T,♥T,♣6,♦A,♠3 | Pair
♦T,♥T,♣6,♣K,♠3 | Pair
♦T,♥T,♥K,♣T,♣2 | Full House
♦T,♥T,♥K,♣T,♦A | Full House
♦T,♥T,♥K,♣T,♣K | Full House
♦T,♥T,♥K,♣T,♠3 | Full House
♦T,♥T,♥K,♣2,♦A | Pair
♦T,♥T,♥K,♣2,♣K | Two Pairs
♦T,♥T,♥K,♣2,♠3 | Pair
♦T,♥T,♥K,♦A,♣K | Two Pairs
♦T,♥T,♥K,♦A,♠3 | Pair
♦T,♥T,♥K,♣K,♠3 | Two Pairs
♦T,♥T,♣T,♣2,♦A | Full House
♦T,♥T,♣T,♣2,♣K | Full House
♦T,♥T,♣T,♣2,♠3 | Full House
♦T,♥T,♣T,♦A,♣K | Full House
♦T,♥T,♣T,♦A,♠3 | Full House
♦T,♥T,♣T,♣K,♠3 | Full House
♦T,♥T,♣2,♦A,♣K | Pair
♦T,♥T,♣2,♦A,♠3 | Pair
♦T,♥T,♣2,♣K,♠3 | Pair
♦T,♥T,♦A,♣K,♠3 | Pair
♦T,♠6,♥9,♣J,♣6 | Pair
♦T,♠6,♥9,♣J,♣T | Pair
♦T,♠6,♥9,♣6,♥K | Pair
♦T,♠6,♥9,♣6,♣T | Two Pairs
♦T,♠6,♥9,♣6,♣2 | Pair
♦T,♠6,♥9,♣6,♦A | Pair
♦T,♠6,♥9,♣6,♣K | Pair
♦T,♠6,♥9,♣6,♠3 | Pair
♦T,♠6,♥9,♥K,♣T | Pair
♦T,♠6,♥9,♥K,♣K | Pair
♦T,♠6,♥9,♣T,♣2 | Pair
♦T,♠6,♥9,♣T,♦A | Pair
♦T,♠6,♥9,♣T,♣K | Pair
♦T,♠6,♥9,♣T,♠3 | Pair
♦T,♠6,♣J,♣6,♥K | Pair
♦T,♠6,♣J,♣6,♣T | Two Pairs
♦T,♠6,♣J,♣6,♣2 | Pair
♦T,♠6,♣J,♣6,♦A | Pair
♦T,♠6,♣J,♣6,♣K | Pair
♦T,♠6,♣J,♣6,♠3 | Pair
♦T,♠6,♣J,♥K,♣T | Pair
♦T,♠6,♣J,♥K,♣K | Pair
♦T,♠6,♣J,♣T,♣2 | Pair
♦T,♠6,♣J,♣T,♦A | Pair
♦T,♠6,♣J,♣T,♣K | Pair
♦T,♠6,♣J,♣T,♠3 | Pair
♦T,♠6,♣6,♥K,♣T | Two Pairs
♦T,♠6,♣6,♥K,♣2 | Pair
♦T,♠6,♣6,♥K,♦A | Pair
♦T,♠6,♣6,♥K,♣K | Two Pairs
♦T,♠6,♣6,♥K,♠3 | Pair
♦T,♠6,♣6,♣T,♣2 | Two Pairs
♦T,♠6,♣6,♣T,♦A | Two Pairs
♦T,♠6,♣6,♣T,♣K | Two Pairs
♦T,♠6,♣6,♣T,♠3 | Two Pairs
♦T,♠6,♣6,♣2,♦A | Pair
♦T,♠6,♣6,♣2,♣K | Pair
♦T,♠6,♣6,♣2,♠3 | Pair
♦T,♠6,♣6,♦A,♣K | Pair
♦T,♠6,♣6,♦A,♠3 | Pair
♦T,♠6,♣6,♣K,♠3 | Pair
♦T,♠6,♥K,♣T,♣2 | Pair
♦T,♠6,♥K,♣T,♦A | Pair
♦T,♠6,♥K,♣T,♣K | Two Pairs
♦T,♠6,♥K,♣T,♠3 | Pair
♦T,♠6,♥K,♣2,♣K | Pair
♦T,♠6,♥K,♦A,♣K | Pair
♦T,♠6,♥K,♣K,♠3 | Pair
♦T,♠6,♣T,♣2,♦A | Pair
♦T,♠6,♣T,♣2,♣K | Pair
♦T,♠6,♣T,♣2,♠3 | Pair
♦T,♠6,♣T,♦A,♣K | Pair
♦T,♠6,♣T,♦A,♠3 | Pair
♦T,♠6,♣T,♣K,♠3 | Pair
♦T,♥9,♣J,♣6,♣T | Pair
♦T,♥9,♣J,♥K,♣T | Pair
♦T,♥9,♣J,♥K,♣K | Pair
♦T,♥9,♣J,♣T,♣2 | Pair
♦T,♥9,♣J,♣T,♦A | Pair
♦T,♥9,♣J,♣T,♣K | Pair
♦T,♥9,♣J,♣T,♠3 | Pair
♦T,♥9,♣6,♥K,♣T | Pair
♦T,♥9,♣6,♥K,♣K | Pair
♦T,♥9,♣6,♣T,♣2 | Pair
♦T,♥9,♣6,♣T,♦A | Pair
♦T,♥9,♣6,♣T,♣K | Pair
♦T,♥9,♣6,♣T,♠3 | Pair
♦T,♥9,♥K,♣T,♣2 | Pair
♦T,♥9,♥K,♣T,♦A | Pair
♦T,♥9,♥K,♣T,♣K | Two Pairs
♦T,♥9,♥K,♣T,♠3 | Pair
♦T,♥9,♥K,♣2,♣K | Pair
♦T,♥9,♥K,♦A,♣K | Pair
♦T,♥9,♥K,♣K,♠3 | Pair
♦T,♥9,♣T,♣2,♦A | Pair
♦T,♥9,♣T,♣2,♣K | Pair
♦T,♥9,♣T,♣2,♠3 | Pair
♦T,♥9,♣T,♦A,♣K | Pair
♦T,♥9,♣T,♦A,♠3 | Pair
♦T,♥9,♣T,♣K,♠3 | Pair
♦T,♣J,♣6,♥K,♣T | Pair
♦T,♣J,♣6,♥K,♣K | Pair
♦T,♣J,♣6,♣T,♣2 | Pair
♦T,♣J,♣6,♣T,♦A | Pair
♦T,♣J,♣6,♣T,♣K | Pair
♦T,♣J,♣6,♣T,♠3 | Pair
♦T,♣J,♥K,♣T,♣2 | Pair
♦T,♣J,♥K,♣T,♦A | Pair
♦T,♣J,♥K,♣T,♣K | Two Pairs
♦T,♣J,♥K,♣T,♠3 | Pair
♦T,♣J,♥K,♣2,♣K | Pair
♦T,♣J,♥K,♦A,♣K | Pair
♦T,♣J,♥K,♣K,♠3 | Pair
♦T,♣J,♣T,♣2,♦A | Pair
♦T,♣J,♣T,♣2,♣K | Pair
♦T,♣J,♣T,♣2,♠3 | Pair
♦T,♣J,♣T,♦A,♣K | Pair
♦T,♣J,♣T,♦A,♠3 | Pair
♦T,♣J,♣T,♣K,♠3 | Pair
♦T,♣6,♥K,♣T,♣2 | Pair
♦T,♣6,♥K,♣T,♦A | Pair
♦T,♣6,♥K,♣T,♣K | Two Pairs
♦T,♣6,♥K,♣T,♠3 | Pair
♦T,♣6,♥K,♣2,♣K | Pair
♦T,♣6,♥K,♦A,♣K | Pair
♦T,♣6,♥K,♣K,♠3 | Pair
♦T,♣6,♣T,♣2,♦A | Pair
♦T,♣6,♣T,♣2,♣K | Pair
♦T,♣6,♣T,♣2,♠3 | Pair
♦T,♣6,♣T,♦A,♣K | Pair
♦T,♣6,♣T,♦A,♠3 | Pair
♦T,♣6,♣T,♣K,♠3 | Pair
♦T,♥K,♣T,♣2,♦A | Pair
♦T,♥K,♣T,♣2,♣K | Two Pairs
♦T,♥K,♣T,♣2,♠3 | Pair
♦T,♥K,♣T,♦A,♣K | Two Pairs
♦T,♥K,♣T,♦A,♠3 | Pair
♦T,♥K,♣T,♣K,♠3 | Two Pairs
♦T,♥K,♣2,♦A,♣K | Pair
♦T,♥K,♣2,♣K,♠3 | Pair
♦T,♥K,♦A,♣K,♠3 | Pair
♦T,♣T,♣2,♦A,♣K | Pair
♦T,♣T,♣2,♦A,♠3 | Pair
♦T,♣T,♣2,♣K,♠3 | Pair
♦T,♣T,♦A,♣K,♠3 | Pair
♥T,♠6,♥9,♣J,♣6 | Pair
♥T,♠6,♥9,♣J,♣T | Pair
♥T,♠6,♥9,♣6,♥K | Pair
♥T,♠6,♥9,♣6,♣T | Two Pairs
♥T,♠6,♥9,♣6,♣2 | Pair
♥T,♠6,♥9,♣6,♦A | Pair
♥T,♠6,♥9,♣6,♣K | Pair
♥T,♠6,♥9,♣6,♠3 | Pair
♥T,♠6,♥9,♥K,♣T | Pair
♥T,♠6,♥9,♥K,♣K | Pair
♥T,♠6,♥9,♣T,♣2 | Pair
♥T,♠6,♥9,♣T,♦A | Pair
♥T,♠6,♥9,♣T,♣K | Pair
♥T,♠6,♥9,♣T,♠3 | Pair
♥T,♠6,♣J,♣6,♥K | Pair
♥T,♠6,♣J,♣6,♣T | Two Pairs
♥T,♠6,♣J,♣6,♣2 | Pair
♥T,♠6,♣J,♣6,♦A | Pair
♥T,♠6,♣J,♣6,♣K | Pair
♥T,♠6,♣J,♣6,♠3 | Pair
♥T,♠6,♣J,♥K,♣T | Pair
♥T,♠6,♣J,♥K,♣K | Pair
♥T,♠6,♣J,♣T,♣2 | Pair
♥T,♠6,♣J,♣T,♦A | Pair
♥T,♠6,♣J,♣T,♣K | Pair
♥T,♠6,♣J,♣T,♠3 | Pair
♥T,♠6,♣6,♥K,♣T | Two Pairs
♥T,♠6,♣6,♥K,♣2 | Pair
♥T,♠6,♣6,♥K,♦A | Pair
♥T,♠6,♣6,♥K,♣K | Two Pairs
♥T,♠6,♣6,♥K,♠3 | Pair
♥T,♠6,♣6,♣T,♣2 | Two Pairs
♥T,♠6,♣6,♣T,♦A | Two Pairs
♥T,♠6,♣6,♣T,♣K | Two Pairs
♥T,♠6,♣6,♣T,♠3 | Two Pairs
♥T,♠6,♣6,♣2,♦A | Pair
♥T,♠6,♣6,♣2,♣K | Pair
♥T,♠6,♣6,♣2,♠3 | Pair
♥T,♠6,♣6,♦A,♣K | Pair
♥T,♠6,♣6,♦A,♠3 | Pair
♥T,♠6,♣6,♣K,♠3 | Pair
♥T,♠6,♥K,♣T,♣2 | Pair
♥T,♠6,♥K,♣T,♦A | Pair
♥T,♠6,♥K,♣T,♣K | Two Pairs
♥T,♠6,♥K,♣T,♠3 | Pair
♥T,♠6,♥K,♣2,♣K | Pair
♥T,♠6,♥K,♦A,♣K | Pair
♥T,♠6,♥K,♣K,♠3 | Pair
♥T,♠6,♣T,♣2,♦A | Pair
♥T,♠6,♣T,♣2,♣K | Pair
♥T,♠6,♣T,♣2,♠3 | Pair
♥T,♠6,♣T,♦A,♣K | Pair
♥T,♠6,♣T,♦A,♠3 | Pair
♥T,♠6,♣T,♣K,♠3 | Pair
♥T,♥9,♣J,♣6,♣T | Pair
♥T,♥9,♣J,♥K,♣T | Pair
♥T,♥9,♣J,♥K,♣K | Pair
♥T,♥9,♣J,♣T,♣2 | Pair
♥T,♥9,♣J,♣T,♦A | Pair
♥T,♥9,♣J,♣T,♣K | Pair
♥T,♥9,♣J,♣T,♠3 | Pair
♥T,♥9,♣6,♥K,♣T | Pair
♥T,♥9,♣6,♥K,♣K | Pair
♥T,♥9,♣6,♣T,♣2 | Pair
♥T,♥9,♣6,♣T,♦A | Pair
♥T,♥9,♣6,♣T,♣K | Pair
♥T,♥9,♣6,♣T,♠3 | Pair
♥T,♥9,♥K,♣T,♣2 | Pair
♥T,♥9,♥K,♣T,♦A | Pair
♥T,♥9,♥K,♣T,♣K | Two Pairs
♥T,♥9,♥K,♣T,♠3 | Pair
♥T,♥9,♥K,♣2,♣K | Pair
♥T,♥9,♥K,♦A,♣K | Pair
♥T,♥9,♥K,♣K,♠3 | Pair
♥T,♥9,♣T,♣2,♦A | Pair
♥T,♥9,♣T,♣2,♣K | Pair
♥T,♥9,♣T,♣2,♠3 | Pair
♥T,♥9,♣T,♦A,♣K | Pair
♥T,♥9,♣T,♦A,♠3 | Pair
♥T,♥9,♣T,♣K,♠3 | Pair
♥T,♣J,♣6,♥K,♣T | Pair
♥T,♣J,♣6,♥K,♣K | Pair
♥T,♣J,♣6,♣T,♣2 | Pair
♥T,♣J,♣6,♣T,♦A | Pair
♥T,♣J,♣6,♣T,♣K | Pair
♥T,♣J,♣6,♣T,♠3 | Pair
♥T,♣J,♥K,♣T,♣2 | Pair
♥T,♣J,♥K,♣T,♦A | Pair
♥T,♣J,♥K,♣T,♣K | Two Pairs
♥T,♣J,♥K,♣T,♠3 | Pair
♥T,♣J,♥K,♣2,♣K | Pair
♥T,♣J,♥K,♦A,♣K | Pair
♥T,♣J,♥K,♣K,♠3 | Pair
♥T,♣J,♣T,♣2,♦A | Pair
♥T,♣J,♣T,♣2,♣K | Pair
♥T,♣J,♣T,♣2,♠3 | Pair
♥T,♣J,♣T,♦A,♣K | Pair
♥T,♣J,♣T,♦A,♠3 | Pair
♥T,♣J,♣T,♣K,♠3 | Pair
♥T,♣6,♥K,♣T,♣2 | Pair
♥T,♣6,♥K,♣T,♦A | Pair
♥T,♣6,♥K,♣T,♣K | Two Pairs
♥T,♣6,♥K,♣T,♠3 | Pair
♥T,♣6,♥K,♣2,♣K | Pair
♥T,♣6,♥K,♦A,♣K | Pair
♥T,♣6,♥K,♣K,♠3 | Pair
♥T,♣6,♣T,♣2,♦A | Pair
♥T,♣6,♣T,♣2,♣K | Pair
♥T,♣6,♣T,♣2,♠3 | Pair
♥T,♣6,♣T,♦A,♣K | Pair
♥T,♣6,♣T,♦A,♠3 | Pair
♥T,♣6,♣T,♣K,♠3 | Pair
♥T,♥K,♣T,♣2,♦A | Pair
♥T,♥K,♣T,♣2,♣K | Two Pairs
♥T,♥K,♣T,♣2,♠3 | Pair
♥T,♥K,♣T,♦A,♣K | Two Pairs
♥T,♥K,♣T,♦A,♠3 | Pair
♥T,♥K,♣T,♣K,♠3 | Two Pairs
♥T,♥K,♣2,♦A,♣K | Pair
♥T,♥K,♣2,♣K,♠3 | Pair
♥T,♥K,♦A,♣K,♠3 | Pair
