♠3,♣8,♣A,♥A,♣2 | Pair
♣8,♣A,♣2,♠9,♠Q | Pair
♣8,♣A,♣2,♠9,♥9 | Pair
♣8,♣A,♣2,♥6,♠Q | Pair
♣8,♣A,♣2,♠Q,♥9 | Pair
♣8,♣A,♠9,♥6,♠Q | Pair
♣8,♣A,♠9,♥6,♥9 | Pair
♣8,♣A,♠9,♠Q,♥9 | Pair
♣8,♣A,♠9,♠Q,♥9 | Pair
♣8,♣A,♥6,♠Q,♥9 | Pair
♣8,♥A,♣2,♠9,♠Q | Pair
♣8,♥A,♣2,♠9,♥9 | Pair
♣8,♥A,♣2,♥6,♠Q | Pair
♣8,♥A,♣2,♠Q,♥9 | Pair
♣8,♥A,♠9,♥6,♠Q | Pair
♣8,♥A,♠9,♥6,♥9 | Pair
♣8,♥A,♠9,♠Q,♥9 | Pair
♣8,♥A,♠9,♠Q,♥9 | Pair
♣8,♥A,♥6,♠Q,♥9 | Pair
♣8,♣2,♠9,♥6,♥9 | Pair
♣8,♣2,♠9,♠Q,♥9 | Pair
♣8,♠9,♥6,♠Q,♥9 | Pair
♣A,♥A,♣2,♠9,♥6 | Pair
♣A,♥A,♣2,♠9,♠Q | Pair
♣A,♥A,♣2,♠9,♠Q | Three Of A Kind
♣A,♥A,♣2,♠9,♥9 | Pair
♣A,♥A,♣2,♠9,♥9 | Pair
♣A,♥A,♣2,♥6,♠Q | Pair
♣A,♥A,♣2,♥6,♠Q | Three Of A Kind
♣A,♥A,♣2,♥6,♥9 | Pair
♣A,♥A,♣2,♠Q,♥9 | Pair
♣A,♥A,♣2,♠Q,♥9 | Three Of A Kind
♣A,♥A,♠9,♥6,♠Q | Pair
♣A,♥A,♠9,♥6,♠Q | Three Of A Kind
♣A,♥A,♠9,♥6,♥9 | Pair
♣A,♥A,♠9,♥6,♥9 | Pair
♣A,♥A,♠9,♠Q,♥9 | Pair
♣A,♥A,♠9,♠Q,♥9 | Three Of A Kind
♣A,♥A,♠9,♠Q,♥9 | Pair
♣A,♥A,♥6,♠Q,♥9 | Pair
♣A,♥A,♥6,♠Q,♥9 | Three Of A Kind
♣A,♣2,♠9,♥6,♠Q | Pair
♣A,♣2,♠9,♥6,♥9 | Pair
♣A,♣2,♠9,♠Q,♥9 | Pair
♣A,♣2,♠9,♠Q,♥9 | Pair
♣A,♣2,♥6,♠Q,♥9 | Pair
♣A,♠9,♥6,♠Q,♥9 | Pair
♣A,♠9,♥6,♠Q,♥9 | Pair
♥A,♣2,♠9,♥6,♠Q | Pair
♥A,♣2,♠9,♥6,♥9 | Pair
♥A,♣2,♠9,♠Q,♥9 | Pair
♥A,♣2,♠9,♠Q,♥9 | Pair
♥A,♣2,♥6,♠Q,♥9 | Pair
♥A,♠9,♥6,♠Q,♥9 | Pair
♥A,♠9,♥6,♠Q,♥9 | Pair
♣2,♠9,♥6,♠Q,♥9 | Pair
