♣J,♣3,♦A,♣4,♦3 | Pair
♣J,♣3,♦6,♣7,♦3 | Pair
♣J,♣3,♦6,♣6,♠9 | Pair
♣J,♣3,♦6,♣6,♦K | Pair
♣J,♣3,♦6,♣6,♦3 | Two Pairs
♣J,♣3,♦6,♠9,♦3 | Pair
♣J,♣3,♦6,♦K,♦3 | Pair
♣J,♣3,♦Q,♣8,♣Q | Pair
♣J,♣3,♦Q,♣8,♦3 | Pair
♣J,♣3,♦Q,♣Q,♣7 | Pair
♣J,♣3,♦Q,♣Q,♣6 | Pair
♣J,♣3,♦Q,♣Q,♠9 | Pair
♣J,♣3,♦Q,♣Q,♦K | Pair
♣J,♣3,♦Q,♣Q,♦3 | Two Pairs
♣J,♣3,♦Q,♣7,♦3 | Pair
♣J,♣3,♦Q,♣6,♦3 | Pair
♣J,♣3,♦Q,♠9,♦3 | Pair
♣J,♣3,♦Q,♦K,♦3 | Pair
♣J,♣3,♣8,♣Q,♣7 | Flush
♣J,♣3,♣8,♣Q,♣6 | Flush
♣J,♣3,♣8,♣Q,♦3 | Pair
♣J,♣3,♣8,♣7,♣6 | Flush
♣J,♣3,♣8,♣7,♦3 | Pair
♣J,♣3,♣8,♣6,♦3 | Pair
♣J,♣3,♣8,♠9,♦3 | Pair
♣J,♣3,♣8,♦K,♦3 | Pair
♣J,♣3,♣Q,♣7,♣6 | Flush
♣J,♣3,♣Q,♣7,♦3 | Pair
♣J,♣3,♣Q,♣6,♦3 | Pair
♣J,♣3,♣Q,♠9,♦3 | Pair
♣J,♣3,♣Q,♦K,♦3 | Pair
♣J,♣3,♣7,♣6,♦3 | Pair
♣J,♣3,♣7,♠9,♦3 | Pair
♣J,♣3,♣7,♦K,♦3 | Pair
♣J,♣3,♣6,♠9,♦3 | Pair
♣J,♣3,♣6,♦K,♦3 | Pair
♣J,♣3,♠9,♦K,♦3 | Pair
♣J,♦A,♣4,♦6,♣6 | Pair
♣J,♦A,♣4,♦Q,♣Q | Pair
♣J,♦A,♠T,♦6,♣6 | Pair
♣J,♦A,♠T,♦Q,♣Q | Pair
♣J,♦A,♦6,♦Q,♣Q | Pair
♣J,♦A,♦6,♦Q,♣6 | Pair
♣J,♦A,♦6,♣8,♣6 | Pair
♣J,♦A,♦6,♣Q,♣6 | Pair
♣J,♦A,♦6,♣7,♣6 | Pair
♣J,♦A,♦6,♣6,♠9 | Pair
♣J,♦A,♦6,♣6,♦K | Pair
♣J,♦A,♦6,♣6,♦3 | Pair
♣J,♦A,♦Q,♣8,♣Q | Pair
♣J,♦A,♦Q,♣Q,♣7 | Pair
♣J,♦A,♦Q,♣Q,♣6 | Pair
♣J,♦A,♦Q,♣Q,♠9 | Pair
♣J,♦A,♦Q,♣Q,♦K | Pair
♣J,♦A,♦Q,♣Q,♦3 | Pair
♣J,♣4,♠T,♦6,♣6 | Pair
♣J,♣4,♠T,♦Q,♣Q | Pair
♣J,♣4,♦6,♦Q,♣Q | Pair
♣J,♣4,♦6,♦Q,♣6 | Pair
♣J,♣4,♦6,♣8,♣6 | Pair
♣J,♣4,♦6,♣Q,♣6 | Pair
♣J,♣4,♦6,♣7,♣6 | Pair
♣J,♣4,♦6,♣6,♠9 | Pair
♣J,♣4,♦6,♣6,♦K | Pair
♣J,♣4,♦6,♣6,♦3 | Pair
♣J,♣4,♦Q,♣8,♣Q | Pair
♣J,♣4,♦Q,♣Q,♣7 | Pair
♣J,♣4,♦Q,♣Q,♣6 | Pair
♣J,♣4,♦Q,♣Q,♠9 | Pair
♣J,♣4,♦Q,♣Q,♦K | Pair
♣J,♣4,♦Q,♣Q,♦3 | Pair
♣J,♣4,♣8,♣Q,♣7 | Flush
♣J,♣4,♣8,♣Q,♣6 | Flush
♣J,♣4,♣8,♣7,♣6 | Flush
♣J,♣4,♣Q,♣7,♣6 | Flush
♣J,♠T,♦6,♦Q,♣Q | Pair
♣J,♠T,♦6,♦Q,♣6 | Pair
♣J,♠T,♦6,♣8,♣6 | Pair
♣J,♠T,♦6,♣Q,♣6 | Pair
♣J,♠T,♦6,♣7,♣6 | Pair
♣J,♠T,♦6,♣6,♠9 | Pair
♣J,♠T,♦6,♣6,♦K | Pair
♣J,♠T,♦6,♣6,♦3 | Pair
♣J,♠T,♦Q,♣8,♣Q | Pair
♣J,♠T,♦Q,♣Q,♣7 | Pair
♣J,♠T,♦Q,♣Q,♣6 | Pair
♣J,♠T,♦Q,♣Q,♠9 | Pair
♣J,♠T,♦Q,♣Q,♦K | Pair
♣J,♠T,♦Q,♣Q,♦3 | Pair
♣J,♦6,♦Q,♣8,♣Q | Pair
♣J,♦6,♦Q,♣8,♣6 | Pair
♣J,♦6,♦Q,♣Q,♣7 | Pair
♣J,♦6,♦Q,♣Q,♣6 | Two Pairs
♣J,♦6,♦Q,♣Q,♠9 | Pair
♣J,♦6,♦Q,♣Q,♦K | Pair
♣J,♦6,♦Q,♣Q,♦3 | Pair
♣J,♦6,♦Q,♣7,♣6 | Pair
♣J,♦6,♦Q,♣6,♠9 | Pair
♣J,♦6,♦Q,♣6,♦K | Pair
♣J,♦6,♦Q,♣6,♦3 | Pair
♣J,♦6,♣8,♣Q,♣6 | Pair
♣J,♦6,♣8,♣7,♣6 | Pair
♣J,♦6,♣8,♣6,♠9 | Pair
♣J,♦6,♣8,♣6,♦K | Pair
♣J,♦6,♣8,♣6,♦3 | Pair
♣J,♦6,♣Q,♣7,♣6 | Pair
♣J,♦6,♣Q,♣6,♠9 | Pair
♣J,♦6,♣Q,♣6,♦K | Pair
♣J,♦6,♣Q,♣6,♦3 | Pair
♣J,♦6,♣7,♣6,♠9 | Pair
♣J,♦6,♣7,♣6,♦K | Pair
♣J,♦6,♣7,♣6,♦3 | Pair
♣J,♦6,♣6,♠9,♦K | Pair
♣J,♦6,♣6,♠9,♦3 | Pair
♣J,♦6,♣6,♦K,♦3 | Pair
♣J,♦Q,♣8,♣Q,♣7 | Pair
♣J,♦Q,♣8,♣Q,♣6 | Pair
♣J,♦Q,♣8,♣Q,♠9 | Pair
♣J,♦Q,♣8,♣Q,♦K | Pair
♣J,♦Q,♣8,♣Q,♦3 | Pair
♣J,♦Q,♣Q,♣7,♣6 | Pair
♣J,♦Q,♣Q,♣7,♠9 | Pair
♣J,♦Q,♣Q,♣7,♦K | Pair
♣J,♦Q,♣Q,♣7,♦3 | Pair
♣J,♦Q,♣Q,♣6,♠9 | Pair
♣J,♦Q,♣Q,♣6,♦K | Pair
♣J,♦Q,♣Q,♣6,♦3 | Pair
♣J,♦Q,♣Q,♠9,♦K | Pair
♣J,♦Q,♣Q,♠9,♦3 | Pair
♣J,♦Q,♣Q,♦K,♦3 | Pair
♣J,♣8,♣Q,♣7,♣6 | Flush
♣3,♦A,♣4,♠T,♦3 | Pair
♣3,♦A,♣4,♦6,♣6 | Pair
♣3,♦A,♣4,♦6,♦3 | Pair
♣3,♦A,♣4,♦Q,♣Q | Pair
♣3,♦A,♣4,♦Q,♦3 | Pair
♣3,♦A,♣4,♣8,♦3 | Pair
♣3,♦A,♣4,♣Q,♦3 | Pair
♣3,♦A,♣4,♣7,♦3 | Pair
♣3,♦A,♣4,♣6,♦3 | Pair
♣3,♦A,♣4,♠9,♦3 | Pair
♣3,♦A,♣4,♦K,♦3 | Pair
♣3,♦A,♠T,♦6,♣6 | Pair
♣3,♦A,♠T,♦6,♦3 | Pair
♣3,♦A,♠T,♦Q,♣Q | Pair
♣3,♦A,♠T,♦Q,♦3 | Pair
♣3,♦A,♠T,♣8,♦3 | Pair
♣3,♦A,♠T,♣Q,♦3 | Pair
♣3,♦A,♠T,♣7,♦3 | Pair
♣3,♦A,♠T,♣6,♦3 | Pair
♣3,♦A,♠T,♠9,♦3 | Pair
♣3,♦A,♠T,♦K,♦3 | Pair
♣3,♦A,♦6,♦Q,♣Q | Pair
♣3,♦A,♦6,♦Q,♣6 | Pair
♣3,♦A,♦6,♦Q,♦3 | Pair
♣3,♦A,♦6,♣8,♣6 | Pair
♣3,♦A,♦6,♣8,♦3 | Pair
♣3,♦A,♦6,♣Q,♣6 | Pair
♣3,♦A,♦6,♣Q,♦3 | Pair
♣3,♦A,♦6,♣7,♣6 | Pair
♣3,♦A,♦6,♣7,♦3 | Pair
♣3,♦A,♦6,♣6,♠9 | Pair
♣3,♦A,♦6,♣6,♦K | Pair
♣3,♦A,♦6,♣6,♦3 | Two Pairs
♣3,♦A,♦6,♠9,♦3 | Pair
♣3,♦A,♦6,♦K,♦3 | Pair
♣3,♦A,♦Q,♣8,♣Q | Pair
♣3,♦A,♦Q,♣8,♦3 | Pair
♣3,♦A,♦Q,♣Q,♣7 | Pair
♣3,♦A,♦Q,♣Q,♣6 | Pair
♣3,♦A,♦Q,♣Q,♠9 | Pair
♣3,♦A,♦Q,♣Q,♦K | Pair
♣3,♦A,♦Q,♣Q,♦3 | Two Pairs
♣3,♦A,♦Q,♣7,♦3 | Pair
♣3,♦A,♦Q,♣6,♦3 | Pair
♣3,♦A,♦Q,♠9,♦3 | Pair
♣3,♦A,♦Q,♦K,♦3 | Pair
♣3,♦A,♣8,♣Q,♦3 | Pair
♣3,♦A,♣8,♣7,♦3 | Pair
♣3,♦A,♣8,♣6,♦3 | Pair
♣3,♦A,♣8,♠9,♦3 | Pair
♣3,♦A,♣8,♦K,♦3 | Pair
♣3,♦A,♣Q,♣7,♦3 | Pair
♣3,♦A,♣Q,♣6,♦3 | Pair
♣3,♦A,♣Q,♠9,♦3 | Pair
♣3,♦A,♣Q,♦K,♦3 | Pair
♣3,♦A,♣7,♣6,♦3 | Pair
♣3,♦A,♣7,♠9,♦3 | Pair
♣3,♦A,♣7,♦K,♦3 | Pair
♣3,♦A,♣6,♠9,♦3 | Pair
♣3,♦A,♣6,♦K,♦3 | Pair
♣3,♦A,♠9,♦K,♦3 | Pair
♣3,♣4,♠T,♦6,♣6 | Pair
♣3,♣4,♠T,♦6,♦3 | Pair
♣3,♣4,♠T,♦Q,♣Q | Pair
♣3,♣4,♠T,♦Q,♦3 | Pair
♣3,♣4,♠T,♣8,♦3 | Pair
♣3,♣4,♠T,♣Q,♦3 | Pair
♣3,♣4,♠T,♣7,♦3 | Pair
♣3,♣4,♠T,♣6,♦3 | Pair
♣3,♣4,♠T,♠9,♦3 | Pair
♣3,♣4,♠T,♦K,♦3 | Pair
♣3,♣4,♦6,♦Q,♣Q | Pair
♣3,♣4,♦6,♦Q,♣6 | Pair
♣3,♣4,♦6,♦Q,♦3 | Pair
♣3,♣4,♦6,♣8,♣6 | Pair
♣3,♣4,♦6,♣8,♦3 | Pair
♣3,♣4,♦6,♣Q,♣6 | Pair
♣3,♣4,♦6,♣Q,♦3 | Pair
♣3,♣4,♦6,♣7,♣6 | Pair
♣3,♣4,♦6,♣7,♦3 | Pair
♣3,♣4,♦6,♣6,♠9 | Pair
♣3,♣4,♦6,♣6,♦K | Pair
♣3,♣4,♦6,♣6,♦3 | Two Pairs
♣3,♣4,♦6,♠9,♦3 | Pair
♣3,♣4,♦6,♦K,♦3 | Pair
♣3,♣4,♦Q,♣8,♣Q | Pair
♣3,♣4,♦Q,♣8,♦3 | Pair
♣3,♣4,♦Q,♣Q,♣7 | Pair
♣3,♣4,♦Q,♣Q,♣6 | Pair
♣3,♣4,♦Q,♣Q,♠9 | Pair
♣3,♣4,♦Q,♣Q,♦K | Pair
♣3,♣4,♦Q,♣Q,♦3 | Two Pairs
♣3,♣4,♦Q,♣7,♦3 | Pair
♣3,♣4,♦Q,♣6,♦3 | Pair
♣3,♣4,♦Q,♠9,♦3 | Pair
♣3,♣4,♦Q,♦K,♦3 | Pair
♣3,♣4,♣8,♣Q,♣7 | Flush
♣3,♣4,♣8,♣Q,♣6 | Flush
♣3,♣4,♣8,♣Q,♦3 | Pair
♣3,♣4,♣8,♣7,♣6 | Flush
♣3,♣4,♣8,♣7,♦3 | Pair
♣3,♣4,♣8,♣6,♦3 | Pair
♣3,♣4,♣8,♠9,♦3 | Pair
♣3,♣4,♣8,♦K,♦3 | Pair
♣3,♣4,♣Q,♣7,♣6 | Flush
♣3,♣4,♣Q,♣7,♦3 | Pair
♣3,♣4,♣Q,♣6,♦3 | Pair
♣3,♣4,♣Q,♠9,♦3 | Pair
♣3,♣4,♣Q,♦K,♦3 | Pair
♣3,♣4,♣7,♣6,♦3 | Pair
♣3,♣4,♣7,♠9,♦3 | Pair
♣3,♣4,♣7,♦K,♦3 | Pair
♣3,♣4,♣6,♠9,♦3 | Pair
♣3,♣4,♣6,♦K,♦3 | Pair
♣3,♣4,♠9,♦K,♦3 | Pair
♣3,♠T,♦6,♦Q,♣Q | Pair
♣3,♠T,♦6,♦Q,♣6 | Pair
♣3,♠T,♦6,♦Q,♦3 | Pair
♣3,♠T,♦6,♣8,♣6 | Pair
♣3,♠T,♦6,♣8,♦3 | Pair
♣3,♠T,♦6,♣Q,♣6 | Pair
♣3,♠T,♦6,♣Q,♦3 | Pair
♣3,♠T,♦6,♣7,♣6 | Pair
♣3,♠T,♦6,♣7,♦3 | Pair
♣3,♠T,♦6,♣6,♠9 | Pair
♣3,♠T,♦6,♣6,♦K | Pair
♣3,♠T,♦6,♣6,♦3 | Two Pairs
♣3,♠T,♦6,♠9,♦3 | Pair
♣3,♠T,♦6,♦K,♦3 | Pair
♣3,♠T,♦Q,♣8,♣Q | Pair
♣3,♠T,♦Q,♣8,♦3 | Pair
♣3,♠T,♦Q,♣Q,♣7 | Pair
♣3,♠T,♦Q,♣Q,♣6 | Pair
♣3,♠T,♦Q,♣Q,♠9 | Pair
♣3,♠T,♦Q,♣Q,♦K | Pair
♣3,♠T,♦Q,♣Q,♦3 | Two Pairs
♣3,♠T,♦Q,♣7,♦3 | Pair
♣3,♠T,♦Q,♣6,♦3 | Pair
♣3,♠T,♦Q,♠9,♦3 | Pair
♣3,♠T,♦Q,♦K,♦3 | Pair
♣3,♠T,♣8,♣Q,♦3 | Pair
♣3,♠T,♣8,♣7,♦3 | Pair
♣3,♠T,♣8,♣6,♦3 | Pair
♣3,♠T,♣8,♠9,♦3 | Pair
♣3,♠T,♣8,♦K,♦3 | Pair
♣3,♠T,♣Q,♣7,♦3 | Pair
♣3,♠T,♣Q,♣6,♦3 | Pair
♣3,♠T,♣Q,♠9,♦3 | Pair
♣3,♠T,♣Q,♦K,♦3 | Pair
♣3,♠T,♣7,♣6,♦3 | Pair
♣3,♠T,♣7,♠9,♦3 | Pair
♣3,♠T,♣7,♦K,♦3 | Pair
♣3,♠T,♣6,♠9,♦3 | Pair
♣3,♠T,♣6,♦K,♦3 | Pair
♣3,♠T,♠9,♦K,♦3 | Pair
♣3,♦6,♦Q,♣8,♣Q | Pair
♣3,♦6,♦Q,♣8,♣6 | Pair
♣3,♦6,♦Q,♣8,♦3 | Pair
♣3,♦6,♦Q,♣Q,♣7 | Pair
♣3,♦6,♦Q,♣Q,♣6 | Two Pairs
♣3,♦6,♦Q,♣Q,♠9 | Pair
♣3,♦6,♦Q,♣Q,♦K | Pair
♣3,♦6,♦Q,♣Q,♦3 | Two Pairs
♣3,♦6,♦Q,♣7,♣6 | Pair
♣3,♦6,♦Q,♣7,♦3 | Pair
♣3,♦6,♦Q,♣6,♠9 | Pair
♣3,♦6,♦Q,♣6,♦K | Pair
♣3,♦6,♦Q,♣6,♦3 | Two Pairs
♣3,♦6,♦Q,♠9,♦3 | Pair
♣3,♦6,♦Q,♦K,♦3 | Pair
♣3,♦6,♣8,♣Q,♣6 | Pair
♣3,♦6,♣8,♣Q,♦3 | Pair
♣3,♦6,♣8,♣7,♣6 | Pair
♣3,♦6,♣8,♣7,♦3 | Pair
♣3,♦6,♣8,♣6,♠9 | Pair
♣3,♦6,♣8,♣6,♦K | Pair
♣3,♦6,♣8,♣6,♦3 | Two Pairs
♣3,♦6,♣8,♠9,♦3 | Pair
♣3,♦6,♣8,♦K,♦3 | Pair
♣3,♦6,♣Q,♣7,♣6 | Pair
♣3,♦6,♣Q,♣7,♦3 | Pair
♣3,♦6,♣Q,♣6,♠9 | Pair
♣3,♦6,♣Q,♣6,♦K | Pair
♣3,♦6,♣Q,♣6,♦3 | Two Pairs
♣3,♦6,♣Q,♠9,♦3 | Pair
♣3,♦6,♣Q,♦K,♦3 | Pair
♣3,♦6,♣7,♣6,♠9 | Pair
♣3,♦6,♣7,♣6,♦K | Pair
♣3,♦6,♣7,♣6,♦3 | Two Pairs
♣3,♦6,♣7,♠9,♦3 | Pair
♣3,♦6,♣7,♦K,♦3 | Pair
♣3,♦6,♣6,♠9,♦K | Pair
♣3,♦6,♣6,♠9,♦3 | Two Pairs
♣3,♦6,♣6,♦K,♦3 | Two Pairs
♣3,♦6,♠9,♦K,♦3 | Pair
♣3,♦Q,♣8,♣Q,♣7 | Pair
♣3,♦Q,♣8,♣Q,♣6 | Pair
♣3,♦Q,♣8,♣Q,♠9 | Pair
♣3,♦Q,♣8,♣Q,♦K | Pair
♣3,♦Q,♣8,♣Q,♦3 | Two Pairs
♣3,♦Q,♣8,♣7,♦3 | Pair
♣3,♦Q,♣8,♣6,♦3 | Pair
♣3,♦Q,♣8,♠9,♦3 | Pair
♣3,♦Q,♣8,♦K,♦3 | Pair
♣3,♦Q,♣Q,♣7,♣6 | Pair
♣3,♦Q,♣Q,♣7,♠9 | Pair
♣3,♦Q,♣Q,♣7,♦K | Pair
♣3,♦Q,♣Q,♣7,♦3 | Two Pairs
♣3,♦Q,♣Q,♣6,♠9 | Pair
♣3,♦Q,♣Q,♣6,♦K | Pair
♣3,♦Q,♣Q,♣6,♦3 | Two Pairs
♣3,♦Q,♣Q,♠9,♦K | Pair
♣3,♦Q,♣Q,♠9,♦3 | Two Pairs
♣3,♦Q,♣Q,♦K,♦3 | Two Pairs
♣3,♦Q,♣7,♣6,♦3 | Pair
♣3,♦Q,♣7,♠9,♦3 | Pair
♣3,♦Q,♣7,♦K,♦3 | Pair
♣3,♦Q,♣6,♠9,♦3 | Pair
♣3,♦Q,♣6,♦K,♦3 | Pair
♣3,♦Q,♠9,♦K,♦3 | Pair
♣3,♣8,♣Q,♣7,♣6 | Flush
♣3,♣8,♣Q,♣7,♦3 | Pair
♣3,♣8,♣Q,♣6,♦3 | Pair
♣3,♣8,♣Q,♠9,♦3 | Pair
♣3,♣8,♣Q,♦K,♦3 | Pair
♣3,♣8,♣7,♣6,♦3 | Pair
♣3,♣8,♣7,♠9,♦3 | Pair
♣3,♣8,♣7,♦K,♦3 | Pair
♣3,♣8,♣6,♠9,♦3 | Pair
♣3,♣8,♣6,♦K,♦3 | Pair
♣3,♣8,♠9,♦K,♦3 | Pair
♣3,♣Q,♣7,♣6,♦3 | Pair
♣3,♣Q,♣7,♠9,♦3 | Pair
♣3,♣Q,♣7,♦K,♦3 | Pair
♣3,♣Q,♣6,♠9,♦3 | Pair
♣3,♣Q,♣6,♦K,♦3 | Pair
♣3,♣Q,♠9,♦K,♦3 | Pair
♣3,♣7,♣6,♠9,♦3 | Pair
♣3,♣7,♣6,♦K,♦3 | Pair
♣3,♣7,♠9,♦K,♦3 | Pair
♣3,♣6,♠9,♦K,♦3 | Pair
♦A,♣4,♠T,♦6,♣6 | Pair
♦A,♣4,♠T,♦Q,♣Q | Pair
♦A,♣4,♦6,♦Q,♣Q | Pair
♦A,♣4,♦6,♦Q,♣6 | Pair
♦A,♣4,♦6,♣8,♣6 | Pair
♦A,♣4,♦6,♣Q,♣6 | Pair
♦A,♣4,♦6,♣7,♣6 | Pair
♦A,♣4,♦6,♣6,♠9 | Pair
♦A,♣4,♦6,♣6,♦K | Pair
♦A,♣4,♦6,♣6,♦3 | Pair
♦A,♣4,♦Q,♣8,♣Q | Pair
♦A,♣4,♦Q,♣Q,♣7 | Pair
♦A,♣4,♦Q,♣Q,♣6 | Pair
♦A,♣4,♦Q,♣Q,♠9 | Pair
♦A,♣4,♦Q,♣Q,♦K | Pair
♦A,♣4,♦Q,♣Q,♦3 | Pair
♦A,♠T,♦6,♦Q,♣Q | Pair
♦A,♠T,♦6,♦Q,♣6 | Pair
♦A,♠T,♦6,♣8,♣6 | Pair
♦A,♠T,♦6,♣Q,♣6 | Pair
♦A,♠T,♦6,♣7,♣6 | Pair
♦A,♠T,♦6,♣6,♠9 | Pair
♦A,♠T,♦6,♣6,♦K | Pair
♦A,♠T,♦6,♣6,♦3 | Pair
♦A,♠T,♦Q,♣8,♣Q | Pair
♦A,♠T,♦Q,♣Q,♣7 | Pair
♦A,♠T,♦Q,♣Q,♣6 | Pair
♦A,♠T,♦Q,♣Q,♠9 | Pair
♦A,♠T,♦Q,♣Q,♦K | Pair
♦A,♠T,♦Q,♣Q,♦3 | Pair
♦A,♦6,♦Q,♣8,♣Q | Pair
♦A,♦6,♦Q,♣8,♣6 | Pair
♦A,♦6,♦Q,♣Q,♣7 | Pair
♦A,♦6,♦Q,♣Q,♣6 | Two Pairs
♦A,♦6,♦Q,♣Q,♠9 | Pair
♦A,♦6,♦Q,♣Q,♦K | Pair
♦A,♦6,♦Q,♣Q,♦3 | Pair
♦A,♦6,♦Q,♣7,♣6 | Pair
♦A,♦6,♦Q,♣6,♠9 | Pair
♦A,♦6,♦Q,♣6,♦K | Pair
♦A,♦6,♦Q,♣6,♦3 | Pair
♦A,♦6,♦Q,♦K,♦3 | Flush
♦A,♦6,♣8,♣Q,♣6 | Pair
♦A,♦6,♣8,♣7,♣6 | Pair
♦A,♦6,♣8,♣6,♠9 | Pair
♦A,♦6,♣8,♣6,♦K | Pair
♦A,♦6,♣8,♣6,♦3 | Pair
♦A,♦6,♣Q,♣7,♣6 | Pair
♦A,♦6,♣Q,♣6,♠9 | Pair
♦A,♦6,♣Q,♣6,♦K | Pair
♦A,♦6,♣Q,♣6,♦3 | Pair
♦A,♦6,♣7,♣6,♠9 | Pair
♦A,♦6,♣7,♣6,♦K | Pair
♦A,♦6,♣7,♣6,♦3 | Pair
♦A,♦6,♣6,♠9,♦K | Pair
♦A,♦6,♣6,♠9,♦3 | Pair
♦A,♦6,♣6,♦K,♦3 | Pair
♦A,♦Q,♣8,♣Q,♣7 | Pair
♦A,♦Q,♣8,♣Q,♣6 | Pair
♦A,♦Q,♣8,♣Q,♠9 | Pair
♦A,♦Q,♣8,♣Q,♦K | Pair
♦A,♦Q,♣8,♣Q,♦3 | Pair
♦A,♦Q,♣Q,♣7,♣6 | Pair
♦A,♦Q,♣Q,♣7,♠9 | Pair
♦A,♦Q,♣Q,♣7,♦K | Pair
♦A,♦Q,♣Q,♣7,♦3 | Pair
♦A,♦Q,♣Q,♣6,♠9 | Pair
♦A,♦Q,♣Q,♣6,♦K | Pair
♦A,♦Q,♣Q,♣6,♦3 | Pair
♦A,♦Q,♣Q,♠9,♦K | Pair
♦A,♦Q,♣Q,♠9,♦3 | Pair
♦A,♦Q,♣Q,♦K,♦3 | Pair
♣4,♠T,♦6,♦Q,♣Q | Pair
♣4,♠T,♦6,♦Q,♣6 | Pair
♣4,♠T,♦6,♣8,♣6 | Pair
♣4,♠T,♦6,♣Q,♣6 | Pair
♣4,♠T,♦6,♣7,♣6 | Pair
♣4,♠T,♦6,♣6,♠9 | Pair
♣4,♠T,♦6,♣6,♦K | Pair
♣4,♠T,♦6,♣6,♦3 | Pair
♣4,♠T,♦Q,♣8,♣Q | Pair
♣4,♠T,♦Q,♣Q,♣7 | Pair
♣4,♠T,♦Q,♣Q,♣6 | Pair
♣4,♠T,♦Q,♣Q,♠9 | Pair
♣4,♠T,♦Q,♣Q,♦K | Pair
♣4,♠T,♦Q,♣Q,♦3 | Pair
♣4,♦6,♦Q,♣8,♣Q | Pair
♣4,♦6,♦Q,♣8,♣6 | Pair
♣4,♦6,♦Q,♣Q,♣7 | Pair
♣4,♦6,♦Q,♣Q,♣6 | Two Pairs
♣4,♦6,♦Q,♣Q,♠9 | Pair
♣4,♦6,♦Q,♣Q,♦K | Pair
♣4,♦6,♦Q,♣Q,♦3 | Pair
♣4,♦6,♦Q,♣7,♣6 | Pair
♣4,♦6,♦Q,♣6,♠9 | Pair
♣4,♦6,♦Q,♣6,♦K | Pair
♣4,♦6,♦Q,♣6,♦3 | Pair
♣4,♦6,♣8,♣Q,♣6 | Pair
♣4,♦6,♣8,♣7,♣6 | Pair
♣4,♦6,♣8,♣6,♠9 | Pair
♣4,♦6,♣8,♣6,♦K | Pair
♣4,♦6,♣8,♣6,♦3 | Pair
♣4,♦6,♣Q,♣7,♣6 | Pair
♣4,♦6,♣Q,♣6,♠9 | Pair
♣4,♦6,♣Q,♣6,♦K | Pair
♣4,♦6,♣Q,♣6,♦3 | Pair
♣4,♦6,♣7,♣6,♠9 | Pair
♣4,♦6,♣7,♣6,♦K | Pair
♣4,♦6,♣7,♣6,♦3 | Pair
♣4,♦6,♣6,♠9,♦K | Pair
♣4,♦6,♣6,♠9,♦3 | Pair
♣4,♦6,♣6,♦K,♦3 | Pair
♣4,♦Q,♣8,♣Q,♣7 | Pair
♣4,♦Q,♣8,♣Q,♣6 | Pair
♣4,♦Q,♣8,♣Q,♠9 | Pair
♣4,♦Q,♣8,♣Q,♦K | Pair
♣4,♦Q,♣8,♣Q,♦3 | Pair
♣4,♦Q,♣Q,♣7,♣6 | Pair
♣4,♦Q,♣Q,♣7,♠9 | Pair
♣4,♦Q,♣Q,♣7,♦K | Pair
♣4,♦Q,♣Q,♣7,♦3 | Pair
♣4,♦Q,♣Q,♣6,♠9 | Pair
