♦Q,♥Q,♣J,♥10,♥5 | Pair
♦Q,♥Q,♣J,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♣J,♣J,♣4 | Four Of A Kind
♦Q,♥Q,♣J,♣J,♦3 | Pair
♦Q,♥Q,♣J,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♣J,♣J,♦3 | Four Of A Kind
♦Q,♥Q,♣J,♣J,♥Q | Pair
♦Q,♥Q,♣J,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♣J,♣4,♦3 | Pair
♦Q,♥Q,♣J,♣4,♦3 | Three Of A Kind
♦Q,♥Q,♣J,♣4,♥Q | Pair
♦Q,♥Q,♣J,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♣4,♥Q | Four Of A Kind
♦Q,♥Q,♣J,♦3,♥Q | Pair
♦Q,♥Q,♣J,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♦3,♥Q | Four Of A Kind
♦Q,♥Q,♥10,♥5,♦10 | Pair
♦Q,♥Q,♥10,♥5,♦10 | Pair
♦Q,♥Q,♥10,♥5,♠A | Pair
♦Q,♥Q,♥10,♥5,♠A | Three Of A Kind
♦Q,♥Q,♥10,♥5,♦10 | Pair
♦Q,♥Q,♥10,♥5,♦10 | Pair
♦Q,♥Q,♥10,♥5,♣J | Pair
♦Q,♥Q,♥10,♥5,♣J | Three Of A Kind
♦Q,♥Q,♥10,♥5,♣J | Pair
♦Q,♥Q,♥10,♥5,♣J | Three Of A Kind
♦Q,♥Q,♥10,♥5,♣4 | Pair
♦Q,♥Q,♥10,♥5,♦3 | Pair
♦Q,♥Q,♥10,♥5,♥Q | Pair
♦Q,♥Q,♥10,♥5,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♦10,♠A | Pair
♦Q,♥Q,♥10,♦10,♠A | Three Of A Kind
♦Q,♥Q,♥10,♦10,♠A | Pair
♦Q,♥Q,♥10,♦10,♦10 | Pair
♦Q,♥Q,♥10,♦10,♦10 | Pair
♦Q,♥Q,♥10,♦10,♦10 | Three Of A Kind
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥10,♦10,♣4 | Pair
♦Q,♥Q,♥10,♦10,♣4 | Pair
♦Q,♥Q,♥10,♦10,♦3 | Pair
♦Q,♥Q,♥10,♦10,♦3 | Pair
♦Q,♥Q,♥10,♦10,♥Q | Pair
♦Q,♥Q,♥10,♦10,♥Q | Pair
♦Q,♥Q,♥10,♦10,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♠A,♦10 | Pair
♦Q,♥Q,♥10,♠A,♦10 | Three Of A Kind
♦Q,♥Q,♥10,♠A,♦10 | Pair
♦Q,♥Q,♥10,♠A,♣J | Pair
♦Q,♥Q,♥10,♠A,♣J | Three Of A Kind
♦Q,♥Q,♥10,♠A,♣J | Four Of A Kind
♦Q,♥Q,♥10,♠A,♣J | Pair
♦Q,♥Q,♥10,♠A,♣J | Three Of A Kind
♦Q,♥Q,♥10,♠A,♣J | Four Of A Kind
♦Q,♥Q,♥10,♠A,♣4 | Pair
♦Q,♥Q,♥10,♠A,♣4 | Three Of A Kind
♦Q,♥Q,♥10,♠A,♦3 | Pair
♦Q,♥Q,♥10,♠A,♦3 | Three Of A Kind
♦Q,♥Q,♥10,♠A,♥Q | Pair
♦Q,♥Q,♥10,♠A,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♠A,♥Q | Four Of A Kind
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥10,♦10,♣J | Pair
♦Q,♥Q,♥10,♦10,♣4 | Pair
♦Q,♥Q,♥10,♦10,♣4 | Pair
♦Q,♥Q,♥10,♦10,♦3 | Pair
♦Q,♥Q,♥10,♦10,♦3 | Pair
♦Q,♥Q,♥10,♦10,♥Q | Pair
♦Q,♥Q,♥10,♦10,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♦10,♥Q | Pair
♦Q,♥Q,♥10,♣J,♣J | Pair
♦Q,♥Q,♥10,♣J,♣J | Three Of A Kind
♦Q,♥Q,♥10,♣J,♣J | Four Of A Kind
♦Q,♥Q,♥10,♣J,♣4 | Pair
♦Q,♥Q,♥10,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♥10,♣J,♦3 | Pair
♦Q,♥Q,♥10,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♥10,♣J,♥Q | Pair
♦Q,♥Q,♥10,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♥10,♣J,♣4 | Pair
♦Q,♥Q,♥10,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♥10,♣J,♦3 | Pair
♦Q,♥Q,♥10,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♥10,♣J,♥Q | Pair
♦Q,♥Q,♥10,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♥10,♣4,♦3 | Pair
♦Q,♥Q,♥10,♣4,♥Q | Pair
♦Q,♥Q,♥10,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♥10,♦3,♥Q | Pair
♦Q,♥Q,♥10,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♦10,♠A | Pair
♦Q,♥Q,♥5,♦10,♠A | Three Of A Kind
♦Q,♥Q,♥5,♦10,♦10 | Pair
♦Q,♥Q,♥5,♦10,♦10 | Pair
♦Q,♥Q,♥5,♦10,♣J | Pair
♦Q,♥Q,♥5,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥5,♦10,♣J | Pair
♦Q,♥Q,♥5,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥5,♦10,♣4 | Pair
♦Q,♥Q,♥5,♦10,♦3 | Pair
♦Q,♥Q,♥5,♦10,♥Q | Pair
♦Q,♥Q,♥5,♦10,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♠A,♦10 | Pair
♦Q,♥Q,♥5,♠A,♦10 | Three Of A Kind
♦Q,♥Q,♥5,♠A,♣J | Pair
♦Q,♥Q,♥5,♠A,♣J | Three Of A Kind
♦Q,♥Q,♥5,♠A,♣J | Four Of A Kind
♦Q,♥Q,♥5,♠A,♣J | Pair
♦Q,♥Q,♥5,♠A,♣J | Three Of A Kind
♦Q,♥Q,♥5,♠A,♣J | Four Of A Kind
♦Q,♥Q,♥5,♠A,♣4 | Pair
♦Q,♥Q,♥5,♠A,♣4 | Three Of A Kind
♦Q,♥Q,♥5,♠A,♦3 | Pair
♦Q,♥Q,♥5,♠A,♦3 | Three Of A Kind
♦Q,♥Q,♥5,♠A,♥Q | Pair
♦Q,♥Q,♥5,♠A,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♠A,♥Q | Four Of A Kind
♦Q,♥Q,♥5,♦10,♣J | Pair
♦Q,♥Q,♥5,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥5,♦10,♣J | Pair
♦Q,♥Q,♥5,♦10,♣J | Three Of A Kind
♦Q,♥Q,♥5,♦10,♣4 | Pair
♦Q,♥Q,♥5,♦10,♦3 | Pair
♦Q,♥Q,♥5,♦10,♥Q | Pair
♦Q,♥Q,♥5,♦10,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♣J,♣J | Pair
♦Q,♥Q,♥5,♣J,♣J | Three Of A Kind
♦Q,♥Q,♥5,♣J,♣J | Four Of A Kind
♦Q,♥Q,♥5,♣J,♣4 | Pair
♦Q,♥Q,♥5,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♥5,♣J,♦3 | Pair
♦Q,♥Q,♥5,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♥5,♣J,♥Q | Pair
♦Q,♥Q,♥5,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♥5,♣J,♣4 | Pair
♦Q,♥Q,♥5,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♥5,♣J,♦3 | Pair
♦Q,♥Q,♥5,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♥5,♣J,♥Q | Pair
♦Q,♥Q,♥5,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♥5,♣4,♦3 | Pair
♦Q,♥Q,♥5,♣4,♥Q | Pair
♦Q,♥Q,♥5,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♥5,♦3,♥Q | Pair
♦Q,♥Q,♥5,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♠A,♦10 | Pair
♦Q,♥Q,♦10,♠A,♦10 | Three Of A Kind
♦Q,♥Q,♦10,♠A,♦10 | Pair
♦Q,♥Q,♦10,♠A,♣J | Pair
♦Q,♥Q,♦10,♠A,♣J | Three Of A Kind
♦Q,♥Q,♦10,♠A,♣J | Four Of A Kind
♦Q,♥Q,♦10,♠A,♣J | Pair
♦Q,♥Q,♦10,♠A,♣J | Three Of A Kind
♦Q,♥Q,♦10,♠A,♣J | Four Of A Kind
♦Q,♥Q,♦10,♠A,♣4 | Pair
♦Q,♥Q,♦10,♠A,♣4 | Three Of A Kind
♦Q,♥Q,♦10,♠A,♦3 | Pair
♦Q,♥Q,♦10,♠A,♦3 | Three Of A Kind
♦Q,♥Q,♦10,♠A,♥Q | Pair
♦Q,♥Q,♦10,♠A,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♠A,♥Q | Four Of A Kind
♦Q,♥Q,♦10,♦10,♣J | Pair
♦Q,♥Q,♦10,♦10,♣J | Three Of A Kind
♦Q,♥Q,♦10,♦10,♣J | Pair
♦Q,♥Q,♦10,♦10,♣J | Pair
♦Q,♥Q,♦10,♦10,♣J | Three Of A Kind
♦Q,♥Q,♦10,♦10,♣J | Pair
♦Q,♥Q,♦10,♦10,♣4 | Pair
♦Q,♥Q,♦10,♦10,♣4 | Pair
♦Q,♥Q,♦10,♦10,♦3 | Pair
♦Q,♥Q,♦10,♦10,♦3 | Pair
♦Q,♥Q,♦10,♦10,♥Q | Pair
♦Q,♥Q,♦10,♦10,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♦10,♥Q | Pair
♦Q,♥Q,♦10,♣J,♣J | Pair
♦Q,♥Q,♦10,♣J,♣J | Three Of A Kind
♦Q,♥Q,♦10,♣J,♣J | Four Of A Kind
♦Q,♥Q,♦10,♣J,♣4 | Pair
♦Q,♥Q,♦10,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♦3 | Pair
♦Q,♥Q,♦10,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Pair
♦Q,♥Q,♦10,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♦10,♣J,♣4 | Pair
♦Q,♥Q,♦10,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♦3 | Pair
♦Q,♥Q,♦10,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Pair
♦Q,♥Q,♦10,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♦10,♣4,♦3 | Pair
♦Q,♥Q,♦10,♣4,♥Q | Pair
♦Q,♥Q,♦10,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♦3,♥Q | Pair
♦Q,♥Q,♦10,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♠A,♦10,♣J | Pair
♦Q,♥Q,♠A,♦10,♣J | Three Of A Kind
♦Q,♥Q,♠A,♦10,♣J | Four Of A Kind
♦Q,♥Q,♠A,♦10,♣J | Pair
♦Q,♥Q,♠A,♦10,♣J | Three Of A Kind
♦Q,♥Q,♠A,♦10,♣J | Four Of A Kind
♦Q,♥Q,♠A,♦10,♣4 | Pair
♦Q,♥Q,♠A,♦10,♣4 | Three Of A Kind
♦Q,♥Q,♠A,♦10,♦3 | Pair
♦Q,♥Q,♠A,♦10,♦3 | Three Of A Kind
♦Q,♥Q,♠A,♦10,♥Q | Pair
♦Q,♥Q,♠A,♦10,♥Q | Three Of A Kind
♦Q,♥Q,♠A,♦10,♥Q | Four Of A Kind
♦Q,♥Q,♠A,♣J,♣J | Pair
♦Q,♥Q,♠A,♣J,♣J | Three Of A Kind
♦Q,♥Q,♠A,♣J,♣J | Four Of A Kind
♦Q,♥Q,♠A,♣J,♣4 | Pair
♦Q,♥Q,♠A,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♠A,♣J,♣4 | Four Of A Kind
♦Q,♥Q,♠A,♣J,♦3 | Pair
♦Q,♥Q,♠A,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♠A,♣J,♦3 | Four Of A Kind
♦Q,♥Q,♠A,♣J,♥Q | Pair
♦Q,♥Q,♠A,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♠A,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♠A,♣J,♣4 | Pair
♦Q,♥Q,♠A,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♠A,♣J,♣4 | Four Of A Kind
♦Q,♥Q,♠A,♣J,♦3 | Pair
♦Q,♥Q,♠A,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♠A,♣J,♦3 | Four Of A Kind
♦Q,♥Q,♠A,♣J,♥Q | Pair
♦Q,♥Q,♠A,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♠A,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♠A,♣4,♦3 | Pair
♦Q,♥Q,♠A,♣4,♦3 | Three Of A Kind
♦Q,♥Q,♠A,♣4,♥Q | Pair
♦Q,♥Q,♠A,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♠A,♣4,♥Q | Four Of A Kind
♦Q,♥Q,♠A,♦3,♥Q | Pair
♦Q,♥Q,♠A,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♠A,♦3,♥Q | Four Of A Kind
♦Q,♥Q,♦10,♣J,♣J | Pair
♦Q,♥Q,♦10,♣J,♣J | Three Of A Kind
♦Q,♥Q,♦10,♣J,♣J | Four Of A Kind
♦Q,♥Q,♦10,♣J,♣4 | Pair
♦Q,♥Q,♦10,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♦3 | Pair
♦Q,♥Q,♦10,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Pair
♦Q,♥Q,♦10,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♦10,♣J,♣4 | Pair
♦Q,♥Q,♦10,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♦3 | Pair
♦Q,♥Q,♦10,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Pair
♦Q,♥Q,♦10,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♦10,♣4,♦3 | Pair
♦Q,♥Q,♦10,♣4,♥Q | Pair
♦Q,♥Q,♦10,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♦10,♦3,♥Q | Pair
♦Q,♥Q,♦10,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♣J,♣4 | Pair
♦Q,♥Q,♣J,♣J,♣4 | Three Of A Kind
♦Q,♥Q,♣J,♣J,♣4 | Four Of A Kind
♦Q,♥Q,♣J,♣J,♦3 | Pair
♦Q,♥Q,♣J,♣J,♦3 | Three Of A Kind
♦Q,♥Q,♣J,♣J,♦3 | Four Of A Kind
♦Q,♥Q,♣J,♣J,♥Q | Pair
♦Q,♥Q,♣J,♣J,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♣J,♥Q | Four Of A Kind
♦Q,♥Q,♣J,♣4,♦3 | Pair
♦Q,♥Q,♣J,♣4,♦3 | Three Of A Kind
♦Q,♥Q,♣J,♣4,♥Q | Pair
♦Q,♥Q,♣J,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♣4,♥Q | Four Of A Kind
♦Q,♥Q,♣J,♦3,♥Q | Pair
♦Q,♥Q,♣J,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♦3,♥Q | Four Of A Kind
♦Q,♥Q,♣J,♣4,♦3 | Pair
♦Q,♥Q,♣J,♣4,♦3 | Three Of A Kind
♦Q,♥Q,♣J,♣4,♥Q | Pair
♦Q,♥Q,♣J,♣4,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♣4,♥Q | Four Of A Kind
♦Q,♥Q,♣J,♦3,♥Q | Pair
♦Q,♥Q,♣J,♦3,♥Q | Three Of A Kind
♦Q,♥Q,♣J,♦3,♥Q | Four Of A Kind
♦Q,♥Q,♣4,♦3,♥Q | Pair
♦Q,♥Q,♣4,♦3,♥Q | Three Of A Kind
♦Q,♣J,♥10,♥5,♦10 | Pair
♦Q,♣J,♥10,♥5,♦10 | Pair
♦Q,♣J,♥10,♥5,♠A | Pair
♦Q,♣J,♥10,♥5,♠A | Three Of A Kind
♦Q,♣J,♥10,♥5,♦10 | Pair
♦Q,♣J,♥10,♥5,♦10 | Pair
♦Q,♣J,♥10,♥5,♣J | Pair
♦Q,♣J,♥10,♥5,♣J | Three Of A Kind
♦Q,♣J,♥10,♥5,♣J | Pair
♦Q,♣J,♥10,♥5,♣J | Three Of A Kind
♦Q,♣J,♥10,♥5,♣4 | Pair
♦Q,♣J,♥10,♥5,♦3 | Pair
♦Q,♣J,♥10,♥5,♥Q | Pair
♦Q,♣J,♥10,♥5,♥Q | Three Of A Kind
♦Q,♣J,♥10,♦10,♠A | Pair
♦Q,♣J,♥10,♦10,♠A | Three Of A Kind
♦Q,♣J,♥10,♦10,♠A | Pair
♦Q,♣J,♥10,♦10,♦10 | Pair
♦Q,♣J,♥10,♦10,♦10 | Pair
♦Q,♣J,♥10,♦10,♦10 | Three Of A Kind
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣J | Three Of A Kind
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣J | Three Of A Kind
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣4 | Pair
♦Q,♣J,♥10,♦10,♣4 | Pair
♦Q,♣J,♥10,♦10,♦3 | Pair
♦Q,♣J,♥10,♦10,♦3 | Pair
♦Q,♣J,♥10,♦10,♥Q | Pair
♦Q,♣J,♥10,♦10,♥Q | Three Of A Kind
♦Q,♣J,♥10,♦10,♥Q | Pair
♦Q,♣J,♥10,♠A,♦10 | Pair
♦Q,♣J,♥10,♠A,♦10 | Three Of A Kind
♦Q,♣J,♥10,♠A,♦10 | Pair
♦Q,♣J,♥10,♠A,♣J | Pair
♦Q,♣J,♥10,♠A,♣J | Three Of A Kind
♦Q,♣J,♥10,♠A,♣J | Four Of A Kind
♦Q,♣J,♥10,♠A,♣J | Pair
♦Q,♣J,♥10,♠A,♣J | Three Of A Kind
♦Q,♣J,♥10,♠A,♣J | Four Of A Kind
♦Q,♣J,♥10,♠A,♣4 | Pair
♦Q,♣J,♥10,♠A,♣4 | Three Of A Kind
♦Q,♣J,♥10,♠A,♦3 | Pair
♦Q,♣J,♥10,♠A,♦3 | Three Of A Kind
♦Q,♣J,♥10,♠A,♥Q | Pair
♦Q,♣J,♥10,♠A,♥Q | Three Of A Kind
♦Q,♣J,♥10,♠A,♥Q | Four Of A Kind
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣J | Three Of A Kind
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣J | Three Of A Kind
♦Q,♣J,♥10,♦10,♣J | Pair
♦Q,♣J,♥10,♦10,♣4 | Pair
♦Q,♣J,♥10,♦10,♣4 | Pair
♦Q,♣J,♥10,♦10,♦3 | Pair
♦Q,♣J,♥10,♦10,♦3 | Pair
♦Q,♣J,♥10,♦10,♥Q | Pair
♦Q,♣J,♥10,♦10,♥Q | Three Of A Kind
♦Q,♣J,♥10,♦10,♥Q | Pair
♦Q,♣J,♥10,♣J,♣J | Pair
♦Q,♣J,♥10,♣J,♣J | Three Of A Kind
♦Q,♣J,♥10,♣J,♣J | Four Of A Kind
♦Q,♣J,♥10,♣J,♣4 | Pair
♦Q,♣J,♥10,♣J,♣4 | Three Of A Kind
♦Q,♣J,♥10,♣J,♦3 | Pair
♦Q,♣J,♥10,♣J,♦3 | Three Of A Kind
♦Q,♣J,♥10,♣J,♥Q | Pair
♦Q,♣J,♥10,♣J,♥Q | Three Of A Kind
♦Q,♣J,♥10,♣J,♥Q | Four Of A Kind
♦Q,♣J,♥10,♣J,♣4 | Pair
♦Q,♣J,♥10,♣J,♣4 | Three Of A Kind
