♦8,♥4,♠4,♦9,♦7 | Pair
♦8,♥4,♦7,♥7,♠K | Pair
♦8,♥4,♦7,♥7,♥2 | Pair
♦8,♥4,♦7,♥7,♥K | Pair
♦8,♥4,♦7,♥7,♠2 | Pair
♦8,♥4,♦7,♥7,♦K | Pair
♦8,♥4,♦7,♠K,♥K | Pair
♦8,♥4,♦7,♠K,♦K | Pair
♦8,♥4,♦7,♥2,♠2 | Pair
♦8,♥4,♦7,♥K,♦K | Pair
♦8,♥4,♥7,♠K,♥K | Pair
♦8,♥4,♥7,♠K,♦K | Pair
♦8,♥4,♥7,♥2,♠2 | Pair
♦8,♥4,♥7,♥K,♦K | Pair
♦8,♥4,♣T,♠K,♥K | Pair
♦8,♥4,♣T,♠K,♦K | Pair
♦8,♥4,♣T,♥2,♠2 | Pair
♦8,♥4,♣T,♥K,♦K | Pair
♦8,♥4,♠K,♥2,♥K | Pair
♦8,♥4,♠K,♥2,♠2 | Pair
♦8,♥4,♠K,♥2,♦K | Pair
♦8,♥4,♠K,♥K,♠2 | Pair
♦8,♥4,♠K,♥K,♦K | Full House
♦8,♥4,♠K,♠2,♦K | Pair
♦8,♥4,♥2,♥K,♠2 | Pair
♦8,♥4,♥2,♥K,♦K | Pair
♦8,♥4,♥2,♠2,♦K | Pair
♦8,♥4,♥K,♠2,♦K | Pair
♦8,♠4,♦9,♦7,♥7 | Pair
♦8,♠4,♦9,♠K,♥K | Pair
♦8,♠4,♦9,♠K,♦K | Pair
♦8,♠4,♦9,♥2,♠2 | Pair
♦8,♠4,♦9,♥K,♦K | Pair
♦8,♠4,♦7,♥7,♣T | Pair
♦8,♠4,♦7,♥7,♠K | Pair
♦8,♠4,♦7,♥7,♥2 | Pair
♦8,♠4,♦7,♥7,♥K | Pair
♦8,♠4,♦7,♥7,♠2 | Pair
♦8,♠4,♦7,♥7,♦K | Pair
♦8,♠4,♦7,♠K,♥K | Pair
♦8,♠4,♦7,♠K,♦K | Pair
♦8,♠4,♦7,♥2,♠2 | Pair
♦8,♠4,♦7,♥K,♦K | Pair
♦8,♠4,♥7,♠K,♥K | Pair
♦8,♠4,♥7,♠K,♦K | Pair
♦8,♠4,♥7,♥2,♠2 | Pair
♦8,♠4,♥7,♥K,♦K | Pair
♦8,♠4,♣T,♠K,♥K | Pair
♦8,♠4,♣T,♠K,♦K | Pair
♦8,♠4,♣T,♥2,♠2 | Pair
♦8,♠4,♣T,♥K,♦K | Pair
♦8,♠4,♠K,♥2,♥K | Pair
♦8,♠4,♠K,♥2,♠2 | Pair
♦8,♠4,♠K,♥2,♦K | Pair
♦8,♠4,♠K,♥K,♠2 | Pair
♦8,♠4,♠K,♥K,♦K | Full House
♦8,♠4,♠K,♠2,♦K | Pair
♦8,♠4,♥2,♥K,♠2 | Pair
♦8,♠4,♥2,♥K,♦K | Pair
♦8,♠4,♥2,♠2,♦K | Pair
♦8,♠4,♥K,♠2,♦K | Pair
♦8,♦9,♦7,♥7,♣T | Pair
♦8,♦9,♦7,♥7,♠K | Pair
♦8,♦9,♦7,♥7,♥2 | Pair
♦8,♦9,♦7,♥7,♥K | Pair
♦8,♦9,♦7,♥7,♠2 | Pair
♦8,♦9,♦7,♥7,♦K | Pair
♦8,♦9,♦7,♠K,♥K | Pair
♦8,♦9,♦7,♠K,♦K | Pair
♦8,♦9,♦7,♥2,♠2 | Pair
♦8,♦9,♦7,♥K,♦K | Pair
♦8,♦9,♥7,♠K,♥K | Pair
♦8,♦9,♥7,♠K,♦K | Pair
♦8,♦9,♥7,♥2,♠2 | Pair
♦8,♦9,♥7,♥K,♦K | Pair
♦8,♦9,♣T,♠K,♥K | Pair
♦8,♦9,♣T,♠K,♦K | Pair
♦8,♦9,♣T,♥2,♠2 | Pair
♦8,♦9,♣T,♥K,♦K | Pair
♦8,♦9,♠K,♥2,♥K | Pair
♦8,♦9,♠K,♥2,♠2 | Pair
♦8,♦9,♠K,♥2,♦K | Pair
♦8,♦9,♠K,♥K,♠2 | Pair
♦8,♦9,♠K,♥K,♦K | Full House
♦8,♦9,♠K,♠2,♦K | Pair
♦8,♦9,♥2,♥K,♠2 | Pair
♦8,♦9,♥2,♥K,♦K | Pair
♦8,♦9,♥2,♠2,♦K | Pair
♦8,♦9,♥K,♠2,♦K | Pair
♦8,♦7,♥7,♣T,♠K | Pair
♦8,♦7,♥7,♣T,♥2 | Pair
♦8,♦7,♥7,♣T,♥K | Pair
♦8,♦7,♥7,♣T,♠2 | Pair
♦8,♦7,♥7,♣T,♦K | Pair
♦8,♦7,♥7,♠K,♥2 | Pair
♦8,♦7,♥7,♠K,♥K | Two Pairs
♦8,♦7,♥7,♠K,♠2 | Pair
♦8,♦7,♥7,♠K,♦K | Two Pairs
♦8,♦7,♥7,♥2,♥K | Pair
♦8,♦7,♥7,♥2,♠2 | Two Pairs
♦8,♦7,♥7,♥2,♦K | Pair
♦8,♦7,♥7,♥K,♠2 | Pair
♦8,♦7,♥7,♥K,♦K | Two Pairs
♦8,♦7,♥7,♠2,♦K | Pair
♦8,♦7,♣T,♠K,♥K | Pair
♦8,♦7,♣T,♠K,♦K | Pair
♦8,♦7,♣T,♥2,♠2 | Pair
♦8,♦7,♣T,♥K,♦K | Pair
♦8,♦7,♠K,♥2,♥K | Pair
♦8,♦7,♠K,♥2,♠2 | Pair
♦8,♦7,♠K,♥2,♦K | Pair
♦8,♦7,♠K,♥K,♠2 | Pair
♦8,♦7,♠K,♥K,♦K | Full House
♦8,♦7,♠K,♠2,♦K | Pair
♦8,♦7,♥2,♥K,♠2 | Pair
♦8,♦7,♥2,♥K,♦K | Pair
♦8,♦7,♥2,♠2,♦K | Pair
♦8,♦7,♥K,♠2,♦K | Pair
♦8,♥7,♣T,♠K,♥K | Pair
♦8,♥7,♣T,♠K,♦K | Pair
♦8,♥7,♣T,♥2,♠2 | Pair
♦8,♥7,♣T,♥K,♦K | Pair
♦8,♥7,♠K,♥2,♥K | Pair
♦8,♥7,♠K,♥2,♠2 | Pair
♦8,♥7,♠K,♥2,♦K | Pair
♦8,♥7,♠K,♥K,♠2 | Pair
♦8,♥7,♠K,♥K,♦K | Full House
♦8,♥7,♠K,♠2,♦K | Pair
♦8,♥7,♥2,♥K,♠2 | Pair
♦8,♥7,♥2,♥K,♦K | Pair
♦8,♥7,♥2,♠2,♦K | Pair
♦8,♥7,♥K,♠2,♦K | Pair
♦8,♣T,♠K,♥2,♥K | Pair
♦8,♣T,♠K,♥2,♠2 | Pair
♦8,♣T,♠K,♥2,♦K | Pair
♦8,♣T,♠K,♥K,♠2 | Pair
♦8,♣T,♠K,♥K,♦K | Full House
♦8,♣T,♠K,♠2,♦K | Pair
♦8,♣T,♥2,♥K,♠2 | Pair
♦8,♣T,♥2,♥K,♦K | Pair
♦8,♣T,♥2,♠2,♦K | Pair
♦8,♣T,♥K,♠2,♦K | Pair
♦8,♠K,♥2,♥K,♠2 | Two Pairs
♦8,♠K,♥2,♥K,♦K | Full House
♦8,♠K,♥2,♠2,♦K | Two Pairs
♦8,♠K,♥K,♠2,♦K | Full House
♦8,♥2,♥K,♠2,♦K | Two Pairs
♥4,♠4,♦9,♦7,♥7 | Two Pairs
♥4,♠4,♦9,♦7,♣T | Pair
♥4,♠4,♦9,♦7,♠K | Pair
♥4,♠4,♦9,♦7,♥2 | Pair
♥4,♠4,♦9,♦7,♥K | Pair
♥4,♠4,♦9,♦7,♠2 | Pair
♥4,♠4,♦9,♦7,♦K | Pair
♥4,♠4,♦9,♥7,♣T | Pair
♥4,♠4,♦9,♥7,♠K | Pair
♥4,♠4,♦9,♥7,♥2 | Pair
♥4,♠4,♦9,♥7,♥K | Pair
♥4,♠4,♦9,♥7,♠2 | Pair
♥4,♠4,♦9,♥7,♦K | Pair
♥4,♠4,♦9,♣T,♠K | Pair
♥4,♠4,♦9,♣T,♥2 | Pair
♥4,♠4,♦9,♣T,♥K | Pair
♥4,♠4,♦9,♣T,♠2 | Pair
♥4,♠4,♦9,♣T,♦K | Pair
♥4,♠4,♦9,♠K,♥2 | Pair
♥4,♠4,♦9,♠K,♥K | Two Pairs
♥4,♠4,♦9,♠K,♠2 | Pair
♥4,♠4,♦9,♠K,♦K | Two Pairs
♥4,♠4,♦9,♥2,♥K | Pair
♥4,♠4,♦9,♥2,♠2 | Two Pairs
♥4,♠4,♦9,♥2,♦K | Pair
♥4,♠4,♦9,♥K,♠2 | Pair
♥4,♠4,♦9,♥K,♦K | Two Pairs
♥4,♠4,♦9,♠2,♦K | Pair
♥4,♠4,♦7,♥7,♣T | Two Pairs
♥4,♠4,♦7,♥7,♠K | Two Pairs
♥4,♠4,♦7,♥7,♥2 | Two Pairs
♥4,♠4,♦7,♥7,♥K | Two Pairs
♥4,♠4,♦7,♥7,♠2 | Two Pairs
♥4,♠4,♦7,♥7,♦K | Two Pairs
♥4,♠4,♦7,♣T,♠K | Pair
♥4,♠4,♦7,♣T,♥2 | Pair
♥4,♠4,♦7,♣T,♥K | Pair
♥4,♠4,♦7,♣T,♠2 | Pair
♥4,♠4,♦7,♣T,♦K | Pair
♥4,♠4,♦7,♠K,♥2 | Pair
♥4,♠4,♦7,♠K,♥K | Two Pairs
♥4,♠4,♦7,♠K,♠2 | Pair
♥4,♠4,♦7,♠K,♦K | Two Pairs
♥4,♠4,♦7,♥2,♥K | Pair
♥4,♠4,♦7,♥2,♠2 | Two Pairs
♥4,♠4,♦7,♥2,♦K | Pair
♥4,♠4,♦7,♥K,♠2 | Pair
♥4,♠4,♦7,♥K,♦K | Two Pairs
♥4,♠4,♦7,♠2,♦K | Pair
♥4,♠4,♥7,♣T,♠K | Pair
♥4,♠4,♥7,♣T,♥2 | Pair
♥4,♠4,♥7,♣T,♥K | Pair
♥4,♠4,♥7,♣T,♠2 | Pair
♥4,♠4,♥7,♣T,♦K | Pair
♥4,♠4,♥7,♠K,♥2 | Pair
♥4,♠4,♥7,♠K,♥K | Two Pairs
♥4,♠4,♥7,♠K,♠2 | Pair
♥4,♠4,♥7,♠K,♦K | Two Pairs
♥4,♠4,♥7,♥2,♥K | Pair
♥4,♠4,♥7,♥2,♠2 | Two Pairs
♥4,♠4,♥7,♥2,♦K | Pair
♥4,♠4,♥7,♥K,♠2 | Pair
♥4,♠4,♥7,♥K,♦K | Two Pairs
♥4,♠4,♥7,♠2,♦K | Pair
♥4,♠4,♣T,♠K,♥2 | Pair
♥4,♠4,♣T,♠K,♥K | Two Pairs
♥4,♠4,♣T,♠K,♠2 | Pair
♥4,♠4,♣T,♠K,♦K | Two Pairs
♥4,♠4,♣T,♥2,♥K | Pair
♥4,♠4,♣T,♥2,♠2 | Two Pairs
♥4,♠4,♣T,♥2,♦K | Pair
♥4,♠4,♣T,♥K,♠2 | Pair
♥4,♠4,♣T,♥K,♦K | Two Pairs
♥4,♠4,♣T,♠2,♦K | Pair
♥4,♠4,♠K,♥2,♥K | Two Pairs
♥4,♠4,♠K,♥2,♠2 | Two Pairs
♥4,♠4,♠K,♥2,♦K | Two Pairs
♥4,♠4,♠K,♥K,♠2 | Two Pairs
♥4,♠4,♠K,♥K,♦K | Full House
♥4,♠4,♠K,♠2,♦K | Two Pairs
♥4,♠4,♥2,♥K,♠2 | Two Pairs
♥4,♠4,♥2,♥K,♦K | Two Pairs
♥4,♠4,♥2,♠2,♦K | Two Pairs
♥4,♠4,♥K,♠2,♦K | Two Pairs
♥4,♦9,♦7,♥7,♣T | Pair
♥4,♦9,♦7,♥7,♠K | Pair
♥4,♦9,♦7,♥7,♥2 | Pair
♥4,♦9,♦7,♥7,♥K | Pair
♥4,♦9,♦7,♥7,♠2 | Pair
♥4,♦9,♦7,♥7,♦K | Pair
♥4,♦9,♦7,♠K,♥K | Pair
♥4,♦9,♦7,♠K,♦K | Pair
♥4,♦9,♦7,♥2,♠2 | Pair
♥4,♦9,♦7,♥K,♦K | Pair
♥4,♦9,♥7,♠K,♥K | Pair
♥4,♦9,♥7,♠K,♦K | Pair
♥4,♦9,♥7,♥2,♠2 | Pair
♥4,♦9,♥7,♥K,♦K | Pair
♥4,♦9,♣T,♠K,♥K | Pair
♥4,♦9,♣T,♠K,♦K | Pair
♥4,♦9,♣T,♥2,♠2 | Pair
♥4,♦9,♣T,♥K,♦K | Pair
♥4,♦9,♠K,♥2,♥K | Pair
♥4,♦9,♠K,♥2,♠2 | Pair
♥4,♦9,♠K,♥2,♦K | Pair
♥4,♦9,♠K,♥K,♠2 | Pair
♥4,♦9,♠K,♥K,♦K | Full House
♥4,♦9,♠K,♠2,♦K | Pair
♥4,♦9,♥2,♥K,♠2 | Pair
♥4,♦9,♥2,♥K,♦K | Pair
♥4,♦9,♥2,♠2,♦K | Pair
♥4,♦9,♥K,♠2,♦K | Pair
♥4,♦7,♥7,♣T,♠K | Pair
♥4,♦7,♥7,♣T,♥2 | Pair
♥4,♦7,♥7,♣T,♥K | Pair
♥4,♦7,♥7,♣T,♠2 | Pair
♥4,♦7,♥7,♣T,♦K | Pair
♥4,♦7,♥7,♠K,♥2 | Pair
♥4,♦7,♥7,♠K,♥K | Two Pairs
♥4,♦7,♥7,♠K,♠2 | Pair
♥4,♦7,♥7,♠K,♦K | Two Pairs
♥4,♦7,♥7,♥2,♥K | Pair
♥4,♦7,♥7,♥2,♠2 | Two Pairs
♥4,♦7,♥7,♥2,♦K | Pair
♥4,♦7,♥7,♥K,♠2 | Pair
♥4,♦7,♥7,♥K,♦K | Two Pairs
♥4,♦7,♥7,♠2,♦K | Pair
♥4,♦7,♣T,♠K,♥K | Pair
♥4,♦7,♣T,♠K,♦K | Pair
♥4,♦7,♣T,♥2,♠2 | Pair
♥4,♦7,♣T,♥K,♦K | Pair
♥4,♦7,♠K,♥2,♥K | Pair
♥4,♦7,♠K,♥2,♠2 | Pair
♥4,♦7,♠K,♥2,♦K | Pair
♥4,♦7,♠K,♥K,♠2 | Pair
♥4,♦7,♠K,♥K,♦K | Full House
♥4,♦7,♠K,♠2,♦K | Pair
♥4,♦7,♥2,♥K,♠2 | Pair
♥4,♦7,♥2,♥K,♦K | Pair
♥4,♦7,♥2,♠2,♦K | Pair
♥4,♦7,♥K,♠2,♦K | Pair
♥4,♥7,♣T,♠K,♥K | Pair
♥4,♥7,♣T,♠K,♦K | Pair
♥4,♥7,♣T,♥2,♠2 | Pair
♥4,♥7,♣T,♥K,♦K | Pair
♥4,♥7,♠K,♥2,♥K | Pair
♥4,♥7,♠K,♥2,♠2 | Pair
♥4,♥7,♠K,♥2,♦K | Pair
♥4,♥7,♠K,♥K,♠2 | Pair
♥4,♥7,♠K,♥K,♦K | Full House
♥4,♥7,♠K,♠2,♦K | Pair
♥4,♥7,♥2,♥K,♠2 | Pair
♥4,♥7,♥2,♥K,♦K | Pair
♥4,♥7,♥2,♠2,♦K | Pair
♥4,♥7,♥K,♠2,♦K | Pair
♥4,♣T,♠K,♥2,♥K | Pair
♥4,♣T,♠K,♥2,♠2 | Pair
♥4,♣T,♠K,♥2,♦K | Pair
♥4,♣T,♠K,♥K,♠2 | Pair
♥4,♣T,♠K,♥K,♦K | Full House
♥4,♣T,♠K,♠2,♦K | Pair
♥4,♣T,♥2,♥K,♠2 | Pair
♥4,♣T,♥2,♥K,♦K | Pair
♥4,♣T,♥2,♠2,♦K | Pair
♥4,♣T,♥K,♠2,♦K | Pair
♥4,♠K,♥2,♥K,♠2 | Two Pairs
♥4,♠K,♥2,♥K,♦K | Full House
♥4,♠K,♥2,♠2,♦K | Two Pairs
♥4,♠K,♥K,♠2,♦K | Full House
♥4,♥2,♥K,♠2,♦K | Two Pairs
♠4,♦9,♦7,♥7,♣T | Pair
♠4,♦9,♦7,♥7,♠K | Pair
♠4,♦9,♦7,♥7,♥2 | Pair
♠4,♦9,♦7,♥7,♥K | Pair
♠4,♦9,♦7,♥7,♠2 | Pair
♠4,♦9,♦7,♥7,♦K | Pair
♠4,♦9,♦7,♠K,♥K | Pair
♠4,♦9,♦7,♠K,♦K | Pair
♠4,♦9,♦7,♥2,♠2 | Pair
♠4,♦9,♦7,♥K,♦K | Pair
♠4,♦9,♥7,♠K,♥K | Pair
♠4,♦9,♥7,♠K,♦K | Pair
♠4,♦9,♥7,♥2,♠2 | Pair
♠4,♦9,♥7,♥K,♦K | Pair
♠4,♦9,♣T,♠K,♥K | Pair
♠4,♦9,♣T,♠K,♦K | Pair
♠4,♦9,♣T,♥2,♠2 | Pair
♠4,♦9,♣T,♥K,♦K | Pair
♠4,♦9,♠K,♥2,♥K | Pair
♠4,♦9,♠K,♥2,♠2 | Pair
♠4,♦9,♠K,♥2,♦K | Pair
♠4,♦9,♠K,♥K,♠2 | Pair
♠4,♦9,♠K,♥K,♦K | Full House
♠4,♦9,♠K,♠2,♦K | Pair
♠4,♦9,♥2,♥K,♠2 | Pair
♠4,♦9,♥2,♥K,♦K | Pair
♠4,♦9,♥2,♠2,♦K | Pair
♠4,♦9,♥K,♠2,♦K | Pair
♠4,♦7,♥7,♣T,♠K | Pair
♠4,♦7,♥7,♣T,♥2 | Pair
♠4,♦7,♥7,♣T,♥K | Pair
♠4,♦7,♥7,♣T,♠2 | Pair
♠4,♦7,♥7,♣T,♦K | Pair
♠4,♦7,♥7,♠K,♥2 | Pair
♠4,♦7,♥7,♠K,♥K | Two Pairs
♠4,♦7,♥7,♠K,♠2 | Pair
♠4,♦7,♥7,♠K,♦K | Two Pairs
♠4,♦7,♥7,♥2,♥K | Pair
♠4,♦7,♥7,♥2,♠2 | Two Pairs
♠4,♦7,♥7,♥2,♦K | Pair
♠4,♦7,♥7,♥K,♠2 | Pair
♠4,♦7,♥7,♥K,♦K | Two Pairs
♠4,♦7,♥7,♠2,♦K | Pair
♠4,♦7,♣T,♠K,♥K | Pair
♠4,♦7,♣T,♠K,♦K | Pair
♠4,♦7,♣T,♥2,♠2 | Pair
♠4,♦7,♣T,♥K,♦K | Pair
♠4,♦7,♠K,♥2,♥K | Pair
♠4,♦7,♠K,♥2,♠2 | Pair
♠4,♦7,♠K,♥2,♦K | Pair
♠4,♦7,♠K,♥K,♠2 | Pair
♠4,♦7,♠K,♥K,♦K | Full House
♠4,♦7,♠K,♠2,♦K | Pair
♠4,♦7,♥2,♥K,♠2 | Pair
♠4,♦7,♥2,♥K,♦K | Pair
♠4,♦7,♥2,♠2,♦K | Pair
♠4,♦7,♥K,♠2,♦K | Pair
♠4,♥7,♣T,♠K,♥K | Pair
♠4,♥7,♣T,♠K,♦K | Pair
♠4,♥7,♣T,♥2,♠2 | Pair
♠4,♥7,♣T,♥K,♦K | Pair
♠4,♥7,♠K,♥2,♥K | Pair
♠4,♥7,♠K,♥2,♠2 | Pair
♠4,♥7,♠K,♥2,♦K | Pair
♠4,♥7,♠K,♥K,♠2 | Pair
♠4,♥7,♠K,♥K,♦K | Full House
♠4,♥7,♠K,♠2,♦K | Pair
♠4,♥7,♥2,♥K,♠2 | Pair
♠4,♥7,♥2,♥K,♦K | Pair
♠4,♥7,♥2,♠2,♦K | Pair
♠4,♥7,♥K,♠2,♦K | Pair
♠4,♣T,♠K,♥2,♥K | Pair
♠4,♣T,♠K,♥2,♠2 | Pair
♠4,♣T,♠K,♥2,♦K | Pair
♠4,♣T,♠K,♥K,♠2 | Pair
♠4,♣T,♠K,♥K,♦K | Full House
♠4,♣T,♠K,♠2,♦K | Pair
♠4,♣T,♥2,♥K,♠2 | Pair
♠4,♣T,♥2,♥K,♦K | Pair
♠4,♣T,♥2,♠2,♦K | Pair
♠4,♣T,♥K,♠2,♦K | Pair
♠4,♠K,♥2,♥K,♠2 | Two Pairs
♠4,♠K,♥2,♥K,♦K | Full House
♠4,♠K,♥2,♠2,♦K | Two Pairs
♠4,♠K,♥K,♠2,♦K | Full House
♠4,♥2,♥K,♠2,♦K | Two Pairs
♦9,♦7,♥7,♣T,♠K | Pair
♦9,♦7,♥7,♣T,♥2 | Pair
♦9,♦7,♥7,♣T,♥K | Pair
♦9,♦7,♥7,♣T,♠2 | Pair
♦9,♦7,♥7,♣T,♦K | Pair
♦9,♦7,♥7,♠K,♥2 | Pair
♦9,♦7,♥7,♠K,♥K | Two Pairs
♦9,♦7,♥7,♠K,♠2 | Pair
♦9,♦7,♥7,♠K,♦K | Two Pairs
♦9,♦7,♥7,♥2,♥K | Pair
♦9,♦7,♥7,♥2,♠2 | Two Pairs
♦9,♦7,♥7,♥2,♦K | Pair
♦9,♦7,♥7,♥K,♠2 | Pair
♦9,♦7,♥7,♥K,♦K | Two Pairs
♦9,♦7,♥7,♠2,♦K | Pair
♦9,♦7,♣T,♠K,♥K | Pair
♦9,♦7,♣T,♠K,♦K | Pair
♦9,♦7,♣T,♥2,♠2 | Pair
♦9,♦7,♣T,♥K,♦K | Pair
♦9,♦7,♠K,♥2,♥K | Pair
♦9,♦7,♠K,♥2,♠2 | Pair
♦9,♦7,♠K,♥2,♦K | Pair
♦9,♦7,♠K,♥K,♠2 | Pair
♦9,♦7,♠K,♥K,♦K | Full House
♦9,♦7,♠K,♠2,♦K | Pair
♦9,♦7,♥2,♥K,♠2 | Pair
♦9,♦7,♥2,♥K,♦K | Pair
♦9,♦7,♥2,♠2,♦K | Pair
♦9,♦7,♥K,♠2,♦K | Pair
♦9,♥7,♣T,♠K,♥K | Pair
♦9,♥7,♣T,♠K,♦K | Pair
♦9,♥7,♣T,♥2,♠2 | Pair
♦9,♥7,♣T,♥K,♦K | Pair
♦9,♥7,♠K,♥2,♥K | Pair
♦9,♥7,♠K,♥2,♠2 | Pair
♦9,♥7,♠K,♥2,♦K | Pair
♦9,♥7,♠K,♥K,♠2 | Pair
♦9,♥7,♠K,♥K,♦K | Full House
♦9,♥7,♠K,♠2,♦K | Pair
♦9,♥7,♥2,♥K,♠2 | Pair
♦9,♥7,♥2,♥K,♦K | Pair
♦9,♥7,♥2,♠2,♦K | Pair
♦9,♥7,♥K,♠2,♦K | Pair
♦9,♣T,♠K,♥2,♥K | Pair
♦9,♣T,♠K,♥2,♠2 | Pair
♦9,♣T,♠K,♥2,♦K | Pair
♦9,♣T,♠K,♥K,♠2 | Pair
♦9,♣T,♠K,♥K,♦K | Full House
♦9,♣T,♠K,♠2,♦K | Pair
♦9,♣T,♥2,♥K,♠2 | Pair
♦9,♣T,♥2,♥K,♦K | Pair
♦9,♣T,♥2,♠2,♦K | Pair
♦9,♣T,♥K,♠2,♦K | Pair
♦9,♠K,♥2,♥K,♠2 | Two Pairs
♦9,♠K,♥2,♥K,♦K | Full House
♦9,♠K,♥2,♠2,♦K | Two Pairs
♦9,♠K,♥K,♠2,♦K | Full House
♦9,♥2,♥K,♠2,♦K | Two Pairs
♦7,♥7,♣T,♠K,♥2 | Pair
♦7,♥7,♣T,♠K,♥K | Two Pairs
♦7,♥7,♣T,♠K,♠2 | Pair
♦7,♥7,♣T,♠K,♦K | Two Pairs
♦7,♥7,♣T,♥2,♥K | Pair
♦7,♥7,♣T,♥2,♠2 | Two Pairs
♦7,♥7,♣T,♥2,♦K | Pair
♦7,♥7,♣T,♥K,♠2 | Pair
♦7,♥7,♣T,♥K,♦K | Two Pairs
♦7,♥7,♣T,♠2,♦K | Pair
♦7,♥7,♠K,♥2,♥K | Two Pairs
♦7,♥7,♠K,♥2,♠2 | Two Pairs
♦7,♥7,♠K,♥2,♦K | Two Pairs
♦7,♥7,♠K,♥K,♠2 | Two Pairs
♦7,♥7,♠K,♥K,♦K | Full House
♦7,♥7,♠K,♠2,♦K | Two Pairs
♦7,♥7,♥2,♥K,♠2 | Two Pairs
♦7,♥7,♥2,♥K,♦K | Two Pairs
♦7,♥7,♥2,♠2,♦K | Two Pairs
♦7,♥7,♥K,♠2,♦K | Two Pairs
♦7,♣T,♠K,♥2,♥K | Pair
♦7,♣T,♠K,♥2,♠2 | Pair
♦7,♣T,♠K,♥2,♦K | Pair
♦7,♣T,♠K,♥K,♠2 | Pair
♦7,♣T,♠K,♥K,♦K | Full House
♦7,♣T,♠K,♠2,♦K | Pair
♦7,♣T,♥2,♥K,♠2 | Pair
♦7,♣T,♥2,♥K,♦K | Pair
♦7,♣T,♥2,♠2,♦K | Pair
♦7,♣T,♥K,♠2,♦K | Pair
♦7,♠K,♥2,♥K,♠2 | Two Pairs
♦7,♠K,♥2,♥K,♦K | Full House
♦7,♠K,♥2,♠2,♦K | Two Pairs
♦7,♠K,♥K,♠2,♦K | Full House
♦7,♥2,♥K,♠2,♦K | Two Pairs
♥7,♣T,♠K,♥2,♥K | Pair
♥7,♣T,♠K,♥2,♠2 | Pair
♥7,♣T,♠K,♥2,♦K | Pair
♥7,♣T,♠K,♥K,♠2 | Pair
♥7,♣T,♠K,♥K,♦K | Full House
♥7,♣T,♠K,♠2,♦K | Pair
♥7,♣T,♥2,♥K,♠2 | Pair
♥7,♣T,♥2,♥K,♦K | Pair
♥7,♣T,♥2,♠2,♦K | Pair
♥7,♣T,♥K,♠2,♦K | Pair
♥7,♠K,♥2,♥K,♠2 | Two Pairs
♥7,♠K,♥2,♥K,♦K | Full House
♥7,♠K,♥2,♠2,♦K | Two Pairs
♥7,♠K,♥K,♠2,♦K | Full House
♥7,♥2,♥K,♠2,♦K | Two Pairs
♣T,♠K,♥2,♥K,♠2 | Two Pairs
♣T,♠K,♥2,♥K,♦K | Full House
♣T,♠K,♥2,♠2,♦K | Two Pairs
♣T,♠K,♥K,♠2,♦K | Full House
♣T,♥2,♥K,♠2,♦K | Two Pairs
♠K,♥2,♥K,♠2,♦K | Full House
