♣T,♥A,♠7,♥J,♦7 | Pair
♣T,♥A,♣3,♥T,♦9 | Pair
♣T,♥A,♣3,♥T,♠9 | Pair
♣T,♥A,♣3,♥T,♠6 | Pair
♣T,♥A,♣3,♦9,♠9 | Pair
♣T,♥A,♣7,♥Q,♥T | Pair
♣T,♥A,♣7,♦3,♥T | Pair
♣T,♥A,♣7,♥T,♦9 | Pair
♣T,♥A,♣7,♥T,♠9 | Pair
♣T,♥A,♣7,♥T,♠6 | Pair
♣T,♥A,♣7,♦9,♠9 | Pair
♣T,♥A,♥Q,♦3,♥T | Pair
♣T,♥A,♥Q,♥T,♦9 | Pair
♣T,♥A,♥Q,♥T,♠9 | Pair
♣T,♥A,♥Q,♥T,♠6 | Pair
♣T,♥A,♥Q,♦9,♠9 | Pair
♣T,♥A,♦3,♥T,♦9 | Pair
♣T,♥A,♦3,♥T,♠9 | Pair
♣T,♥A,♦3,♥T,♠6 | Pair
♣T,♥A,♦3,♦9,♠9 | Pair
♣T,♥A,♥T,♦9,♠9 | Two Pairs
♣T,♥A,♥T,♦9,♠6 | Pair
♣T,♥A,♥T,♠9,♠6 | Pair
♣T,♥A,♦9,♠9,♠6 | Pair
♣T,♠7,♥J,♣5,♦7 | Pair
♣T,♠7,♥J,♣5,♣7 | Pair
♣T,♠7,♥J,♣5,♥T | Pair
♣T,♠7,♥J,♣9,♦7 | Pair
♣T,♠7,♥J,♣9,♣7 | Pair
♣T,♠7,♥J,♣9,♥T | Pair
♣T,♠7,♥J,♣9,♦9 | Pair
♣T,♠7,♥J,♣9,♠9 | Pair
♣T,♠7,♥J,♦7,♦K | Pair
♣T,♠7,♥J,♦7,♣3 | Pair
♣T,♠7,♥J,♦7,♣7 | Full House
♣T,♠7,♥J,♦7,♥Q | Pair
♣T,♠7,♥J,♦7,♦3 | Pair
♣T,♠7,♥J,♦7,♥T | Two Pairs
♣T,♠7,♥J,♦7,♦9 | Pair
♣T,♠7,♥J,♦7,♠9 | Pair
♣T,♠7,♥J,♦7,♠6 | Pair
♣T,♠7,♥J,♦K,♣7 | Pair
♣T,♠7,♥J,♦K,♥T | Pair
♣T,♠7,♥J,♣3,♣7 | Pair
♣T,♠7,♥J,♣3,♦3 | Pair
♣T,♠7,♥J,♣3,♥T | Pair
♣T,♠7,♥J,♣7,♥Q | Pair
♣T,♠7,♥J,♣7,♦3 | Pair
♣T,♠7,♥J,♣7,♥T | Two Pairs
♣T,♠7,♥J,♣7,♦9 | Pair
♣T,♠7,♥J,♣7,♠9 | Pair
♣T,♠7,♥J,♣7,♠6 | Pair
♣T,♠7,♥J,♥Q,♥T | Pair
♣T,♠7,♥J,♦3,♥T | Pair
♣T,♠7,♥J,♥T,♦9 | Pair
♣T,♠7,♥J,♥T,♠9 | Pair
♣T,♠7,♥J,♥T,♠6 | Pair
♣T,♠7,♥J,♦9,♠9 | Pair
♣T,♠7,♣5,♣9,♦7 | Pair
♣T,♠7,♣5,♣9,♣7 | Pair
♣T,♠7,♣5,♣9,♥T | Pair
♣T,♠7,♣5,♣9,♦9 | Pair
♣T,♠7,♣5,♣9,♠9 | Pair
♣T,♠7,♣5,♦7,♦K | Pair
♣T,♠7,♣5,♦7,♣3 | Pair
♣T,♠7,♣5,♦7,♣7 | Full House
♣T,♠7,♣5,♦7,♥Q | Pair
♣T,♠7,♣5,♦7,♦3 | Pair
♣T,♠7,♣5,♦7,♥T | Two Pairs
♣T,♠7,♣5,♦7,♦9 | Pair
♣T,♠7,♣5,♦7,♠9 | Pair
♣T,♠7,♣5,♦7,♠6 | Pair
♣T,♠7,♣5,♦K,♣7 | Pair
♣T,♠7,♣5,♦K,♥T | Pair
♣T,♠7,♣5,♣3,♣7 | Pair
♣T,♠7,♣5,♣3,♦3 | Pair
♣T,♠7,♣5,♣3,♥T | Pair
♣T,♠7,♣5,♣7,♥Q | Pair
♣T,♠7,♣5,♣7,♦3 | Pair
♣T,♠7,♣5,♣7,♥T | Two Pairs
♣T,♠7,♣5,♣7,♦9 | Pair
♣T,♠7,♣5,♣7,♠9 | Pair
♣T,♠7,♣5,♣7,♠6 | Pair
♣T,♠7,♣5,♥Q,♥T | Pair
♣T,♠7,♣5,♦3,♥T | Pair
♣T,♠7,♣5,♥T,♦9 | Pair
♣T,♠7,♣5,♥T,♠9 | Pair
♣T,♠7,♣5,♥T,♠6 | Pair
♣T,♠7,♣5,♦9,♠9 | Pair
♣T,♠7,♣9,♦7,♦K | Pair
♣T,♠7,♣9,♦7,♣3 | Pair
♣T,♠7,♣9,♦7,♣7 | Full House
♣T,♠7,♣9,♦7,♥Q | Pair
♣T,♠7,♣9,♦7,♦3 | Pair
♣T,♠7,♣9,♦7,♥T | Two Pairs
♣T,♠7,♣9,♦7,♦9 | Two Pairs
♣T,♠7,♣9,♦7,♠9 | Two Pairs
♣T,♠7,♣9,♦7,♠6 | Pair
♣T,♠7,♣9,♦K,♣7 | Pair
♣T,♠7,♣9,♦K,♥T | Pair
♣T,♠7,♣9,♦K,♦9 | Pair
♣T,♠7,♣9,♦K,♠9 | Pair
♣T,♠7,♣9,♣3,♣7 | Pair
♣T,♠7,♣9,♣3,♦3 | Pair
♣T,♠7,♣9,♣3,♥T | Pair
♣T,♠7,♣9,♣3,♦9 | Pair
♣T,♠7,♣9,♣3,♠9 | Pair
♣T,♠7,♣9,♣7,♥Q | Pair
♣T,♠7,♣9,♣7,♦3 | Pair
♣T,♠7,♣9,♣7,♥T | Two Pairs
♣T,♠7,♣9,♣7,♦9 | Two Pairs
♣T,♠7,♣9,♣7,♠9 | Two Pairs
♣T,♠7,♣9,♣7,♠6 | Pair
♣T,♠7,♣9,♥Q,♥T | Pair
♣T,♠7,♣9,♥Q,♦9 | Pair
♣T,♠7,♣9,♥Q,♠9 | Pair
♣T,♠7,♣9,♦3,♥T | Pair
♣T,♠7,♣9,♦3,♦9 | Pair
♣T,♠7,♣9,♦3,♠9 | Pair
♣T,♠7,♣9,♥T,♦9 | Two Pairs
♣T,♠7,♣9,♥T,♠9 | Two Pairs
♣T,♠7,♣9,♥T,♠6 | Pair
♣T,♠7,♣9,♦9,♠9 | Full House
♣T,♠7,♣9,♦9,♠6 | Pair
♣T,♠7,♣9,♠9,♠6 | Pair
♣T,♠7,♦7,♦K,♣3 | Pair
♣T,♠7,♦7,♦K,♣7 | Full House
♣T,♠7,♦7,♦K,♥Q | Pair
♣T,♠7,♦7,♦K,♦3 | Pair
♣T,♠7,♦7,♦K,♥T | Two Pairs
♣T,♠7,♦7,♦K,♦9 | Pair
♣T,♠7,♦7,♦K,♠9 | Pair
♣T,♠7,♦7,♦K,♠6 | Pair
♣T,♠7,♦7,♣3,♣7 | Full House
♣T,♠7,♦7,♣3,♥Q | Pair
♣T,♠7,♦7,♣3,♦3 | Two Pairs
♣T,♠7,♦7,♣3,♥T | Two Pairs
♣T,♠7,♦7,♣3,♦9 | Pair
♣T,♠7,♦7,♣3,♠9 | Pair
♣T,♠7,♦7,♣3,♠6 | Pair
♣T,♠7,♦7,♣7,♥Q | Full House
♣T,♠7,♦7,♣7,♦3 | Full House
♣T,♠7,♦7,♣7,♥T | Full House
♣T,♠7,♦7,♣7,♦9 | Full House
♣T,♠7,♦7,♣7,♠9 | Full House
♣T,♠7,♦7,♣7,♠6 | Full House
♣T,♠7,♦7,♥Q,♦3 | Pair
♣T,♠7,♦7,♥Q,♥T | Two Pairs
♣T,♠7,♦7,♥Q,♦9 | Pair
♣T,♠7,♦7,♥Q,♠9 | Pair
♣T,♠7,♦7,♥Q,♠6 | Pair
♣T,♠7,♦7,♦3,♥T | Two Pairs
♣T,♠7,♦7,♦3,♦9 | Pair
♣T,♠7,♦7,♦3,♠9 | Pair
♣T,♠7,♦7,♦3,♠6 | Pair
♣T,♠7,♦7,♥T,♦9 | Two Pairs
♣T,♠7,♦7,♥T,♠9 | Two Pairs
♣T,♠7,♦7,♥T,♠6 | Two Pairs
♣T,♠7,♦7,♦9,♠9 | Two Pairs
♣T,♠7,♦7,♦9,♠6 | Pair
♣T,♠7,♦7,♠9,♠6 | Pair
♣T,♠7,♦K,♣3,♣7 | Pair
♣T,♠7,♦K,♣3,♦3 | Pair
♣T,♠7,♦K,♣3,♥T | Pair
♣T,♠7,♦K,♣7,♥Q | Pair
♣T,♠7,♦K,♣7,♦3 | Pair
♣T,♠7,♦K,♣7,♥T | Two Pairs
♣T,♠7,♦K,♣7,♦9 | Pair
♣T,♠7,♦K,♣7,♠9 | Pair
♣T,♠7,♦K,♣7,♠6 | Pair
♣T,♠7,♦K,♥Q,♥T | Pair
♣T,♠7,♦K,♦3,♥T | Pair
♣T,♠7,♦K,♥T,♦9 | Pair
♣T,♠7,♦K,♥T,♠9 | Pair
♣T,♠7,♦K,♥T,♠6 | Pair
♣T,♠7,♦K,♦9,♠9 | Pair
♣T,♠7,♣3,♣7,♥Q | Pair
♣T,♠7,♣3,♣7,♦3 | Two Pairs
♣T,♠7,♣3,♣7,♥T | Two Pairs
♣T,♠7,♣3,♣7,♦9 | Pair
♣T,♠7,♣3,♣7,♠9 | Pair
♣T,♠7,♣3,♣7,♠6 | Pair
♣T,♠7,♣3,♥Q,♦3 | Pair
♣T,♠7,♣3,♥Q,♥T | Pair
♣T,♠7,♣3,♦3,♥T | Two Pairs
♣T,♠7,♣3,♦3,♦9 | Pair
♣T,♠7,♣3,♦3,♠9 | Pair
♣T,♠7,♣3,♦3,♠6 | Pair
♣T,♠7,♣3,♥T,♦9 | Pair
♣T,♠7,♣3,♥T,♠9 | Pair
♣T,♠7,♣3,♥T,♠6 | Pair
♣T,♠7,♣3,♦9,♠9 | Pair
♣T,♠7,♣7,♥Q,♦3 | Pair
♣T,♠7,♣7,♥Q,♥T | Two Pairs
♣T,♠7,♣7,♥Q,♦9 | Pair
♣T,♠7,♣7,♥Q,♠9 | Pair
♣T,♠7,♣7,♥Q,♠6 | Pair
♣T,♠7,♣7,♦3,♥T | Two Pairs
♣T,♠7,♣7,♦3,♦9 | Pair
♣T,♠7,♣7,♦3,♠9 | Pair
♣T,♠7,♣7,♦3,♠6 | Pair
♣T,♠7,♣7,♥T,♦9 | Two Pairs
♣T,♠7,♣7,♥T,♠9 | Two Pairs
♣T,♠7,♣7,♥T,♠6 | Two Pairs
♣T,♠7,♣7,♦9,♠9 | Two Pairs
♣T,♠7,♣7,♦9,♠6 | Pair
♣T,♠7,♣7,♠9,♠6 | Pair
♣T,♠7,♥Q,♦3,♥T | Pair
♣T,♠7,♥Q,♥T,♦9 | Pair
♣T,♠7,♥Q,♥T,♠9 | Pair
♣T,♠7,♥Q,♥T,♠6 | Pair
♣T,♠7,♥Q,♦9,♠9 | Pair
♣T,♠7,♦3,♥T,♦9 | Pair
♣T,♠7,♦3,♥T,♠9 | Pair
♣T,♠7,♦3,♥T,♠6 | Pair
♣T,♠7,♦3,♦9,♠9 | Pair
♣T,♠7,♥T,♦9,♠9 | Two Pairs
♣T,♠7,♥T,♦9,♠6 | Pair
♣T,♠7,♥T,♠9,♠6 | Pair
♣T,♠7,♦9,♠9,♠6 | Pair
♣T,♥J,♣5,♣9,♥T | Pair
♣T,♥J,♣5,♣9,♦9 | Pair
♣T,♥J,♣5,♣9,♠9 | Pair
♣T,♥J,♣5,♦7,♣7 | Pair
♣T,♥J,♣5,♦7,♥T | Pair
♣T,♥J,♣5,♦K,♥T | Pair
♣T,♥J,♣5,♣3,♦3 | Pair
♣T,♥J,♣5,♣3,♥T | Pair
♣T,♥J,♣5,♣7,♥T | Pair
♣T,♥J,♣5,♥Q,♥T | Pair
♣T,♥J,♣5,♦3,♥T | Pair
♣T,♥J,♣5,♥T,♦9 | Pair
♣T,♥J,♣5,♥T,♠9 | Pair
♣T,♥J,♣5,♥T,♠6 | Pair
♣T,♥J,♣5,♦9,♠9 | Pair
♣T,♥J,♣9,♦7,♣7 | Pair
♣T,♥J,♣9,♦7,♥T | Pair
♣T,♥J,♣9,♦7,♦9 | Pair
♣T,♥J,♣9,♦7,♠9 | Pair
♣T,♥J,♣9,♦K,♥T | Pair
♣T,♥J,♣9,♦K,♦9 | Pair
♣T,♥J,♣9,♦K,♠9 | Pair
♣T,♥J,♣9,♣3,♦3 | Pair
♣T,♥J,♣9,♣3,♥T | Pair
♣T,♥J,♣9,♣3,♦9 | Pair
♣T,♥J,♣9,♣3,♠9 | Pair
♣T,♥J,♣9,♣7,♥T | Pair
♣T,♥J,♣9,♣7,♦9 | Pair
♣T,♥J,♣9,♣7,♠9 | Pair
♣T,♥J,♣9,♥Q,♥T | Pair
♣T,♥J,♣9,♥Q,♦9 | Pair
♣T,♥J,♣9,♥Q,♠9 | Pair
♣T,♥J,♣9,♦3,♥T | Pair
♣T,♥J,♣9,♦3,♦9 | Pair
♣T,♥J,♣9,♦3,♠9 | Pair
♣T,♥J,♣9,♥T,♦9 | Two Pairs
♣T,♥J,♣9,♥T,♠9 | Two Pairs
♣T,♥J,♣9,♥T,♠6 | Pair
♣T,♥J,♣9,♦9,♠9 | Full House
♣T,♥J,♣9,♦9,♠6 | Pair
♣T,♥J,♣9,♠9,♠6 | Pair
♣T,♥J,♦7,♦K,♣7 | Pair
♣T,♥J,♦7,♦K,♥T | Pair
♣T,♥J,♦7,♣3,♣7 | Pair
♣T,♥J,♦7,♣3,♦3 | Pair
♣T,♥J,♦7,♣3,♥T | Pair
♣T,♥J,♦7,♣7,♥Q | Pair
♣T,♥J,♦7,♣7,♦3 | Pair
♣T,♥J,♦7,♣7,♥T | Two Pairs
♣T,♥J,♦7,♣7,♦9 | Pair
♣T,♥J,♦7,♣7,♠9 | Pair
♣T,♥J,♦7,♣7,♠6 | Pair
♣T,♥J,♦7,♥Q,♥T | Pair
♣T,♥J,♦7,♦3,♥T | Pair
♣T,♥J,♦7,♥T,♦9 | Pair
♣T,♥J,♦7,♥T,♠9 | Pair
♣T,♥J,♦7,♥T,♠6 | Pair
♣T,♥J,♦7,♦9,♠9 | Pair
♣T,♥J,♦K,♣3,♦3 | Pair
♣T,♥J,♦K,♣3,♥T | Pair
♣T,♥J,♦K,♣7,♥T | Pair
♣T,♥J,♦K,♥Q,♥T | Pair
♣T,♥J,♦K,♦3,♥T | Pair
♣T,♥J,♦K,♥T,♦9 | Pair
♣T,♥J,♦K,♥T,♠9 | Pair
♣T,♥J,♦K,♥T,♠6 | Pair
♣T,♥J,♦K,♦9,♠9 | Pair
♣T,♥J,♣3,♣7,♦3 | Pair
♣T,♥J,♣3,♣7,♥T | Pair
♣T,♥J,♣3,♥Q,♦3 | Pair
♣T,♥J,♣3,♥Q,♥T | Pair
♣T,♥J,♣3,♦3,♥T | Two Pairs
♣T,♥J,♣3,♦3,♦9 | Pair
♣T,♥J,♣3,♦3,♠9 | Pair
♣T,♥J,♣3,♦3,♠6 | Pair
♣T,♥J,♣3,♥T,♦9 | Pair
♣T,♥J,♣3,♥T,♠9 | Pair
♣T,♥J,♣3,♥T,♠6 | Pair
♣T,♥J,♣3,♦9,♠9 | Pair
♣T,♥J,♣7,♥Q,♥T | Pair
♣T,♥J,♣7,♦3,♥T | Pair
♣T,♥J,♣7,♥T,♦9 | Pair
♣T,♥J,♣7,♥T,♠9 | Pair
♣T,♥J,♣7,♥T,♠6 | Pair
♣T,♥J,♣7,♦9,♠9 | Pair
♣T,♥J,♥Q,♦3,♥T | Pair
♣T,♥J,♥Q,♥T,♦9 | Pair
♣T,♥J,♥Q,♥T,♠9 | Pair
♣T,♥J,♥Q,♥T,♠6 | Pair
♣T,♥J,♥Q,♦9,♠9 | Pair
♣T,♥J,♦3,♥T,♦9 | Pair
♣T,♥J,♦3,♥T,♠9 | Pair
♣T,♥J,♦3,♥T,♠6 | Pair
♣T,♥J,♦3,♦9,♠9 | Pair
♣T,♥J,♥T,♦9,♠9 | Two Pairs
♣T,♥J,♥T,♦9,♠6 | Pair
♣T,♥J,♥T,♠9,♠6 | Pair
♣T,♥J,♦9,♠9,♠6 | Pair
♣T,♣5,♣9,♦7,♣7 | Pair
♣T,♣5,♣9,♦7,♥T | Pair
♣T,♣5,♣9,♦7,♦9 | Pair
♣T,♣5,♣9,♦7,♠9 | Pair
♣T,♣5,♣9,♦K,♥T | Pair
♣T,♣5,♣9,♦K,♦9 | Pair
♣T,♣5,♣9,♦K,♠9 | Pair
♣T,♣5,♣9,♣3,♣7 | Flush
♣T,♣5,♣9,♣3,♦3 | Pair
♣T,♣5,♣9,♣3,♥T | Pair
♣T,♣5,♣9,♣3,♦9 | Pair
♣T,♣5,♣9,♣3,♠9 | Pair
♣T,♣5,♣9,♣7,♥T | Pair
♣T,♣5,♣9,♣7,♦9 | Pair
♣T,♣5,♣9,♣7,♠9 | Pair
♣T,♣5,♣9,♥Q,♥T | Pair
♣T,♣5,♣9,♥Q,♦9 | Pair
♣T,♣5,♣9,♥Q,♠9 | Pair
♣T,♣5,♣9,♦3,♥T | Pair
♣T,♣5,♣9,♦3,♦9 | Pair
♣T,♣5,♣9,♦3,♠9 | Pair
♣T,♣5,♣9,♥T,♦9 | Two Pairs
♣T,♣5,♣9,♥T,♠9 | Two Pairs
♣T,♣5,♣9,♥T,♠6 | Pair
♣T,♣5,♣9,♦9,♠9 | Full House
♣T,♣5,♣9,♦9,♠6 | Pair
♣T,♣5,♣9,♠9,♠6 | Pair
♣T,♣5,♦7,♦K,♣7 | Pair
♣T,♣5,♦7,♦K,♥T | Pair
♣T,♣5,♦7,♣3,♣7 | Pair
♣T,♣5,♦7,♣3,♦3 | Pair
♣T,♣5,♦7,♣3,♥T | Pair
♣T,♣5,♦7,♣7,♥Q | Pair
♣T,♣5,♦7,♣7,♦3 | Pair
♣T,♣5,♦7,♣7,♥T | Two Pairs
♣T,♣5,♦7,♣7,♦9 | Pair
♣T,♣5,♦7,♣7,♠9 | Pair
♣T,♣5,♦7,♣7,♠6 | Pair
♣T,♣5,♦7,♥Q,♥T | Pair
♣T,♣5,♦7,♦3,♥T | Pair
♣T,♣5,♦7,♥T,♦9 | Pair
♣T,♣5,♦7,♥T,♠9 | Pair
♣T,♣5,♦7,♥T,♠6 | Pair
♣T,♣5,♦7,♦9,♠9 | Pair
♣T,♣5,♦K,♣3,♦3 | Pair
♣T,♣5,♦K,♣3,♥T | Pair
♣T,♣5,♦K,♣7,♥T | Pair
♣T,♣5,♦K,♥Q,♥T | Pair
♣T,♣5,♦K,♦3,♥T | Pair
♣T,♣5,♦K,♥T,♦9 | Pair
♣T,♣5,♦K,♥T,♠9 | Pair
♣T,♣5,♦K,♥T,♠6 | Pair
♣T,♣5,♦K,♦9,♠9 | Pair
♣T,♣5,♣3,♣7,♦3 | Pair
♣T,♣5,♣3,♣7,♥T | Pair
♣T,♣5,♣3,♥Q,♦3 | Pair
♣T,♣5,♣3,♥Q,♥T | Pair
♣T,♣5,♣3,♦3,♥T | Two Pairs
♣T,♣5,♣3,♦3,♦9 | Pair
♣T,♣5,♣3,♦3,♠9 | Pair
♣T,♣5,♣3,♦3,♠6 | Pair
♣T,♣5,♣3,♥T,♦9 | Pair
♣T,♣5,♣3,♥T,♠9 | Pair
♣T,♣5,♣3,♥T,♠6 | Pair
♣T,♣5,♣3,♦9,♠9 | Pair
♣T,♣5,♣7,♥Q,♥T | Pair
♣T,♣5,♣7,♦3,♥T | Pair
♣T,♣5,♣7,♥T,♦9 | Pair
♣T,♣5,♣7,♥T,♠9 | Pair
♣T,♣5,♣7,♥T,♠6 | Pair
♣T,♣5,♣7,♦9,♠9 | Pair
♣T,♣5,♥Q,♦3,♥T | Pair
♣T,♣5,♥Q,♥T,♦9 | Pair
♣T,♣5,♥Q,♥T,♠9 | Pair
♣T,♣5,♥Q,♥T,♠6 | Pair
♣T,♣5,♥Q,♦9,♠9 | Pair
♣T,♣5,♦3,♥T,♦9 | Pair
♣T,♣5,♦3,♥T,♠9 | Pair
♣T,♣5,♦3,♥T,♠6 | Pair
♣T,♣5,♦3,♦9,♠9 | Pair
♣T,♣5,♥T,♦9,♠9 | Two Pairs
♣T,♣5,♥T,♦9,♠6 | Pair
♣T,♣5,♥T,♠9,♠6 | Pair
♣T,♣5,♦9,♠9,♠6 | Pair
♣T,♣9,♦7,♦K,♣7 | Pair
♣T,♣9,♦7,♦K,♥T | Pair
♣T,♣9,♦7,♦K,♦9 | Pair
♣T,♣9,♦7,♦K,♠9 | Pair
♣T,♣9,♦7,♣3,♣7 | Pair
♣T,♣9,♦7,♣3,♦3 | Pair
♣T,♣9,♦7,♣3,♥T | Pair
♣T,♣9,♦7,♣3,♦9 | Pair
♣T,♣9,♦7,♣3,♠9 | Pair
♣T,♣9,♦7,♣7,♥Q | Pair
♣T,♣9,♦7,♣7,♦3 | Pair
♣T,♣9,♦7,♣7,♥T | Two Pairs
♣T,♣9,♦7,♣7,♦9 | Two Pairs
♣T,♣9,♦7,♣7,♠9 | Two Pairs
♣T,♣9,♦7,♣7,♠6 | Pair
♣T,♣9,♦7,♥Q,♥T | Pair
♣T,♣9,♦7,♥Q,♦9 | Pair
♣T,♣9,♦7,♥Q,♠9 | Pair
♣T,♣9,♦7,♦3,♥T | Pair
♣T,♣9,♦7,♦3,♦9 | Pair
♣T,♣9,♦7,♦3,♠9 | Pair
♣T,♣9,♦7,♥T,♦9 | Two Pairs
♣T,♣9,♦7,♥T,♠9 | Two Pairs
♣T,♣9,♦7,♥T,♠6 | Pair
♣T,♣9,♦7,♦9,♠9 | Full House
♣T,♣9,♦7,♦9,♠6 | Pair
