♠7,♣A,♦8,♠J,♣7 | Pair
♠7,♦8,♦T,♣7,♠2 | Pair
♠7,♦8,♦T,♦K,♠T | Pair
♠7,♦8,♦T,♠T,♠2 | Pair
♠7,♦8,♣7,♦K,♠T | Pair
♠7,♦8,♣7,♦K,♠2 | Pair
♠7,♦8,♣7,♠T,♠2 | Pair
♠7,♠J,♥5,♠Q,♣7 | Pair
♠7,♠J,♥5,♦T,♣7 | Pair
♠7,♠J,♥5,♦T,♠T | Pair
♠7,♠J,♥5,♣7,♦K | Pair
♠7,♠J,♥5,♣7,♠T | Pair
♠7,♠J,♥5,♣7,♠2 | Pair
♠7,♠J,♠Q,♦T,♣7 | Pair
♠7,♠J,♠Q,♦T,♠T | Pair
♠7,♠J,♠Q,♣7,♦K | Pair
♠7,♠J,♠Q,♣7,♠T | Pair
♠7,♠J,♠Q,♣7,♠2 | Pair
♠7,♠J,♠Q,♠T,♠2 | Flush
♠7,♠J,♦T,♣7,♦K | Pair
♠7,♠J,♦T,♣7,♠T | Two Pairs
♠7,♠J,♦T,♣7,♠2 | Pair
♠7,♠J,♦T,♦K,♠T | Pair
♠7,♠J,♦T,♠T,♠2 | Pair
♠7,♠J,♣7,♦K,♠T | Pair
♠7,♠J,♣7,♦K,♠2 | Pair
♠7,♠J,♣7,♠T,♠2 | Pair
♠7,♥5,♠Q,♦T,♣7 | Pair
♠7,♥5,♠Q,♦T,♠T | Pair
♠7,♥5,♠Q,♣7,♦K | Pair
♠7,♥5,♠Q,♣7,♠T | Pair
♠7,♥5,♠Q,♣7,♠2 | Pair
♠7,♥5,♦T,♣7,♦K | Pair
♠7,♥5,♦T,♣7,♠T | Two Pairs
♠7,♥5,♦T,♣7,♠2 | Pair
♠7,♥5,♦T,♦K,♠T | Pair
♠7,♥5,♦T,♠T,♠2 | Pair
♠7,♥5,♣7,♦K,♠T | Pair
♠7,♥5,♣7,♦K,♠2 | Pair
♠7,♥5,♣7,♠T,♠2 | Pair
♠7,♠Q,♦T,♣7,♦K | Pair
♠7,♠Q,♦T,♣7,♠T | Two Pairs
♠7,♠Q,♦T,♣7,♠2 | Pair
♠7,♠Q,♦T,♦K,♠T | Pair
♠7,♠Q,♦T,♠T,♠2 | Pair
♠7,♠Q,♣7,♦K,♠T | Pair
♠7,♠Q,♣7,♦K,♠2 | Pair
♠7,♠Q,♣7,♠T,♠2 | Pair
♠7,♦T,♣7,♦K,♠T | Two Pairs
♠7,♦T,♣7,♦K,♠2 | Pair
♠7,♦T,♣7,♠T,♠2 | Two Pairs
♠7,♦T,♦K,♠T,♠2 | Pair
♠7,♣7,♦K,♠T,♠2 | Pair
♣A,♦8,♠J,♦T,♠T | Pair
♣A,♦8,♥5,♦T,♠T | Pair
♣A,♦8,♠Q,♦T,♠T | Pair
♣A,♦8,♦T,♣7,♠T | Pair
♣A,♦8,♦T,♦K,♠T | Pair
♣A,♦8,♦T,♠T,♠2 | Pair
♣A,♠J,♥5,♦T,♠T | Pair
♣A,♠J,♠Q,♦T,♠T | Pair
♣A,♠J,♦T,♣7,♠T | Pair
♣A,♠J,♦T,♦K,♠T | Pair
♣A,♠J,♦T,♠T,♠2 | Pair
♣A,♥5,♠Q,♦T,♠T | Pair
♣A,♥5,♦T,♣7,♠T | Pair
♣A,♥5,♦T,♦K,♠T | Pair
♣A,♥5,♦T,♠T,♠2 | Pair
♣A,♠Q,♦T,♣7,♠T | Pair
♣A,♠Q,♦T,♦K,♠T | Pair
♣A,♠Q,♦T,♠T,♠2 | Pair
♣A,♦T,♣7,♦K,♠T | Pair
♣A,♦T,♣7,♠T,♠2 | Pair
♣A,♦T,♦K,♠T,♠2 | Pair
♦8,♠J,♥5,♦T,♠T | Pair
♦8,♠J,♠Q,♦T,♠T | Pair
♦8,♠J,♦T,♣7,♠T | Pair
♦8,♠J,♦T,♦K,♠T | Pair
♦8,♠J,♦T,♠T,♠2 | Pair
♦8,♥5,♠Q,♦T,♠T | Pair
♦8,♥5,♦T,♣7,♠T | Pair
♦8,♥5,♦T,♦K,♠T | Pair
♦8,♥5,♦T,♠T,♠2 | Pair
♦8,♠Q,♦T,♣7,♠T | Pair
♦8,♠Q,♦T,♦K,♠T | Pair
♦8,♠Q,♦T,♠T,♠2 | Pair
♦8,♦T,♣7,♦K,♠T | Pair
♦8,♦T,♣7,♠T,♠2 | Pair
♦8,♦T,♦K,♠T,♠2 | Pair
♠J,♥5,♠Q,♦T,♠T | Pair
♠J,♥5,♦T,♣7,♠T | Pair
♠J,♥5,♦T,♦K,♠T | Pair
♠J,♥5,♦T,♠T,♠2 | Pair
♠J,♠Q,♦T,♣7,♠T | Pair
♠J,♠Q,♦T,♦K,♠T | Pair
♠J,♠Q,♦T,♠T,♠2 | Pair
♠J,♦T,♣7,♦K,♠T | Pair
♠J,♦T,♣7,♠T,♠2 | Pair
♠J,♦T,♦K,♠T,♠2 | Pair
♥5,♠Q,♦T,♣7,♠T | Pair
♥5,♠Q,♦T,♦K,♠T | Pair
♥5,♠Q,♦T,♠T,♠2 | Pair
♥5,♦T,♣7,♦K,♠T | Pair
♥5,♦T,♣7,♠T,♠2 | Pair
♥5,♦T,♦K,♠T,♠2 | Pair
♠Q,♦T,♣7,♦K,♠T | Pair
♠Q,♦T,♣7,♠T,♠2 | Pair
♠Q,♦T,♦K,♠T,♠2 | Pair
♦T,♣7,♦K,♠T,♠2 | Pair
