♠10, ♣Q, ♣8, ♣10, ♣7 | pair
♠10, ♣Q, ♣3, ♥2, ♣2 | pair
♠10, ♣Q, ♠5, ♥2, ♣2 | pair
♠10, ♣Q, ♥8, ♥2, ♣2 | pair
♠10, ♣Q, ♥2, ♣4, ♣2 | pair
♠10, ♣Q, ♥2, ♣2, ♦J | pair
♠10, ♣8, ♣10, ♣7, ♠2 | pair
♠10, ♣8, ♣10, ♣7, ♣3 | pair
♠10, ♣8, ♣10, ♣7, ♠5 | pair
♠10, ♣8, ♣10, ♣7, ♥8 | two pairs
♠10, ♣8, ♣10, ♣7, ♥2 | pair
♠10, ♣8, ♣10, ♣7, ♣4 | pair
♠10, ♣8, ♣10, ♣7, ♣2 | pair
♠10, ♣8, ♣10, ♣7, ♦J | pair
♠10, ♣8, ♣10, ♠2, ♣3 | pair
♠10, ♣8, ♣10, ♠2, ♠5 | pair
♠10, ♣8, ♣10, ♠2, ♥8 | two pairs
♠10, ♣8, ♣10, ♠2, ♥2 | two pairs
♠10, ♣8, ♣10, ♠2, ♣4 | pair
♠10, ♣8, ♣10, ♠2, ♣2 | two pairs
♠10, ♣8, ♣10, ♠2, ♦J | pair
♠10, ♣8, ♣10, ♣3, ♠5 | pair
♠10, ♣8, ♣10, ♣3, ♥8 | two pairs
♠10, ♣8, ♣10, ♣3, ♥2 | pair
♠10, ♣8, ♣10, ♣3, ♣4 | pair
♠10, ♣8, ♣10, ♣3, ♣2 | pair
♠10, ♣8, ♣10, ♣3, ♦J | pair
♠10, ♣8, ♣10, ♠5, ♥8 | two pairs
♠10, ♣8, ♣10, ♠5, ♥2 | pair
♠10, ♣8, ♣10, ♠5, ♣4 | pair
♠10, ♣8, ♣10, ♠5, ♣2 | pair
♠10, ♣8, ♣10, ♠5, ♦J | pair
♠10, ♣8, ♣10, ♥8, ♥2 | two pairs
♠10, ♣8, ♣10, ♥8, ♣4 | two pairs
♠10, ♣8, ♣10, ♥8, ♣2 | two pairs
♠10, ♣8, ♣10, ♥8, ♦J | two pairs
♠10, ♣8, ♣10, ♥2, ♣4 | pair
♠10, ♣8, ♣10, ♥2, ♣2 | two pairs
♠10, ♣8, ♣10, ♥2, ♦J | pair
♠10, ♣8, ♣10, ♣4, ♣2 | pair
♠10, ♣8, ♣10, ♣4, ♦J | pair
♠10, ♣8, ♣10, ♣2, ♦J | pair
♠10, ♣8, ♣7, ♠2, ♥8 | pair
♠10, ♣8, ♣7, ♠2, ♥2 | pair
♠10, ♣8, ♣7, ♠2, ♣2 | pair
♠10, ♣8, ♣7, ♣3, ♥8 | pair
♠10, ♣8, ♣7, ♠5, ♥8 | pair
♠10, ♣8, ♣7, ♥8, ♥2 | pair
♠10, ♣8, ♣7, ♥8, ♣4 | pair
♠10, ♣8, ♣7, ♥8, ♣2 | pair
♠10, ♣8, ♣7, ♥8, ♦J | pair
♠10, ♣8, ♣7, ♥2, ♣2 | pair
♠10, ♣8, ♠2, ♣3, ♥8 | pair
♠10, ♣8, ♠2, ♣3, ♥2 | pair
♠10, ♣8, ♠2, ♣3, ♣2 | pair
♠10, ♣8, ♠2, ♠5, ♥8 | pair
♠10, ♣8, ♠2, ♠5, ♥2 | pair
♠10, ♣8, ♠2, ♠5, ♣2 | pair
♠10, ♣8, ♠2, ♥8, ♥2 | two pairs
♠10, ♣8, ♠2, ♥8, ♣4 | pair
♠10, ♣8, ♠2, ♥8, ♣2 | two pairs
♠10, ♣8, ♠2, ♥8, ♦J | pair
♠10, ♣8, ♠2, ♥2, ♣4 | pair
♠10, ♣8, ♠2, ♥2, ♣2 | three of a kind
♠10, ♣8, ♠2, ♥2, ♦J | pair
♠10, ♣8, ♠2, ♣4, ♣2 | pair
♠10, ♣8, ♠2, ♣2, ♦J | pair
♠10, ♣8, ♣3, ♠5, ♥8 | pair
♠10, ♣8, ♣3, ♥8, ♥2 | pair
♠10, ♣8, ♣3, ♥8, ♣4 | pair
♠10, ♣8, ♣3, ♥8, ♣2 | pair
♠10, ♣8, ♣3, ♥8, ♦J | pair
♠10, ♣8, ♣3, ♥2, ♣2 | pair
♠10, ♣8, ♠5, ♥8, ♥2 | pair
♠10, ♣8, ♠5, ♥8, ♣4 | pair
♠10, ♣8, ♠5, ♥8, ♣2 | pair
♠10, ♣8, ♠5, ♥8, ♦J | pair
♠10, ♣8, ♠5, ♥2, ♣2 | pair
♠10, ♣8, ♥8, ♥2, ♣4 | pair
♠10, ♣8, ♥8, ♥2, ♣2 | two pairs
♠10, ♣8, ♥8, ♥2, ♦J | pair
♠10, ♣8, ♥8, ♣4, ♣2 | pair
♠10, ♣8, ♥8, ♣4, ♦J | pair
♠10, ♣8, ♥8, ♣2, ♦J | pair
♠10, ♣8, ♥2, ♣4, ♣2 | pair
♠10, ♣8, ♥2, ♣2, ♦J | pair
♠10, ♣10, ♣7, ♠2, ♣3 | pair
♠10, ♣10, ♣7, ♠2, ♠5 | pair
♠10, ♣10, ♣7, ♠2, ♥8 | pair
♠10, ♣10, ♣7, ♠2, ♥2 | two pairs
♠10, ♣10, ♣7, ♠2, ♣4 | pair
♠10, ♣10, ♣7, ♠2, ♣2 | two pairs
♠10, ♣10, ♣7, ♠2, ♦J | pair
♠10, ♣10, ♣7, ♣3, ♠5 | pair
♠10, ♣10, ♣7, ♣3, ♥8 | pair
♠10, ♣10, ♣7, ♣3, ♥2 | pair
♠10, ♣10, ♣7, ♣3, ♣4 | pair
♠10, ♣10, ♣7, ♣3, ♣2 | pair
♠10, ♣10, ♣7, ♣3, ♦J | pair
♠10, ♣10, ♣7, ♠5, ♥8 | pair
♠10, ♣10, ♣7, ♠5, ♥2 | pair
♠10, ♣10, ♣7, ♠5, ♣4 | pair
♠10, ♣10, ♣7, ♠5, ♣2 | pair
♠10, ♣10, ♣7, ♠5, ♦J | pair
♠10, ♣10, ♣7, ♥8, ♥2 | pair
♠10, ♣10, ♣7, ♥8, ♣4 | pair
♠10, ♣10, ♣7, ♥8, ♣2 | pair
♠10, ♣10, ♣7, ♥8, ♦J | pair
♠10, ♣10, ♣7, ♥2, ♣4 | pair
♠10, ♣10, ♣7, ♥2, ♣2 | two pairs
♠10, ♣10, ♣7, ♥2, ♦J | pair
♠10, ♣10, ♣7, ♣4, ♣2 | pair
♠10, ♣10, ♣7, ♣4, ♦J | pair
♠10, ♣10, ♣7, ♣2, ♦J | pair
♠10, ♣10, ♠2, ♣3, ♠5 | pair
♠10, ♣10, ♠2, ♣3, ♥8 | pair
♠10, ♣10, ♠2, ♣3, ♥2 | two pairs
♠10, ♣10, ♠2, ♣3, ♣4 | pair
♠10, ♣10, ♠2, ♣3, ♣2 | two pairs
♠10, ♣10, ♠2, ♣3, ♦J | pair
♠10, ♣10, ♠2, ♠5, ♥8 | pair
♠10, ♣10, ♠2, ♠5, ♥2 | two pairs
♠10, ♣10, ♠2, ♠5, ♣4 | pair
♠10, ♣10, ♠2, ♠5, ♣2 | two pairs
♠10, ♣10, ♠2, ♠5, ♦J | pair
♠10, ♣10, ♠2, ♥8, ♥2 | two pairs
♠10, ♣10, ♠2, ♥8, ♣4 | pair
♠10, ♣10, ♠2, ♥8, ♣2 | two pairs
♠10, ♣10, ♠2, ♥8, ♦J | pair
♠10, ♣10, ♠2, ♥2, ♣4 | two pairs
♠10, ♣10, ♠2, ♥2, ♣2 | fullhouse
♠10, ♣10, ♠2, ♥2, ♦J | two pairs
♠10, ♣10, ♠2, ♣4, ♣2 | two pairs
♠10, ♣10, ♠2, ♣4, ♦J | pair
♠10, ♣10, ♠2, ♣2, ♦J | two pairs
♠10, ♣10, ♣3, ♠5, ♥8 | pair
♠10, ♣10, ♣3, ♠5, ♥2 | pair
♠10, ♣10, ♣3, ♠5, ♣4 | pair
♠10, ♣10, ♣3, ♠5, ♣2 | pair
♠10, ♣10, ♣3, ♠5, ♦J | pair
♠10, ♣10, ♣3, ♥8, ♥2 | pair
♠10, ♣10, ♣3, ♥8, ♣4 | pair
♠10, ♣10, ♣3, ♥8, ♣2 | pair
♠10, ♣10, ♣3, ♥8, ♦J | pair
♠10, ♣10, ♣3, ♥2, ♣4 | pair
♠10, ♣10, ♣3, ♥2, ♣2 | two pairs
♠10, ♣10, ♣3, ♥2, ♦J | pair
♠10, ♣10, ♣3, ♣4, ♣2 | pair
♠10, ♣10, ♣3, ♣4, ♦J | pair
♠10, ♣10, ♣3, ♣2, ♦J | pair
♠10, ♣10, ♠5, ♥8, ♥2 | pair
♠10, ♣10, ♠5, ♥8, ♣4 | pair
♠10, ♣10, ♠5, ♥8, ♣2 | pair
♠10, ♣10, ♠5, ♥8, ♦J | pair
♠10, ♣10, ♠5, ♥2, ♣4 | pair
♠10, ♣10, ♠5, ♥2, ♣2 | two pairs
♠10, ♣10, ♠5, ♥2, ♦J | pair
♠10, ♣10, ♠5, ♣4, ♣2 | pair
♠10, ♣10, ♠5, ♣4, ♦J | pair
♠10, ♣10, ♠5, ♣2, ♦J | pair
♠10, ♣10, ♥8, ♥2, ♣4 | pair
♠10, ♣10, ♥8, ♥2, ♣2 | two pairs
♠10, ♣10, ♥8, ♥2, ♦J | pair
♠10, ♣10, ♥8, ♣4, ♣2 | pair
♠10, ♣10, ♥8, ♣4, ♦J | pair
♠10, ♣10, ♥8, ♣2, ♦J | pair
♠10, ♣10, ♥2, ♣4, ♣2 | two pairs
♠10, ♣10, ♥2, ♣4, ♦J | pair
♠10, ♣10, ♥2, ♣2, ♦J | two pairs
♠10, ♣10, ♣4, ♣2, ♦J | pair
♠10, ♣7, ♠2, ♣3, ♥2 | pair
♠10, ♣7, ♠2, ♣3, ♣2 | pair
♠10, ♣7, ♠2, ♠5, ♥2 | pair
♠10, ♣7, ♠2, ♠5, ♣2 | pair
♠10, ♣7, ♠2, ♥8, ♥2 | pair
♠10, ♣7, ♠2, ♥8, ♣2 | pair
♠10, ♣7, ♠2, ♥2, ♣4 | pair
♠10, ♣7, ♠2, ♥2, ♣2 | three of a kind
♠10, ♣7, ♠2, ♥2, ♦J | pair
♠10, ♣7, ♠2, ♣4, ♣2 | pair
♠10, ♣7, ♠2, ♣2, ♦J | pair
♠10, ♣7, ♣3, ♥2, ♣2 | pair
♠10, ♣7, ♠5, ♥2, ♣2 | pair
♠10, ♣7, ♥8, ♥2, ♣2 | pair
♠10, ♣7, ♥2, ♣4, ♣2 | pair
♠10, ♣7, ♥2, ♣2, ♦J | pair
♠10, ♠2, ♣3, ♠5, ♥2 | pair
♠10, ♠2, ♣3, ♠5, ♣2 | pair
♠10, ♠2, ♣3, ♥8, ♥2 | pair
♠10, ♠2, ♣3, ♥8, ♣2 | pair
♠10, ♠2, ♣3, ♥2, ♣4 | pair
♠10, ♠2, ♣3, ♥2, ♣2 | three of a kind
♠10, ♠2, ♣3, ♥2, ♦J | pair
♠10, ♠2, ♣3, ♣4, ♣2 | pair
♠10, ♠2, ♣3, ♣2, ♦J | pair
♠10, ♠2, ♠5, ♥8, ♥2 | pair
♠10, ♠2, ♠5, ♥8, ♣2 | pair
♠10, ♠2, ♠5, ♥2, ♣4 | pair
♠10, ♠2, ♠5, ♥2, ♣2 | three of a kind
♠10, ♠2, ♠5, ♥2, ♦J | pair
♠10, ♠2, ♠5, ♣4, ♣2 | pair
♠10, ♠2, ♠5, ♣2, ♦J | pair
♠10, ♠2, ♥8, ♥2, ♣4 | pair
♠10, ♠2, ♥8, ♥2, ♣2 | three of a kind
♠10, ♠2, ♥8, ♥2, ♦J | pair
♠10, ♠2, ♥8, ♣4, ♣2 | pair
♠10, ♠2, ♥8, ♣2, ♦J | pair
♠10, ♠2, ♥2, ♣4, ♣2 | three of a kind
♠10, ♠2, ♥2, ♣4, ♦J | pair
♠10, ♠2, ♥2, ♣2, ♦J | three of a kind
♠10, ♠2, ♣4, ♣2, ♦J | pair
♠10, ♣3, ♠5, ♥2, ♣2 | pair
♠10, ♣3, ♥8, ♥2, ♣2 | pair
♠10, ♣3, ♥2, ♣4, ♣2 | pair
♠10, ♣3, ♥2, ♣2, ♦J | pair
♠10, ♠5, ♥8, ♥2, ♣2 | pair
♠10, ♠5, ♥2, ♣4, ♣2 | pair
♠10, ♠5, ♥2, ♣2, ♦J | pair
♠10, ♥8, ♥2, ♣4, ♣2 | pair
♠10, ♥8, ♥2, ♣2, ♦J | pair
♠10, ♥2, ♣4, ♣2, ♦J | pair
♣Q, ♣8, ♣10, ♣7, ♣3 | flush
♣Q, ♣8, ♣10, ♣7, ♥8 | pair
♣Q, ♣8, ♣10, ♣7, ♣4 | flush
♣Q, ♣8, ♣10, ♣7, ♣2 | flush
♣Q, ♣8, ♣10, ♠2, ♥8 | pair
♣Q, ♣8, ♣10, ♠2, ♥2 | pair
♣Q, ♣8, ♣10, ♠2, ♣2 | pair
♣Q, ♣8, ♣10, ♣3, ♥8 | pair
♣Q, ♣8, ♣10, ♣3, ♣4 | flush
♣Q, ♣8, ♣10, ♣3, ♣2 | flush
♣Q, ♣8, ♣10, ♠5, ♥8 | pair
♣Q, ♣8, ♣10, ♥8, ♥2 | pair
♣Q, ♣8, ♣10, ♥8, ♣4 | pair
♣Q, ♣8, ♣10, ♥8, ♣2 | pair
♣Q, ♣8, ♣10, ♥8, ♦J | pair
♣Q, ♣8, ♣10, ♥2, ♣2 | pair
♣Q, ♣8, ♣10, ♣4, ♣2 | flush
♣Q, ♣8, ♣7, ♠2, ♥8 | pair
♣Q, ♣8, ♣7, ♠2, ♥2 | pair
♣Q, ♣8, ♣7, ♠2, ♣2 | pair
♣Q, ♣8, ♣7, ♣3, ♥8 | pair
♣Q, ♣8, ♣7, ♣3, ♣4 | flush
♣Q, ♣8, ♣7, ♣3, ♣2 | flush
♣Q, ♣8, ♣7, ♠5, ♥8 | pair
♣Q, ♣8, ♣7, ♥8, ♥2 | pair
♣Q, ♣8, ♣7, ♥8, ♣4 | pair
♣Q, ♣8, ♣7, ♥8, ♣2 | pair
♣Q, ♣8, ♣7, ♥8, ♦J | pair
♣Q, ♣8, ♣7, ♥2, ♣2 | pair
♣Q, ♣8, ♣7, ♣4, ♣2 | flush
♣Q, ♣8, ♠2, ♣3, ♥8 | pair
♣Q, ♣8, ♠2, ♣3, ♥2 | pair
♣Q, ♣8, ♠2, ♣3, ♣2 | pair
♣Q, ♣8, ♠2, ♠5, ♥8 | pair
♣Q, ♣8, ♠2, ♠5, ♥2 | pair
♣Q, ♣8, ♠2, ♠5, ♣2 | pair
♣Q, ♣8, ♠2, ♥8, ♥2 | two pairs
♣Q, ♣8, ♠2, ♥8, ♣4 | pair
♣Q, ♣8, ♠2, ♥8, ♣2 | two pairs
♣Q, ♣8, ♠2, ♥8, ♦J | pair
♣Q, ♣8, ♠2, ♥2, ♣4 | pair
♣Q, ♣8, ♠2, ♥2, ♣2 | three of a kind
♣Q, ♣8, ♠2, ♥2, ♦J | pair
♣Q, ♣8, ♠2, ♣4, ♣2 | pair
♣Q, ♣8, ♠2, ♣2, ♦J | pair
♣Q, ♣8, ♣3, ♠5, ♥8 | pair
♣Q, ♣8, ♣3, ♥8, ♥2 | pair
♣Q, ♣8, ♣3, ♥8, ♣4 | pair
♣Q, ♣8, ♣3, ♥8, ♣2 | pair
♣Q, ♣8, ♣3, ♥8, ♦J | pair
♣Q, ♣8, ♣3, ♥2, ♣2 | pair
♣Q, ♣8, ♣3, ♣4, ♣2 | flush
♣Q, ♣8, ♠5, ♥8, ♥2 | pair
♣Q, ♣8, ♠5, ♥8, ♣4 | pair
♣Q, ♣8, ♠5, ♥8, ♣2 | pair
♣Q, ♣8, ♠5, ♥8, ♦J | pair
♣Q, ♣8, ♠5, ♥2, ♣2 | pair
♣Q, ♣8, ♥8, ♥2, ♣4 | pair
♣Q, ♣8, ♥8, ♥2, ♣2 | two pairs
♣Q, ♣8, ♥8, ♥2, ♦J | pair
♣Q, ♣8, ♥8, ♣4, ♣2 | pair
♣Q, ♣8, ♥8, ♣4, ♦J | pair
♣Q, ♣8, ♥8, ♣2, ♦J | pair
♣Q, ♣8, ♥2, ♣4, ♣2 | pair
♣Q, ♣8, ♥2, ♣2, ♦J | pair
♣Q, ♣10, ♣7, ♠2, ♥2 | pair
♣Q, ♣10, ♣7, ♠2, ♣2 | pair
♣Q, ♣10, ♣7, ♣3, ♣4 | flush
♣Q, ♣10, ♣7, ♣3, ♣2 | flush
♣Q, ♣10, ♣7, ♥2, ♣2 | pair
♣Q, ♣10, ♣7, ♣4, ♣2 | flush
♣Q, ♣10, ♠2, ♣3, ♥2 | pair
♣Q, ♣10, ♠2, ♣3, ♣2 | pair
♣Q, ♣10, ♠2, ♠5, ♥2 | pair
♣Q, ♣10, ♠2, ♠5, ♣2 | pair
♣Q, ♣10, ♠2, ♥8, ♥2 | pair
♣Q, ♣10, ♠2, ♥8, ♣2 | pair
♣Q, ♣10, ♠2, ♥2, ♣4 | pair
♣Q, ♣10, ♠2, ♥2, ♣2 | three of a kind
♣Q, ♣10, ♠2, ♥2, ♦J | pair
♣Q, ♣10, ♠2, ♣4, ♣2 | pair
♣Q, ♣10, ♠2, ♣2, ♦J | pair
♣Q, ♣10, ♣3, ♥2, ♣2 | pair
♣Q, ♣10, ♣3, ♣4, ♣2 | flush
♣Q, ♣10, ♠5, ♥2, ♣2 | pair
♣Q, ♣10, ♥8, ♥2, ♣2 | pair
♣Q, ♣10, ♥2, ♣4, ♣2 | pair
♣Q, ♣10, ♥2, ♣2, ♦J | pair
♣Q, ♣7, ♠2, ♣3, ♥2 | pair
♣Q, ♣7, ♠2, ♣3, ♣2 | pair
♣Q, ♣7, ♠2, ♠5, ♥2 | pair
♣Q, ♣7, ♠2, ♠5, ♣2 | pair
♣Q, ♣7, ♠2, ♥8, ♥2 | pair
♣Q, ♣7, ♠2, ♥8, ♣2 | pair
♣Q, ♣7, ♠2, ♥2, ♣4 | pair
♣Q, ♣7, ♠2, ♥2, ♣2 | three of a kind
♣Q, ♣7, ♠2, ♥2, ♦J | pair
♣Q, ♣7, ♠2, ♣4, ♣2 | pair
♣Q, ♣7, ♠2, ♣2, ♦J | pair
♣Q, ♣7, ♣3, ♥2, ♣2 | pair
♣Q, ♣7, ♣3, ♣4, ♣2 | flush
♣Q, ♣7, ♠5, ♥2, ♣2 | pair
♣Q, ♣7, ♥8, ♥2, ♣2 | pair
♣Q, ♣7, ♥2, ♣4, ♣2 | pair
♣Q, ♣7, ♥2, ♣2, ♦J | pair
♣Q, ♠2, ♣3, ♠5, ♥2 | pair
♣Q, ♠2, ♣3, ♠5, ♣2 | pair
♣Q, ♠2, ♣3, ♥8, ♥2 | pair
♣Q, ♠2, ♣3, ♥8, ♣2 | pair
♣Q, ♠2, ♣3, ♥2, ♣4 | pair
♣Q, ♠2, ♣3, ♥2, ♣2 | three of a kind
♣Q, ♠2, ♣3, ♥2, ♦J | pair
♣Q, ♠2, ♣3, ♣4, ♣2 | pair
♣Q, ♠2, ♣3, ♣2, ♦J | pair
♣Q, ♠2, ♠5, ♥8, ♥2 | pair
♣Q, ♠2, ♠5, ♥8, ♣2 | pair
♣Q, ♠2, ♠5, ♥2, ♣4 | pair
♣Q, ♠2, ♠5, ♥2, ♣2 | three of a kind
♣Q, ♠2, ♠5, ♥2, ♦J | pair
♣Q, ♠2, ♠5, ♣4, ♣2 | pair
♣Q, ♠2, ♠5, ♣2, ♦J | pair
♣Q, ♠2, ♥8, ♥2, ♣4 | pair
♣Q, ♠2, ♥8, ♥2, ♣2 | three of a kind
♣Q, ♠2, ♥8, ♥2, ♦J | pair
♣Q, ♠2, ♥8, ♣4, ♣2 | pair
♣Q, ♠2, ♥8, ♣2, ♦J | pair
♣Q, ♠2, ♥2, ♣4, ♣2 | three of a kind
♣Q, ♠2, ♥2, ♣4, ♦J | pair
♣Q, ♠2, ♥2, ♣2, ♦J | three of a kind
♣Q, ♠2, ♣4, ♣2, ♦J | pair
♣Q, ♣3, ♠5, ♥2, ♣2 | pair
♣Q, ♣3, ♥8, ♥2, ♣2 | pair
♣Q, ♣3, ♥2, ♣4, ♣2 | pair
♣Q, ♣3, ♥2, ♣2, ♦J | pair
♣Q, ♠5, ♥8, ♥2, ♣2 | pair
♣Q, ♠5, ♥2, ♣4, ♣2 | pair
♣Q, ♠5, ♥2, ♣2, ♦J | pair
♣Q, ♥8, ♥2, ♣4, ♣2 | pair
♣Q, ♥8, ♥2, ♣2, ♦J | pair
♣Q, ♥2, ♣4, ♣2, ♦J | pair
♣8, ♣10, ♣7, ♠2, ♥8 | pair
♣8, ♣10, ♣7, ♠2, ♥2 | pair
♣8, ♣10, ♣7, ♠2, ♣2 | pair
♣8, ♣10, ♣7, ♣3, ♥8 | pair
♣8, ♣10, ♣7, ♣3, ♣4 | flush
♣8, ♣10, ♣7, ♣3, ♣2 | flush
♣8, ♣10, ♣7, ♠5, ♥8 | pair
♣8, ♣10, ♣7, ♥8, ♥2 | pair
♣8, ♣10, ♣7, ♥8, ♣4 | pair
♣8, ♣10, ♣7, ♥8, ♣2 | pair
♣8, ♣10, ♣7, ♥8, ♦J | pair
♣8, ♣10, ♣7, ♥2, ♣2 | pair
♣8, ♣10, ♣7, ♣4, ♣2 | flush
♣8, ♣10, ♠2, ♣3, ♥8 | pair
♣8, ♣10, ♠2, ♣3, ♥2 | pair
♣8, ♣10, ♠2, ♣3, ♣2 | pair
♣8, ♣10, ♠2, ♠5, ♥8 | pair
♣8, ♣10, ♠2, ♠5, ♥2 | pair
♣8, ♣10, ♠2, ♠5, ♣2 | pair
♣8, ♣10, ♠2, ♥8, ♥2 | two pairs
♣8, ♣10, ♠2, ♥8, ♣4 | pair
♣8, ♣10, ♠2, ♥8, ♣2 | two pairs
♣8, ♣10, ♠2, ♥8, ♦J | pair
♣8, ♣10, ♠2, ♥2, ♣4 | pair
♣8, ♣10, ♠2, ♥2, ♣2 | three of a kind
♣8, ♣10, ♠2, ♥2, ♦J | pair
♣8, ♣10, ♠2, ♣4, ♣2 | pair
♣8, ♣10, ♠2, ♣2, ♦J | pair
♣8, ♣10, ♣3, ♠5, ♥8 | pair
♣8, ♣10, ♣3, ♥8, ♥2 | pair
♣8, ♣10, ♣3, ♥8, ♣4 | pair
♣8, ♣10, ♣3, ♥8, ♣2 | pair
♣8, ♣10, ♣3, ♥8, ♦J | pair
♣8, ♣10, ♣3, ♥2, ♣2 | pair
♣8, ♣10, ♣3, ♣4, ♣2 | flush
♣8, ♣10, ♠5, ♥8, ♥2 | pair
♣8, ♣10, ♠5, ♥8, ♣4 | pair
♣8, ♣10, ♠5, ♥8, ♣2 | pair
♣8, ♣10, ♠5, ♥8, ♦J | pair
♣8, ♣10, ♠5, ♥2, ♣2 | pair
♣8, ♣10, ♥8, ♥2, ♣4 | pair
♣8, ♣10, ♥8, ♥2, ♣2 | two pairs
♣8, ♣10, ♥8, ♥2, ♦J | pair
♣8, ♣10, ♥8, ♣4, ♣2 | pair
♣8, ♣10, ♥8, ♣4, ♦J | pair
♣8, ♣10, ♥8, ♣2, ♦J | pair
♣8, ♣10, ♥2, ♣4, ♣2 | pair
♣8, ♣10, ♥2, ♣2, ♦J | pair
♣8, ♣7, ♠2, ♣3, ♥8 | pair
♣8, ♣7, ♠2, ♣3, ♥2 | pair
♣8, ♣7, ♠2, ♣3, ♣2 | pair
♣8, ♣7, ♠2, ♠5, ♥8 | pair
♣8, ♣7, ♠2, ♠5, ♥2 | pair
♣8, ♣7, ♠2, ♠5, ♣2 | pair
♣8, ♣7, ♠2, ♥8, ♥2 | two pairs
♣8, ♣7, ♠2, ♥8, ♣4 | pair
♣8, ♣7, ♠2, ♥8, ♣2 | two pairs
♣8, ♣7, ♠2, ♥8, ♦J | pair
♣8, ♣7, ♠2, ♥2, ♣4 | pair
♣8, ♣7, ♠2, ♥2, ♣2 | three of a kind
