♣2,♥5,♠10,♦10,♦J | Pair
♥4,♦4,♥5,♠9,♠10 | Pair
♥3,♥5,♠10,♦10,♥Q | Pair
♥3,♦3,♥5,♠10,♥Q | Pair
♥4,♥5,♠10,♦10,♥Q | Pair
♥5,♦6,♠10,♦10,♥Q | Pair
♦3,♥5,♠10,♦10,♥Q | Pair
♦4,♥5,♠10,♦10,♥Q | Pair
♥4,♦4,♥5,♠10,♥Q | Pair
♥3,♥4,♥5,♠10,♦10 | Pair
♥3,♥5,♦6,♠10,♦10 | Pair
♥3,♦3,♥5,♠10,♦10 | Two pairs
♥3,♦4,♥5,♠10,♦10 | Pair
♥3,♦3,♥4,♥5,♠10 | Pair
♥3,♥4,♦4,♥5,♠10 | Pair
♥3,♦3,♥5,♦6,♠10 | Pair
♥3,♦3,♦4,♥5,♠10 | Pair
♥4,♥5,♦6,♠10,♦10 | Pair
♦3,♥4,♥5,♠10,♦10 | Pair
♥4,♦4,♥5,♠10,♦10 | Two pairs
♦3,♥5,♦6,♠10,♦10 | Pair
♦4,♥5,♦6,♠10,♦10 | Pair
♦3,♦4,♥5,♠10,♦10 | Pair
♥4,♦4,♥5,♦6,♠10 | Pair
♦3,♥4,♦4,♥5,♠10 | Pair
♥3,♠9,♠10,♦10,♥Q | Pair
♥3,♦3,♠9,♠10,♥Q | Pair
♥4,♠9,♠10,♦10,♥Q | Pair
♦6,♠9,♠10,♦10,♥Q | Pair
♦3,♠9,♠10,♦10,♥Q | Pair
♦4,♠9,♠10,♦10,♥Q | Pair
♥4,♦4,♠9,♠10,♥Q | Pair
♥3,♥4,♠9,♠10,♦10 | Pair
♥3,♦6,♠9,♠10,♦10 | Pair
♥3,♦3,♠9,♠10,♦10 | Two pairs
♥3,♦4,♠9,♠10,♦10 | Pair
♥3,♦3,♥4,♠9,♠10 | Pair
♥3,♥4,♦4,♠9,♠10 | Pair
♥3,♦3,♦6,♠9,♠10 | Pair
♥3,♦3,♦4,♠9,♠10 | Pair
♥4,♦6,♠9,♠10,♦10 | Pair
♦3,♥4,♠9,♠10,♦10 | Pair
♥4,♦4,♠9,♠10,♦10 | Two pairs
♦3,♦6,♠9,♠10,♦10 | Pair
♦4,♦6,♠9,♠10,♦10 | Pair
♦3,♦4,♠9,♠10,♦10 | Pair
♥4,♦4,♦6,♠9,♠10 | Pair
♦3,♥4,♦4,♠9,♠10 | Pair
♥3,♥4,♠10,♦10,♥Q | Pair
♥3,♦6,♠10,♦10,♥Q | Pair
♥3,♦3,♠10,♦10,♥Q | Two pairs
♥3,♦4,♠10,♦10,♥Q | Pair
♥3,♦3,♥4,♠10,♥Q | Pair
♥3,♥4,♦4,♠10,♥Q | Pair
♥3,♦3,♦6,♠10,♥Q | Pair
♥3,♦3,♦4,♠10,♥Q | Pair
♥4,♦6,♠10,♦10,♥Q | Pair
♦3,♥4,♠10,♦10,♥Q | Pair
♥4,♦4,♠10,♦10,♥Q | Two pairs
♦3,♦6,♠10,♦10,♥Q | Pair
♦4,♦6,♠10,♦10,♥Q | Pair
♦3,♦4,♠10,♦10,♥Q | Pair
♥4,♦4,♦6,♠10,♥Q | Pair
♦3,♥4,♦4,♠10,♥Q | Pair
♥3,♥4,♦6,♠10,♦10 | Pair
♥3,♦3,♥4,♠10,♦10 | Two pairs
♥3,♥4,♦4,♠10,♦10 | Two pairs
♥3,♦3,♦6,♠10,♦10 | Two pairs
♥3,♦4,♦6,♠10,♦10 | Pair
♥3,♦3,♦4,♠10,♦10 | Two pairs
♥3,♦3,♥4,♦6,♠10 | Pair
♥3,♥4,♦4,♦6,♠10 | Pair
♥3,♦3,♥4,♦4,♠10 | Two pairs
♥3,♦3,♦4,♦6,♠10 | Pair
♦3,♥4,♦6,♠10,♦10 | Pair
♥4,♦4,♦6,♠10,♦10 | Two pairs
♦3,♥4,♦4,♠10,♦10 | Two pairs
♦3,♦4,♦6,♠10,♦10 | Pair
♦3,♥4,♦4,♦6,♠10 | Pair
♥3,♦3,♥5,♠9,♥Q | Pair
♥4,♦4,♥5,♠9,♥Q | Pair
♥3,♦3,♥5,♠9,♦10 | Pair
♥3,♦3,♥4,♥5,♠9 | Pair
♥3,♥4,♦4,♥5,♠9 | Pair
♥3,♦3,♥5,♦6,♠9 | Pair
♥3,♦3,♦4,♥5,♠9 | Pair
♥4,♦4,♥5,♠9,♦10 | Pair
♥4,♦4,♥5,♦6,♠9 | Pair
♦3,♥4,♦4,♥5,♠9 | Pair
♥3,♦3,♥5,♦10,♥Q | Pair
♥3,♦3,♥4,♥5,♥Q | Pair
♥3,♥4,♦4,♥5,♥Q | Pair
♥3,♦3,♥5,♦6,♥Q | Pair
♥3,♦3,♦4,♥5,♥Q | Pair
♥4,♦4,♥5,♦10,♥Q | Pair
♥4,♦4,♥5,♦6,♥Q | Pair
♦3,♥4,♦4,♥5,♥Q | Pair
♥3,♦3,♥4,♥5,♦10 | Pair
♥3,♥4,♦4,♥5,♦10 | Pair
♥3,♦3,♥5,♦6,♦10 | Pair
♥3,♦3,♦4,♥5,♦10 | Pair
♥3,♦3,♥4,♥5,♦6 | Pair
♥3,♥4,♦4,♥5,♦6 | Pair
♥3,♦3,♥4,♦4,♥5 | Two pairs
♥3,♦3,♦4,♥5,♦6 | Pair
♥4,♦4,♥5,♦6,♦10 | Pair
♦3,♥4,♦4,♥5,♦10 | Pair
♦3,♥4,♦4,♥5,♦6 | Pair
♥3,♦3,♠9,♦10,♥Q | Pair
♥3,♦3,♥4,♠9,♥Q | Pair
♥3,♥4,♦4,♠9,♥Q | Pair
♥3,♦3,♦6,♠9,♥Q | Pair
♥3,♦3,♦4,♠9,♥Q | Pair
♥4,♦4,♠9,♦10,♥Q | Pair
♥4,♦4,♦6,♠9,♥Q | Pair
♦3,♥4,♦4,♠9,♥Q | Pair
♥3,♦3,♥4,♠9,♦10 | Pair
♥3,♥4,♦4,♠9,♦10 | Pair
♥3,♦3,♦6,♠9,♦10 | Pair
♥3,♦3,♦4,♠9,♦10 | Pair
♥3,♦3,♥4,♦6,♠9 | Pair
♥3,♥4,♦4,♦6,♠9 | Pair
♥3,♦3,♥4,♦4,♠9 | Two pairs
♥3,♦3,♦4,♦6,♠9 | Pair
♥4,♦4,♦6,♠9,♦10 | Pair
♦3,♥4,♦4,♠9,♦10 | Pair
♦3,♥4,♦4,♦6,♠9 | Pair
♥3,♦3,♥4,♦10,♥Q | Pair
♥3,♥4,♦4,♦10,♥Q | Pair
♥3,♦3,♦6,♦10,♥Q | Pair
♥3,♦3,♦4,♦10,♥Q | Pair
♥3,♦3,♥4,♦6,♥Q | Pair
♥3,♥4,♦4,♦6,♥Q | Pair
♥3,♦3,♥4,♦4,♥Q | Two pairs
♥3,♦3,♦4,♦6,♥Q | Pair
♥4,♦4,♦6,♦10,♥Q | Pair
♦3,♥4,♦4,♦10,♥Q | Pair
♦3,♥4,♦4,♦6,♥Q | Pair
♥3,♦3,♥4,♦6,♦10 | Pair
♥3,♥4,♦4,♦6,♦10 | Pair
♥3,♦3,♥4,♦4,♦10 | Two pairs
♥3,♦3,♦4,♦6,♦10 | Pair
♥3,♦3,♥4,♦4,♦6 | Two pairs
♦3,♥4,♦4,♦6,♦10 | Pair
