♦7, ♣Q, ♠J, ♣3, ♥3 | pair
♦7, ♣3, ♥3, ♠K, ♣A | pair
♦7, ♣3, ♥3, ♠K, ♥J | pair
♦7, ♣3, ♥3, ♠K, ♦4 | pair
♦7, ♣3, ♥3, ♠K, ♥4 | pair
♦7, ♣3, ♥3, ♠K, ♥8 | pair
♦7, ♣3, ♥3, ♣A, ♥J | pair
♦7, ♣3, ♥3, ♣A, ♦4 | pair
♦7, ♣3, ♥3, ♣A, ♥4 | pair
♦7, ♣3, ♥3, ♣A, ♥8 | pair
♦7, ♣3, ♥3, ♥J, ♦4 | pair
♦7, ♣3, ♥3, ♥J, ♥4 | pair
♦7, ♣3, ♥3, ♥J, ♥8 | pair
♦7, ♣3, ♥3, ♦4, ♥4 | two pairs
♦7, ♣3, ♥3, ♦4, ♥8 | pair
♦7, ♣3, ♥3, ♥4, ♥8 | pair
♦7, ♣3, ♠10, ♦4, ♥4 | pair
♦7, ♣3, ♠K, ♦4, ♥4 | pair
♦7, ♣3, ♣A, ♦4, ♥4 | pair
♦7, ♣3, ♥J, ♦4, ♥4 | pair
♦7, ♣3, ♦4, ♥4, ♥8 | pair
♦7, ♥K, ♥3, ♠10, ♠K | pair
♦7, ♥K, ♥3, ♠K, ♣A | pair
♦7, ♥K, ♥3, ♠K, ♥J | pair
♦7, ♥K, ♥3, ♠K, ♦4 | pair
♦7, ♥K, ♥3, ♠K, ♥4 | pair
♦7, ♥K, ♥3, ♠K, ♥8 | pair
♦7, ♥K, ♥3, ♦4, ♥4 | pair
♦7, ♥K, ♠10, ♠K, ♣A | pair
♦7, ♥K, ♠10, ♠K, ♥J | pair
♦7, ♥K, ♠10, ♠K, ♦4 | pair
♦7, ♥K, ♠10, ♠K, ♥4 | pair
♦7, ♥K, ♠10, ♠K, ♥8 | pair
♦7, ♥K, ♠10, ♦4, ♥4 | pair
♦7, ♥K, ♠K, ♣A, ♥J | pair
♦7, ♥K, ♠K, ♣A, ♦4 | pair
♦7, ♥K, ♠K, ♣A, ♥4 | pair
♦7, ♥K, ♠K, ♣A, ♥8 | pair
♦7, ♥K, ♠K, ♥J, ♦4 | pair
♦7, ♥K, ♠K, ♥J, ♥4 | pair
♦7, ♥K, ♠K, ♥J, ♥8 | pair
♦7, ♥K, ♠K, ♦4, ♥4 | two pairs
♦7, ♥K, ♠K, ♦4, ♥8 | pair
♦7, ♥K, ♠K, ♥4, ♥8 | pair
♦7, ♥K, ♣A, ♦4, ♥4 | pair
♦7, ♥K, ♥J, ♦4, ♥4 | pair
♦7, ♥K, ♦4, ♥4, ♥8 | pair
♦7, ♥3, ♠10, ♦4, ♥4 | pair
♦7, ♥3, ♠K, ♦4, ♥4 | pair
♦7, ♥3, ♣A, ♦4, ♥4 | pair
♦7, ♥3, ♥J, ♦4, ♥4 | pair
♦7, ♥3, ♦4, ♥4, ♥8 | pair
♦7, ♠10, ♠K, ♦4, ♥4 | pair
♦7, ♠10, ♣A, ♦4, ♥4 | pair
♦7, ♠10, ♥J, ♦4, ♥4 | pair
♦7, ♠10, ♦4, ♥4, ♥8 | pair
♦7, ♠K, ♣A, ♦4, ♥4 | pair
♦7, ♠K, ♥J, ♦4, ♥4 | pair
♦7, ♠K, ♦4, ♥4, ♥8 | pair
♦7, ♣A, ♥J, ♦4, ♥4 | pair
♦7, ♣A, ♦4, ♥4, ♥8 | pair
♦7, ♥J, ♦4, ♥4, ♥8 | pair
♣Q, ♠J, ♣3, ♥K, ♥3 | pair
♣Q, ♠J, ♣3, ♥K, ♠K | pair
♣Q, ♠J, ♣3, ♥K, ♥J | pair
♣Q, ♠J, ♣3, ♥3, ♠10 | pair
♣Q, ♠J, ♣3, ♥3, ♠K | pair
♣Q, ♠J, ♣3, ♥3, ♣A | pair
♣Q, ♠J, ♣3, ♥3, ♥J | two pairs
♣Q, ♠J, ♣3, ♥3, ♦4 | pair
♣Q, ♠J, ♣3, ♥3, ♥4 | pair
♣Q, ♠J, ♣3, ♥3, ♥8 | pair
♣Q, ♠J, ♣3, ♠10, ♥J | pair
♣Q, ♠J, ♣3, ♠K, ♥J | pair
♣Q, ♠J, ♣3, ♣A, ♥J | pair
♣Q, ♠J, ♣3, ♥J, ♦4 | pair
♣Q, ♠J, ♣3, ♥J, ♥4 | pair
♣Q, ♠J, ♣3, ♥J, ♥8 | pair
♣Q, ♠J, ♣3, ♦4, ♥4 | pair
♣Q, ♠J, ♥K, ♥3, ♠K | pair
♣Q, ♠J, ♥K, ♥3, ♥J | pair
♣Q, ♠J, ♥K, ♠10, ♠K | pair
♣Q, ♠J, ♥K, ♠10, ♣A | straight
♣Q, ♠J, ♥K, ♠10, ♥J | pair
♣Q, ♠J, ♥K, ♠K, ♣A | pair
♣Q, ♠J, ♥K, ♠K, ♥J | two pairs
♣Q, ♠J, ♥K, ♠K, ♦4 | pair
♣Q, ♠J, ♥K, ♠K, ♥4 | pair
♣Q, ♠J, ♥K, ♠K, ♥8 | pair
♣Q, ♠J, ♥K, ♣A, ♥J | pair
♣Q, ♠J, ♥K, ♥J, ♦4 | pair
♣Q, ♠J, ♥K, ♥J, ♥4 | pair
♣Q, ♠J, ♥K, ♥J, ♥8 | pair
♣Q, ♠J, ♥K, ♦4, ♥4 | pair
♣Q, ♠J, ♥3, ♠10, ♥J | pair
♣Q, ♠J, ♥3, ♠K, ♥J | pair
♣Q, ♠J, ♥3, ♣A, ♥J | pair
♣Q, ♠J, ♥3, ♥J, ♦4 | pair
♣Q, ♠J, ♥3, ♥J, ♥4 | pair
♣Q, ♠J, ♥3, ♥J, ♥8 | pair
♣Q, ♠J, ♥3, ♦4, ♥4 | pair
♣Q, ♠J, ♠10, ♠K, ♣A | straight
♣Q, ♠J, ♠10, ♠K, ♥J | pair
♣Q, ♠J, ♠10, ♣A, ♥J | pair
♣Q, ♠J, ♠10, ♥J, ♦4 | pair
♣Q, ♠J, ♠10, ♥J, ♥4 | pair
♣Q, ♠J, ♠10, ♥J, ♥8 | pair
♣Q, ♠J, ♠10, ♦4, ♥4 | pair
♣Q, ♠J, ♠K, ♣A, ♥J | pair
♣Q, ♠J, ♠K, ♥J, ♦4 | pair
♣Q, ♠J, ♠K, ♥J, ♥4 | pair
♣Q, ♠J, ♠K, ♥J, ♥8 | pair
♣Q, ♠J, ♠K, ♦4, ♥4 | pair
♣Q, ♠J, ♣A, ♥J, ♦4 | pair
♣Q, ♠J, ♣A, ♥J, ♥4 | pair
♣Q, ♠J, ♣A, ♥J, ♥8 | pair
♣Q, ♠J, ♣A, ♦4, ♥4 | pair
♣Q, ♠J, ♥J, ♦4, ♥4 | two pairs
♣Q, ♠J, ♥J, ♦4, ♥8 | pair
♣Q, ♠J, ♥J, ♥4, ♥8 | pair
♣Q, ♠J, ♦4, ♥4, ♥8 | pair
♣Q, ♣3, ♥K, ♥3, ♠10 | pair
♣Q, ♣3, ♥K, ♥3, ♠K | two pairs
♣Q, ♣3, ♥K, ♥3, ♣A | pair
♣Q, ♣3, ♥K, ♥3, ♥J | pair
♣Q, ♣3, ♥K, ♥3, ♦4 | pair
♣Q, ♣3, ♥K, ♥3, ♥4 | pair
♣Q, ♣3, ♥K, ♥3, ♥8 | pair
♣Q, ♣3, ♥K, ♠10, ♠K | pair
♣Q, ♣3, ♥K, ♠K, ♣A | pair
♣Q, ♣3, ♥K, ♠K, ♥J | pair
♣Q, ♣3, ♥K, ♠K, ♦4 | pair
♣Q, ♣3, ♥K, ♠K, ♥4 | pair
♣Q, ♣3, ♥K, ♠K, ♥8 | pair
♣Q, ♣3, ♥K, ♦4, ♥4 | pair
♣Q, ♣3, ♥3, ♠10, ♠K | pair
♣Q, ♣3, ♥3, ♠10, ♣A | pair
♣Q, ♣3, ♥3, ♠10, ♥J | pair
♣Q, ♣3, ♥3, ♠10, ♦4 | pair
♣Q, ♣3, ♥3, ♠10, ♥4 | pair
♣Q, ♣3, ♥3, ♠10, ♥8 | pair
♣Q, ♣3, ♥3, ♠K, ♣A | pair
♣Q, ♣3, ♥3, ♠K, ♥J | pair
♣Q, ♣3, ♥3, ♠K, ♦4 | pair
♣Q, ♣3, ♥3, ♠K, ♥4 | pair
♣Q, ♣3, ♥3, ♠K, ♥8 | pair
♣Q, ♣3, ♥3, ♣A, ♥J | pair
♣Q, ♣3, ♥3, ♣A, ♦4 | pair
♣Q, ♣3, ♥3, ♣A, ♥4 | pair
♣Q, ♣3, ♥3, ♣A, ♥8 | pair
♣Q, ♣3, ♥3, ♥J, ♦4 | pair
♣Q, ♣3, ♥3, ♥J, ♥4 | pair
♣Q, ♣3, ♥3, ♥J, ♥8 | pair
♣Q, ♣3, ♥3, ♦4, ♥4 | two pairs
♣Q, ♣3, ♥3, ♦4, ♥8 | pair
♣Q, ♣3, ♥3, ♥4, ♥8 | pair
♣Q, ♣3, ♠10, ♦4, ♥4 | pair
♣Q, ♣3, ♠K, ♦4, ♥4 | pair
♣Q, ♣3, ♣A, ♦4, ♥4 | pair
♣Q, ♣3, ♥J, ♦4, ♥4 | pair
♣Q, ♣3, ♦4, ♥4, ♥8 | pair
♣Q, ♥K, ♥3, ♠10, ♠K | pair
♣Q, ♥K, ♥3, ♠K, ♣A | pair
♣Q, ♥K, ♥3, ♠K, ♥J | pair
♣Q, ♥K, ♥3, ♠K, ♦4 | pair
♣Q, ♥K, ♥3, ♠K, ♥4 | pair
♣Q, ♥K, ♥3, ♠K, ♥8 | pair
♣Q, ♥K, ♥3, ♦4, ♥4 | pair
♣Q, ♥K, ♠10, ♠K, ♣A | pair
♣Q, ♥K, ♠10, ♠K, ♥J | pair
♣Q, ♥K, ♠10, ♠K, ♦4 | pair
♣Q, ♥K, ♠10, ♠K, ♥4 | pair
♣Q, ♥K, ♠10, ♠K, ♥8 | pair
♣Q, ♥K, ♠10, ♣A, ♥J | straight
♣Q, ♥K, ♠10, ♦4, ♥4 | pair
♣Q, ♥K, ♠K, ♣A, ♥J | pair
♣Q, ♥K, ♠K, ♣A, ♦4 | pair
♣Q, ♥K, ♠K, ♣A, ♥4 | pair
♣Q, ♥K, ♠K, ♣A, ♥8 | pair
♣Q, ♥K, ♠K, ♥J, ♦4 | pair
♣Q, ♥K, ♠K, ♥J, ♥4 | pair
♣Q, ♥K, ♠K, ♥J, ♥8 | pair
♣Q, ♥K, ♠K, ♦4, ♥4 | two pairs
♣Q, ♥K, ♠K, ♦4, ♥8 | pair
♣Q, ♥K, ♠K, ♥4, ♥8 | pair
♣Q, ♥K, ♣A, ♦4, ♥4 | pair
♣Q, ♥K, ♥J, ♦4, ♥4 | pair
♣Q, ♥K, ♦4, ♥4, ♥8 | pair
♣Q, ♥3, ♠10, ♦4, ♥4 | pair
♣Q, ♥3, ♠K, ♦4, ♥4 | pair
♣Q, ♥3, ♣A, ♦4, ♥4 | pair
♣Q, ♥3, ♥J, ♦4, ♥4 | pair
♣Q, ♥3, ♦4, ♥4, ♥8 | pair
♣Q, ♠10, ♠K, ♣A, ♥J | straight
♣Q, ♠10, ♠K, ♦4, ♥4 | pair
♣Q, ♠10, ♣A, ♦4, ♥4 | pair
♣Q, ♠10, ♥J, ♦4, ♥4 | pair
♣Q, ♠10, ♦4, ♥4, ♥8 | pair
♣Q, ♠K, ♣A, ♦4, ♥4 | pair
♣Q, ♠K, ♥J, ♦4, ♥4 | pair
♣Q, ♠K, ♦4, ♥4, ♥8 | pair
♣Q, ♣A, ♥J, ♦4, ♥4 | pair
♣Q, ♣A, ♦4, ♥4, ♥8 | pair
♣Q, ♥J, ♦4, ♥4, ♥8 | pair
♠J, ♣3, ♥K, ♥3, ♠10 | pair
♠J, ♣3, ♥K, ♥3, ♠K | two pairs
♠J, ♣3, ♥K, ♥3, ♣A | pair
♠J, ♣3, ♥K, ♥3, ♥J | two pairs
♠J, ♣3, ♥K, ♥3, ♦4 | pair
♠J, ♣3, ♥K, ♥3, ♥4 | pair
♠J, ♣3, ♥K, ♥3, ♥8 | pair
♠J, ♣3, ♥K, ♠10, ♠K | pair
♠J, ♣3, ♥K, ♠10, ♥J | pair
♠J, ♣3, ♥K, ♠K, ♣A | pair
♠J, ♣3, ♥K, ♠K, ♥J | two pairs
♠J, ♣3, ♥K, ♠K, ♦4 | pair
♠J, ♣3, ♥K, ♠K, ♥4 | pair
♠J, ♣3, ♥K, ♠K, ♥8 | pair
♠J, ♣3, ♥K, ♣A, ♥J | pair
♠J, ♣3, ♥K, ♥J, ♦4 | pair
♠J, ♣3, ♥K, ♥J, ♥4 | pair
♠J, ♣3, ♥K, ♥J, ♥8 | pair
♠J, ♣3, ♥K, ♦4, ♥4 | pair
♠J, ♣3, ♥3, ♠10, ♠K | pair
♠J, ♣3, ♥3, ♠10, ♣A | pair
♠J, ♣3, ♥3, ♠10, ♥J | two pairs
♠J, ♣3, ♥3, ♠10, ♦4 | pair
♠J, ♣3, ♥3, ♠10, ♥4 | pair
♠J, ♣3, ♥3, ♠10, ♥8 | pair
♠J, ♣3, ♥3, ♠K, ♣A | pair
♠J, ♣3, ♥3, ♠K, ♥J | two pairs
♠J, ♣3, ♥3, ♠K, ♦4 | pair
♠J, ♣3, ♥3, ♠K, ♥4 | pair
♠J, ♣3, ♥3, ♠K, ♥8 | pair
♠J, ♣3, ♥3, ♣A, ♥J | two pairs
♠J, ♣3, ♥3, ♣A, ♦4 | pair
♠J, ♣3, ♥3, ♣A, ♥4 | pair
♠J, ♣3, ♥3, ♣A, ♥8 | pair
♠J, ♣3, ♥3, ♥J, ♦4 | two pairs
♠J, ♣3, ♥3, ♥J, ♥4 | two pairs
♠J, ♣3, ♥3, ♥J, ♥8 | two pairs
♠J, ♣3, ♥3, ♦4, ♥4 | two pairs
♠J, ♣3, ♥3, ♦4, ♥8 | pair
♠J, ♣3, ♥3, ♥4, ♥8 | pair
♠J, ♣3, ♠10, ♠K, ♥J | pair
♠J, ♣3, ♠10, ♣A, ♥J | pair
♠J, ♣3, ♠10, ♥J, ♦4 | pair
♠J, ♣3, ♠10, ♥J, ♥4 | pair
♠J, ♣3, ♠10, ♥J, ♥8 | pair
♠J, ♣3, ♠10, ♦4, ♥4 | pair
♠J, ♣3, ♠K, ♣A, ♥J | pair
♠J, ♣3, ♠K, ♥J, ♦4 | pair
♠J, ♣3, ♠K, ♥J, ♥4 | pair
♠J, ♣3, ♠K, ♥J, ♥8 | pair
♠J, ♣3, ♠K, ♦4, ♥4 | pair
♠J, ♣3, ♣A, ♥J, ♦4 | pair
♠J, ♣3, ♣A, ♥J, ♥4 | pair
♠J, ♣3, ♣A, ♥J, ♥8 | pair
♠J, ♣3, ♣A, ♦4, ♥4 | pair
♠J, ♣3, ♥J, ♦4, ♥4 | two pairs
♠J, ♣3, ♥J, ♦4, ♥8 | pair
♠J, ♣3, ♥J, ♥4, ♥8 | pair
♠J, ♣3, ♦4, ♥4, ♥8 | pair
♠J, ♥K, ♥3, ♠10, ♠K | pair
♠J, ♥K, ♥3, ♠10, ♥J | pair
♠J, ♥K, ♥3, ♠K, ♣A | pair
♠J, ♥K, ♥3, ♠K, ♥J | two pairs
♠J, ♥K, ♥3, ♠K, ♦4 | pair
♠J, ♥K, ♥3, ♠K, ♥4 | pair
♠J, ♥K, ♥3, ♠K, ♥8 | pair
♠J, ♥K, ♥3, ♣A, ♥J | pair
♠J, ♥K, ♥3, ♥J, ♦4 | pair
♠J, ♥K, ♥3, ♥J, ♥4 | pair
♠J, ♥K, ♥3, ♥J, ♥8 | pair
♠J, ♥K, ♥3, ♦4, ♥4 | pair
♠J, ♥K, ♠10, ♠K, ♣A | pair
♠J, ♥K, ♠10, ♠K, ♥J | two pairs
♠J, ♥K, ♠10, ♠K, ♦4 | pair
♠J, ♥K, ♠10, ♠K, ♥4 | pair
♠J, ♥K, ♠10, ♠K, ♥8 | pair
♠J, ♥K, ♠10, ♣A, ♥J | pair
♠J, ♥K, ♠10, ♥J, ♦4 | pair
♠J, ♥K, ♠10, ♥J, ♥4 | pair
♠J, ♥K, ♠10, ♥J, ♥8 | pair
♠J, ♥K, ♠10, ♦4, ♥4 | pair
♠J, ♥K, ♠K, ♣A, ♥J | two pairs
♠J, ♥K, ♠K, ♣A, ♦4 | pair
♠J, ♥K, ♠K, ♣A, ♥4 | pair
♠J, ♥K, ♠K, ♣A, ♥8 | pair
♠J, ♥K, ♠K, ♥J, ♦4 | two pairs
♠J, ♥K, ♠K, ♥J, ♥4 | two pairs
♠J, ♥K, ♠K, ♥J, ♥8 | two pairs
♠J, ♥K, ♠K, ♦4, ♥4 | two pairs
♠J, ♥K, ♠K, ♦4, ♥8 | pair
♠J, ♥K, ♠K, ♥4, ♥8 | pair
♠J, ♥K, ♣A, ♥J, ♦4 | pair
♠J, ♥K, ♣A, ♥J, ♥4 | pair
♠J, ♥K, ♣A, ♥J, ♥8 | pair
♠J, ♥K, ♣A, ♦4, ♥4 | pair
♠J, ♥K, ♥J, ♦4, ♥4 | two pairs
♠J, ♥K, ♥J, ♦4, ♥8 | pair
♠J, ♥K, ♥J, ♥4, ♥8 | pair
♠J, ♥K, ♦4, ♥4, ♥8 | pair
♠J, ♥3, ♠10, ♠K, ♥J | pair
♠J, ♥3, ♠10, ♣A, ♥J | pair
♠J, ♥3, ♠10, ♥J, ♦4 | pair
♠J, ♥3, ♠10, ♥J, ♥4 | pair
♠J, ♥3, ♠10, ♥J, ♥8 | pair
♠J, ♥3, ♠10, ♦4, ♥4 | pair
♠J, ♥3, ♠K, ♣A, ♥J | pair
♠J, ♥3, ♠K, ♥J, ♦4 | pair
♠J, ♥3, ♠K, ♥J, ♥4 | pair
♠J, ♥3, ♠K, ♥J, ♥8 | pair
♠J, ♥3, ♠K, ♦4, ♥4 | pair
♠J, ♥3, ♣A, ♥J, ♦4 | pair
♠J, ♥3, ♣A, ♥J, ♥4 | pair
♠J, ♥3, ♣A, ♥J, ♥8 | pair
♠J, ♥3, ♣A, ♦4, ♥4 | pair
♠J, ♥3, ♥J, ♦4, ♥4 | two pairs
♠J, ♥3, ♥J, ♦4, ♥8 | pair
♠J, ♥3, ♥J, ♥4, ♥8 | pair
♠J, ♥3, ♦4, ♥4, ♥8 | pair
♠J, ♠10, ♠K, ♣A, ♥J | pair
♠J, ♠10, ♠K, ♥J, ♦4 | pair
♠J, ♠10, ♠K, ♥J, ♥4 | pair
♠J, ♠10, ♠K, ♥J, ♥8 | pair
♠J, ♠10, ♠K, ♦4, ♥4 | pair
♠J, ♠10, ♣A, ♥J, ♦4 | pair
♠J, ♠10, ♣A, ♥J, ♥4 | pair
♠J, ♠10, ♣A, ♥J, ♥8 | pair
♠J, ♠10, ♣A, ♦4, ♥4 | pair
♠J, ♠10, ♥J, ♦4, ♥4 | two pairs
♠J, ♠10, ♥J, ♦4, ♥8 | pair
♠J, ♠10, ♥J, ♥4, ♥8 | pair
♠J, ♠10, ♦4, ♥4, ♥8 | pair
♠J, ♠K, ♣A, ♥J, ♦4 | pair
♠J, ♠K, ♣A, ♥J, ♥4 | pair
♠J, ♠K, ♣A, ♥J, ♥8 | pair
♠J, ♠K, ♣A, ♦4, ♥4 | pair
♠J, ♠K, ♥J, ♦4, ♥4 | two pairs
♠J, ♠K, ♥J, ♦4, ♥8 | pair
♠J, ♠K, ♥J, ♥4, ♥8 | pair
♠J, ♠K, ♦4, ♥4, ♥8 | pair
♠J, ♣A, ♥J, ♦4, ♥4 | two pairs
♠J, ♣A, ♥J, ♦4, ♥8 | pair
♠J, ♣A, ♥J, ♥4, ♥8 | pair
♠J, ♣A, ♦4, ♥4, ♥8 | pair
♠J, ♥J, ♦4, ♥4, ♥8 | two pairs
♣3, ♥K, ♥3, ♠10, ♠K | two pairs
♣3, ♥K, ♥3, ♠10, ♣A | pair
♣3, ♥K, ♥3, ♠10, ♥J | pair
♣3, ♥K, ♥3, ♠10, ♦4 | pair
♣3, ♥K, ♥3, ♠10, ♥4 | pair
♣3, ♥K, ♥3, ♠10, ♥8 | pair
♣3, ♥K, ♥3, ♠K, ♣A | two pairs
♣3, ♥K, ♥3, ♠K, ♥J | two pairs
♣3, ♥K, ♥3, ♠K, ♦4 | two pairs
♣3, ♥K, ♥3, ♠K, ♥4 | two pairs
♣3, ♥K, ♥3, ♠K, ♥8 | two pairs
♣3, ♥K, ♥3, ♣A, ♥J | pair
♣3, ♥K, ♥3, ♣A, ♦4 | pair
♣3, ♥K, ♥3, ♣A, ♥4 | pair
♣3, ♥K, ♥3, ♣A, ♥8 | pair
♣3, ♥K, ♥3, ♥J, ♦4 | pair
♣3, ♥K, ♥3, ♥J, ♥4 | pair
♣3, ♥K, ♥3, ♥J, ♥8 | pair
♣3, ♥K, ♥3, ♦4, ♥4 | two pairs
♣3, ♥K, ♥3, ♦4, ♥8 | pair
♣3, ♥K, ♥3, ♥4, ♥8 | pair
♣3, ♥K, ♠10, ♠K, ♣A | pair
♣3, ♥K, ♠10, ♠K, ♥J | pair
♣3, ♥K, ♠10, ♠K, ♦4 | pair
♣3, ♥K, ♠10, ♠K, ♥4 | pair
♣3, ♥K, ♠10, ♠K, ♥8 | pair
♣3, ♥K, ♠10, ♦4, ♥4 | pair
♣3, ♥K, ♠K, ♣A, ♥J | pair
♣3, ♥K, ♠K, ♣A, ♦4 | pair
♣3, ♥K, ♠K, ♣A, ♥4 | pair
♣3, ♥K, ♠K, ♣A, ♥8 | pair
♣3, ♥K, ♠K, ♥J, ♦4 | pair
♣3, ♥K, ♠K, ♥J, ♥4 | pair
♣3, ♥K, ♠K, ♥J, ♥8 | pair
