♦Q,♣5,♠A,♦8,♣K | Pair
♦Q,♣5,♣K,♦3,♥10 | Pair
♦Q,♣5,♣K,♥8,♦8 | Pair
♦Q,♣5,♣K,♥8,♦8 | Pair
♦Q,♣5,♣K,♥8,♥10 | Pair
♦Q,♣5,♣K,♦8,♥10 | Pair
♦Q,♣5,♣10,♠Q,♣6 | Pair
♦Q,♣5,♣10,♠Q,♦7 | Pair
♦Q,♣5,♣10,♠Q,♦3 | Pair
♦Q,♣5,♣10,♠Q,♥8 | Pair
♦Q,♣5,♣10,♠Q,♦8 | Pair
♦Q,♣5,♣10,♠Q,♥10 | Pair
♦Q,♣5,♣10,♠Q,♥10 | Pair
♦Q,♣5,♣10,♣6,♥10 | Pair
♦Q,♣5,♣10,♦7,♥10 | Pair
♦Q,♣5,♣10,♦3,♥10 | Pair
♦Q,♣5,♣10,♥8,♦8 | Pair
♦Q,♣5,♣10,♥8,♥10 | Pair
♦Q,♣5,♣10,♦8,♥10 | Pair
♦Q,♣5,♠Q,♣6,♦7 | Pair
♦Q,♣5,♠Q,♣6,♦3 | Pair
♦Q,♣5,♠Q,♣6,♥8 | Pair
♦Q,♣5,♠Q,♣6,♦8 | Pair
♦Q,♣5,♠Q,♣6,♥10 | Pair
♦Q,♣5,♠Q,♦7,♦3 | Pair
♦Q,♣5,♠Q,♦7,♥8 | Pair
♦Q,♣5,♠Q,♦7,♦8 | Pair
♦Q,♣5,♠Q,♦7,♥10 | Pair
♦Q,♣5,♠Q,♦3,♥8 | Pair
♦Q,♣5,♠Q,♦3,♦8 | Pair
♦Q,♣5,♠Q,♦3,♥10 | Pair
♦Q,♣5,♠Q,♥8,♦8 | Pair
♦Q,♣5,♠Q,♥8,♦8 | Pair
♦Q,♣5,♠Q,♥8,♥10 | Pair
♦Q,♣5,♠Q,♦8,♥10 | Pair
♦Q,♣5,♣6,♥8,♦8 | Pair
♦Q,♣5,♦7,♥8,♦8 | Pair
♦Q,♣5,♦3,♥8,♦8 | Pair
♦Q,♣5,♥8,♦8,♥10 | Pair
♦Q,♠A,♦8,♣K,♣10 | Pair
♦Q,♠A,♦8,♣K,♣10 | Three Of A Kind
♦Q,♠A,♦8,♣K,♠Q | Pair
♦Q,♠A,♦8,♣K,♠Q | Three Of A Kind
♦Q,♠A,♦8,♣K,♠Q | Four Of A Kind
♦Q,♠A,♦8,♣K,♣6 | Pair
♦Q,♠A,♦8,♣K,♣6 | Three Of A Kind
♦Q,♠A,♦8,♣K,♦7 | Pair
♦Q,♠A,♦8,♣K,♦7 | Three Of A Kind
♦Q,♠A,♦8,♣K,♦3 | Pair
♦Q,♠A,♦8,♣K,♦3 | Three Of A Kind
♦Q,♠A,♦8,♣K,♥8 | Pair
♦Q,♠A,♦8,♣K,♥8 | Three Of A Kind
♦Q,♠A,♦8,♣K,♥8 | Pair
♦Q,♠A,♦8,♣K,♦8 | Pair
♦Q,♠A,♦8,♣K,♦8 | Three Of A Kind
♦Q,♠A,♦8,♣K,♦8 | Pair
♦Q,♠A,♦8,♣K,♥10 | Pair
♦Q,♠A,♦8,♣K,♥10 | Three Of A Kind
♦Q,♠A,♦8,♣10,♠Q | Pair
♦Q,♠A,♦8,♣10,♠Q | Three Of A Kind
♦Q,♠A,♦8,♣10,♣6 | Pair
♦Q,♠A,♦8,♣10,♦7 | Pair
♦Q,♠A,♦8,♣10,♦3 | Pair
♦Q,♠A,♦8,♣10,♥8 | Pair
♦Q,♠A,♦8,♣10,♥8 | Pair
♦Q,♠A,♦8,♣10,♦8 | Pair
♦Q,♠A,♦8,♣10,♦8 | Pair
♦Q,♠A,♦8,♣10,♥10 | Pair
♦Q,♠A,♦8,♣10,♥10 | Pair
♦Q,♠A,♦8,♠Q,♣6 | Pair
♦Q,♠A,♦8,♠Q,♣6 | Three Of A Kind
♦Q,♠A,♦8,♠Q,♦7 | Pair
♦Q,♠A,♦8,♠Q,♦7 | Three Of A Kind
♦Q,♠A,♦8,♠Q,♦3 | Pair
♦Q,♠A,♦8,♠Q,♦3 | Three Of A Kind
♦Q,♠A,♦8,♠Q,♥8 | Pair
♦Q,♠A,♦8,♠Q,♥8 | Pair
♦Q,♠A,♦8,♠Q,♥8 | Three Of A Kind
♦Q,♠A,♦8,♠Q,♦8 | Pair
♦Q,♠A,♦8,♠Q,♦8 | Three Of A Kind
♦Q,♠A,♦8,♠Q,♦8 | Pair
♦Q,♠A,♦8,♠Q,♥10 | Pair
♦Q,♠A,♦8,♠Q,♥10 | Three Of A Kind
♦Q,♠A,♦8,♣6,♦7 | Pair
♦Q,♠A,♦8,♣6,♦3 | Pair
♦Q,♠A,♦8,♣6,♥8 | Pair
♦Q,♠A,♦8,♣6,♥8 | Pair
♦Q,♠A,♦8,♣6,♦8 | Pair
♦Q,♠A,♦8,♣6,♦8 | Pair
♦Q,♠A,♦8,♣6,♥10 | Pair
♦Q,♠A,♦8,♦7,♦3 | Pair
♦Q,♠A,♦8,♦7,♥8 | Pair
♦Q,♠A,♦8,♦7,♥8 | Pair
♦Q,♠A,♦8,♦7,♦8 | Pair
♦Q,♠A,♦8,♦7,♦8 | Pair
♦Q,♠A,♦8,♦7,♥10 | Pair
♦Q,♠A,♦8,♦3,♥8 | Pair
♦Q,♠A,♦8,♦3,♥8 | Pair
♦Q,♠A,♦8,♦3,♦8 | Pair
♦Q,♠A,♦8,♦3,♦8 | Pair
♦Q,♠A,♦8,♦3,♥10 | Pair
♦Q,♠A,♦8,♥8,♦8 | Pair
♦Q,♠A,♦8,♥8,♦8 | Pair
♦Q,♠A,♦8,♥8,♦8 | Three Of A Kind
♦Q,♠A,♦8,♥8,♥10 | Pair
♦Q,♠A,♦8,♥8,♥10 | Pair
♦Q,♠A,♦8,♦8,♥10 | Pair
♦Q,♠A,♦8,♦8,♥10 | Pair
♦Q,♠A,♣K,♣10,♠Q | Pair
♦Q,♠A,♣K,♣10,♠Q | Three Of A Kind
♦Q,♠A,♣K,♣10,♠Q | Four Of A Kind
♦Q,♠A,♣K,♣10,♣6 | Pair
♦Q,♠A,♣K,♣10,♣6 | Three Of A Kind
♦Q,♠A,♣K,♣10,♦7 | Pair
♦Q,♠A,♣K,♣10,♦7 | Three Of A Kind
♦Q,♠A,♣K,♣10,♦3 | Pair
♦Q,♠A,♣K,♣10,♦3 | Three Of A Kind
♦Q,♠A,♣K,♣10,♥8 | Pair
♦Q,♠A,♣K,♣10,♥8 | Three Of A Kind
♦Q,♠A,♣K,♣10,♦8 | Pair
♦Q,♠A,♣K,♣10,♦8 | Three Of A Kind
♦Q,♠A,♣K,♣10,♥10 | Pair
♦Q,♠A,♣K,♣10,♥10 | Three Of A Kind
♦Q,♠A,♣K,♣10,♥10 | Pair
♦Q,♠A,♣K,♠Q,♣6 | Pair
♦Q,♠A,♣K,♠Q,♣6 | Three Of A Kind
♦Q,♠A,♣K,♠Q,♣6 | Four Of A Kind
♦Q,♠A,♣K,♠Q,♦7 | Pair
♦Q,♠A,♣K,♠Q,♦7 | Three Of A Kind
♦Q,♠A,♣K,♠Q,♦7 | Four Of A Kind
♦Q,♠A,♣K,♠Q,♦3 | Pair
♦Q,♠A,♣K,♠Q,♦3 | Three Of A Kind
♦Q,♠A,♣K,♠Q,♦3 | Four Of A Kind
♦Q,♠A,♣K,♠Q,♥8 | Pair
♦Q,♠A,♣K,♠Q,♥8 | Three Of A Kind
♦Q,♠A,♣K,♠Q,♥8 | Four Of A Kind
♦Q,♠A,♣K,♠Q,♦8 | Pair
♦Q,♠A,♣K,♠Q,♦8 | Three Of A Kind
♦Q,♠A,♣K,♠Q,♦8 | Four Of A Kind
♦Q,♠A,♣K,♠Q,♥10 | Pair
♦Q,♠A,♣K,♠Q,♥10 | Three Of A Kind
♦Q,♠A,♣K,♠Q,♥10 | Four Of A Kind
♦Q,♠A,♣K,♣6,♦7 | Pair
♦Q,♠A,♣K,♣6,♦7 | Three Of A Kind
♦Q,♠A,♣K,♣6,♦3 | Pair
♦Q,♠A,♣K,♣6,♦3 | Three Of A Kind
♦Q,♠A,♣K,♣6,♥8 | Pair
♦Q,♠A,♣K,♣6,♥8 | Three Of A Kind
♦Q,♠A,♣K,♣6,♦8 | Pair
♦Q,♠A,♣K,♣6,♦8 | Three Of A Kind
♦Q,♠A,♣K,♣6,♥10 | Pair
♦Q,♠A,♣K,♣6,♥10 | Three Of A Kind
♦Q,♠A,♣K,♦7,♦3 | Pair
♦Q,♠A,♣K,♦7,♦3 | Three Of A Kind
♦Q,♠A,♣K,♦7,♥8 | Pair
♦Q,♠A,♣K,♦7,♥8 | Three Of A Kind
♦Q,♠A,♣K,♦7,♦8 | Pair
♦Q,♠A,♣K,♦7,♦8 | Three Of A Kind
♦Q,♠A,♣K,♦7,♥10 | Pair
♦Q,♠A,♣K,♦7,♥10 | Three Of A Kind
♦Q,♠A,♣K,♦3,♥8 | Pair
♦Q,♠A,♣K,♦3,♥8 | Three Of A Kind
♦Q,♠A,♣K,♦3,♦8 | Pair
♦Q,♠A,♣K,♦3,♦8 | Three Of A Kind
♦Q,♠A,♣K,♦3,♥10 | Pair
♦Q,♠A,♣K,♦3,♥10 | Three Of A Kind
♦Q,♠A,♣K,♥8,♦8 | Pair
♦Q,♠A,♣K,♥8,♦8 | Three Of A Kind
♦Q,♠A,♣K,♥8,♦8 | Pair
♦Q,♠A,♣K,♥8,♥10 | Pair
♦Q,♠A,♣K,♥8,♥10 | Three Of A Kind
♦Q,♠A,♣K,♦8,♥10 | Pair
♦Q,♠A,♣K,♦8,♥10 | Three Of A Kind
♦Q,♠A,♣10,♠Q,♣6 | Pair
♦Q,♠A,♣10,♠Q,♣6 | Three Of A Kind
♦Q,♠A,♣10,♠Q,♦7 | Pair
♦Q,♠A,♣10,♠Q,♦7 | Three Of A Kind
♦Q,♠A,♣10,♠Q,♦3 | Pair
♦Q,♠A,♣10,♠Q,♦3 | Three Of A Kind
♦Q,♠A,♣10,♠Q,♥8 | Pair
♦Q,♠A,♣10,♠Q,♥8 | Three Of A Kind
♦Q,♠A,♣10,♠Q,♦8 | Pair
♦Q,♠A,♣10,♠Q,♦8 | Three Of A Kind
♦Q,♠A,♣10,♠Q,♥10 | Pair
♦Q,♠A,♣10,♠Q,♥10 | Pair
♦Q,♠A,♣10,♠Q,♥10 | Three Of A Kind
♦Q,♠A,♣10,♣6,♦7 | Pair
♦Q,♠A,♣10,♣6,♦3 | Pair
♦Q,♠A,♣10,♣6,♥8 | Pair
♦Q,♠A,♣10,♣6,♦8 | Pair
♦Q,♠A,♣10,♣6,♥10 | Pair
♦Q,♠A,♣10,♣6,♥10 | Pair
♦Q,♠A,♣10,♦7,♦3 | Pair
♦Q,♠A,♣10,♦7,♥8 | Pair
♦Q,♠A,♣10,♦7,♦8 | Pair
♦Q,♠A,♣10,♦7,♥10 | Pair
♦Q,♠A,♣10,♦7,♥10 | Pair
♦Q,♠A,♣10,♦3,♥8 | Pair
♦Q,♠A,♣10,♦3,♦8 | Pair
♦Q,♠A,♣10,♦3,♥10 | Pair
♦Q,♠A,♣10,♦3,♥10 | Pair
♦Q,♠A,♣10,♥8,♦8 | Pair
♦Q,♠A,♣10,♥8,♦8 | Pair
♦Q,♠A,♣10,♥8,♥10 | Pair
♦Q,♠A,♣10,♥8,♥10 | Pair
♦Q,♠A,♣10,♦8,♥10 | Pair
♦Q,♠A,♣10,♦8,♥10 | Pair
♦Q,♠A,♠Q,♣6,♦7 | Pair
♦Q,♠A,♠Q,♣6,♦7 | Three Of A Kind
♦Q,♠A,♠Q,♣6,♦3 | Pair
♦Q,♠A,♠Q,♣6,♦3 | Three Of A Kind
♦Q,♠A,♠Q,♣6,♥8 | Pair
♦Q,♠A,♠Q,♣6,♥8 | Three Of A Kind
♦Q,♠A,♠Q,♣6,♦8 | Pair
♦Q,♠A,♠Q,♣6,♦8 | Three Of A Kind
♦Q,♠A,♠Q,♣6,♥10 | Pair
♦Q,♠A,♠Q,♣6,♥10 | Three Of A Kind
♦Q,♠A,♠Q,♦7,♦3 | Pair
♦Q,♠A,♠Q,♦7,♦3 | Three Of A Kind
♦Q,♠A,♠Q,♦7,♥8 | Pair
♦Q,♠A,♠Q,♦7,♥8 | Three Of A Kind
♦Q,♠A,♠Q,♦7,♦8 | Pair
♦Q,♠A,♠Q,♦7,♦8 | Three Of A Kind
♦Q,♠A,♠Q,♦7,♥10 | Pair
♦Q,♠A,♠Q,♦7,♥10 | Three Of A Kind
♦Q,♠A,♠Q,♦3,♥8 | Pair
♦Q,♠A,♠Q,♦3,♥8 | Three Of A Kind
♦Q,♠A,♠Q,♦3,♦8 | Pair
♦Q,♠A,♠Q,♦3,♦8 | Three Of A Kind
♦Q,♠A,♠Q,♦3,♥10 | Pair
♦Q,♠A,♠Q,♦3,♥10 | Three Of A Kind
♦Q,♠A,♠Q,♥8,♦8 | Pair
♦Q,♠A,♠Q,♥8,♦8 | Three Of A Kind
♦Q,♠A,♠Q,♥8,♦8 | Pair
♦Q,♠A,♠Q,♥8,♥10 | Pair
♦Q,♠A,♠Q,♥8,♥10 | Three Of A Kind
♦Q,♠A,♠Q,♦8,♥10 | Pair
♦Q,♠A,♠Q,♦8,♥10 | Three Of A Kind
♦Q,♠A,♣6,♦7,♦3 | Pair
♦Q,♠A,♣6,♦7,♥8 | Pair
♦Q,♠A,♣6,♦7,♦8 | Pair
♦Q,♠A,♣6,♦7,♥10 | Pair
♦Q,♠A,♣6,♦3,♥8 | Pair
♦Q,♠A,♣6,♦3,♦8 | Pair
♦Q,♠A,♣6,♦3,♥10 | Pair
♦Q,♠A,♣6,♥8,♦8 | Pair
♦Q,♠A,♣6,♥8,♦8 | Pair
♦Q,♠A,♣6,♥8,♥10 | Pair
♦Q,♠A,♣6,♦8,♥10 | Pair
♦Q,♠A,♦7,♦3,♥8 | Pair
♦Q,♠A,♦7,♦3,♦8 | Pair
♦Q,♠A,♦7,♦3,♥10 | Pair
♦Q,♠A,♦7,♥8,♦8 | Pair
♦Q,♠A,♦7,♥8,♦8 | Pair
♦Q,♠A,♦7,♥8,♥10 | Pair
♦Q,♠A,♦7,♦8,♥10 | Pair
♦Q,♠A,♦3,♥8,♦8 | Pair
♦Q,♠A,♦3,♥8,♦8 | Pair
♦Q,♠A,♦3,♥8,♥10 | Pair
♦Q,♠A,♦3,♦8,♥10 | Pair
♦Q,♠A,♥8,♦8,♥10 | Pair
♦Q,♠A,♥8,♦8,♥10 | Pair
♦Q,♦8,♣K,♣10,♠Q | Pair
♦Q,♦8,♣K,♣10,♠Q | Three Of A Kind
♦Q,♦8,♣K,♣10,♣6 | Pair
♦Q,♦8,♣K,♣10,♦7 | Pair
♦Q,♦8,♣K,♣10,♦3 | Pair
♦Q,♦8,♣K,♣10,♥8 | Pair
♦Q,♦8,♣K,♣10,♥8 | Pair
♦Q,♦8,♣K,♣10,♦8 | Pair
♦Q,♦8,♣K,♣10,♦8 | Pair
♦Q,♦8,♣K,♣10,♥10 | Pair
♦Q,♦8,♣K,♣10,♥10 | Pair
♦Q,♦8,♣K,♠Q,♣6 | Pair
♦Q,♦8,♣K,♠Q,♣6 | Three Of A Kind
♦Q,♦8,♣K,♠Q,♦7 | Pair
♦Q,♦8,♣K,♠Q,♦7 | Three Of A Kind
♦Q,♦8,♣K,♠Q,♦3 | Pair
♦Q,♦8,♣K,♠Q,♦3 | Three Of A Kind
♦Q,♦8,♣K,♠Q,♥8 | Pair
♦Q,♦8,♣K,♠Q,♥8 | Three Of A Kind
♦Q,♦8,♣K,♠Q,♥8 | Pair
♦Q,♦8,♣K,♠Q,♦8 | Pair
♦Q,♦8,♣K,♠Q,♦8 | Three Of A Kind
♦Q,♦8,♣K,♠Q,♦8 | Pair
♦Q,♦8,♣K,♠Q,♥10 | Pair
♦Q,♦8,♣K,♠Q,♥10 | Three Of A Kind
♦Q,♦8,♣K,♣6,♦7 | Pair
♦Q,♦8,♣K,♣6,♦3 | Pair
♦Q,♦8,♣K,♣6,♥8 | Pair
♦Q,♦8,♣K,♣6,♥8 | Pair
♦Q,♦8,♣K,♣6,♦8 | Pair
♦Q,♦8,♣K,♣6,♦8 | Pair
♦Q,♦8,♣K,♣6,♥10 | Pair
♦Q,♦8,♣K,♦7,♦3 | Pair
♦Q,♦8,♣K,♦7,♥8 | Pair
♦Q,♦8,♣K,♦7,♥8 | Pair
♦Q,♦8,♣K,♦7,♦8 | Pair
♦Q,♦8,♣K,♦7,♦8 | Pair
♦Q,♦8,♣K,♦7,♥10 | Pair
♦Q,♦8,♣K,♦3,♥8 | Pair
♦Q,♦8,♣K,♦3,♥8 | Pair
♦Q,♦8,♣K,♦3,♦8 | Pair
♦Q,♦8,♣K,♦3,♦8 | Pair
♦Q,♦8,♣K,♦3,♥10 | Pair
♦Q,♦8,♣K,♥8,♦8 | Pair
♦Q,♦8,♣K,♥8,♦8 | Pair
♦Q,♦8,♣K,♥8,♦8 | Three Of A Kind
♦Q,♦8,♣K,♥8,♥10 | Pair
♦Q,♦8,♣K,♥8,♥10 | Pair
♦Q,♦8,♣K,♦8,♥10 | Pair
♦Q,♦8,♣K,♦8,♥10 | Pair
♦Q,♦8,♣10,♠Q,♣6 | Pair
♦Q,♦8,♣10,♠Q,♦7 | Pair
♦Q,♦8,♣10,♠Q,♦3 | Pair
♦Q,♦8,♣10,♠Q,♥8 | Pair
♦Q,♦8,♣10,♠Q,♥8 | Pair
♦Q,♦8,♣10,♠Q,♦8 | Pair
♦Q,♦8,♣10,♠Q,♦8 | Pair
♦Q,♦8,♣10,♠Q,♥10 | Pair
♦Q,♦8,♣10,♠Q,♥10 | Pair
♦Q,♦8,♣10,♣6,♥8 | Pair
♦Q,♦8,♣10,♣6,♦8 | Pair
♦Q,♦8,♣10,♣6,♥10 | Pair
♦Q,♦8,♣10,♦7,♥8 | Pair
♦Q,♦8,♣10,♦7,♦8 | Pair
♦Q,♦8,♣10,♦7,♥10 | Pair
♦Q,♦8,♣10,♦3,♥8 | Pair
♦Q,♦8,♣10,♦3,♦8 | Pair
♦Q,♦8,♣10,♦3,♥10 | Pair
♦Q,♦8,♣10,♥8,♦8 | Pair
♦Q,♦8,♣10,♥8,♦8 | Three Of A Kind
♦Q,♦8,♣10,♥8,♥10 | Pair
♦Q,♦8,♣10,♥8,♥10 | Pair
♦Q,♦8,♣10,♦8,♥10 | Pair
♦Q,♦8,♣10,♦8,♥10 | Pair
♦Q,♦8,♠Q,♣6,♦7 | Pair
♦Q,♦8,♠Q,♣6,♦3 | Pair
♦Q,♦8,♠Q,♣6,♥8 | Pair
♦Q,♦8,♠Q,♣6,♥8 | Pair
♦Q,♦8,♠Q,♣6,♦8 | Pair
♦Q,♦8,♠Q,♣6,♦8 | Pair
♦Q,♦8,♠Q,♣6,♥10 | Pair
♦Q,♦8,♠Q,♦7,♦3 | Pair
♦Q,♦8,♠Q,♦7,♥8 | Pair
♦Q,♦8,♠Q,♦7,♥8 | Pair
♦Q,♦8,♠Q,♦7,♦8 | Pair
♦Q,♦8,♠Q,♦7,♦8 | Pair
♦Q,♦8,♠Q,♦7,♥10 | Pair
♦Q,♦8,♠Q,♦3,♥8 | Pair
♦Q,♦8,♠Q,♦3,♥8 | Pair
♦Q,♦8,♠Q,♦3,♦8 | Pair
♦Q,♦8,♠Q,♦3,♦8 | Pair
♦Q,♦8,♠Q,♦3,♥10 | Pair
♦Q,♦8,♠Q,♥8,♦8 | Pair
♦Q,♦8,♠Q,♥8,♦8 | Three Of A Kind
♦Q,♦8,♠Q,♥8,♦8 | Pair
♦Q,♦8,♠Q,♥8,♥10 | Pair
♦Q,♦8,♠Q,♥8,♥10 | Pair
♦Q,♦8,♠Q,♦8,♥10 | Pair
♦Q,♦8,♠Q,♦8,♥10 | Pair
♦Q,♦8,♣6,♦7,♥8 | Pair
♦Q,♦8,♣6,♦7,♦8 | Pair
♦Q,♦8,♣6,♦3,♥8 | Pair
♦Q,♦8,♣6,♦3,♦8 | Pair
♦Q,♦8,♣6,♥8,♦8 | Pair
♦Q,♦8,♣6,♥8,♦8 | Three Of A Kind
♦Q,♦8,♣6,♥8,♥10 | Pair
♦Q,♦8,♣6,♦8,♥10 | Pair
♦Q,♦8,♦7,♦3,♥8 | Pair
♦Q,♦8,♦7,♦3,♦8 | Pair
♦Q,♦8,♦7,♥8,♦8 | Pair
♦Q,♦8,♦7,♥8,♦8 | Three Of A Kind
♦Q,♦8,♦7,♥8,♥10 | Pair
♦Q,♦8,♦7,♦8,♥10 | Pair
♦Q,♦8,♦3,♥8,♦8 | Pair
♦Q,♦8,♦3,♥8,♦8 | Three Of A Kind
