♦7,♣Q,♠J,♣3,♥3 | Pair
♦7,♣3,♥3,♦4,♥8 | Pair
♦7,♣3,♥3,♥4,♥8 | Pair
♦7,♣3,♠T,♦4,♥4 | Pair
♦7,♣3,♠K,♦4,♥4 | Pair
♦7,♣3,♣A,♦4,♥4 | Pair
♦7,♣3,♥J,♦4,♥4 | Pair
♦7,♣3,♦4,♥4,♥8 | Pair
♦7,♥K,♥3,♠T,♠K | Pair
♦7,♥K,♥3,♠K,♣A | Pair
♦7,♥K,♥3,♠K,♥J | Pair
♦7,♥K,♥3,♠K,♦4 | Pair
♦7,♥K,♥3,♠K,♥4 | Pair
♦7,♥K,♥3,♠K,♥8 | Pair
♦7,♥K,♥3,♦4,♥4 | Pair
♦7,♥K,♠T,♠K,♣A | Pair
♦7,♥K,♠T,♠K,♥J | Pair
♦7,♥K,♠T,♠K,♦4 | Pair
♦7,♥K,♠T,♠K,♥4 | Pair
♦7,♥K,♠T,♠K,♥8 | Pair
♦7,♥K,♠T,♦4,♥4 | Pair
♦7,♥K,♠K,♣A,♥J | Pair
♦7,♥K,♠K,♣A,♦4 | Pair
♦7,♥K,♠K,♣A,♥4 | Pair
♦7,♥K,♠K,♣A,♥8 | Pair
♦7,♥K,♠K,♥J,♦4 | Pair
♦7,♥K,♠K,♥J,♥4 | Pair
♦7,♥K,♠K,♥J,♥8 | Pair
♦7,♥K,♠K,♦4,♥4 | Two Pairs
♦7,♥K,♠K,♦4,♥8 | Pair
♦7,♥K,♠K,♥4,♥8 | Pair
♦7,♥K,♣A,♦4,♥4 | Pair
♦7,♥K,♥J,♦4,♥4 | Pair
♦7,♥K,♦4,♥4,♥8 | Pair
♦7,♥3,♠T,♦4,♥4 | Pair
♦7,♥3,♠K,♦4,♥4 | Pair
♦7,♥3,♣A,♦4,♥4 | Pair
♦7,♥3,♥J,♦4,♥4 | Pair
♦7,♥3,♦4,♥4,♥8 | Pair
♦7,♠T,♠K,♦4,♥4 | Pair
♦7,♠T,♣A,♦4,♥4 | Pair
♦7,♠T,♥J,♦4,♥4 | Pair
♦7,♠T,♦4,♥4,♥8 | Pair
♦7,♠K,♣A,♦4,♥4 | Pair
♦7,♠K,♥J,♦4,♥4 | Pair
♦7,♠K,♦4,♥4,♥8 | Pair
♦7,♣A,♥J,♦4,♥4 | Pair
♦7,♣A,♦4,♥4,♥8 | Pair
♦7,♥J,♦4,♥4,♥8 | Pair
♣Q,♠J,♣3,♥K,♥3 | Pair
♣Q,♠J,♣3,♥K,♠K | Pair
♣Q,♠J,♣3,♥K,♥J | Pair
♣Q,♠J,♣3,♥3,♠T | Pair
♣Q,♠J,♣3,♥3,♠K | Pair
♣Q,♠J,♣3,♥3,♣A | Pair
♣Q,♠J,♣3,♥3,♥J | Two Pairs
♣Q,♠J,♣3,♥3,♦4 | Pair
♣Q,♠J,♣3,♥3,♥4 | Pair
♣Q,♠J,♣3,♥3,♥8 | Pair
♣Q,♠J,♣3,♠T,♥J | Pair
♣Q,♠J,♣3,♠K,♥J | Pair
♣Q,♠J,♣3,♣A,♥J | Pair
♣Q,♠J,♣3,♥J,♦4 | Pair
♣Q,♠J,♣3,♥J,♥4 | Pair
♣Q,♠J,♣3,♥J,♥8 | Pair
♣Q,♠J,♣3,♦4,♥4 | Pair
♣Q,♠J,♥K,♥3,♠K | Pair
♣Q,♠J,♥K,♥3,♥J | Pair
♣Q,♠J,♥K,♠T,♠K | Pair
♣Q,♠J,♥K,♠T,♥J | Pair
♣Q,♠J,♥K,♠K,♣A | Pair
♣Q,♠J,♥K,♠K,♥J | Two Pairs
♣Q,♠J,♥K,♠K,♦4 | Pair
♣Q,♠J,♥K,♠K,♥4 | Pair
♣Q,♠J,♥K,♠K,♥8 | Pair
♣Q,♠J,♥K,♣A,♥J | Pair
♣Q,♠J,♥K,♥J,♦4 | Pair
♣Q,♠J,♥K,♥J,♥4 | Pair
♣Q,♠J,♥K,♥J,♥8 | Pair
♣Q,♠J,♥K,♦4,♥4 | Pair
♣Q,♠J,♥3,♠T,♥J | Pair
♣Q,♠J,♥3,♠K,♥J | Pair
♣Q,♠J,♥3,♣A,♥J | Pair
♣Q,♠J,♥3,♥J,♦4 | Pair
♣Q,♠J,♥3,♥J,♥4 | Pair
♣Q,♠J,♥3,♥J,♥8 | Pair
♣Q,♠J,♥3,♦4,♥4 | Pair
♣Q,♠J,♠T,♠K,♥J | Pair
♣Q,♠J,♠T,♣A,♥J | Pair
♣Q,♠J,♠T,♥J,♦4 | Pair
♣Q,♠J,♠T,♥J,♥4 | Pair
♣Q,♠J,♠T,♥J,♥8 | Pair
♣Q,♠J,♠T,♦4,♥4 | Pair
♣Q,♠J,♠K,♣A,♥J | Pair
♣Q,♠J,♠K,♥J,♦4 | Pair
♣Q,♠J,♠K,♥J,♥4 | Pair
♣Q,♠J,♠K,♥J,♥8 | Pair
♣Q,♠J,♠K,♦4,♥4 | Pair
♣Q,♠J,♣A,♥J,♦4 | Pair
♣Q,♠J,♣A,♥J,♥4 | Pair
♣Q,♠J,♣A,♥J,♥8 | Pair
♣Q,♠J,♣A,♦4,♥4 | Pair
♣Q,♠J,♥J,♦4,♥4 | Two Pairs
♣Q,♠J,♥J,♦4,♥8 | Pair
♣Q,♠J,♥J,♥4,♥8 | Pair
♣Q,♠J,♦4,♥4,♥8 | Pair
♣Q,♣3,♥K,♥3,♠T | Pair
♣Q,♣3,♥K,♥3,♠K | Two Pairs
♣Q,♣3,♥K,♥3,♣A | Pair
♣Q,♣3,♥K,♥3,♥J | Pair
♣Q,♣3,♥K,♥3,♦4 | Pair
♣Q,♣3,♥K,♥3,♥4 | Pair
♣Q,♣3,♥K,♥3,♥8 | Pair
♣Q,♣3,♥K,♠T,♠K | Pair
♣Q,♣3,♥K,♠K,♣A | Pair
♣Q,♣3,♥K,♠K,♥J | Pair
♣Q,♣3,♥K,♠K,♦4 | Pair
♣Q,♣3,♥K,♠K,♥4 | Pair
♣Q,♣3,♥K,♠K,♥8 | Pair
♣Q,♣3,♥K,♦4,♥4 | Pair
♣Q,♣3,♥3,♠T,♠K | Pair
♣Q,♣3,♥3,♠T,♣A | Pair
♣Q,♣3,♥3,♠T,♥J | Pair
♣Q,♣3,♥3,♠T,♦4 | Pair
♣Q,♣3,♥3,♠T,♥4 | Pair
♣Q,♣3,♥3,♠T,♥8 | Pair
♣Q,♣3,♥3,♠K,♣A | Pair
♣Q,♣3,♥3,♠K,♥J | Pair
♣Q,♣3,♥3,♠K,♦4 | Pair
♣Q,♣3,♥3,♠K,♥4 | Pair
♣Q,♣3,♥3,♠K,♥8 | Pair
♣Q,♣3,♥3,♣A,♥J | Pair
♣Q,♣3,♥3,♣A,♦4 | Pair
♣Q,♣3,♥3,♣A,♥4 | Pair
♣Q,♣3,♥3,♣A,♥8 | Pair
♣Q,♣3,♥3,♥J,♦4 | Pair
♣Q,♣3,♥3,♥J,♥4 | Pair
♣Q,♣3,♥3,♥J,♥8 | Pair
♣Q,♣3,♥3,♦4,♥4 | Two Pairs
♣Q,♣3,♥3,♦4,♥8 | Pair
♣Q,♣3,♥3,♥4,♥8 | Pair
♣Q,♣3,♠T,♦4,♥4 | Pair
♣Q,♣3,♠K,♦4,♥4 | Pair
♣Q,♣3,♣A,♦4,♥4 | Pair
♣Q,♣3,♥J,♦4,♥4 | Pair
♣Q,♣3,♦4,♥4,♥8 | Pair
♣Q,♥K,♥3,♠T,♠K | Pair
♣Q,♥K,♥3,♠K,♣A | Pair
♣Q,♥K,♥3,♠K,♥J | Pair
♣Q,♥K,♥3,♠K,♦4 | Pair
♣Q,♥K,♥3,♠K,♥4 | Pair
♣Q,♥K,♥3,♠K,♥8 | Pair
♣Q,♥K,♥3,♦4,♥4 | Pair
♣Q,♥K,♠T,♠K,♣A | Pair
♣Q,♥K,♠T,♠K,♥J | Pair
♣Q,♥K,♠T,♠K,♦4 | Pair
♣Q,♥K,♠T,♠K,♥4 | Pair
♣Q,♥K,♠T,♠K,♥8 | Pair
♣Q,♥K,♠T,♦4,♥4 | Pair
♣Q,♥K,♠K,♣A,♥J | Pair
♣Q,♥K,♠K,♣A,♦4 | Pair
♣Q,♥K,♠K,♣A,♥4 | Pair
♣Q,♥K,♠K,♣A,♥8 | Pair
♣Q,♥K,♠K,♥J,♦4 | Pair
♣Q,♥K,♠K,♥J,♥4 | Pair
♣Q,♥K,♠K,♥J,♥8 | Pair
♣Q,♥K,♠K,♦4,♥4 | Two Pairs
♣Q,♥K,♠K,♦4,♥8 | Pair
♣Q,♥K,♠K,♥4,♥8 | Pair
♣Q,♥K,♣A,♦4,♥4 | Pair
♣Q,♥K,♥J,♦4,♥4 | Pair
♣Q,♥K,♦4,♥4,♥8 | Pair
♣Q,♥3,♠T,♦4,♥4 | Pair
♣Q,♥3,♠K,♦4,♥4 | Pair
♣Q,♥3,♣A,♦4,♥4 | Pair
♣Q,♥3,♥J,♦4,♥4 | Pair
♣Q,♥3,♦4,♥4,♥8 | Pair
♣Q,♠T,♠K,♦4,♥4 | Pair
♣Q,♠T,♣A,♦4,♥4 | Pair
♣Q,♠T,♥J,♦4,♥4 | Pair
♣Q,♠T,♦4,♥4,♥8 | Pair
♣Q,♠K,♣A,♦4,♥4 | Pair
♣Q,♠K,♥J,♦4,♥4 | Pair
♣Q,♠K,♦4,♥4,♥8 | Pair
♣Q,♣A,♥J,♦4,♥4 | Pair
♣Q,♣A,♦4,♥4,♥8 | Pair
♣Q,♥J,♦4,♥4,♥8 | Pair
♠J,♣3,♥K,♥3,♠T | Pair
♠J,♣3,♥K,♥3,♠K | Two Pairs
♠J,♣3,♥K,♥3,♣A | Pair
♠J,♣3,♥K,♥3,♥J | Two Pairs
♠J,♣3,♥K,♥3,♦4 | Pair
♠J,♣3,♥K,♥3,♥4 | Pair
♠J,♣3,♥K,♥3,♥8 | Pair
♠J,♣3,♥K,♠T,♠K | Pair
♠J,♣3,♥K,♠T,♥J | Pair
♠J,♣3,♥K,♠K,♣A | Pair
♠J,♣3,♥K,♠K,♥J | Two Pairs
♠J,♣3,♥K,♠K,♦4 | Pair
♠J,♣3,♥K,♠K,♥4 | Pair
♠J,♣3,♥K,♠K,♥8 | Pair
♠J,♣3,♥K,♣A,♥J | Pair
♠J,♣3,♥K,♥J,♦4 | Pair
♠J,♣3,♥K,♥J,♥4 | Pair
♠J,♣3,♥K,♥J,♥8 | Pair
♠J,♣3,♥K,♦4,♥4 | Pair
♠J,♣3,♥3,♠T,♠K | Pair
♠J,♣3,♥3,♠T,♣A | Pair
♠J,♣3,♥3,♠T,♥J | Two Pairs
♠J,♣3,♥3,♠T,♦4 | Pair
♠J,♣3,♥3,♠T,♥4 | Pair
♠J,♣3,♥3,♠T,♥8 | Pair
♠J,♣3,♥3,♠K,♣A | Pair
♠J,♣3,♥3,♠K,♥J | Two Pairs
♠J,♣3,♥3,♠K,♦4 | Pair
♠J,♣3,♥3,♠K,♥4 | Pair
♠J,♣3,♥3,♠K,♥8 | Pair
♠J,♣3,♥3,♣A,♥J | Two Pairs
♠J,♣3,♥3,♣A,♦4 | Pair
♠J,♣3,♥3,♣A,♥4 | Pair
♠J,♣3,♥3,♣A,♥8 | Pair
♠J,♣3,♥3,♥J,♦4 | Two Pairs
♠J,♣3,♥3,♥J,♥4 | Two Pairs
♠J,♣3,♥3,♥J,♥8 | Two Pairs
♠J,♣3,♥3,♦4,♥4 | Two Pairs
♠J,♣3,♥3,♦4,♥8 | Pair
♠J,♣3,♥3,♥4,♥8 | Pair
♠J,♣3,♠T,♠K,♥J | Pair
♠J,♣3,♠T,♣A,♥J | Pair
♠J,♣3,♠T,♥J,♦4 | Pair
♠J,♣3,♠T,♥J,♥4 | Pair
♠J,♣3,♠T,♥J,♥8 | Pair
♠J,♣3,♠T,♦4,♥4 | Pair
♠J,♣3,♠K,♣A,♥J | Pair
♠J,♣3,♠K,♥J,♦4 | Pair
♠J,♣3,♠K,♥J,♥4 | Pair
♠J,♣3,♠K,♥J,♥8 | Pair
♠J,♣3,♠K,♦4,♥4 | Pair
♠J,♣3,♣A,♥J,♦4 | Pair
♠J,♣3,♣A,♥J,♥4 | Pair
♠J,♣3,♣A,♥J,♥8 | Pair
♠J,♣3,♣A,♦4,♥4 | Pair
♠J,♣3,♥J,♦4,♥4 | Two Pairs
♠J,♣3,♥J,♦4,♥8 | Pair
♠J,♣3,♥J,♥4,♥8 | Pair
♠J,♣3,♦4,♥4,♥8 | Pair
♠J,♥K,♥3,♠T,♠K | Pair
♠J,♥K,♥3,♠T,♥J | Pair
♠J,♥K,♥3,♠K,♣A | Pair
♠J,♥K,♥3,♠K,♥J | Two Pairs
♠J,♥K,♥3,♠K,♦4 | Pair
♠J,♥K,♥3,♠K,♥4 | Pair
♠J,♥K,♥3,♠K,♥8 | Pair
♠J,♥K,♥3,♣A,♥J | Pair
♠J,♥K,♥3,♥J,♦4 | Pair
♠J,♥K,♥3,♥J,♥4 | Pair
♠J,♥K,♥3,♥J,♥8 | Pair
♠J,♥K,♥3,♦4,♥4 | Pair
♠J,♥K,♠T,♠K,♣A | Pair
♠J,♥K,♠T,♠K,♥J | Two Pairs
♠J,♥K,♠T,♠K,♦4 | Pair
♠J,♥K,♠T,♠K,♥4 | Pair
♠J,♥K,♠T,♠K,♥8 | Pair
♠J,♥K,♠T,♣A,♥J | Pair
♠J,♥K,♠T,♥J,♦4 | Pair
♠J,♥K,♠T,♥J,♥4 | Pair
♠J,♥K,♠T,♥J,♥8 | Pair
♠J,♥K,♠T,♦4,♥4 | Pair
♠J,♥K,♠K,♣A,♥J | Two Pairs
♠J,♥K,♠K,♣A,♦4 | Pair
♠J,♥K,♠K,♣A,♥4 | Pair
♠J,♥K,♠K,♣A,♥8 | Pair
♠J,♥K,♠K,♥J,♦4 | Two Pairs
♠J,♥K,♠K,♥J,♥4 | Two Pairs
♠J,♥K,♠K,♥J,♥8 | Two Pairs
♠J,♥K,♠K,♦4,♥4 | Two Pairs
♠J,♥K,♠K,♦4,♥8 | Pair
♠J,♥K,♠K,♥4,♥8 | Pair
♠J,♥K,♣A,♥J,♦4 | Pair
♠J,♥K,♣A,♥J,♥4 | Pair
♠J,♥K,♣A,♥J,♥8 | Pair
♠J,♥K,♣A,♦4,♥4 | Pair
♠J,♥K,♥J,♦4,♥4 | Two Pairs
♠J,♥K,♥J,♦4,♥8 | Pair
♠J,♥K,♥J,♥4,♥8 | Pair
♠J,♥K,♦4,♥4,♥8 | Pair
♠J,♥3,♠T,♠K,♥J | Pair
♠J,♥3,♠T,♣A,♥J | Pair
♠J,♥3,♠T,♥J,♦4 | Pair
♠J,♥3,♠T,♥J,♥4 | Pair
♠J,♥3,♠T,♥J,♥8 | Pair
♠J,♥3,♠T,♦4,♥4 | Pair
♠J,♥3,♠K,♣A,♥J | Pair
♠J,♥3,♠K,♥J,♦4 | Pair
♠J,♥3,♠K,♥J,♥4 | Pair
♠J,♥3,♠K,♥J,♥8 | Pair
♠J,♥3,♠K,♦4,♥4 | Pair
♠J,♥3,♣A,♥J,♦4 | Pair
♠J,♥3,♣A,♥J,♥4 | Pair
♠J,♥3,♣A,♥J,♥8 | Pair
♠J,♥3,♣A,♦4,♥4 | Pair
♠J,♥3,♥J,♦4,♥4 | Two Pairs
♠J,♥3,♥J,♦4,♥8 | Pair
♠J,♥3,♥J,♥4,♥8 | Pair
♠J,♥3,♦4,♥4,♥8 | Pair
♠J,♠T,♠K,♣A,♥J | Pair
♠J,♠T,♠K,♥J,♦4 | Pair
♠J,♠T,♠K,♥J,♥4 | Pair
♠J,♠T,♠K,♥J,♥8 | Pair
♠J,♠T,♠K,♦4,♥4 | Pair
♠J,♠T,♣A,♥J,♦4 | Pair
♠J,♠T,♣A,♥J,♥4 | Pair
♠J,♠T,♣A,♥J,♥8 | Pair
♠J,♠T,♣A,♦4,♥4 | Pair
♠J,♠T,♥J,♦4,♥4 | Two Pairs
♠J,♠T,♥J,♦4,♥8 | Pair
♠J,♠T,♥J,♥4,♥8 | Pair
♠J,♠T,♦4,♥4,♥8 | Pair
♠J,♠K,♣A,♥J,♦4 | Pair
♠J,♠K,♣A,♥J,♥4 | Pair
♠J,♠K,♣A,♥J,♥8 | Pair
♠J,♠K,♣A,♦4,♥4 | Pair
♠J,♠K,♥J,♦4,♥4 | Two Pairs
♠J,♠K,♥J,♦4,♥8 | Pair
♠J,♠K,♥J,♥4,♥8 | Pair
♠J,♠K,♦4,♥4,♥8 | Pair
♠J,♣A,♥J,♦4,♥4 | Two Pairs
♠J,♣A,♥J,♦4,♥8 | Pair
♠J,♣A,♥J,♥4,♥8 | Pair
♠J,♣A,♦4,♥4,♥8 | Pair
♠J,♥J,♦4,♥4,♥8 | Two Pairs
♣3,♥K,♥3,♠T,♠K | Two Pairs
♣3,♥K,♥3,♠T,♣A | Pair
♣3,♥K,♥3,♠T,♥J | Pair
♣3,♥K,♥3,♠T,♦4 | Pair
♣3,♥K,♥3,♠T,♥4 | Pair
♣3,♥K,♥3,♠T,♥8 | Pair
♣3,♥K,♥3,♠K,♣A | Two Pairs
♣3,♥K,♥3,♠K,♥J | Two Pairs
♣3,♥K,♥3,♠K,♦4 | Two Pairs
♣3,♥K,♥3,♠K,♥4 | Two Pairs
♣3,♥K,♥3,♠K,♥8 | Two Pairs
♣3,♥K,♥3,♣A,♥J | Pair
♣3,♥K,♥3,♣A,♦4 | Pair
♣3,♥K,♥3,♣A,♥4 | Pair
♣3,♥K,♥3,♣A,♥8 | Pair
♣3,♥K,♥3,♥J,♦4 | Pair
♣3,♥K,♥3,♥J,♥4 | Pair
♣3,♥K,♥3,♥J,♥8 | Pair
♣3,♥K,♥3,♦4,♥4 | Two Pairs
♣3,♥K,♥3,♦4,♥8 | Pair
♣3,♥K,♥3,♥4,♥8 | Pair
♣3,♥K,♠T,♠K,♣A | Pair
♣3,♥K,♠T,♠K,♥J | Pair
♣3,♥K,♠T,♠K,♦4 | Pair
♣3,♥K,♠T,♠K,♥4 | Pair
♣3,♥K,♠T,♠K,♥8 | Pair
♣3,♥K,♠T,♦4,♥4 | Pair
♣3,♥K,♠K,♣A,♥J | Pair
♣3,♥K,♠K,♣A,♦4 | Pair
♣3,♥K,♠K,♣A,♥4 | Pair
♣3,♥K,♠K,♣A,♥8 | Pair
♣3,♥K,♠K,♥J,♦4 | Pair
♣3,♥K,♠K,♥J,♥4 | Pair
♣3,♥K,♠K,♥J,♥8 | Pair
♣3,♥K,♠K,♦4,♥4 | Two Pairs
♣3,♥K,♠K,♦4,♥8 | Pair
♣3,♥K,♠K,♥4,♥8 | Pair
♣3,♥K,♣A,♦4,♥4 | Pair
♣3,♥K,♥J,♦4,♥4 | Pair
♣3,♥K,♦4,♥4,♥8 | Pair
♣3,♥3,♠T,♠K,♣A | Pair
♣3,♥3,♠T,♠K,♥J | Pair
♣3,♥3,♠T,♠K,♦4 | Pair
♣3,♥3,♠T,♠K,♥4 | Pair
♣3,♥3,♠T,♠K,♥8 | Pair
♣3,♥3,♠T,♣A,♥J | Pair
♣3,♥3,♠T,♣A,♦4 | Pair
♣3,♥3,♠T,♣A,♥4 | Pair
♣3,♥3,♠T,♣A,♥8 | Pair
♣3,♥3,♠T,♥J,♦4 | Pair
♣3,♥3,♠T,♥J,♥4 | Pair
♣3,♥3,♠T,♥J,♥8 | Pair
♣3,♥3,♠T,♦4,♥4 | Two Pairs
♣3,♥3,♠T,♦4,♥8 | Pair
♣3,♥3,♠T,♥4,♥8 | Pair
♣3,♥3,♠K,♣A,♥J | Pair
♣3,♥3,♠K,♣A,♦4 | Pair
♣3,♥3,♠K,♣A,♥4 | Pair
♣3,♥3,♠K,♣A,♥8 | Pair
♣3,♥3,♠K,♥J,♦4 | Pair
♣3,♥3,♠K,♥J,♥4 | Pair
♣3,♥3,♠K,♥J,♥8 | Pair
♣3,♥3,♠K,♦4,♥4 | Two Pairs
♣3,♥3,♠K,♦4,♥8 | Pair
♣3,♥3,♠K,♥4,♥8 | Pair
♣3,♥3,♣A,♥J,♦4 | Pair
♣3,♥3,♣A,♥J,♥4 | Pair
♣3,♥3,♣A,♥J,♥8 | Pair
♣3,♥3,♣A,♦4,♥4 | Two Pairs
♣3,♥3,♣A,♦4,♥8 | Pair
♣3,♥3,♣A,♥4,♥8 | Pair
♣3,♥3,♥J,♦4,♥4 | Two Pairs
♣3,♥3,♥J,♦4,♥8 | Pair
♣3,♥3,♥J,♥4,♥8 | Pair
♣3,♥3,♦4,♥4,♥8 | Two Pairs
♣3,♠T,♠K,♦4,♥4 | Pair
♣3,♠T,♣A,♦4,♥4 | Pair
♣3,♠T,♥J,♦4,♥4 | Pair
♣3,♠T,♦4,♥4,♥8 | Pair
♣3,♠K,♣A,♦4,♥4 | Pair
♣3,♠K,♥J,♦4,♥4 | Pair
♣3,♠K,♦4,♥4,♥8 | Pair
♣3,♣A,♥J,♦4,♥4 | Pair
♣3,♣A,♦4,♥4,♥8 | Pair
♣3,♥J,♦4,♥4,♥8 | Pair
♥K,♥3,♠T,♠K,♣A | Pair
♥K,♥3,♠T,♠K,♥J | Pair
♥K,♥3,♠T,♠K,♦4 | Pair
♥K,♥3,♠T,♠K,♥4 | Pair
♥K,♥3,♠T,♠K,♥8 | Pair
♥K,♥3,♠T,♦4,♥4 | Pair
♥K,♥3,♠K,♣A,♥J | Pair
♥K,♥3,♠K,♣A,♦4 | Pair
♥K,♥3,♠K,♣A,♥4 | Pair
♥K,♥3,♠K,♣A,♥8 | Pair
