♠T,♣Q,♣8,♣T,♣7 | Pair
♠T,♣T,♠2,♠5,♣2 | Two Pairs
♠T,♣T,♠2,♠5,♦J | Pair
♠T,♣T,♠2,♥8,♥2 | Two Pairs
♠T,♣T,♠2,♥8,♣4 | Pair
♠T,♣T,♠2,♥8,♣2 | Two Pairs
♠T,♣T,♠2,♥8,♦J | Pair
♠T,♣T,♠2,♥2,♣4 | Two Pairs
♠T,♣T,♠2,♥2,♣2 | Full House
♠T,♣T,♠2,♥2,♦J | Two Pairs
♠T,♣T,♠2,♣4,♣2 | Two Pairs
♠T,♣T,♠2,♣4,♦J | Pair
♠T,♣T,♠2,♣2,♦J | Two Pairs
♠T,♣T,♣3,♠5,♥8 | Pair
♠T,♣T,♣3,♠5,♥2 | Pair
♠T,♣T,♣3,♠5,♣4 | Pair
♠T,♣T,♣3,♠5,♣2 | Pair
♠T,♣T,♣3,♠5,♦J | Pair
♠T,♣T,♣3,♥8,♥2 | Pair
♠T,♣T,♣3,♥8,♣4 | Pair
♠T,♣T,♣3,♥8,♣2 | Pair
♠T,♣T,♣3,♥8,♦J | Pair
♠T,♣T,♣3,♥2,♣4 | Pair
♠T,♣T,♣3,♥2,♣2 | Two Pairs
♠T,♣T,♣3,♥2,♦J | Pair
♠T,♣T,♣3,♣4,♣2 | Pair
♠T,♣T,♣3,♣4,♦J | Pair
♠T,♣T,♣3,♣2,♦J | Pair
♠T,♣T,♠5,♥8,♥2 | Pair
♠T,♣T,♠5,♥8,♣4 | Pair
♠T,♣T,♠5,♥8,♣2 | Pair
♠T,♣T,♠5,♥8,♦J | Pair
♠T,♣T,♠5,♥2,♣4 | Pair
♠T,♣T,♠5,♥2,♣2 | Two Pairs
♠T,♣T,♠5,♥2,♦J | Pair
♠T,♣T,♠5,♣4,♣2 | Pair
♠T,♣T,♠5,♣4,♦J | Pair
♠T,♣T,♠5,♣2,♦J | Pair
♠T,♣T,♥8,♥2,♣4 | Pair
♠T,♣T,♥8,♥2,♣2 | Two Pairs
♠T,♣T,♥8,♥2,♦J | Pair
♠T,♣T,♥8,♣4,♣2 | Pair
♠T,♣T,♥8,♣4,♦J | Pair
♠T,♣T,♥8,♣2,♦J | Pair
♠T,♣T,♥2,♣4,♣2 | Two Pairs
♠T,♣T,♥2,♣4,♦J | Pair
♠T,♣T,♥2,♣2,♦J | Two Pairs
♠T,♣T,♣4,♣2,♦J | Pair
♠T,♣7,♠2,♣3,♥2 | Pair
♠T,♣7,♠2,♣3,♣2 | Pair
♠T,♣7,♠2,♠5,♥2 | Pair
♠T,♣7,♠2,♠5,♣2 | Pair
♠T,♣7,♠2,♥8,♥2 | Pair
♠T,♣7,♠2,♥8,♣2 | Pair
♠T,♣7,♠2,♥2,♣4 | Pair
♠T,♣7,♠2,♥2,♣2 | Full House
♠T,♣7,♠2,♥2,♦J | Pair
♠T,♣7,♠2,♣4,♣2 | Pair
♠T,♣7,♠2,♣2,♦J | Pair
♠T,♣7,♣3,♥2,♣2 | Pair
♠T,♣7,♠5,♥2,♣2 | Pair
♠T,♣7,♥8,♥2,♣2 | Pair
♠T,♣7,♥2,♣4,♣2 | Pair
♠T,♣7,♥2,♣2,♦J | Pair
♠T,♠2,♣3,♠5,♥2 | Pair
♠T,♠2,♣3,♠5,♣2 | Pair
♠T,♠2,♣3,♥8,♥2 | Pair
♠T,♠2,♣3,♥8,♣2 | Pair
♠T,♠2,♣3,♥2,♣4 | Pair
♠T,♠2,♣3,♥2,♣2 | Full House
♠T,♠2,♣3,♥2,♦J | Pair
♠T,♠2,♣3,♣4,♣2 | Pair
♠T,♠2,♣3,♣2,♦J | Pair
♠T,♠2,♠5,♥8,♥2 | Pair
♠T,♠2,♠5,♥8,♣2 | Pair
♠T,♠2,♠5,♥2,♣4 | Pair
♠T,♠2,♠5,♥2,♣2 | Full House
♠T,♠2,♠5,♥2,♦J | Pair
♠T,♠2,♠5,♣4,♣2 | Pair
♠T,♠2,♠5,♣2,♦J | Pair
♠T,♠2,♥8,♥2,♣4 | Pair
♠T,♠2,♥8,♥2,♣2 | Full House
♠T,♠2,♥8,♥2,♦J | Pair
♠T,♠2,♥8,♣4,♣2 | Pair
♠T,♠2,♥8,♣2,♦J | Pair
♠T,♠2,♥2,♣4,♣2 | Full House
♠T,♠2,♥2,♣4,♦J | Pair
♠T,♠2,♥2,♣2,♦J | Full House
♠T,♠2,♣4,♣2,♦J | Pair
♠T,♣3,♠5,♥2,♣2 | Pair
♠T,♣3,♥8,♥2,♣2 | Pair
♠T,♣3,♥2,♣4,♣2 | Pair
♠T,♣3,♥2,♣2,♦J | Pair
♠T,♠5,♥8,♥2,♣2 | Pair
♠T,♠5,♥2,♣4,♣2 | Pair
♠T,♠5,♥2,♣2,♦J | Pair
♠T,♥8,♥2,♣4,♣2 | Pair
♠T,♥8,♥2,♣2,♦J | Pair
♠T,♥2,♣4,♣2,♦J | Pair
♣Q,♣8,♣T,♣7,♣3 | Flush
♣Q,♣8,♣T,♣7,♥8 | Pair
♣Q,♣8,♣T,♣7,♣4 | Flush
♣Q,♣8,♣T,♣7,♣2 | Flush
♣Q,♣8,♣T,♠2,♥8 | Pair
♣Q,♣8,♣T,♠2,♥2 | Pair
♣Q,♣8,♣T,♠2,♣2 | Pair
♣Q,♣8,♣T,♣3,♥8 | Pair
♣Q,♣8,♣T,♣3,♣4 | Flush
♣Q,♣8,♣T,♣3,♣2 | Flush
♣Q,♣8,♣T,♠5,♥8 | Pair
♣Q,♣8,♣T,♥8,♥2 | Pair
♣Q,♣8,♣T,♥8,♣4 | Pair
♣Q,♣8,♣T,♥8,♣2 | Pair
♣Q,♣8,♣T,♥8,♦J | Pair
♣Q,♣8,♣T,♥2,♣2 | Pair
♣Q,♣8,♣T,♣4,♣2 | Flush
♣Q,♣8,♣7,♠2,♥8 | Pair
♣Q,♣8,♣7,♠2,♥2 | Pair
♣Q,♣8,♣7,♠2,♣2 | Pair
♣Q,♣8,♣7,♣3,♥8 | Pair
♣Q,♣8,♣7,♣3,♣4 | Flush
♣Q,♣8,♣7,♣3,♣2 | Flush
♣Q,♣8,♣7,♠5,♥8 | Pair
♣Q,♣8,♣7,♥8,♥2 | Pair
♣Q,♣8,♣7,♥8,♣4 | Pair
♣Q,♣8,♣7,♥8,♣2 | Pair
♣Q,♣8,♣7,♥8,♦J | Pair
♣Q,♣8,♣7,♥2,♣2 | Pair
♣Q,♣8,♣7,♣4,♣2 | Flush
♣Q,♣8,♠2,♣3,♥8 | Pair
♣Q,♣8,♠2,♣3,♥2 | Pair
♣Q,♣8,♠2,♣3,♣2 | Pair
♣Q,♣8,♠2,♠5,♥8 | Pair
♣Q,♣8,♠2,♠5,♥2 | Pair
♣Q,♣8,♠2,♠5,♣2 | Pair
♣Q,♣8,♠2,♥8,♥2 | Two Pairs
♣Q,♣8,♠2,♥8,♣4 | Pair
♣Q,♣8,♠2,♥8,♣2 | Two Pairs
♣Q,♣8,♠2,♥8,♦J | Pair
♣Q,♣8,♠2,♥2,♣4 | Pair
♣Q,♣8,♠2,♥2,♣2 | Full House
♣Q,♣8,♠2,♥2,♦J | Pair
♣Q,♣8,♠2,♣4,♣2 | Pair
♣Q,♣8,♠2,♣2,♦J | Pair
♣Q,♣8,♣3,♠5,♥8 | Pair
♣Q,♣8,♣3,♥8,♥2 | Pair
♣Q,♣8,♣3,♥8,♣4 | Pair
♣Q,♣8,♣3,♥8,♣2 | Pair
♣Q,♣8,♣3,♥8,♦J | Pair
♣Q,♣8,♣3,♥2,♣2 | Pair
♣Q,♣8,♣3,♣4,♣2 | Flush
♣Q,♣8,♠5,♥8,♥2 | Pair
♣Q,♣8,♠5,♥8,♣4 | Pair
♣Q,♣8,♠5,♥8,♣2 | Pair
♣Q,♣8,♠5,♥8,♦J | Pair
♣Q,♣8,♠5,♥2,♣2 | Pair
♣Q,♣8,♥8,♥2,♣4 | Pair
♣Q,♣8,♥8,♥2,♣2 | Two Pairs
♣Q,♣8,♥8,♥2,♦J | Pair
♣Q,♣8,♥8,♣4,♣2 | Pair
♣Q,♣8,♥8,♣4,♦J | Pair
♣Q,♣8,♥8,♣2,♦J | Pair
♣Q,♣8,♥2,♣4,♣2 | Pair
♣Q,♣8,♥2,♣2,♦J | Pair
♣Q,♣T,♣7,♠2,♥2 | Pair
♣Q,♣T,♣7,♠2,♣2 | Pair
♣Q,♣T,♣7,♣3,♣4 | Flush
♣Q,♣T,♣7,♣3,♣2 | Flush
♣Q,♣T,♣7,♥2,♣2 | Pair
♣Q,♣T,♣7,♣4,♣2 | Flush
♣Q,♣T,♠2,♣3,♥2 | Pair
♣Q,♣T,♠2,♣3,♣2 | Pair
♣Q,♣T,♠2,♠5,♥2 | Pair
♣Q,♣T,♠2,♠5,♣2 | Pair
♣Q,♣T,♠2,♥8,♥2 | Pair
♣Q,♣T,♠2,♥8,♣2 | Pair
♣Q,♣T,♠2,♥2,♣4 | Pair
♣Q,♣T,♠2,♥2,♣2 | Full House
♣Q,♣T,♠2,♥2,♦J | Pair
♣Q,♣T,♠2,♣4,♣2 | Pair
♣Q,♣T,♠2,♣2,♦J | Pair
♣Q,♣T,♣3,♥2,♣2 | Pair
♣Q,♣T,♣3,♣4,♣2 | Flush
♣Q,♣T,♠5,♥2,♣2 | Pair
♣Q,♣T,♥8,♥2,♣2 | Pair
♣Q,♣T,♥2,♣4,♣2 | Pair
♣Q,♣T,♥2,♣2,♦J | Pair
♣Q,♣7,♠2,♣3,♥2 | Pair
♣Q,♣7,♠2,♣3,♣2 | Pair
♣Q,♣7,♠2,♠5,♥2 | Pair
♣Q,♣7,♠2,♠5,♣2 | Pair
♣Q,♣7,♠2,♥8,♥2 | Pair
♣Q,♣7,♠2,♥8,♣2 | Pair
♣Q,♣7,♠2,♥2,♣4 | Pair
♣Q,♣7,♠2,♥2,♣2 | Full House
♣Q,♣7,♠2,♥2,♦J | Pair
♣Q,♣7,♠2,♣4,♣2 | Pair
♣Q,♣7,♠2,♣2,♦J | Pair
♣Q,♣7,♣3,♥2,♣2 | Pair
♣Q,♣7,♣3,♣4,♣2 | Flush
♣Q,♣7,♠5,♥2,♣2 | Pair
♣Q,♣7,♥8,♥2,♣2 | Pair
♣Q,♣7,♥2,♣4,♣2 | Pair
♣Q,♣7,♥2,♣2,♦J | Pair
♣Q,♠2,♣3,♠5,♥2 | Pair
♣Q,♠2,♣3,♠5,♣2 | Pair
♣Q,♠2,♣3,♥8,♥2 | Pair
♣Q,♠2,♣3,♥8,♣2 | Pair
♣Q,♠2,♣3,♥2,♣4 | Pair
♣Q,♠2,♣3,♥2,♣2 | Full House
♣Q,♠2,♣3,♥2,♦J | Pair
♣Q,♠2,♣3,♣4,♣2 | Pair
♣Q,♠2,♣3,♣2,♦J | Pair
♣Q,♠2,♠5,♥8,♥2 | Pair
♣Q,♠2,♠5,♥8,♣2 | Pair
♣Q,♠2,♠5,♥2,♣4 | Pair
♣Q,♠2,♠5,♥2,♣2 | Full House
♣Q,♠2,♠5,♥2,♦J | Pair
♣Q,♠2,♠5,♣4,♣2 | Pair
♣Q,♠2,♠5,♣2,♦J | Pair
♣Q,♠2,♥8,♥2,♣4 | Pair
♣Q,♠2,♥8,♥2,♣2 | Full House
♣Q,♠2,♥8,♥2,♦J | Pair
♣Q,♠2,♥8,♣4,♣2 | Pair
♣Q,♠2,♥8,♣2,♦J | Pair
♣Q,♠2,♥2,♣4,♣2 | Full House
♣Q,♠2,♥2,♣4,♦J | Pair
♣Q,♠2,♥2,♣2,♦J | Full House
♣Q,♠2,♣4,♣2,♦J | Pair
♣Q,♣3,♠5,♥2,♣2 | Pair
♣Q,♣3,♥8,♥2,♣2 | Pair
♣Q,♣3,♥2,♣4,♣2 | Pair
♣Q,♣3,♥2,♣2,♦J | Pair
♣Q,♠5,♥8,♥2,♣2 | Pair
♣Q,♠5,♥2,♣4,♣2 | Pair
♣Q,♠5,♥2,♣2,♦J | Pair
♣Q,♥8,♥2,♣4,♣2 | Pair
♣Q,♥8,♥2,♣2,♦J | Pair
♣Q,♥2,♣4,♣2,♦J | Pair
♣8,♣T,♣7,♠2,♥8 | Pair
♣8,♣T,♣7,♠2,♥2 | Pair
♣8,♣T,♣7,♠2,♣2 | Pair
♣8,♣T,♣7,♣3,♥8 | Pair
♣8,♣T,♣7,♣3,♣4 | Flush
♣8,♣T,♣7,♣3,♣2 | Flush
♣8,♣T,♣7,♠5,♥8 | Pair
♣8,♣T,♣7,♥8,♥2 | Pair
♣8,♣T,♣7,♥8,♣4 | Pair
♣8,♣T,♣7,♥8,♣2 | Pair
♣8,♣T,♣7,♥8,♦J | Pair
♣8,♣T,♣7,♥2,♣2 | Pair
♣8,♣T,♣7,♣4,♣2 | Flush
♣8,♣T,♠2,♣3,♥8 | Pair
♣8,♣T,♠2,♣3,♥2 | Pair
♣8,♣T,♠2,♣3,♣2 | Pair
♣8,♣T,♠2,♠5,♥8 | Pair
♣8,♣T,♠2,♠5,♥2 | Pair
♣8,♣T,♠2,♠5,♣2 | Pair
♣8,♣T,♠2,♥8,♥2 | Two Pairs
♣8,♣T,♠2,♥8,♣4 | Pair
♣8,♣T,♠2,♥8,♣2 | Two Pairs
♣8,♣T,♠2,♥8,♦J | Pair
♣8,♣T,♠2,♥2,♣4 | Pair
♣8,♣T,♠2,♥2,♣2 | Full House
♣8,♣T,♠2,♥2,♦J | Pair
♣8,♣T,♠2,♣4,♣2 | Pair
♣8,♣T,♠2,♣2,♦J | Pair
♣8,♣T,♣3,♠5,♥8 | Pair
♣8,♣T,♣3,♥8,♥2 | Pair
♣8,♣T,♣3,♥8,♣4 | Pair
♣8,♣T,♣3,♥8,♣2 | Pair
♣8,♣T,♣3,♥8,♦J | Pair
♣8,♣T,♣3,♥2,♣2 | Pair
♣8,♣T,♣3,♣4,♣2 | Flush
♣8,♣T,♠5,♥8,♥2 | Pair
♣8,♣T,♠5,♥8,♣4 | Pair
♣8,♣T,♠5,♥8,♣2 | Pair
♣8,♣T,♠5,♥8,♦J | Pair
♣8,♣T,♠5,♥2,♣2 | Pair
♣8,♣T,♥8,♥2,♣4 | Pair
♣8,♣T,♥8,♥2,♣2 | Two Pairs
♣8,♣T,♥8,♥2,♦J | Pair
♣8,♣T,♥8,♣4,♣2 | Pair
♣8,♣T,♥8,♣4,♦J | Pair
♣8,♣T,♥8,♣2,♦J | Pair
♣8,♣T,♥2,♣4,♣2 | Pair
♣8,♣T,♥2,♣2,♦J | Pair
♣8,♣7,♠2,♣3,♥8 | Pair
♣8,♣7,♠2,♣3,♥2 | Pair
♣8,♣7,♠2,♣3,♣2 | Pair
♣8,♣7,♠2,♠5,♥8 | Pair
♣8,♣7,♠2,♠5,♥2 | Pair
♣8,♣7,♠2,♠5,♣2 | Pair
♣8,♣7,♠2,♥8,♥2 | Two Pairs
♣8,♣7,♠2,♥8,♣4 | Pair
♣8,♣7,♠2,♥8,♣2 | Two Pairs
♣8,♣7,♠2,♥8,♦J | Pair
♣8,♣7,♠2,♥2,♣4 | Pair
♣8,♣7,♠2,♥2,♣2 | Full House
♣8,♣7,♠2,♥2,♦J | Pair
♣8,♣7,♠2,♣4,♣2 | Pair
♣8,♣7,♠2,♣2,♦J | Pair
♣8,♣7,♣3,♠5,♥8 | Pair
♣8,♣7,♣3,♥8,♥2 | Pair
♣8,♣7,♣3,♥8,♣4 | Pair
♣8,♣7,♣3,♥8,♣2 | Pair
♣8,♣7,♣3,♥8,♦J | Pair
♣8,♣7,♣3,♥2,♣2 | Pair
♣8,♣7,♣3,♣4,♣2 | Flush
♣8,♣7,♠5,♥8,♥2 | Pair
♣8,♣7,♠5,♥8,♣4 | Pair
♣8,♣7,♠5,♥8,♣2 | Pair
♣8,♣7,♠5,♥8,♦J | Pair
♣8,♣7,♠5,♥2,♣2 | Pair
♣8,♣7,♥8,♥2,♣4 | Pair
♣8,♣7,♥8,♥2,♣2 | Two Pairs
♣8,♣7,♥8,♥2,♦J | Pair
♣8,♣7,♥8,♣4,♣2 | Pair
♣8,♣7,♥8,♣4,♦J | Pair
♣8,♣7,♥8,♣2,♦J | Pair
♣8,♣7,♥2,♣4,♣2 | Pair
♣8,♣7,♥2,♣2,♦J | Pair
♣8,♠2,♣3,♠5,♥8 | Pair
♣8,♠2,♣3,♠5,♥2 | Pair
♣8,♠2,♣3,♠5,♣2 | Pair
♣8,♠2,♣3,♥8,♥2 | Two Pairs
♣8,♠2,♣3,♥8,♣4 | Pair
♣8,♠2,♣3,♥8,♣2 | Two Pairs
♣8,♠2,♣3,♥8,♦J | Pair
♣8,♠2,♣3,♥2,♣4 | Pair
♣8,♠2,♣3,♥2,♣2 | Full House
♣8,♠2,♣3,♥2,♦J | Pair
♣8,♠2,♣3,♣4,♣2 | Pair
♣8,♠2,♣3,♣2,♦J | Pair
♣8,♠2,♠5,♥8,♥2 | Two Pairs
♣8,♠2,♠5,♥8,♣4 | Pair
♣8,♠2,♠5,♥8,♣2 | Two Pairs
♣8,♠2,♠5,♥8,♦J | Pair
♣8,♠2,♠5,♥2,♣4 | Pair
♣8,♠2,♠5,♥2,♣2 | Full House
♣8,♠2,♠5,♥2,♦J | Pair
♣8,♠2,♠5,♣4,♣2 | Pair
♣8,♠2,♠5,♣2,♦J | Pair
♣8,♠2,♥8,♥2,♣4 | Two Pairs
♣8,♠2,♥8,♥2,♣2 | Full House
♣8,♠2,♥8,♥2,♦J | Two Pairs
♣8,♠2,♥8,♣4,♣2 | Two Pairs
♣8,♠2,♥8,♣4,♦J | Pair
♣8,♠2,♥8,♣2,♦J | Two Pairs
♣8,♠2,♥2,♣4,♣2 | Full House
♣8,♠2,♥2,♣4,♦J | Pair
♣8,♠2,♥2,♣2,♦J | Full House
♣8,♠2,♣4,♣2,♦J | Pair
♣8,♣3,♠5,♥8,♥2 | Pair
♣8,♣3,♠5,♥8,♣4 | Pair
♣8,♣3,♠5,♥8,♣2 | Pair
♣8,♣3,♠5,♥8,♦J | Pair
♣8,♣3,♠5,♥2,♣2 | Pair
