♥T,♣3,♦4,♥9,♦T | Pair
♦4,♥9,♦T,♣9,♣Q | Pair
♦4,♥9,♦T,♠9,♣2 | Pair
♦4,♥9,♦T,♠9,♣8 | Pair
♦4,♥9,♦T,♠9,♣K | Pair
♦4,♥9,♦T,♠9,♣Q | Pair
♦4,♥9,♣9,♠9,♣2 | Full House
♦4,♥9,♣9,♠9,♣8 | Full House
♦4,♥9,♣9,♠9,♣K | Full House
♦4,♥9,♣9,♠9,♣Q | Full House
♦4,♥9,♣9,♣2,♣8 | Pair
♦4,♥9,♣9,♣2,♣K | Pair
♦4,♥9,♣9,♣2,♣Q | Pair
♦4,♥9,♣9,♣8,♣K | Pair
♦4,♥9,♣9,♣8,♣Q | Pair
♦4,♥9,♣9,♣K,♣Q | Pair
♦4,♥9,♠9,♣2,♣8 | Pair
♦4,♥9,♠9,♣2,♣K | Pair
♦4,♥9,♠9,♣2,♣Q | Pair
♦4,♥9,♠9,♣8,♣K | Pair
♦4,♥9,♠9,♣8,♣Q | Pair
♦4,♥9,♠9,♣K,♣Q | Pair
♦4,♦T,♣9,♠9,♣2 | Pair
♦4,♦T,♣9,♠9,♣8 | Pair
♦4,♦T,♣9,♠9,♣K | Pair
♦4,♦T,♣9,♠9,♣Q | Pair
♦4,♣9,♠9,♣2,♣8 | Pair
♦4,♣9,♠9,♣2,♣K | Pair
♦4,♣9,♠9,♣2,♣Q | Pair
♦4,♣9,♠9,♣8,♣K | Pair
♦4,♣9,♠9,♣8,♣Q | Pair
♦4,♣9,♠9,♣K,♣Q | Pair
♥9,♦T,♣9,♠9,♣2 | Full House
♥9,♦T,♣9,♠9,♣8 | Full House
♥9,♦T,♣9,♠9,♣K | Full House
♥9,♦T,♣9,♠9,♣Q | Full House
♥9,♦T,♣9,♣2,♣8 | Pair
♥9,♦T,♣9,♣2,♣K | Pair
♥9,♦T,♣9,♣2,♣Q | Pair
♥9,♦T,♣9,♣8,♣K | Pair
♥9,♦T,♣9,♣8,♣Q | Pair
♥9,♦T,♣9,♣K,♣Q | Pair
♥9,♦T,♠9,♣2,♣8 | Pair
♥9,♦T,♠9,♣2,♣K | Pair
♥9,♦T,♠9,♣2,♣Q | Pair
♥9,♦T,♠9,♣8,♣K | Pair
♥9,♦T,♠9,♣8,♣Q | Pair
♥9,♦T,♠9,♣K,♣Q | Pair
♥9,♣9,♠9,♣2,♣8 | Full House
♥9,♣9,♠9,♣2,♣K | Full House
♥9,♣9,♠9,♣2,♣Q | Full House
♥9,♣9,♠9,♣8,♣K | Full House
♥9,♣9,♠9,♣8,♣Q | Full House
♥9,♣9,♠9,♣K,♣Q | Full House
♥9,♣9,♣2,♣8,♣K | Pair
♥9,♣9,♣2,♣8,♣Q | Pair
♥9,♣9,♣2,♣K,♣Q | Pair
♥9,♣9,♣8,♣K,♣Q | Pair
♥9,♠9,♣2,♣8,♣K | Pair
♥9,♠9,♣2,♣8,♣Q | Pair
♥9,♠9,♣2,♣K,♣Q | Pair
♥9,♠9,♣8,♣K,♣Q | Pair
♦T,♣9,♠9,♣2,♣8 | Pair
♦T,♣9,♠9,♣2,♣K | Pair
♦T,♣9,♠9,♣2,♣Q | Pair
♦T,♣9,♠9,♣8,♣K | Pair
♦T,♣9,♠9,♣8,♣Q | Pair
♦T,♣9,♠9,♣K,♣Q | Pair
♣9,♠9,♣2,♣8,♣K | Pair
♣9,♠9,♣2,♣8,♣Q | Pair
♣9,♠9,♣2,♣K,♣Q | Pair
♣9,♠9,♣8,♣K,♣Q | Pair
♣9,♣2,♣8,♣K,♣Q | Flush
