♥Q,♣J,♦7,♥8,♠9 | Pair
♣J,♦7,♥8,♣Q,♥2 | Pair
♣J,♦7,♥8,♣Q,♣9 | Pair
♣J,♦7,♠9,♣Q,♥10 | Pair
♣J,♦7,♠9,♣Q,♥2 | Pair
♣J,♦7,♠9,♣Q,♣9 | Pair
♣J,♦7,♠9,♣Q,♣9 | Pair
♣J,♦7,♠9,♥10,♣9 | Pair
♣J,♦7,♠9,♥2,♣9 | Pair
♣J,♦7,♣Q,♥10,♥2 | Pair
♣J,♦7,♣Q,♥10,♣9 | Pair
♣J,♦7,♣Q,♥2,♣9 | Pair
♣J,♥8,♠9,♣Q,♥10 | Pair
♣J,♥8,♠9,♣Q,♥2 | Pair
♣J,♥8,♠9,♣Q,♣9 | Pair
♣J,♥8,♠9,♣Q,♣9 | Pair
♣J,♥8,♠9,♥10,♣9 | Pair
♣J,♥8,♠9,♥2,♣9 | Pair
♣J,♥8,♣Q,♥10,♥2 | Pair
♣J,♥8,♣Q,♥10,♣9 | Pair
♣J,♥8,♣Q,♥2,♣9 | Pair
♣J,♠9,♣Q,♥10,♥2 | Pair
♣J,♠9,♣Q,♥10,♣9 | Pair
♣J,♠9,♣Q,♥10,♣9 | Pair
♣J,♠9,♣Q,♥2,♣9 | Pair
♣J,♠9,♣Q,♥2,♣9 | Pair
♣J,♠9,♥10,♥2,♣9 | Pair
♣J,♣Q,♥10,♥2,♣9 | Pair
♦7,♥8,♠9,♣Q,♣9 | Pair
♦7,♥8,♠9,♥10,♣9 | Pair
♦7,♥8,♠9,♥2,♣9 | Pair
♦7,♠9,♣Q,♥10,♣9 | Pair
♦7,♠9,♣Q,♥2,♣9 | Pair
♦7,♠9,♥10,♥2,♣9 | Pair
♥8,♠9,♣Q,♥10,♣9 | Pair
♥8,♠9,♣Q,♥2,♣9 | Pair
♥8,♠9,♥10,♥2,♣9 | Pair
♠9,♣Q,♥10,♥2,♣9 | Pair
